GENE_ID	locusLine	bin_1_32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48.bam
NM_001193302	chr1(.):156118368-156152542	0.529
NM_199173	chr1(.):156206950-156218112	0.1807
NM_024897	chr1(.):156208206-156222843	0.1719
NM_001193301	chr1(.):156114734-156152542	0.5215
NM_005920	chr1(.):156428518-156475529	0.4166
NR_001560	chr1(.):157093153-157103463	0.1752
NM_005240	chr1(.):157097975-157113177	0.3692
NM_001145312	chr1(.):157089458-157113383	0.2851
NM_031281	chr1(.):157478166-157527310	0.2542
NM_001778	chr1(.):160643535-160686585	0.4196
NM_003037	chr1(.):160574890-160622081	0.1988
NM_021181	chr1(.):160704076-160729601	0.3678
NM_001039711	chr1(.):161085768-161107478	0.3285
NM_016406	chr1(.):161118533-161133646	0.4011
NM_004550	chr1(.):161164104-161189184	0.3452
NM_000309	chr1(.):161131180-161146010	0.4578
NM_001643	chr1(.):161187082-161198418	0.4897
NM_001185094	chr1(.):161082907-161095984	0.2687
NM_003779	chr1(.):161136100-161152314	0.512
NM_012475	chr1(.):161124253-161140516	0.498
NM_001039712	chr1(.):161085768-161107256	0.3291
NM_005600	chr1(.):161082861-161095984	0.2679
NM_001185093	chr1(.):161082906-161095984	0.2686
NM_032174	chr1(.):161190832-161205407	0.2986
NM_001166159	chr1(.):161166936-161189184	0.3647
NM_005099	chr1(.):161154537-161173845	0.4447
NM_004106	chr1(.):161180086-161194038	0.3078
NM_001127593	chr1(.):161506550-161525413	0.2567
NM_001127592	chr1(.):161506550-161524818	0.2585
NM_201563	chr1(.):161546128-161575032	0.1212
NM_002155	chr1(.):161489035-161501687	0.3746
NM_001005214	chr1(.):165508477-165538185	0.1132
NM_004528	chr1(.):165595449-165629855	0.1976
NM_001146191	chr1(.):167686186-167766156	0.1576
NM_002021	chr1(.):171212662-171260113	0.2279
NM_022371	chr1(.):179046111-179070129	0.4702
NM_015602	chr1(.):179846419-179894211	0.2947
NM_002922	chr1(.):192539856-192554159	0.6614
NM_002923	chr1(.):192773168-192786407	0.5318
NM_001195216	chr1(.):197698138-197749623	0.29
NM_001031725	chr1(.):200608164-200644126	0.208
NM_012396	chr1(.):201429621-201443299	0.1468
NR_026667	chr1(.):201484031-201494720	0.1328
NR_034150	chr1(.):203262885-203279453	0.6383
NM_006763	chr1(.):203269663-203283729	0.57
NM_002023	chr1(.):203304751-203325289	0.2182
NM_002646	chr1(.):204386757-204464474	0.1693
NM_002393	chr1(.):204480510-204532248	0.4007
NM_014858	chr1(.):205192037-205247471	0.294
NM_030952	chr1(.):205266190-205295883	0.3019
NM_001123168	chr1(.):206133910-206160074	0.2788
NM_001007544	chr1(.):206233871-206293647	0.3314
NM_148964	chr1(.):206312458-206337104	0.1216
NM_006893	chr1(.):206759973-206790904	0.2052
NM_182665	chr1(.):206725491-206767616	0.4071
NM_013371	chr1(.):206997221-207021325	0.2543
NM_001185157	chr1(.):207065787-207082484	0.1549
NM_153758	chr1(.):206967214-207021324	0.3088
NM_018724	chr1(.):207034153-207047568	0.1394
NM_002644	chr1(.):207096866-207124811	0.1897
NM_001170631	chr1(.):207126311-207148970	0.126
NM_018566	chr1(.):207212193-207229422	0.3232
NM_023938	chr1(.):207186865-207211101	0.1741
NM_006212	chr1(.):207221619-207256162	0.2589
NM_000715	chr1(.):207272606-207323317	0.1177
NM_001018053	chr1(.):207221619-207259368	0.2537
NM_001017367	chr1(.):207257627-207278337	0.2088
NM_000716	chr1(.):207257583-207278337	0.2086
NM_001017366	chr1(.):207257211-207278337	0.2081
NR_026817	chr1(.):207986723-208000941	0.5102
NR_029832	chr1(.):207970196-207980284	0.2615
NR_029518	chr1(.):207970787-207980868	0.2991
NM_152485	chr1(.):209950661-209962890	0.2814
NM_005525	chr1(.):209873190-209913295	0.1455
NM_025228	chr1(.):209924393-209960668	0.4043
NM_021194	chr1(.):211743380-211757099	0.5189
NR_036068	chr1(.):212245954-212256027	0.1219
NM_016448	chr1(.):212203918-212283187	0.2093
NM_153606	chr1(.):212792788-212805120	0.198
NM_001030287	chr1(.):212733696-212799116	0.318
NM_001674	chr1(.):212776993-212799116	0.4405
NM_001146170	chr1(.):212960169-212995167	0.2441
NM_001042549	chr1(.):212894494-212970139	0.2493
NR_029711	chr1(.):220286498-220296583	0.1512
NR_029628	chr1(.):220286194-220296304	0.1602
NM_018060	chr1(.):220262454-220326383	0.1849
NM_006085	chr1(.):220225823-220268191	0.1932
NM_001748	chr1(.):223895118-223968720	0.1811
NM_001146068	chr1(.):223884294-223968720	0.184
NM_001136018	chr1(.):225992796-226038262	0.2017
NM_000120	chr1(.):226008001-226038262	0.2182
NM_020997	chr1(.):226068981-226081836	0.267
NM_014698	chr1(.):226028232-226075420	0.3279
NM_001172425	chr1(.):226119297-226134083	0.5033
NM_013328	chr1(.):226102579-226116965	0.2689
NR_002315	chr1(.):226245427-226264703	0.3267
NM_002107	chr1(.):226245420-226264703	0.3266
NM_181441	chr1(.):228289379-228302013	0.4739
NR_037415	chr1(.):228279963-228290042	0.2039
NM_001024227	chr1(.):228265850-228291913	0.4517
NM_001024226	chr1(.):228265360-228291913	0.4454
NM_024319	chr1(.):228283427-228296022	0.2892
NM_001159390	chr1(.):228322928-228341655	0.2403
NR_002834	chr1(.):228775656-228793159	0.3379
NM_005646	chr1(.):234522058-234619849	0.149
NM_182972	chr1(.):234735014-234750271	0.8577
NR_033927	chr1(.):234760056-234775526	0.1447
NM_031844	chr1(.):245008601-245032827	0.3115
NM_198076	chr1(.):244993638-245013359	0.3604
NR_026778	chr1(.):244998939-245015243	0.2643
NM_173858	chr1(.):247414373-247425447	0.0978
NR_037480	chr1(.):247360268-247370362	0.1475
NM_030645	chr1(.):249099650-249125154	0.41
NM_024836	chr1(.):249127529-249148714	0.261
NM_001136036	chr1(.):249139202-249158125	0.3039
NM_001193328	chr1(.):249139202-249158315	0.303
NR_036070	chr1(.):249115575-249125642	0.5544
NM_134421	chr2(.):10438825-10572743	0.1606
NM_002149	chr2(.):10438039-10572743	0.1605
NM_020458	chr2(.):47163312-47308275	0.2041
NR_033872	chr2(.):70184394-70319147	0.1445
NM_021141	chr2(.):216969019-217076016	0.148
NM_015488	chr2(.):219130114-219216516	0.1686
NM_022152	chr2(.):219133916-219162280	0.2942
NM_145693	chr2(.):11881739-11972533	0.2447
NM_170672	chr2(.):33656415-33794798	0.1986
NM_005813	chr2(.):37472645-37549222	0.3246
NM_019024	chr2(.):37203152-37316485	0.1312
NM_138801	chr2(.):38888051-38966909	0.2248
NM_005633	chr2(.):39203689-39352604	0.1409
NM_012249	chr2(.):46764866-46816827	0.2549
NM_178313	chr2(.):54780530-54894445	0.1807
NM_003128	chr2(.):54678453-54903583	0.1681
NM_022893	chr2(.):60679328-60785633	0.1399
NM_018014	chr2(.):60673301-60785633	0.1434
NM_003400	chr2(.):61700068-61770418	0.1482
NR_036586	chr2(.):65123973-65164581	0.3069
NM_014911	chr2(.):69680126-69875977	0.1247
NM_004836	chr2(.):88851258-88932094	0.2335
NM_004027	chr2(.):99056320-99212496	0.3475
NM_001566	chr2(.):99056320-99203284	0.3611
NR_029399	chr2(.):113912420-114210429	0.1224
NM_001184939	chr2(.):120765603-120869492	0.1062
NM_001184938	chr2(.):120765784-120869492	0.106
NM_020909	chr2(.):120765603-120941697	0.1009
NM_203463	chr2(.):169307834-169636152	0.1242
NM_001077269	chr2(.):175419301-175552627	0.1758
NR_024415	chr2(.):192537797-192558248	0.4049
NM_001031716	chr2(.):192537860-192558248	0.4058
NM_004226	chr2(.):196993306-197041336	0.3391
NM_001228	chr2(.):202093165-202157434	0.2986
NM_003879	chr2(.):201975889-202034003	0.3139
NM_001127184	chr2(.):201975815-202011323	0.3944
NM_173822	chr2(.):201833440-201941392	0.1356
NM_033358	chr2(.):202093165-202151638	0.3179
NM_018441	chr2(.):216898110-216951539	0.1429
NM_001037160	chr2(.):10191925-10225538	0.091
NM_182626	chr2(.):10276508-10356856	0.0884
NM_001165931	chr2(.):10257694-10276546	0.3967
NM_001034	chr2(.):10257862-10276546	0.3988
NM_002539	chr2(.):10575507-10593453	0.3933
NR_028374	chr2(.):10581839-10591975	0.5006
NM_002997	chr2(.):20395557-20429927	0.379
NM_001006946	chr2(.):20395557-20430194	0.3762
NM_004040	chr2(.):20641834-20654201	0.2914
NM_178553	chr2(.):27354714-27367332	0.1752
NM_001166239	chr2(.):27318461-27346773	0.1367
NM_001166240	chr2(.):27317220-27346995	0.1361
NM_013388	chr2(.):27348624-27362542	0.1677
NM_001166241	chr2(.):27317220-27338970	0.1354
NM_032604	chr2(.):27341656-27358680	0.1829
NM_175769	chr2(.):27366944-27380819	0.2035
NM_080592	chr2(.):27429898-27445046	0.2361
NM_001170795	chr2(.):27430218-27445046	0.2396
NM_004341	chr2(.):27435257-27471654	0.1359
NM_021095	chr2(.):27417454-27440175	0.1953
NM_005253	chr2(.):28610778-28642516	0.1785
NM_015376	chr2(.):33733941-33794798	0.1387
NM_001139488	chr2(.):33696320-33794798	0.2343
NM_174931	chr2(.):37306593-37328738	0.3292
NM_012413	chr2(.):37566752-37605465	0.4671
NM_138370	chr2(.):42270160-42290668	0.0843
NM_006887	chr2(.):43444540-43458745	0.6613
NR_027251	chr2(.):43449349-43460994	0.5192
NM_080653	chr2(.):46733985-46752096	0.1075
NM_173074	chr2(.):46803412-46849251	0.1436
NM_014171	chr2(.):46839324-46857881	0.1649
NM_001171508	chr2(.):47124008-47173994	0.2029
NR_002229	chr2(.):54751358-54761978	0.3106
NM_001193493	chr2(.):65210578-65256000	0.222
NM_003038	chr2(.):65211494-65256000	0.2228
NM_181784	chr2(.):65532984-65664656	0.1909
NM_006196	chr2(.):70309584-70321334	0.5221
NR_024444	chr2(.):70346167-70357448	0.2863
NM_015425	chr2(.):86248450-86338278	0.2193
NR_026984	chr2(.):86242338-86255991	0.1019
NR_015424	chr2(.):89060418-89111109	0.1484
NR_026875	chr2(.):97158382-97178846	0.1475
NM_212481	chr2(.):97197463-97223371	0.4153
NM_006538	chr2(.):111873490-111931022	0.2696
NM_207002	chr2(.):111873490-111891423	0.4119
NM_172003	chr2(.):114190267-114258781	0.1207
NM_006186	chr2(.):157175943-157194287	0.2507
NM_004288	chr2(.):158266130-158305604	0.3078
NM_003387	chr2(.):175419301-175504307	0.2166
NM_002491	chr2(.):201931461-201955473	0.2124
NM_001127183	chr2(.):201978386-202033841	0.3238
NM_033356	chr2(.):202120222-202157434	0.2836
NM_001080125	chr2(.):202117753-202157434	0.2832
NM_006139	chr2(.):204566197-204607557	0.3267
NM_001127395	chr2(.):208468838-208494973	0.1912
NM_145280	chr2(.):208468838-208494696	0.1919
NM_001142310	chr2(.):216941588-216972506	0.1683
NM_152862	chr2(.):219076873-219124071	0.2397
NM_000634	chr2(.):219022567-219036716	0.114
NM_001077194	chr2(.):219120737-219133582	0.2288
NM_005731	chr2(.):219077119-219124071	0.2404
NM_001087	chr2(.):219123851-219139893	0.2103
NM_022572	chr2(.):219182901-219216516	0.0937
NM_017431	chr2(.):219682105-219701512	0.083
NM_025216	chr2(.):219740254-219763651	0.4469
NM_006522	chr2(.):219719545-219743954	0.1089
NM_001099285	chr2(.):232568234-232583250	0.2908
NR_036052	chr2(.):232573023-232583105	0.2643
NM_014674	chr3(.):5224358-5266650	0.4067
NM_001195099	chr3(.):15703743-15803058	0.107
NM_001195098	chr3(.):15703743-15844691	0.1428
NM_015199	chr3(.):15703743-15906053	0.1502
NM_002941	chr3(.):78641387-79822059	0.0839
NM_016128	chr3(.):128963452-129001616	0.2346
NM_003571	chr3(.):133113789-133199056	0.2385
NM_001135095	chr3(.):171753343-172123492	0.2375
NM_022763	chr3(.):171752417-172123492	0.2383
NM_181361	chr3(.):178249223-178567217	0.156
NM_012287	chr3(.):194990464-195168817	0.1518
NM_022485	chr3(.):9686116-9749078	0.1248
NM_001134382	chr3(.):12933718-13119617	0.1643
NM_014869	chr3(.):12933718-13013960	0.0868
NM_001144382	chr3(.):16921451-17137098	0.1223
NM_003884	chr3(.):20076523-20200896	0.1401
NM_001024847	chr3(.):30642993-30740633	0.2173
NM_014831	chr3(.):36863307-36991548	0.1281
NM_001123396	chr3(.):46390234-46405868	0.3244
NM_003074	chr3(.):47622377-47828405	0.111
NM_181042	chr3(.):52574367-52718739	0.0973
NM_018313	chr3(.):52574367-52724866	0.1071
NM_133631	chr3(.):78641387-79073609	0.0925
NM_001627	chr3(.):105080712-105300744	0.0998
NM_001009899	chr3(.):113362232-113420493	0.1136
NM_001690	chr3(.):113460865-113535905	0.1668
NM_002093	chr3(.):119535801-119818264	0.1114
NM_022776	chr3(.):125242701-125319381	0.1263
NM_001134422	chr3(.):133287433-133314118	0.3347
NM_001134423	chr3(.):133288300-133314118	0.3426
NM_006506	chr3(.):141200925-141336197	0.159
NM_001080412	chr3(.):141038054-141173632	0.361
NM_001190242	chr3(.):159969773-160106554	0.1242
NM_001190241	chr3(.):159969773-160122320	0.1545
NR_021485	chr3(.):167962309-168553374	0.1348
NM_014932	chr3(.):173111243-174006116	0.1369
NM_024665	chr3(.):176733541-176920048	0.2585
NM_005832	chr3(.):178271617-178567217	0.1498
NM_016331	chr3(.):179036550-179058320	0.2751
NM_130446	chr3(.):183200318-183278499	0.4702
NM_014616	chr3(.):182506290-182644421	0.2065
NM_181573	chr3(.):186502681-186529484	0.326
NM_002916	chr3(.):186502681-186529290	0.3283
NM_173216	chr3(.):186643314-186801341	0.2947
NM_003032	chr3(.):186734664-186801341	0.3101
NR_034062	chr3(.):187415153-187455203	0.1266
NM_174908	chr3(.):191041873-191121459	0.1921
NM_005524	chr3(.):193848933-193861396	0.6889
NM_003670	chr3(.):5016096-5031865	0.3201
NM_153635	chr3(.):9740509-9776592	0.1294
NR_027694	chr3(.):20016452-20058765	0.0798
NM_014240	chr3(.):45631322-45727755	0.2253
NM_001295	chr3(.):46238199-46254832	0.3773
NM_001837	chr3(.):46278871-46313197	0.1214
NM_003965	chr3(.):46443720-46456014	0.1764
NM_001100168	chr3(.):46406632-46422697	0.2588
NM_001130910	chr3(.):46444048-46456014	0.1783
NM_014966	chr3(.):47839398-47896686	0.1254
NM_199074	chr3(.):49052907-49065926	0.3986
NM_199073	chr3(.):49053617-49065926	0.4159
NM_177939	chr3(.):49022340-49049581	0.1805
NM_018031	chr3(.):49039636-49058386	0.2625
NM_000884	chr3(.):49056761-49071875	0.318
NM_018114	chr3(.):49047434-49063467	0.342
NM_199070	chr3(.):49054073-49065926	0.4256
NM_001009996	chr3(.):49047434-49061017	0.3469
NR_029690	chr3(.):49053050-49063142	0.4597
NR_029948	chr3(.):49052580-49062667	0.4324
NM_001010983	chr3(.):52723503-52745048	0.3519
NM_206825	chr3(.):52714935-52733510	0.2527
NR_003687	chr3(.):52719753-52729846	0.2497
NM_014041	chr3(.):52734856-52747197	0.4633
NR_003057	chr3(.):52721751-52731828	0.2259
NM_152932	chr3(.):52723503-52742622	0.3017
NR_003047	chr3(.):52718255-52728331	0.2713
NM_001193533	chr3(.):52739795-52809965	0.1919
NM_006100	chr3(.):98446571-98518236	0.2762
NM_025146	chr3(.):113432840-113470096	0.2448
NR_031687	chr3(.):125504246-125514395	0.1062
NM_001127196	chr3(.):128881657-128907810	0.2535
NM_020701	chr3(.):128841258-128885073	0.1456
NM_020187	chr3(.):128992683-129029135	0.2828
NM_001006109	chr3(.):128992816-129029135	0.2833
NM_006026	chr3(.):129028613-129040120	0.5893
NR_026991	chr3(.):129030113-129048412	0.4101
NM_173657	chr3(.):155475400-155529055	0.1364
NM_001190992	chr3(.):155539300-155577248	0.2316
NM_003875	chr3(.):155583324-155660520	0.1597
NR_034008	chr3(.):156802669-156823924	0.5812
NR_034007	chr3(.):156794455-156845791	0.356
NM_020307	chr3(.):156860585-156883482	0.4897
NM_173084	chr3(.):160148290-160172626	0.2726
NR_029663	chr3(.):160117375-160127473	0.5248
NM_005496	chr3(.):160113346-160157741	0.3272
NM_001002800	chr3(.):160112429-160157741	0.3241
NR_029525	chr3(.):160117532-160127613	0.5027
NM_018657	chr3(.):169485852-169512504	0.2648
NM_032487	chr3(.):169479710-169492683	0.6399
NM_001172780	chr3(.):169508428-169535574	0.2109
NM_001080460	chr3(.):169534709-169560560	0.1702
NR_001566	chr3(.):169477397-169487848	0.5024
