REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
7_MACS_peak_1447_lociStitched	chr1	154907792	154957618	7	28518	100484.0942	13378.281	14	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	14	1
1_MACS_peak_4191_lociStitched	chr11	65183442	65199719	1	16278	90898.9065	4285.7341	15	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	15	1
3_MACS_peak_15398_lociStitched	chr22	24178950	24200907	3	15626	89975.3946	4178.4171	16	SLC2A11,DERL3	SMARCB1,MIF	DERL3	16	1
5_MACS_peak_9748_lociStitched	chr17	34596581	34642034	5	38128	95651.2932	10081.4754	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	17	1
5_MACS_peak_15219_lociStitched	chr21	45552624	45581063	5	20870	91348.9119	6515.3749	18	C21orf33	PWP2	C21orf33	18	1
1_MACS_peak_2561_lociStitched	chr10	11202743	11223587	1	20845	89024.724	4814.964	19	CELF2		CELF2	19	1
7_MACS_peak_12496_lociStitched	chr2	37531922	37586446	7	38929	91191.39	8511.1964	20	QPCT,PRKD3		QPCT	20	1
8_MACS_peak_7291_lociStitched	chr14	106145123	106177156	8	28214	85063.6315	3155.2505	21			TMEM121	21	1
3_MACS_peak_9745_lociStitched	chr17	34508261	34540731	3	29569	89172.361	7610.968	22	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	22	1
3_MACS_peak_223_lociStitched	chr1	17221389	17241676	3	8906	86442.907	5459.2317	23		CROCC	CROCC	23	1
1_MACS_peak_5421_lociStitched	chr12	53587386	53603817	1	16432	82268.3739	3524.4495	24	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	24	1
4_MACS_peak_3410_lociStitched	chr10	112103932	112128837	4	12127	82203.9335	4475.4285	25		SMNDC1	SMNDC1	25	1
5_MACS_peak_14447_lociStitched	chr20	25261622	25301516	5	21389	83278.725	6829.8528	26	PYGB,ABHD12		PYGB	26	1
6_MACS_peak_1954_lociStitched	chr1	203236250	203278399	6	25587	88049.261	11666.8432	27	BTG2,LOC730227	CHIT1,FMOD	LOC730227	27	1
2_MACS_peak_1501_lociStitched	chr1	156115547	156137154	2	21343	81704.7098	6164.4771	28	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	28	1
4_MACS_peak_22208_lociStitched	chr7	102063728	102093400	4	19230	79971.9744	5014.568	29	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	29	1
3_MACS_peak_5897_lociStitched	chr12	109009112	109035759	3	17135	79229.5251	5462.635	30	SELPLG	TMEM119	SELPLG	30	1
2_MACS_peak_22631_lociStitched	chr7	150062704	150084708	2	20768	78272.6288	5681.4328	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	31	1
5_MACS_peak_14466_lociStitched	chr20	30262465	30312235	5	33734	79403.058	9496.116	32	BCL2L1	COX4I2,TPX2	BCL2L1	32	1
2_MACS_peak_13224_lociStitched	chr2	112455492	112468027	2	12380	68278.145	2499.479	33			ANAPC1	33	1
2_MACS_peak_11166_lociStitched	chr19	2081699	2098166	2	14929	70631.9031	4880.8188	34	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	34	1
3_MACS_peak_11780_lociStitched	chr19	39880664	39904141	3	18141	68127.9063	4134.2997	35	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	35	1
2_MACS_peak_14664_lociStitched	chr20	42695057	42710835	2	9284	65533.923	2541.8358	36	TOX2		JPH2	36	1
1_MACS_peak_9959_lociStitched	chr17	43298129	43308690	1	10562	64462.2318	2402.6275	37	FMNL1	LOC100133991,C17orf46	FMNL1	37	1
4_MACS_peak_4367_lociStitched	chr11	72850982	72869857	4	17599	65473.6	3878.8125	38	FCHSD2		FCHSD2	38	1
6_MACS_peak_2017_lociStitched	chr1	206271423	206311257	6	23386	70745.184	9157.8366	39	C1orf186	AVPR1B,CTSE	C1orf186	39	1
1_MACS_peak_11013_lociStitched	chr18	60821786	60831646	1	9861	62770.732	2355.554	40	BCL2		BCL2	40	1
4_MACS_peak_13056_lociStitched	chr2	97190861	97212850	4	14858	64342.0129	4059.1694	41	ARID5A	NEURL3	ARID5A	41	1
1_MACS_peak_220_lociStitched	chr1	16991257	16994690	1	3434	62158.5846	1894.6727	42		MST1P2,CROCCP2	MST1P2	42	1
3_MACS_peak_18645_lociStitched	chr5	6475871	6497782	3	13635	63502.4602	3713.9145	43	UBE2QL1		UBE2QL1	43	1
5_MACS_peak_16268_lociStitched	chr3	46577594	46608336	5	15828	64189.296	4694.3034	44	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	44	1
1_MACS_peak_222_lociStitched	chr1	17065689	17068562	1	2874	60760.5024	1658.0083	45		ESPNP,MST1P9	ESPNP	45	1
3_MACS_peak_2357_lociStitched	chr1	234733866	234750020	3	11867	61950.59	4180.6552	46	IRF2BP2	NCRNA00184	IRF2BP2	46	1
2_MACS_peak_4930_lociStitched	chr12	4216416	4230551	2	7992	59976.2185	2855.27	47			CCND2	47	1
1_MACS_peak_20143_lociStitched	chr6	25403090	25415656	1	12567	59873.2202	2775.8294	48	LRRC16A		LRRC16A	48	1
2_MACS_peak_12826_lociStitched	chr2	70310249	70323306	2	8251	59137.7644	2354.1771	49	PCBP1,LOC400960	LOC100133985	PCBP1	49	1
1_MACS_peak_20858_lociStitched	chr6	106531161	106555891	1	24731	61703.823	5354.045	50	PRDM1		PRDM1	50	1
1_MACS_peak_12283_lociStitched	chr2	11883312	11898242	1	14931	57695.492	3142.765	51	LPIN1		LPIN1	51	1
1_MACS_peak_6615_lociStitched	chr13	114556380	114568297	1	11918	56829.7896	3025.7263	52	GAS6	FLJ44054,GAS6	GAS6	52	1
4_MACS_peak_14608_lociStitched	chr20	37486999	37510340	4	11419	57481.8807	3848.9309	53	PPP1R16B	FAM83D	FAM83D	53	1
2_MACS_peak_8882_lociStitched	chr16	56942871	56954724	2	11546	55652.2056	2289.9996	54	SLC12A3	HERPUD1,CETP	HERPUD1	54	1
3_MACS_peak_18062_lociStitched	chr4	90209074	90246762	3	26128	59686.4856	6606.7064	55	GPRIN3		GPRIN3	55	1
2_MACS_peak_8495_lociStitched	chr16	12055500	12071550	2	11950	55300.275	3235.68	56	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	56	1
8_MACS_peak_14508_lociStitched	chr20	32398409	32452425	8	34039	61243.3408	9350.1696	57	CHMP4B		CHMP4B	57	1
4_MACS_peak_7130_lociStitched	chr14	91812919	91846576	4	24492	54524.34	3547.4478	58	CCDC88C		CCDC88C	58	1
1_MACS_peak_17406_lociStitched	chr3	193815011	193823277	1	8267	53390.9206	2654.2126	59		HES1	HES1	59	1
3_MACS_peak_10658_lociStitched	chr18	9060203	9084947	3	16034	53489.1048	4711.2576	60		NDUFV2	NDUFV2	60	1
6_MACS_peak_9699_lociStitched	chr17	32688398	32726773	6	29137	55217.7875	7310.4375	61	CCL1	CCL8,CCL13	CCL1	61	1
1_MACS_peak_21835_lociStitched	chr7	55597670	55605613	1	7944	49900.3089	2054.8541	62	VOPP1		VOPP1	62	1
1_MACS_peak_5077_lociStitched	chr12	12866061	12880325	1	14265	50329.0976	2663.0888	63	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	63	1
3_MACS_peak_8612_lociStitched	chr16	23344214	23363563	3	10751	51427.7071	3769.1852	64	SCNN1B		SCNN1B	64	1
7_MACS_peak_10884_lociStitched	chr18	46439386	46482911	7	34644	55102.65	7508.0625	65	SMAD7		SMAD7	65	1
2_MACS_peak_2263_lociStitched	chr1	226838942	226853155	2	14005	51084.3646	3961.1631	66	ITPKB		ITPKB	66	1
3_MACS_peak_11526_lociStitched	chr19	16694085	16711860	3	13257	50617.8675	3517.6725	67	MED26	CHERP,SLC35E1	SLC35E1	67	1
3_MACS_peak_12328_lociStitched	chr2	20404526	20426233	3	19363	51061.3761	4017.9657	68	SDC1		SDC1	68	1
1_MACS_peak_20024_lociStitched	chr6	11826934	11838576	1	11643	49060.5522	2370.3112	69		C6orf105	C6orf105	69	1
4_MACS_peak_4379_lociStitched	chr11	72976825	73002545	4	15401	50285.172	4333.82	70	P2RY6	P2RY2,ARHGEF17	P2RY6	70	1
1_MACS_peak_22237_lociStitched	chr7	104651314	104656791	1	5478	47149.3022	1273.4025	71	MLL5,LOC100216545		LOC100216545	71	1
2_MACS_peak_15459_lociStitched	chr22	29185919	29199778	2	13657	48532.8321	2879.9002	72	XBP1	HSCB,CCDC117,CHEK2	XBP1	72	1
3_MACS_peak_7420_lociStitched	chr15	31546218	31562599	3	12810	48531.9887	2953.4943	73			KLF13	73	1
5_MACS_peak_8481_lociStitched	chr16	11761572	11785921	5	19978	49764.4862	4329.2522	74	SNN,TXNDC11		SNN	74	1
2_MACS_peak_4195_lociStitched	chr11	65254282	65278788	2	18012	49984.8882	4749.2628	75	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	75	1
2_MACS_peak_4660_lociStitched	chr11	115089455	115102374	2	10205	47234.4478	2135.5107	76	CADM1		CADM1	76	1
5_MACS_peak_17288_lociStitched	chr3	183228304	183260748	5	23227	53068.6508	8042.8676	77	KLHL6		KLHL6	77	1
3_MACS_peak_435_lociStitched	chr1	31214236	31236476	3	20655	49388.368	4708.208	78	LAPTM5	LOC100129196,MATN1	LAPTM5	78	1
3_MACS_peak_10152_lociStitched	chr17	56405510	56430907	3	17962	49453.0384	5173.3689	79	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	79	1
8_MACS_peak_20573_lociStitched	chr6	52392442	52442903	8	25310	53125.3408	9057.7495	80	TRAM2		TRAM2	80	1
2_MACS_peak_4791_lociStitched	chr11	126056599	126068870	2	7652	46213.8131	2202.6445	81		FAM118B,RPUSD4	RPUSD4	81	1
1_MACS_peak_22233_lociStitched	chr7	104574512	104587060	1	12549	45751.2628	2651.3924	82		LOC723809	LOC723809	82	1
5_MACS_peak_4987_lociStitched	chr12	7045655	7081222	5	21231	49000.6559	6263.3487	83	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	83	1
1_MACS_peak_15982_lociStitched	chr3	13049897	13061664	1	11768	45237.0548	2640.5148	84	IQSEC1	IQSEC1	IQSEC1	84	1
3_MACS_peak_9739_lociStitched	chr17	34409012	34432910	3	21403	47387.3442	4827.396	85	CCL4,CCL3	CCL18	CCL3	85	1
1_MACS_peak_21372_lociStitched	chr7	2393012	2396079	1	3068	42940.1469	517.4029	86	EIF3B	CHST12,SNX8	EIF3B	86	1
4_MACS_peak_12622_lociStitched	chr2	47527016	47550799	4	14385	46136.6417	4005.0572	87		EPCAM	EPCAM	87	1
2_MACS_peak_1356_lociStitched	chr1	150532279	150553140	2	15676	47811.3259	6406.4131	88	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	88	1
2_MACS_peak_10423_lociStitched	chr17	75130851	75145775	2	12525	44383.976	2980.3228	89	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	89	1
2_MACS_peak_14638_lociStitched	chr20	40709921	40727361	2	13489	43828.464	2760.752	90	PTPRT		CHD6	90	1
4_MACS_peak_7357_lociStitched	chr15	23658816	23682904	4	17202	45022.8808	4516.5	91			MKRN3	91	1
3_MACS_peak_13836_lociStitched	chr2	201980046	201994812	3	14735	43630.5768	3233.754	92	CFLAR	NDUFB3,FAM126B	CFLAR	92	1
2_MACS_peak_3352_lociStitched	chr10	104531090	104543889	2	12296	42794.7364	2634.0342	93	C10orf26		C10orf26	93	1
5_MACS_peak_11504_lociStitched	chr19	16244056	16272931	5	20109	44865.975	4790.3625	94	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	94	1
5_MACS_peak_3527_lociStitched	chr10	125822153	125854652	5	24235	45440.1018	5901.8184	95	CHST15		CHST15	95	1
7_MACS_peak_7423_lociStitched	chr15	31616745	31657744	7	22470	46279.6712	6937.0308	96	KLF13		KLF13	96	1
2_MACS_peak_8942_lociStitched	chr16	66549006	66561262	2	11494	41845.6608	2641.168	97	TK2	CKLF,CMTM1	TK2	97	1
2_MACS_peak_15147_lociStitched	chr21	41324715	41344936	2	16666	45013.9681	5928.7972	98			PCP4	98	1
2_MACS_peak_8488_lociStitched	chr16	11808614	11837874	2	22317	44539.572	5503.806	99	TXNDC11	SNN	TXNDC11	99	1
3_MACS_peak_19363_lociStitched	chr5	131745226	131767589	3	18445	43314.8947	4300.4049	100	C5orf56	SLC22A5,MIR3936	C5orf56	100	1
4_MACS_peak_299_lociStitched	chr1	24512463	24533764	4	15575	42712.7652	3927.9044	101	LOC284632,IL28RA	IL22RA1	LOC284632	101	1
5_MACS_peak_16793_lociStitched	chr3	124479916	124512431	5	21246	43414.028	4828.4775	102	ITGB5	UMPS	UMPS	102	1
1_MACS_peak_20335_lociStitched	chr6	32935244	32941616	1	6373	39589.236	1584.7164	103	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	103	1
3_MACS_peak_16912_lociStitched	chr3	133181677	133200654	3	15394	41113.6705	3579.0622	104	BFSP2		BFSP2	104	1
1_MACS_peak_15194_lociStitched	chr21	44724896	44734900	1	10005	39610.838	2134.8536	105			SIK1	105	1
1_MACS_peak_1513_lociStitched	chr1	156456737	156476363	1	19627	43063.3692	5783.7822	106	MEF2D		MEF2D	106	1
1_MACS_peak_9815_lociStitched	chr17	37909437	37915675	1	6239	38659.3812	1644.9606	107		GRB7,C17orf37	GRB7	107	1
3_MACS_peak_15173_lociStitched	chr21	43638659	43657861	3	12784	41430.2352	4485.5872	108	ABCG1		ABCG1	108	1
2_MACS_peak_1431_lociStitched	chr1	154374889	154394544	2	15989	41635.1865	4725.062	109	IL6R		IL6R	109	1
2_MACS_peak_7920_lociStitched	chr15	74665663	74680544	2	8670	39726.3176	2816.9733	110		CYP11A1,SEMA7A	CYP11A1	110	1
2_MACS_peak_14516_lociStitched	chr20	32460792	32473545	2	10297	38931.0831	2350.3779	111			CHMP4B	111	1
3_MACS_peak_2293_lociStitched	chr1	228665959	228679042	3	6419	39135.1779	2615.2917	112	RNF187	HIST3H2BB,HIST3H2A	RNF187	112	1
1_MACS_peak_8884_lociStitched	chr16	56963538	56975641	1	12104	39213.72	2784.9003	113	HERPUD1	CETP,NLRC5	HERPUD1	113	1
1_MACS_peak_12548_lociStitched	chr2	42323420	42334555	1	11136	38292.1515	1929.6955	114		PKDCC	PKDCC	114	1
1_MACS_peak_15167_lociStitched	chr21	43480194	43486229	1	6036	38450.7955	2155.0985	115	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	115	1
4_MACS_peak_24533_lociStitched	chr9	126082776	126103942	4	11874	39502.1058	3261.6806	116		CRB2	CRB2	116	1
2_MACS_peak_3421_lociStitched	chr10	112215054	112226059	2	10481	38286.395	2205.402	117		DUSP5	DUSP5	117	1
3_MACS_peak_4342_lociStitched	chr11	71413616	71427042	3	10792	38315.1188	2514.6898	118			FAM86C	118	1
2_MACS_peak_9838_lociStitched	chr17	38466243	38484202	2	16807	39175.7626	3563.0656	119	RARA	CDC6,RARA,GJD3	RARA	119	1
6_MACS_peak_2564_lociStitched	chr10	11278866	11312924	6	20947	41669.963	6106.5994	120	CELF2		CELF2	120	1
4_MACS_peak_7532_lociStitched	chr15	40833556	40862795	4	17553	40060.3539	5040.8036	121	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	121	1
2_MACS_peak_11709_lociStitched	chr19	35695353	35708259	2	10607	37550.007	2543.7726	122		FXYD5,LSR,FAM187B	FAM187B	122	1
3_MACS_peak_5894_lociStitched	chr12	108953321	108970509	3	15842	38671.2812	3769.3284	123	ISCU,SART3	FICD,TMEM119	ISCU	123	1
1_MACS_peak_17775_lociStitched	chr4	40191670	40209078	1	17409	38219.264	3572.1216	124	RHOH		RHOH	124	1
3_MACS_peak_14899_lociStitched	chr20	61272840	61291076	3	12574	37002.6676	2593.1592	125	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	125	1
1_MACS_peak_4040_lociStitched	chr11	58340138	58347892	1	7755	36117.3566	1783.42	126	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	126	1
6_MACS_peak_3414_lociStitched	chr10	112146698	112186679	6	24739	40200.8955	6037.131	127			DUSP5	127	1
1_MACS_peak_2077_lociStitched	chr1	209274777	209285212	1	10436	36899.2035	2801.7975	128			LOC642587	128	1
3_MACS_peak_10239_lociStitched	chr17	62970324	62986369	3	8961	36683.6835	2602.499	129	AMZ2P1		AMZ2P1	129	1
4_MACS_peak_15692_lociStitched	chr22	39823293	39846152	4	13165	37765.3539	3822.0248	130	TAB1	MGAT3	MGAT3	130	1
1_MACS_peak_4938_lociStitched	chr12	4377250	4387434	1	10185	35696.9568	1756.74	131	CCND2	C12orf5	CCND2	131	1
1_MACS_peak_7301_lociStitched	chr14	106323776	106329601	1	5826	34453.1275	647.74	132			KIAA0125	132	1
4_MACS_peak_1333_lociStitched	chr1	149803073	149834009	4	15852	42153.3936	8358.9072	133	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	133	1
1_MACS_peak_1960_lociStitched	chr1	203288196	203297892	1	9697	36877.7664	3088.176	134		BTG2,LOC730227,FMOD	BTG2	134	1
1_MACS_peak_18504_lociStitched	chr4	185301131	185307801	1	6671	35321.652	1575.454	135			IRF2	135	1
2_MACS_peak_3866_lociStitched	chr11	22685331	22703331	2	17861	36516.6	2800.8	136	GAS2	FANCF	GAS2	136	1
2_MACS_peak_18608_lociStitched	chr5	1335259	1346360	2	8485	35597.5767	2053.685	137	CLPTM1L	TERT	CLPTM1L	137	1
2_MACS_peak_10277_lociStitched	chr17	66229986	66245255	2	8918	35759.998	2348.3722	138	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	138	1
2_MACS_peak_22720_lociStitched	chr8	1990697	2000192	2	7173	34909.317	1855.323	139	MYOM2		MYOM2	139	1
1_MACS_peak_9378_lociStitched	chr17	6063159	6071603	1	8445	34472.63	1489.5216	140			WSCD1	140	1
4_MACS_peak_12765_lociStitched	chr2	65156855	65178527	4	13273	37258.5024	4278.0528	141	LOC400958	SLC1A4	LOC400958	141	1
4_MACS_peak_13213_lociStitched	chr2	112208539	112242012	4	18317	38266.3336	5419.2787	142	LOC541471		LOC541471	142	1
2_MACS_peak_1321_lociStitched	chr1	149214024	149225679	2	6003	36857.772	4200.462	143			LOC388692	143	1
2_MACS_peak_18496_lociStitched	chr4	185201172	185210928	2	8684	34590.8736	2007.7848	144			ENPP6	144	1
2_MACS_peak_15145_lociStitched	chr21	41295701	41310140	2	10593	35892.4662	3475.4673	145	PCP4		PCP4	145	1
1_MACS_peak_14894_lociStitched	chr20	60910769	60916982	1	6214	33588.7206	1186.0617	146	LAMA5	ADRM1,RPS21	LAMA5	146	1
2_MACS_peak_22988_lociStitched	chr8	29622237	29634788	2	6662	34591.8111	2377.1594	147		C8orf75	C8orf75	147	1
1_MACS_peak_11957_lociStitched	chr19	47613840	47617836	1	3997	33076.4904	890.3088	148	ZC3H4	SAE1	ZC3H4	148	1
2_MACS_peak_884_lociStitched	chr1	66735529	66750830	2	14135	34913.8218	3005.1164	149	PDE4B	PDE4B	PDE4B	149	1
2_MACS_peak_18751_lociStitched	chr5	32570819	32589926	2	13031	35326.9323	3422.0637	150	SUB1		SUB1	150	1
5_MACS_peak_23479_lociStitched	chr8	120918669	120948091	5	19980	36127.2738	4398.589	151	DEPDC6		DEPDC6	151	1
2_MACS_peak_6636_lociStitched	chr13	115039525	115048679	2	8461	33356.2606	1766.722	152	UPF3A	CDC16,ZNF828	UPF3A	152	1
3_MACS_peak_8509_lociStitched	chr16	14486389	14504452	3	10100	34175.196	2651.6484	153			MIR365-1	153	1
2_MACS_peak_21580_lociStitched	chr7	26002461	26011620	2	8832	33427.6023	2095.5792	154		MIR148A	MIR148A	154	1
3_MACS_peak_11463_lociStitched	chr19	13949143	13962192	3	10010	32977.4328	1762.9199	155		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	155	1
5_MACS_peak_21256_lociStitched	chr6	157976947	158007240	5	16693	33349.5637	2317.4145	156	ZDHHC14	MIR3692	MIR3692	156	1
2_MACS_peak_14092_lociStitched	chr2	232687128	232715019	2	27558	34378.4466	3355.2873	157		COPS7B,PDE6D,MIR1471	COPS7B	157	1
4_MACS_peak_11144_lociStitched	chr19	1647789	1672852	4	12033	35098.2252	4085.269	158	TCF3	UQCR11	TCF3	158	1
5_MACS_peak_8126_lociStitched	chr15	89646702	89675103	5	15331	35259.8415	4618.0026	159	ABHD2		ABHD2	159	1
1_MACS_peak_5161_lociStitched	chr12	26265781	26280357	1	14577	32982.5728	2695.1024	160	BHLHE41		BHLHE41	160	1
8_MACS_peak_11835_lociStitched	chr19	42027260	42070268	8	24052	36900.864	6765.1584	161		CEACAM21	CEACAM21	161	1
5_MACS_peak_10217_lociStitched	chr17	62150143	62182999	5	19118	35454.9096	5818.7976	162	ERN1	SNORD104,SNORA76	ERN1	162	1
1_MACS_peak_4365_lociStitched	chr11	72523517	72527785	1	4269	30416.7556	892.4388	163	ATG16L2	STARD10	ATG16L2	163	1
5_MACS_peak_10373_lociStitched	chr17	73850643	73875789	5	12270	33398.9172	3940.3782	164	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	164	1
4_MACS_peak_1982_lociStitched	chr1	204474810	204492096	4	11189	33814.8732	4382.001	165	MDM4	PIK3C2B	MDM4	165	1
1_MACS_peak_17197_lociStitched	chr3	174865851	174871599	1	5749	31030.0032	1694.5104	166	NAALADL2		NAALADL2	166	1
1_MACS_peak_6620_lociStitched	chr13	114789235	114794545	1	5311	30613.212	1297.233	167	RASA3		RASA3	167	1
3_MACS_peak_13503_lociStitched	chr2	157188153	157207753	3	8679	31673.6	2399.04	168	NR4A2		NR4A2	168	1
2_MACS_peak_17411_lociStitched	chr3	194022337	194034282	2	6746	31767.7275	2675.68	169	LOC100131551	CPN2	LOC100131551	169	1
1_MACS_peak_14706_lociStitched	chr20	44599400	44601825	1	2426	29538.1975	483.7875	170	ZNF335	PCIF1,MMP9,SLC12A5	ZNF335	170	1
6_MACS_peak_21836_lociStitched	chr7	55616219	55642767	6	22443	33875.248	4890.1416	171	VOPP1		VOPP1	171	1
2_MACS_peak_22323_lociStitched	chr7	114561724	114574079	2	8444	32056.283	3130.757	172	MDFIC		MDFIC	172	1
8_MACS_peak_8998_lociStitched	chr16	68269818	68320752	8	25059	37171.6332	8327.709	173	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	173	1
3_MACS_peak_20477_lociStitched	chr6	42737757	42752387	3	8372	30856.133	2134.517	174		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	174	1
2_MACS_peak_22633_lociStitched	chr7	150101089	150113764	2	7547	31755.945	3325.92	175	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	175	1
1_MACS_peak_2730_lociStitched	chr10	30989205	30996926	1	7722	29886.4468	1516.4044	176			LYZL2	176	1
3_MACS_peak_16864_lociStitched	chr3	129026413	129048573	3	13852	32047.792	3780.496	177	C3orf47,H1FX	C3orf37	H1FX	177	1
1_MACS_peak_4846_lociStitched	chr11	129870973	129874370	1	3398	29009.3609	789.8025	178	NCRNA00167,PRDM10		PRDM10	178	1
1_MACS_peak_7952_lociStitched	chr15	75334422	75341714	1	7293	29927.0972	1865.2936	179	PPCDC	SCAMP5	PPCDC	179	1
1_MACS_peak_20861_lociStitched	chr6	106609473	106617547	1	8075	29739.7716	1843.2942	180			PRDM1	180	1
2_MACS_peak_17361_lociStitched	chr3	186779967	186792389	2	8734	31560.5754	3746.4752	181	ST6GAL1		ST6GAL1	181	1
2_MACS_peak_10513_lociStitched	chr17	78873546	78887055	2	7893	29506.3578	1712.9412	182	RPTOR		CHMP6	182	1
1_MACS_peak_17167_lociStitched	chr3	170072477	170076867	1	4391	28708.844	1053.161	183	SKIL	SKIL	SKIL	183	1
4_MACS_peak_3097_lociStitched	chr10	81001303	81020655	4	15330	30686.4664	3109.8664	184	ZMIZ1		PPIF	184	1
2_MACS_peak_9390_lociStitched	chr17	6915028	6926338	2	7136	29487.432	1976.988	185	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	185	1
1_MACS_peak_12964_lociStitched	chr2	86261853	86267159	1	5307	28634.8902	1191.7276	186	POLR1A	LOC90784	LOC90784	186	1
3_MACS_peak_1907_lociStitched	chr1	200850685	200864864	3	10040	30490.5216	3115.1263	187	C1orf106	GPR25	C1orf106	187	1
4_MACS_peak_11989_lociStitched	chr19	48879975	48902475	4	10391	30721.5	3372.75	188	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	188	1
2_MACS_peak_17407_lociStitched	chr3	193847788	193860504	2	12399	30050.4512	2761.9152	189	HES1		HES1	189	1
