REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
6_MACS_peak_1954_lociStitched	chr1	203236250	203278399	6	25587	88049.261	11666.8432	27	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.0378	27	1
2_MACS_peak_1501_lociStitched	chr1	156115547	156137154	2	21343	81704.7098	6164.4771	28	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.985	28	1
4_MACS_peak_22208_lociStitched	chr7	102063728	102093400	4	19230	79971.9744	5014.568	29	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.2846000000000002	29	1
3_MACS_peak_5897_lociStitched	chr12	109009112	109035759	3	17135	79229.5251	5462.635	30	SELPLG	TMEM119	SELPLG	SELPLG	3.1189	30	1
2_MACS_peak_22631_lociStitched	chr7	150062704	150084708	2	20768	78272.6288	5681.4328	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	1.7204000000000002	31	1
5_MACS_peak_14466_lociStitched	chr20	30262465	30312235	5	33734	79403.058	9496.116	32	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	1.0326	32	1
2_MACS_peak_13224_lociStitched	chr2	112455492	112468027	2	12380	68278.145	2499.479	33			ANAPC1	ANAPC1	NONE	33	1
2_MACS_peak_11166_lociStitched	chr19	2081699	2098166	2	14929	70631.9031	4880.8188	34	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.8589	34	1
3_MACS_peak_11780_lociStitched	chr19	39880664	39904141	3	18141	68127.9063	4134.2997	35	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.7872	35	1
2_MACS_peak_14664_lociStitched	chr20	42695057	42710835	2	9284	65533.923	2541.8358	36	TOX2		JPH2	JPH2	NONE	36	1
1_MACS_peak_9959_lociStitched	chr17	43298129	43308690	1	10562	64462.2318	2402.6275	37	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.8592	37	1
4_MACS_peak_4367_lociStitched	chr11	72850982	72869857	4	17599	65473.6	3878.8125	38	FCHSD2		FCHSD2	FCHSD2	0.030300000000000007	38	1
6_MACS_peak_2017_lociStitched	chr1	206271423	206311257	6	23386	70745.184	9157.8366	39	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	0.8806	39	1
1_MACS_peak_11013_lociStitched	chr18	60821786	60831646	1	9861	62770.732	2355.554	40	BCL2		BCL2	BCL2	0.4567	40	1
4_MACS_peak_13056_lociStitched	chr2	97190861	97212850	4	14858	64342.0129	4059.1694	41	ARID5A	NEURL3	ARID5A	ARID5A	1.4434	41	1
1_MACS_peak_220_lociStitched	chr1	16991257	16994690	1	3434	62158.5846	1894.6727	42		MST1P2,CROCCP2	MST1P2	MST1P2	0.5626	42	1
3_MACS_peak_18645_lociStitched	chr5	6475871	6497782	3	13635	63502.4602	3713.9145	43	UBE2QL1		UBE2QL1	UBE2QL1	1.2298	43	1
5_MACS_peak_16268_lociStitched	chr3	46577594	46608336	5	15828	64189.296	4694.3034	44	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	LRRC2	0.9812000000000001	44	1
1_MACS_peak_222_lociStitched	chr1	17065689	17068562	1	2874	60760.5024	1658.0083	45		ESPNP,MST1P9	ESPNP	NONE	NONE	45	1
3_MACS_peak_2357_lociStitched	chr1	234733866	234750020	3	11867	61950.59	4180.6552	46	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.7215	46	1
2_MACS_peak_4930_lociStitched	chr12	4216416	4230551	2	7992	59976.2185	2855.27	47			CCND2	CCND2	0.7908	47	1
1_MACS_peak_20143_lociStitched	chr6	25403090	25415656	1	12567	59873.2202	2775.8294	48	LRRC16A		LRRC16A	LRRC16A	0.2355	48	1
2_MACS_peak_12826_lociStitched	chr2	70310249	70323306	2	8251	59137.7644	2354.1771	49	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	4.750100000000001	49	1
1_MACS_peak_20858_lociStitched	chr6	106531161	106555891	1	24731	61703.823	5354.045	50	PRDM1		PRDM1	PRDM1	1.6933	50	1
1_MACS_peak_12283_lociStitched	chr2	11883312	11898242	1	14931	57695.492	3142.765	51	LPIN1		LPIN1	LPIN1	0.5809	51	1
1_MACS_peak_6615_lociStitched	chr13	114556380	114568297	1	11918	56829.7896	3025.7263	52	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.0170000000000001	52	1
4_MACS_peak_14608_lociStitched	chr20	37486999	37510340	4	11419	57481.8807	3848.9309	53	PPP1R16B	FAM83D	FAM83D	FAM83D	0.004199999999999995	53	1
2_MACS_peak_8882_lociStitched	chr16	56942871	56954724	2	11546	55652.2056	2289.9996	54	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.7109	54	1
3_MACS_peak_18062_lociStitched	chr4	90209074	90246762	3	26128	59686.4856	6606.7064	55	GPRIN3		GPRIN3	GPRIN3	0.6522	55	1
2_MACS_peak_8495_lociStitched	chr16	12055500	12071550	2	11950	55300.275	3235.68	56	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	3.8861000000000003	56	1
8_MACS_peak_14508_lociStitched	chr20	32398409	32452425	8	34039	61243.3408	9350.1696	57	CHMP4B		CHMP4B	CHMP4B	0.8024	57	1
4_MACS_peak_7130_lociStitched	chr14	91812919	91846576	4	24492	54524.34	3547.4478	58	CCDC88C		CCDC88C	CCDC88C	0.47829999999999995	58	1
1_MACS_peak_17406_lociStitched	chr3	193815011	193823277	1	8267	53390.9206	2654.2126	59		HES1	HES1	HES1	2.0221	59	1
3_MACS_peak_10658_lociStitched	chr18	9060203	9084947	3	16034	53489.1048	4711.2576	60		NDUFV2	NDUFV2	NDUFV2	0.8943000000000001	60	1
6_MACS_peak_9699_lociStitched	chr17	32688398	32726773	6	29137	55217.7875	7310.4375	61	CCL1	CCL8,CCL13	CCL1	CCL1	0.6938	61	1
1_MACS_peak_21835_lociStitched	chr7	55597670	55605613	1	7944	49900.3089	2054.8541	62	VOPP1		VOPP1	VOPP1	0.9103999999999999	62	1
1_MACS_peak_5077_lociStitched	chr12	12866061	12880325	1	14265	50329.0976	2663.0888	63	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.1769	63	1
3_MACS_peak_8612_lociStitched	chr16	23344214	23363563	3	10751	51427.7071	3769.1852	64	SCNN1B		SCNN1B	SCNN1B	0.6958	64	1
7_MACS_peak_10884_lociStitched	chr18	46439386	46482911	7	34644	55102.65	7508.0625	65	SMAD7		SMAD7	SMAD7	1.1058999999999999	65	1
2_MACS_peak_2263_lociStitched	chr1	226838942	226853155	2	14005	51084.3646	3961.1631	66	ITPKB		ITPKB	ITPKB	0.5967	66	1
3_MACS_peak_11526_lociStitched	chr19	16694085	16711860	3	13257	50617.8675	3517.6725	67	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.11120000000000001	67	1
3_MACS_peak_12328_lociStitched	chr2	20404526	20426233	3	19363	51061.3761	4017.9657	68	SDC1		SDC1	SDC1	1.3788	68	1
1_MACS_peak_20024_lociStitched	chr6	11826934	11838576	1	11643	49060.5522	2370.3112	69		C6orf105	C6orf105	C6orf105	0.2811	69	1
4_MACS_peak_4379_lociStitched	chr11	72976825	73002545	4	15401	50285.172	4333.82	70	P2RY6	P2RY2,ARHGEF17	P2RY6	P2RY6	1.0815	70	1
1_MACS_peak_22237_lociStitched	chr7	104651314	104656791	1	5478	47149.3022	1273.4025	71	MLL5,LOC100216545		LOC100216545	LOC100216545	3.4019	71	1
2_MACS_peak_15459_lociStitched	chr22	29185919	29199778	2	13657	48532.8321	2879.9002	72	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.8499999999999996	72	1
3_MACS_peak_7420_lociStitched	chr15	31546218	31562599	3	12810	48531.9887	2953.4943	73			KLF13	KLF13	0.651	73	1
5_MACS_peak_8481_lociStitched	chr16	11761572	11785921	5	19978	49764.4862	4329.2522	74	SNN,TXNDC11		SNN	SNN	1.1861	74	1
2_MACS_peak_4195_lociStitched	chr11	65254282	65278788	2	18012	49984.8882	4749.2628	75	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.2178	75	1
2_MACS_peak_4660_lociStitched	chr11	115089455	115102374	2	10205	47234.4478	2135.5107	76	CADM1		CADM1	CADM1	0.22829999999999998	76	1
5_MACS_peak_17288_lociStitched	chr3	183228304	183260748	5	23227	53068.6508	8042.8676	77	KLHL6		KLHL6	KLHL6	0.7807000000000002	77	1
3_MACS_peak_435_lociStitched	chr1	31214236	31236476	3	20655	49388.368	4708.208	78	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.2662	78	1
3_MACS_peak_10152_lociStitched	chr17	56405510	56430907	3	17962	49453.0384	5173.3689	79	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	1.4848000000000001	79	1
8_MACS_peak_20573_lociStitched	chr6	52392442	52442903	8	25310	53125.3408	9057.7495	80	TRAM2		TRAM2	TRAM2	0.5965	80	1
2_MACS_peak_4791_lociStitched	chr11	126056599	126068870	2	7652	46213.8131	2202.6445	81		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.3143	81	1
1_MACS_peak_22233_lociStitched	chr7	104574512	104587060	1	12549	45751.2628	2651.3924	82		LOC723809	LOC723809	LOC723809	0.2131	82	1
5_MACS_peak_4987_lociStitched	chr12	7045655	7081222	5	21231	49000.6559	6263.3487	83	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.342	83	1
1_MACS_peak_15982_lociStitched	chr3	13049897	13061664	1	11768	45237.0548	2640.5148	84	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.26789999999999997	84	1
3_MACS_peak_9739_lociStitched	chr17	34409012	34432910	3	21403	47387.3442	4827.396	85	CCL4,CCL3	CCL18	CCL3	CCL3	2.5049	85	1
1_MACS_peak_21372_lociStitched	chr7	2393012	2396079	1	3068	42940.1469	517.4029	86	EIF3B	CHST12,SNX8	EIF3B	EIF3B	1.1456	86	1
4_MACS_peak_12622_lociStitched	chr2	47527016	47550799	4	14385	46136.6417	4005.0572	87		EPCAM	EPCAM	NONE	NONE	87	1
2_MACS_peak_1356_lociStitched	chr1	150532279	150553140	2	15676	47811.3259	6406.4131	88	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.5535000000000001	88	1
2_MACS_peak_10423_lociStitched	chr17	75130851	75145775	2	12525	44383.976	2980.3228	89	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.5692000000000002	89	1
2_MACS_peak_14638_lociStitched	chr20	40709921	40727361	2	13489	43828.464	2760.752	90	PTPRT		CHD6	CHD6	NONE	90	1
4_MACS_peak_7357_lociStitched	chr15	23658816	23682904	4	17202	45022.8808	4516.5	91			MKRN3	MKRN3	NONE	91	1
3_MACS_peak_13836_lociStitched	chr2	201980046	201994812	3	14735	43630.5768	3233.754	92	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.6978	92	1
2_MACS_peak_3352_lociStitched	chr10	104531090	104543889	2	12296	42794.7364	2634.0342	93	C10orf26		C10orf26	C10orf26	0.6328	93	1
5_MACS_peak_11504_lociStitched	chr19	16244056	16272931	5	20109	44865.975	4790.3625	94	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.1591	94	1
5_MACS_peak_3527_lociStitched	chr10	125822153	125854652	5	24235	45440.1018	5901.8184	95	CHST15		CHST15	CHST15	0.4377	95	1
7_MACS_peak_7423_lociStitched	chr15	31616745	31657744	7	22470	46279.6712	6937.0308	96	KLF13		KLF13	KLF13	0.651	96	1
2_MACS_peak_8942_lociStitched	chr16	66549006	66561262	2	11494	41845.6608	2641.168	97	TK2	CKLF,CMTM1	TK2	TK2	0.9532999999999999	97	1
2_MACS_peak_15147_lociStitched	chr21	41324715	41344936	2	16666	45013.9681	5928.7972	98			PCP4	PCP4	0.22399999999999998	98	1
2_MACS_peak_8488_lociStitched	chr16	11808614	11837874	2	22317	44539.572	5503.806	99	TXNDC11	SNN	TXNDC11	SNN	1.1861	99	1
3_MACS_peak_19363_lociStitched	chr5	131745226	131767589	3	18445	43314.8947	4300.4049	100	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.9209999999999999	100	1
4_MACS_peak_299_lociStitched	chr1	24512463	24533764	4	15575	42712.7652	3927.9044	101	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.35650000000000004	101	1
5_MACS_peak_16793_lociStitched	chr3	124479916	124512431	5	21246	43414.028	4828.4775	102	ITGB5	UMPS	UMPS	UMPS	0.027099999999999985	102	1
1_MACS_peak_20335_lociStitched	chr6	32935244	32941616	1	6373	39589.236	1584.7164	103	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.6562000000000001	103	1
3_MACS_peak_16912_lociStitched	chr3	133181677	133200654	3	15394	41113.6705	3579.0622	104	BFSP2		BFSP2	BFSP2	0.5255000000000001	104	1
1_MACS_peak_15194_lociStitched	chr21	44724896	44734900	1	10005	39610.838	2134.8536	105			SIK1	SIK1	NONE	105	1
1_MACS_peak_1513_lociStitched	chr1	156456737	156476363	1	19627	43063.3692	5783.7822	106	MEF2D		MEF2D	MEF2D	0.7533000000000001	106	1
1_MACS_peak_9815_lociStitched	chr17	37909437	37915675	1	6239	38659.3812	1644.9606	107		GRB7,C17orf37	GRB7	C17orf37	0.23609999999999998	107	1
3_MACS_peak_15173_lociStitched	chr21	43638659	43657861	3	12784	41430.2352	4485.5872	108	ABCG1		ABCG1	ABCG1	0.41300000000000003	108	1
2_MACS_peak_1431_lociStitched	chr1	154374889	154394544	2	15989	41635.1865	4725.062	109	IL6R		IL6R	IL6R	0.5069	109	1
2_MACS_peak_7920_lociStitched	chr15	74665663	74680544	2	8670	39726.3176	2816.9733	110		CYP11A1,SEMA7A	CYP11A1	SEMA7A	0.11560000000000001	110	1
2_MACS_peak_14516_lociStitched	chr20	32460792	32473545	2	10297	38931.0831	2350.3779	111			CHMP4B	CHMP4B	0.8024	111	1
3_MACS_peak_2293_lociStitched	chr1	228665959	228679042	3	6419	39135.1779	2615.2917	112	RNF187	HIST3H2BB,HIST3H2A	RNF187	RNF187	1.7107999999999999	112	1
1_MACS_peak_8884_lociStitched	chr16	56963538	56975641	1	12104	39213.72	2784.9003	113	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.7109	113	1
1_MACS_peak_12548_lociStitched	chr2	42323420	42334555	1	11136	38292.1515	1929.6955	114		PKDCC	PKDCC	PKDCC	0.018000000000000002	114	1
1_MACS_peak_15167_lociStitched	chr21	43480194	43486229	1	6036	38450.7955	2155.0985	115	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	0.604	115	1
4_MACS_peak_24533_lociStitched	chr9	126082776	126103942	4	11874	39502.1058	3261.6806	116		CRB2	CRB2	CRB2	0.011400000000000007	116	1
2_MACS_peak_3421_lociStitched	chr10	112215054	112226059	2	10481	38286.395	2205.402	117		DUSP5	DUSP5	DUSP5	0.684	117	1
3_MACS_peak_4342_lociStitched	chr11	71413616	71427042	3	10792	38315.1188	2514.6898	118			FAM86C	FAM86C	NONE	118	1
2_MACS_peak_9838_lociStitched	chr17	38466243	38484202	2	16807	39175.7626	3563.0656	119	RARA	CDC6,RARA,GJD3	RARA	RARA	0.6169	119	1
6_MACS_peak_2564_lociStitched	chr10	11278866	11312924	6	20947	41669.963	6106.5994	120	CELF2		CELF2	CELF2	0.3584	120	1
4_MACS_peak_7532_lociStitched	chr15	40833556	40862795	4	17553	40060.3539	5040.8036	121	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.8044	121	1
2_MACS_peak_11709_lociStitched	chr19	35695353	35708259	2	10607	37550.007	2543.7726	122		FXYD5,LSR,FAM187B	FAM187B	LSR	0.7363999999999999	122	1
3_MACS_peak_5894_lociStitched	chr12	108953321	108970509	3	15842	38671.2812	3769.3284	123	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.0219	123	1
1_MACS_peak_17775_lociStitched	chr4	40191670	40209078	1	17409	38219.264	3572.1216	124	RHOH		RHOH	RHOH	0.5898	124	1
3_MACS_peak_14899_lociStitched	chr20	61272840	61291076	3	12574	37002.6676	2593.1592	125	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.8602	125	1
1_MACS_peak_4040_lociStitched	chr11	58340138	58347892	1	7755	36117.3566	1783.42	126	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.5654	126	1
6_MACS_peak_3414_lociStitched	chr10	112146698	112186679	6	24739	40200.8955	6037.131	127			DUSP5	DUSP5	0.684	127	1
1_MACS_peak_2077_lociStitched	chr1	209274777	209285212	1	10436	36899.2035	2801.7975	128			LOC642587	LOC642587	NONE	128	1
3_MACS_peak_10239_lociStitched	chr17	62970324	62986369	3	8961	36683.6835	2602.499	129	AMZ2P1		AMZ2P1	AMZ2P1	0.6500999999999999	129	1
4_MACS_peak_15692_lociStitched	chr22	39823293	39846152	4	13165	37765.3539	3822.0248	130	TAB1	MGAT3	MGAT3	MGAT3	0.1338	130	1
1_MACS_peak_4938_lociStitched	chr12	4377250	4387434	1	10185	35696.9568	1756.74	131	CCND2	C12orf5	CCND2	CCND2	0.7908	131	1
1_MACS_peak_7301_lociStitched	chr14	106323776	106329601	1	5826	34453.1275	647.74	132			KIAA0125	KIAA0125	NONE	132	1
4_MACS_peak_1333_lociStitched	chr1	149803073	149834009	4	15852	42153.3936	8358.9072	133	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	1.1416	133	1
1_MACS_peak_1960_lociStitched	chr1	203288196	203297892	1	9697	36877.7664	3088.176	134		BTG2,LOC730227,FMOD	BTG2	LOC730227	2.0378	134	1
1_MACS_peak_18504_lociStitched	chr4	185301131	185307801	1	6671	35321.652	1575.454	135			IRF2	IRF2	0.7717	135	1
2_MACS_peak_3866_lociStitched	chr11	22685331	22703331	2	17861	36516.6	2800.8	136	GAS2	FANCF	GAS2	FANCF	0.3788	136	1
2_MACS_peak_18608_lociStitched	chr5	1335259	1346360	2	8485	35597.5767	2053.685	137	CLPTM1L	TERT	CLPTM1L	CLPTM1L	3.9886000000000004	137	1
2_MACS_peak_10277_lociStitched	chr17	66229986	66245255	2	8918	35759.998	2348.3722	138	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	AMZ2	0.5719000000000001	138	1
2_MACS_peak_22720_lociStitched	chr8	1990697	2000192	2	7173	34909.317	1855.323	139	MYOM2		MYOM2	MYOM2	1.2764	139	1
1_MACS_peak_9378_lociStitched	chr17	6063159	6071603	1	8445	34472.63	1489.5216	140			WSCD1	WSCD1	NONE	140	1
4_MACS_peak_12765_lociStitched	chr2	65156855	65178527	4	13273	37258.5024	4278.0528	141	LOC400958	SLC1A4	LOC400958	LOC400958	0.6128	141	1
4_MACS_peak_13213_lociStitched	chr2	112208539	112242012	4	18317	38266.3336	5419.2787	142	LOC541471		LOC541471	LOC541471	0.41779999999999995	142	1
2_MACS_peak_1321_lociStitched	chr1	149214024	149225679	2	6003	36857.772	4200.462	143			LOC388692	LOC388692	NONE	143	1
2_MACS_peak_18496_lociStitched	chr4	185201172	185210928	2	8684	34590.8736	2007.7848	144			ENPP6	ENPP6	NONE	144	1
2_MACS_peak_15145_lociStitched	chr21	41295701	41310140	2	10593	35892.4662	3475.4673	145	PCP4		PCP4	PCP4	0.22399999999999998	145	1
1_MACS_peak_14894_lociStitched	chr20	60910769	60916982	1	6214	33588.7206	1186.0617	146	LAMA5	ADRM1,RPS21	LAMA5	RPS21	0.6015	146	1
2_MACS_peak_22988_lociStitched	chr8	29622237	29634788	2	6662	34591.8111	2377.1594	147		C8orf75	C8orf75	C8orf75	0.2712	147	1
1_MACS_peak_11957_lociStitched	chr19	47613840	47617836	1	3997	33076.4904	890.3088	148	ZC3H4	SAE1	ZC3H4	ZC3H4	0.5003000000000001	148	1
2_MACS_peak_884_lociStitched	chr1	66735529	66750830	2	14135	34913.8218	3005.1164	149	PDE4B	PDE4B	PDE4B	PDE4B	0.09239999999999998	149	1
2_MACS_peak_18751_lociStitched	chr5	32570819	32589926	2	13031	35326.9323	3422.0637	150	SUB1		SUB1	SUB1	0.8645999999999999	150	1
5_MACS_peak_23479_lociStitched	chr8	120918669	120948091	5	19980	36127.2738	4398.589	151	DEPDC6		DEPDC6	DEPDC6	0.23019999999999996	151	1
2_MACS_peak_6636_lociStitched	chr13	115039525	115048679	2	8461	33356.2606	1766.722	152	UPF3A	CDC16,ZNF828	UPF3A	UPF3A	0.8885000000000001	152	1
3_MACS_peak_8509_lociStitched	chr16	14486389	14504452	3	10100	34175.196	2651.6484	153			MIR365-1	MIR365-1	NONE	153	1
2_MACS_peak_21580_lociStitched	chr7	26002461	26011620	2	8832	33427.6023	2095.5792	154		MIR148A	MIR148A	MIR148A	1.7572	154	1
3_MACS_peak_11463_lociStitched	chr19	13949143	13962192	3	10010	32977.4328	1762.9199	155		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	0.9122999999999999	155	1
5_MACS_peak_21256_lociStitched	chr6	157976947	158007240	5	16693	33349.5637	2317.4145	156	ZDHHC14	MIR3692	MIR3692	MIR3692	0.01220000000000001	156	1
2_MACS_peak_14092_lociStitched	chr2	232687128	232715019	2	27558	34378.4466	3355.2873	157		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.017	157	1
4_MACS_peak_11144_lociStitched	chr19	1647789	1672852	4	12033	35098.2252	4085.269	158	TCF3	UQCR11	TCF3	TCF3	0.5428999999999999	158	1
5_MACS_peak_8126_lociStitched	chr15	89646702	89675103	5	15331	35259.8415	4618.0026	159	ABHD2		ABHD2	ABHD2	0.2657	159	1
1_MACS_peak_5161_lociStitched	chr12	26265781	26280357	1	14577	32982.5728	2695.1024	160	BHLHE41		BHLHE41	BHLHE41	1.5618	160	1
8_MACS_peak_11835_lociStitched	chr19	42027260	42070268	8	24052	36900.864	6765.1584	161		CEACAM21	CEACAM21	NONE	NONE	161	1
5_MACS_peak_10217_lociStitched	chr17	62150143	62182999	5	19118	35454.9096	5818.7976	162	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.4505	162	1
