#03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_ROSE/03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam
#Using cutoff of 13641.8886 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	isSuperStretch
4_MACS_peak_22208_lociStitched	chr7	102063728	102093400	4	19230	79971.9744	5014.568	35	1
3_MACS_peak_15398_lociStitched	chr22	24178950	24200907	3	15626	89975.3946	4178.4171	36	1
6_MACS_peak_3414_lociStitched	chr10	112146698	112186679	6	24739	40200.8955	6037.131	37	1
5_MACS_peak_3527_lociStitched	chr10	125822153	125854652	5	24235	45440.1018	5901.8184	38	1
8_MACS_peak_8998_lociStitched	chr16	68269818	68320752	8	25059	37171.6332	8327.709	39	1
5_MACS_peak_17288_lociStitched	chr3	183228304	183260748	5	23227	53068.6508	8042.8676	40	1
1_MACS_peak_5421_lociStitched	chr12	53587386	53603817	1	16432	82268.3739	3524.4495	41	1
8_MACS_peak_11835_lociStitched	chr19	42027260	42070268	8	24052	36900.864	6765.1584	42	1
3_MACS_peak_5897_lociStitched	chr12	109009112	109035759	3	17135	79229.5251	5462.635	43	1
7_MACS_peak_7423_lociStitched	chr15	31616745	31657744	7	22470	46279.6712	6937.0308	44	1
1_MACS_peak_24948_lociStitched	chrX	19469856	19470839	1	984	98192.1649	57.4072	45	0
2_MACS_peak_8488_lociStitched	chr16	11808614	11837874	2	22317	44539.572	5503.806	46	1
3_MACS_peak_11780_lociStitched	chr19	39880664	39904141	3	18141	68127.9063	4134.2997	47	1
3_MACS_peak_9739_lociStitched	chr17	34409012	34432910	3	21403	47387.3442	4827.396	48	1
5_MACS_peak_4987_lociStitched	chr12	7045655	7081222	5	21231	49000.6559	6263.3487	49	1
6_MACS_peak_21836_lociStitched	chr7	55616219	55642767	6	22443	33875.248	4890.1416	50	1
3_MACS_peak_435_lociStitched	chr1	31214236	31236476	3	20655	49388.368	4708.208	51	1
4_MACS_peak_4367_lociStitched	chr11	72850982	72869857	4	17599	65473.6	3878.8125	52	1
5_MACS_peak_16793_lociStitched	chr3	124479916	124512431	5	21246	43414.028	4828.4775	53	1
5_MACS_peak_8481_lociStitched	chr16	11761572	11785921	5	19978	49764.4862	4329.2522	54	1
4_MACS_peak_3410_lociStitched	chr10	112103932	112128837	4	12127	82203.9335	4475.4285	55	1
6_MACS_peak_2564_lociStitched	chr10	11278866	11312924	6	20947	41669.963	6106.5994	56	1
6_MACS_peak_6077_lociStitched	chr12	123355306	123387146	6	21655	29814.976	2671.376	57	1
3_MACS_peak_12328_lociStitched	chr2	20404526	20426233	3	19363	51061.3761	4017.9657	58	1
5_MACS_peak_15920_lociStitched	chr3	5222678	5256260	5	21561	30939.0966	5520.8808	59	1
5_MACS_peak_11504_lociStitched	chr19	16244056	16272931	5	20109	44865.975	4790.3625	60	1
2_MACS_peak_11166_lociStitched	chr19	2081699	2098166	2	14929	70631.9031	4880.8188	61	1
3_MACS_peak_223_lociStitched	chr1	17221389	17241676	3	8906	86442.907	5459.2317	62	1
8_MACS_peak_5434_lociStitched	chr12	53845682	53873680	8	21370	20810.9134	4989.2436	63	1
1_MACS_peak_1513_lociStitched	chr1	156456737	156476363	1	19627	43063.3692	5783.7822	64	1
5_MACS_peak_16268_lociStitched	chr3	46577594	46608336	5	15828	64189.296	4694.3034	65	1
6_MACS_peak_3430_lociStitched	chr10	112600008	112633010	6	20509	31685.2202	4953.6002	66	1
5_MACS_peak_23479_lociStitched	chr8	120918669	120948091	5	19980	36127.2738	4398.589	67	1
2_MACS_peak_4195_lociStitched	chr11	65254282	65278788	2	18012	49984.8882	4749.2628	68	1
4_MACS_peak_13056_lociStitched	chr2	97190861	97212850	4	14858	64342.0129	4059.1694	69	1
3_MACS_peak_10152_lociStitched	chr17	56405510	56430907	3	17962	49453.0384	5173.3689	70	1
6_MACS_peak_19776_lociStitched	chr5	173310102	173343560	6	20434	23283.4222	5604.215	71	1
3_MACS_peak_19363_lociStitched	chr5	131745226	131767589	3	18445	43314.8947	4300.4049	72	1
2_MACS_peak_13224_lociStitched	chr2	112455492	112468027	2	12380	68278.145	2499.479	73	1
5_MACS_peak_10217_lociStitched	chr17	62150143	62182999	5	19118	35454.9096	5818.7976	74	1
3_MACS_peak_18645_lociStitched	chr5	6475871	6497782	3	13635	63502.4602	3713.9145	75	1
1_MACS_peak_12283_lociStitched	chr2	11883312	11898242	1	14931	57695.492	3142.765	76	1
3_MACS_peak_10658_lociStitched	chr18	9060203	9084947	3	16034	53489.1048	4711.2576	77	1
4_MACS_peak_13213_lociStitched	chr2	112208539	112242012	4	18317	38266.3336	5419.2787	78	1
4_MACS_peak_7357_lociStitched	chr15	23658816	23682904	4	17202	45022.8808	4516.5	79	1
2_MACS_peak_3866_lociStitched	chr11	22685331	22703331	2	17861	36516.6	2800.8	80	1
4_MACS_peak_7532_lociStitched	chr15	40833556	40862795	4	17553	40060.3539	5040.8036	81	1
6_MACS_peak_23536_lociStitched	chr8	126285525	126316145	6	18348	30613.876	4599.124	82	1
1_MACS_peak_17775_lociStitched	chr4	40191670	40209078	1	17409	38219.264	3572.1216	83	1
2_MACS_peak_15147_lociStitched	chr21	41324715	41344936	2	16666	45013.9681	5928.7972	84	1
4_MACS_peak_4379_lociStitched	chr11	72976825	73002545	4	15401	50285.172	4333.82	85	1
6_MACS_peak_8252_lociStitched	chr15	101661258	101692508	6	17863	31640.625	4965.625	86	1
2_MACS_peak_9838_lociStitched	chr17	38466243	38484202	2	16807	39175.7626	3563.0656	87	1
1_MACS_peak_20143_lociStitched	chr6	25403090	25415656	1	12567	59873.2202	2775.8294	88	1
2_MACS_peak_10661_lociStitched	chr18	9101875	9122100	2	17634	30458.85	3646.5675	89	1
5_MACS_peak_4825_lociStitched	chr11	128585980	128609699	5	18140	24800.5864	4304.9985	90	1
7_MACS_peak_16247_lociStitched	chr3	46317785	46347195	7	18331	21639.878	4926.175	91	1
2_MACS_peak_1356_lociStitched	chr1	150532279	150553140	2	15676	47811.3259	6406.4131	92	1
1_MACS_peak_9959_lociStitched	chr17	43298129	43308690	1	10562	64462.2318	2402.6275	93	1
3_MACS_peak_2357_lociStitched	chr1	234733866	234750020	3	11867	61950.59	4180.6552	94	1
1_MACS_peak_5077_lociStitched	chr12	12866061	12880325	1	14265	50329.0976	2663.0888	95	1
4_MACS_peak_3368_lociStitched	chr10	105244606	105268572	4	17484	27565.6932	3961.5798	96	1
2_MACS_peak_1431_lociStitched	chr1	154374889	154394544	2	15989	41635.1865	4725.062	97	1
5_MACS_peak_21256_lociStitched	chr6	157976947	158007240	5	16693	33349.5637	2317.4145	98	1
4_MACS_peak_299_lociStitched	chr1	24512463	24533764	4	15575	42712.7652	3927.9044	99	1
8_MACS_peak_10019_lociStitched	chr17	46527855	46562231	8	17971	19047.7416	5232.0272	100	1
2_MACS_peak_2263_lociStitched	chr1	226838942	226853155	2	14005	51084.3646	3961.1631	101	1
2_MACS_peak_14664_lociStitched	chr20	42695057	42710835	2	9284	65533.923	2541.8358	102	1
3_MACS_peak_22936_lociStitched	chr8	27208587	27239163	3	17519	24821.5968	5072.5584	103	1
7_MACS_peak_18505_lociStitched	chr4	185317550	185349889	7	17079	28865.7914	4831.4466	104	1
3_MACS_peak_5894_lociStitched	chr12	108953321	108970509	3	15842	38671.2812	3769.3284	105	1
3_MACS_peak_16912_lociStitched	chr3	133181677	133200654	3	15394	41113.6705	3579.0622	106	1
1_MACS_peak_11013_lociStitched	chr18	60821786	60831646	1	9861	62770.732	2355.554	107	1
4_MACS_peak_1333_lociStitched	chr1	149803073	149834009	4	15852	42153.3936	8358.9072	108	1
1_MACS_peak_6615_lociStitched	chr13	114556380	114568297	1	11918	56829.7896	3025.7263	109	1
3_MACS_peak_13836_lociStitched	chr2	201980046	201994812	3	14735	43630.5768	3233.754	110	1
4_MACS_peak_12622_lociStitched	chr2	47527016	47550799	4	14385	46136.6417	4005.0572	111	1
2_MACS_peak_15459_lociStitched	chr22	29185919	29199778	2	13657	48532.8321	2879.9002	112	1
3_MACS_peak_11526_lociStitched	chr19	16694085	16711860	3	13257	50617.8675	3517.6725	113	1
4_MACS_peak_3751_lociStitched	chr11	10314536	10341083	4	16624	28784.9121	4512.99	114	1
3_MACS_peak_10469_lociStitched	chr17	76711284	76733796	3	16961	23594.8272	3847.3008	115	1
2_MACS_peak_8495_lociStitched	chr16	12055500	12071550	2	11950	55300.275	3235.68	116	1
2_MACS_peak_8882_lociStitched	chr16	56942871	56954724	2	11546	55652.2056	2289.9996	117	1
4_MACS_peak_14608_lociStitched	chr20	37486999	37510340	4	11419	57481.8807	3848.9309	118	1
3_MACS_peak_14801_lociStitched	chr20	52195339	52213678	3	17153	15833.8926	2717.8398	119	0
6_MACS_peak_15681_lociStitched	chr22	39631671	39664011	6	16473	27456.66	4359.432	120	1
4_MACS_peak_20139_lociStitched	chr6	25366706	25390092	4	16742	23016.5012	4338.103	121	1
5_MACS_peak_8126_lociStitched	chr15	89646702	89675103	5	15331	35259.8415	4618.0026	122	1
3_MACS_peak_7420_lociStitched	chr15	31546218	31562599	3	12810	48531.9887	2953.4943	123	1
5_MACS_peak_17180_lociStitched	chr3	171802366	171827105	5	16046	29152.4376	5806.2433	124	1
4_MACS_peak_1859_lociStitched	chr1	192497903	192521009	4	16057	28492.0086	5344.4178	125	1
4_MACS_peak_7935_lociStitched	chr15	75065396	75083587	4	16373	21927.4314	3214.3497	126	1
2_MACS_peak_14638_lociStitched	chr20	40709921	40727361	2	13489	43828.464	2760.752	127	1
5_MACS_peak_10329_lociStitched	chr17	72733361	72756614	5	16301	21116.0493	4113.4557	128	1
4_MACS_peak_3097_lociStitched	chr10	81001303	81020655	4	15330	30686.4664	3109.8664	129	1
6_MACS_peak_8716_lociStitched	chr16	30193848	30227644	6	16148	24302.7036	6657.812	130	1
3_MACS_peak_7515_lociStitched	chr15	40387154	40409155	3	15327	30403.1819	4232.9924	131	1
1_MACS_peak_22233_lociStitched	chr7	104574512	104587060	1	12549	45751.2628	2651.3924	132	1
1_MACS_peak_20024_lociStitched	chr6	11826934	11838576	1	11643	49060.5522	2370.3112	133	1
1_MACS_peak_5161_lociStitched	chr12	26265781	26280357	1	14577	32982.5728	2695.1024	134	1
7_MACS_peak_11359_lociStitched	chr19	10512934	10543416	7	16055	17981.3318	4441.2274	135	0
5_MACS_peak_9963_lociStitched	chr17	43505067	43531544	5	15639	23479.8036	3762.3817	136	1
2_MACS_peak_12826_lociStitched	chr2	70310249	70323306	2	8251	59137.7644	2354.1771	137	1
3_MACS_peak_16090_lociStitched	chr3	30682709	30703657	3	15971	16863.14	3414.524	138	0
2_MACS_peak_4930_lociStitched	chr12	4216416	4230551	2	7992	59976.2185	2855.27	139	1
2_MACS_peak_10423_lociStitched	chr17	75130851	75145775	2	12525	44383.976	2980.3228	140	1
2_MACS_peak_884_lociStitched	chr1	66735529	66750830	2	14135	34913.8218	3005.1164	141	1
3_MACS_peak_8612_lociStitched	chr16	23344214	23363563	3	10751	51427.7071	3769.1852	142	1
5_MACS_peak_24414_lociStitched	chr9	112904357	112925355	5	15663	15838.7914	4166.0032	143	0
2_MACS_peak_3352_lociStitched	chr10	104531090	104543889	2	12296	42794.7364	2634.0342	144	1
1_MACS_peak_15982_lociStitched	chr3	13049897	13061664	1	11768	45237.0548	2640.5148	145	1
6_MACS_peak_9829_lociStitched	chr17	38251385	38280321	6	15175	21496.5544	4487.9736	146	1
3_MACS_peak_15173_lociStitched	chr21	43638659	43657861	3	12784	41430.2352	4485.5872	147	1
4_MACS_peak_15692_lociStitched	chr22	39823293	39846152	4	13165	37765.3539	3822.0248	148	1
3_MACS_peak_16604_lociStitched	chr3	98479825	98495893	3	14380	27203.124	2819.934	149	1
4_MACS_peak_12765_lociStitched	chr2	65156855	65178527	4	13273	37258.5024	4278.0528	150	1
2_MACS_peak_19120_lociStitched	chr5	88113520	88130402	2	15241	16468.391	3148.493	151	0
3_MACS_peak_16864_lociStitched	chr3	129026413	129048573	3	13852	32047.792	3780.496	152	1
6_MACS_peak_7180_lociStitched	chr14	95946366	95985750	6	15076	17746.4304	3288.564	153	1
4_MACS_peak_24213_lociStitched	chr9	93670890	93690271	4	14234	27530.7105	3118.4029	154	1
5_MACS_peak_1260_lociStitched	chr1	145128734	145161551	5	15080	23966.2551	10409.5524	155	0
1_MACS_peak_220_lociStitched	chr1	16991257	16994690	1	3434	62158.5846	1894.6727	156	0
4_MACS_peak_7080_lociStitched	chr14	81930688	81952801	4	14798	18678.8511	2262.1599	157	1
5_MACS_peak_23690_lociStitched	chr8	145001963	145027943	5	14241	25727.994	3179.952	158	1
2_MACS_peak_18751_lociStitched	chr5	32570819	32589926	2	13031	35326.9323	3422.0637	159	1
4_MACS_peak_13986_lociStitched	chr2	219743249	219763375	4	13984	27912.7494	3483.8106	160	1
3_MACS_peak_14899_lociStitched	chr20	61272840	61291076	3	12574	37002.6676	2593.1592	161	1
3_MACS_peak_21740_lociStitched	chr7	44661885	44680256	3	13651	30383.7969	3494.1642	162	1
2_MACS_peak_4660_lociStitched	chr11	115089455	115102374	2	10205	47234.4478	2135.5107	163	1
1_MACS_peak_8884_lociStitched	chr16	56963538	56975641	1	12104	39213.72	2784.9003	164	1
1_MACS_peak_17406_lociStitched	chr3	193815011	193823277	1	8267	53390.9206	2654.2126	165	1
2_MACS_peak_8942_lociStitched	chr16	66549006	66561262	2	11494	41845.6608	2641.168	166	1
3_MACS_peak_10306_lociStitched	chr17	70582472	70602142	3	14319	22172.024	3812.046	167	1
1_MACS_peak_222_lociStitched	chr1	17065689	17068562	1	2874	60760.5024	1658.0083	168	0
4_MACS_peak_15598_lociStitched	chr22	37611025	37628618	4	13678	27789.9028	3307.484	169	1
6_MACS_peak_7508_lociStitched	chr15	40330041	40358379	6	14354	21783.4206	4695.6066	170	1
4_MACS_peak_18881_lociStitched	chr5	55437246	55453546	4	14069	22795.55	2901.4	171	1
4_MACS_peak_24533_lociStitched	chr9	126082776	126103942	4	11874	39502.1058	3261.6806	172	1
3_MACS_peak_5329_lociStitched	chr12	48200519	48219051	3	13860	24271.3604	3107.8164	173	1
3_MACS_peak_21832_lociStitched	chr7	55569514	55585806	3	13390	27147.3596	2727.2808	174	1
5_MACS_peak_25557_lociStitched	chrX	153596715	153627908	5	13879	21863.1737	2442.4119	175	1
5_MACS_peak_7331_lociStitched	chr15	21975949	22002654	5	14038	20733.762	3989.727	176	1
4_MACS_peak_13776_lociStitched	chr2	197023917	197048429	4	13974	21744.5952	4250.3808	177	1
3_MACS_peak_20754_lociStitched	chr6	88625606	88640464	3	13677	23239.3978	2757.6448	178	1
1_MACS_peak_22022_lociStitched	chr7	78114698	78128354	1	13657	21196.8432	2303.7672	179	1
1_MACS_peak_12548_lociStitched	chr2	42323420	42334555	1	11136	38292.1515	1929.6955	180	1
4_MACS_peak_16257_lociStitched	chr3	46421346	46439540	4	14081	13792.8714	2867.3744	181	0
2_MACS_peak_8041_lociStitched	chr15	81576176	81596115	2	13551	22233.9789	3397.6056	182	1
1_MACS_peak_21835_lociStitched	chr7	55597670	55605613	1	7944	49900.3089	2054.8541	183	1
4_MACS_peak_11144_lociStitched	chr19	1647789	1672852	4	12033	35098.2252	4085.269	184	1
5_MACS_peak_10373_lociStitched	chr17	73850643	73875789	5	12270	33398.9172	3940.3782	185	1
6_MACS_peak_11430_lociStitched	chr19	12885650	12918342	6	13612	20184.0408	4446.112	186	1
2_MACS_peak_17407_lociStitched	chr3	193847788	193860504	2	12399	30050.4512	2761.9152	187	1
1_MACS_peak_12564_lociStitched	chr2	43444364	43456832	1	12469	28611.5664	2526.0168	188	1
5_MACS_peak_24690_lociStitched	chr9	134127165	134153553	5	13519	19442.6784	4179.8592	189	1
4_MACS_peak_17959_lociStitched	chr4	77608641	77624950	4	13753	13996.3838	2739.912	190	0
4_MACS_peak_17356_lociStitched	chr3	186703125	186719886	4	12452	29913.3567	4072.923	191	1
3_MACS_peak_4342_lociStitched	chr11	71413616	71427042	3	10792	38315.1188	2514.6898	192	1
2_MACS_peak_3848_lociStitched	chr11	19450173	19465317	2	13015	23176.3776	2986.3968	193	1
3_MACS_peak_16496_lociStitched	chr3	69128286	69145749	3	13628	14695.1145	3139.8474	194	0
2_MACS_peak_3421_lociStitched	chr10	112215054	112226059	2	10481	38286.395	2205.402	195	1
2_MACS_peak_4625_lociStitched	chr11	111237775	111251445	2	12828	22582.84	2265.119	196	1
2_MACS_peak_14516_lociStitched	chr20	32460792	32473545	2	10297	38931.0831	2350.3779	197	1
4_MACS_peak_10418_lociStitched	chr17	75078896	75093128	4	12381	26831.5896	3022.8768	198	1
2_MACS_peak_11709_lociStitched	chr19	35695353	35708259	2	10607	37550.007	2543.7726	199	1
4_MACS_peak_4475_lociStitched	chr11	82764520	82790259	4	12667	25443.0015	4432.2558	200	1
7_MACS_peak_4147_lociStitched	chr11	63992793	64019785	7	12994	21607.096	4372.704	201	1
4_MACS_peak_11181_lociStitched	chr19	2455304	2480531	4	12469	27618.5196	4989.9006	202	1
1_MACS_peak_15194_lociStitched	chr21	44724896	44734900	1	10005	39610.838	2134.8536	203	1
5_MACS_peak_13012_lociStitched	chr2	88899042	88928401	5	13221	17271.8997	5170.1199	204	0
3_MACS_peak_24229_lociStitched	chr9	94181081	94195301	3	12869	19509.84	2599.416	205	1
1_MACS_peak_20770_lociStitched	chr6	90059141	90071119	1	11979	27164.9062	2021.8864	206	1
4_MACS_peak_8597_lociStitched	chr16	22195049	22219229	4	12316	26876.07	4555.512	207	1
3_MACS_peak_20172_lociStitched	chr6	26355018	26367880	3	12107	26300.2176	2207.1192	208	1
2_MACS_peak_362_lociStitched	chr1	27018397	27031257	2	12442	23286.888	2412.536	209	1
2_MACS_peak_19890_lociStitched	chr6	381516	400905	2	13041	17048.7477	3334.908	210	1
2_MACS_peak_10663_lociStitched	chr18	9134489	9151997	2	12844	19705.254	3335.274	211	1
1_MACS_peak_2077_lociStitched	chr1	209274777	209285212	1	10436	36899.2035	2801.7975	212	1
4_MACS_peak_19861_lociStitched	chr5	180228655	180249385	4	12355	24672.846	3364.479	213	1
4_MACS_peak_19818_lociStitched	chr5	176717358	176740561	4	12287	26010.563	4174.2197	214	1
4_MACS_peak_1982_lociStitched	chr1	204474810	204492096	4	11189	33814.8732	4382.001	215	1
2_MACS_peak_4791_lociStitched	chr11	126056599	126068870	2	7652	46213.8131	2202.6445	216	1
4_MACS_peak_2815_lociStitched	chr10	45913733	45932082	4	11544	29501.5222	2710.1473	217	1
2_MACS_peak_15145_lociStitched	chr21	41295701	41310140	2	10593	35892.4662	3475.4673	218	1
2_MACS_peak_13159_lociStitched	chr2	109829223	109843651	2	12365	22406.684	2686.4936	219	1
3_MACS_peak_14658_lociStitched	chr20	42568839	42585652	3	12567	19575.3759	2885.1108	220	1
2_MACS_peak_7725_lociStitched	chr15	56648150	56666278	2	11658	28083.8976	2918.608	221	1
4_MACS_peak_12549_lociStitched	chr2	42343213	42360909	4	12672	17927.8176	2659.7088	222	1
1_MACS_peak_4938_lociStitched	chr12	4377250	4387434	1	10185	35696.9568	1756.74	223	1
4_MACS_peak_2544_lociStitched	chr10	7511439	7535565	4	12277	23344.3176	3864.9852	224	1
4_MACS_peak_10474_lociStitched	chr17	76763432	76779741	4	12688	16809.6863	2656.7361	225	1
4_MACS_peak_2038_lociStitched	chr1	206955598	206978900	4	12596	20200.5038	4860.7972	226	1
3_MACS_peak_20299_lociStitched	chr6	31694405	31709200	3	11417	29234.92	3065.524	227	1
3_MACS_peak_17753_lociStitched	chr4	38307113	38322490	3	12324	20906.5692	2640.2309	228	1
5_MACS_peak_19599_lociStitched	chr5	150513742	150537937	5	12750	16670.355	3992.175	229	0
4_MACS_peak_18564_lociStitched	chr4	187749124	187776016	4	11234	30729.4884	3598.1496	230	1
3_MACS_peak_1488_lociStitched	chr1	155939671	155954274	3	12004	24645.4831	3909.2231	231	1
3_MACS_peak_21522_lociStitched	chr7	20476457	20490753	3	12159	21129.488	2098.6528	232	1
1_MACS_peak_15374_lociStitched	chr22	23198568	23210581	1	12014	21321.8737	1144.8389	233	1
3_MACS_peak_14848_lociStitched	chr20	55958071	55975703	3	11434	27906.1664	2903.9904	234	1
3_MACS_peak_21178_lociStitched	chr6	143162967	143179952	3	12338	17783.295	1430.137	235	1
5_MACS_peak_7054_lociStitched	chr14	77487992	77510095	5	12261	18469.2668	1834.549	236	1
4_MACS_peak_7873_lociStitched	chr15	70306297	70330153	4	12314	18765.1296	3671.4384	237	1
1_MACS_peak_1960_lociStitched	chr1	203288196	203297892	1	9697	36877.7664	3088.176	238	1
4_MACS_peak_5904_lociStitched	chr12	109161913	109181006	4	11210	28511.5769	3740.3187	239	1
3_MACS_peak_8509_lociStitched	chr16	14486389	14504452	3	10100	34175.196	2651.6484	240	1
3_MACS_peak_17156_lociStitched	chr3	169755029	169776690	3	11951	22436.4638	4371.1898	241	1
4_MACS_peak_20158_lociStitched	chr6	26183805	26207161	4	12216	18392.85	4187.7308	242	1
5_MACS_peak_7322_lociStitched	chr15	20969432	20995785	5	11915	21087.6706	3639.3493	243	1
4_MACS_peak_15655_lociStitched	chr22	39362539	39386428	4	11853	21899.0463	3805.5177	244	1
3_MACS_peak_11463_lociStitched	chr19	13949143	13962192	3	10010	32977.4328	1762.9199	245	1
1_MACS_peak_22237_lociStitched	chr7	104651314	104656791	1	5478	47149.3022	1273.4025	246	0
3_MACS_peak_1588_lociStitched	chr1	161144581	161163281	3	11805	22933.68	4675	247	1
3_MACS_peak_1497_lociStitched	chr1	156065142	156085981	3	11554	24917.1923	4232.4009	248	1
2_MACS_peak_7920_lociStitched	chr15	74665663	74680544	2	8670	39726.3176	2816.9733	249	1
2_MACS_peak_10222_lociStitched	chr17	62197084	62210307	2	12222	13765.143	2488.5686	250	0
6_MACS_peak_8696_lociStitched	chr16	29815811	29837298	6	11530	23087.7815	3347.6746	251	1
4_MACS_peak_8147_lociStitched	chr15	90574007	90591808	4	11843	18587.8042	2647.0087	252	1
4_MACS_peak_13427_lociStitched	chr2	137132573	137152600	4	10590	29255.4416	2917.9339	253	1
2_MACS_peak_13691_lociStitched	chr2	182168526	182180019	2	11449	21519.4932	1879.1055	254	1
4_MACS_peak_11989_lociStitched	chr19	48879975	48902475	4	10391	30721.5	3372.75	255	1
3_MACS_peak_11595_lociStitched	chr19	19050291	19062817	3	11235	23273.308	2034.2224	256	1
3_MACS_peak_25021_lociStitched	chrX	39953231	39969396	3	11733	16680.6635	801.784	257	1
4_MACS_peak_19787_lociStitched	chr5	173696387	173710070	4	11431	21038.9808	2056.5549	258	1
2_MACS_peak_15461_lociStitched	chr22	29207139	29221161	2	10826	26671.2462	2636.136	259	1
