REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
7_MACS_peak_1447_lociStitched	chr1	154907792	154957618	7	28518	100484.0942	13378.281	15	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	15	1
8_MACS_peak_7291_lociStitched	chr14	106145123	106177156	8	28214	85063.6315	3155.2505	16			TMEM121	16	1
3_MACS_peak_9492_lociStitched	chr17	16869305	16895634	3	20885	109249.5526	4799.7767	17	TNFRSF13B		TNFRSF13B	17	1
2_MACS_peak_22722_lociStitched	chr8	2027431	2050984	2	19000	107102.5569	4093.5114	18	MYOM2		MYOM2	18	1
6_MACS_peak_1954_lociStitched	chr1	203236250	203278399	6	25587	88049.261	11666.8432	19	BTG2,LOC730227	CHIT1,FMOD	LOC730227	19	1
6_MACS_peak_9699_lociStitched	chr17	32688398	32726773	6	29137	55217.7875	7310.4375	20	CCL1	CCL8,CCL13	CCL1	20	1
1_MACS_peak_18607_lociStitched	chr5	1311229	1320700	1	9472	121033.6974	2424.576	21	CLPTM1L	TERT	TERT	21	1
5_MACS_peak_15219_lociStitched	chr21	45552624	45581063	5	20870	91348.9119	6515.3749	22	C21orf33	PWP2	C21orf33	22	1
1_MACS_peak_2561_lociStitched	chr10	11202743	11223587	1	20845	89024.724	4814.964	23	CELF2		CELF2	23	1
3_MACS_peak_18062_lociStitched	chr4	90209074	90246762	3	26128	59686.4856	6606.7064	24	GPRIN3		GPRIN3	24	1
5_MACS_peak_14447_lociStitched	chr20	25261622	25301516	5	21389	83278.725	6829.8528	25	PYGB,ABHD12		PYGB	25	1
2_MACS_peak_14092_lociStitched	chr2	232687128	232715019	2	27558	34378.4466	3355.2873	26		COPS7B,PDE6D,MIR1471	COPS7B	26	1
2_MACS_peak_1501_lociStitched	chr1	156115547	156137154	2	21343	81704.7098	6164.4771	28	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	28	1
1_MACS_peak_20858_lociStitched	chr6	106531161	106555891	1	24731	61703.823	5354.045	29	PRDM1		PRDM1	29	1
6_MACS_peak_2017_lociStitched	chr1	206271423	206311257	6	23386	70745.184	9157.8366	30	C1orf186	AVPR1B,CTSE	C1orf186	30	1
8_MACS_peak_20573_lociStitched	chr6	52392442	52442903	8	25310	53125.3408	9057.7495	31	TRAM2		TRAM2	31	1
4_MACS_peak_7130_lociStitched	chr14	91812919	91846576	4	24492	54524.34	3547.4478	32	CCDC88C		CCDC88C	32	1
2_MACS_peak_22631_lociStitched	chr7	150062704	150084708	2	20768	78272.6288	5681.4328	33	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	33	1
1_MACS_peak_4191_lociStitched	chr11	65183442	65199719	1	16278	90898.9065	4285.7341	34	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	34	1
4_MACS_peak_22208_lociStitched	chr7	102063728	102093400	4	19230	79971.9744	5014.568	35	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	35	1
3_MACS_peak_15398_lociStitched	chr22	24178950	24200907	3	15626	89975.3946	4178.4171	36	SLC2A11,DERL3	SMARCB1,MIF	DERL3	36	1
6_MACS_peak_3414_lociStitched	chr10	112146698	112186679	6	24739	40200.8955	6037.131	37			DUSP5	37	1
5_MACS_peak_3527_lociStitched	chr10	125822153	125854652	5	24235	45440.1018	5901.8184	38	CHST15		CHST15	38	1
8_MACS_peak_8998_lociStitched	chr16	68269818	68320752	8	25059	37171.6332	8327.709	39	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	39	1
5_MACS_peak_17288_lociStitched	chr3	183228304	183260748	5	23227	53068.6508	8042.8676	40	KLHL6		KLHL6	40	1
1_MACS_peak_5421_lociStitched	chr12	53587386	53603817	1	16432	82268.3739	3524.4495	41	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	41	1
8_MACS_peak_11835_lociStitched	chr19	42027260	42070268	8	24052	36900.864	6765.1584	42		CEACAM21	CEACAM21	42	1
3_MACS_peak_5897_lociStitched	chr12	109009112	109035759	3	17135	79229.5251	5462.635	43	SELPLG	TMEM119	SELPLG	43	1
7_MACS_peak_7423_lociStitched	chr15	31616745	31657744	7	22470	46279.6712	6937.0308	44	KLF13		KLF13	44	1
2_MACS_peak_8488_lociStitched	chr16	11808614	11837874	2	22317	44539.572	5503.806	46	TXNDC11	SNN	TXNDC11	46	1
3_MACS_peak_11780_lociStitched	chr19	39880664	39904141	3	18141	68127.9063	4134.2997	47	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	47	1
3_MACS_peak_9739_lociStitched	chr17	34409012	34432910	3	21403	47387.3442	4827.396	48	CCL4,CCL3	CCL18	CCL3	48	1
5_MACS_peak_4987_lociStitched	chr12	7045655	7081222	5	21231	49000.6559	6263.3487	49	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	49	1
6_MACS_peak_21836_lociStitched	chr7	55616219	55642767	6	22443	33875.248	4890.1416	50	VOPP1		VOPP1	50	1
3_MACS_peak_435_lociStitched	chr1	31214236	31236476	3	20655	49388.368	4708.208	51	LAPTM5	LOC100129196,MATN1	LAPTM5	51	1
4_MACS_peak_4367_lociStitched	chr11	72850982	72869857	4	17599	65473.6	3878.8125	52	FCHSD2		FCHSD2	52	1
5_MACS_peak_16793_lociStitched	chr3	124479916	124512431	5	21246	43414.028	4828.4775	53	ITGB5	UMPS	UMPS	53	1
5_MACS_peak_8481_lociStitched	chr16	11761572	11785921	5	19978	49764.4862	4329.2522	54	SNN,TXNDC11		SNN	54	1
4_MACS_peak_3410_lociStitched	chr10	112103932	112128837	4	12127	82203.9335	4475.4285	55		SMNDC1	SMNDC1	55	1
6_MACS_peak_2564_lociStitched	chr10	11278866	11312924	6	20947	41669.963	6106.5994	56	CELF2		CELF2	56	1
6_MACS_peak_6077_lociStitched	chr12	123355306	123387146	6	21655	29814.976	2671.376	57	VPS37B	HIP1R	VPS37B	57	1
3_MACS_peak_12328_lociStitched	chr2	20404526	20426233	3	19363	51061.3761	4017.9657	58	SDC1		SDC1	58	1
5_MACS_peak_15920_lociStitched	chr3	5222678	5256260	5	21561	30939.0966	5520.8808	59	EDEM1		EDEM1	59	1
5_MACS_peak_11504_lociStitched	chr19	16244056	16272931	5	20109	44865.975	4790.3625	60	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	60	1
2_MACS_peak_11166_lociStitched	chr19	2081699	2098166	2	14929	70631.9031	4880.8188	61	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	61	1
3_MACS_peak_223_lociStitched	chr1	17221389	17241676	3	8906	86442.907	5459.2317	62		CROCC	CROCC	62	1
8_MACS_peak_5434_lociStitched	chr12	53845682	53873680	8	21370	20810.9134	4989.2436	63	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	63	1
1_MACS_peak_1513_lociStitched	chr1	156456737	156476363	1	19627	43063.3692	5783.7822	64	MEF2D		MEF2D	64	1
5_MACS_peak_16268_lociStitched	chr3	46577594	46608336	5	15828	64189.296	4694.3034	65	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	65	1
6_MACS_peak_3430_lociStitched	chr10	112600008	112633010	6	20509	31685.2202	4953.6002	66	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	66	1
5_MACS_peak_23479_lociStitched	chr8	120918669	120948091	5	19980	36127.2738	4398.589	67	DEPDC6		DEPDC6	67	1
2_MACS_peak_4195_lociStitched	chr11	65254282	65278788	2	18012	49984.8882	4749.2628	68	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	68	1
4_MACS_peak_13056_lociStitched	chr2	97190861	97212850	4	14858	64342.0129	4059.1694	69	ARID5A	NEURL3	ARID5A	69	1
3_MACS_peak_10152_lociStitched	chr17	56405510	56430907	3	17962	49453.0384	5173.3689	70	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	70	1
6_MACS_peak_19776_lociStitched	chr5	173310102	173343560	6	20434	23283.4222	5604.215	71	CPEB4		CPEB4	71	1
3_MACS_peak_19363_lociStitched	chr5	131745226	131767589	3	18445	43314.8947	4300.4049	72	C5orf56	SLC22A5,MIR3936	C5orf56	72	1
2_MACS_peak_13224_lociStitched	chr2	112455492	112468027	2	12380	68278.145	2499.479	73			ANAPC1	73	1
5_MACS_peak_10217_lociStitched	chr17	62150143	62182999	5	19118	35454.9096	5818.7976	74	ERN1	SNORD104,SNORA76	ERN1	74	1
3_MACS_peak_18645_lociStitched	chr5	6475871	6497782	3	13635	63502.4602	3713.9145	75	UBE2QL1		UBE2QL1	75	1
1_MACS_peak_12283_lociStitched	chr2	11883312	11898242	1	14931	57695.492	3142.765	76	LPIN1		LPIN1	76	1
3_MACS_peak_10658_lociStitched	chr18	9060203	9084947	3	16034	53489.1048	4711.2576	77		NDUFV2	NDUFV2	77	1
4_MACS_peak_13213_lociStitched	chr2	112208539	112242012	4	18317	38266.3336	5419.2787	78	LOC541471		LOC541471	78	1
4_MACS_peak_7357_lociStitched	chr15	23658816	23682904	4	17202	45022.8808	4516.5	79			MKRN3	79	1
2_MACS_peak_3866_lociStitched	chr11	22685331	22703331	2	17861	36516.6	2800.8	80	GAS2	FANCF	GAS2	80	1
4_MACS_peak_7532_lociStitched	chr15	40833556	40862795	4	17553	40060.3539	5040.8036	81	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	81	1
6_MACS_peak_23536_lociStitched	chr8	126285525	126316145	6	18348	30613.876	4599.124	82	NSMCE2		TRIB1	82	1
1_MACS_peak_17775_lociStitched	chr4	40191670	40209078	1	17409	38219.264	3572.1216	83	RHOH		RHOH	83	1
2_MACS_peak_15147_lociStitched	chr21	41324715	41344936	2	16666	45013.9681	5928.7972	84			PCP4	84	1
4_MACS_peak_4379_lociStitched	chr11	72976825	73002545	4	15401	50285.172	4333.82	85	P2RY6	P2RY2,ARHGEF17	P2RY6	85	1
6_MACS_peak_8252_lociStitched	chr15	101661258	101692508	6	17863	31640.625	4965.625	86			CHSY1	86	1
2_MACS_peak_9838_lociStitched	chr17	38466243	38484202	2	16807	39175.7626	3563.0656	87	RARA	CDC6,RARA,GJD3	RARA	87	1
1_MACS_peak_20143_lociStitched	chr6	25403090	25415656	1	12567	59873.2202	2775.8294	88	LRRC16A		LRRC16A	88	1
2_MACS_peak_10661_lociStitched	chr18	9101875	9122100	2	17634	30458.85	3646.5675	89	NDUFV2	ANKRD12	NDUFV2	89	1
5_MACS_peak_4825_lociStitched	chr11	128585980	128609699	5	18140	24800.5864	4304.9985	90	FLI1		FLI1	90	1
7_MACS_peak_16247_lociStitched	chr3	46317785	46347195	7	18331	21639.878	4926.175	91		CCR3,CCR2	CCR3	91	1
2_MACS_peak_1356_lociStitched	chr1	150532279	150553140	2	15676	47811.3259	6406.4131	92	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	92	1
1_MACS_peak_9959_lociStitched	chr17	43298129	43308690	1	10562	64462.2318	2402.6275	93	FMNL1	LOC100133991,C17orf46	FMNL1	93	1
3_MACS_peak_2357_lociStitched	chr1	234733866	234750020	3	11867	61950.59	4180.6552	94	IRF2BP2	NCRNA00184	IRF2BP2	94	1
1_MACS_peak_5077_lociStitched	chr12	12866061	12880325	1	14265	50329.0976	2663.0888	95	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	95	1
4_MACS_peak_3368_lociStitched	chr10	105244606	105268572	4	17484	27565.6932	3961.5798	96	NEURL	CALHM2,CALHM1,CALHM3	NEURL	96	1
2_MACS_peak_1431_lociStitched	chr1	154374889	154394544	2	15989	41635.1865	4725.062	97	IL6R		IL6R	97	1
5_MACS_peak_21256_lociStitched	chr6	157976947	158007240	5	16693	33349.5637	2317.4145	98	ZDHHC14	MIR3692	MIR3692	98	1
4_MACS_peak_299_lociStitched	chr1	24512463	24533764	4	15575	42712.7652	3927.9044	99	LOC284632,IL28RA	IL22RA1	LOC284632	99	1
8_MACS_peak_10019_lociStitched	chr17	46527855	46562231	8	17971	19047.7416	5232.0272	100		SKAP1,HOXB1	SKAP1	100	1
2_MACS_peak_2263_lociStitched	chr1	226838942	226853155	2	14005	51084.3646	3961.1631	101	ITPKB		ITPKB	101	1
2_MACS_peak_14664_lociStitched	chr20	42695057	42710835	2	9284	65533.923	2541.8358	102	TOX2		JPH2	102	1
3_MACS_peak_22936_lociStitched	chr8	27208587	27239163	3	17519	24821.5968	5072.5584	103	PTK2B	TRIM35	PTK2B	103	1
7_MACS_peak_18505_lociStitched	chr4	185317550	185349889	7	17079	28865.7914	4831.4466	104	IRF2		IRF2	104	1
3_MACS_peak_5894_lociStitched	chr12	108953321	108970509	3	15842	38671.2812	3769.3284	105	ISCU,SART3	FICD,TMEM119	ISCU	105	1
3_MACS_peak_16912_lociStitched	chr3	133181677	133200654	3	15394	41113.6705	3579.0622	106	BFSP2		BFSP2	106	1
1_MACS_peak_11013_lociStitched	chr18	60821786	60831646	1	9861	62770.732	2355.554	107	BCL2		BCL2	107	1
4_MACS_peak_1333_lociStitched	chr1	149803073	149834009	4	15852	42153.3936	8358.9072	108	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	108	1
1_MACS_peak_6615_lociStitched	chr13	114556380	114568297	1	11918	56829.7896	3025.7263	109	GAS6	FLJ44054,GAS6	GAS6	109	1
3_MACS_peak_13836_lociStitched	chr2	201980046	201994812	3	14735	43630.5768	3233.754	110	CFLAR	NDUFB3,FAM126B	CFLAR	110	1
4_MACS_peak_12622_lociStitched	chr2	47527016	47550799	4	14385	46136.6417	4005.0572	111		EPCAM	EPCAM	111	1
2_MACS_peak_15459_lociStitched	chr22	29185919	29199778	2	13657	48532.8321	2879.9002	112	XBP1	HSCB,CCDC117,CHEK2	XBP1	112	1
3_MACS_peak_11526_lociStitched	chr19	16694085	16711860	3	13257	50617.8675	3517.6725	113	MED26	CHERP,SLC35E1	SLC35E1	113	1
4_MACS_peak_3751_lociStitched	chr11	10314536	10341083	4	16624	28784.9121	4512.99	114	ADM,SBF2		ADM	114	1
3_MACS_peak_10469_lociStitched	chr17	76711284	76733796	3	16961	23594.8272	3847.3008	115	CYTH1		CYTH1	115	1
2_MACS_peak_8495_lociStitched	chr16	12055500	12071550	2	11950	55300.275	3235.68	116	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	116	1
2_MACS_peak_8882_lociStitched	chr16	56942871	56954724	2	11546	55652.2056	2289.9996	117	SLC12A3	HERPUD1,CETP	HERPUD1	117	1
4_MACS_peak_14608_lociStitched	chr20	37486999	37510340	4	11419	57481.8807	3848.9309	118	PPP1R16B	FAM83D	FAM83D	118	1
6_MACS_peak_15681_lociStitched	chr22	39631671	39664011	6	16473	27456.66	4359.432	120	PDGFB	SNORD83B,SNORD83A,RNU86	PDGFB	120	1
4_MACS_peak_20139_lociStitched	chr6	25366706	25390092	4	16742	23016.5012	4338.103	121	LRRC16A		LRRC16A	121	1
5_MACS_peak_8126_lociStitched	chr15	89646702	89675103	5	15331	35259.8415	4618.0026	122	ABHD2		ABHD2	122	1
3_MACS_peak_7420_lociStitched	chr15	31546218	31562599	3	12810	48531.9887	2953.4943	123			KLF13	123	1
5_MACS_peak_17180_lociStitched	chr3	171802366	171827105	5	16046	29152.4376	5806.2433	124	FNDC3B		FNDC3B	124	1
4_MACS_peak_1859_lociStitched	chr1	192497903	192521009	4	16057	28492.0086	5344.4178	125		RGS1	RGS1	125	1
4_MACS_peak_7935_lociStitched	chr15	75065396	75083587	4	16373	21927.4314	3214.3497	126	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	126	1
2_MACS_peak_14638_lociStitched	chr20	40709921	40727361	2	13489	43828.464	2760.752	127	PTPRT		CHD6	127	1
5_MACS_peak_10329_lociStitched	chr17	72733361	72756614	5	16301	21116.0493	4113.4557	128	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	128	1
4_MACS_peak_3097_lociStitched	chr10	81001303	81020655	4	15330	30686.4664	3109.8664	129	ZMIZ1		PPIF	129	1
6_MACS_peak_8716_lociStitched	chr16	30193848	30227644	6	16148	24302.7036	6657.812	130	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	130	1
3_MACS_peak_7515_lociStitched	chr15	40387154	40409155	3	15327	30403.1819	4232.9924	131	BMF	BUB1B	BMF	131	1
1_MACS_peak_22233_lociStitched	chr7	104574512	104587060	1	12549	45751.2628	2651.3924	132		LOC723809	LOC723809	132	1
1_MACS_peak_20024_lociStitched	chr6	11826934	11838576	1	11643	49060.5522	2370.3112	133		C6orf105	C6orf105	133	1
1_MACS_peak_5161_lociStitched	chr12	26265781	26280357	1	14577	32982.5728	2695.1024	134	BHLHE41		BHLHE41	134	1
5_MACS_peak_9963_lociStitched	chr17	43505067	43531544	5	15639	23479.8036	3762.3817	136	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	136	1
2_MACS_peak_12826_lociStitched	chr2	70310249	70323306	2	8251	59137.7644	2354.1771	137	PCBP1,LOC400960	LOC100133985	PCBP1	137	1
2_MACS_peak_4930_lociStitched	chr12	4216416	4230551	2	7992	59976.2185	2855.27	139			CCND2	139	1
2_MACS_peak_10423_lociStitched	chr17	75130851	75145775	2	12525	44383.976	2980.3228	140	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	140	1
2_MACS_peak_884_lociStitched	chr1	66735529	66750830	2	14135	34913.8218	3005.1164	141	PDE4B	PDE4B	PDE4B	141	1
3_MACS_peak_8612_lociStitched	chr16	23344214	23363563	3	10751	51427.7071	3769.1852	142	SCNN1B		SCNN1B	142	1
2_MACS_peak_3352_lociStitched	chr10	104531090	104543889	2	12296	42794.7364	2634.0342	144	C10orf26		C10orf26	144	1
1_MACS_peak_15982_lociStitched	chr3	13049897	13061664	1	11768	45237.0548	2640.5148	145	IQSEC1	IQSEC1	IQSEC1	145	1
6_MACS_peak_9829_lociStitched	chr17	38251385	38280321	6	15175	21496.5544	4487.9736	146	MSL1,NR1D1	THRA,CASC3,MED24	NR1D1	146	1
3_MACS_peak_15173_lociStitched	chr21	43638659	43657861	3	12784	41430.2352	4485.5872	147	ABCG1		ABCG1	147	1
4_MACS_peak_15692_lociStitched	chr22	39823293	39846152	4	13165	37765.3539	3822.0248	148	TAB1	MGAT3	MGAT3	148	1
3_MACS_peak_16604_lociStitched	chr3	98479825	98495893	3	14380	27203.124	2819.934	149	ST3GAL6		ST3GAL6	149	1
4_MACS_peak_12765_lociStitched	chr2	65156855	65178527	4	13273	37258.5024	4278.0528	150	LOC400958	SLC1A4	LOC400958	150	1
3_MACS_peak_16864_lociStitched	chr3	129026413	129048573	3	13852	32047.792	3780.496	152	C3orf47,H1FX	C3orf37	H1FX	152	1
6_MACS_peak_7180_lociStitched	chr14	95946366	95985750	6	15076	17746.4304	3288.564	153		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	153	1
4_MACS_peak_24213_lociStitched	chr9	93670890	93690271	4	14234	27530.7105	3118.4029	154			SYK	154	1
4_MACS_peak_7080_lociStitched	chr14	81930688	81952801	4	14798	18678.8511	2262.1599	157	SEL1L		SEL1L	157	1
5_MACS_peak_23690_lociStitched	chr8	145001963	145027943	5	14241	25727.994	3179.952	158	PLEC,MIR661	GRINA,PARP10	PLEC	158	1
2_MACS_peak_18751_lociStitched	chr5	32570819	32589926	2	13031	35326.9323	3422.0637	159	SUB1		SUB1	159	1
4_MACS_peak_13986_lociStitched	chr2	219743249	219763375	4	13984	27912.7494	3483.8106	160	WNT10A	WNT6,PRKAG3	WNT10A	160	1
3_MACS_peak_14899_lociStitched	chr20	61272840	61291076	3	12574	37002.6676	2593.1592	161	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	161	1
3_MACS_peak_21740_lociStitched	chr7	44661885	44680256	3	13651	30383.7969	3494.1642	162	OGDH	DDX56,TMED4	OGDH	162	1
2_MACS_peak_4660_lociStitched	chr11	115089455	115102374	2	10205	47234.4478	2135.5107	163	CADM1		CADM1	163	1
1_MACS_peak_8884_lociStitched	chr16	56963538	56975641	1	12104	39213.72	2784.9003	164	HERPUD1	CETP,NLRC5	HERPUD1	164	1
1_MACS_peak_17406_lociStitched	chr3	193815011	193823277	1	8267	53390.9206	2654.2126	165		HES1	HES1	165	1
2_MACS_peak_8942_lociStitched	chr16	66549006	66561262	2	11494	41845.6608	2641.168	166	TK2	CKLF,CMTM1	TK2	166	1
3_MACS_peak_10306_lociStitched	chr17	70582472	70602142	3	14319	22172.024	3812.046	167	LOC100499467,FLJ26484		LOC100499467	167	1
4_MACS_peak_15598_lociStitched	chr22	37611025	37628618	4	13678	27789.9028	3307.484	169	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	169	1
6_MACS_peak_7508_lociStitched	chr15	40330041	40358379	6	14354	21783.4206	4695.6066	170	SRP14	BMF	SRP14	170	1
4_MACS_peak_18881_lociStitched	chr5	55437246	55453546	4	14069	22795.55	2901.4	171	ANKRD55		ANKRD55	171	1
4_MACS_peak_24533_lociStitched	chr9	126082776	126103942	4	11874	39502.1058	3261.6806	172		CRB2	CRB2	172	1
3_MACS_peak_5329_lociStitched	chr12	48200519	48219051	3	13860	24271.3604	3107.8164	173	HDAC7	SLC48A1,RAPGEF3	HDAC7	173	1
3_MACS_peak_21832_lociStitched	chr7	55569514	55585806	3	13390	27147.3596	2727.2808	174	VOPP1		VOPP1	174	1
5_MACS_peak_25557_lociStitched	chrX	153596715	153627908	5	13879	21863.1737	2442.4119	175	EMD,RPL10,FLNA	SNORA70,TAZ,ATP6AP1,GDI1,FAM50A,DNASE1L1	EMD	175	1
5_MACS_peak_7331_lociStitched	chr15	21975949	22002654	5	14038	20733.762	3989.727	176		LOC646214,CXADRP2	CXADRP2	176	1
4_MACS_peak_13776_lociStitched	chr2	197023917	197048429	4	13974	21744.5952	4250.3808	177	STK17B		STK17B	177	1
3_MACS_peak_20754_lociStitched	chr6	88625606	88640464	3	13677	23239.3978	2757.6448	178			SPACA1	178	1
1_MACS_peak_22022_lociStitched	chr7	78114698	78128354	1	13657	21196.8432	2303.7672	179	MAGI2		RPL13AP17	179	1
1_MACS_peak_12548_lociStitched	chr2	42323420	42334555	1	11136	38292.1515	1929.6955	180		PKDCC	PKDCC	180	1
2_MACS_peak_8041_lociStitched	chr15	81576176	81596115	2	13551	22233.9789	3397.6056	182	IL16	STARD5	IL16	182	1
1_MACS_peak_21835_lociStitched	chr7	55597670	55605613	1	7944	49900.3089	2054.8541	183	VOPP1		VOPP1	183	1
4_MACS_peak_11144_lociStitched	chr19	1647789	1672852	4	12033	35098.2252	4085.269	184	TCF3	UQCR11	TCF3	184	1
5_MACS_peak_10373_lociStitched	chr17	73850643	73875789	5	12270	33398.9172	3940.3782	185	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	185	1
6_MACS_peak_11430_lociStitched	chr19	12885650	12918342	6	13612	20184.0408	4446.112	186	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	186	1
2_MACS_peak_17407_lociStitched	chr3	193847788	193860504	2	12399	30050.4512	2761.9152	187	HES1		HES1	187	1
1_MACS_peak_12564_lociStitched	chr2	43444364	43456832	1	12469	28611.5664	2526.0168	188	LOC100129726,ZFP36L2		ZFP36L2	188	1
5_MACS_peak_24690_lociStitched	chr9	134127165	134153553	5	13519	19442.6784	4179.8592	189	FAM78A	PPAPDC3	FAM78A	189	1
4_MACS_peak_17356_lociStitched	chr3	186703125	186719886	4	12452	29913.3567	4072.923	191	ST6GAL1	ST6GAL1	ST6GAL1	191	1
3_MACS_peak_4342_lociStitched	chr11	71413616	71427042	3	10792	38315.1188	2514.6898	192			FAM86C	192	1
2_MACS_peak_3848_lociStitched	chr11	19450173	19465317	2	13015	23176.3776	2986.3968	193	NAV2		NAV2	193	1
2_MACS_peak_3421_lociStitched	chr10	112215054	112226059	2	10481	38286.395	2205.402	195		DUSP5	DUSP5	195	1
2_MACS_peak_4625_lociStitched	chr11	111237775	111251445	2	12828	22582.84	2265.119	196	POU2AF1		POU2AF1	196	1
2_MACS_peak_14516_lociStitched	chr20	32460792	32473545	2	10297	38931.0831	2350.3779	197			CHMP4B	197	1
4_MACS_peak_10418_lociStitched	chr17	75078896	75093128	4	12381	26831.5896	3022.8768	198	C17orf86,SCARNA16	SEC14L1	SCARNA16	198	1
2_MACS_peak_11709_lociStitched	chr19	35695353	35708259	2	10607	37550.007	2543.7726	199		FXYD5,LSR,FAM187B	FAM187B	199	1
4_MACS_peak_4475_lociStitched	chr11	82764520	82790259	4	12667	25443.0015	4432.2558	200	RAB30	SNORA70E	RAB30	200	1
