#03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_ROSE/03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam
#Using cutoff of 13641.8886 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	isSuper
4_MACS_peak_14608_lociStitched	chr20	37486999	37510340	4	11419	57481.8807	3848.9309	53	1
2_MACS_peak_8882_lociStitched	chr16	56942871	56954724	2	11546	55652.2056	2289.9996	54	1
3_MACS_peak_18062_lociStitched	chr4	90209074	90246762	3	26128	59686.4856	6606.7064	55	1
2_MACS_peak_8495_lociStitched	chr16	12055500	12071550	2	11950	55300.275	3235.68	56	1
8_MACS_peak_14508_lociStitched	chr20	32398409	32452425	8	34039	61243.3408	9350.1696	57	1
4_MACS_peak_7130_lociStitched	chr14	91812919	91846576	4	24492	54524.34	3547.4478	58	1
1_MACS_peak_17406_lociStitched	chr3	193815011	193823277	1	8267	53390.9206	2654.2126	59	1
3_MACS_peak_10658_lociStitched	chr18	9060203	9084947	3	16034	53489.1048	4711.2576	60	1
6_MACS_peak_9699_lociStitched	chr17	32688398	32726773	6	29137	55217.7875	7310.4375	61	1
1_MACS_peak_21835_lociStitched	chr7	55597670	55605613	1	7944	49900.3089	2054.8541	62	1
1_MACS_peak_5077_lociStitched	chr12	12866061	12880325	1	14265	50329.0976	2663.0888	63	1
3_MACS_peak_8612_lociStitched	chr16	23344214	23363563	3	10751	51427.7071	3769.1852	64	1
7_MACS_peak_10884_lociStitched	chr18	46439386	46482911	7	34644	55102.65	7508.0625	65	1
2_MACS_peak_2263_lociStitched	chr1	226838942	226853155	2	14005	51084.3646	3961.1631	66	1
3_MACS_peak_11526_lociStitched	chr19	16694085	16711860	3	13257	50617.8675	3517.6725	67	1
3_MACS_peak_12328_lociStitched	chr2	20404526	20426233	3	19363	51061.3761	4017.9657	68	1
1_MACS_peak_20024_lociStitched	chr6	11826934	11838576	1	11643	49060.5522	2370.3112	69	1
4_MACS_peak_4379_lociStitched	chr11	72976825	73002545	4	15401	50285.172	4333.82	70	1
1_MACS_peak_22237_lociStitched	chr7	104651314	104656791	1	5478	47149.3022	1273.4025	71	1
2_MACS_peak_15459_lociStitched	chr22	29185919	29199778	2	13657	48532.8321	2879.9002	72	1
3_MACS_peak_7420_lociStitched	chr15	31546218	31562599	3	12810	48531.9887	2953.4943	73	1
5_MACS_peak_8481_lociStitched	chr16	11761572	11785921	5	19978	49764.4862	4329.2522	74	1
2_MACS_peak_4195_lociStitched	chr11	65254282	65278788	2	18012	49984.8882	4749.2628	75	1
2_MACS_peak_4660_lociStitched	chr11	115089455	115102374	2	10205	47234.4478	2135.5107	76	1
5_MACS_peak_17288_lociStitched	chr3	183228304	183260748	5	23227	53068.6508	8042.8676	77	1
3_MACS_peak_435_lociStitched	chr1	31214236	31236476	3	20655	49388.368	4708.208	78	1
3_MACS_peak_10152_lociStitched	chr17	56405510	56430907	3	17962	49453.0384	5173.3689	79	1
8_MACS_peak_20573_lociStitched	chr6	52392442	52442903	8	25310	53125.3408	9057.7495	80	1
2_MACS_peak_4791_lociStitched	chr11	126056599	126068870	2	7652	46213.8131	2202.6445	81	1
1_MACS_peak_22233_lociStitched	chr7	104574512	104587060	1	12549	45751.2628	2651.3924	82	1
5_MACS_peak_4987_lociStitched	chr12	7045655	7081222	5	21231	49000.6559	6263.3487	83	1
1_MACS_peak_15982_lociStitched	chr3	13049897	13061664	1	11768	45237.0548	2640.5148	84	1
3_MACS_peak_9739_lociStitched	chr17	34409012	34432910	3	21403	47387.3442	4827.396	85	1
1_MACS_peak_21372_lociStitched	chr7	2393012	2396079	1	3068	42940.1469	517.4029	86	1
4_MACS_peak_12622_lociStitched	chr2	47527016	47550799	4	14385	46136.6417	4005.0572	87	1
2_MACS_peak_1356_lociStitched	chr1	150532279	150553140	2	15676	47811.3259	6406.4131	88	1
2_MACS_peak_10423_lociStitched	chr17	75130851	75145775	2	12525	44383.976	2980.3228	89	1
2_MACS_peak_14638_lociStitched	chr20	40709921	40727361	2	13489	43828.464	2760.752	90	1
4_MACS_peak_7357_lociStitched	chr15	23658816	23682904	4	17202	45022.8808	4516.5	91	1
3_MACS_peak_13836_lociStitched	chr2	201980046	201994812	3	14735	43630.5768	3233.754	92	1
2_MACS_peak_3352_lociStitched	chr10	104531090	104543889	2	12296	42794.7364	2634.0342	93	1
5_MACS_peak_11504_lociStitched	chr19	16244056	16272931	5	20109	44865.975	4790.3625	94	1
5_MACS_peak_3527_lociStitched	chr10	125822153	125854652	5	24235	45440.1018	5901.8184	95	1
7_MACS_peak_7423_lociStitched	chr15	31616745	31657744	7	22470	46279.6712	6937.0308	96	1
2_MACS_peak_8942_lociStitched	chr16	66549006	66561262	2	11494	41845.6608	2641.168	97	1
2_MACS_peak_15147_lociStitched	chr21	41324715	41344936	2	16666	45013.9681	5928.7972	98	1
2_MACS_peak_8488_lociStitched	chr16	11808614	11837874	2	22317	44539.572	5503.806	99	1
3_MACS_peak_19363_lociStitched	chr5	131745226	131767589	3	18445	43314.8947	4300.4049	100	1
4_MACS_peak_299_lociStitched	chr1	24512463	24533764	4	15575	42712.7652	3927.9044	101	1
5_MACS_peak_16793_lociStitched	chr3	124479916	124512431	5	21246	43414.028	4828.4775	102	1
1_MACS_peak_20335_lociStitched	chr6	32935244	32941616	1	6373	39589.236	1584.7164	103	1
3_MACS_peak_16912_lociStitched	chr3	133181677	133200654	3	15394	41113.6705	3579.0622	104	1
1_MACS_peak_15194_lociStitched	chr21	44724896	44734900	1	10005	39610.838	2134.8536	105	1
1_MACS_peak_1513_lociStitched	chr1	156456737	156476363	1	19627	43063.3692	5783.7822	106	1
1_MACS_peak_9815_lociStitched	chr17	37909437	37915675	1	6239	38659.3812	1644.9606	107	1
3_MACS_peak_15173_lociStitched	chr21	43638659	43657861	3	12784	41430.2352	4485.5872	108	1
2_MACS_peak_1431_lociStitched	chr1	154374889	154394544	2	15989	41635.1865	4725.062	109	1
2_MACS_peak_7920_lociStitched	chr15	74665663	74680544	2	8670	39726.3176	2816.9733	110	1
2_MACS_peak_14516_lociStitched	chr20	32460792	32473545	2	10297	38931.0831	2350.3779	111	1
3_MACS_peak_2293_lociStitched	chr1	228665959	228679042	3	6419	39135.1779	2615.2917	112	1
1_MACS_peak_8884_lociStitched	chr16	56963538	56975641	1	12104	39213.72	2784.9003	113	1
1_MACS_peak_12548_lociStitched	chr2	42323420	42334555	1	11136	38292.1515	1929.6955	114	1
1_MACS_peak_15167_lociStitched	chr21	43480194	43486229	1	6036	38450.7955	2155.0985	115	1
4_MACS_peak_24533_lociStitched	chr9	126082776	126103942	4	11874	39502.1058	3261.6806	116	1
2_MACS_peak_3421_lociStitched	chr10	112215054	112226059	2	10481	38286.395	2205.402	117	1
3_MACS_peak_4342_lociStitched	chr11	71413616	71427042	3	10792	38315.1188	2514.6898	118	1
2_MACS_peak_9838_lociStitched	chr17	38466243	38484202	2	16807	39175.7626	3563.0656	119	1
6_MACS_peak_2564_lociStitched	chr10	11278866	11312924	6	20947	41669.963	6106.5994	120	1
4_MACS_peak_7532_lociStitched	chr15	40833556	40862795	4	17553	40060.3539	5040.8036	121	1
2_MACS_peak_11709_lociStitched	chr19	35695353	35708259	2	10607	37550.007	2543.7726	122	1
3_MACS_peak_5894_lociStitched	chr12	108953321	108970509	3	15842	38671.2812	3769.3284	123	1
1_MACS_peak_17775_lociStitched	chr4	40191670	40209078	1	17409	38219.264	3572.1216	124	1
3_MACS_peak_14899_lociStitched	chr20	61272840	61291076	3	12574	37002.6676	2593.1592	125	1
1_MACS_peak_4040_lociStitched	chr11	58340138	58347892	1	7755	36117.3566	1783.42	126	1
6_MACS_peak_3414_lociStitched	chr10	112146698	112186679	6	24739	40200.8955	6037.131	127	1
1_MACS_peak_2077_lociStitched	chr1	209274777	209285212	1	10436	36899.2035	2801.7975	128	1
3_MACS_peak_10239_lociStitched	chr17	62970324	62986369	3	8961	36683.6835	2602.499	129	1
4_MACS_peak_15692_lociStitched	chr22	39823293	39846152	4	13165	37765.3539	3822.0248	130	1
1_MACS_peak_4938_lociStitched	chr12	4377250	4387434	1	10185	35696.9568	1756.74	131	1
1_MACS_peak_7301_lociStitched	chr14	106323776	106329601	1	5826	34453.1275	647.74	132	1
4_MACS_peak_1333_lociStitched	chr1	149803073	149834009	4	15852	42153.3936	8358.9072	133	1
1_MACS_peak_1960_lociStitched	chr1	203288196	203297892	1	9697	36877.7664	3088.176	134	1
1_MACS_peak_18504_lociStitched	chr4	185301131	185307801	1	6671	35321.652	1575.454	135	1
2_MACS_peak_3866_lociStitched	chr11	22685331	22703331	2	17861	36516.6	2800.8	136	1
2_MACS_peak_18608_lociStitched	chr5	1335259	1346360	2	8485	35597.5767	2053.685	137	1
2_MACS_peak_10277_lociStitched	chr17	66229986	66245255	2	8918	35759.998	2348.3722	138	1
2_MACS_peak_22720_lociStitched	chr8	1990697	2000192	2	7173	34909.317	1855.323	139	1
1_MACS_peak_9378_lociStitched	chr17	6063159	6071603	1	8445	34472.63	1489.5216	140	1
4_MACS_peak_12765_lociStitched	chr2	65156855	65178527	4	13273	37258.5024	4278.0528	141	1
4_MACS_peak_13213_lociStitched	chr2	112208539	112242012	4	18317	38266.3336	5419.2787	142	1
2_MACS_peak_1321_lociStitched	chr1	149214024	149225679	2	6003	36857.772	4200.462	143	1
2_MACS_peak_18496_lociStitched	chr4	185201172	185210928	2	8684	34590.8736	2007.7848	144	1
2_MACS_peak_15145_lociStitched	chr21	41295701	41310140	2	10593	35892.4662	3475.4673	145	1
1_MACS_peak_14894_lociStitched	chr20	60910769	60916982	1	6214	33588.7206	1186.0617	146	1
2_MACS_peak_22988_lociStitched	chr8	29622237	29634788	2	6662	34591.8111	2377.1594	147	1
1_MACS_peak_11957_lociStitched	chr19	47613840	47617836	1	3997	33076.4904	890.3088	148	1
2_MACS_peak_884_lociStitched	chr1	66735529	66750830	2	14135	34913.8218	3005.1164	149	1
2_MACS_peak_18751_lociStitched	chr5	32570819	32589926	2	13031	35326.9323	3422.0637	150	1
5_MACS_peak_23479_lociStitched	chr8	120918669	120948091	5	19980	36127.2738	4398.589	151	1
2_MACS_peak_6636_lociStitched	chr13	115039525	115048679	2	8461	33356.2606	1766.722	152	1
3_MACS_peak_8509_lociStitched	chr16	14486389	14504452	3	10100	34175.196	2651.6484	153	1
2_MACS_peak_21580_lociStitched	chr7	26002461	26011620	2	8832	33427.6023	2095.5792	154	1
3_MACS_peak_11463_lociStitched	chr19	13949143	13962192	3	10010	32977.4328	1762.9199	155	1
5_MACS_peak_21256_lociStitched	chr6	157976947	158007240	5	16693	33349.5637	2317.4145	156	1
2_MACS_peak_14092_lociStitched	chr2	232687128	232715019	2	27558	34378.4466	3355.2873	157	1
4_MACS_peak_11144_lociStitched	chr19	1647789	1672852	4	12033	35098.2252	4085.269	158	1
5_MACS_peak_8126_lociStitched	chr15	89646702	89675103	5	15331	35259.8415	4618.0026	159	1
1_MACS_peak_5161_lociStitched	chr12	26265781	26280357	1	14577	32982.5728	2695.1024	160	1
8_MACS_peak_11835_lociStitched	chr19	42027260	42070268	8	24052	36900.864	6765.1584	161	1
5_MACS_peak_10217_lociStitched	chr17	62150143	62182999	5	19118	35454.9096	5818.7976	162	1
1_MACS_peak_4365_lociStitched	chr11	72523517	72527785	1	4269	30416.7556	892.4388	163	1
5_MACS_peak_10373_lociStitched	chr17	73850643	73875789	5	12270	33398.9172	3940.3782	164	1
4_MACS_peak_1982_lociStitched	chr1	204474810	204492096	4	11189	33814.8732	4382.001	165	1
1_MACS_peak_17197_lociStitched	chr3	174865851	174871599	1	5749	31030.0032	1694.5104	166	1
1_MACS_peak_6620_lociStitched	chr13	114789235	114794545	1	5311	30613.212	1297.233	167	1
3_MACS_peak_13503_lociStitched	chr2	157188153	157207753	3	8679	31673.6	2399.04	168	1
2_MACS_peak_17411_lociStitched	chr3	194022337	194034282	2	6746	31767.7275	2675.68	169	1
1_MACS_peak_14706_lociStitched	chr20	44599400	44601825	1	2426	29538.1975	483.7875	170	1
6_MACS_peak_21836_lociStitched	chr7	55616219	55642767	6	22443	33875.248	4890.1416	171	1
2_MACS_peak_22323_lociStitched	chr7	114561724	114574079	2	8444	32056.283	3130.757	172	1
8_MACS_peak_8998_lociStitched	chr16	68269818	68320752	8	25059	37171.6332	8327.709	173	1
3_MACS_peak_20477_lociStitched	chr6	42737757	42752387	3	8372	30856.133	2134.517	174	1
2_MACS_peak_22633_lociStitched	chr7	150101089	150113764	2	7547	31755.945	3325.92	175	1
1_MACS_peak_2730_lociStitched	chr10	30989205	30996926	1	7722	29886.4468	1516.4044	176	1
3_MACS_peak_16864_lociStitched	chr3	129026413	129048573	3	13852	32047.792	3780.496	177	1
1_MACS_peak_4846_lociStitched	chr11	129870973	129874370	1	3398	29009.3609	789.8025	178	1
1_MACS_peak_7952_lociStitched	chr15	75334422	75341714	1	7293	29927.0972	1865.2936	179	1
1_MACS_peak_20861_lociStitched	chr6	106609473	106617547	1	8075	29739.7716	1843.2942	180	1
2_MACS_peak_17361_lociStitched	chr3	186779967	186792389	2	8734	31560.5754	3746.4752	181	1
2_MACS_peak_10513_lociStitched	chr17	78873546	78887055	2	7893	29506.3578	1712.9412	182	1
1_MACS_peak_17167_lociStitched	chr3	170072477	170076867	1	4391	28708.844	1053.161	183	1
4_MACS_peak_3097_lociStitched	chr10	81001303	81020655	4	15330	30686.4664	3109.8664	184	1
2_MACS_peak_9390_lociStitched	chr17	6915028	6926338	2	7136	29487.432	1976.988	185	1
1_MACS_peak_12964_lociStitched	chr2	86261853	86267159	1	5307	28634.8902	1191.7276	186	1
3_MACS_peak_1907_lociStitched	chr1	200850685	200864864	3	10040	30490.5216	3115.1263	187	1
4_MACS_peak_11989_lociStitched	chr19	48879975	48902475	4	10391	30721.5	3372.75	188	1
2_MACS_peak_17407_lociStitched	chr3	193847788	193860504	2	12399	30050.4512	2761.9152	189	1
4_MACS_peak_11148_lociStitched	chr19	1847245	1865698	4	10239	30654.1236	3391.6614	190	1
6_MACS_peak_6077_lociStitched	chr12	123355306	123387146	6	21655	29814.976	2671.376	191	1
4_MACS_peak_18564_lociStitched	chr4	187749124	187776016	4	11234	30729.4884	3598.1496	192	1
2_MACS_peak_14853_lociStitched	chr20	56047515	56058224	2	9908	29082.4313	1957.6052	193	1
2_MACS_peak_7807_lociStitched	chr15	65173728	65189018	2	8969	29537.222	2428.052	194	1
3_MACS_peak_21740_lociStitched	chr7	44661885	44680256	3	13651	30383.7969	3494.1642	195	1
2_MACS_peak_2315_lociStitched	chr1	230256520	230270036	2	7766	29756.8256	2903.2368	196	1
2_MACS_peak_10661_lociStitched	chr18	9101875	9122100	2	17634	30458.85	3646.5675	197	1
4_MACS_peak_2815_lociStitched	chr10	45913733	45932082	4	11544	29501.5222	2710.1473	198	1
6_MACS_peak_3430_lociStitched	chr10	112600008	112633010	6	20509	31685.2202	4953.6002	199	1
2_MACS_peak_15646_lociStitched	chr22	39095231	39103968	2	7694	28503.5888	1802.4431	200	1
6_MACS_peak_8252_lociStitched	chr15	101661258	101692508	6	17863	31640.625	4965.625	201	1
2_MACS_peak_1749_lociStitched	chr1	179049101	179059030	2	6287	29416.6483	2868.4881	202	1
1_MACS_peak_278_lociStitched	chr1	23850479	23858629	1	8151	28310.655	1854.125	203	1
4_MACS_peak_13427_lociStitched	chr2	137132573	137152600	4	10590	29255.4416	2917.9339	204	1
2_MACS_peak_24675_lociStitched	chr9	132646258	132657704	2	7722	28189.2088	1998.4716	205	1
3_MACS_peak_7515_lociStitched	chr15	40387154	40409155	3	15327	30403.1819	4232.9924	206	1
3_MACS_peak_20299_lociStitched	chr6	31694405	31709200	3	11417	29234.92	3065.524	207	1
1_MACS_peak_12564_lociStitched	chr2	43444364	43456832	1	12469	28611.5664	2526.0168	208	1
6_MACS_peak_23536_lociStitched	chr8	126285525	126316145	6	18348	30613.876	4599.124	209	1
4_MACS_peak_17356_lociStitched	chr3	186703125	186719886	4	12452	29913.3567	4072.923	210	1
1_MACS_peak_22203_lociStitched	chr7	101946592	101951932	1	5341	26821.218	1067.466	211	1
2_MACS_peak_11210_lociStitched	chr19	3499704	3507372	2	4089	27457.5744	1807.3476	212	1
1_MACS_peak_2370_lociStitched	chr1	235242075	235247913	1	5839	27299.0718	1676.0898	213	1
2_MACS_peak_9318_lociStitched	chr17	3459489	3466992	2	4912	26960.5299	1405.3119	214	1
1_MACS_peak_20534_lociStitched	chr6	45386651	45395738	1	9088	27066.5382	1524.7986	215	1
1_MACS_peak_15470_lociStitched	chr22	29662691	29666248	1	3558	26161.3793	673.6958	216	1
5_MACS_peak_15920_lociStitched	chr3	5222678	5256260	5	21561	30939.0966	5520.8808	217	1
2_MACS_peak_52_lociStitched	chr1	2220858	2234030	2	6218	27010.5032	1618.8388	218	1
1_MACS_peak_12963_lociStitched	chr2	86220131	86228957	1	8827	26897.235	1721.9526	219	1
2_MACS_peak_7725_lociStitched	chr15	56648150	56666278	2	11658	28083.8976	2918.608	220	1
1_MACS_peak_20770_lociStitched	chr6	90059141	90071119	1	11979	27164.9062	2021.8864	221	1
3_MACS_peak_14848_lociStitched	chr20	55958071	55975703	3	11434	27906.1664	2903.9904	222	1
1_MACS_peak_11825_lociStitched	chr19	41767715	41772261	1	4547	26168.5944	1168.7766	223	1
1_MACS_peak_15642_lociStitched	chr22	38900391	38903750	1	3360	25700.3808	704.7182	224	1
4_MACS_peak_5904_lociStitched	chr12	109161913	109181006	4	11210	28511.5769	3740.3187	225	1
1_MACS_peak_5557_lociStitched	chr12	62995335	62998171	1	2837	25309.882	611.4416	226	1
1_MACS_peak_19358_lociStitched	chr5	131435032	131441916	1	6885	26164.0188	1586.762	227	1
2_MACS_peak_17501_lociStitched	chr4	1712520	1724653	2	6928	26388.0617	1843.0027	228	1
4_MACS_peak_15598_lociStitched	chr22	37611025	37628618	4	13678	27789.9028	3307.484	229	1
1_MACS_peak_22777_lociStitched	chr8	10820847	10827196	1	6350	25821.383	1367.5746	230	1
4_MACS_peak_13986_lociStitched	chr2	219743249	219763375	4	13984	27912.7494	3483.8106	231	1
3_MACS_peak_21832_lociStitched	chr7	55569514	55585806	3	13390	27147.3596	2727.2808	232	1
4_MACS_peak_24213_lociStitched	chr9	93670890	93690271	4	14234	27530.7105	3118.4029	233	1
3_MACS_peak_16604_lociStitched	chr3	98479825	98495893	3	14380	27203.124	2819.934	234	1
1_MACS_peak_9497_lociStitched	chr17	17139173	17141764	1	2592	24880.8548	562.7652	235	1
2_MACS_peak_22930_lociStitched	chr8	26428255	26437465	2	8184	26172.057	1880.682	236	1
2_MACS_peak_2252_lociStitched	chr1	226308722	226316955	2	5572	26716.9083	2434.4981	237	1
4_MACS_peak_3751_lociStitched	chr11	10314536	10341083	4	16624	28784.9121	4512.99	238	1
3_MACS_peak_2789_lociStitched	chr10	43890709	43905812	3	9167	26381.9204	2111.3994	239	1
1_MACS_peak_23465_lociStitched	chr8	118450195	118457608	1	7414	25763.8815	1524.1128	240	1
1_MACS_peak_23990_lociStitched	chr9	37527286	37533129	1	5844	25660.7031	1472.436	241	1
1_MACS_peak_14233_lociStitched	chr20	2081622	2084703	1	3082	24761.0727	603.2598	242	1
3_MACS_peak_20172_lociStitched	chr6	26355018	26367880	3	12107	26300.2176	2207.1192	243	1
2_MACS_peak_15461_lociStitched	chr22	29207139	29221161	2	10826	26671.2462	2636.136	244	1
7_MACS_peak_18505_lociStitched	chr4	185317550	185349889	7	17079	28865.7914	4831.4466	245	1
1_MACS_peak_1283_lociStitched	chr1	145967892	145970682	1	2791	24909.12	946.368	246	1
2_MACS_peak_16245_lociStitched	chr3	46245890	46257129	2	10004	26123.9316	2200.5962	247	1
1_MACS_peak_11947_lociStitched	chr19	47103298	47105546	1	2249	24310.0968	417.2288	248	1
4_MACS_peak_10418_lociStitched	chr17	75078896	75093128	4	12381	26831.5896	3022.8768	249	1
1_MACS_peak_4090_lociStitched	chr11	61558985	61561582	1	2598	24413.0985	725.3421	250	1
1_MACS_peak_19436_lociStitched	chr5	137909987	137912344	1	2358	24180.9344	516.6544	251	1
4_MACS_peak_3368_lociStitched	chr10	105244606	105268572	4	17484	27565.6932	3961.5798	252	1
1_MACS_peak_1743_lociStitched	chr1	178546266	178552586	1	6321	25375.432	1877.04	253	1
1_MACS_peak_13018_lociStitched	chr2	89048937	89057540	1	8604	25148.2896	1703.394	254	1
1_MACS_peak_1298_lociStitched	chr1	147509525	147512292	1	2768	24323.5902	935.5227	255	1
2_MACS_peak_5843_lociStitched	chr12	104318523	104325963	2	6079	24741.72	1380.864	256	1
5_MACS_peak_17180_lociStitched	chr3	171802366	171827105	5	16046	29152.4376	5806.2433	257	1
2_MACS_peak_13848_lociStitched	chr2	202116329	202128230	2	9405	25714.4907	2413.5228	258	1
2_MACS_peak_9355_lociStitched	chr17	4842363	4854493	2	7441	25491.195	2242.837	259	1
1_MACS_peak_2623_lociStitched	chr10	15826051	15832678	1	6628	24568.2771	1351.2453	260	1
