REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X03_0EWP_0229Kronos_MM1S.KB.1hr.1_H3K18Ac_hs.dm_i05.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
7_MACS_peak_7423_lociStitched	chr15	31616745	31657744	7	22470	46279.6712	6937.0308	30	KLF13		KLF13	KLF13	0.651	30	1
6_MACS_peak_21836_lociStitched	chr7	55616219	55642767	6	22443	33875.248	4890.1416	31	VOPP1		VOPP1	VOPP1	0.9103999999999999	31	1
2_MACS_peak_8488_lociStitched	chr16	11808614	11837874	2	22317	44539.572	5503.806	32	TXNDC11	SNN	TXNDC11	SNN	1.1861	32	1
6_MACS_peak_6077_lociStitched	chr12	123355306	123387146	6	21655	29814.976	2671.376	33	VPS37B	HIP1R	VPS37B	VPS37B	0.6299	33	1
5_MACS_peak_15920_lociStitched	chr3	5222678	5256260	5	21561	30939.0966	5520.8808	34	EDEM1		EDEM1	EDEM1	0.5614999999999999	34	1
3_MACS_peak_9739_lociStitched	chr17	34409012	34432910	3	21403	47387.3442	4827.396	35	CCL4,CCL3	CCL18	CCL3	CCL3	2.5049	35	1
5_MACS_peak_14447_lociStitched	chr20	25261622	25301516	5	21389	83278.725	6829.8528	36	PYGB,ABHD12		PYGB	PYGB	0.7634	36	1
8_MACS_peak_5434_lociStitched	chr12	53845682	53873680	8	21370	20810.9134	4989.2436	37	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.39790000000000003	37	1
2_MACS_peak_1501_lociStitched	chr1	156115547	156137154	2	21343	81704.7098	6164.4771	38	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.985	38	1
5_MACS_peak_16793_lociStitched	chr3	124479916	124512431	5	21246	43414.028	4828.4775	39	ITGB5	UMPS	UMPS	UMPS	0.027099999999999985	39	1
5_MACS_peak_4987_lociStitched	chr12	7045655	7081222	5	21231	49000.6559	6263.3487	40	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.342	40	1
6_MACS_peak_2564_lociStitched	chr10	11278866	11312924	6	20947	41669.963	6106.5994	41	CELF2		CELF2	CELF2	0.6752	41	1
3_MACS_peak_9492_lociStitched	chr17	16869305	16895634	3	20885	109249.5526	4799.7767	42	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.1198000000000001	42	1
5_MACS_peak_15219_lociStitched	chr21	45552624	45581063	5	20870	91348.9119	6515.3749	43	C21orf33	PWP2	C21orf33	C21orf33	1.2622	43	1
1_MACS_peak_2561_lociStitched	chr10	11202743	11223587	1	20845	89024.724	4814.964	44	CELF2		CELF2	CELF2	0.6752	44	1
2_MACS_peak_22631_lociStitched	chr7	150062704	150084708	2	20768	78272.6288	5681.4328	45	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	1.7204000000000002	45	1
3_MACS_peak_435_lociStitched	chr1	31214236	31236476	3	20655	49388.368	4708.208	46	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.2662	46	1
6_MACS_peak_3430_lociStitched	chr10	112600008	112633010	6	20509	31685.2202	4953.6002	47	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	0.5317000000000001	47	1
6_MACS_peak_19776_lociStitched	chr5	173310102	173343560	6	20434	23283.4222	5604.215	48	CPEB4		CPEB4	CPEB4	0.2389	48	1
5_MACS_peak_11504_lociStitched	chr19	16244056	16272931	5	20109	44865.975	4790.3625	49	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.1591	49	1
5_MACS_peak_23479_lociStitched	chr8	120918669	120948091	5	19980	36127.2738	4398.589	50	DEPDC6		DEPDC6	DEPDC6	0.23019999999999996	50	1
5_MACS_peak_8481_lociStitched	chr16	11761572	11785921	5	19978	49764.4862	4329.2522	51	SNN,TXNDC11		SNN	SNN	1.1861	51	1
1_MACS_peak_1513_lociStitched	chr1	156456737	156476363	1	19627	43063.3692	5783.7822	52	MEF2D		MEF2D	MEF2D	0.7533000000000001	52	1
3_MACS_peak_12328_lociStitched	chr2	20404526	20426233	3	19363	51061.3761	4017.9657	53	SDC1		SDC1	SDC1	1.3788	53	1
4_MACS_peak_22208_lociStitched	chr7	102063728	102093400	4	19230	79971.9744	5014.568	54	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.2846000000000002	54	1
5_MACS_peak_10217_lociStitched	chr17	62150143	62182999	5	19118	35454.9096	5818.7976	55	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.4505	55	1
2_MACS_peak_22722_lociStitched	chr8	2027431	2050984	2	19000	107102.5569	4093.5114	56	MYOM2		MYOM2	MYOM2	1.2764	56	1
3_MACS_peak_19363_lociStitched	chr5	131745226	131767589	3	18445	43314.8947	4300.4049	57	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.9209999999999999	57	1
6_MACS_peak_23536_lociStitched	chr8	126285525	126316145	6	18348	30613.876	4599.124	58	NSMCE2		TRIB1	TRIB1	0.7961	58	1
7_MACS_peak_16247_lociStitched	chr3	46317785	46347195	7	18331	21639.878	4926.175	59		CCR3,CCR2	CCR3	CCR2	0.5032000000000001	59	1
4_MACS_peak_13213_lociStitched	chr2	112208539	112242012	4	18317	38266.3336	5419.2787	60	LOC541471		LOC541471	LOC541471	0.41779999999999995	60	1
3_MACS_peak_11780_lociStitched	chr19	39880664	39904141	3	18141	68127.9063	4134.2997	61	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.7872	61	1
5_MACS_peak_4825_lociStitched	chr11	128585980	128609699	5	18140	24800.5864	4304.9985	62	FLI1		FLI1	FLI1	0.2276	62	1
2_MACS_peak_4195_lociStitched	chr11	65254282	65278788	2	18012	49984.8882	4749.2628	63	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.2178	63	1
8_MACS_peak_10019_lociStitched	chr17	46527855	46562231	8	17971	19047.7416	5232.0272	64		SKAP1,HOXB1	SKAP1	HOXB1	0.008599999999999997	64	1
3_MACS_peak_10152_lociStitched	chr17	56405510	56430907	3	17962	49453.0384	5173.3689	65	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	1.4848000000000001	65	1
6_MACS_peak_8252_lociStitched	chr15	101661258	101692508	6	17863	31640.625	4965.625	66			CHSY1	CHSY1	0.2476	66	1
2_MACS_peak_3866_lociStitched	chr11	22685331	22703331	2	17861	36516.6	2800.8	67	GAS2	FANCF	GAS2	FANCF	0.3788	67	1
2_MACS_peak_10661_lociStitched	chr18	9101875	9122100	2	17634	30458.85	3646.5675	68	NDUFV2	ANKRD12	NDUFV2	NDUFV2	0.8943000000000001	68	1
4_MACS_peak_4367_lociStitched	chr11	72850982	72869857	4	17599	65473.6	3878.8125	69	FCHSD2		FCHSD2	FCHSD2	0.030300000000000007	69	1
4_MACS_peak_7532_lociStitched	chr15	40833556	40862795	4	17553	40060.3539	5040.8036	70	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.8044	70	1
3_MACS_peak_22936_lociStitched	chr8	27208587	27239163	3	17519	24821.5968	5072.5584	71	PTK2B	TRIM35	PTK2B	PTK2B	0.245	71	1
4_MACS_peak_3368_lociStitched	chr10	105244606	105268572	4	17484	27565.6932	3961.5798	72	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	0.6702	72	1
1_MACS_peak_17775_lociStitched	chr4	40191670	40209078	1	17409	38219.264	3572.1216	73	RHOH		RHOH	RHOH	0.5898	73	1
4_MACS_peak_7357_lociStitched	chr15	23658816	23682904	4	17202	45022.8808	4516.5	74			MKRN3	MKRN3	NONE	74	1
3_MACS_peak_14801_lociStitched	chr20	52195339	52213678	3	17153	15833.8926	2717.8398	75	ZNF217		ZNF217	ZNF217	0.2136	75	1
3_MACS_peak_5897_lociStitched	chr12	109009112	109035759	3	17135	79229.5251	5462.635	76	SELPLG	TMEM119	SELPLG	SELPLG	3.1189	76	1
7_MACS_peak_18505_lociStitched	chr4	185317550	185349889	7	17079	28865.7914	4831.4466	77	IRF2		IRF2	IRF2	0.7717	77	1
3_MACS_peak_10469_lociStitched	chr17	76711284	76733796	3	16961	23594.8272	3847.3008	78	CYTH1		CYTH1	CYTH1	0.3386	78	1
2_MACS_peak_9838_lociStitched	chr17	38466243	38484202	2	16807	39175.7626	3563.0656	79	RARA	CDC6,RARA,GJD3	RARA	RARA	0.6169	79	1
4_MACS_peak_20139_lociStitched	chr6	25366706	25390092	4	16742	23016.5012	4338.103	80	LRRC16A		LRRC16A	LRRC16A	0.2355	80	1
5_MACS_peak_21256_lociStitched	chr6	157976947	158007240	5	16693	33349.5637	2317.4145	81	ZDHHC14	MIR3692	MIR3692	MIR3692	0.01220000000000001	81	1
2_MACS_peak_15147_lociStitched	chr21	41324715	41344936	2	16666	45013.9681	5928.7972	82			PCP4	PCP4	0.22399999999999998	82	1
4_MACS_peak_3751_lociStitched	chr11	10314536	10341083	4	16624	28784.9121	4512.99	83	ADM,SBF2		ADM	ADM	1.4380000000000002	83	1
6_MACS_peak_15681_lociStitched	chr22	39631671	39664011	6	16473	27456.66	4359.432	84	PDGFB	SNORD83B,SNORD83A,RNU86	PDGFB	RNU86	0.6968	84	1
1_MACS_peak_5421_lociStitched	chr12	53587386	53603817	1	16432	82268.3739	3524.4495	85	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	3.0726	85	1
4_MACS_peak_7935_lociStitched	chr15	75065396	75083587	4	16373	21927.4314	3214.3497	86	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.5709	86	1
5_MACS_peak_10329_lociStitched	chr17	72733361	72756614	5	16301	21116.0493	4113.4557	87	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.4031	87	1
1_MACS_peak_4191_lociStitched	chr11	65183442	65199719	1	16278	90898.9065	4285.7341	88	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.9219	88	1
6_MACS_peak_8716_lociStitched	chr16	30193848	30227644	6	16148	24302.7036	6657.812	89	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	0.6607000000000001	89	1
4_MACS_peak_1859_lociStitched	chr1	192497903	192521009	4	16057	28492.0086	5344.4178	90		RGS1	RGS1	RGS1	1.0274	90	1
7_MACS_peak_11359_lociStitched	chr19	10512934	10543416	7	16055	17981.3318	4441.2274	91	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	PDE4A	0.11479999999999999	91	1
5_MACS_peak_17180_lociStitched	chr3	171802366	171827105	5	16046	29152.4376	5806.2433	92	FNDC3B		FNDC3B	FNDC3B	0.06920000000000001	92	1
3_MACS_peak_10658_lociStitched	chr18	9060203	9084947	3	16034	53489.1048	4711.2576	93		NDUFV2	NDUFV2	NDUFV2	0.8943000000000001	93	1
2_MACS_peak_1431_lociStitched	chr1	154374889	154394544	2	15989	41635.1865	4725.062	94	IL6R		IL6R	IL6R	0.5069	94	1
3_MACS_peak_16090_lociStitched	chr3	30682709	30703657	3	15971	16863.14	3414.524	95	TGFBR2		TGFBR2	TGFBR2	0.16680000000000003	95	1
4_MACS_peak_1333_lociStitched	chr1	149803073	149834009	4	15852	42153.3936	8358.9072	96	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	1.1416	96	1
3_MACS_peak_5894_lociStitched	chr12	108953321	108970509	3	15842	38671.2812	3769.3284	97	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.0219	97	1
5_MACS_peak_16268_lociStitched	chr3	46577594	46608336	5	15828	64189.296	4694.3034	98	LRRC2	RTP3,TDGF1,LOC100132146	LRRC2	LRRC2	0.9812000000000001	98	1
2_MACS_peak_1356_lociStitched	chr1	150532279	150553140	2	15676	47811.3259	6406.4131	99	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.5535000000000001	99	1
5_MACS_peak_24414_lociStitched	chr9	112904357	112925355	5	15663	15838.7914	4166.0032	100	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.12900000000000003	100	1
5_MACS_peak_9963_lociStitched	chr17	43505067	43531544	5	15639	23479.8036	3762.3817	101	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.4608	101	1
3_MACS_peak_15398_lociStitched	chr22	24178950	24200907	3	15626	89975.3946	4178.4171	102	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	1.1921	102	1
4_MACS_peak_299_lociStitched	chr1	24512463	24533764	4	15575	42712.7652	3927.9044	103	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.35650000000000004	103	1
4_MACS_peak_4379_lociStitched	chr11	72976825	73002545	4	15401	50285.172	4333.82	104	P2RY6	P2RY2,ARHGEF17	P2RY6	P2RY6	1.0815	104	1
3_MACS_peak_16912_lociStitched	chr3	133181677	133200654	3	15394	41113.6705	3579.0622	105	BFSP2		BFSP2	BFSP2	0.5255000000000001	105	1
5_MACS_peak_8126_lociStitched	chr15	89646702	89675103	5	15331	35259.8415	4618.0026	106	ABHD2		ABHD2	ABHD2	0.2657	106	1
4_MACS_peak_3097_lociStitched	chr10	81001303	81020655	4	15330	30686.4664	3109.8664	107	ZMIZ1		PPIF	PPIF	NONE	107	1
3_MACS_peak_7515_lociStitched	chr15	40387154	40409155	3	15327	30403.1819	4232.9924	108	BMF	BUB1B	BMF	BMF	0.8775	108	1
2_MACS_peak_19120_lociStitched	chr5	88113520	88130402	2	15241	16468.391	3148.493	109	MEF2C		MEF2C	MEF2C	0.1422	109	1
6_MACS_peak_9829_lociStitched	chr17	38251385	38280321	6	15175	21496.5544	4487.9736	110	MSL1,NR1D1	THRA,CASC3,MED24	NR1D1	NR1D1	0.5434	110	1
5_MACS_peak_1260_lociStitched	chr1	145128734	145161551	5	15080	23966.2551	10409.5524	111		SEC22B,NOTCH2NL	SEC22B	NOTCH2NL	0.036099999999999965	111	1
6_MACS_peak_7180_lociStitched	chr14	95946366	95985750	6	15076	17746.4304	3288.564	112		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.1764	112	1
1_MACS_peak_12283_lociStitched	chr2	11883312	11898242	1	14931	57695.492	3142.765	113	LPIN1		LPIN1	LPIN1	0.5809	113	1
2_MACS_peak_11166_lociStitched	chr19	2081699	2098166	2	14929	70631.9031	4880.8188	114	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.8589	114	1
4_MACS_peak_13056_lociStitched	chr2	97190861	97212850	4	14858	64342.0129	4059.1694	115	ARID5A	NEURL3	ARID5A	ARID5A	1.4434	115	1
4_MACS_peak_7080_lociStitched	chr14	81930688	81952801	4	14798	18678.8511	2262.1599	116	SEL1L		SEL1L	SEL1L	0.2621	116	1
3_MACS_peak_13836_lociStitched	chr2	201980046	201994812	3	14735	43630.5768	3233.754	117	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.6978	117	1
1_MACS_peak_5161_lociStitched	chr12	26265781	26280357	1	14577	32982.5728	2695.1024	118	BHLHE41		BHLHE41	BHLHE41	1.5618	118	1
4_MACS_peak_12622_lociStitched	chr2	47527016	47550799	4	14385	46136.6417	4005.0572	119		EPCAM	EPCAM	NONE	NONE	119	1
3_MACS_peak_16604_lociStitched	chr3	98479825	98495893	3	14380	27203.124	2819.934	120	ST3GAL6		ST3GAL6	ST3GAL6	0.5073000000000001	120	1
6_MACS_peak_7508_lociStitched	chr15	40330041	40358379	6	14354	21783.4206	4695.6066	121	SRP14	BMF	SRP14	BMF	0.8775	121	1
3_MACS_peak_10306_lociStitched	chr17	70582472	70602142	3	14319	22172.024	3812.046	122	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.11689999999999999	122	1
1_MACS_peak_5077_lociStitched	chr12	12866061	12880325	1	14265	50329.0976	2663.0888	123	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.1769	123	1
5_MACS_peak_23690_lociStitched	chr8	145001963	145027943	5	14241	25727.994	3179.952	124	PLEC,MIR661	GRINA,PARP10	PLEC	PLEC	0.3639	124	1
4_MACS_peak_24213_lociStitched	chr9	93670890	93690271	4	14234	27530.7105	3118.4029	125			SYK	SYK	NONE	125	1
2_MACS_peak_884_lociStitched	chr1	66735529	66750830	2	14135	34913.8218	3005.1164	126	PDE4B	PDE4B	PDE4B	PDE4B	0.09239999999999998	126	1
4_MACS_peak_16257_lociStitched	chr3	46421346	46439540	4	14081	13792.8714	2867.3744	127		CCR2,CCR5,CCRL2	CCRL2	CCR2	0.5032000000000001	127	1
4_MACS_peak_18881_lociStitched	chr5	55437246	55453546	4	14069	22795.55	2901.4	128	ANKRD55		ANKRD55	ANKRD55	0.17020000000000002	128	1
5_MACS_peak_7331_lociStitched	chr15	21975949	22002654	5	14038	20733.762	3989.727	129		LOC646214,CXADRP2	CXADRP2	LOC646214	0.04140000000000002	129	1
2_MACS_peak_2263_lociStitched	chr1	226838942	226853155	2	14005	51084.3646	3961.1631	130	ITPKB		ITPKB	ITPKB	0.5967	130	1
4_MACS_peak_13986_lociStitched	chr2	219743249	219763375	4	13984	27912.7494	3483.8106	131	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.0627	131	1
4_MACS_peak_13776_lociStitched	chr2	197023917	197048429	4	13974	21744.5952	4250.3808	132	STK17B		STK17B	STK17B	0.1979	132	1
5_MACS_peak_25557_lociStitched	chrX	153596715	153627908	5	13879	21863.1737	2442.4119	133	EMD,RPL10,FLNA	SNORA70,TAZ,ATP6AP1,GDI1,FAM50A,DNASE1L1	EMD	SNORA70	0.6387	133	1
3_MACS_peak_5329_lociStitched	chr12	48200519	48219051	3	13860	24271.3604	3107.8164	134	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	0.4512	134	1
3_MACS_peak_16864_lociStitched	chr3	129026413	129048573	3	13852	32047.792	3780.496	135	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.0608	135	1
4_MACS_peak_17959_lociStitched	chr4	77608641	77624950	4	13753	13996.3838	2739.912	136	SHROOM3		ANKRD56	ANKRD56	NONE	136	1
4_MACS_peak_15598_lociStitched	chr22	37611025	37628618	4	13678	27789.9028	3307.484	137	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	SSTR3	0.20099999999999998	137	1
3_MACS_peak_20754_lociStitched	chr6	88625606	88640464	3	13677	23239.3978	2757.6448	138			SPACA1	SPACA1	NONE	138	1
1_MACS_peak_22022_lociStitched	chr7	78114698	78128354	1	13657	21196.8432	2303.7672	139	MAGI2		RPL13AP17	RPL13AP17	NONE	139	1
2_MACS_peak_15459_lociStitched	chr22	29185919	29199778	2	13657	48532.8321	2879.9002	140	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.8499999999999996	140	1
3_MACS_peak_21740_lociStitched	chr7	44661885	44680256	3	13651	30383.7969	3494.1642	141	OGDH	DDX56,TMED4	OGDH	TMED4	0.37870000000000004	141	1
3_MACS_peak_18645_lociStitched	chr5	6475871	6497782	3	13635	63502.4602	3713.9145	142	UBE2QL1		UBE2QL1	UBE2QL1	1.2298	142	1
3_MACS_peak_16496_lociStitched	chr3	69128286	69145749	3	13628	14695.1145	3139.8474	143	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	0.4129999999999999	143	1
6_MACS_peak_11430_lociStitched	chr19	12885650	12918342	6	13612	20184.0408	4446.112	144	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	C19orf43	0.9262	144	1
2_MACS_peak_8041_lociStitched	chr15	81576176	81596115	2	13551	22233.9789	3397.6056	145	IL16	STARD5	IL16	STARD5	0.2308	145	1
5_MACS_peak_24690_lociStitched	chr9	134127165	134153553	5	13519	19442.6784	4179.8592	146	FAM78A	PPAPDC3	FAM78A	FAM78A	0.4626	146	1
2_MACS_peak_14638_lociStitched	chr20	40709921	40727361	2	13489	43828.464	2760.752	147	PTPRT		CHD6	CHD6	NONE	147	1
3_MACS_peak_21832_lociStitched	chr7	55569514	55585806	3	13390	27147.3596	2727.2808	148	VOPP1		VOPP1	VOPP1	0.9103999999999999	148	1
4_MACS_peak_12765_lociStitched	chr2	65156855	65178527	4	13273	37258.5024	4278.0528	149	LOC400958	SLC1A4	LOC400958	LOC400958	0.6128	149	1
3_MACS_peak_11526_lociStitched	chr19	16694085	16711860	3	13257	50617.8675	3517.6725	150	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.11120000000000001	150	1
5_MACS_peak_13012_lociStitched	chr2	88899042	88928401	5	13221	17271.8997	5170.1199	151	EIF2AK3		EIF2AK3	EIF2AK3	0.13040000000000002	151	1
4_MACS_peak_15692_lociStitched	chr22	39823293	39846152	4	13165	37765.3539	3822.0248	152	TAB1	MGAT3	MGAT3	MGAT3	0.1338	152	1
2_MACS_peak_19890_lociStitched	chr6	381516	400905	2	13041	17048.7477	3334.908	153	IRF4		IRF4	IRF4	0.43960000000000005	153	1
2_MACS_peak_18751_lociStitched	chr5	32570819	32589926	2	13031	35326.9323	3422.0637	154	SUB1		SUB1	SUB1	0.8645999999999999	154	1
2_MACS_peak_3848_lociStitched	chr11	19450173	19465317	2	13015	23176.3776	2986.3968	155	NAV2		NAV2	NAV2	0.018299999999999997	155	1
7_MACS_peak_4147_lociStitched	chr11	63992793	64019785	7	12994	21607.096	4372.704	156	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	0.8903999999999999	156	1
3_MACS_peak_24229_lociStitched	chr9	94181081	94195301	3	12869	19509.84	2599.416	157	NFIL3		NFIL3	NFIL3	0.5678	157	1
