GENE_ID	locusLine	bin_1_01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam
1_MACS_peak_282_lociStitched	chr1(.):20983883-20989018	1.4012
1_MACS_peak_283_lociStitched	chr1(.):21058623-21060698	0.7932
1_MACS_peak_284_lociStitched	chr1(.):21111970-21114892	1.5663
1_MACS_peak_285_lociStitched	chr1(.):21290458-21292042	0.6673
1_MACS_peak_286_lociStitched	chr1(.):21347828-21350011	1.1697
1_MACS_peak_287_lociStitched	chr1(.):21502038-21503822	0.5711
1_MACS_peak_288_lociStitched	chr1(.):21594739-21595908	0.4616
1_MACS_peak_289_lociStitched	chr1(.):21615370-21623742	2.505
1_MACS_peak_290_lociStitched	chr1(.):21659817-21662000	1.435
1_MACS_peak_291_lociStitched	chr1(.):21670792-21673179	0.8716
1_MACS_peak_292_lociStitched	chr1(.):21765860-21767183	0.5722
1_MACS_peak_293_lociStitched	chr1(.):22026581-22027788	0.5577
3_MACS_peak_294_lociStitched	chr1(.):22105895-22125055	1.319
1_MACS_peak_297_lociStitched	chr1(.):22190175-22195238	2.4429
1_MACS_peak_298_lociStitched	chr1(.):22263880-22264707	0.6884
2_MACS_peak_299_lociStitched	chr1(.):22344926-22353738	1.6309
1_MACS_peak_301_lociStitched	chr1(.):22365458-22367672	1.7027
1_MACS_peak_302_lociStitched	chr1(.):22378215-22380723	1.5128
1_MACS_peak_303_lociStitched	chr1(.):22444217-22446233	0.5874
1_MACS_peak_304_lociStitched	chr1(.):22488564-22490691	0.9951
1_MACS_peak_305_lociStitched	chr1(.):22744623-22747382	0.7257
1_MACS_peak_306_lociStitched	chr1(.):22777507-22779725	1.3585
1_MACS_peak_307_lociStitched	chr1(.):22820216-22824002	1.086
1_MACS_peak_308_lociStitched	chr1(.):22833765-22836358	0.8829
1_MACS_peak_309_lociStitched	chr1(.):23345507-23347010	0.781
1_MACS_peak_310_lociStitched	chr1(.):23494643-23495671	0.4875
1_MACS_peak_311_lociStitched	chr1(.):23669380-23672100	1.9974
1_MACS_peak_312_lociStitched	chr1(.):23694073-23696541	1.0311
2_MACS_peak_313_lociStitched	chr1(.):23850284-23867233	1.8886
2_MACS_peak_315_lociStitched	chr1(.):23880271-23886915	0.8551
7_MACS_peak_317_lociStitched	chr1(.):23918135-23962441	0.6124
1_MACS_peak_324_lociStitched	chr1(.):24017865-24019688	1.5478
1_MACS_peak_325_lociStitched	chr1(.):24069066-24071951	1.3848
1_MACS_peak_326_lociStitched	chr1(.):24103895-24105631	0.9898
1_MACS_peak_327_lociStitched	chr1(.):24116670-24118693	0.6755
1_MACS_peak_328_lociStitched	chr1(.):24125857-24128106	1.1469
1_MACS_peak_329_lociStitched	chr1(.):24135998-24137268	0.5631
1_MACS_peak_330_lociStitched	chr1(.):24150974-24153133	1.2921
1_MACS_peak_331_lociStitched	chr1(.):24180863-24183005	1.1614
2_MACS_peak_332_lociStitched	chr1(.):24191101-24195197	0.7591
1_MACS_peak_334_lociStitched	chr1(.):24236814-24238292	0.5273
1_MACS_peak_335_lociStitched	chr1(.):24246050-24247651	0.7735
3_MACS_peak_336_lociStitched	chr1(.):24281117-24292178	0.8526
1_MACS_peak_339_lociStitched	chr1(.):24304903-24307945	2.0541
2_MACS_peak_340_lociStitched	chr1(.):24468770-24478870	0.3748
3_MACS_peak_342_lociStitched	chr1(.):24511782-24533970	1.6026
1_MACS_peak_345_lociStitched	chr1(.):24644589-24650491	1.7181
1_MACS_peak_346_lociStitched	chr1(.):24676847-24678729	0.5726
1_MACS_peak_347_lociStitched	chr1(.):24709966-24720372	1.0434
2_MACS_peak_348_lociStitched	chr1(.):24739330-24743982	0.8523
1_MACS_peak_350_lociStitched	chr1(.):24807214-24809069	0.6923
1_MACS_peak_351_lociStitched	chr1(.):24827024-24830470	1.1028
1_MACS_peak_352_lociStitched	chr1(.):24861127-24862393	0.7035
1_MACS_peak_353_lociStitched	chr1(.):24881896-24886531	1.4915
1_MACS_peak_354_lociStitched	chr1(.):24910013-24911279	0.5244
1_MACS_peak_355_lociStitched	chr1(.):24967681-24971375	2.3927
1_MACS_peak_356_lociStitched	chr1(.):25019958-25021694	0.5774
2_MACS_peak_357_lociStitched	chr1(.):25048413-25055045	0.5477
1_MACS_peak_359_lociStitched	chr1(.):25069229-25076925	1.52
1_MACS_peak_360_lociStitched	chr1(.):25174313-25175428	0.5372
1_MACS_peak_361_lociStitched	chr1(.):25254414-25257721	1.4579
1_MACS_peak_362_lociStitched	chr1(.):25289691-25293359	1.3165
4_MACS_peak_363_lociStitched	chr1(.):25346587-25364655	1.08
4_MACS_peak_367_lociStitched	chr1(.):25557985-25574999	0.8603
1_MACS_peak_371_lociStitched	chr1(.):25592569-25595236	1.8057
1_MACS_peak_372_lociStitched	chr1(.):25663169-25665843	2.3914
1_MACS_peak_373_lociStitched	chr1(.):25756135-25758731	1.0143
1_MACS_peak_374_lociStitched	chr1(.):25799946-25801113	0.5612
2_MACS_peak_375_lociStitched	chr1(.):25869669-25879206	1.8361
1_MACS_peak_377_lociStitched	chr1(.):25886881-25890750	1.0739
3_MACS_peak_378_lociStitched	chr1(.):25941790-25960089	0.8145
1_MACS_peak_381_lociStitched	chr1(.):25967155-25972068	2.1083
1_MACS_peak_382_lociStitched	chr1(.):26000975-26004266	0.733
1_MACS_peak_383_lociStitched	chr1(.):26145568-26148395	1.2899
1_MACS_peak_384_lociStitched	chr1(.):26185027-26186365	0.6949
1_MACS_peak_385_lociStitched	chr1(.):26231238-26233426	1.2047
1_MACS_peak_386_lociStitched	chr1(.):26323042-26325667	0.7607
3_MACS_peak_387_lociStitched	chr1(.):26436779-26454019	0.6099
1_MACS_peak_390_lociStitched	chr1(.):26495945-26497360	1.1069
1_MACS_peak_391_lociStitched	chr1(.):26506067-26507362	0.4349
1_MACS_peak_392_lociStitched	chr1(.):26559597-26562192	0.8857
1_MACS_peak_393_lociStitched	chr1(.):26578302-26580291	0.6136
3_MACS_peak_394_lociStitched	chr1(.):26605253-26617137	0.4988
2_MACS_peak_397_lociStitched	chr1(.):26632010-26642863	0.4721
1_MACS_peak_399_lociStitched	chr1(.):26662531-26664225	0.8977
1_MACS_peak_400_lociStitched	chr1(.):26758099-26759801	1.0756
1_MACS_peak_401_lociStitched	chr1(.):26773873-26774837	0.4772
1_MACS_peak_402_lociStitched	chr1(.):26797770-26800548	1.9646
1_MACS_peak_403_lociStitched	chr1(.):26826185-26828662	2.5461
1_MACS_peak_404_lociStitched	chr1(.):26855511-26857292	0.8571
2_MACS_peak_405_lociStitched	chr1(.):26864322-26873348	1.2488
1_MACS_peak_407_lociStitched	chr1(.):26946049-26948466	3.1644
1_MACS_peak_408_lociStitched	chr1(.):27018327-27031518	2.3358
4_MACS_peak_409_lociStitched	chr1(.):27059595-27072760	0.6766
1_MACS_peak_413_lociStitched	chr1(.):27112637-27116172	2.2876
1_MACS_peak_414_lociStitched	chr1(.):27126489-27127324	0.4203
4_MACS_peak_415_lociStitched	chr1(.):27152216-27167316	0.7761
2_MACS_peak_419_lociStitched	chr1(.):27188675-27193206	1.6821
1_MACS_peak_421_lociStitched	chr1(.):27215711-27217452	1.0604
1_MACS_peak_422_lociStitched	chr1(.):27225902-27227793	1.3243
1_MACS_peak_423_lociStitched	chr1(.):27247201-27249523	1.3367
1_MACS_peak_424_lociStitched	chr1(.):27285960-27287613	0.7484
1_MACS_peak_425_lociStitched	chr1(.):27396212-27398260	1.0354
1_MACS_peak_426_lociStitched	chr1(.):27462927-27464703	0.6913
1_MACS_peak_427_lociStitched	chr1(.):27480761-27482888	1.5188
1_MACS_peak_428_lociStitched	chr1(.):27560023-27562470	0.5363
1_MACS_peak_429_lociStitched	chr1(.):27648310-27649909	1.1315
2_MACS_peak_430_lociStitched	chr1(.):27667384-27676841	0.3379
1_MACS_peak_432_lociStitched	chr1(.):27692084-27693899	0.5991
1_MACS_peak_433_lociStitched	chr1(.):27717830-27720006	1.0307
1_MACS_peak_434_lociStitched	chr1(.):27743816-27745814	0.7905
1_MACS_peak_435_lociStitched	chr1(.):27760990-27766812	1.0781
3_MACS_peak_436_lociStitched	chr1(.):27815348-27827604	0.7212
1_MACS_peak_439_lociStitched	chr1(.):27882809-27885185	0.7097
2_MACS_peak_440_lociStitched	chr1(.):27985129-27990141	0.5827
1_MACS_peak_442_lociStitched	chr1(.):27998079-27999714	0.7183
1_MACS_peak_443_lociStitched	chr1(.):28051241-28053625	1.4935
1_MACS_peak_444_lociStitched	chr1(.):28078783-28080179	0.5994
1_MACS_peak_445_lociStitched	chr1(.):28098764-28100833	0.8715
1_MACS_peak_446_lociStitched	chr1(.):28156304-28158370	1.4399
1_MACS_peak_447_lociStitched	chr1(.):28195319-28196580	0.5611
1_MACS_peak_448_lociStitched	chr1(.):28240109-28242057	1.39
1_MACS_peak_449_lociStitched	chr1(.):28285507-28287162	0.8832
2_MACS_peak_450_lociStitched	chr1(.):28352251-28363459	0.8321
2_MACS_peak_452_lociStitched	chr1(.):28390642-28397547	0.348
1_MACS_peak_454_lociStitched	chr1(.):28413827-28416187	1.2677
1_MACS_peak_455_lociStitched	chr1(.):28473452-28475825	1.0761
2_MACS_peak_456_lociStitched	chr1(.):28495008-28500181	0.5568
3_MACS_peak_458_lociStitched	chr1(.):28558374-28577530	1.3352
1_MACS_peak_461_lociStitched	chr1(.):28584265-28587500	1.4522
1_MACS_peak_462_lociStitched	chr1(.):28654578-28656678	1.7649
1_MACS_peak_463_lociStitched	chr1(.):28695342-28697332	1.6663
1_MACS_peak_464_lociStitched	chr1(.):28743200-28745105	0.6489
3_MACS_peak_465_lociStitched	chr1(.):28827454-28846471	0.9289
1_MACS_peak_468_lociStitched	chr1(.):28878318-28880880	1.8404
2_MACS_peak_469_lociStitched	chr1(.):28905150-28914607	1.2293
1_MACS_peak_471_lociStitched	chr1(.):28923479-28929815	2.3096
2_MACS_peak_472_lociStitched	chr1(.):28968312-28976228	1.2029
2_MACS_peak_474_lociStitched	chr1(.):28994347-28996963	1.678
1_MACS_peak_476_lociStitched	chr1(.):29062144-29064698	1.8053
1_MACS_peak_477_lociStitched	chr1(.):29210577-29214893	1.6391
1_MACS_peak_478_lociStitched	chr1(.):29239951-29242499	0.9617
1_MACS_peak_479_lociStitched	chr1(.):29252428-29255555	0.8007
1_MACS_peak_480_lociStitched	chr1(.):29506639-29509794	2.8042
1_MACS_peak_481_lociStitched	chr1(.):29556431-29558079	0.8877
1_MACS_peak_482_lociStitched	chr1(.):30369705-30370710	0.4962
1_MACS_peak_483_lociStitched	chr1(.):30901404-30903345	0.5795
1_MACS_peak_484_lociStitched	chr1(.):30995498-30998151	0.5111
1_MACS_peak_485_lociStitched	chr1(.):31072976-31074142	0.5181
3_MACS_peak_486_lociStitched	chr1(.):31186831-31193002	0.8581
2_MACS_peak_489_lociStitched	chr1(.):31213894-31236696	2.5238
1_MACS_peak_491_lociStitched	chr1(.):31254956-31256302	1.1681
1_MACS_peak_492_lociStitched	chr1(.):31359866-31361804	0.6697
1_MACS_peak_493_lociStitched	chr1(.):31536412-31539371	1.5143
2_MACS_peak_494_lociStitched	chr1(.):31628008-31636060	0.1994
1_MACS_peak_496_lociStitched	chr1(.):31768532-31770638	1.3537
1_MACS_peak_497_lociStitched	chr1(.):31885800-31886873	0.4774
1_MACS_peak_498_lociStitched	chr1(.):31894947-31897394	0.6189
1_MACS_peak_499_lociStitched	chr1(.):31913497-31916292	1.3286
1_MACS_peak_500_lociStitched	chr1(.):31932792-31934517	0.4478
2_MACS_peak_501_lociStitched	chr1(.):31943460-31951358	1.0511
1_MACS_peak_503_lociStitched	chr1(.):31959449-31961204	0.7556
1_MACS_peak_504_lociStitched	chr1(.):31971067-31975759	0.7038
1_MACS_peak_505_lociStitched	chr1(.):32070239-32072677	0.8945
1_MACS_peak_506_lociStitched	chr1(.):32109053-32111681	3.2621
1_MACS_peak_507_lociStitched	chr1(.):32134582-32136679	0.8113
1_MACS_peak_508_lociStitched	chr1(.):32209108-32212293	2.1062
