REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MOLP.8.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
2_MACS_peak_1507_lociStitched	chr1	149856008	149861023	2	4878	31073.943	59	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	59	1
4_MACS_peak_7344_lociStitched	chr14	81421285	81427879	4	5832	17785.9962	60	1	TSHR	C14orf145	TSHR	60	1
2_MACS_peak_25099_lociStitched	chr9	108018192	108023922	2	5684	20202.261	61	1	SLC44A1		SLC44A1	61	1
4_MACS_peak_2562_lociStitched	chr1	234742970	234748827	4	5490	22848.7427	62	1	IRF2BP2	NCRNA00184	IRF2BP2	62	1
5_MACS_peak_14098_lociStitched	chr2	99099847	99106747	5	5909	14899.17	63	1	INPP4A		INPP4A	63	1
3_MACS_peak_4317_lociStitched	chr11	65624554	65629633	3	4884	29415.5364	64	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	MUS81	64	1
3_MACS_peak_20479_lociStitched	chr6	315682	321467	3	5550	20283.367	65	1	DUSP22		DUSP22	65	1
4_MACS_peak_22168_lociStitched	chr7	22481555	22487512	4	5609	18590.6056	66	1	MGC87042		MGC87042	66	1
6_MACS_peak_5828_lociStitched	chr12	104318636	104325276	6	5708	15996.424	67	1	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	67	1
4_MACS_peak_22479_lociStitched	chr7	55599860	55605837	4	5574	18067.2756	68	1	VOPP1		VOPP1	68	1
2_MACS_peak_226_lociStitched	chr1	11626236	11631726	2	5395	20200.455	69	1			FBXO44	69	1
9_MACS_peak_24033_lociStitched	chr8	98639650	98646040	9	5681	14227.974	70	1		MTDH	MTDH	70	1
4_MACS_peak_24404_lociStitched	chr8	142425869	142431866	4	5624	14396.9979	71	1		PTP4A3,GPR20	PTP4A3	71	1
3_MACS_peak_6197_lociStitched	chr12	125400914	125406344	3	5155	22213.044	72	1		UBC	UBC	72	1
4_MACS_peak_14949_lociStitched	chr2	236407277	236413194	4	5354	18586.4804	73	1	AGAP1		AGAP1	73	1
6_MACS_peak_4719_lociStitched	chr11	111237542	111243825	6	5619	12878.2651	74	1	POU2AF1		POU2AF1	74	1
5_MACS_peak_14878_lociStitched	chr2	231732517	231738951	5	5592	12512.8432	75	1	ITM2C		ITM2C	75	1
5_MACS_peak_13815_lociStitched	chr2	65212010	65218011	5	5457	14571.6282	76	1	SLC1A4		SLC1A4	76	1
6_MACS_peak_6075_lociStitched	chr12	122145442	122151829	6	5513	13033.9509	77	1	TMEM120B	MORN3	TMEM120B	77	1
4_MACS_peak_21481_lociStitched	chr6	106611240	106617320	4	5478	13701.28	78	1			PRDM1	78	1
5_MACS_peak_21504_lociStitched	chr6	108878582	108884089	5	5153	19749.7541	79	1	FOXO3		FOXO3	79	1
3_MACS_peak_15529_lociStitched	chr20	45984605	45990281	3	5278	17315.7732	80	1	ZMYND8	LOC100131496	ZMYND8	80	1
4_MACS_peak_20485_lociStitched	chr6	325435	331065	4	5259	17500.855	81	1	DUSP22		DUSP22	81	1
7_MACS_peak_12074_lociStitched	chr19	12899409	12905016	7	5409	14106.0906	82	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	82	1
3_MACS_peak_3644_lociStitched	chr11	267528	272897	3	5055	20024.7593	83	1		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	83	1
9_MACS_peak_2396_lociStitched	chr1	226105981	226113003	9	5254	16727.1062	84	1	PYCR2	TMEM63A,LEFTY1,LEFTY2	PYCR2	84	1
2_MACS_peak_2222_lociStitched	chr1	205252934	205258312	2	5180	17177.332	85	1		NUAK2	NUAK2	85	1
2_MACS_peak_10810_lociStitched	chr17	65643796	65649184	2	5270	15172.608	86	1	PITPNC1		NOL11	86	1
2_MACS_peak_1913_lociStitched	chr1	167596624	167601856	2	5222	16095.2016	87	1	RCSD1		RCSD1	87	1
4_MACS_peak_1754_lociStitched	chr1	156629971	156635729	4	5253	14208.4408	88	1		HAPLN2,BCAN,NES,CRABP2	NES	88	1
2_MACS_peak_20489_lociStitched	chr6	389099	394298	2	5122	16233.3576	89	1	IRF4		IRF4	89	1
3_MACS_peak_1315_lociStitched	chr1	118172671	118178125	3	5202	14220.7596	90	1		FAM46C	FAM46C	90	1
2_MACS_peak_1624_lociStitched	chr1	154297267	154301822	2	4546	24046.756	91	1	AQP10,ATP8B2		ATP8B2	91	1
3_MACS_peak_1326_lociStitched	chr1	118194834	118200001	3	5004	17505.2793	92	1		FAM46C	FAM46C	92	1
3_MACS_peak_6179_lociStitched	chr12	124937039	124942776	3	5150	14637.9555	93	1	NCOR2		NCOR2	93	1
5_MACS_peak_22657_lociStitched	chr7	73241220	73246942	5	5183	13704.19	94	1	CLDN4	WBSCR28,WBSCR27	CLDN4	94	1
4_MACS_peak_22795_lociStitched	chr7	92461452	92466821	4	5197	12719.161	95	1	CDK6		CDK6	95	1
5_MACS_peak_9587_lociStitched	chr16	88846629	88852456	5	5237	11695.9544	96	1	FAM38A	CDT1,APRT	FAM38A	96	1
9_MACS_peak_2759_lociStitched	chr10	5943109	5949256	9	5257	10998.8271	97	1	FBXO18	ANKRD16	FBXO18	97	1
1_MACS_peak_1963_lociStitched	chr1	174125027	174129833	1	4807	18686.2086	99	1	RABGAP1L		RABGAP1L	99	1
3_MACS_peak_4322_lociStitched	chr11	65655173	65660217	3	4891	16802.5728	100	1	CCDC85B,FIBP,FOSL1	MUS81,CTSW,DRAP1,CFL1,EFEMP2,C11orf68	CCDC85B	100	1
6_MACS_peak_4962_lociStitched	chr11	132225611	132231340	6	5028	14015.9985	101	1			NTM	101	1
5_MACS_peak_11780_lociStitched	chr19	2697210	2702677	5	5098	12220.3851	102	1	GNG7	DIRAS1,SLC39A3	GNG7	102	1
3_MACS_peak_12101_lociStitched	chr19	13260583	13265535	3	4812	17757.3768	103	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	103	1
5_MACS_peak_21871_lociStitched	chr6	158181315	158186446	5	4998	14146.167	104	1			SNX9	104	1
7_MACS_peak_13506_lociStitched	chr2	31474697	31480789	7	5109	11434.0748	105	1	EHD3	CAPN14	EHD3	105	1
3_MACS_peak_12185_lociStitched	chr19	16186364	16191011	3	4473	21747.0306	106	1	TPM4	FLJ25328,RAB8A	TPM4	106	1
4_MACS_peak_21188_lociStitched	chr6	45387165	45392575	4	4892	15132.311	107	1	RUNX2	SUPT3H	RUNX2	107	1
4_MACS_peak_25685_lociStitched	chrX	40030653	40036502	4	5020	12292.2584	108	1	BCOR		BCOR	108	1
4_MACS_peak_19291_lociStitched	chr5	6478807	6484802	4	4956	12820.907	109	1	UBE2QL1		UBE2QL1	109	1
2_MACS_peak_16237_lociStitched	chr22	23234496	23239781	2	4915	13194.531	110	1	IGLL5		IGLL5	110	1
4_MACS_peak_16909_lociStitched	chr3	13053360	13058612	4	4883	13345.8572	111	1	IQSEC1	IQSEC1	IQSEC1	111	1
6_MACS_peak_4293_lociStitched	chr11	65339397	65345310	6	4935	11951.9469	112	1	FAM89B,EHBP1L1	SCYL1,SSSCA1,PCNXL3,LTBP3,KCNK7,MAP3K11	EHBP1L1	112	1
1_MACS_peak_20966_lociStitched	chr6	32935670	32939834	1	4165	23498.2848	113	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	113	1
3_MACS_peak_16359_lociStitched	chr22	29194192	29198917	3	4699	16109.415	114	1	XBP1	CCDC117	XBP1	114	1
2_MACS_peak_2511_lociStitched	chr1	230256380	230261056	2	4666	16404.3432	115	1	GALNT2		GALNT2	115	1
3_MACS_peak_21135_lociStitched	chr6	43138096	43143154	3	4501	18926.5302	116	1	SRF	CUL9	SRF	116	1
2_MACS_peak_19150_lociStitched	chr4	185302429	185307261	2	4785	14144.2304	117	1			IRF2	117	1
5_MACS_peak_8084_lociStitched	chr15	65183390	65188510	5	4817	13349.888	118	1		PLEKHO2,ANKDD1A	ANKDD1A	118	1
2_MACS_peak_13013_lociStitched	chr19	50637135	50641590	2	4436	19325.3445	119	1		SNAR-B1,SNAR-B2,SNAR-D,IZUMO2	SNAR-B1	119	1
2_MACS_peak_5101_lociStitched	chr12	7067408	7072123	2	4715	14762.665	120	1	PTPN6	ENO2,ATN1,C12orf57,MIR200C,MIR141,EMG1,SCARNA12,PHB2	MIR200C	120	1
1_MACS_peak_4455_lociStitched	chr11	69061704	69066467	1	4764	13565.9766	121	1	MYEOV		MYEOV	121	1
3_MACS_peak_8532_lociStitched	chr15	101738009	101742892	3	4538	17236.5017	122	1	CHSY1		CHSY1	122	1
4_MACS_peak_5886_lociStitched	chr12	109026212	109031384	4	4698	14475.3936	123	1	SELPLG	TMEM119	SELPLG	123	1
3_MACS_peak_22958_lociStitched	chr7	104581374	104586133	3	4671	14614.4131	124	1		LOC723809	LOC723809	124	1
3_MACS_peak_8310_lociStitched	chr15	80323927	80328628	3	4630	15353.9361	125	1		ZFAND6	ZFAND6	125	1
2_MACS_peak_8162_lociStitched	chr15	69109511	69114233	2	4593	15241.1994	127	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	127	1
2_MACS_peak_2376_lociStitched	chr1	224931284	224936020	2	4736	12151.6288	128	1			CNIH3	128	1
5_MACS_peak_12724_lociStitched	chr19	45952835	45957823	5	4740	11805.0996	129	1		CD3EAP,FOSB,PPM1N,PPP1R13L,ERCC1,RTN2	FOSB	129	1
5_MACS_peak_14419_lociStitched	chr2	158295831	158301488	5	4706	11487.1042	130	1	CYTIP		CYTIP	130	1
4_MACS_peak_19412_lociStitched	chr5	32581445	32586666	4	4528	14809.3665	131	1	SUB1		SUB1	131	1
3_MACS_peak_12772_lociStitched	chr19	47217081	47222528	3	4678	10822.6443	132	1	PRKD2	FKRP,MIR320E,STRN4	PRKD2	132	1
4_MACS_peak_17333_lociStitched	chr3	55518343	55523180	4	4539	13416.8706	133	1	WNT5A		WNT5A	133	1
3_MACS_peak_15686_lociStitched	chr20	56253719	56258392	3	4588	12227.8391	135	1	PMEPA1		PMEPA1	135	1
3_MACS_peak_20475_lociStitched	chr6	303366	307849	3	4243	18018.0736	136	1	DUSP22		DUSP22	136	1
2_MACS_peak_14563_lociStitched	chr2	177625619	177630499	2	4613	11235.224	137	1			MIR1246	137	1
1_MACS_peak_4224_lociStitched	chr11	64630298	64634439	1	4142	19128.9354	138	1	EHD1	CDC42BPG,MIR192,MIR194-2	EHD1	138	1
4_MACS_peak_20066_lociStitched	chr5	139014241	139019096	4	4376	15120.8975	139	1		CXXC5	CXXC5	139	1
2_MACS_peak_12818_lociStitched	chr19	48411643	48415566	2	3810	22179.4651	140	1		SNAR-A12,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-A13,SNAR-C3,SNAR-C1,SULT2A1	SNAR-A12	140	1
3_MACS_peak_13630_lociStitched	chr2	43451239	43455715	3	4319	15388.0404	142	1	LOC100129726,ZFP36L2		ZFP36L2	142	1
4_MACS_peak_14793_lociStitched	chr2	219260877	219265697	4	4479	12125.674	143	1	SLC11A1,CTDSP1	C2orf62,MIR26B,VIL1	CTDSP1	143	1
3_MACS_peak_1376_lociStitched	chr1	143911902	143916296	3	4158	17545.6814	144	1	SRGAP2P2,FAM72D		FAM72D	144	1
2_MACS_peak_22420_lociStitched	chr7	47533476	47538174	2	4344	14457.1554	146	1	TNS3		TNS3	146	1
3_MACS_peak_11388_lociStitched	chr18	42259043	42263472	3	4345	14273.7812	149	1	SETBP1		SETBP1	149	1
4_MACS_peak_4762_lociStitched	chr11	115091580	115096417	4	4419	12443.1825	150	1	CADM1		CADM1	150	1
3_MACS_peak_13254_lociStitched	chr2	2873572	2877913	3	4300	14318.3544	153	1			TSSC1	153	1
3_MACS_peak_1551_lociStitched	chr1	150976837	150981676	3	4355	13300.9593	154	1	PRUNE,FAM63A	ANXA9,BNIPL,C1orf56,LASS2	FAM63A	154	1
2_MACS_peak_6118_lociStitched	chr12	123354682	123358951	2	4144	16638.0006	155	1	VPS37B	HIP1R	VPS37B	155	1
2_MACS_peak_6127_lociStitched	chr12	123370476	123374362	2	3856	20302.7956	156	1	VPS37B		VPS37B	156	1
2_MACS_peak_11169_lociStitched	chr17	80290128	80294947	2	4360	12942.8702	157	1	SECTM1	TEX19,UTS2R,CD7	SECTM1	157	1
1_MACS_peak_9605_lociStitched	chr16	89041447	89045850	1	4404	11890.7418	159	1	CBFA2T3	CBFA2T3	CBFA2T3	159	1
2_MACS_peak_11116_lociStitched	chr17	79478221	79482574	2	4263	14450.2188	160	1	ACTG1	FSCN2,C17orf70	ACTG1	160	1
3_MACS_peak_5712_lociStitched	chr12	89744333	89748884	3	4240	14528.6124	161	1	DUSP6		DUSP6	161	1
2_MACS_peak_4166_lociStitched	chr11	62606241	62610513	2	4023	17606.6208	162	1	WDR74	SLC3A2,TMEM223,NXF1,STX5,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	162	1
4_MACS_peak_9241_lociStitched	chr16	66555082	66559639	4	4387	11330.5248	163	1	TK2	CKLF,CMTM1	TK2	163	1
2_MACS_peak_1992_lociStitched	chr1	178548147	178552249	2	4069	16739.8518	165	1		C1orf220	C1orf220	165	1
2_MACS_peak_18973_lociStitched	chr4	141071449	141075775	2	4286	12976.7022	166	1	MAML3		MAML3	166	1
1_MACS_peak_13984_lociStitched	chr2	86262358	86266645	1	4288	12435.7296	168	1	POLR1A	LOC90784	LOC90784	168	1
2_MACS_peak_25096_lociStitched	chr9	108006193	108010334	2	4137	14937.0011	170	1	SLC44A1		SLC44A1	170	1
1_MACS_peak_12555_lociStitched	chr19	39892085	39895972	1	3888	18380.4569	171	1		MED29,ZFP36,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	171	1
2_MACS_peak_8749_lociStitched	chr16	4663727	4667698	2	3801	19399.1292	172	1	FAM100A	MGRN1	FAM100A	172	1
4_MACS_peak_23824_lociStitched	chr8	61821030	61825359	4	4189	13714.272	173	1			LOC100130298	173	1
5_MACS_peak_1408_lociStitched	chr1	145434934	145439441	5	4000	16694.3787	174	1	TXNIP	HFE2,ANKRD34A,LIX1L,POLR3GL	TXNIP	174	1
6_MACS_peak_24156_lociStitched	chr8	119574996	119580099	6	4321	10825.5042	176	1	SAMD12		SAMD12	176	1
2_MACS_peak_53_lociStitched	chr1	1709199	1713324	2	4049	15825.975	177	1	NADK	SLC35E2,NADK	NADK	177	1
3_MACS_peak_12786_lociStitched	chr19	47613895	47618071	3	4020	16199.1216	178	1	ZC3H4	SAE1	ZC3H4	178	1
2_MACS_peak_386_lociStitched	chr1	23853988	23858301	2	4190	13415.1552	179	1	E2F2	ASAP3,ID3	E2F2	179	1
4_MACS_peak_14693_lociStitched	chr2	202121611	202126777	4	4261	12010.4334	180	1	CASP8		CASP8	180	1
3_MACS_peak_21723_lociStitched	chr6	143265005	143269060	3	3973	16263.794	182	1	HIVEP2		HIVEP2	182	1
1_MACS_peak_12882_lociStitched	chr19	48948008	48952240	1	4233	11155.1288	183	1	GRIN2D,GRWD1	KCNJ14,CYTH2	GRWD1	183	1
1_MACS_peak_23107_lociStitched	chr7	129588764	129592930	1	4167	12452.5906	184	1	UBE2H		UBE2H	184	1
3_MACS_peak_14245_lociStitched	chr2	114644155	114648999	3	4178	12041.6996	186	1	ACTR3		ACTR3	186	1
2_MACS_peak_4903_lociStitched	chr11	126056165	126060505	2	4210	11319.154	187	1		FAM118B,RPUSD4	RPUSD4	187	1
3_MACS_peak_23624_lociStitched	chr8	29205492	29209837	3	4090	13255.2915	190	1	DUSP4		DUSP4	190	1
2_MACS_peak_14679_lociStitched	chr2	201980414	201984467	2	4026	14283.5826	191	1	CFLAR	NDUFB3,FAM126B	CFLAR	191	1
4_MACS_peak_7645_lociStitched	chr15	22544399	22549082	4	4166	11500.0431	192	1	REREP3		REREP3	192	1
4_MACS_peak_13391_lociStitched	chr2	20411191	20415796	4	4166	11351.325	193	1	SDC1		SDC1	193	1
3_MACS_peak_11268_lociStitched	chr18	10925536	10929813	3	4179	10926.4519	194	1	FAM38B		FAM38B	194	1
1_MACS_peak_22963_lociStitched	chr7	104652347	104656000	1	3654	18793.5891	196	1	MLL5,LOC100216545		LOC100216545	196	1
2_MACS_peak_4248_lociStitched	chr11	64899515	64903304	2	3779	17240.7078	197	1	SYVN1	ZFPL1,C11orf2,TM7SF2,MRPL49,SPDYC,CAPN1,CDCA5,ZNHIT2,FAU	SYVN1	197	1
4_MACS_peak_22207_lociStitched	chr7	25987034	25991456	4	4075	12348.8772	198	1	MIR148A		MIR148A	198	1
1_MACS_peak_4477_lociStitched	chr11	70822958	70826990	1	4033	13029.8112	199	1	SHANK2		MIR3664	199	1
3_MACS_peak_6443_lociStitched	chr13	41237456	41241680	3	4051	12443.904	200	1	FOXO1		FOXO1	200	1
4_MACS_peak_18705_lociStitched	chr4	78738522	78742648	4	4066	12122.6006	201	1	CNOT6L	MRPL1	CNOT6L	201	1
3_MACS_peak_16254_lociStitched	chr22	23478209	23482702	3	4005	12806.3979	202	1	RTDR1	RAB36,BCR	RTDR1	202	1
3_MACS_peak_13876_lociStitched	chr2	70312265	70316120	3	3673	17655.9	203	1	PCBP1,LOC400960	LOC100133985	LOC400960	203	1
2_MACS_peak_21224_lociStitched	chr6	52399438	52403537	2	3945	12676.1575	207	1	TRAM2		TRAM2	207	1
3_MACS_peak_4797_lociStitched	chr11	118305186	118309523	3	3972	11853.021	209	1	MLL	ATP5L	MLL	209	1
3_MACS_peak_7220_lociStitched	chr14	69259164	69263169	3	3952	12215.6505	210	1	ZFP36L1,C14orf181		ZFP36L1	210	1
4_MACS_peak_16745_lociStitched	chr22	46464597	46468804	4	3923	12592.8131	212	1		LOC150381,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,LOC100271722,C22orf26	LOC400931	212	1
4_MACS_peak_19670_lociStitched	chr5	76032344	76036786	4	3929	12136.4324	215	1		NCRUPAR,F2R	F2R	215	1
4_MACS_peak_21369_lociStitched	chr6	90060814	90064994	4	3737	15247.804	216	1	UBE2J1	GABRR2	UBE2J1	216	1
3_MACS_peak_21295_lociStitched	chr6	74229688	74233752	3	3780	14021.2064	222	1	EEF1A1		EEF1A1	222	1
2_MACS_peak_2418_lociStitched	chr1	226313519	226317188	2	3596	16321.5465	225	1			ACBD3	225	1
