#KMS28BM_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS28BM_H3K27ac_ROSE/KMS28BM_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS28BM_jia.bam
#Using cutoff of 17368.6331 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS28BM_jia.bam	enhancerRank	isSuper
3_MACS_peak_6515_lociStitched	chr12	40006331	40025393	3	15516	49200.9282	177	1
2_MACS_peak_25292_lociStitched	chr6	26020168	26035943	2	14007	49080.7575	178	1
2_MACS_peak_4325_lociStitched	chr10	111826361	111844095	2	15660	48534.4112	179	1
1_MACS_peak_29912_lociStitched	chr8	126440862	126450173	1	9312	48396.7158	180	1
3_MACS_peak_31509_lociStitched	chr9	139080466	139104862	3	15272	48318.7176	181	1
4_MACS_peak_5940_lociStitched	chr11	118954908	118979803	4	13674	48236.552	182	1
1_MACS_peak_12377_lociStitched	chr17	36855327	36863627	1	8301	48088.54	183	1
5_MACS_peak_16378_lociStitched	chr2	87754258	87787949	5	25232	47915.3402	184	1
4_MACS_peak_8603_lociStitched	chr14	50085890	50109677	4	16621	47897.5032	185	1
2_MACS_peak_22450_lociStitched	chr4	106545185	106560847	2	13807	47836.4466	186	1
3_MACS_peak_21596_lociStitched	chr4	2786570	2803976	3	17271	47535.786	187	1
2_MACS_peak_29621_lociStitched	chr8	101309425	101326650	2	15566	47444.54	188	1
5_MACS_peak_7200_lociStitched	chr12	104849808	104877195	5	21806	47437.0227	189	1
3_MACS_peak_28608_lociStitched	chr7	150098187	150113083	3	9542	47296.2896	190	1
1_MACS_peak_22798_lociStitched	chr4	144272541	144284263	1	11723	47284.2036	191	1
5_MACS_peak_30699_lociStitched	chr9	73013732	73037170	5	14663	47279.1336	192	1
2_MACS_peak_8791_lociStitched	chr14	63934104	63953926	2	18582	47136.716	193	1
1_MACS_peak_29835_lociStitched	chr8	121819379	121825789	1	6411	47076.322	194	1
4_MACS_peak_167_lociStitched	chr1	8917101	8941071	4	17027	47009.964	195	1
2_MACS_peak_9102_lociStitched	chr14	89881551	89899324	2	12313	46840.7415	196	1
1_MACS_peak_21230_lociStitched	chr3	176910964	176921124	1	10161	46748.192	197	1
3_MACS_peak_22469_lociStitched	chr4	108909779	108928324	3	16634	46657.3655	198	1
1_MACS_peak_2410_lociStitched	chr1	198887743	198907568	1	19826	46650.2075	199	1
4_MACS_peak_24329_lociStitched	chr5	131810834	131837471	4	22232	46601.4315	200	1
1_MACS_peak_15873_lociStitched	chr2	43444431	43456894	1	12464	46561.768	201	1
2_MACS_peak_24056_lociStitched	chr5	100224114	100241920	2	13407	46327.6508	202	1
3_MACS_peak_19115_lociStitched	chr22	23268460	23285700	3	15530	45923.912	203	1
2_MACS_peak_24964_lociStitched	chr6	380944	403821	2	17989	45847.7957	204	1
3_MACS_peak_1827_lociStitched	chr1	153928215	153941367	3	11158	45817.6224	205	1
2_MACS_peak_30002_lociStitched	chr8	134508432	134521087	2	12531	45701.0015	206	1
1_MACS_peak_8306_lociStitched	chr13	114828734	114835764	1	7031	45560.727	207	1
5_MACS_peak_14376_lociStitched	chr19	13260259	13283862	5	14995	45367.3263	208	1
2_MACS_peak_31855_lociStitched	chrX	39953059	39969749	2	15099	45311.681	209	1
7_MACS_peak_27503_lociStitched	chr7	55574498	55606592	7	21773	45172.305	210	1
2_MACS_peak_9933_lociStitched	chr15	60865392	60885762	2	15985	44860.851	211	1
3_MACS_peak_30139_lociStitched	chr8	145731920	145749898	3	11187	44795.7826	212	1
3_MACS_peak_10836_lociStitched	chr16	12051674	12071721	3	15768	44736.8852	213	1
4_MACS_peak_13111_lociStitched	chr17	74475193	74498557	4	16572	44728.0416	214	1
2_MACS_peak_2854_lociStitched	chr1	228666440	228680195	2	7877	44585.457	215	1
2_MACS_peak_498_lociStitched	chr1	26436679	26454504	2	17225	44566.065	216	1
4_MACS_peak_8643_lociStitched	chr14	52075929	52100392	4	17115	44444.3784	217	1
2_MACS_peak_26279_lociStitched	chr6	106439485	106452167	2	11711	44398.4138	218	1
2_MACS_peak_1713_lociStitched	chr1	149215538	149225948	2	5054	44386.158	219	1
2_MACS_peak_9449_lociStitched	chr15	23658996	23685289	2	20355	44103.8782	220	1
3_MACS_peak_80_lociStitched	chr1	2470845	2489574	3	12324	43827.7329	221	1
1_MACS_peak_27471_lociStitched	chr7	50343001	50353277	1	10277	43817.8916	222	1
2_MACS_peak_24005_lociStitched	chr5	95257952	95271499	2	13235	43720.2331	223	1
1_MACS_peak_6565_lociStitched	chr12	46116905	46128842	1	11938	43682.2578	224	1
2_MACS_peak_878_lociStitched	chr1	44294894	44305231	2	9664	43568.3876	225	1
6_MACS_peak_4327_lociStitched	chr10	111960164	111987182	6	16864	43471.962	226	1
3_MACS_peak_28605_lociStitched	chr7	150063872	150083942	3	10191	43455.564	227	1
3_MACS_peak_12981_lociStitched	chr17	66449903	66462587	3	10567	43372.938	228	1
4_MACS_peak_13167_lociStitched	chr17	76163809	76185299	4	18091	43255.072	229	1
1_MACS_peak_18310_lociStitched	chr20	43269485	43282441	1	12957	43124.046	230	1
1_MACS_peak_13995_lociStitched	chr19	1645561	1653947	1	8387	43120.812	231	1
1_MACS_peak_27169_lociStitched	chr7	26000551	26011989	1	11439	42901.6504	232	1
1_MACS_peak_23544_lociStitched	chr5	42987521	42997258	1	9738	42857.4055	233	1
3_MACS_peak_442_lociStitched	chr1	24511892	24531851	3	13282	42766.1493	234	1
2_MACS_peak_25387_lociStitched	chr6	27856530	27871786	2	11764	42539.8304	235	1
4_MACS_peak_12046_lociStitched	chr17	17375209	17400975	4	21227	42434.0254	236	1
13_MACS_peak_2857_lociStitched	chr1	228744033	228784394	13	39045	42395.1944	237	1
1_MACS_peak_21246_lociStitched	chr3	178229422	178239476	1	10055	42380.6262	238	1
4_MACS_peak_1907_lociStitched	chr1	155899901	155932381	4	22474	42366.912	239	1
3_MACS_peak_15511_lociStitched	chr2	11883503	11896013	3	12011	42228.756	240	1
2_MACS_peak_20395_lociStitched	chr3	99820941	99829691	2	8446	42063.875	241	1
2_MACS_peak_13156_lociStitched	chr17	76014478	76032333	2	12554	41923.54	242	1
2_MACS_peak_21449_lociStitched	chr3	192598105	192620287	2	17677	41844.1248	243	1
3_MACS_peak_3529_lociStitched	chr10	43889188	43906176	3	16171	41832.95	244	1
2_MACS_peak_25175_lociStitched	chr6	16469853	16490097	2	17606	41795.7624	245	1
2_MACS_peak_519_lociStitched	chr1	27018382	27034176	2	13905	41713.5334	246	1
1_MACS_peak_29327_lociStitched	chr8	71059643	71074897	1	15255	41524.4388	247	1
7_MACS_peak_9935_lociStitched	chr15	60939464	60974534	7	16527	41207.25	248	1
2_MACS_peak_12851_lociStitched	chr17	57856385	57868432	2	9880	41146.5285	249	1
1_MACS_peak_28414_lociStitched	chr7	130629707	130649535	1	19829	40998.3556	250	1
3_MACS_peak_1564_lociStitched	chr1	118186466	118210286	3	18116	40691.706	251	1
2_MACS_peak_31427_lociStitched	chr9	134542919	134556089	2	13057	40639.986	252	1
1_MACS_peak_9871_lociStitched	chr15	55691089	55701895	1	10807	40619.754	253	1
1_MACS_peak_26321_lociStitched	chr6	108878264	108889170	1	10907	40592.132	254	1
1_MACS_peak_22411_lociStitched	chr4	102709585	102719555	1	9971	40559.954	255	1
3_MACS_peak_1851_lociStitched	chr1	154821809	154844103	3	12995	40541.639	256	1
1_MACS_peak_2799_lociStitched	chr1	226308214	226318114	1	9901	40475.16	257	1
3_MACS_peak_25740_lociStitched	chr6	42737687	42752777	3	12852	40456.29	258	1
2_MACS_peak_7104_lociStitched	chr12	94581359	94604480	2	17194	40385.4507	259	1
1_MACS_peak_5429_lociStitched	chr11	68815721	68826146	1	10426	40339.5375	260	1
1_MACS_peak_21232_lociStitched	chr3	177067866	177079808	1	11943	40316.192	261	1
2_MACS_peak_10004_lociStitched	chr15	65175884	65190377	2	8561	40244.1624	262	1
4_MACS_peak_25554_lociStitched	chr6	32804675	32823721	4	12015	40164.2048	263	1
1_MACS_peak_22435_lociStitched	chr4	105405568	105417504	1	11937	40125.2512	264	1
3_MACS_peak_29570_lociStitched	chr8	97272034	97296255	3	15670	40114.8202	265	1
1_MACS_peak_30005_lociStitched	chr8	134578496	134586561	1	8066	40106.4385	266	1
6_MACS_peak_25523_lociStitched	chr6	31773531	31806116	6	18003	40076.2915	267	1
3_MACS_peak_4655_lociStitched	chr11	3874368	3893351	3	14368	40029.4521	268	1
2_MACS_peak_2003_lociStitched	chr1	160675494	160684726	2	9096	40008.7184	269	1
2_MACS_peak_9282_lociStitched	chr14	102275185	102294568	2	14370	39870.831	270	1
3_MACS_peak_13773_lociStitched	chr18	56291714	56307404	3	13056	39701.976	271	1
3_MACS_peak_9749_lociStitched	chr15	45002127	45023349	3	14712	39551.4414	272	1
1_MACS_peak_29155_lociStitched	chr8	54923214	54935701	1	12488	39551.3238	273	1
1_MACS_peak_28397_lociStitched	chr7	129586576	129593584	1	7009	39455.04	274	1
2_MACS_peak_4867_lociStitched	chr11	22677002	22698011	2	16852	39410.7831	275	1
1_MACS_peak_14474_lociStitched	chr19	16474242	16485284	1	11043	39359.209	276	1
3_MACS_peak_11670_lociStitched	chr16	87798389	87814734	3	12684	39244.345	277	1
1_MACS_peak_410_lociStitched	chr1	23848521	23859028	1	10508	38888.5084	278	1
2_MACS_peak_12507_lociStitched	chr17	40824789	40834074	2	9126	38784.3735	279	1
2_MACS_peak_27982_lociStitched	chr7	100025441	100035086	2	7782	38689.953	280	1
2_MACS_peak_9045_lociStitched	chr14	81989637	82001128	2	11308	38668.3641	281	1
6_MACS_peak_5237_lociStitched	chr11	63992666	64020110	6	15465	38665.8516	282	1
2_MACS_peak_6005_lociStitched	chr11	122927409	122942657	2	15227	38572.8656	283	1
3_MACS_peak_5629_lociStitched	chr11	82771260	82785114	3	12374	38533.5156	284	1
1_MACS_peak_23495_lociStitched	chr5	39071022	39081304	1	10283	38353.9164	285	1
3_MACS_peak_31323_lociStitched	chr9	130533053	130549997	3	9852	38320.5504	286	1
3_MACS_peak_13179_lociStitched	chr17	76335950	76357553	3	15235	38291.3175	287	1
5_MACS_peak_10071_lociStitched	chr15	68476252	68503512	5	16764	38117.658	288	1
7_MACS_peak_833_lociStitched	chr1	41818596	41846615	7	18911	38049.802	289	1
3_MACS_peak_13097_lociStitched	chr17	74168634	74190475	3	18298	38027.3651	290	1
1_MACS_peak_10089_lociStitched	chr15	69107810	69115374	1	7565	38023.4716	291	1
1_MACS_peak_17938_lociStitched	chr20	15956522	15974944	1	18423	38015.6392	292	1
2_MACS_peak_16131_lociStitched	chr2	65656286	65666336	2	9923	37943.775	293	1
3_MACS_peak_28126_lociStitched	chr7	105910290	105927429	3	17007	37942.3182	294	1
3_MACS_peak_18811_lociStitched	chr21	36413959	36430660	3	13353	37824.4248	295	1
4_MACS_peak_14264_lociStitched	chr19	10512708	10542942	4	17196	37804.5936	296	1
1_MACS_peak_30361_lociStitched	chr9	21985386	21996837	1	11452	37744.7862	297	1
1_MACS_peak_12135_lociStitched	chr17	20934660	20948114	1	13455	37715.5982	298	1
4_MACS_peak_31652_lociStitched	chrX	10064789	10092008	4	18024	37711.9245	299	1
2_MACS_peak_5916_lociStitched	chr11	118305009	118321270	2	15441	37567.7883	300	1
6_MACS_peak_15308_lociStitched	chr19	56143176	56171227	6	15597	37498.5768	301	1
1_MACS_peak_28087_lociStitched	chr7	104577934	104587134	1	9201	37435.72	302	1
