REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS28BM_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
5_MACS_peak_11100_lociStitched	chr16	29815074	29837767	5	19429	60744.6224	117	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	117	1
2_MACS_peak_3365_lociStitched	chr10	24735140	24756660	2	19311	58848.592	118	1	KIAA1217		MIR603	118	1
2_MACS_peak_12669_lociStitched	chr17	46123386	46142801	2	19309	64671.365	119	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	119	1
3_MACS_peak_9628_lociStitched	chr15	40387148	40408973	3	19270	54217.665	120	1	BMF	BUB1B	BMF	120	1
3_MACS_peak_22525_lociStitched	chr4	113191607	113220355	3	19175	60347.8016	121	1	ALPK1,TIFA	AP1AR	TIFA	121	1
6_MACS_peak_10769_lociStitched	chr16	9141381	9176170	6	19154	61159.062	122	1		C16orf72	C16orf72	122	1
4_MACS_peak_9169_lociStitched	chr14	93029359	93056235	4	19089	68649.3668	123	1	RIN3		RIN3	123	1
4_MACS_peak_19625_lociStitched	chr3	4869746	4894534	4	18956	29066.4088	124	1	ITPR1		EGOT	124	1
6_MACS_peak_10762_lociStitched	chr16	9033656	9058699	6	18916	25821.8373	125	1	USP7		USP7	125	1
7_MACS_peak_833_lociStitched	chr1	41818596	41846615	7	18911	38049.802	126	1			EDN2	126	1
4_MACS_peak_7457_lociStitched	chr12	122227267	122251504	4	18892	74664.5022	127	1	SETD1B,RHOF,LOC338799	HPD	LOC338799	127	1
1_MACS_peak_29910_lociStitched	chr8	126338438	126357134	1	18697	78493.2864	128	1	NSMCE2		TRIB1	128	1
1_MACS_peak_17267_lociStitched	chr2	201979330	201997923	1	18594	82119.7031	129	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	129	1
2_MACS_peak_8791_lociStitched	chr14	63934104	63953926	2	18582	47136.716	130	1	PPP2R5E		PPP2R5E	130	1
3_MACS_peak_17277_lociStitched	chr2	202109907	202133103	3	18461	56213.1864	131	1	CASP8		CASP8	131	1
1_MACS_peak_17938_lociStitched	chr20	15956522	15974944	1	18423	38015.6392	132	1	MACROD2		KIF16B	132	1
3_MACS_peak_13097_lociStitched	chr17	74168634	74190475	3	18298	38027.3651	133	1	RNF157	FOXJ1	FOXJ1	133	1
3_MACS_peak_1564_lociStitched	chr1	118186466	118210286	3	18116	40691.706	134	1		FAM46C	FAM46C	134	1
4_MACS_peak_13167_lociStitched	chr17	76163809	76185299	4	18091	43255.072	135	1	SYNGR2,AFMID,TK1	TMC8,C17orf99,BIRC5,LOC283999,TMC6,EPR1	TK1	135	1
4_MACS_peak_31652_lociStitched	chrX	10064789	10092008	4	18024	37711.9245	136	1	WWC3	CLCN4	CLCN4	136	1
6_MACS_peak_25523_lociStitched	chr6	31773531	31806116	6	18003	40076.2915	137	1	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	137	1
2_MACS_peak_24964_lociStitched	chr6	380944	403821	2	17989	45847.7957	138	1	IRF4		IRF4	138	1
2_MACS_peak_3692_lociStitched	chr10	63796010	63815553	2	17956	51843.6704	139	1	ARID5B		ARID5B	139	1
3_MACS_peak_5881_lociStitched	chr11	115088106	115111207	3	17881	80876.601	140	1	CADM1		CADM1	140	1
2_MACS_peak_21449_lociStitched	chr3	192598105	192620287	2	17677	41844.1248	141	1	C3orf59		C3orf59	141	1
3_MACS_peak_11093_lociStitched	chr16	29604167	29625680	3	17668	23492.196	142	1	SLC7A5P1	SPN,LOC440354	SLC7A5P1	142	1
2_MACS_peak_29433_lociStitched	chr8	81044920	81062806	2	17660	74779.5774	143	1	TPD52		TPD52	143	1
4_MACS_peak_26812_lociStitched	chr6	160389271	160414527	4	17660	33921.3336	144	1	IGF2R		IGF2R	144	1
3_MACS_peak_23021_lociStitched	chr4	170904126	170931293	3	17648	52274.7414	145	1	MFAP3L		MFAP3L	145	1
2_MACS_peak_25175_lociStitched	chr6	16469853	16490097	2	17606	41795.7624	146	1	ATXN1		GMPR	146	1
1_MACS_peak_24111_lociStitched	chr5	109023929	109041434	1	17506	49420.116	147	1	MAN2A1		MAN2A1	147	1
1_MACS_peak_23601_lociStitched	chr5	53813348	53830853	1	17506	64808.7615	148	1	SNX18		SNX18	148	1
4_MACS_peak_7476_lociStitched	chr12	122883400	122908015	4	17501	36033.8985	149	1	CLIP1		CLIP1	149	1
3_MACS_peak_21688_lociStitched	chr4	10094418	10120040	3	17497	36326.8716	150	1	WDR1	MIR3138	WDR1	150	1
4_MACS_peak_2065_lociStitched	chr1	162530099	162558934	4	17478	32176.9765	151	1	UAP1	DDR2	UAP1	151	1
3_MACS_peak_14802_lociStitched	chr19	39880643	39904247	3	17460	52931.97	152	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	152	1
1_MACS_peak_31105_lociStitched	chr9	112903468	112920922	1	17455	51007.5696	153	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	153	1
1_MACS_peak_11305_lociStitched	chr16	56964593	56982021	1	17429	49748.226	154	1	HERPUD1	CETP,NLRC5	HERPUD1	154	1
1_MACS_peak_2945_lociStitched	chr1	234733414	234750837	1	17424	83736.6803	155	1	IRF2BP2	NCRNA00184	IRF2BP2	155	1
1_MACS_peak_21186_lociStitched	chr3	171843912	171861316	1	17405	28944.5924	156	1	FNDC3B		FNDC3B	156	1
6_MACS_peak_13039_lociStitched	chr17	72733295	72757836	6	17356	35378.3056	157	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	157	1
3_MACS_peak_13719_lociStitched	chr18	49915634	49937321	3	17317	60352.7523	158	1	DCC		DCC	158	1
4_MACS_peak_13119_lociStitched	chr17	74706150	74735666	4	17310	54368.472	159	1	C17orf95,MFSD11,MXRA7,JMJD6,SRSF2,MIR636		JMJD6	159	1
4_MACS_peak_12817_lociStitched	chr17	56405957	56430717	4	17298	67324.916	160	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	160	1
3_MACS_peak_21596_lociStitched	chr4	2786570	2803976	3	17271	47535.786	161	1	SH3BP2	SH3BP2,ADD1,TNIP2	SH3BP2	161	1
5_MACS_peak_16591_lociStitched	chr2	112219924	112243169	5	17262	19046.953	162	1	LOC541471		LOC541471	162	1
3_MACS_peak_16383_lociStitched	chr2	87794580	87818824	3	17254	28280.626	163	1	NCRNA00152		NCRNA00152	163	1
5_MACS_peak_24539_lociStitched	chr5	142720064	142740677	5	17239	17220.1002	164	1	NR3C1		NR3C1	164	1
2_MACS_peak_498_lociStitched	chr1	26436679	26454504	2	17225	44566.065	165	1	PDIK1L	GRRP1,ZNF593,CNKSR1,TRIM63	PDIK1L	165	1
4_MACS_peak_23282_lociStitched	chr5	6711330	6738852	4	17219	36298.7658	166	1	PAPD7	PAPD7	PAPD7	166	1
4_MACS_peak_14264_lociStitched	chr19	10512708	10542942	4	17196	37804.5936	167	1	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	167	1
2_MACS_peak_7104_lociStitched	chr12	94581359	94604480	2	17194	40385.4507	168	1	PLXNC1		PLXNC1	168	1
4_MACS_peak_8643_lociStitched	chr14	52075929	52100392	4	17115	44444.3784	169	1	FRMD6	FRMD6	FRMD6	169	1
2_MACS_peak_26345_lociStitched	chr6	109400329	109417904	2	17057	34258.9475	170	1	CEP57L1,SESN1	CEP57L1	SESN1	170	1
4_MACS_peak_167_lociStitched	chr1	8917101	8941071	4	17027	47009.964	171	1	ENO1	RERE	ENO1	171	1
1_MACS_peak_27137_lociStitched	chr7	23502502	23519517	1	17016	66823.0095	172	1	IGF2BP3	RPS2P32	IGF2BP3	172	1
3_MACS_peak_28126_lociStitched	chr7	105910290	105927429	3	17007	37942.3182	173	1	NAMPT		NAMPT	173	1
4_MACS_peak_31336_lociStitched	chr9	130828520	130846455	4	16955	36305.8205	174	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	174	1
2_MACS_peak_9524_lociStitched	chr15	31545317	31562239	2	16883	86906.3154	175	1			KLF13	175	1
6_MACS_peak_4327_lociStitched	chr10	111960164	111987182	6	16864	43471.962	176	1	MXI1		MXI1	176	1
2_MACS_peak_4867_lociStitched	chr11	22677002	22698011	2	16852	39410.7831	177	1	GAS2	FANCF	GAS2	177	1
3_MACS_peak_5967_lociStitched	chr11	120195098	120216840	3	16764	49806.5736	178	1	TMEM136,ARHGEF12		ARHGEF12	178	1
5_MACS_peak_10071_lociStitched	chr15	68476252	68503512	5	16764	38117.658	179	1	PIAS1,CALML4,CLN6		CALML4	179	1
5_MACS_peak_1858_lociStitched	chr1	154927087	154957122	5	16756	53426.258	180	1	CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,PMVK,DCST2	SHC1	180	1
3_MACS_peak_129_lociStitched	chr1	6878399	6902855	3	16686	59423.1888	181	1	CAMTA1		CAMTA1	181	1
3_MACS_peak_22469_lociStitched	chr4	108909779	108928324	3	16634	46657.3655	182	1	HADH		HADH	182	1
4_MACS_peak_8603_lociStitched	chr14	50085890	50109677	4	16621	47897.5032	183	1	MGAT2,RPL36AL,C14orf104	PPIL5,RPS29,POLE2	C14orf104	183	1
5_MACS_peak_18726_lociStitched	chr21	30428756	30453821	5	16611	28559.061	184	1	C21orf7,CCT8	USP16,RWDD2B	CCT8	184	1
4_MACS_peak_13111_lociStitched	chr17	74475193	74498557	4	16572	44728.0416	185	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	185	1
7_MACS_peak_9935_lociStitched	chr15	60939464	60974534	7	16527	41207.25	186	1	RORA	RORA	RORA	186	1
6_MACS_peak_23411_lociStitched	chr5	32153628	32176073	6	16515	34257.8035	187	1	GOLPH3		GOLPH3	187	1
5_MACS_peak_10966_lociStitched	chr16	21511208	21532428	5	16453	24354.194	188	1	LOC100271836,SLC7A5P2		LOC100271836	188	1
1_MACS_peak_24544_lociStitched	chr5	142770564	142786965	1	16402	50556.0825	189	1	NR3C1		NR3C1	189	1
3_MACS_peak_122_lociStitched	chr1	6656566	6675977	3	16379	75491.3201	190	1	PHF13,KLHL21	TAS1R1,ZBTB48,THAP3,NOL9	KLHL21	190	1
4_MACS_peak_24628_lociStitched	chr5	150431447	150451525	4	16357	30217.39	191	1	TNIP1	GPX3	TNIP1	191	1
1_MACS_peak_31623_lociStitched	chrX	7024624	7040953	1	16330	26652.1938	192	1	HDHD1		HDHD1	192	1
2_MACS_peak_27041_lociStitched	chr7	14015706	14032023	2	16304	35734.23	193	1	ETV1		ETV1	193	1
3_MACS_peak_22940_lociStitched	chr4	159729498	159749560	3	16274	33347.0564	194	1	FNIP2		FNIP2	194	1
3_MACS_peak_27511_lociStitched	chr7	55623012	55642745	3	16225	36253.4676	195	1	VOPP1		VOPP1	195	1
