GENE_ID	locusLine	bin_1_NCI-H929.jin.bam
NM_001130709	chr4(.):71565653-71660614	0.1544
NM_001131005	chr5(.):88009057-88204922	0.3167
NM_002397	chr5(.):88009057-88184283	0.2795
NM_001193349	chr5(.):88009057-88124744	0.0978
NM_016279	chr5(.):26875708-27043689	0.2232
NM_152756	chr5(.):38933021-39079501	0.239
NM_001992	chr5(.):76006867-76036595	2.8009
NR_027435	chr5(.):90671163-90721532	0.715
NM_001077654	chr5(.):118599417-118735294	0.3712
NM_003060	chr5(.):131700400-131736306	0.1948
NM_001020825	chr5(.):142652495-142788254	0.3706
NM_001018076	chr5(.):142652495-142789045	0.3686
NM_001018075	chr5(.):142652495-142820077	0.3083
NM_005990	chr5(.):171464073-171620346	0.3041
NM_001167579	chr5(.):176806431-176822514	0.1264
NM_022455	chr5(.):176555832-176732214	0.2712
NM_172349	chr5(.):176555079-176732214	0.2731
NM_173465	chr5(.):177659616-178022556	0.1069
NM_002406	chr5(.):180212540-180235048	0.7902
NM_001114619	chr5(.):180212540-180235902	0.771
NM_001114618	chr5(.):180212540-180241817	1.0785
NM_001114617	chr5(.):180212540-180242137	1.0674
NM_001193376	chr5(.):1248286-1300162	0.2126
NM_030782	chr5(.):1312999-1350002	1.9812
NM_032479	chr5(.):1793498-1804956	1.7437
NM_004553	chr5(.):1796495-1821167	0.715
NM_001171805	chr5(.):6709717-6762161	0.8164
NM_001171806	chr5(.):6741100-6762161	0.0686
NM_022130	chr5(.):32119823-32179425	0.7143
NM_006713	chr5(.):32580604-32609185	2.1622
NM_001190469	chr5(.):37807778-37840929	1.0036
NM_199231	chr5(.):37807778-37840593	1.0127
NM_000514	chr5(.):37807778-37844782	0.9123
NM_001102575	chr5(.):53808592-53847416	1.0579
NM_001145427	chr5(.):53808588-53847416	1.0578
NM_052870	chr5(.):53808592-53821834	2.6764
NR_028375	chr5(.):76002762-76013686	4.1873
NM_020801	chr5(.):90659540-90684149	1.4205
NM_005668	chr5(.):100137638-100243987	0.3353
NM_175052	chr5(.):100216014-100243970	0.8322
NR_036052	chr5(.):118305280-118315362	0.0689
NM_014350	chr5(.):118686595-118735294	0.2476
NM_000588	chr5(.):131391346-131403896	0.3273
NM_000758	chr5(.):131404484-131416859	0.9445
NR_037500	chr5(.):131696181-131706291	0.3492
NM_002198	chr5(.):131812300-131831465	0.6176
NM_001013717	chr5(.):131741672-131803059	2.0697
NM_016480	chr5(.):138672518-138710409	0.2198
NM_194296	chr5(.):138727455-138744776	1.4361
NM_152686	chr5(.):138740891-138780214	0.1897
NM_152685	chr5(.):138697884-138724039	0.2341
NM_001033112	chr5(.):138673133-138710409	0.2226
NM_001161546	chr5(.):138722634-138735885	3.7803
NM_016459	chr5(.):138718256-138730605	4.1411
NM_001171183	chr5(.):171616175-171635458	0.0477
NM_030627	chr5(.):173310330-173392313	0.4924
NM_017675	chr5(.):175971342-176027769	0.1965
NM_014901	chr5(.):175948699-175969421	0.7278
NM_001171976	chr5(.):175964511-176027769	0.3446
NM_001031677	chr5(.):176723198-176735744	1.1921
NM_006480	chr5(.):176779843-176804599	0.2888
NM_006816	chr5(.):176753562-176783885	0.3615
NM_031300	chr5(.):176729205-176744292	1.7789
NM_001142935	chr5(.):176727500-176744292	1.6782
NM_013237	chr5(.):176725834-176738950	1.5406
NM_002082	chr5(.):176848686-176874850	3.7839
NM_030567	chr5(.):176868795-176888287	1.4735
NM_000505	chr5(.):176824138-176841577	2.0937
NM_080881	chr5(.):176878613-176904871	0.559
NM_004395	chr5(.):176878613-176905694	0.5439
NM_001004105	chr5(.):176848686-176873354	3.6292
NM_001174102	chr5(.):176870325-176888283	1.5763
NM_001029886	chr5(.):176822107-176832637	2.5639
NM_153373	chr5(.):177630539-177664803	0.7815
NR_003281	chr5(.):177606510-177619433	0.0494
NM_004499	chr5(.):177626507-177643184	0.954
NR_027183	chr5(.):180251958-180267726	1.1364
NM_152283	chr5(.):180269610-180293286	0.3087
NM_181356	chr6(.):44791469-45350670	0.086
NM_003599	chr6(.):44792449-45350575	0.0861
NM_017934	chr6(.):79639135-79793011	0.3069
NM_005907	chr6(.):119494266-119675926	0.3096
NM_033515	chr6(.):129893239-130036370	0.3104
NM_020732	chr6(.):157094063-157536913	0.2028
NM_001195286	chr6(.):386738-416443	1.0294
NR_037616	chr6(.):7876482-8069647	1.1614
NM_004973	chr6(.):15241526-15527253	0.2001
NM_001949	chr6(.):20397136-20498945	0.3716
NM_014641	chr6(.):30662583-30690458	0.9549
NM_172166	chr6(.):31702724-31735455	0.9494
NM_003017	chr6(.):36557089-36577244	1.5696
NR_036610	chr6(.):36557089-36577243	1.5697
NM_004348	chr6(.):45384913-45523819	0.9027
NM_001024630	chr6(.):45291053-45523819	0.6037
NM_001123226	chr6(.):74166453-74216179	0.2786
NM_016021	chr6(.):90031343-90067619	2.6419
NM_001455	chr6(.):108877068-109010971	0.3078
NM_201559	chr6(.):108876025-109010971	0.306
NM_032131	chr6(.):109164618-109300352	0.778
NM_024630	chr6(.):157797556-158099977	0.3198
NM_020185	chr6(.):287100-356355	1.2046
NR_027712	chr6(.):7981334-7995577	0.4213
NM_001145549	chr6(.):7876482-7915310	3.9294
NM_030810	chr6(.):7876482-7916047	4.0782
NM_005319	chr6(.):26050967-26061699	1.6589
NM_003537	chr6(.):26026816-26037288	2.18
NM_003544	chr6(.):26022123-26032480	1.3673
NM_021062	chr6(.):26038454-26048885	1.5479
NM_003531	chr6(.):26040638-26051097	1.5433
NM_005325	chr6(.):26012259-26023040	1.4277
NM_003538	chr6(.):26016906-26027278	1.9649
NM_003513	chr6(.):26028319-26038796	1.7692
NM_003529	chr6(.):26015717-26026186	1.5719
NM_003526	chr6(.):26118694-26129132	2.0188
NM_021065	chr6(.):26194011-26204471	3.0638
NM_003530	chr6(.):26192011-26204464	2.585
NM_138720	chr6(.):26153348-26176576	1.3258
NM_003523	chr6(.):26179023-26189458	0.6319
NM_003539	chr6(.):26183937-26194304	0.6996
NM_003545	chr6(.):26199872-26210249	1.6688
NM_021063	chr6(.):26153348-26163871	2.1517
NM_005321	chr6(.):26151558-26162343	2.0834
NM_003512	chr6(.):26119372-26129918	2.0011
NM_005323	chr6(.):26102639-26113364	0.4102
NM_003522	chr6(.):26194786-26205216	3.4237
NM_003518	chr6(.):26211427-26221872	1.2995
NM_021052	chr6(.):26212147-26222711	1.2782
NM_003532	chr6(.):26220382-26230844	0.329
NM_003524	chr6(.):26246878-26257303	1.3132
NM_003547	chr6(.):26241838-26252205	1.1165
NM_003540	chr6(.):26235653-26246021	0.2871
NM_021018	chr6(.):26245369-26255835	1.312
NM_005320	chr6(.):26229439-26240216	1.5074
NM_001145008	chr6(.):26397464-26420444	0.1556
NM_001197240	chr6(.):26378328-26400100	0.3737
NM_001197247	chr6(.):26360397-26383540	1.5671
NM_001197238	chr6(.):26378323-26400100	0.3737
NM_007047	chr6(.):26360397-26383548	1.5682
NM_001197237	chr6(.):26378438-26400100	0.3742
NM_001197248	chr6(.):26360469-26383540	1.5491
NM_001197246	chr6(.):26363405-26383540	0.8481
NM_021064	chr6(.):27095816-27106314	2.7981
NM_080593	chr6(.):27101071-27119637	2.064
NM_080596	chr6(.):27109907-27120346	1.9807
NR_036096	chr6(.):27110404-27120467	1.9111
NM_021058	chr6(.):27095094-27105575	2.9014
NM_003495	chr6(.):27102087-27112457	1.6257
NM_021066	chr6(.):27777079-27787518	1.3767
NM_003536	chr6(.):27772841-27783314	1.8207
NM_003509	chr6(.):27770976-27781445	1.2601
NM_003519	chr6(.):27770256-27780709	1.2202
NM_003521	chr6(.):27777821-27788267	1.357
NM_003535	chr6(.):27853092-27863570	2.8303
NM_003527	chr6(.):27856202-27866669	2.8617
NM_003520	chr6(.):27801439-27811888	2.6168
NM_003511	chr6(.):27828106-27838576	0.9156
NM_003533	chr6(.):27834622-27845099	0.3237
NM_003510	chr6(.):27800657-27811117	2.6147
NM_003541	chr6(.):27793951-27804305	0.7591
NM_005322	chr6(.):27829569-27840359	0.8985
NM_033057	chr6(.):27873962-27885174	0.0305
NM_021968	chr6(.):27786902-27797258	0.8032
NM_003514	chr6(.):27855476-27865963	2.859
NM_003546	chr6(.):27835925-27846289	0.0871
NM_003587	chr6(.):30615895-30645830	0.1138
NM_133471	chr6(.):30639165-30660672	0.867
NM_001134870	chr6(.):30639165-30660093	0.8885
NM_007243	chr6(.):30650825-30663769	0.9461
NM_005803	chr6(.):30690510-30715453	0.402
NM_003897	chr6(.):30705975-30717327	0.5484
NM_178014	chr6(.):30683156-30698195	1.7317
NM_021246	chr6(.):31678132-31690581	0.0994
NM_138275	chr6(.):31686160-31697851	0.47
NR_033488	chr6(.):31649725-31675850	0.2595
NM_013974	chr6(.):31689816-31703039	0.6726
NM_025262	chr6(.):31639460-31653150	0.1072
NM_001288	chr6(.):31693357-31709341	2.3017
NM_001003693	chr6(.):31669683-31683372	0.4853
NM_021160	chr6(.):31649725-31676137	0.2573
NR_024541	chr6(.):31674752-31686842	0.0934
NM_025261	chr6(.):31681424-31694510	0.0995
NM_001039651	chr6(.):31725772-31737624	0.0921
NM_025258	chr6(.):31728370-31750108	0.3385
NR_002742	chr6(.):31799852-31809916	1.2135
NM_021177	chr6(.):31760173-31779743	1.8196
NR_002745	chr6(.):31798039-31808103	1.2479
NM_001040438	chr6(.):31797692-31812541	0.8702
NM_005345	chr6(.):31778290-31790719	0.4599
NM_005527	chr6(.):31772395-31787835	0.3514
NM_006295	chr6(.):31740296-31768712	1.5762
NM_005346	chr6(.):31790511-31803031	1.0112
NM_006120	chr6(.):32911390-32925899	0.0949
NM_002119	chr6(.):32966959-32982389	0.059
NM_002118	chr6(.):32897405-32913847	0.0668
NM_005104	chr6(.):32931436-32954282	2.7653
NM_001113182	chr6(.):32933664-32954282	3.0606
NM_001199455	chr6(.):32934371-32954282	3.1693
NM_001199456	chr6(.):32935860-32954282	3.3572
NM_080679	chr6(.):33125468-33165245	0.1267
NM_006979	chr6(.):33163602-33177214	1.7272
NM_002931	chr6(.):33171285-33185499	0.9877
NM_014234	chr6(.):33167418-33179607	1.9112
NM_021976	chr6(.):33156364-33173432	0.9515
NR_029633	chr6(.):33170611-33180721	1.3643
