GENE_ID	locusLine	bin_1_11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20.bam
1_MACS_peak_159_lociStitched	chr1(.):12078777-12080426	0.7108
2_MACS_peak_160_lociStitched	chr1(.):12106839-12113113	1.1538
2_MACS_peak_162_lociStitched	chr1(.):12221041-12227652	1.6703
1_MACS_peak_164_lociStitched	chr1(.):12270027-12271549	0.9525
1_MACS_peak_165_lociStitched	chr1(.):12289791-12290859	0.6462
1_MACS_peak_166_lociStitched	chr1(.):12404384-12406348	0.7336
1_MACS_peak_167_lociStitched	chr1(.):12495300-12496673	0.6984
1_MACS_peak_168_lociStitched	chr1(.):12508693-12510079	0.6064
1_MACS_peak_169_lociStitched	chr1(.):12896913-12898212	0.583
1_MACS_peak_170_lociStitched	chr1(.):13824429-13825974	0.9446
1_MACS_peak_171_lociStitched	chr1(.):13985432-13986154	0.3906
1_MACS_peak_172_lociStitched	chr1(.):14026077-14027081	0.6842
1_MACS_peak_173_lociStitched	chr1(.):14056570-14058435	2.9622
1_MACS_peak_174_lociStitched	chr1(.):14074819-14077107	2.2327
1_MACS_peak_175_lociStitched	chr1(.):14155315-14156185	0.5632
1_MACS_peak_176_lociStitched	chr1(.):14237521-14239557	0.9965
2_MACS_peak_177_lociStitched	chr1(.):14246690-14254686	0.8217
1_MACS_peak_179_lociStitched	chr1(.):14271984-14273562	0.7325
1_MACS_peak_180_lociStitched	chr1(.):14293418-14295218	0.766
3_MACS_peak_181_lociStitched	chr1(.):14329545-14344595	0.7643
1_MACS_peak_184_lociStitched	chr1(.):14362319-14367643	2.9538
1_MACS_peak_185_lociStitched	chr1(.):14463409-14464426	0.6132
2_MACS_peak_186_lociStitched	chr1(.):14501101-14508791	1.2013
1_MACS_peak_188_lociStitched	chr1(.):14660816-14661720	0.4115
1_MACS_peak_189_lociStitched	chr1(.):14687030-14688438	0.7299
1_MACS_peak_190_lociStitched	chr1(.):14695337-14697412	1.3034
1_MACS_peak_191_lociStitched	chr1(.):15104954-15106110	0.556
1_MACS_peak_192_lociStitched	chr1(.):15150517-15151820	0.7359
1_MACS_peak_193_lociStitched	chr1(.):15160819-15164414	6.4754
2_MACS_peak_194_lociStitched	chr1(.):15202799-15209331	0.4262
1_MACS_peak_196_lociStitched	chr1(.):15482253-15483660	0.5722
3_MACS_peak_197_lociStitched	chr1(.):15499868-15506622	1.1158
1_MACS_peak_200_lociStitched	chr1(.):15545985-15546660	0.4843
1_MACS_peak_201_lociStitched	chr1(.):15557750-15559110	0.773
1_MACS_peak_202_lociStitched	chr1(.):15574916-15575956	0.5361
1_MACS_peak_203_lociStitched	chr1(.):15584064-15585474	0.7337
1_MACS_peak_204_lociStitched	chr1(.):15688343-15689765	0.8588
1_MACS_peak_205_lociStitched	chr1(.):15735698-15737160	0.9721
1_MACS_peak_206_lociStitched	chr1(.):15849961-15854408	1.7076
3_MACS_peak_207_lociStitched	chr1(.):15897212-15912158	1.5337
1_MACS_peak_210_lociStitched	chr1(.):15942485-15945894	2.3562
1_MACS_peak_211_lociStitched	chr1(.):16009961-16012131	1.2932
1_MACS_peak_212_lociStitched	chr1(.):16022505-16025136	2.7442
1_MACS_peak_213_lociStitched	chr1(.):16160171-16163545	6.9002
2_MACS_peak_214_lociStitched	chr1(.):16173111-16179032	2.384
1_MACS_peak_216_lociStitched	chr1(.):16301622-16303216	1.0078
1_MACS_peak_217_lociStitched	chr1(.):16399877-16400880	0.6295
1_MACS_peak_218_lociStitched	chr1(.):16532507-16534176	1.2252
1_MACS_peak_219_lociStitched	chr1(.):16562494-16564471	1.2657
1_MACS_peak_220_lociStitched	chr1(.):16677595-16679807	1.4732
1_MACS_peak_221_lociStitched	chr1(.):16692777-16695413	5.136
1_MACS_peak_222_lociStitched	chr1(.):16766542-16771540	2.1536
1_MACS_peak_223_lociStitched	chr1(.):16832225-16833338	2.5598
1_MACS_peak_225_lociStitched	chr1(.):16969447-16972569	5.4169
2_MACS_peak_226_lociStitched	chr1(.):16984951-16994428	4.331
1_MACS_peak_228_lociStitched	chr1(.):17012015-17012898	0.7163
2_MACS_peak_229_lociStitched	chr1(.):17065962-17075584	4.3742
3_MACS_peak_231_lociStitched	chr1(.):17221329-17233574	6.6678
1_MACS_peak_234_lociStitched	chr1(.):17240577-17241470	1.2199
1_MACS_peak_235_lociStitched	chr1(.):17286733-17288040	0.6078
1_MACS_peak_236_lociStitched	chr1(.):17345185-17346289	0.6917
1_MACS_peak_237_lociStitched	chr1(.):17372196-17372898	0.5366
1_MACS_peak_238_lociStitched	chr1(.):17379489-17381004	1.5633
2_MACS_peak_239_lociStitched	chr1(.):17763535-17768937	1.6864
1_MACS_peak_241_lociStitched	chr1(.):17787352-17788223	0.5542
1_MACS_peak_242_lociStitched	chr1(.):17803736-17804792	0.5661
1_MACS_peak_243_lociStitched	chr1(.):19228294-19230193	2.8327
1_MACS_peak_244_lociStitched	chr1(.):19252344-19255304	6.9954
2_MACS_peak_245_lociStitched	chr1(.):19276515-19283312	1.842
1_MACS_peak_247_lociStitched	chr1(.):19535192-19538325	2.9469
1_MACS_peak_248_lociStitched	chr1(.):19577120-19579452	5.0624
1_MACS_peak_249_lociStitched	chr1(.):19637821-19639595	1.1261
1_MACS_peak_250_lociStitched	chr1(.):19810759-19813436	2.3083
1_MACS_peak_251_lociStitched	chr1(.):19821690-19823212	0.9034
1_MACS_peak_252_lociStitched	chr1(.):19922163-19924860	5.7501
2_MACS_peak_253_lociStitched	chr1(.):20084947-20092184	0.3247
1_MACS_peak_255_lociStitched	chr1(.):20116577-20117826	0.559
1_MACS_peak_256_lociStitched	chr1(.):20125396-20127678	1.9328
1_MACS_peak_257_lociStitched	chr1(.):20141713-20143141	0.7825
1_MACS_peak_258_lociStitched	chr1(.):20208396-20209742	1.4423
2_MACS_peak_259_lociStitched	chr1(.):20404364-20408361	0.4687
1_MACS_peak_261_lociStitched	chr1(.):20415622-20416773	1.2055
1_MACS_peak_262_lociStitched	chr1(.):20833568-20835116	2.0862
1_MACS_peak_263_lociStitched	chr1(.):20959610-20961170	0.9144
2_MACS_peak_264_lociStitched	chr1(.):20984383-20989079	1.4668
1_MACS_peak_266_lociStitched	chr1(.):21059242-21060616	0.7181
1_MACS_peak_267_lociStitched	chr1(.):21111812-21114935	3.2867
1_MACS_peak_268_lociStitched	chr1(.):21290704-21292182	1.1431
1_MACS_peak_269_lociStitched	chr1(.):21348083-21349979	2.174
1_MACS_peak_270_lociStitched	chr1(.):21502035-21503730	0.6221
1_MACS_peak_271_lociStitched	chr1(.):21615870-21622749	5.9793
1_MACS_peak_272_lociStitched	chr1(.):21660022-21661707	1.7836
1_MACS_peak_273_lociStitched	chr1(.):21671040-21672789	0.9074
1_MACS_peak_274_lociStitched	chr1(.):21754710-21755423	0.3733
1_MACS_peak_275_lociStitched	chr1(.):21765892-21767182	0.9244
1_MACS_peak_276_lociStitched	chr1(.):22026255-22027781	0.9455
2_MACS_peak_277_lociStitched	chr1(.):22099537-22110698	3.1183
1_MACS_peak_279_lociStitched	chr1(.):22117200-22119407	3.3174
1_MACS_peak_280_lociStitched	chr1(.):22191342-22194488	4.9555
2_MACS_peak_281_lociStitched	chr1(.):22345113-22353465	3.381
1_MACS_peak_283_lociStitched	chr1(.):22365493-22367681	3.2703
1_MACS_peak_284_lociStitched	chr1(.):22378366-22380612	2.6078
1_MACS_peak_285_lociStitched	chr1(.):22489202-22490367	0.5853
1_MACS_peak_286_lociStitched	chr1(.):22777698-22779672	1.9125
2_MACS_peak_287_lociStitched	chr1(.):22820250-22823878	1.46
1_MACS_peak_289_lociStitched	chr1(.):22833939-22835752	1.0483
1_MACS_peak_290_lociStitched	chr1(.):23345644-23346934	0.8215
1_MACS_peak_291_lociStitched	chr1(.):23494902-23495463	0.7154
1_MACS_peak_292_lociStitched	chr1(.):23668335-23671966	2.9277
1_MACS_peak_293_lociStitched	chr1(.):23694062-23696425	1.5787
1_MACS_peak_294_lociStitched	chr1(.):23849572-23858918	6.8399
2_MACS_peak_295_lociStitched	chr1(.):23880626-23886730	0.7645
1_MACS_peak_297_lociStitched	chr1(.):23919898-23920735	0.5589
1_MACS_peak_298_lociStitched	chr1(.):23928140-23929483	0.5916
3_MACS_peak_299_lociStitched	chr1(.):23937642-23954507	1.2475
1_MACS_peak_302_lociStitched	chr1(.):24017613-24019706	1.9116
1_MACS_peak_303_lociStitched	chr1(.):24069083-24071977	1.9986
1_MACS_peak_304_lociStitched	chr1(.):24103981-24105679	1.6222
1_MACS_peak_305_lociStitched	chr1(.):24116814-24118780	0.9364
1_MACS_peak_306_lociStitched	chr1(.):24125822-24128151	1.0903
1_MACS_peak_307_lociStitched	chr1(.):24136019-24137067	0.6378
1_MACS_peak_308_lociStitched	chr1(.):24150983-24152828	1.4013
1_MACS_peak_309_lociStitched	chr1(.):24181019-24182805	1.745
2_MACS_peak_310_lociStitched	chr1(.):24191438-24195190	0.7227
1_MACS_peak_312_lociStitched	chr1(.):24246040-24247322	1.1136
3_MACS_peak_313_lociStitched	chr1(.):24281260-24292340	1.8177
1_MACS_peak_316_lociStitched	chr1(.):24305526-24307866	4.0417
1_MACS_peak_317_lociStitched	chr1(.):24357477-24358243	0.5144
1_MACS_peak_318_lociStitched	chr1(.):24468881-24469888	0.9207
1_MACS_peak_319_lociStitched	chr1(.):24476766-24478840	1.7799
4_MACS_peak_320_lociStitched	chr1(.):24512344-24533749	2.8761
1_MACS_peak_324_lociStitched	chr1(.):24645142-24650229	3.3106
1_MACS_peak_325_lociStitched	chr1(.):24676850-24678799	0.7248
2_MACS_peak_326_lociStitched	chr1(.):24710298-24720361	1.8893
2_MACS_peak_328_lociStitched	chr1(.):24739381-24744167	1.1543
1_MACS_peak_330_lociStitched	chr1(.):24791934-24792803	0.561
1_MACS_peak_331_lociStitched	chr1(.):24807200-24808902	0.7886
1_MACS_peak_332_lociStitched	chr1(.):24827490-24830038	1.5566
1_MACS_peak_333_lociStitched	chr1(.):24861292-24862373	0.9187
1_MACS_peak_334_lociStitched	chr1(.):24883689-24885276	0.806
1_MACS_peak_335_lociStitched	chr1(.):24910455-24911315	0.5294
1_MACS_peak_336_lociStitched	chr1(.):24967947-24971231	4.8885
2_MACS_peak_337_lociStitched	chr1(.):25048399-25055032	0.6541
1_MACS_peak_339_lociStitched	chr1(.):25069416-25076511	3.0607
1_MACS_peak_340_lociStitched	chr1(.):25174258-25175495	0.7148
1_MACS_peak_341_lociStitched	chr1(.):25254328-25257800	2.7411
1_MACS_peak_342_lociStitched	chr1(.):25290832-25292997	3.3973
1_MACS_peak_343_lociStitched	chr1(.):25347824-25350624	6.927
1_MACS_peak_344_lociStitched	chr1(.):25357846-25359500	0.7684
4_MACS_peak_345_lociStitched	chr1(.):25557957-25574990	1.6617
1_MACS_peak_349_lociStitched	chr1(.):25592755-25595164	3.5245
1_MACS_peak_350_lociStitched	chr1(.):25663196-25666231	4.7759
1_MACS_peak_351_lociStitched	chr1(.):25756124-25758104	1.6126
1_MACS_peak_352_lociStitched	chr1(.):25798573-25800684	0.6132
1_MACS_peak_353_lociStitched	chr1(.):25869662-25878048	3.7007
2_MACS_peak_354_lociStitched	chr1(.):25886489-25892044	1.6387
1_MACS_peak_356_lociStitched	chr1(.):25934744-25935544	0.5053
2_MACS_peak_357_lociStitched	chr1(.):25942071-25947730	1.4185
1_MACS_peak_359_lociStitched	chr1(.):25958246-25959288	0.566
1_MACS_peak_360_lociStitched	chr1(.):25967775-25970425	6.9503
1_MACS_peak_361_lociStitched	chr1(.):26001864-26003422	1.1016
1_MACS_peak_362_lociStitched	chr1(.):26145655-26148316	2.3798
1_MACS_peak_363_lociStitched	chr1(.):26185185-26186264	0.4955
1_MACS_peak_364_lociStitched	chr1(.):26231132-26233267	1.6018
1_MACS_peak_365_lociStitched	chr1(.):26259884-26260902	0.6018
1_MACS_peak_366_lociStitched	chr1(.):26323062-26325401	1.168
3_MACS_peak_367_lociStitched	chr1(.):26436894-26453840	1.0245
2_MACS_peak_370_lociStitched	chr1(.):26496107-26504513	0.2848
1_MACS_peak_372_lociStitched	chr1(.):26559853-26562165	1.7028
1_MACS_peak_373_lociStitched	chr1(.):26578210-26580141	0.9602
3_MACS_peak_374_lociStitched	chr1(.):26601894-26616429	0.6885
1_MACS_peak_377_lociStitched	chr1(.):26632174-26635064	2.4456
1_MACS_peak_378_lociStitched	chr1(.):26641624-26642639	0.6066
1_MACS_peak_379_lociStitched	chr1(.):26662695-26663635	0.5491
1_MACS_peak_380_lociStitched	chr1(.):26758082-26759756	1.2973
1_MACS_peak_381_lociStitched	chr1(.):26773730-26774698	0.6481
1_MACS_peak_382_lociStitched	chr1(.):26797925-26800456	3.4714
1_MACS_peak_383_lociStitched	chr1(.):26826214-26828640	4.7988
1_MACS_peak_384_lociStitched	chr1(.):26855887-26856874	0.7931
3_MACS_peak_385_lociStitched	chr1(.):26864454-26873262	1.7664
1_MACS_peak_388_lociStitched	chr1(.):26946041-26948552	5.9785
1_MACS_peak_389_lociStitched	chr1(.):27009002-27009851	0.4403
1_MACS_peak_390_lociStitched	chr1(.):27018318-27030805	4.6018
1_MACS_peak_391_lociStitched	chr1(.):27047999-27048806	0.4485
3_MACS_peak_392_lociStitched	chr1(.):27059875-27072663	1.3953
1_MACS_peak_395_lociStitched	chr1(.):27112328-27116071	4.0741
1_MACS_peak_396_lociStitched	chr1(.):27126400-27127397	0.4722
5_MACS_peak_397_lociStitched	chr1(.):27147002-27167340	1.1172
2_MACS_peak_402_lociStitched	chr1(.):27188736-27193235	3.6262
1_MACS_peak_404_lociStitched	chr1(.):27215770-27217578	2.1056
1_MACS_peak_405_lociStitched	chr1(.):27225801-27227773	2.4141
1_MACS_peak_406_lociStitched	chr1(.):27247421-27249230	1.8007
1_MACS_peak_407_lociStitched	chr1(.):27286153-27287312	0.6884
1_MACS_peak_408_lociStitched	chr1(.):27396471-27397859	0.5883
1_MACS_peak_409_lociStitched	chr1(.):27462930-27464262	0.9104
1_MACS_peak_410_lociStitched	chr1(.):27480882-27482577	1.6043
1_MACS_peak_411_lociStitched	chr1(.):27560232-27562780	0.7675
1_MACS_peak_412_lociStitched	chr1(.):27648056-27650019	1.8157
2_MACS_peak_413_lociStitched	chr1(.):27667716-27676823	0.2397
1_MACS_peak_415_lociStitched	chr1(.):27718228-27719819	0.5951
1_MACS_peak_416_lociStitched	chr1(.):27744313-27745957	1.346
2_MACS_peak_417_lociStitched	chr1(.):27757211-27766690	1.2437
3_MACS_peak_419_lociStitched	chr1(.):27814739-27827300	1.1043
1_MACS_peak_422_lociStitched	chr1(.):27883168-27884570	0.6295
1_MACS_peak_423_lociStitched	chr1(.):27985519-27987229	0.5124
1_MACS_peak_424_lociStitched	chr1(.):27998160-27999606	1.0453
1_MACS_peak_425_lociStitched	chr1(.):28051430-28053702	1.689
1_MACS_peak_426_lociStitched	chr1(.):28078715-28080251	0.632
1_MACS_peak_427_lociStitched	chr1(.):28098748-28100822	1.2506
1_MACS_peak_428_lociStitched	chr1(.):28156468-28158398	2.6643
1_MACS_peak_429_lociStitched	chr1(.):28217545-28219268	0.8572
1_MACS_peak_430_lociStitched	chr1(.):28240115-28241887	2.1152
1_MACS_peak_431_lociStitched	chr1(.):28285525-28287129	1.3367
1_MACS_peak_432_lociStitched	chr1(.):28322707-28323784	0.5076
2_MACS_peak_433_lociStitched	chr1(.):28352526-28363134	1.6535
2_MACS_peak_435_lociStitched	chr1(.):28390403-28397373	0.2974
1_MACS_peak_437_lociStitched	chr1(.):28413827-28416072	2.9864
1_MACS_peak_438_lociStitched	chr1(.):28473647-28475699	1.4406
2_MACS_peak_439_lociStitched	chr1(.):28495160-28500109	0.5042
3_MACS_peak_441_lociStitched	chr1(.):28558560-28577225	2.2717
1_MACS_peak_444_lociStitched	chr1(.):28585012-28587023	1.6465
1_MACS_peak_445_lociStitched	chr1(.):28654738-28656657	3.1585
1_MACS_peak_446_lociStitched	chr1(.):28695553-28697259	2.5222
1_MACS_peak_447_lociStitched	chr1(.):28743594-28744873	0.5253
1_MACS_peak_448_lociStitched	chr1(.):28764037-28765412	0.7734
1_MACS_peak_449_lociStitched	chr1(.):28776536-28777848	0.5419
4_MACS_peak_450_lociStitched	chr1(.):28827090-28846221	1.5604
1_MACS_peak_454_lociStitched	chr1(.):28878232-28881093	3.5694
2_MACS_peak_455_lociStitched	chr1(.):28903034-28914564	2.0542
1_MACS_peak_457_lociStitched	chr1(.):28924051-28929761	4.2838
1_MACS_peak_458_lociStitched	chr1(.):28957930-28959172	0.5035
2_MACS_peak_459_lociStitched	chr1(.):28968370-28976324	2.4748
1_MACS_peak_461_lociStitched	chr1(.):28994392-28996891	3.3238
1_MACS_peak_462_lociStitched	chr1(.):29062433-29064979	3.5519
1_MACS_peak_463_lociStitched	chr1(.):29101293-29102423	0.872
1_MACS_peak_464_lociStitched	chr1(.):29210766-29214639	1.3765
1_MACS_peak_465_lociStitched	chr1(.):29239921-29242348	1.5413
1_MACS_peak_466_lociStitched	chr1(.):29252542-29255443	1.4955
1_MACS_peak_467_lociStitched	chr1(.):29312622-29313476	0.6347
1_MACS_peak_468_lociStitched	chr1(.):29506487-29509675	4.6804
1_MACS_peak_469_lociStitched	chr1(.):29556602-29557786	1.2472
1_MACS_peak_470_lociStitched	chr1(.):30337426-30338394	0.6158
1_MACS_peak_471_lociStitched	chr1(.):30347836-30351196	0.7998
1_MACS_peak_472_lociStitched	chr1(.):30373893-30374966	0.4329
1_MACS_peak_473_lociStitched	chr1(.):30901465-30903121	0.9192
1_MACS_peak_474_lociStitched	chr1(.):30995800-30997267	0.5613
1_MACS_peak_475_lociStitched	chr1(.):31190281-31192641	2.562
1_MACS_peak_476_lociStitched	chr1(.):31213477-31233349	5.7156
1_MACS_peak_477_lociStitched	chr1(.):31255213-31256193	1.1746
1_MACS_peak_478_lociStitched	chr1(.):31486329-31487358	0.4848
