GENE_ID	locusLine	bin_1_01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam
NM_015508	chr3(.):156387204-156429557	0.5701
NR_034008	chr3(.):156802669-156823924	2.4101
NR_034007	chr3(.):156794455-156845791	1.2073
NM_020307	chr3(.):156860585-156883482	0.8936
NM_173084	chr3(.):160148290-160172626	0.2913
NR_029663	chr3(.):160117375-160127473	1.8654
NM_005496	chr3(.):160113346-160157741	0.6132
NM_001002800	chr3(.):160112429-160157741	0.6036
NR_029525	chr3(.):160117532-160127613	1.7712
NM_018657	chr3(.):169485852-169512504	0.5799
NM_032487	chr3(.):169479710-169492683	1.6144
NM_001172780	chr3(.):169508428-169535574	0.2368
NM_001080460	chr3(.):169534709-169560560	0.1411
NR_001566	chr3(.):169477397-169487848	0.7819
NM_001185119	chr3(.):169487052-169512504	0.6026
NR_027622	chr3(.):169656771-169689522	1.1795
NM_182610	chr3(.):169624481-169661948	0.5787
NM_003262	chr3(.):169679579-169721161	0.3214
NM_014373	chr3(.):169750734-169808183	0.5307
NR_024480	chr3(.):194013988-194035593	1.2977
NM_001080513	chr3(.):194055493-194077057	0.1035
NM_005781	chr3(.):195585235-195640880	0.5889
NM_001010938	chr3(.):195585235-195627432	0.1819
NM_198565	chr3(.):196361655-196393874	0.686
NM_014687	chr3(.):197393258-197468773	0.6302
NM_001145642	chr3(.):197393313-197481568	0.6494
NR_027840	chr3(.):197472260-197516317	0.271
NM_032288	chr3(.):197471623-197516317	0.2684
NR_030627	chr3(.):197396366-197406447	0.1109
NM_001011537	chr3(.):197471423-197516317	0.2675
NM_003215	chr4(.):48132799-48276814	0.3829
NM_201431	chr4(.):74433861-74491340	0.4376
NM_177532	chr4(.):74433861-74491134	0.439
NM_020859	chr4(.):77351252-77709405	0.2352
NM_144571	chr4(.):78629540-78745544	0.2316
NM_198281	chr4(.):90160428-90234161	1.0462
NM_001008388	chr4(.):103785134-103818963	0.269
NM_021069	chr4(.):186501597-186882870	0.1419
NM_001145670	chr4(.):186501597-186738410	0.168
NM_001145671	chr4(.):186501597-186737225	0.1673
NM_001145672	chr4(.):186501597-186737048	0.1673
NM_003603	chr4(.):186501597-186738392	0.168
NM_001145673	chr4(.):186501597-186702066	0.1855
NM_002938	chr4(.):2465794-2522586	0.1955
NM_020972	chr4(.):2266323-2425370	0.2209
NM_001172657	chr4(.):2326979-2425370	0.2553
NM_001172660	chr4(.):2325305-2371604	0.0631
NM_001185009	chr4(.):2466179-2522586	0.1965
NM_001172658	chr4(.):2325305-2425370	0.2521
NM_004310	chr4(.):40193526-40251281	0.9324
NM_001136570	chr4(.):77167852-77209929	0.1211
NM_024900	chr4(.):129725778-129790787	0.3358
NM_199320	chr4(.):129725778-129801379	0.2968
NM_002039	chr4(.):144252982-144400718	0.4526
NM_002199	chr4(.):185303875-185400726	0.9634
NM_001145674	chr4(.):186501597-186583123	0.2901
NM_031953	chr4(.):186126283-186290120	0.4049
NM_001193282	chr4(.):2415700-2469690	0.2251
NR_031688	chr4(.):9552788-9562937	0.1473
NM_017581	chr4(.):40332468-40361973	0.0619
NM_001076	chr4(.):69398132-69439240	0.2567
NM_001077	chr4(.):69397902-69439245	0.256
NM_001076	chr4(.):69507314-69541374	0.1327
NM_031889	chr4(.):71489460-71517536	0.0934
NM_144646	chr4(.):71516257-71537348	0.5888
NM_020368	chr4(.):71549195-71561268	0.3815
NM_014961	chr4(.):71582695-71664274	0.0748
NM_001130709	chr4(.):71565653-71660614	0.0997
NM_017426	chr4(.):77030816-77074655	0.1129
NM_005506	chr4(.):77074893-77140035	0.5422
NM_020236	chr4(.):78778804-78878944	0.1738
NM_152545	chr4(.):82343218-82398061	0.4487
NM_014395	chr4(.):100732980-100796346	0.7473
NM_021970	chr4(.):100794494-100820703	0.4064
NM_003998	chr4(.):103417485-103543459	0.3093
NM_181891	chr4(.):103712132-103753708	0.4987
NM_181890	chr4(.):103712132-103795032	0.3701
