#31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_ROSE/31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam
#Using cutoff of 5127.1332 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isStretch
4_MACS_peak_11267_lociStitched	chr17	34578754	34600093	4	16335	13260.0546	5550.2739	45	1
8_MACS_peak_8191_lociStitched	chr14	106143533	106172987	8	16250	18750.4164	3558.0432	46	1
3_MACS_peak_6783_lociStitched	chr12	109009520	109031556	3	16234	24973.3988	5233.55	47	1
7_MACS_peak_12022_lociStitched	chr17	72732657	72756398	7	16015	18916.8288	4605.754	48	1
5_MACS_peak_18949_lociStitched	chr3	13035643	13061704	5	15632	22086.6975	5464.9917	49	1
4_MACS_peak_17982_lociStitched	chr21	45194032	45210735	4	15562	16100.0217	4653.4558	50	1
8_MACS_peak_10199_lociStitched	chr16	56964028	56986122	8	15557	18503.725	5640.5982	51	1
7_MACS_peak_4819_lociStitched	chr11	63992311	64020463	7	15124	18963.1872	4633.8192	52	1
8_MACS_peak_2970_lociStitched	chr10	11279204	11304261	8	15072	16607.7796	5512.54	53	1
6_MACS_peak_5771_lociStitched	chr12	4377669	4405902	6	15003	22346.4195	4954.8915	54	1
6_MACS_peak_10349_lociStitched	chr16	68269800	68299483	6	14889	23473.3164	5859.4242	55	1
2_MACS_peak_614_lociStitched	chr1	31216059	31231247	2	14832	17311.2824	3772.6992	56	1
4_MACS_peak_13093_lociStitched	chr19	2455420	2480651	4	14780	28321.7975	5205.1553	57	1
6_MACS_peak_28372_lociStitched	chr9	134127017	134154062	6	14749	19745.5545	4765.329	58	1
5_MACS_peak_19882_lociStitched	chr3	129027011	129054625	5	14626	20218.9708	5406.8212	59	1
2_MACS_peak_4884_lociStitched	chr11	65183440	65198121	2	14572	23938.8386	4753.7078	60	1
3_MACS_peak_23067_lociStitched	chr6	315611	330468	3	14552	16549.2123	6599.4794	61	1
6_MACS_peak_11272_lociStitched	chr17	34620681	34641797	6	14503	19701.228	7278.6852	62	1
3_MACS_peak_1680_lociStitched	chr1	154374627	154394360	3	14346	22126.6129	6598.7152	63	1
3_MACS_peak_11393_lociStitched	chr17	38466974	38483526	3	13898	22583.5488	3636.4744	64	1
4_MACS_peak_10855_lociStitched	chr17	7736800	7762194	4	13862	23118.6976	4134.1432	65	1
5_MACS_peak_8468_lociStitched	chr15	40387678	40409228	5	13806	18612.735	4814.27	66	1
7_MACS_peak_8027_lociStitched	chr14	91829926	91846273	7	13778	11169.9051	2473.3011	67	1
5_MACS_peak_12952_lociStitched	chr19	908424	927682	5	13634	16159.3878	3125.5734	68	1
4_MACS_peak_5038_lociStitched	chr11	67760359	67781715	4	13560	18449.4484	4281.878	69	1
5_MACS_peak_2961_lociStitched	chr10	11202886	11223166	5	13546	16232.112	5426.928	70	1
3_MACS_peak_2315_lociStitched	chr1	204474929	204491866	3	13429	18979.6022	5308.0558	71	1
6_MACS_peak_14420_lociStitched	chr19	49989942	50010466	6	13349	14177.9792	3554.7568	72	1
5_MACS_peak_11261_lociStitched	chr17	34522297	34540251	5	13265	19568.0646	6626.8214	73	1
7_MACS_peak_11210_lociStitched	chr17	32690785	32718972	7	13234	14998.3027	6688.7751	74	1
7_MACS_peak_14111_lociStitched	chr19	42037616	42059985	7	13178	11665.4335	4670.6472	75	1
6_MACS_peak_3854_lociStitched	chr10	105244854	105268853	6	13170	17293.6794	4802.1999	76	1
7_MACS_peak_11249_lociStitched	chr17	34409495	34432595	7	13164	19103.7	5717.25	77	1
8_MACS_peak_4923_lociStitched	chr11	65640364	65670172	8	13160	17473.4496	5046.4944	78	1
12_MACS_peak_21631_lociStitched	chr4	190992109	191013764	12	12999	8395.6435	2691.7165	79	1
5_MACS_peak_12110_lociStitched	chr17	74257586	74276158	5	12878	13156.4048	2951.0908	80	1
6_MACS_peak_16512_lociStitched	chr2	219741138	219763686	6	12779	20775.7272	4464.504	81	1
8_MACS_peak_14570_lociStitched	chr19	56142856	56167531	8	12708	16364.46	3987.48	82	1
4_MACS_peak_17049_lociStitched	chr20	25260427	25281699	4	12673	19155.436	3792.7976	83	1
4_MACS_peak_3555_lociStitched	chr10	81001429	81020203	4	12655	14204.4084	3578.3244	84	1
4_MACS_peak_17535_lociStitched	chr20	55958755	55975782	4	12619	17027	3015.4817	85	1
5_MACS_peak_23071_lociStitched	chr6	390354	403699	5	12573	13062.086	2959.921	86	1
4_MACS_peak_18220_lociStitched	chr22	23223204	23240124	4	12547	15779.592	3189.42	87	1
3_MACS_peak_2283_lociStitched	chr1	203267781	203282024	3	12448	16486.2725	4411.0571	88	1
4_MACS_peak_2332_lociStitched	chr1	205242283	205258620	4	12294	18377.4913	5172.2942	89	1
5_MACS_peak_13417_lociStitched	chr19	10522241	10539523	5	12246	14497.8698	3255.9288	90	1
4_MACS_peak_13236_lociStitched	chr19	5679327	5697101	4	12227	18163.2506	4487.935	91	1
7_MACS_peak_12998_lociStitched	chr19	1397610	1420536	7	12170	14067.3936	3883.6644	92	1
4_MACS_peak_13005_lociStitched	chr19	1433927	1448265	4	12165	12811.003	2629.5892	93	1
5_MACS_peak_23849_lociStitched	chr6	44213350	44234119	5	12165	15846.747	4012.5708	94	1
6_MACS_peak_4759_lociStitched	chr11	62308238	62328619	6	12138	15872.7228	4108.8096	95	1
8_MACS_peak_12943_lociStitched	chr19	850322	880246	8	12134	12693.7608	4033.7552	96	1
3_MACS_peak_9713_lociStitched	chr16	12056373	12071754	3	12131	13530.6657	3234.6243	97	1
2_MACS_peak_14765_lociStitched	chr2	11883624	11896392	2	12126	14667.8784	3057.936	98	1
5_MACS_peak_12211_lociStitched	chr17	76712613	76733397	5	12116	14016.7296	4364.64	99	1
4_MACS_peak_7527_lociStitched	chr13	114554824	114568121	4	12089	15545.5227	3220.5334	100	1
5_MACS_peak_16638_lociStitched	chr2	232687398	232714085	5	12087	12580.2518	3768.2044	101	1
4_MACS_peak_18608_lociStitched	chr22	39914742	39931672	4	11969	18639.93	3386	102	1
4_MACS_peak_1711_lociStitched	chr1	155042793	155064517	4	11951	14694.1136	4861.8312	103	1
5_MACS_peak_9854_lociStitched	chr16	22194957	22219191	5	11947	17836.224	5026.1316	104	1
2_MACS_peak_15085_lociStitched	chr2	43444445	43457618	2	11915	16684.9218	3156.2508	105	1
4_MACS_peak_12142_lociStitched	chr17	75078666	75092985	4	11848	13146.2739	3347.7822	106	1
1_MACS_peak_21689_lociStitched	chr5	1334787	1346553	1	11767	13633.2642	2380.2618	107	1
5_MACS_peak_6159_lociStitched	chr12	48200946	48214908	5	11720	13682.76	3183.336	108	1
4_MACS_peak_11885_lociStitched	chr17	62150283	62173701	4	11711	12795.5952	5702.283	109	1
5_MACS_peak_12218_lociStitched	chr17	76764860	76779702	5	11572	10895.5122	2894.19	110	1
4_MACS_peak_10754_lociStitched	chr17	4267004	4281416	4	11532	13786.5192	3058.2264	111	1
3_MACS_peak_23568_lociStitched	chr6	31694573	31709144	3	11452	16863.0183	3428.5563	112	1
4_MACS_peak_17607_lociStitched	chr20	61272908	61290868	4	11431	13870.508	2983.156	113	1
6_MACS_peak_13216_lociStitched	chr19	4790573	4816739	6	11308	16905.8526	5102.37	114	1
3_MACS_peak_12964_lociStitched	chr19	1015110	1029293	3	11294	15597.0451	3525.8938	115	1
3_MACS_peak_14352_lociStitched	chr19	48822910	48837987	3	11261	15990.6662	4007.4666	116	1
5_MACS_peak_11993_lociStitched	chr17	70583712	70602113	5	11256	11916.4876	3341.6216	117	1
3_MACS_peak_17961_lociStitched	chr21	44580640	44598152	3	11219	16667.9216	4568.8808	118	1
4_MACS_peak_14235_lociStitched	chr19	45970269	45989616	4	11215	11826.8211	3105.1935	119	1
6_MACS_peak_25003_lociStitched	chr7	38383981	38408385	6	11212	13248.9316	5425.0092	120	1
2_MACS_peak_11282_lociStitched	chr17	34796440	34807668	2	11203	8337.9128	3298.7864	121	1
5_MACS_peak_27281_lociStitched	chr8	145688111	145705237	5	11200	12877.0394	2377.0888	122	1
5_MACS_peak_13037_lociStitched	chr19	1847227	1866120	5	11192	18227.9664	3856.0613	123	1
2_MACS_peak_2066_lociStitched	chr1	179048155	179059435	2	11174	16055.952	3142.608	124	1
4_MACS_peak_4189_lociStitched	chr11	788603	810884	4	11152	14669.8104	3012.3912	125	1
4_MACS_peak_9958_lociStitched	chr16	29463837	29484071	4	11058	16466.4292	4350.31	126	1
5_MACS_peak_25597_lociStitched	chr7	101915226	101935611	5	11043	13649.796	3534.759	127	1
5_MACS_peak_14432_lociStitched	chr19	50166404	50188323	5	10983	15165.7561	3509.2319	128	1
6_MACS_peak_12958_lociStitched	chr19	982022	1007244	6	10940	15821.7606	4232.2516	129	1
6_MACS_peak_9557_lociStitched	chr16	3199147	3224853	6	10917	17462.0858	3711.9464	130	1
4_MACS_peak_12983_lociStitched	chr19	1232794	1250273	4	10853	13860.847	3212.6402	131	1
7_MACS_peak_7951_lociStitched	chr14	77488476	77507543	7	10818	9167.4136	1845.6856	132	1
5_MACS_peak_11014_lociStitched	chr17	19078339	19106484	5	10805	14052.7985	4297.7415	133	1
4_MACS_peak_23036_lociStitched	chr5	180228814	180248545	4	10723	15478.9695	3861.3567	134	1
5_MACS_peak_20815_lociStitched	chr4	40194055	40207708	5	10710	10678.0113	3586.6431	135	1
3_MACS_peak_17322_lociStitched	chr20	43270811	43282144	3	10684	12204.5077	2434.3284	136	1
5_MACS_peak_23519_lociStitched	chr6	30639724	30659119	5	10678	12845.3085	3045.015	137	1
2_MACS_peak_18224_lociStitched	chr22	23269415	23284417	2	10638	21724.3962	3902.0202	138	1
6_MACS_peak_28730_lociStitched	chrX	39953224	39969125	6	10616	8821.8748	1076.4977	139	1
5_MACS_peak_23377_lociStitched	chr6	26183694	26206544	5	10608	12512.66	4419.19	140	1
6_MACS_peak_12121_lociStitched	chr17	74476184	74503176	6	10594	18594.7888	4542.7536	141	1
7_MACS_peak_13151_lociStitched	chr19	3698966	3726679	7	10594	14768.2577	4350.941	142	1
2_MACS_peak_18248_lociStitched	chr22	24179093	24192456	2	10579	14842.2841	3334.0685	143	1
5_MACS_peak_9974_lociStitched	chr16	29815904	29833212	5	10552	15833.3584	2983.8992	144	1
4_MACS_peak_12148_lociStitched	chr17	75129091	75144751	4	10550	13671.18	3265.11	145	1
2_MACS_peak_13366_lociStitched	chr19	8874588	8887565	2	10539	7434.5233	5901.9396	146	1
4_MACS_peak_14357_lociStitched	chr19	48880515	48903828	4	10500	15890.1408	4331.5554	147	1
3_MACS_peak_22528_lociStitched	chr5	138717726	138730971	3	10401	17135.0565	2815.887	148	1
2_MACS_peak_11561_lociStitched	chr17	43298073	43309896	2	10330	14457.1644	2471.007	149	1
3_MACS_peak_13571_lociStitched	chr19	13943584	13959355	3	10293	17452.1886	2498.1264	150	1
6_MACS_peak_5625_lociStitched	chr11	128586090	128605282	6	10253	13307.7328	4227.9976	151	1
4_MACS_peak_20401_lociStitched	chr3	193848179	193860355	4	10236	17400.7216	2689.6784	152	1
3_MACS_peak_21686_lociStitched	chr5	1312047	1325490	3	10226	15368.0376	3202.1226	153	1
3_MACS_peak_28279_lociStitched	chr9	130828563	130845114	3	10208	10473.4728	3404.5407	154	1
4_MACS_peak_24708_lociStitched	chr7	5459929	5476957	4	10201	10853.6472	2230.668	155	1
3_MACS_peak_13666_lociStitched	chr19	16694597	16711360	3	10181	16726.1214	3924.2183	156	1
3_MACS_peak_20266_lociStitched	chr3	183233498	183246589	3	10108	10921.8213	4432.6126	157	1
2_MACS_peak_13044_lociStitched	chr19	1894663	1906662	2	10088	13689.6591	2824.5646	158	1
4_MACS_peak_24196_lociStitched	chr6	108878142	108895682	4	10064	14319.656	3492.214	159	1
4_MACS_peak_22870_lociStitched	chr5	171601252	171616077	4	10003	12294.3725	3052.4675	160	1
5_MACS_peak_23629_lociStitched	chr6	33537539	33561535	5	10003	14949.508	4336.0772	161	1
6_MACS_peak_5834_lociStitched	chr12	7022601	7038652	6	10001	11588.822	3065.741	162	1
3_MACS_peak_10876_lociStitched	chr17	8087546	8104702	3	9959	12429.522	3463.7964	163	1
2_MACS_peak_22431_lociStitched	chr5	131824377	131837515	2	9868	11981.856	2853.5736	164	1
4_MACS_peak_18530_lociStitched	chr22	38701405	38715028	4	9862	11162.6862	2550.2256	165	1
3_MACS_peak_22968_lociStitched	chr5	176726907	176740581	3	9853	12257.3736	2860.6008	166	1
5_MACS_peak_14084_lociStitched	chr19	41104111	41120919	5	9810	12653.0624	3243.944	167	1
5_MACS_peak_25167_lociStitched	chr7	55625171	55641525	5	9807	9941.5966	3390.1842	168	1
3_MACS_peak_18232_lociStitched	chr22	23515610	23526563	3	9800	10415.2077	2614.4811	169	1
5_MACS_peak_4886_lociStitched	chr11	65207646	65223261	5	9791	8391.501	2267.298	170	1
5_MACS_peak_13638_lociStitched	chr19	16177190	16198113	5	9753	13298.6588	3676.1711	171	1
3_MACS_peak_11381_lociStitched	chr17	38250969	38261676	3	9594	9612.7446	2585.7405	172	1
4_MACS_peak_18592_lociStitched	chr22	39704379	39717245	4	9570	10110.1028	2676.128	173	1
3_MACS_peak_18271_lociStitched	chr22	24819120	24832079	3	9570	11911.9128	2468.6895	174	1
5_MACS_peak_18321_lociStitched	chr22	29207375	29226005	5	9553	10112.364	3671.973	175	1
2_MACS_peak_310_lociStitched	chr1	16962592	16975681	2	9545	18331.1445	7113.8715	176	1
3_MACS_peak_27253_lociStitched	chr8	145047538	145064410	3	9528	12687.744	2866.5528	177	1
3_MACS_peak_26051_lociStitched	chr7	150101138	150118800	3	9499	18760.5764	4502.0438	178	1
3_MACS_peak_25585_lociStitched	chr7	101375969	101391805	3	9493	9029.6872	2351.646	179	1
2_MACS_peak_2651_lociStitched	chr1	228268728	228279136	2	9481	11543.5128	3084.9312	180	1
5_MACS_peak_3718_lociStitched	chr10	99159272	99187297	5	9473	11958.2675	4341.0725	181	1
5_MACS_peak_13330_lociStitched	chr19	7980784	7994578	5	9441	10933.1244	2688.4506	182	1
4_MACS_peak_10777_lociStitched	chr17	4837329	4854537	4	9429	13461.8184	2968.38	183	1
4_MACS_peak_3575_lociStitched	chr10	81946682	81966011	4	9414	11868.006	3544.9386	184	1
3_MACS_peak_2737_lociStitched	chr1	234735030	234749774	3	9392	18627.5696	4514.6128	185	1
3_MACS_peak_1902_lociStitched	chr1	161144443	161156930	3	9390	13088.8734	3773.5714	186	1
4_MACS_peak_10940_lociStitched	chr17	16870650	16883190	4	9308	8927.226	2602.05	187	1
2_MACS_peak_25822_lociStitched	chr7	128572284	128583597	2	9304	15945.6735	3126.9132	188	1
3_MACS_peak_25307_lociStitched	chr7	74057425	74076290	3	9290	11509.5365	3012.7405	189	1
5_MACS_peak_1822_lociStitched	chr1	157133024	157152796	5	9289	13223.5136	5186.1956	190	1
4_MACS_peak_18822_lociStitched	chr22	50679281	50691356	4	9277	9885.8025	2150.5575	191	1
2_MACS_peak_2626_lociStitched	chr1	226840100	226852427	2	9275	14584.0737	4008.7404	192	1
3_MACS_peak_18318_lociStitched	chr22	29185642	29198855	3	9258	10829.3748	2824.9394	193	1
3_MACS_peak_5927_lociStitched	chr12	12866814	12879386	3	9247	14345.9092	3218.432	194	1
4_MACS_peak_25809_lociStitched	chr7	128162379	128177961	4	9217	11586.7752	2839.0404	195	1
6_MACS_peak_14907_lociStitched	chr2	27293585	27310653	6	9185	11497.0048	2896.4396	196	1
2_MACS_peak_4338_lociStitched	chr11	10323498	10332684	2	9176	13779	2279.0466	197	1
3_MACS_peak_13086_lociStitched	chr19	2326627	2336016	3	9176	9179.6253	2083.4191	198	1
6_MACS_peak_8462_lociStitched	chr15	40330506	40357668	6	9169	13431.609	5000.5242	199	1
2_MACS_peak_1804_lociStitched	chr1	156709288	156722615	2	9161	13426.9525	3660.9269	200	1
1_MACS_peak_12686_lociStitched	chr18	44541972	44551082	1	9111	6878.05	3409.873	201	1
4_MACS_peak_23413_lociStitched	chr6	27094481	27116200	4	9102	11154.8784	4209.1422	202	1
3_MACS_peak_3226_lociStitched	chr10	43890937	43905955	3	9101	14100.4002	2727.2688	203	1
5_MACS_peak_585_lociStitched	chr1	28827205	28846224	5	9097	10749.5388	3415.8124	204	1
3_MACS_peak_14386_lociStitched	chr19	49369310	49385785	3	9084	12448.51	3173.085	205	1
6_MACS_peak_13727_lociStitched	chr19	18207869	18231172	6	9072	10379.1562	3148.2353	206	1
2_MACS_peak_2370_lociStitched	chr1	206728549	206737746	2	9071	12163.0325	3301.723	207	1
6_MACS_peak_4697_lociStitched	chr11	59317155	59334016	6	9062	10993.372	2832.648	208	1
3_MACS_peak_5599_lociStitched	chr11	126172446	126189816	3	9047	10694.709	3439.26	209	1
4_MACS_peak_13539_lociStitched	chr19	13043559	13057435	4	9033	12044.368	2346.4316	210	1
3_MACS_peak_13284_lociStitched	chr19	6765319	6779292	3	9017	13710.3076	3695.8585	211	1
4_MACS_peak_18496_lociStitched	chr22	38067986	38083264	4	8997	10465.43	2247.3938	212	1
3_MACS_peak_16353_lociStitched	chr2	201979841	201992672	3	8983	13050.4101	3549.0546	213	1
5_MACS_peak_17083_lociStitched	chr20	30279433	30298203	5	8958	13810.966	4517.939	214	1
4_MACS_peak_12302_lociStitched	chr17	79817483	79830638	4	8956	11188.3275	2137.6875	215	1
4_MACS_peak_6789_lociStitched	chr12	109161486	109179513	4	8949	11950.0983	3365.6409	216	1
4_MACS_peak_13742_lociStitched	chr19	18382934	18394240	4	8948	9145.4234	1953.6768	217	1
3_MACS_peak_10872_lociStitched	chr17	8053753	8067410	3	8919	10526.8156	2417.289	218	1
2_MACS_peak_25114_lociStitched	chr7	47513385	47522258	2	8854	9371.6626	2232.4468	219	1
4_MACS_peak_19998_lociStitched	chr3	141120330	141132630	4	8846	8958.09	3119.28	220	1
3_MACS_peak_4895_lociStitched	chr11	65264073	65278872	3	8835	16839.7821	3903.9762	221	1
4_MACS_peak_26190_lociStitched	chr8	2028581	2041163	4	8819	11732.715	2930.3478	222	1
1_MACS_peak_13654_lociStitched	chr19	16434272	16443078	1	8807	11754.2488	1870.3944	223	1
4_MACS_peak_27909_lociStitched	chr9	98268197	98279902	4	8795	8982.417	1488.876	224	1
5_MACS_peak_18566_lociStitched	chr22	39398331	39421809	5	8758	13056.1158	3965.4342	225	1
6_MACS_peak_20238_lociStitched	chr3	181412906	181431510	6	8728	10823.8072	3149.6572	226	1
5_MACS_peak_3921_lociStitched	chr10	112618152	112632856	5	8716	7882.8144	2814.3456	227	1
3_MACS_peak_17115_lociStitched	chr20	31255108	31270678	3	8715	10045.764	2922.489	228	1
4_MACS_peak_27294_lociStitched	chr8	146010989	146031422	4	8641	13365.2253	3308.1027	229	1
3_MACS_peak_16613_lociStitched	chr2	231729232	231739088	3	8630	6690.2528	1201.4464	230	1
2_MACS_peak_15785_lociStitched	chr2	112456047	112465002	2	8602	9547.821	2416.9545	231	1
3_MACS_peak_1541_lociStitched	chr1	149285988	149300562	3	8581	10092.495	4965.3618	232	1
2_MACS_peak_10279_lociStitched	chr16	66549134	66559802	2	8575	13672.1088	2705.4048	233	1
3_MACS_peak_14443_lociStitched	chr19	50368195	50382034	3	8575	12817.6818	2737.3542	234	1
3_MACS_peak_20468_lociStitched	chr3	196358358	196371123	3	8560	14201.0625	3638.025	235	1
7_MACS_peak_12454_lociStitched	chr18	9101997	9117849	7	8538	9341.5836	3379.6464	236	1
4_MACS_peak_18447_lociStitched	chr22	36772669	36784979	4	8528	11219.334	2205.952	237	1
3_MACS_peak_11108_lociStitched	chr17	27045938	27056830	3	8527	12450.6452	2335.2448	238	1
4_MACS_peak_1726_lociStitched	chr1	155213357	155232776	4	8524	15909.9867	4437.2415	239	1
3_MACS_peak_2896_lociStitched	chr10	3817803	3829305	3	8519	10040.0958	2166.9768	240	1
6_MACS_peak_24085_lociStitched	chr6	90054786	90068244	6	8514	9459.6282	2835.6006	241	1
4_MACS_peak_24717_lociStitched	chr7	5594971	5610965	4	8505	8671.9468	2060.0272	242	1
3_MACS_peak_10868_lociStitched	chr17	8021532	8030425	3	8494	8651.1104	1776.8214	243	1
5_MACS_peak_796_lociStitched	chr1	40033302	40048449	5	8493	8489.8935	2418.9759	244	1
4_MACS_peak_25072_lociStitched	chr7	44663114	44679690	4	8491	11652.928	3684.8448	245	1
3_MACS_peak_6405_lociStitched	chr12	57075041	57084024	3	8470	9864.2323	1896.3113	246	1
3_MACS_peak_11061_lociStitched	chr17	21178437	21192552	3	8470	10833.2625	2512.47	247	1
2_MACS_peak_2225_lociStitched	chr1	200987333	200996254	2	8466	9309.9556	2556.7586	248	1
2_MACS_peak_12838_lociStitched	chr18	60822080	60830574	2	8452	9448.7256	2446.272	249	1
2_MACS_peak_3910_lociStitched	chr10	112255916	112264840	2	8444	9402.3264	2341.6576	250	1
3_MACS_peak_751_lociStitched	chr1	37934696	37947547	3	8431	9162.763	2185.9551	251	1
4_MACS_peak_15063_lociStitched	chr2	42323225	42333995	4	8423	10422.129	2361.861	252	1
3_MACS_peak_17643_lociStitched	chr20	62358454	62371018	3	8397	12242.3616	2363.2884	253	1
3_MACS_peak_14019_lociStitched	chr19	39338644	39349046	3	8391	9990.0808	1671.6014	254	1
2_MACS_peak_8370_lociStitched	chr15	31547182	31560441	2	8381	15547.5034	2850.685	255	1
5_MACS_peak_23623_lociStitched	chr6	33377114	33396889	5	8379	11226.2675	3100.72	256	1
3_MACS_peak_2850_lociStitched	chr1	249112067	249122008	3	8358	9481.7258	3273.5713	257	1
2_MACS_peak_22424_lociStitched	chr5	131755110	131764213	2	8356	8705.1989	2739.0927	258	1
1_MACS_peak_11469_lociStitched	chr17	40826886	40835233	1	8348	10972.1315	1740.3495	259	1
2_MACS_peak_1668_lociStitched	chr1	153929754	153941419	2	8342	13127.791	3479.6695	260	1
