REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
6_MACS_peak_11272_lociStitched	chr17	34620681	34641797	6	14503	19701.228	7278.6852	97	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.1545	97	1
8_MACS_peak_14570_lociStitched	chr19	56142856	56167531	8	12708	16364.46	3987.48	98	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	ZNF524	0.4839	98	1
4_MACS_peak_7527_lociStitched	chr13	114554824	114568121	4	12089	15545.5227	3220.5334	99	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.4021	99	1
1_MACS_peak_17928_lociStitched	chr21	43480720	43486718	1	5999	14972.8074	2793.8684	100	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.29610000000000003	100	1
3_MACS_peak_21686_lociStitched	chr5	1312047	1325490	3	10226	15368.0376	3202.1226	101	CLPTM1L	TERT	TERT	TERT	0.08680000000000002	101	1
4_MACS_peak_9958_lociStitched	chr16	29463837	29484071	4	11058	16466.4292	4350.31	102	SLX1B,SLX1A-SULT1A3,SULT1A4,SULT1A3,BOLA2B,LOC388242	LOC606724	SULT1A4	LOC606724	0.7276	102	1
3_MACS_peak_17961_lociStitched	chr21	44580640	44598152	3	11219	16667.9216	4568.8808	103	CRYAA		CRYAA	CRYAA	0.6718999999999999	103	1
5_MACS_peak_13296_lociStitched	chr19	7178674	7199117	5	8058	16908.4053	4816.3708	104	INSR		INSR	INSR	0.1566	104	1
3_MACS_peak_2283_lociStitched	chr1	203267781	203282024	3	12448	16486.2725	4411.0571	105	BTG2,LOC730227	FMOD	BTG2	BTG2	0.6887000000000001	105	1
3_MACS_peak_12964_lociStitched	chr19	1015110	1029293	3	11294	15597.0451	3525.8938	106	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	ABCA7	0.6468	106	1
2_MACS_peak_11561_lociStitched	chr17	43298073	43309896	2	10330	14457.1644	2471.007	107	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.506	107	1
3_MACS_peak_14352_lociStitched	chr19	48822910	48837987	3	11261	15990.6662	4007.4666	108	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	EMP3	0.7491000000000001	108	1
1_MACS_peak_1446_lociStitched	chr1	143742548	143746006	1	3459	13068.1278	1188.1688	109	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.09139999999999998	109	1
1_MACS_peak_1706_lociStitched	chr1	154971109	154977447	1	6339	13672.9674	1798.0906	110	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	ZBTB7B	0.7918	110	1
2_MACS_peak_2476_lociStitched	chr1	212779700	212789202	2	5147	14597.9226	2734.6756	111	ATF3	FAM71A	ATF3	ATF3	0.2011	111	1
5_MACS_peak_23849_lociStitched	chr6	44213350	44234119	5	12165	15846.747	4012.5708	112	HSP90AB1,SLC35B2,NFKBIE	SLC29A1,TMEM151B,TCTE1,AARS2	SLC35B2	SLC35B2	0.3034	112	1
6_MACS_peak_13216_lociStitched	chr19	4790573	4816739	6	11308	16905.8526	5102.37	113	FEM1A,TICAM1	C19orf30,MIR7-3	FEM1A	FEM1A	0.4926	113	1
6_MACS_peak_4759_lociStitched	chr11	62308238	62328619	6	12138	15872.7228	4108.8096	114	AHNAK,EEF1G	TUT1,MTA2	AHNAK	MTA2	0.49879999999999997	114	1
4_MACS_peak_4189_lociStitched	chr11	788603	810884	4	11152	14669.8104	3012.3912	115	RPLP2,CEND1,SLC25A22,LRDD	TALDO1,SNORA52,PNPLA2,EFCAB4A,CD151,TSPAN4,PDDC1,POLR2L	SLC25A22	SNORA52	0.4965	115	1
5_MACS_peak_14432_lociStitched	chr19	50166404	50188323	5	10983	15165.7561	3509.2319	116	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	PRMT1	PRMT1	0.3826	116	1
4_MACS_peak_23036_lociStitched	chr5	180228814	180248545	4	10723	15478.9695	3861.3567	117	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	0.32699999999999996	117	1
2_MACS_peak_14765_lociStitched	chr2	11883624	11896392	2	12126	14667.8784	3057.936	118	LPIN1		LPIN1	LPIN1	0.18399999999999997	118	1
6_MACS_peak_12958_lociStitched	chr19	982022	1007244	6	10940	15821.7606	4232.2516	119	WDR18,GRIN3B	CNN2,ABCA7,C19orf6	GRIN3B	CNN2	0.8671	119	1
4_MACS_peak_14357_lociStitched	chr19	48880515	48903828	4	10500	15890.1408	4331.5554	120	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	KDELR1	0.5236000000000001	120	1
2_MACS_peak_27696_lociStitched	chr9	73026785	73036474	2	6750	13390.198	1876.7593	121	KLF9		KLF9	KLF9	0.18669999999999998	121	1
2_MACS_peak_18248_lociStitched	chr22	24179093	24192456	2	10579	14842.2841	3334.0685	122	DERL3	SMARCB1,SLC2A11,MIF	DERL3	MIF	0.32830000000000004	122	1
2_MACS_peak_4338_lociStitched	chr11	10323498	10332684	2	9176	13779	2279.0466	123	ADM	SBF2	ADM	ADM	0.9345000000000001	123	1
2_MACS_peak_13921_lociStitched	chr19	35695703	35705987	2	6724	13982.1264	2494.8984	124		FXYD5,LSR,FAM187B	FAM187B	LSR	0.3568	124	1
4_MACS_peak_1726_lociStitched	chr1	155213357	155232776	4	8524	15909.9867	4437.2415	125	GBA,FAM189B,SCAMP3,CLK2	MIR92B,MTX1,HCN3,FDPS,THBS3,GBAP1,GBA,PKLR	FAM189B	FAM189B	0.5276	125	1
4_MACS_peak_17982_lociStitched	chr21	45194032	45210735	4	15562	16100.0217	4653.4558	126	RRP1,CSTB	LOC284837	CSTB	CSTB	0.45289999999999997	126	1
3_MACS_peak_3226_lociStitched	chr10	43890937	43905955	3	9101	14100.4002	2727.2688	127	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.228	127	1
1_MACS_peak_21689_lociStitched	chr5	1334787	1346553	1	11767	13633.2642	2380.2618	128	CLPTM1L	TERT	CLPTM1L	CLPTM1L	0.6906	128	1
5_MACS_peak_13417_lociStitched	chr19	10522241	10539523	5	12246	14497.8698	3255.9288	129	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	MIR1181	0.43200000000000005	129	1
2_MACS_peak_310_lociStitched	chr1	16962592	16975681	2	9545	18331.1445	7113.8715	130	MST1P2	NBPF1,CROCCP2	MST1P2	MST1P2	0.6287999999999999	130	1
3_MACS_peak_1899_lociStitched	chr1	161121987	161138193	3	8279	16011.528	4858.5588	131	UFC1,USP21,PPOX	NIT1,NDUFS2,FCER1G,PFDN2,DEDD,B4GALT3,ADAMTS4	USP21	B4GALT3	0.5977999999999999	131	1
2_MACS_peak_326_lociStitched	chr1	17221555	17233304	2	7035	15803.5799	4671.4024	132		CROCC	CROCC	CROCC	0.1317	132	1
3_MACS_peak_5927_lociStitched	chr12	12866814	12879386	3	9247	14345.9092	3218.432	133	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	0.7533000000000001	133	1
8_MACS_peak_2970_lociStitched	chr10	11279204	11304261	8	15072	16607.7796	5512.54	134	CELF2		CELF2	CELF2	0.17029999999999998	134	1
2_MACS_peak_10279_lociStitched	chr16	66549134	66559802	2	8575	13672.1088	2705.4048	135	TK2	CKLF,CMTM1	TK2	TK2	0.3527	135	1
2_MACS_peak_12967_lociStitched	chr19	1036156	1045121	2	7568	13343.506	2381.104	136	CNN2,ABCA7	GRIN3B,HMHA1,C19orf6	ABCA7	ABCA7	0.6468	136	1
4_MACS_peak_17607_lociStitched	chr20	61272908	61290868	4	11431	13870.508	2983.156	137	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.33310000000000006	137	1
2_MACS_peak_13044_lociStitched	chr19	1894663	1906662	2	10088	13689.6591	2824.5646	138	ADAT3,SCAMP4	CSNK1G2,REXO1,KLF16,FAM108A1,C19orf34	SCAMP4	KLF16	0.6942	138	1
