REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
7_MACS_peak_23576_lociStitched	chr6	31781639	31810275	7	16895	18802.3976	5085.7536	37	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	37	1
5_MACS_peak_11800_lociStitched	chr17	56402002	56422719	5	16711	22328.7826	5237.2576	38	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	38	1
3_MACS_peak_14820_lociStitched	chr2	20405776	20426269	3	16662	20738.916	4604.7771	39	SDC1		SDC1	39	1
5_MACS_peak_8958_lociStitched	chr15	75063082	75083625	5	16604	19887.6783	4353.0617	40	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	40	1
6_MACS_peak_1745_lociStitched	chr1	155900962	155932471	6	16504	23827.1058	7760.6667	41	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	41	1
5_MACS_peak_1582_lociStitched	chr1	150531959	150553342	5	16490	26130.026	7317.2626	42	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	42	1
11_MACS_peak_4139_lociStitched	chr10	135471268	135495723	11	16373	10745.527	3890.7905	43	DUX4L6,DUX4,DUX4L2,DUX2	DUX4L7,FRG2B	DUX4L7	43	1
5_MACS_peak_10001_lociStitched	chr16	30193971	30223403	5	16345	23198.3024	6292.5616	44	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	44	1
4_MACS_peak_11267_lociStitched	chr17	34578754	34600093	4	16335	13260.0546	5550.2739	45	TBC1D3C	CCL4L1	TBC1D3C	45	1
8_MACS_peak_8191_lociStitched	chr14	106143533	106172987	8	16250	18750.4164	3558.0432	46			TMEM121	46	1
3_MACS_peak_6783_lociStitched	chr12	109009520	109031556	3	16234	24973.3988	5233.55	47	SELPLG	TMEM119	SELPLG	47	1
7_MACS_peak_12022_lociStitched	chr17	72732657	72756398	7	16015	18916.8288	4605.754	48	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	MIR3615	48	1
5_MACS_peak_18949_lociStitched	chr3	13035643	13061704	5	15632	22086.6975	5464.9917	49	IQSEC1	IQSEC1	IQSEC1	49	1
4_MACS_peak_17982_lociStitched	chr21	45194032	45210735	4	15562	16100.0217	4653.4558	50	RRP1,CSTB	LOC284837	CSTB	50	1
8_MACS_peak_10199_lociStitched	chr16	56964028	56986122	8	15557	18503.725	5640.5982	51	HERPUD1	CETP,NLRC5	HERPUD1	51	1
7_MACS_peak_4819_lociStitched	chr11	63992311	64020463	7	15124	18963.1872	4633.8192	52	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	52	1
8_MACS_peak_2970_lociStitched	chr10	11279204	11304261	8	15072	16607.7796	5512.54	53	CELF2		CELF2	53	1
6_MACS_peak_5771_lociStitched	chr12	4377669	4405902	6	15003	22346.4195	4954.8915	54	CCND2	C12orf5	CCND2	54	1
6_MACS_peak_10349_lociStitched	chr16	68269800	68299483	6	14889	23473.3164	5859.4242	55	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	PLA2G15	55	1
2_MACS_peak_614_lociStitched	chr1	31216059	31231247	2	14832	17311.2824	3772.6992	56	LAPTM5	LOC100129196,MATN1	LAPTM5	56	1
4_MACS_peak_13093_lociStitched	chr19	2455420	2480651	4	14780	28321.7975	5205.1553	57	GADD45B,LMNB2	TIMM13	GADD45B	57	1
6_MACS_peak_28372_lociStitched	chr9	134127017	134154062	6	14749	19745.5545	4765.329	58	FAM78A	PPAPDC3	FAM78A	58	1
5_MACS_peak_19882_lociStitched	chr3	129027011	129054625	5	14626	20218.9708	5406.8212	59	C3orf47,H1FX	C3orf37	H1FX	59	1
2_MACS_peak_4884_lociStitched	chr11	65183440	65198121	2	14572	23938.8386	4753.7078	60	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	60	1
3_MACS_peak_23067_lociStitched	chr6	315611	330468	3	14552	16549.2123	6599.4794	61	DUSP22		DUSP22	61	1
6_MACS_peak_11272_lociStitched	chr17	34620681	34641797	6	14503	19701.228	7278.6852	62	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	62	1
3_MACS_peak_1680_lociStitched	chr1	154374627	154394360	3	14346	22126.6129	6598.7152	63	IL6R		IL6R	63	1
3_MACS_peak_11393_lociStitched	chr17	38466974	38483526	3	13898	22583.5488	3636.4744	64	RARA	CDC6,RARA,GJD3	RARA	64	1
4_MACS_peak_10855_lociStitched	chr17	7736800	7762194	4	13862	23118.6976	4134.1432	65	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	65	1
5_MACS_peak_8468_lociStitched	chr15	40387678	40409228	5	13806	18612.735	4814.27	66	BMF	BUB1B	BMF	66	1
7_MACS_peak_8027_lociStitched	chr14	91829926	91846273	7	13778	11169.9051	2473.3011	67	CCDC88C		CCDC88C	67	1
5_MACS_peak_12952_lociStitched	chr19	908424	927682	5	13634	16159.3878	3125.5734	68	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	68	1
4_MACS_peak_5038_lociStitched	chr11	67760359	67781715	4	13560	18449.4484	4281.878	69	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	69	1
5_MACS_peak_2961_lociStitched	chr10	11202886	11223166	5	13546	16232.112	5426.928	70	CELF2		CELF2	70	1
3_MACS_peak_2315_lociStitched	chr1	204474929	204491866	3	13429	18979.6022	5308.0558	71	MDM4	PIK3C2B	MDM4	71	1
6_MACS_peak_14420_lociStitched	chr19	49989942	50010466	6	13349	14177.9792	3554.7568	72	RPL13AP5,RPL13A,SNORD32A,SNORD33,SNORD35A,SNORD34,RPS11,SNORD35B,MIR150	ALDH16A1,FLT3LG,FCGRT,RCN3,SLC17A7,PIH1D1	RPS11	72	1
5_MACS_peak_11261_lociStitched	chr17	34522297	34540251	5	13265	19568.0646	6626.8214	73	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	73	1
7_MACS_peak_11210_lociStitched	chr17	32690785	32718972	7	13234	14998.3027	6688.7751	74		CCL8,CCL13,CCL1	CCL1	74	1
7_MACS_peak_14111_lociStitched	chr19	42037616	42059985	7	13178	11665.4335	4670.6472	75		CEACAM21	CEACAM21	75	1
6_MACS_peak_3854_lociStitched	chr10	105244854	105268853	6	13170	17293.6794	4802.1999	76	NEURL	CALHM2,CALHM1,CALHM3	NEURL	76	1
7_MACS_peak_11249_lociStitched	chr17	34409495	34432595	7	13164	19103.7	5717.25	77	CCL4,CCL3	CCL18	CCL3	77	1
8_MACS_peak_4923_lociStitched	chr11	65640364	65670172	8	13160	17473.4496	5046.4944	78	CTSW,CCDC85B,FIBP,FOSL1	SNX32,MUS81,DRAP1,TSGA10IP,CFL1,EFEMP2,C11orf68	FIBP	78	1
12_MACS_peak_21631_lociStitched	chr4	190992109	191013764	12	12999	8395.6435	2691.7165	79	DUX4L6,DUX4L5,DUX2,DUX4L4,DUX4	DUX4L2,FRG2	DUX4L4	79	1
5_MACS_peak_12110_lociStitched	chr17	74257586	74276158	5	12878	13156.4048	2951.0908	80	FAM100B,QRICH2	RNF157	FAM100B	80	1
6_MACS_peak_16512_lociStitched	chr2	219741138	219763686	6	12779	20775.7272	4464.504	81	WNT10A	WNT6,PRKAG3	WNT10A	81	1
8_MACS_peak_14570_lociStitched	chr19	56142856	56167531	8	12708	16364.46	3987.48	82	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	82	1
4_MACS_peak_17049_lociStitched	chr20	25260427	25281699	4	12673	19155.436	3792.7976	83	PYGB,ABHD12		PYGB	83	1
4_MACS_peak_3555_lociStitched	chr10	81001429	81020203	4	12655	14204.4084	3578.3244	84	ZMIZ1		PPIF	84	1
4_MACS_peak_17535_lociStitched	chr20	55958755	55975782	4	12619	17027	3015.4817	85	RBM38	RAE1,MTRNR2L3	RBM38	85	1
5_MACS_peak_23071_lociStitched	chr6	390354	403699	5	12573	13062.086	2959.921	86	IRF4		IRF4	86	1
4_MACS_peak_18220_lociStitched	chr22	23223204	23240124	4	12547	15779.592	3189.42	87	IGLL5		IGLL5	87	1
3_MACS_peak_2283_lociStitched	chr1	203267781	203282024	3	12448	16486.2725	4411.0571	88	BTG2,LOC730227	FMOD	BTG2	88	1
4_MACS_peak_2332_lociStitched	chr1	205242283	205258620	4	12294	18377.4913	5172.2942	89	TMCC2	NUAK2	NUAK2	89	1
5_MACS_peak_13417_lociStitched	chr19	10522241	10539523	5	12246	14497.8698	3255.9288	90	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	90	1
4_MACS_peak_13236_lociStitched	chr19	5679327	5697101	4	12227	18163.2506	4487.935	91	HSD11B1L,RPL36,C19orf70,LONP1	TMEM146	RPL36	91	1
7_MACS_peak_12998_lociStitched	chr19	1397610	1420536	7	12170	14067.3936	3883.6644	92	DAZAP1,GAMT	MUM1,NDUFS7,RPS15,APC2	DAZAP1	92	1
4_MACS_peak_13005_lociStitched	chr19	1433927	1448265	4	12165	12811.003	2629.5892	93	DAZAP1,RPS15	APC2,REEP6,GAMT,C19orf25,PCSK4	RPS15	93	1
5_MACS_peak_23849_lociStitched	chr6	44213350	44234119	5	12165	15846.747	4012.5708	94	HSP90AB1,SLC35B2,NFKBIE	SLC29A1,TMEM151B,TCTE1,AARS2	SLC35B2	94	1
6_MACS_peak_4759_lociStitched	chr11	62308238	62328619	6	12138	15872.7228	4108.8096	95	AHNAK,EEF1G	TUT1,MTA2	AHNAK	95	1
8_MACS_peak_12943_lociStitched	chr19	850322	880246	8	12134	12693.7608	4033.7552	96	ELANE,CFD,MED16	MIR3187,AZU1,PRTN3,KISS1R,ARID3A,LPPR3,C19orf22	CFD	96	1
3_MACS_peak_9713_lociStitched	chr16	12056373	12071754	3	12131	13530.6657	3234.6243	97	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	97	1
2_MACS_peak_14765_lociStitched	chr2	11883624	11896392	2	12126	14667.8784	3057.936	98	LPIN1		LPIN1	98	1
5_MACS_peak_12211_lociStitched	chr17	76712613	76733397	5	12116	14016.7296	4364.64	99	CYTH1		CYTH1	99	1
4_MACS_peak_7527_lociStitched	chr13	114554824	114568121	4	12089	15545.5227	3220.5334	100	GAS6	FLJ44054,GAS6	GAS6	100	1
5_MACS_peak_16638_lociStitched	chr2	232687398	232714085	5	12087	12580.2518	3768.2044	101		COPS7B,PDE6D,MIR1471	COPS7B	101	1
4_MACS_peak_18608_lociStitched	chr22	39914742	39931672	4	11969	18639.93	3386	102	ATF4,RPS19BP1	MGAT3,SMCR7L,CACNA1I	RPS19BP1	102	1
4_MACS_peak_1711_lociStitched	chr1	155042793	155064517	4	11951	14694.1136	4861.8312	103	EFNA3	DCST1,ADAM15,EFNA4,EFNA1,SLC50A1,DCST2,DPM3	EFNA3	103	1
5_MACS_peak_9854_lociStitched	chr16	22194957	22219191	5	11947	17836.224	5026.1316	104	EEF2K		EEF2K	104	1
2_MACS_peak_15085_lociStitched	chr2	43444445	43457618	2	11915	16684.9218	3156.2508	105	LOC100129726,ZFP36L2		ZFP36L2	105	1
4_MACS_peak_12142_lociStitched	chr17	75078666	75092985	4	11848	13146.2739	3347.7822	106	C17orf86,SCARNA16	SEC14L1	SCARNA16	106	1
1_MACS_peak_21689_lociStitched	chr5	1334787	1346553	1	11767	13633.2642	2380.2618	107	CLPTM1L	TERT	CLPTM1L	107	1
5_MACS_peak_6159_lociStitched	chr12	48200946	48214908	5	11720	13682.76	3183.336	108	HDAC7	SLC48A1,RAPGEF3	HDAC7	108	1
4_MACS_peak_11885_lociStitched	chr17	62150283	62173701	4	11711	12795.5952	5702.283	109	ERN1	SNORD104,SNORA76	ERN1	109	1
5_MACS_peak_12218_lociStitched	chr17	76764860	76779702	5	11572	10895.5122	2894.19	110	CYTH1		CYTH1	110	1
4_MACS_peak_10754_lociStitched	chr17	4267004	4281416	4	11532	13786.5192	3058.2264	111	UBE2G1		UBE2G1	111	1
3_MACS_peak_23568_lociStitched	chr6	31694573	31709144	3	11452	16863.0183	3428.5563	112	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	112	1
4_MACS_peak_17607_lociStitched	chr20	61272908	61290868	4	11431	13870.508	2983.156	113	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	113	1
6_MACS_peak_13216_lociStitched	chr19	4790573	4816739	6	11308	16905.8526	5102.37	114	FEM1A,TICAM1	C19orf30,MIR7-3	FEM1A	114	1
3_MACS_peak_12964_lociStitched	chr19	1015110	1029293	3	11294	15597.0451	3525.8938	115	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	115	1
3_MACS_peak_14352_lociStitched	chr19	48822910	48837987	3	11261	15990.6662	4007.4666	116	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	116	1
5_MACS_peak_11993_lociStitched	chr17	70583712	70602113	5	11256	11916.4876	3341.6216	117	LOC100499467,FLJ26484		LOC100499467	117	1
3_MACS_peak_17961_lociStitched	chr21	44580640	44598152	3	11219	16667.9216	4568.8808	118	CRYAA		CRYAA	118	1
4_MACS_peak_14235_lociStitched	chr19	45970269	45989616	4	11215	11826.8211	3105.1935	119	FOSB,RTN2	PPM1N,VASP,ERCC1	FOSB	119	1
6_MACS_peak_25003_lociStitched	chr7	38383981	38408385	6	11212	13248.9316	5425.0092	120			TARP	120	1
2_MACS_peak_11282_lociStitched	chr17	34796440	34807668	2	11203	8337.9128	3298.7864	121	TBC1D3C,TBC1D3G	ZNHIT3,TBC1D3H	TBC1D3G	121	1
5_MACS_peak_27281_lociStitched	chr8	145688111	145705237	5	11200	12877.0394	2377.0888	122	KIFC2,CYHR1,FOXH1	PPP1R16A,GPT,MFSD3,LRRC14,SLC39A4,VPS28,TONSL,RECQL4,LRRC24,MGC70857	KIFC2	122	1
5_MACS_peak_13037_lociStitched	chr19	1847227	1866120	5	11192	18227.9664	3856.0613	123	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	123	1
2_MACS_peak_2066_lociStitched	chr1	179048155	179059435	2	11174	16055.952	3142.608	124	TOR3A		TOR3A	124	1
4_MACS_peak_4189_lociStitched	chr11	788603	810884	4	11152	14669.8104	3012.3912	125	RPLP2,CEND1,SLC25A22,LRDD	TALDO1,SNORA52,PNPLA2,EFCAB4A,CD151,TSPAN4,PDDC1,POLR2L	SLC25A22	125	1
4_MACS_peak_9958_lociStitched	chr16	29463837	29484071	4	11058	16466.4292	4350.31	126	SLX1B,SLX1A-SULT1A3,SULT1A4,SULT1A3,BOLA2B,LOC388242	LOC606724	SULT1A4	126	1
5_MACS_peak_25597_lociStitched	chr7	101915226	101935611	5	11043	13649.796	3534.759	127	CUX1,SH2B2	MIR4285	SH2B2	127	1
5_MACS_peak_14432_lociStitched	chr19	50166404	50188323	5	10983	15165.7561	3509.2319	128	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	PRMT1	128	1
6_MACS_peak_12958_lociStitched	chr19	982022	1007244	6	10940	15821.7606	4232.2516	129	WDR18,GRIN3B	CNN2,ABCA7,C19orf6	GRIN3B	129	1
6_MACS_peak_9557_lociStitched	chr16	3199147	3224853	6	10917	17462.0858	3711.9464	130		ZNF205,ZNF213,OR1F1,OR1F2P,MGC3771	ZNF213	130	1
4_MACS_peak_12983_lociStitched	chr19	1232794	1250273	4	10853	13860.847	3212.6402	131	ATP5D,MIDN,C19orf26	STK11,CIRBP,C19orf24,EFNA2,C19orf23	ATP5D	131	1
7_MACS_peak_7951_lociStitched	chr14	77488476	77507543	7	10818	9167.4136	1845.6856	132	C14orf4		C14orf4	132	1
5_MACS_peak_11014_lociStitched	chr17	19078339	19106484	5	10805	14052.7985	4297.7415	133		GRAPL,EPN2	EPN2	133	1
4_MACS_peak_23036_lociStitched	chr5	180228814	180248545	4	10723	15478.9695	3861.3567	134	MGAT1	LOC729678,ZFP62	MGAT1	134	1
5_MACS_peak_20815_lociStitched	chr4	40194055	40207708	5	10710	10678.0113	3586.6431	135	RHOH		RHOH	135	1
3_MACS_peak_17322_lociStitched	chr20	43270811	43282144	3	10684	12204.5077	2434.3284	136	ADA	LOC79015	ADA	136	1
5_MACS_peak_23519_lociStitched	chr6	30639724	30659119	5	10678	12845.3085	3045.015	137	DHX16,KIAA1949,NRM	ATAT1,C6orf136,TUBB,MDC1	KIAA1949	137	1
2_MACS_peak_18224_lociStitched	chr22	23269415	23284417	2	10638	21724.3962	3902.0202	138		IGLL5	IGLL5	138	1
6_MACS_peak_28730_lociStitched	chrX	39953224	39969125	6	10616	8821.8748	1076.4977	139	BCOR		BCOR	139	1
5_MACS_peak_23377_lociStitched	chr6	26183694	26206544	5	10608	12512.66	4419.19	140	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	140	1
6_MACS_peak_12121_lociStitched	chr17	74476184	74503176	6	10594	18594.7888	4542.7536	141	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	141	1
7_MACS_peak_13151_lociStitched	chr19	3698966	3726679	7	10594	14768.2577	4350.941	142	PIP5K1C	TJP3,MRPL54,APBA3,RAX2	PIP5K1C	142	1
2_MACS_peak_18248_lociStitched	chr22	24179093	24192456	2	10579	14842.2841	3334.0685	143	DERL3	SMARCB1,SLC2A11,MIF	DERL3	143	1
5_MACS_peak_9974_lociStitched	chr16	29815904	29833212	5	10552	15833.3584	2983.8992	144	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	144	1
4_MACS_peak_12148_lociStitched	chr17	75129091	75144751	4	10550	13671.18	3265.11	145	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	145	1
2_MACS_peak_13366_lociStitched	chr19	8874588	8887565	2	10539	7434.5233	5901.9396	146		OR2Z1,ZNF558	OR2Z1	146	1
4_MACS_peak_14357_lociStitched	chr19	48880515	48903828	4	10500	15890.1408	4331.5554	147	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	147	1
3_MACS_peak_22528_lociStitched	chr5	138717726	138730971	3	10401	17135.0565	2815.887	148	SLC23A1,MZB1,LOC389333	PAIP2,SPATA24,DNAJC18	MZB1	148	1
2_MACS_peak_11561_lociStitched	chr17	43298073	43309896	2	10330	14457.1644	2471.007	149	FMNL1	LOC100133991,C17orf46	FMNL1	149	1
3_MACS_peak_13571_lociStitched	chr19	13943584	13959355	3	10293	17452.1886	2498.1264	150	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	150	1
6_MACS_peak_5625_lociStitched	chr11	128586090	128605282	6	10253	13307.7328	4227.9976	151	FLI1		FLI1	151	1
4_MACS_peak_20401_lociStitched	chr3	193848179	193860355	4	10236	17400.7216	2689.6784	152	HES1		HES1	152	1
3_MACS_peak_21686_lociStitched	chr5	1312047	1325490	3	10226	15368.0376	3202.1226	153	CLPTM1L	TERT	TERT	153	1
3_MACS_peak_28279_lociStitched	chr9	130828563	130845114	3	10208	10473.4728	3404.5407	154	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	154	1
4_MACS_peak_24708_lociStitched	chr7	5459929	5476957	4	10201	10853.6472	2230.668	155	TNRC18		TNRC18	155	1
3_MACS_peak_13666_lociStitched	chr19	16694597	16711360	3	10181	16726.1214	3924.2183	156	MED26	CHERP,SLC35E1	SLC35E1	156	1
3_MACS_peak_20266_lociStitched	chr3	183233498	183246589	3	10108	10921.8213	4432.6126	157	KLHL6		KLHL6	157	1
2_MACS_peak_13044_lociStitched	chr19	1894663	1906662	2	10088	13689.6591	2824.5646	158	ADAT3,SCAMP4	CSNK1G2,REXO1,KLF16,FAM108A1,C19orf34	SCAMP4	158	1
4_MACS_peak_24196_lociStitched	chr6	108878142	108895682	4	10064	14319.656	3492.214	159	FOXO3		FOXO3	159	1
