REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X31_0EX7_0229Kronos_MM1S.No.Treatment.1_IRF4_hs_i45.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
7_MACS_peak_28256_lociStitched	chr9	130532630	130568553	7	16939	23906.7565	6106.91	39	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C,ENG	CDK9	39	1
5_MACS_peak_11800_lociStitched	chr17	56402002	56422719	5	16711	22328.7826	5237.2576	40	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	40	1
2_MACS_peak_4884_lociStitched	chr11	65183440	65198121	2	14572	23938.8386	4753.7078	41	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	41	1
5_MACS_peak_10001_lociStitched	chr16	30193971	30223403	5	16345	23198.3024	6292.5616	42	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	42	1
3_MACS_peak_14820_lociStitched	chr2	20405776	20426269	3	16662	20738.916	4604.7771	43	SDC1		SDC1	43	1
6_MACS_peak_1745_lociStitched	chr1	155900962	155932471	6	16504	23827.1058	7760.6667	44	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	44	1
5_MACS_peak_17972_lociStitched	chr21	44829971	44852035	5	18090	18235.896	4902.6208	45	SIK1	C21orf125,C21orf84	SIK1	45	1
5_MACS_peak_8958_lociStitched	chr15	75063082	75083625	5	16604	19887.6783	4353.0617	46	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	46	1
3_MACS_peak_11393_lociStitched	chr17	38466974	38483526	3	13898	22583.5488	3636.4744	47	RARA	CDC6,RARA,GJD3	RARA	47	1
4_MACS_peak_10855_lociStitched	chr17	7736800	7762194	4	13862	23118.6976	4134.1432	48	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	48	1
6_MACS_peak_10349_lociStitched	chr16	68269800	68299483	6	14889	23473.3164	5859.4242	49	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	PLA2G15	49	1
5_MACS_peak_18949_lociStitched	chr3	13035643	13061704	5	15632	22086.6975	5464.9917	50	IQSEC1	IQSEC1	IQSEC1	50	1
6_MACS_peak_5771_lociStitched	chr12	4377669	4405902	6	15003	22346.4195	4954.8915	51	CCND2	C12orf5	CCND2	51	1
8_MACS_peak_8191_lociStitched	chr14	106143533	106172987	8	16250	18750.4164	3558.0432	52			TMEM121	52	1
7_MACS_peak_23576_lociStitched	chr6	31781639	31810275	7	16895	18802.3976	5085.7536	53	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	53	1
7_MACS_peak_12022_lociStitched	chr17	72732657	72756398	7	16015	18916.8288	4605.754	54	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	MIR3615	54	1
6_MACS_peak_28372_lociStitched	chr9	134127017	134154062	6	14749	19745.5545	4765.329	55	FAM78A	PPAPDC3	FAM78A	55	1
3_MACS_peak_1680_lociStitched	chr1	154374627	154394360	3	14346	22126.6129	6598.7152	56	IL6R		IL6R	56	1
7_MACS_peak_4819_lociStitched	chr11	63992311	64020463	7	15124	18963.1872	4633.8192	57	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	57	1
5_MACS_peak_19882_lociStitched	chr3	129027011	129054625	5	14626	20218.9708	5406.8212	58	C3orf47,H1FX	C3orf37	H1FX	58	1
8_MACS_peak_10199_lociStitched	chr16	56964028	56986122	8	15557	18503.725	5640.5982	59	HERPUD1	CETP,NLRC5	HERPUD1	59	1
6_MACS_peak_16512_lociStitched	chr2	219741138	219763686	6	12779	20775.7272	4464.504	60	WNT10A	WNT6,PRKAG3	WNT10A	60	1
2_MACS_peak_614_lociStitched	chr1	31216059	31231247	2	14832	17311.2824	3772.6992	61	LAPTM5	LOC100129196,MATN1	LAPTM5	61	1
4_MACS_peak_17982_lociStitched	chr21	45194032	45210735	4	15562	16100.0217	4653.4558	62	RRP1,CSTB	LOC284837	CSTB	62	1
2_MACS_peak_18224_lociStitched	chr22	23269415	23284417	2	10638	21724.3962	3902.0202	63		IGLL5	IGLL5	63	1
4_MACS_peak_17049_lociStitched	chr20	25260427	25281699	4	12673	19155.436	3792.7976	64	PYGB,ABHD12		PYGB	64	1
4_MACS_peak_5038_lociStitched	chr11	67760359	67781715	4	13560	18449.4484	4281.878	65	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	65	1
5_MACS_peak_8468_lociStitched	chr15	40387678	40409228	5	13806	18612.735	4814.27	66	BMF	BUB1B	BMF	66	1
6_MACS_peak_11272_lociStitched	chr17	34620681	34641797	6	14503	19701.228	7278.6852	67	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	67	1
8_MACS_peak_2970_lociStitched	chr10	11279204	11304261	8	15072	16607.7796	5512.54	68	CELF2		CELF2	68	1
3_MACS_peak_2315_lociStitched	chr1	204474929	204491866	3	13429	18979.6022	5308.0558	69	MDM4	PIK3C2B	MDM4	69	1
4_MACS_peak_11267_lociStitched	chr17	34578754	34600093	4	16335	13260.0546	5550.2739	70	TBC1D3C	CCL4L1	TBC1D3C	70	1
4_MACS_peak_18608_lociStitched	chr22	39914742	39931672	4	11969	18639.93	3386	71	ATF4,RPS19BP1	MGAT3,SMCR7L,CACNA1I	RPS19BP1	71	1
5_MACS_peak_12952_lociStitched	chr19	908424	927682	5	13634	16159.3878	3125.5734	72	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	72	1
11_MACS_peak_4139_lociStitched	chr10	135471268	135495723	11	16373	10745.527	3890.7905	73	DUX4L6,DUX4,DUX4L2,DUX2	DUX4L7,FRG2B	DUX4L7	73	1
7_MACS_peak_11249_lociStitched	chr17	34409495	34432595	7	13164	19103.7	5717.25	74	CCL4,CCL3	CCL18	CCL3	74	1
4_MACS_peak_17535_lociStitched	chr20	55958755	55975782	4	12619	17027	3015.4817	75	RBM38	RAE1,MTRNR2L3	RBM38	75	1
5_MACS_peak_11261_lociStitched	chr17	34522297	34540251	5	13265	19568.0646	6626.8214	76	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	76	1
6_MACS_peak_3854_lociStitched	chr10	105244854	105268853	6	13170	17293.6794	4802.1999	77	NEURL	CALHM2,CALHM1,CALHM3	NEURL	77	1
3_MACS_peak_23067_lociStitched	chr6	315611	330468	3	14552	16549.2123	6599.4794	78	DUSP22		DUSP22	78	1
8_MACS_peak_4923_lociStitched	chr11	65640364	65670172	8	13160	17473.4496	5046.4944	79	CTSW,CCDC85B,FIBP,FOSL1	SNX32,MUS81,DRAP1,TSGA10IP,CFL1,EFEMP2,C11orf68	FIBP	79	1
4_MACS_peak_13236_lociStitched	chr19	5679327	5697101	4	12227	18163.2506	4487.935	80	HSD11B1L,RPL36,C19orf70,LONP1	TMEM146	RPL36	80	1
4_MACS_peak_2332_lociStitched	chr1	205242283	205258620	4	12294	18377.4913	5172.2942	81	TMCC2	NUAK2	NUAK2	81	1
2_MACS_peak_15085_lociStitched	chr2	43444445	43457618	2	11915	16684.9218	3156.2508	82	LOC100129726,ZFP36L2		ZFP36L2	82	1
5_MACS_peak_13037_lociStitched	chr19	1847227	1866120	5	11192	18227.9664	3856.0613	83	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	83	1
8_MACS_peak_14570_lociStitched	chr19	56142856	56167531	8	12708	16364.46	3987.48	84	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	84	1
4_MACS_peak_18220_lociStitched	chr22	23223204	23240124	4	12547	15779.592	3189.42	85	IGLL5		IGLL5	85	1
5_MACS_peak_2961_lociStitched	chr10	11202886	11223166	5	13546	16232.112	5426.928	86	CELF2		CELF2	86	1
3_MACS_peak_13571_lociStitched	chr19	13943584	13959355	3	10293	17452.1886	2498.1264	87	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	87	1
6_MACS_peak_14420_lociStitched	chr19	49989942	50010466	6	13349	14177.9792	3554.7568	88	RPL13AP5,RPL13A,SNORD32A,SNORD33,SNORD35A,SNORD34,RPS11,SNORD35B,MIR150	ALDH16A1,FLT3LG,FCGRT,RCN3,SLC17A7,PIH1D1	RPS11	88	1
5_MACS_peak_9854_lociStitched	chr16	22194957	22219191	5	11947	17836.224	5026.1316	89	EEF2K		EEF2K	89	1
3_MACS_peak_23568_lociStitched	chr6	31694573	31709144	3	11452	16863.0183	3428.5563	90	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	90	1
3_MACS_peak_2283_lociStitched	chr1	203267781	203282024	3	12448	16486.2725	4411.0571	91	BTG2,LOC730227	FMOD	BTG2	91	1
4_MACS_peak_20401_lociStitched	chr3	193848179	193860355	4	10236	17400.7216	2689.6784	92	HES1		HES1	92	1
4_MACS_peak_7527_lociStitched	chr13	114554824	114568121	4	12089	15545.5227	3220.5334	93	GAS6	FLJ44054,GAS6	GAS6	93	1
3_MACS_peak_22528_lociStitched	chr5	138717726	138730971	3	10401	17135.0565	2815.887	94	SLC23A1,MZB1,LOC389333	PAIP2,SPATA24,DNAJC18	MZB1	94	1
6_MACS_peak_9557_lociStitched	chr16	3199147	3224853	6	10917	17462.0858	3711.9464	95		ZNF205,ZNF213,OR1F1,OR1F2P,MGC3771	ZNF213	95	1
6_MACS_peak_12121_lociStitched	chr17	74476184	74503176	6	10594	18594.7888	4542.7536	96	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	96	1
5_MACS_peak_23849_lociStitched	chr6	44213350	44234119	5	12165	15846.747	4012.5708	97	HSP90AB1,SLC35B2,NFKBIE	SLC29A1,TMEM151B,TCTE1,AARS2	SLC35B2	97	1
6_MACS_peak_4759_lociStitched	chr11	62308238	62328619	6	12138	15872.7228	4108.8096	98	AHNAK,EEF1G	TUT1,MTA2	AHNAK	98	1
7_MACS_peak_8027_lociStitched	chr14	91829926	91846273	7	13778	11169.9051	2473.3011	99	CCDC88C		CCDC88C	99	1
2_MACS_peak_14765_lociStitched	chr2	11883624	11896392	2	12126	14667.8784	3057.936	100	LPIN1		LPIN1	100	1
2_MACS_peak_2066_lociStitched	chr1	179048155	179059435	2	11174	16055.952	3142.608	101	TOR3A		TOR3A	101	1
4_MACS_peak_3555_lociStitched	chr10	81001429	81020203	4	12655	14204.4084	3578.3244	102	ZMIZ1		PPIF	102	1
5_MACS_peak_12110_lociStitched	chr17	74257586	74276158	5	12878	13156.4048	2951.0908	103	FAM100B,QRICH2	RNF157	FAM100B	103	1
5_MACS_peak_13417_lociStitched	chr19	10522241	10539523	5	12246	14497.8698	3255.9288	104	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	104	1
3_MACS_peak_26051_lociStitched	chr7	150101138	150118800	3	9499	18760.5764	4502.0438	105	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	105	1
5_MACS_peak_23071_lociStitched	chr6	390354	403699	5	12573	13062.086	2959.921	106	IRF4		IRF4	106	1
3_MACS_peak_12964_lociStitched	chr19	1015110	1029293	3	11294	15597.0451	3525.8938	107	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	107	1
3_MACS_peak_17961_lociStitched	chr21	44580640	44598152	3	11219	16667.9216	4568.8808	108	CRYAA		CRYAA	108	1
3_MACS_peak_14352_lociStitched	chr19	48822910	48837987	3	11261	15990.6662	4007.4666	109	EMP3,CCDC114,TMEM143	ZNF114,SYNGR4	EMP3	109	1
1_MACS_peak_21689_lociStitched	chr5	1334787	1346553	1	11767	13633.2642	2380.2618	110	CLPTM1L	TERT	CLPTM1L	110	1
3_MACS_peak_2737_lociStitched	chr1	234735030	234749774	3	9392	18627.5696	4514.6128	111	IRF2BP2	NCRNA00184	IRF2BP2	111	1
5_MACS_peak_9974_lociStitched	chr16	29815904	29833212	5	10552	15833.3584	2983.8992	112	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	112	1
6_MACS_peak_13216_lociStitched	chr19	4790573	4816739	6	11308	16905.8526	5102.37	113	FEM1A,TICAM1	C19orf30,MIR7-3	FEM1A	113	1
4_MACS_peak_9958_lociStitched	chr16	29463837	29484071	4	11058	16466.4292	4350.31	114	SLX1B,SLX1A-SULT1A3,SULT1A4,SULT1A3,BOLA2B,LOC388242	LOC606724	SULT1A4	114	1
7_MACS_peak_11210_lociStitched	chr17	32690785	32718972	7	13234	14998.3027	6688.7751	115		CCL8,CCL13,CCL1	CCL1	115	1
3_MACS_peak_9713_lociStitched	chr16	12056373	12071754	3	12131	13530.6657	3234.6243	116	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	116	1
7_MACS_peak_12998_lociStitched	chr19	1397610	1420536	7	12170	14067.3936	3883.6644	117	DAZAP1,GAMT	MUM1,NDUFS7,RPS15,APC2	DAZAP1	117	1
4_MACS_peak_13005_lociStitched	chr19	1433927	1448265	4	12165	12811.003	2629.5892	118	DAZAP1,RPS15	APC2,REEP6,GAMT,C19orf25,PCSK4	RPS15	118	1
4_MACS_peak_4189_lociStitched	chr11	788603	810884	4	11152	14669.8104	3012.3912	119	RPLP2,CEND1,SLC25A22,LRDD	TALDO1,SNORA52,PNPLA2,EFCAB4A,CD151,TSPAN4,PDDC1,POLR2L	SLC25A22	119	1
3_MACS_peak_13666_lociStitched	chr19	16694597	16711360	3	10181	16726.1214	3924.2183	120	MED26	CHERP,SLC35E1	SLC35E1	120	1
5_MACS_peak_14432_lociStitched	chr19	50166404	50188323	5	10983	15165.7561	3509.2319	121	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	PRMT1	121	1
5_MACS_peak_6159_lociStitched	chr12	48200946	48214908	5	11720	13682.76	3183.336	122	HDAC7	SLC48A1,RAPGEF3	HDAC7	122	1
4_MACS_peak_17607_lociStitched	chr20	61272908	61290868	4	11431	13870.508	2983.156	123	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	123	1
4_MACS_peak_10754_lociStitched	chr17	4267004	4281416	4	11532	13786.5192	3058.2264	124	UBE2G1		UBE2G1	124	1
6_MACS_peak_12958_lociStitched	chr19	982022	1007244	6	10940	15821.7606	4232.2516	125	WDR18,GRIN3B	CNN2,ABCA7,C19orf6	GRIN3B	125	1
5_MACS_peak_12211_lociStitched	chr17	76712613	76733397	5	12116	14016.7296	4364.64	126	CYTH1		CYTH1	126	1
4_MACS_peak_1711_lociStitched	chr1	155042793	155064517	4	11951	14694.1136	4861.8312	127	EFNA3	DCST1,ADAM15,EFNA4,EFNA1,SLC50A1,DCST2,DPM3	EFNA3	127	1
4_MACS_peak_23036_lociStitched	chr5	180228814	180248545	4	10723	15478.9695	3861.3567	128	MGAT1	LOC729678,ZFP62	MGAT1	128	1
7_MACS_peak_14111_lociStitched	chr19	42037616	42059985	7	13178	11665.4335	4670.6472	129		CEACAM21	CEACAM21	129	1
3_MACS_peak_21686_lociStitched	chr5	1312047	1325490	3	10226	15368.0376	3202.1226	130	CLPTM1L	TERT	TERT	130	1
4_MACS_peak_12142_lociStitched	chr17	75078666	75092985	4	11848	13146.2739	3347.7822	131	C17orf86,SCARNA16	SEC14L1	SCARNA16	131	1
2_MACS_peak_11561_lociStitched	chr17	43298073	43309896	2	10330	14457.1644	2471.007	132	FMNL1	LOC100133991,C17orf46	FMNL1	132	1
2_MACS_peak_18248_lociStitched	chr22	24179093	24192456	2	10579	14842.2841	3334.0685	133	DERL3	SMARCB1,SLC2A11,MIF	DERL3	133	1
4_MACS_peak_14357_lociStitched	chr19	48880515	48903828	4	10500	15890.1408	4331.5554	134	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	134	1
5_MACS_peak_27281_lociStitched	chr8	145688111	145705237	5	11200	12877.0394	2377.0888	135	KIFC2,CYHR1,FOXH1	PPP1R16A,GPT,MFSD3,LRRC14,SLC39A4,VPS28,TONSL,RECQL4,LRRC24,MGC70857	KIFC2	135	1
2_MACS_peak_25822_lociStitched	chr7	128572284	128583597	2	9304	15945.6735	3126.9132	136	IRF5	KCP	IRF5	136	1
5_MACS_peak_16638_lociStitched	chr2	232687398	232714085	5	12087	12580.2518	3768.2044	137		COPS7B,PDE6D,MIR1471	COPS7B	137	1
8_MACS_peak_12943_lociStitched	chr19	850322	880246	8	12134	12693.7608	4033.7552	138	ELANE,CFD,MED16	MIR3187,AZU1,PRTN3,KISS1R,ARID3A,LPPR3,C19orf22	CFD	138	1
2_MACS_peak_1557_lociStitched	chr1	149802803	149815486	2	8028	17456.8812	3636.2161	139	HIST2H4B,HIST2H3A,HIST2H2AA4	FCGR1A,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H3A	139	1
4_MACS_peak_12983_lociStitched	chr19	1232794	1250273	4	10853	13860.847	3212.6402	140	ATP5D,MIDN,C19orf26	STK11,CIRBP,C19orf24,EFNA2,C19orf23	ATP5D	140	1
3_MACS_peak_4895_lociStitched	chr11	65264073	65278872	3	8835	16839.7821	3903.9762	141	MALAT1	SCYL1,LTBP3	MALAT1	141	1
5_MACS_peak_25597_lociStitched	chr7	101915226	101935611	5	11043	13649.796	3534.759	142	CUX1,SH2B2	MIR4285	SH2B2	142	1
12_MACS_peak_21631_lociStitched	chr4	190992109	191013764	12	12999	8395.6435	2691.7165	143	DUX4L6,DUX4L5,DUX2,DUX4L4,DUX4	DUX4L2,FRG2	DUX4L4	143	1
2_MACS_peak_1559_lociStitched	chr1	149821561	149833969	2	7146	17693.808	3561.096	144	HIST2H2AA4,HIST2H3A,HIST2H2BC,HIST2H4B	HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	144	1
7_MACS_peak_13151_lociStitched	chr19	3698966	3726679	7	10594	14768.2577	4350.941	145	PIP5K1C	TJP3,MRPL54,APBA3,RAX2	PIP5K1C	145	1
4_MACS_peak_12148_lociStitched	chr17	75129091	75144751	4	10550	13671.18	3265.11	146	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	146	1
2_MACS_peak_13044_lociStitched	chr19	1894663	1906662	2	10088	13689.6591	2824.5646	147	ADAT3,SCAMP4	CSNK1G2,REXO1,KLF16,FAM108A1,C19orf34	SCAMP4	147	1
5_MACS_peak_11014_lociStitched	chr17	19078339	19106484	5	10805	14052.7985	4297.7415	148		GRAPL,EPN2	EPN2	148	1
4_MACS_peak_24196_lociStitched	chr6	108878142	108895682	4	10064	14319.656	3492.214	149	FOXO3		FOXO3	149	1
2_MACS_peak_8370_lociStitched	chr15	31547182	31560441	2	8381	15547.5034	2850.685	150			KLF13	150	1
5_MACS_peak_23519_lociStitched	chr6	30639724	30659119	5	10678	12845.3085	3045.015	151	DHX16,KIAA1949,NRM	ATAT1,C6orf136,TUBB,MDC1	KIAA1949	151	1
3_MACS_peak_17322_lociStitched	chr20	43270811	43282144	3	10684	12204.5077	2434.3284	152	ADA	LOC79015	ADA	152	1
4_MACS_peak_14235_lociStitched	chr19	45970269	45989616	4	11215	11826.8211	3105.1935	153	FOSB,RTN2	PPM1N,VASP,ERCC1	FOSB	153	1
5_MACS_peak_12218_lociStitched	chr17	76764860	76779702	5	11572	10895.5122	2894.19	154	CYTH1		CYTH1	154	1
2_MACS_peak_310_lociStitched	chr1	16962592	16975681	2	9545	18331.1445	7113.8715	155	MST1P2	NBPF1,CROCCP2	MST1P2	155	1
5_MACS_peak_23629_lociStitched	chr6	33537539	33561535	5	10003	14949.508	4336.0772	156	GGNBP1,BAK1,C6orf227	ITPR3	BAK1	156	1
5_MACS_peak_11993_lociStitched	chr17	70583712	70602113	5	11256	11916.4876	3341.6216	157	LOC100499467,FLJ26484		LOC100499467	157	1
2_MACS_peak_4338_lociStitched	chr11	10323498	10332684	2	9176	13779	2279.0466	158	ADM	SBF2	ADM	158	1
3_MACS_peak_3226_lociStitched	chr10	43890937	43905955	3	9101	14100.4002	2727.2688	159	HNRNPF	FXYD4,ZNF487P	HNRNPF	159	1
