GENE_ID	locusLine	bin_1_10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam
NM_001126051	chr1(.):156706898-156727024	1.6436
NM_001126050	chr1(.):156706898-156727240	1.6271
NM_030980	chr1(.):156687412-156702705	0.3471
NM_001878	chr1(.):156664407-156680375	0.113
NM_001142560	chr1(.):156693262-156711752	0.6082
NM_145729	chr1(.):156702093-156715923	0.5632
NM_006617	chr1(.):156633555-156652189	0.4418
NM_004833	chr1(.):159027274-159051647	1.4562
NM_001778	chr1(.):160643535-160686585	2.3897
NM_003037	chr1(.):160574890-160622081	0.5156
NM_021181	chr1(.):160704076-160729601	1.2657
NM_001077470	chr1(.):161194455-161213000	0.458
NM_001039711	chr1(.):161085768-161107478	0.8527
NM_016406	chr1(.):161118533-161133646	1.5625
NM_004550	chr1(.):161164104-161189184	0.812
NM_000309	chr1(.):161131180-161146010	0.8364
NM_001643	chr1(.):161187082-161198418	1.0965
NM_003779	chr1(.):161136100-161152314	1.5233
NM_012475	chr1(.):161124253-161140516	1.1395
NM_001039712	chr1(.):161085768-161107256	0.8611
NM_032174	chr1(.):161190832-161205407	0.5853
NM_001166159	chr1(.):161166936-161189184	0.8715
NM_005099	chr1(.):161154537-161173845	2.2527
NM_004106	chr1(.):161180086-161194038	0.6832
NM_007240	chr1(.):161714580-161731952	0.3534
NM_022100	chr1(.):174977093-174997591	0.2457
NR_033186	chr1(.):178506930-178523024	0.616
NM_016545	chr1(.):181052637-181064979	1.1503
NM_002927	chr1(.):192600281-192634389	0.0795
NM_002922	chr1(.):192539856-192554159	2.1552
NM_001195216	chr1(.):197698138-197749623	0.8845
NR_034150	chr1(.):203262885-203279453	8.039
NM_003465	chr1(.):203180206-203203860	0.1251
NM_006763	chr1(.):203269663-203283729	5.5195
NM_002023	chr1(.):203304751-203325289	0.2774
NR_003019	chr1(.):203693708-203703833	0.1157
NM_001136190	chr1(.):203729283-203750480	1.428
NM_001174108	chr1(.):203761650-203774590	0.5527
NM_002646	chr1(.):204386757-204464474	0.2275
NM_002393	chr1(.):204480510-204532248	2.1002
NM_014858	chr1(.):205192037-205247471	0.631
NM_030952	chr1(.):205266190-205295883	1.0239
NM_000707	chr1(.):206219282-206236482	0.2395
NM_001007544	chr1(.):206233871-206293647	2.0478
NM_148964	chr1(.):206312458-206337104	0.1599
NM_006893	chr1(.):206759973-206790904	0.1428
NM_182665	chr1(.):206725491-206767616	1.3799
NM_001185157	chr1(.):207065787-207082484	0.1078
NM_002644	chr1(.):207096866-207124811	0.8649
NM_001170631	chr1(.):207126311-207148970	0.1054
NM_183059	chr1(.):211644863-211671259	0.0982
NM_021194	chr1(.):211743380-211757099	1.6668
NM_000120	chr1(.):226008001-226038262	0.3672
NM_020997	chr1(.):226068981-226081836	1.7875
NM_014698	chr1(.):226028232-226075420	1.3599
NM_013328	chr1(.):226102579-226116965	0.6211
NM_182972	chr1(.):234735014-234750271	4.1742
NR_033927	chr1(.):234760056-234775526	0.0945
NM_020458	chr2(.):47163312-47308275	0.5107
NR_033872	chr2(.):70184394-70319147	0.5899
NM_032827	chr2(.):85975908-86023506	0.0831
NR_015395	chr2(.):112119590-112257692	0.9192
NR_024373	chr2(.):112181885-112257692	1.5949
NM_020760	chr2(.):197058976-197462335	0.3265
NM_001012514	chr2(.):231724620-231748963	2.243
NM_145693	chr2(.):11881739-11972533	0.7992
NM_183360	chr2(.):25595111-25901503	0.3968
NM_170672	chr2(.):33656415-33794798	0.7234
NM_005813	chr2(.):37472645-37549222	1.0959
NM_019063	chr2(.):42391489-42564688	0.1483
NM_014755	chr2(.):64853754-64886046	1.3607
NR_036586	chr2(.):65123973-65164581	2.2689
NM_002398	chr2(.):66657531-66804891	0.257
NR_024204	chr2(.):87749973-87826030	1.2199
NM_004836	chr2(.):88851258-88932094	0.4615
NM_144563	chr2(.):88986175-89055452	0.9862
NM_004027	chr2(.):99056320-99212496	1.6177
NM_001566	chr2(.):99056320-99203284	1.7154
NM_003581	chr2(.):106356519-106515730	0.2952
NM_002410	chr2(.):135006829-135211468	0.293
NM_001077269	chr2(.):175419301-175552627	0.5856
NR_024415	chr2(.):192537797-192558248	2.0534
NM_001031716	chr2(.):192537860-192558248	2.0597
NM_004226	chr2(.):196993306-197041336	0.9927
NM_153697	chr2(.):197959194-198180521	0.4954
NM_001195144	chr2(.):197846385-198180521	0.3492
NM_001228	chr2(.):202093165-202157434	1.4593
NM_003879	chr2(.):201975889-202034003	1.793
NM_001127184	chr2(.):201975815-202011323	2.7698
NM_173822	chr2(.):201833440-201941392	0.1205
NM_033358	chr2(.):202093165-202151638	1.5978
NM_001037631	chr2(.):204727508-204743683	0.2052
NM_001167608	chr2(.):227695670-227868923	0.4737
NM_001137551	chr2(.):238595806-238695290	0.2903
NM_001137550	chr2(.):238531223-238695290	0.214
NM_002997	chr2(.):20395557-20429927	3.0646
NM_001006946	chr2(.):20395557-20430194	3.0414
NM_004040	chr2(.):20641834-20654201	0.7246
NM_178553	chr2(.):27354714-27367332	0.6205
NM_001166239	chr2(.):27318461-27346773	0.1441
NM_001166240	chr2(.):27317220-27346995	0.1594
NM_013388	chr2(.):27348624-27362542	0.5904
NM_001166241	chr2(.):27317220-27338970	0.1059
NM_032604	chr2(.):27341656-27358680	0.6174
NM_175769	chr2(.):27366944-27380819	1.5988
NM_080592	chr2(.):27429898-27445046	0.7807
NM_001170795	chr2(.):27430218-27445046	0.796
NM_004341	chr2(.):27435257-27471654	0.2574
NM_021095	chr2(.):27417454-27440175	0.4554
NM_015376	chr2(.):33733941-33794798	0.3278
NM_001139488	chr2(.):33696320-33794798	0.9852
NM_012413	chr2(.):37566752-37605465	5.0666
NM_138370	chr2(.):42270160-42290668	0.0937
NM_006887	chr2(.):43444540-43458745	5.219
NR_027251	chr2(.):43449349-43460994	2.7177
NM_001171508	chr2(.):47124008-47173994	0.4436
NM_002354	chr2(.):47591286-47619167	0.0552
NR_033837	chr2(.):64407212-64437619	0.703
NR_034023	chr2(.):64829445-64848616	0.2729
NM_001193493	chr2(.):65210578-65256000	0.4558
NM_003038	chr2(.):65211494-65256000	0.4636
NM_014882	chr2(.):68996932-69058957	0.2441
NM_001166277	chr2(.):68956912-69058957	0.4209
NM_006196	chr2(.):70309584-70321334	5.5577
NR_024444	chr2(.):70346167-70357448	2.0216
NM_006433	chr2(.):85916413-85930875	0.3197
NM_198843	chr2(.):85879439-85900864	0.0685
NR_026984	chr2(.):86242338-86255991	0.1791
NR_015424	chr2(.):89060418-89111109	0.1484
NR_026875	chr2(.):97158382-97178846	0.3025
NM_212481	chr2(.):97197463-97223371	1.6605
NR_024275	chr2(.):135201959-135217192	0.0575
NM_004288	chr2(.):158266130-158305604	1.2881
NM_003387	chr2(.):175419301-175504307	0.8749
NM_002491	chr2(.):201931461-201955473	0.2741
NM_001127183	chr2(.):201978386-202033841	1.8743
NM_032974	chr2(.):202042620-202099110	0.9966
NM_001230	chr2(.):202042620-202091383	0.8897
NM_033356	chr2(.):202120222-202157434	1.734
NM_001080125	chr2(.):202117753-202157434	1.7512
NM_006139	chr2(.):204566197-204607557	2.1417
NM_017431	chr2(.):219682105-219701512	0.0458
NM_025216	chr2(.):219740254-219763651	3.2725
NM_006522	chr2(.):219719545-219743954	0.2244
NM_005683	chr2(.):231767042-231794941	0.1396
NM_004735	chr2(.):238595806-238679558	0.3382
NM_014674	chr3(.):5224358-5266650	1.49
NM_001195099	chr3(.):15703743-15803058	0.0775
NM_001195098	chr3(.):15703743-15844691	0.3382
NM_015199	chr3(.):15703743-15906053	0.3444
NM_003571	chr3(.):133113789-133199056	2.0527
NM_207015	chr3(.):174572110-175528428	0.3218
NM_001135095	chr3(.):171753343-172123492	0.5699
NM_022763	chr3(.):171752417-172123492	0.5715
NM_181361	chr3(.):178249223-178567217	0.2314
NR_004053	chr3(.):181323150-181464005	0.3008
NM_001134382	chr3(.):12933718-13119617	0.594
NM_014869	chr3(.):12933718-13013960	0.0596
NM_001184958	chr3(.):14711605-14819543	1.0098
NM_001024847	chr3(.):30642993-30740633	0.6339
NM_001123396	chr3(.):46390234-46405868	2.4892
NM_001123041	chr3(.):46390234-46407413	2.2942
NM_181042	chr3(.):52574367-52718739	0.0558
NM_018313	chr3(.):52574367-52724866	0.0824
NM_001128615	chr3(.):56756445-57118336	0.2272
NM_015541	chr3(.):66424220-66555845	0.2744
NM_007114	chr3(.):69063977-69106484	0.1746
NM_002213	chr3(.):124476794-124611144	0.5931
NM_006506	chr3(.):141200925-141336197	0.0996
NM_001080412	chr3(.):141038054-141173632	3.2054
NM_016275	chr3(.):150316065-150353234	0.9289
NM_001193283	chr3(.):156539147-156648045	0.1273
NM_001004316	chr3(.):156539095-156768918	0.1707
NM_001190242	chr3(.):159969773-160106554	0.1307
NM_001190241	chr3(.):159969773-160122320	0.318
NM_024665	chr3(.):176733541-176920048	0.6541
NM_005832	chr3(.):178271617-178567217	0.1551
NM_130446	chr3(.):183200318-183278499	2.4361
NM_173216	chr3(.):186643314-186801341	1.0626
NM_003032	chr3(.):186734664-186801341	1.0531
NM_005524	chr3(.):193848933-193861396	1.4142
NM_018184	chr3(.):5158929-5227601	0.2989
NM_015931	chr3(.):8656319-8698737	0.1651
NM_016474	chr3(.):14688252-14719166	0.419
NM_194293	chr3(.):39219706-39239077	0.3527
NM_001198621	chr3(.):39219705-39239085	0.3526
NM_014240	chr3(.):45631322-45727755	0.5327
NM_001295	chr3(.):46238199-46254832	5.3353
NM_001837	chr3(.):46278871-46313197	0.1252
NM_003965	chr3(.):46443720-46456014	0.2844
NM_001100168	chr3(.):46406632-46422697	1.1569
NM_001130910	chr3(.):46444048-46456014	0.2921
NM_003212	chr3(.):46614075-46628952	0.0426
NM_001174136	chr3(.):46611044-46628952	0.0445
NM_024512	chr3(.):46551877-46613011	1.4993
NM_031440	chr3(.):46534484-46547439	0.5185
NM_001010983	chr3(.):52723503-52745048	1.6147
NM_206825	chr3(.):52714935-52733510	0.4601
NR_003687	chr3(.):52719753-52729846	0.3816
NM_014041	chr3(.):52734856-52747197	2.6441
NR_003057	chr3(.):52721751-52731828	0.3377
NM_152932	chr3(.):52723503-52742622	1.5201
NR_003047	chr3(.):52718255-52728331	0.4833
NM_001193533	chr3(.):52739795-52809965	0.5763
NM_198195	chr3(.):69098880-69134524	0.7295
NM_006407	chr3(.):69129089-69160239	1.5401
NM_198271	chr3(.):69151038-69176746	0.1855
NR_036087	chr3(.):69093108-69103186	0.5089
NM_006100	chr3(.):98446571-98518236	1.5165
NM_145037	chr3(.):101493028-101552075	0.6801
NM_001134456	chr3(.):101493285-101552075	0.6828
NM_001005474	chr3(.):101541833-101584869	0.3321
NM_022135	chr3(.):119355907-119384404	0.9857
NM_005694	chr3(.):119383371-119401243	0.4091
NM_015900	chr3(.):119311721-119353658	0.088
NR_033434	chr3(.):124444212-124473119	0.1068
NR_031687	chr3(.):125504246-125514395	0.0787
NR_027898	chr3(.):129926662-129997649	0.0613
NM_016557	chr3(.):132311093-132326382	0.0938
NM_178445	chr3(.):132313980-132326382	0.0871
NM_032169	chr3(.):132271981-132383975	0.346
NM_032025	chr3(.):150259573-150308803	0.2775
NM_014445	chr3(.):150254779-150269428	0.5612
NR_003284	chr3(.):156522059-156534810	0.4524
NR_034008	chr3(.):156802669-156823924	2.9245
NR_034007	chr3(.):156794455-156845791	1.3792
NM_173084	chr3(.):160148290-160172626	0.4013
NR_029663	chr3(.):160117375-160127473	2.9759
NM_005496	chr3(.):160113346-160157741	0.9126
NM_001002800	chr3(.):160112429-160157741	0.8972
NR_029525	chr3(.):160117532-160127613	2.8564
NR_027622	chr3(.):169656771-169689522	3.0796
NM_182610	chr3(.):169624481-169661948	1.3456
NM_003262	chr3(.):169679579-169721161	0.4755
NM_003106	chr3(.):181424721-181437223	1.9887
NM_198565	chr3(.):196361655-196393874	0.726
NM_003215	chr4(.):48132799-48276814	0.5714
NM_201431	chr4(.):74433861-74491340	1.2711
NM_177532	chr4(.):74433861-74491134	1.2757
NM_020859	chr4(.):77351252-77709405	0.2344
NM_198281	chr4(.):90160428-90234161	2.577
NM_015173	chr4(.):37887719-38145794	0.5087
NM_001007075	chr4(.):39041450-39132853	0.1314
NM_004310	chr4(.):40193526-40251281	1.7038
NM_002039	chr4(.):144252982-144400718	0.5747
NM_002199	chr4(.):185303875-185400726	2.3161
NR_031688	chr4(.):9552788-9562937	0.1654
NM_024943	chr4(.):38963440-39039041	0.5063
NM_017581	chr4(.):40332468-40361973	0.0408
NM_001076	chr4(.):69398132-69439240	0.6381
NM_001077	chr4(.):69397902-69439245	0.6352
NM_001076	chr4(.):69507314-69541374	0.2758
NM_031889	chr4(.):71489460-71517536	0.1176
NM_144646	chr4(.):71516257-71537348	2.8648
NM_020368	chr4(.):71549195-71561268	1.0205
NM_014961	chr4(.):71582695-71664274	0.0965
NM_001130709	chr4(.):71565653-71660614	0.1697
NM_015697	chr4(.):84179976-84211067	0.4561
NM_003998	chr4(.):103417485-103543459	0.4006
NM_025212	chr4(.):105388342-105417467	1.8016
NM_001104631	chr5(.):58259865-59194621	0.1867
NM_006203	chr5(.):58259865-58887324	0.1627
NM_001165899	chr5(.):58259865-59788925	0.1311
NM_001197218	chr5(.):58259865-59069438	0.2054
NM_002372	chr5(.):109020155-109208429	0.5825
NM_012304	chr5(.):15495304-15944900	0.0828
NM_001131005	chr5(.):88009057-88204922	0.7369
NM_002397	chr5(.):88009057-88184283	0.72
NM_001193349	chr5(.):88009057-88124744	0.447
NM_001131055	chr5(.):175080039-175118245	0.4905
NM_024669	chr5(.):55390506-55534186	0.6069
NR_015436	chr5(.):87831596-87985620	0.3289
NM_152624	chr5(.):112307432-112361667	0.1612
NM_001077654	chr5(.):118599417-118735294	0.5877
NM_001038702	chr5(.):130594701-130735382	0.3412
NM_003060	chr5(.):131700400-131736306	0.1863
NM_001020825	chr5(.):142652495-142788254	0.3417
NM_001018076	chr5(.):142652495-142789045	0.3399
NM_001018075	chr5(.):142652495-142820077	0.3077
NM_138379	chr5(.):156341292-156395266	0.7223
NM_005990	chr5(.):171464073-171620346	0.3183
NM_002406	chr5(.):180212540-180235048	1.4115
NM_001114619	chr5(.):180212540-180235902	1.4034
NM_001114618	chr5(.):180212540-180241817	1.6212
NM_001114617	chr5(.):180212540-180242137	1.6058
NM_001193376	chr5(.):1248286-1300162	0.0553
NM_030782	chr5(.):1312999-1350002	2.2748
NM_001145161	chr5(.):6443735-6501834	1.4343
NM_006713	chr5(.):32580604-32609185	1.7429
NR_034127	chr5(.):43060288-43072073	1.6151
NM_001014279	chr5(.):43034181-43045447	2.0157
NR_034085	chr5(.):43011149-43023913	0.865
NR_015447	chr5(.):43037235-43050370	1.7172
NR_034086	chr5(.):43009830-43023913	1.1557
NM_020726	chr5(.):65013022-65130111	0.3522
NR_036243	chr5(.):86405695-86415771	1.7669
NR_024384	chr5(.):87955262-87974146	2.1985
NR_024383	chr5(.):87955262-87979262	1.7845
NR_030741	chr5(.):87957670-87967757	0.4926
NM_005668	chr5(.):100137638-100243987	0.5235
NM_175052	chr5(.):100216014-100243970	1.3895
NR_033175	chr5(.):109213882-109226200	0.0803
NM_005669	chr5(.):112207080-112263031	0.4734
NM_014350	chr5(.):118686595-118735294	0.1715
NM_000588	chr5(.):131391346-131403896	0.2216
NM_000758	chr5(.):131404484-131416859	0.2195
NR_037500	chr5(.):131696181-131706291	0.2923
NM_002198	chr5(.):131812300-131831465	1.2731
NM_001013717	chr5(.):131741672-131803059	3.4622
NM_005732	chr5(.):131887615-131985313	0.1532
NM_000879	chr5(.):131872135-131884214	0.051
NM_016480	chr5(.):138672518-138710409	0.1286
NM_194296	chr5(.):138727455-138744776	0.7264
NM_152686	chr5(.):138740891-138780214	0.4826
NM_152685	chr5(.):138697884-138724039	0.4715
NM_001033112	chr5(.):138673133-138710409	0.1304
NM_001161546	chr5(.):138722634-138735885	2.4687
NM_016459	chr5(.):138718256-138730605	3.0842
NM_000024	chr5(.):148201155-148213197	2.4137
NM_001155	chr5(.):150475266-150542443	0.7168
NM_001193544	chr5(.):150475266-150526216	0.5648
NR_002168	chr5(.):156272548-156284539	0.0819
NR_028472	chr5(.):156346099-156357013	1.1461
NM_001171183	chr5(.):171616175-171635458	0.0567
NM_004417	chr5(.):172190092-172203203	2.3928
NM_030627	chr5(.):173310330-173392313	0.7254
NM_022304	chr5(.):175103463-175116558	0.0662
NR_027183	chr5(.):180251958-180267726	1.1514
NM_152283	chr5(.):180269610-180293286	0.3118
NM_181356	chr6(.):44791469-45350670	0.0737
NM_003599	chr6(.):44792449-45350575	0.0738
NM_012288	chr6(.):52357199-52446862	1.5423
NM_033515	chr6(.):129893239-130036370	0.4465
NM_001168344	chr6(.):7102829-7257213	0.348
NM_001003699	chr6(.):7103085-7257213	0.3486
NR_037616	chr6(.):7876482-8069647	1.161
NM_001173977	chr6(.):25274655-25625758	0.6708
NM_014641	chr6(.):30662583-30690458	0.5412
NM_172166	chr6(.):31702724-31735455	1.0618
NM_004348	chr6(.):45384913-45523819	0.3401
NM_001024630	chr6(.):45291053-45523819	0.2527
NM_016021	chr6(.):90031343-90067619	1.4579
NM_001455	chr6(.):108877068-109010971	1.5284
NM_201559	chr6(.):108876025-109010971	1.5178
NM_032131	chr6(.):109164618-109300352	1.1754
NM_173674	chr6(.):117798819-117896020	0.5066
NM_153235	chr6(.):139556198-139618208	0.8707
NM_006734	chr6(.):143067603-143271338	0.3117
NM_024630	chr6(.):157797556-158099977	0.4224
NM_020185	chr6(.):287100-356355	2.4108
NM_001145549	chr6(.):7876482-7915310	3.2306
NM_030810	chr6(.):7876482-7916047	3.2497
NM_032744	chr6(.):11708887-11784280	0.6985
NR_002174	chr6(.):25076294-25143051	0.3362
NR_027626	chr6(.):25103200-25143620	0.513
NM_021065	chr6(.):26194011-26204471	2.2572
NM_003530	chr6(.):26192011-26204464	1.9167
NM_138720	chr6(.):26153348-26176576	1.0499
NM_003523	chr6(.):26179023-26189458	0.6288
NM_003539	chr6(.):26183937-26194304	0.7647
NM_003545	chr6(.):26199872-26210249	1.6785
NM_005321	chr6(.):26151558-26162343	1.4364
NM_003522	chr6(.):26194786-26205216	2.6229
NM_003518	chr6(.):26211427-26221872	0.9815
NM_021052	chr6(.):26212147-26222711	0.9671
NM_003532	chr6(.):26220382-26230844	0.7314
NM_003524	chr6(.):26246878-26257303	2.0041
NM_003547	chr6(.):26241838-26252205	1.8006
NM_003540	chr6(.):26235653-26246021	0.2198
NM_021018	chr6(.):26245369-26255835	1.9993
NM_005320	chr6(.):26229439-26240216	0.7212
NM_001145008	chr6(.):26397464-26420444	0.2313
NM_001197240	chr6(.):26378328-26400100	0.39
NM_001197247	chr6(.):26360397-26383540	1.0807
NM_001197238	chr6(.):26378323-26400100	0.39
NM_007047	chr6(.):26360397-26383548	1.0817
NM_001197237	chr6(.):26378438-26400100	0.3892
NM_001197248	chr6(.):26360469-26383540	1.0649
NM_001197246	chr6(.):26363405-26383540	0.4832
NM_021064	chr6(.):27095816-27106314	1.2475
NM_080593	chr6(.):27101071-27119637	1.1366
NM_080596	chr6(.):27109907-27120346	1.0444
NR_036096	chr6(.):27110404-27120467	1.0794
NM_021058	chr6(.):27095094-27105575	1.2329
NM_003495	chr6(.):27102087-27112457	0.7387
NM_021066	chr6(.):27777079-27787518	1.2595
NM_003536	chr6(.):27772841-27783314	1.7156
NM_003509	chr6(.):27770976-27781445	1.2386
NM_003519	chr6(.):27770256-27780709	1.2115
NM_003521	chr6(.):27777821-27788267	1.191
NM_003520	chr6(.):27801439-27811888	1.9261
NM_003511	chr6(.):27828106-27838576	0.673
NM_003533	chr6(.):27834622-27845099	0.3505
NM_003510	chr6(.):27800657-27811117	1.9314
NM_003541	chr6(.):27793951-27804305	0.7024
NM_005322	chr6(.):27829569-27840359	0.7276
NM_021968	chr6(.):27786902-27797258	0.7405
NM_003546	chr6(.):27835925-27846289	0.2152
NM_003587	chr6(.):30615895-30645830	0.1002
NM_001161376	chr6(.):30609815-30625987	0.3129
NM_133471	chr6(.):30639165-30660672	1.2684
NM_001134870	chr6(.):30639165-30660093	1.3024
NM_007243	chr6(.):30650825-30663769	1.4836
NM_178014	chr6(.):30683156-30698195	0.9986
NM_021246	chr6(.):31678132-31690581	0.0649
NM_138275	chr6(.):31686160-31697851	0.7753
NR_033488	chr6(.):31649725-31675850	0.2547
NM_013974	chr6(.):31689816-31703039	1.0879
NM_025262	chr6(.):31639460-31653150	0.2065
NM_001288	chr6(.):31693357-31709341	2.8335
NM_001003693	chr6(.):31669683-31683372	0.4337
NM_021160	chr6(.):31649725-31676137	0.2522
NR_024541	chr6(.):31674752-31686842	0.0543
NM_025261	chr6(.):31681424-31694510	0.0668
NM_001039651	chr6(.):31725772-31737624	0.131
NM_025258	chr6(.):31728370-31750108	0.6259
NR_002742	chr6(.):31799852-31809916	1.0489
NM_000434	chr6(.):31821828-31835709	0.2834
