GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
NM_001034077	chr1(.):149827329-149837725	1.0655
NM_004698	chr1(.):150288927-150330704	0.1768
NM_019032	chr1(.):150516897-150538412	1.8426
NM_207046	chr1(.):150589598-150606609	0.6315
NR_036211	chr1(.):150519404-150529490	0.1706
NM_001197320	chr1(.):150542026-150557214	0.9943
NM_020239	chr1(.):151018446-151037125	0.7774
NM_138278	chr1(.):151004028-151025076	0.1723
NM_006818	chr1(.):151027150-151045973	1.6899
NM_017860	chr1(.):151015258-151028871	0.3021
NM_144618	chr1(.):151038079-151096007	0.41
NM_005620	chr1(.):151999981-152014511	1.371
NM_002966	chr1(.):151950385-151971714	0.2633
NM_001008536	chr1(.):152051619-152066540	0.0679
NM_014437	chr1(.):153926587-153945188	1.1817
NM_130898	chr1(.):153935396-153951832	1.2667
NM_181715	chr1(.):153915151-153936043	1.0149
NM_006694	chr1(.):153941744-153955451	0.4887
NM_002870	chr1(.):153949127-153963806	0.7206
NM_014856	chr1(.):153896976-153924154	0.4805
NM_001030	chr1(.):153958238-153969631	0.4881
NM_020452	chr1(.):154295275-154328780	1.2002
NM_001005855	chr1(.):154293035-154315322	1.6448
NM_080429	chr1(.):154288591-154302801	2.4536
NM_006556	chr1(.):154892207-154914484	1.8563
NM_001130041	chr1(.):154929773-154951959	1.69
NM_001130040	chr1(.):154929773-154948223	1.8986
NM_201398	chr1(.):154950769-154970587	0.3221
NM_015872	chr1(.):154970111-154995999	1.0281
NM_207196	chr1(.):155018761-155040252	0.4414
NM_001184892	chr1(.):154950769-154966488	0.3501
NM_018655	chr1(.):154961061-154971791	0.2311
NM_001143687	chr1(.):155001281-155028406	0.3369
NR_024163	chr1(.):154942117-154956725	1.7638
NM_144622	chr1(.):154986002-155011257	0.3395
NM_138300	chr1(.):154924501-154939258	2.1787
NR_036212	chr1(.):154943168-154953259	2.0926
NM_006912	chr1(.):155862600-155886177	0.1808
NM_001162384	chr1(.):155911629-155953336	1.2341
NM_181885	chr1(.):155906479-155917625	1.0509
NM_004723	chr1(.):155911629-155952966	1.2391
NM_014949	chr1(.):155877835-155909188	0.3986
NR_002974	chr1(.):155884699-155894833	0.1289
NR_003005	chr1(.):155890748-155900877	0.0981
NM_003145	chr1(.):155973838-155995758	0.4121
NM_014655	chr1(.):156158729-156187587	0.5753
NM_007221	chr1(.):156177783-156214833	0.7377
NM_022367	chr1(.):156118321-156152542	2.2222
NM_001193302	chr1(.):156118368-156152542	2.2235
NM_001193301	chr1(.):156114734-156152542	2.1556
NM_005920	chr1(.):156428518-156475529	1.0006
NM_198427	chr1(.):156606739-156628264	0.1519
NM_021817	chr1(.):156584085-156600517	0.1245
NM_021948	chr1(.):156606739-156634320	0.7828
NM_004494	chr1(.):156706898-156726543	1.367
NM_001126051	chr1(.):156706898-156727024	1.3373
NM_001126050	chr1(.):156706898-156727240	1.3235
NM_030980	chr1(.):156687412-156702705	0.3943
NM_001878	chr1(.):156664407-156680375	0.1177
NM_001142560	chr1(.):156693262-156711752	0.7558
NM_145729	chr1(.):156702093-156715923	0.6958
NM_006617	chr1(.):156633555-156652189	0.2313
NM_004833	chr1(.):159027274-159051647	0.8764
NM_001778	chr1(.):160643535-160686585	1.2614
NM_003037	chr1(.):160574890-160622081	0.2202
NM_021181	chr1(.):160704076-160729601	1.1919
NM_030916	chr1(.):161035780-161064385	0.5222
NM_007122	chr1(.):161004040-161020757	1.7119
NM_001113205	chr1(.):161002421-161013774	0.2945
NM_181720	chr1(.):161011731-161044760	1.2969
NM_016946	chr1(.):160960000-160996133	0.3448
NM_001077470	chr1(.):161194455-161213000	0.4468
NM_001039711	chr1(.):161085768-161107478	0.7599
NM_016406	chr1(.):161118533-161133646	1.3045
NM_004550	chr1(.):161164104-161189184	0.6649
NM_000309	chr1(.):161131180-161146010	0.5457
NM_001643	chr1(.):161187082-161198418	0.8965
NM_001185094	chr1(.):161082907-161095984	0.3327
NM_003779	chr1(.):161136100-161152314	1.3077
NM_012475	chr1(.):161124253-161140516	0.7791
NM_001039712	chr1(.):161085768-161107256	0.7666
NM_005600	chr1(.):161082861-161095984	0.3316
NM_001185093	chr1(.):161082906-161095984	0.3327
NM_032174	chr1(.):161190832-161205407	0.5583
NM_001166159	chr1(.):161166936-161189184	0.7147
NM_005099	chr1(.):161154537-161173845	1.2249
NM_004106	chr1(.):161180086-161194038	0.508
NM_181093	chr1(.):169816803-169868076	0.4915
NM_002021	chr1(.):171212662-171260113	0.5006
NM_022100	chr1(.):174977093-174997591	0.3498
NR_033186	chr1(.):178506930-178523024	0.3751
NM_022371	chr1(.):179046111-179070129	0.9446
NM_015602	chr1(.):179846419-179894211	0.5456
NM_016545	chr1(.):181052637-181064979	0.7614
NM_002922	chr1(.):192539856-192554159	1.5933
NM_001195216	chr1(.):197698138-197749623	0.6638
NM_005298	chr1(.):200837165-200848251	0.2078
NM_018265	chr1(.):200855638-200889864	0.9661
NM_001142569	chr1(.):200858998-200889864	0.9437
NR_034150	chr1(.):203262885-203279453	3.0763
NM_003465	chr1(.):203180206-203203860	0.149
NM_006763	chr1(.):203269663-203283729	2.036
NM_002023	chr1(.):203304751-203325289	0.1728
NR_003019	chr1(.):203693708-203703833	0.1556
NM_001136190	chr1(.):203729283-203750480	1.4134
NM_001174108	chr1(.):203761650-203774590	0.4832
NM_002646	chr1(.):204386757-204464474	0.1777
NM_002393	chr1(.):204480510-204532248	0.7765
NM_014858	chr1(.):205192037-205247471	0.5469
NM_030952	chr1(.):205266190-205295883	0.5146
NM_000707	chr1(.):206219282-206236482	0.2338
NM_001007544	chr1(.):206233871-206293647	1.2723
NM_148964	chr1(.):206312458-206337104	0.1563
NM_006893	chr1(.):206759973-206790904	0.1759
NM_182665	chr1(.):206725491-206767616	1.1094
NM_001185157	chr1(.):207065787-207082484	0.1068
NM_002644	chr1(.):207096866-207124811	0.3319
NM_001170631	chr1(.):207126311-207148970	0.124
NM_001136224	chr1(.):211427707-211494725	0.4312
NM_018254	chr1(.):211428288-211494725	0.4342
NM_001136225	chr1(.):211427707-211491655	0.4457
NM_183059	chr1(.):211644863-211671259	0.1242
NM_021194	chr1(.):211743380-211757099	1.139
NM_153606	chr1(.):212792788-212805120	0.1434
NM_001030287	chr1(.):212733696-212799116	0.544
NM_001674	chr1(.):212776993-212799116	0.8839
NM_001748	chr1(.):223895118-223968720	0.3758
NM_001146068	chr1(.):223884294-223968720	0.3497
NM_002296	chr1(.):225584203-225620784	0.5355
NM_194442	chr1(.):225584203-225621519	0.5284
NM_000120	chr1(.):226008001-226038262	0.2086
NM_020997	chr1(.):226068981-226081836	0.9971
NM_014698	chr1(.):226028232-226075420	0.7365
NM_013328	chr1(.):226102579-226116965	0.5732
NM_033445	chr1(.):228640064-228650560	0.1479
NM_001010858	chr1(.):228670067-228688889	0.9602
NM_175055	chr1(.):228640807-228651259	0.1499
NM_182972	chr1(.):234735014-234750271	3.1969
NR_033927	chr1(.):234760056-234775526	0.1008
NM_031844	chr1(.):245008601-245032827	0.8771
NM_198076	chr1(.):244993638-245013359	1.4792
NR_026778	chr1(.):244998939-245015243	0.2951
NM_020458	chr2(.):47163312-47308275	0.467
NR_033872	chr2(.):70184394-70319147	0.5458
NR_015395	chr2(.):112119590-112257692	0.4808
NR_024373	chr2(.):112181885-112257692	0.8021
NM_001099289	chr2(.):109740996-110267207	0.2005
NM_001012514	chr2(.):231724620-231748963	1.2217
NM_145693	chr2(.):11881739-11972533	0.4754
NM_183360	chr2(.):25595111-25901503	0.2006
NM_170672	chr2(.):33656415-33794798	0.4185
NM_005813	chr2(.):37472645-37549222	0.7381
NM_019063	chr2(.):42391489-42564688	0.1027
NM_003400	chr2(.):61700068-61770418	0.2959
NM_014755	chr2(.):64853754-64886046	0.8018
NR_036586	chr2(.):65123973-65164581	1.338
NM_002398	chr2(.):66657531-66804891	0.184
NR_024204	chr2(.):87749973-87826030	0.6029
NM_144563	chr2(.):88986175-89055452	0.5642
NM_004027	chr2(.):99056320-99212496	0.9091
NM_001566	chr2(.):99056320-99203284	0.9627
NM_004336	chr2(.):111390408-111440684	0.5608
NM_001077269	chr2(.):175419301-175552627	0.4062
NM_006164	chr2(.):178090032-178134859	0.446
NM_001145413	chr2(.):178090032-178133617	0.4581
NR_024415	chr2(.):192537797-192558248	1.2019
NM_001031716	chr2(.):192537860-192558248	1.2051
NM_004226	chr2(.):196993306-197041336	0.4463
NM_001228	chr2(.):202093165-202157434	0.9067
NM_003879	chr2(.):201975889-202034003	1.6512
NM_001127184	chr2(.):201975815-202011323	2.5668
NM_173822	chr2(.):201833440-201941392	0.1165
NM_033358	chr2(.):202093165-202151638	0.9898
NM_003709	chr2(.):207940528-208035614	0.4679
NM_022730	chr2(.):232646161-232678434	0.1138
NM_001037160	chr2(.):10191925-10225538	0.0733
NM_182626	chr2(.):10276508-10356856	0.0693
NM_001165931	chr2(.):10257694-10276546	1.2083
NM_001034	chr2(.):10257862-10276546	1.2189
NM_002997	chr2(.):20395557-20429927	1.8151
NM_001006946	chr2(.):20395557-20430194	1.8025
NM_004040	chr2(.):20641834-20654201	0.5581
NM_178553	chr2(.):27354714-27367332	0.5213
NM_001166239	chr2(.):27318461-27346773	0.1132
NM_001166240	chr2(.):27317220-27346995	0.124
NM_013388	chr2(.):27348624-27362542	0.4985
NM_001166241	chr2(.):27317220-27338970	0.0889
NM_032604	chr2(.):27341656-27358680	0.5013
NM_175769	chr2(.):27366944-27380819	0.5833
NM_080592	chr2(.):27429898-27445046	0.9354
NM_001170795	chr2(.):27430218-27445046	0.9536
NM_021095	chr2(.):27417454-27440175	0.4851
NM_015376	chr2(.):33733941-33794798	0.1835
NM_001139488	chr2(.):33696320-33794798	0.5566
NM_012413	chr2(.):37566752-37605465	2.4691
NM_138370	chr2(.):42270160-42290668	0.0968
NM_006887	chr2(.):43444540-43458745	2.5553
NR_027251	chr2(.):43449349-43460994	1.7261
NM_001171508	chr2(.):47124008-47173994	0.4003
NM_002354	chr2(.):47591286-47619167	0.0631
NR_033837	chr2(.):64407212-64437619	0.472
NR_034023	chr2(.):64829445-64848616	0.2348
NM_001193493	chr2(.):65210578-65256000	0.5187
NM_003038	chr2(.):65211494-65256000	0.527
NM_015147	chr2(.):65278494-65319142	0.275
NM_014882	chr2(.):68996932-69058957	0.2258
NM_001166277	chr2(.):68956912-69058957	0.3848
NM_006196	chr2(.):70309584-70321334	5.1049
NR_024444	chr2(.):70346167-70357448	1.3446
NM_003761	chr2(.):85799613-85814156	0.2421
NM_005911	chr2(.):85761287-85777403	1.144
NM_000821	chr2(.):85771192-85793657	0.154
NM_006634	chr2(.):85806530-85825511	0.1962
NM_015425	chr2(.):86248450-86338278	0.5654
NR_026984	chr2(.):86242338-86255991	0.1292
NR_015424	chr2(.):89060418-89111109	0.1587
NR_026875	chr2(.):97158382-97178846	0.2639
NM_212481	chr2(.):97197463-97223371	1.3883
NM_006186	chr2(.):157175943-157194287	0.3826
NM_004288	chr2(.):158266130-158305604	1.0685
NM_001172712	chr2(.):174766186-174835430	0.3423
NM_001017371	chr2(.):174766186-174833947	0.3488
NM_003387	chr2(.):175419301-175504307	0.5859
NR_036075	chr2(.):178115672-178125738	0.0631
NM_002491	chr2(.):201931461-201955473	0.2287
NM_001127183	chr2(.):201978386-202033841	1.7254
NM_032974	chr2(.):202042620-202099110	0.6217
NM_001230	chr2(.):202042620-202091383	0.5147
NM_033356	chr2(.):202120222-202157434	1.0161
NM_001080125	chr2(.):202117753-202157434	1.0166
NM_006139	chr2(.):204566197-204607557	1.1365
NR_036227	chr2(.):207969710-207979797	0.0554
NM_017431	chr2(.):219682105-219701512	0.0646
NM_025216	chr2(.):219740254-219763651	1.187
NM_006522	chr2(.):219719545-219743954	0.1095
NM_001099285	chr2(.):232568234-232583250	1.2485
NM_002601	chr2(.):232592146-232650974	0.0817
NR_036052	chr2(.):232573023-232583105	0.4302
NR_031717	chr2(.):232751951-232762008	0.0374
NM_014674	chr3(.):5224358-5266650	0.8618
NM_003571	chr3(.):133113789-133199056	0.7568
NM_207294	chr3(.):152012193-152188569	0.1224
NM_021038	chr3(.):151980828-152188568	0.206
NM_207015	chr3(.):174572110-175528428	0.2359
NM_001135095	chr3(.):171753343-172123492	0.3442
NM_022763	chr3(.):171752417-172123492	0.3447
NM_181361	chr3(.):178249223-178567217	0.1459
NM_001134382	chr3(.):12933718-13119617	0.4246
NM_024923	chr3(.):13352736-13466809	0.4082
NM_014869	chr3(.):12933718-13013960	0.0741
NM_144636	chr3(.):14148576-14171371	1.2393
NM_003884	chr3(.):20076523-20200896	0.2195
NM_182666	chr3(.):23842438-23937807	0.2751
NM_001123396	chr3(.):46390234-46405868	0.7165
NM_001195442	chr3(.):46648924-46673033	0.0994
NM_007114	chr3(.):69063977-69106484	0.1572
NM_014429	chr3(.):108672086-108841993	0.1824
NM_002093	chr3(.):119535801-119818264	0.1281
NM_002213	chr3(.):124476794-124611144	0.3762
NM_001080412	chr3(.):141038054-141173632	2.2005
NM_001193283	chr3(.):156539147-156648045	0.1232
NM_001004316	chr3(.):156539095-156768918	0.1385
NM_001190242	chr3(.):159969773-160106554	0.0961
NM_001190241	chr3(.):159969773-160122320	0.2964
NM_024665	chr3(.):176733541-176920048	0.4382
NM_005832	chr3(.):178271617-178567217	0.132
NM_130446	chr3(.):183200318-183278499	1.2911
NM_181573	chr3(.):186502681-186529484	0.6131
NM_002916	chr3(.):186502681-186529290	0.6172
NM_173216	chr3(.):186643314-186801341	0.738
NM_003032	chr3(.):186734664-186801341	0.8295
NM_005524	chr3(.):193848933-193861396	1.3502
NM_018184	chr3(.):5158929-5227601	0.1984
NM_024334	chr3(.):14161439-14190180	0.9927
NR_027694	chr3(.):20016452-20058765	0.0545
NM_194293	chr3(.):39219706-39239077	0.2145
NM_001198621	chr3(.):39219705-39239085	0.2147
NM_001295	chr3(.):46238199-46254832	2.5081
NM_001837	chr3(.):46278871-46313197	0.1273
NM_003212	chr3(.):46614075-46628952	0.0715
NM_001174136	chr3(.):46611044-46628952	0.0674
NM_024512	chr3(.):46551877-46613011	1.0366
NM_031440	chr3(.):46534484-46547439	0.4697
NM_198195	chr3(.):69098880-69134524	0.4895
NM_006407	chr3(.):69129089-69160239	1.0777
NM_198271	chr3(.):69151038-69176746	0.2356
NR_036087	chr3(.):69093108-69103186	0.4552
NM_006100	chr3(.):98446571-98518236	0.9328
NM_145037	chr3(.):101493028-101552075	0.5085
NM_001134456	chr3(.):101493285-101552075	0.5101
NM_001005474	chr3(.):101541833-101584869	0.3958
NM_022135	chr3(.):119355907-119384404	0.9031
NM_005694	chr3(.):119383371-119401243	0.4567
NM_015900	chr3(.):119311721-119353658	0.1175
NM_020187	chr3(.):128992683-129029135	0.5157
NM_001006109	chr3(.):128992816-129029135	0.5168
NM_006026	chr3(.):129028613-129040120	2.0193
NR_026991	chr3(.):129030113-129048412	0.949
NR_027898	chr3(.):129926662-129997649	0.0661
NR_027037	chr3(.):151975404-151992415	0.9017
NM_002886	chr3(.):152875028-152891263	1.1192
NR_003284	chr3(.):156522059-156534810	0.3487
NR_034008	chr3(.):156802669-156823924	1.9311
NR_034007	chr3(.):156794455-156845791	0.9216
NM_020307	chr3(.):156860585-156883482	0.8893
NM_173084	chr3(.):160148290-160172626	0.3734
NR_029663	chr3(.):160117375-160127473	2.7016
NM_005496	chr3(.):160113346-160157741	0.8546
NM_001002800	chr3(.):160112429-160157741	0.8392
NR_029525	chr3(.):160117532-160127613	2.4378
NM_018657	chr3(.):169485852-169512504	0.5445
NM_032487	chr3(.):169479710-169492683	1.6258
NM_001172780	chr3(.):169508428-169535574	0.2174
NM_001080460	chr3(.):169534709-169560560	0.1348
NR_001566	chr3(.):169477397-169487848	0.9502
NM_001185119	chr3(.):169487052-169512504	0.5661
NR_027622	chr3(.):169656771-169689522	1.3316
NM_182610	chr3(.):169624481-169661948	0.5146
NM_003262	chr3(.):169679579-169721161	0.3312
NM_001145098	chr3(.):170070472-170115950	0.4802
NM_001145097	chr3(.):170072410-170115950	0.4952
NR_002989	chr3(.):186499463-186509641	2.0364
NM_001967	chr3(.):186496360-186512685	1.3116
NR_031650	chr3(.):186499460-186509566	2.0509
NR_002588	chr3(.):186500401-186510538	2.0086
NR_002587	chr3(.):186497584-186507654	2.0411
NR_002586	chr3(.):186500087-186510222	2.0334
NR_024480	chr3(.):194013988-194035593	1.4265
NM_001080513	chr3(.):194055493-194077057	0.0945
NM_005781	chr3(.):195585235-195640880	0.543
NM_001010938	chr3(.):195585235-195627432	0.2033
NM_198565	chr3(.):196361655-196393874	0.5284
NM_003215	chr4(.):48132799-48276814	0.2835
NM_201431	chr4(.):74433861-74491340	0.671
NM_177532	chr4(.):74433861-74491134	0.6734
NM_020859	chr4(.):77351252-77709405	0.1887
NM_198281	chr4(.):90160428-90234161	1.7204
NM_001034845	chr4(.):172729574-173966558	0.0816
NM_021069	chr4(.):186501597-186882870	0.139
NM_001145670	chr4(.):186501597-186738410	0.1704
NM_001145671	chr4(.):186501597-186737225	0.17
NM_001145672	chr4(.):186501597-186737048	0.17
NM_003603	chr4(.):186501597-186738392	0.1704
NM_001145673	chr4(.):186501597-186702066	0.1882
NM_006527	chr4(.):1689526-1719030	0.6409
NM_147127	chr4(.):5559145-5715294	0.1707
NM_001166136	chr4(.):5559145-5716275	0.1709
NM_153717	chr4(.):5707923-5821031	0.2071
NM_015173	chr4(.):37887719-38145794	0.3767
NM_001007075	chr4(.):39041450-39132853	0.1167
NM_004310	chr4(.):40193526-40251281	1.2425
NM_018177	chr4(.):40053523-40162019	0.2163
NM_025009	chr4(.):56810036-56904527	0.2303
NM_024900	chr4(.):129725778-129790787	0.3665
NM_199320	chr4(.):129725778-129801379	0.3268
NM_002039	chr4(.):144252982-144400718	0.3783
NM_153343	chr4(.):185004858-185144114	0.0664
NM_002199	chr4(.):185303875-185400726	1.4834
NM_001145674	chr4(.):186501597-186583123	0.3078
NM_001013622	chr4(.):1636607-1690718	0.0689
NM_001174070	chr4(.):1636607-1690988	0.0689
NM_001127266	chr4(.):1712678-1728084	1.5862
NM_006342	chr4(.):1718265-1751897	0.2619
NR_031688	chr4(.):9552788-9562937	0.1223
NM_024943	chr4(.):38963440-39039041	0.317
NR_027277	chr4(.):40039536-40063819	0.7426
NM_017581	chr4(.):40332468-40361973	0.0698
NM_001076	chr4(.):69398132-69439240	0.4072
NM_001077	chr4(.):69397902-69439245	0.4056
NM_001076	chr4(.):69507314-69541374	0.1318
NM_031889	chr4(.):71489460-71517536	0.0919
NM_144646	chr4(.):71516257-71537348	0.7972
NM_020368	chr4(.):71549195-71561268	0.4564
NM_014961	chr4(.):71582695-71664274	0.0775
NM_001130709	chr4(.):71565653-71660614	0.122
NM_025212	chr4(.):105388342-105417467	1.1287
NM_002129	chr4(.):174247526-174260595	1.5329
NM_003864	chr4(.):174287092-174303683	0.3306
NM_001130688	chr4(.):174247526-174260509	1.5428
NM_001130689	chr4(.):174247526-174259920	1.6152
NM_002372	chr5(.):109020155-109208429	0.3191
NM_001131005	chr5(.):88009057-88204922	0.5428
NM_002397	chr5(.):88009057-88184283	0.5344
NM_001193349	chr5(.):88009057-88124744	0.4136
NM_024669	chr5(.):55390506-55534186	0.4071
NR_015436	chr5(.):87831596-87985620	0.278
NR_027435	chr5(.):90671163-90721532	0.5947
NM_152624	chr5(.):112307432-112361667	0.167
NM_001077654	chr5(.):118599417-118735294	0.3902
NM_003060	chr5(.):131700400-131736306	0.1573
NM_001020825	chr5(.):142652495-142788254	0.2893
NM_001018076	chr5(.):142652495-142789045	0.2882
NM_001018075	chr5(.):142652495-142820077	0.2561
NM_005990	chr5(.):171464073-171620346	0.2107
NM_022455	chr5(.):176555832-176732214	0.2299
NM_172349	chr5(.):176555079-176732214	0.2294
NM_002406	chr5(.):180212540-180235048	0.6523
NM_001114619	chr5(.):180212540-180235902	0.6518
NM_001114618	chr5(.):180212540-180241817	0.9922
NM_001114617	chr5(.):180212540-180242137	0.9829
NM_001193376	chr5(.):1248286-1300162	0.0813
NM_030782	chr5(.):1312999-1350002	2.1932
NM_001145161	chr5(.):6443735-6501834	1.0868
NM_006713	chr5(.):32580604-32609185	1.1146
NR_034127	chr5(.):43060288-43072073	1.1901
NM_001014279	chr5(.):43034181-43045447	1.3526
NR_034085	chr5(.):43011149-43023913	0.6207
NR_015447	chr5(.):43037235-43050370	1.1637
NR_034086	chr5(.):43009830-43023913	0.7033
NR_024384	chr5(.):87955262-87974146	1.7881
NR_024383	chr5(.):87955262-87979262	1.4429
NR_030741	chr5(.):87957670-87967757	0.4062
NM_020801	chr5(.):90659540-90684149	1.1531
NM_005668	chr5(.):100137638-100243987	0.3556
NM_175052	chr5(.):100216014-100243970	0.8756
NR_033175	chr5(.):109213882-109226200	0.086
NM_005669	chr5(.):112207080-112263031	0.2651
NR_036052	chr5(.):118305280-118315362	0.0793
NM_014350	chr5(.):118686595-118735294	0.1722
NM_005573	chr5(.):126107314-126177712	0.3599
NM_001198557	chr5(.):126107844-126177712	0.3616
NM_000588	chr5(.):131391346-131403896	0.1496
NM_000758	chr5(.):131404484-131416859	0.1598
NR_037500	chr5(.):131696181-131706291	0.2986
NM_002198	chr5(.):131812300-131831465	0.561
