GENE_ID	locusLine	bin_1_U266.jin.bam
2_MACS_peak_170_lociStitched	chr1(.):9598562-9600585	2.6841
2_MACS_peak_172_lociStitched	chr1(.):9648843-9649954	1.1264
1_MACS_peak_174_lociStitched	chr1(.):9776645-9778634	3.0867
1_MACS_peak_175_lociStitched	chr1(.):9819021-9820765	1.3453
1_MACS_peak_176_lociStitched	chr1(.):9821647-9822797	0.9528
1_MACS_peak_177_lociStitched	chr1(.):9846611-9848630	3.2041
1_MACS_peak_178_lociStitched	chr1(.):9879854-9880420	0.8208
1_MACS_peak_179_lociStitched	chr1(.):9882632-9884076	1.8096
1_MACS_peak_180_lociStitched	chr1(.):9885832-9886133	0.6131
1_MACS_peak_181_lociStitched	chr1(.):9969464-9970104	1.6264
1_MACS_peak_182_lociStitched	chr1(.):9970615-9971417	2.5039
1_MACS_peak_183_lociStitched	chr1(.):10002509-10004123	3.1577
1_MACS_peak_184_lociStitched	chr1(.):10078620-10079031	0.7762
2_MACS_peak_185_lociStitched	chr1(.):10092199-10094092	2.3418
1_MACS_peak_187_lociStitched	chr1(.):10249670-10250142	0.8181
2_MACS_peak_188_lociStitched	chr1(.):10269678-10271597	2.4685
1_MACS_peak_190_lociStitched	chr1(.):10459028-10460166	2.4371
1_MACS_peak_191_lociStitched	chr1(.):10490338-10491421	2.3475
1_MACS_peak_192_lociStitched	chr1(.):10516276-10518253	1.3031
1_MACS_peak_193_lociStitched	chr1(.):10532115-10533101	1.1208
1_MACS_peak_194_lociStitched	chr1(.):10534837-10535680	2.3263
2_MACS_peak_195_lociStitched	chr1(.):10554868-10556062	0.8687
1_MACS_peak_197_lociStitched	chr1(.):10998875-11000876	1.6377
1_MACS_peak_198_lociStitched	chr1(.):11071994-11073692	4.5684
2_MACS_peak_199_lociStitched	chr1(.):11118842-11121103	2.0189
1_MACS_peak_201_lociStitched	chr1(.):11159045-11160410	2.5465
2_MACS_peak_202_lociStitched	chr1(.):11203652-11204741	0.7078
2_MACS_peak_204_lociStitched	chr1(.):11321975-11323253	1.872
1_MACS_peak_206_lociStitched	chr1(.):11333223-11334294	4.9534
1_MACS_peak_207_lociStitched	chr1(.):11538870-11539359	2.3264
3_MACS_peak_208_lociStitched	chr1(.):11623732-11630918	1.7673
1_MACS_peak_211_lociStitched	chr1(.):11715004-11715419	0.8935
1_MACS_peak_212_lociStitched	chr1(.):11740369-11742216	2.5575
1_MACS_peak_213_lociStitched	chr1(.):11796137-11797057	1.282
2_MACS_peak_214_lociStitched	chr1(.):11865095-11867453	2.1631
2_MACS_peak_216_lociStitched	chr1(.):11901574-11902892	0.8093
2_MACS_peak_218_lociStitched	chr1(.):11967886-11970280	3.4222
1_MACS_peak_220_lociStitched	chr1(.):11986443-11987138	1.5829
2_MACS_peak_221_lociStitched	chr1(.):11994188-11995228	1.1389
2_MACS_peak_223_lociStitched	chr1(.):12039658-12041245	2.9527
1_MACS_peak_225_lociStitched	chr1(.):12079543-12080143	1.2684
2_MACS_peak_226_lociStitched	chr1(.):12106943-12108523	1.1533
1_MACS_peak_228_lociStitched	chr1(.):12111144-12113341	2.2409
1_MACS_peak_229_lociStitched	chr1(.):12114323-12114731	0.6615
1_MACS_peak_230_lociStitched	chr1(.):12212835-12213440	0.875
1_MACS_peak_231_lociStitched	chr1(.):12217624-12218061	0.8384
1_MACS_peak_232_lociStitched	chr1(.):12221482-12222724	0.9706
1_MACS_peak_233_lociStitched	chr1(.):12290119-12290595	0.8935
1_MACS_peak_234_lociStitched	chr1(.):12493693-12494440	0.847
1_MACS_peak_235_lociStitched	chr1(.):12496048-12496578	1.0275
1_MACS_peak_236_lociStitched	chr1(.):12655449-12655959	1.1904
1_MACS_peak_237_lociStitched	chr1(.):14013573-14013924	0.7388
2_MACS_peak_238_lociStitched	chr1(.):14020772-14022711	0.9145
1_MACS_peak_240_lociStitched	chr1(.):14025796-14032414	5.5326
1_MACS_peak_241_lociStitched	chr1(.):14056078-14058704	3.3462
2_MACS_peak_242_lociStitched	chr1(.):14074920-14077601	2.0839
2_MACS_peak_244_lociStitched	chr1(.):14079672-14081515	0.9225
1_MACS_peak_246_lociStitched	chr1(.):14501204-14503289	1.3115
1_MACS_peak_247_lociStitched	chr1(.):14507328-14507705	1.0366
2_MACS_peak_248_lociStitched	chr1(.):15482502-15483596	0.8002
1_MACS_peak_250_lociStitched	chr1(.):15497317-15498350	1.4263
1_MACS_peak_251_lociStitched	chr1(.):15710406-15711593	1.2183
1_MACS_peak_252_lociStitched	chr1(.):15727034-15729144	2.2023
1_MACS_peak_253_lociStitched	chr1(.):15731117-15732856	1.4631
1_MACS_peak_254_lociStitched	chr1(.):15735319-15737306	1.7568
2_MACS_peak_255_lociStitched	chr1(.):15781757-15783078	1.2787
2_MACS_peak_257_lociStitched	chr1(.):15849651-15854203	2.5695
1_MACS_peak_259_lociStitched	chr1(.):15905905-15906468	0.7672
2_MACS_peak_260_lociStitched	chr1(.):15911005-15911860	1.4913
1_MACS_peak_262_lociStitched	chr1(.):15929539-15930004	0.9531
2_MACS_peak_263_lociStitched	chr1(.):15943446-15945364	1.9323
2_MACS_peak_265_lociStitched	chr1(.):16010074-16011932	2.4184
1_MACS_peak_267_lociStitched	chr1(.):16023611-16023967	0.7407
1_MACS_peak_268_lociStitched	chr1(.):16159215-16163468	6.1508
1_MACS_peak_269_lociStitched	chr1(.):16173242-16175745	2.6835
1_MACS_peak_270_lociStitched	chr1(.):16177875-16178684	1.0692
1_MACS_peak_271_lociStitched	chr1(.):16212526-16212957	0.8397
1_MACS_peak_272_lociStitched	chr1(.):16275236-16277522	2.2075
2_MACS_peak_273_lociStitched	chr1(.):16291386-16294095	1.5359
2_MACS_peak_275_lociStitched	chr1(.):16301567-16303371	1.3777
2_MACS_peak_277_lociStitched	chr1(.):16338863-16343089	1.4363
2_MACS_peak_279_lociStitched	chr1(.):16385252-16386010	0.6234
1_MACS_peak_281_lociStitched	chr1(.):16400204-16400889	1.2874
1_MACS_peak_282_lociStitched	chr1(.):16405593-16406511	0.8744
2_MACS_peak_283_lociStitched	chr1(.):16467212-16468465	1.0187
2_MACS_peak_285_lociStitched	chr1(.):16532556-16534185	2.0716
1_MACS_peak_287_lociStitched	chr1(.):16543122-16543961	0.8906
2_MACS_peak_288_lociStitched	chr1(.):16562782-16565498	2.5794
2_MACS_peak_290_lociStitched	chr1(.):16574936-16575978	0.8898
1_MACS_peak_292_lociStitched	chr1(.):16678103-16679679	3.0702
1_MACS_peak_293_lociStitched	chr1(.):16692970-16695147	3.9183
1_MACS_peak_294_lociStitched	chr1(.):16767175-16767986	2.9846
1_MACS_peak_295_lociStitched	chr1(.):16825783-16826345	0.9821
1_MACS_peak_296_lociStitched	chr1(.):16832452-16832953	1.2924
1_MACS_peak_298_lociStitched	chr1(.):16939172-16940813	2.9389
1_MACS_peak_299_lociStitched	chr1(.):16946641-16947770	1.372
1_MACS_peak_300_lociStitched	chr1(.):16969999-16972177	5.6016
1_MACS_peak_301_lociStitched	chr1(.):16991484-16994637	6.2605
2_MACS_peak_302_lociStitched	chr1(.):17012028-17013470	1.6834
1_MACS_peak_304_lociStitched	chr1(.):17026793-17028454	1.9888
1_MACS_peak_305_lociStitched	chr1(.):17065812-17068711	6.5582
1_MACS_peak_306_lociStitched	chr1(.):17098065-17100775	1.6982
1_MACS_peak_307_lociStitched	chr1(.):17185665-17186059	0.7206
1_MACS_peak_308_lociStitched	chr1(.):17221413-17224518	5.2641
1_MACS_peak_309_lociStitched	chr1(.):17229340-17233221	7.3911
1_MACS_peak_310_lociStitched	chr1(.):17240643-17241378	2.0036
2_MACS_peak_311_lociStitched	chr1(.):17379697-17381143	1.9411
1_MACS_peak_313_lociStitched	chr1(.):17407864-17408152	0.6299
1_MACS_peak_314_lociStitched	chr1(.):17645708-17646599	0.9869
3_MACS_peak_315_lociStitched	chr1(.):17763882-17769150	2.4232
1_MACS_peak_318_lociStitched	chr1(.):19228465-19229870	1.8241
1_MACS_peak_319_lociStitched	chr1(.):19252647-19254293	1.5403
1_MACS_peak_320_lociStitched	chr1(.):19276559-19278727	1.2535
1_MACS_peak_321_lociStitched	chr1(.):19535253-19538234	3.7225
1_MACS_peak_322_lociStitched	chr1(.):19567372-19567931	0.9476
1_MACS_peak_323_lociStitched	chr1(.):19577247-19579190	4.2865
2_MACS_peak_324_lociStitched	chr1(.):19637982-19639627	2.1483
1_MACS_peak_326_lociStitched	chr1(.):19811137-19813241	3.2102
1_MACS_peak_327_lociStitched	chr1(.):19835690-19836049	0.7238
1_MACS_peak_328_lociStitched	chr1(.):19922221-19924883	4.1074
1_MACS_peak_329_lociStitched	chr1(.):20091395-20092029	0.8036
2_MACS_peak_330_lociStitched	chr1(.):20125727-20126861	1.0389
1_MACS_peak_332_lociStitched	chr1(.):20208735-20209766	1.9279
2_MACS_peak_333_lociStitched	chr1(.):20415761-20417118	0.7375
1_MACS_peak_335_lociStitched	chr1(.):20833619-20835085	2.5367
1_MACS_peak_336_lociStitched	chr1(.):20960186-20960566	0.9906
2_MACS_peak_337_lociStitched	chr1(.):20986969-20988752	2.0967
1_MACS_peak_339_lociStitched	chr1(.):21059757-21060327	1.2413
2_MACS_peak_340_lociStitched	chr1(.):21112058-21114595	2.8614
2_MACS_peak_342_lociStitched	chr1(.):21502153-21503579	1.8912
2_MACS_peak_344_lociStitched	chr1(.):21615881-21617874	1.5905
2_MACS_peak_346_lociStitched	chr1(.):21618485-21623610	3.4398
1_MACS_peak_348_lociStitched	chr1(.):21660362-21661484	1.8367
2_MACS_peak_349_lociStitched	chr1(.):21671127-21672565	1.0595
2_MACS_peak_351_lociStitched	chr1(.):21766120-21767538	1.3011
1_MACS_peak_353_lociStitched	chr1(.):22030056-22030581	0.7107
1_MACS_peak_354_lociStitched	chr1(.):22105099-22110848	6.0694
3_MACS_peak_355_lociStitched	chr1(.):22117262-22120051	2.3565
1_MACS_peak_358_lociStitched	chr1(.):22160145-22160573	0.7099
1_MACS_peak_359_lociStitched	chr1(.):22192905-22193387	0.7962
1_MACS_peak_360_lociStitched	chr1(.):22259680-22260615	0.9974
1_MACS_peak_361_lociStitched	chr1(.):22263954-22264515	1.0447
1_MACS_peak_362_lociStitched	chr1(.):22283516-22283837	0.5887
2_MACS_peak_363_lociStitched	chr1(.):22349792-22353619	4.8323
1_MACS_peak_365_lociStitched	chr1(.):22365905-22367192	1.1895
1_MACS_peak_366_lociStitched	chr1(.):22378625-22380652	3.0039
1_MACS_peak_367_lociStitched	chr1(.):22445062-22445379	1.0302
1_MACS_peak_368_lociStitched	chr1(.):22488969-22490638	1.1223
1_MACS_peak_369_lociStitched	chr1(.):22778395-22779173	1.4291
1_MACS_peak_370_lociStitched	chr1(.):23345351-23346991	1.8583
1_MACS_peak_371_lociStitched	chr1(.):23494873-23495348	0.9054
1_MACS_peak_372_lociStitched	chr1(.):23669442-23671973	5.0576
2_MACS_peak_373_lociStitched	chr1(.):23694000-23696328	1.8068
2_MACS_peak_375_lociStitched	chr1(.):23810210-23811174	0.8435
1_MACS_peak_377_lociStitched	chr1(.):23823700-23824346	0.9165
1_MACS_peak_378_lociStitched	chr1(.):23850345-23858845	3.1085
1_MACS_peak_379_lociStitched	chr1(.):23859536-23861140	1.1586
1_MACS_peak_380_lociStitched	chr1(.):23864008-23864648	0.7991
1_MACS_peak_381_lociStitched	chr1(.):23865697-23866363	1.1883
1_MACS_peak_382_lociStitched	chr1(.):23871462-23871954	0.7302
1_MACS_peak_383_lociStitched	chr1(.):23878599-23879001	0.7397
1_MACS_peak_384_lociStitched	chr1(.):23880328-23886682	2.8337
1_MACS_peak_385_lociStitched	chr1(.):23887956-23889024	1.2182
5_MACS_peak_386_lociStitched	chr1(.):23900649-23904851	1.061
1_MACS_peak_391_lociStitched	chr1(.):23916397-23921740	5.3062
2_MACS_peak_392_lociStitched	chr1(.):23937114-23941545	2.2884
1_MACS_peak_394_lociStitched	chr1(.):23944915-23947523	2.2664
1_MACS_peak_395_lociStitched	chr1(.):23952947-23954875	1.6286
1_MACS_peak_396_lociStitched	chr1(.):23961720-23962124	1.2711
1_MACS_peak_397_lociStitched	chr1(.):24017812-24019387	3.2774
1_MACS_peak_398_lociStitched	chr1(.):24045240-24048554	1.6569
1_MACS_peak_399_lociStitched	chr1(.):24055394-24056050	0.8093
1_MACS_peak_400_lociStitched	chr1(.):24059813-24060565	0.8001
1_MACS_peak_401_lociStitched	chr1(.):24062965-24064896	1.304
1_MACS_peak_402_lociStitched	chr1(.):24069316-24071541	2.174
1_MACS_peak_403_lociStitched	chr1(.):24085071-24085906	0.9043
1_MACS_peak_404_lociStitched	chr1(.):24086850-24087598	0.87
1_MACS_peak_405_lociStitched	chr1(.):24103918-24105681	2.6095
2_MACS_peak_406_lociStitched	chr1(.):24117048-24118291	1.2799
2_MACS_peak_408_lociStitched	chr1(.):24125952-24128023	1.9365
1_MACS_peak_410_lociStitched	chr1(.):24136405-24136823	0.8716
1_MACS_peak_411_lociStitched	chr1(.):24151172-24152611	2.3656
1_MACS_peak_412_lociStitched	chr1(.):24194331-24194817	0.9484
1_MACS_peak_413_lociStitched	chr1(.):24246193-24247173	1.566
1_MACS_peak_414_lociStitched	chr1(.):24284617-24287639	5.623
1_MACS_peak_415_lociStitched	chr1(.):24290733-24291627	0.8045
1_MACS_peak_416_lociStitched	chr1(.):24305377-24307732	5.2005
1_MACS_peak_417_lociStitched	chr1(.):24469023-24469761	1.208
3_MACS_peak_418_lociStitched	chr1(.):24476612-24479659	1.9919
1_MACS_peak_421_lociStitched	chr1(.):24503778-24504231	0.7033
1_MACS_peak_422_lociStitched	chr1(.):24512474-24520479	3.7589
3_MACS_peak_423_lociStitched	chr1(.):24524372-24526228	1.1327
2_MACS_peak_426_lociStitched	chr1(.):24528518-24533487	2.4783
1_MACS_peak_428_lociStitched	chr1(.):24548034-24549518	1.2818
1_MACS_peak_429_lociStitched	chr1(.):24552594-24555027	1.6247
1_MACS_peak_430_lociStitched	chr1(.):24647542-24649939	3.007
1_MACS_peak_431_lociStitched	chr1(.):24677253-24679463	1.1424
1_MACS_peak_432_lociStitched	chr1(.):24690783-24692938	1.7391
1_MACS_peak_433_lociStitched	chr1(.):24710418-24711951	1.654
2_MACS_peak_434_lociStitched	chr1(.):24714931-24720542	1.7672
1_MACS_peak_436_lociStitched	chr1(.):24739639-24740278	1.4379
1_MACS_peak_437_lociStitched	chr1(.):24742268-24743046	1.2343
2_MACS_peak_438_lociStitched	chr1(.):24827869-24830278	1.6156
2_MACS_peak_440_lociStitched	chr1(.):24861284-24863078	1.3412
1_MACS_peak_442_lociStitched	chr1(.):24867367-24867790	0.7035
3_MACS_peak_443_lociStitched	chr1(.):24881970-24887579	5.5645
1_MACS_peak_446_lociStitched	chr1(.):24894195-24894529	0.4914
1_MACS_peak_447_lociStitched	chr1(.):24910060-24911953	1.9837
1_MACS_peak_448_lociStitched	chr1(.):24913128-24913931	1.2252
1_MACS_peak_449_lociStitched	chr1(.):24960786-24961440	0.6009
2_MACS_peak_450_lociStitched	chr1(.):24967722-24971075	5.5866
1_MACS_peak_452_lociStitched	chr1(.):25030908-25032862	2.3965
1_MACS_peak_453_lociStitched	chr1(.):25053224-25054790	1.4363
3_MACS_peak_454_lociStitched	chr1(.):25069930-25077363	2.758
1_MACS_peak_457_lociStitched	chr1(.):25174653-25175329	1.1047
2_MACS_peak_458_lociStitched	chr1(.):25254718-25257576	2.3497
1_MACS_peak_460_lociStitched	chr1(.):25290898-25293201	2.0822
1_MACS_peak_461_lociStitched	chr1(.):25343254-25346140	2.1658
1_MACS_peak_462_lociStitched	chr1(.):25347126-25351231	2.9449
1_MACS_peak_463_lociStitched	chr1(.):25353527-25354186	0.6901
2_MACS_peak_464_lociStitched	chr1(.):25354954-25356100	0.8236
2_MACS_peak_466_lociStitched	chr1(.):25356964-25359727	1.4672
1_MACS_peak_468_lociStitched	chr1(.):25557837-25560332	3.5702
1_MACS_peak_469_lociStitched	chr1(.):25562780-25564694	1.3965
1_MACS_peak_470_lociStitched	chr1(.):25565622-25567552	2.9611
2_MACS_peak_471_lociStitched	chr1(.):25572850-25574813	3.5453
2_MACS_peak_473_lociStitched	chr1(.):25593066-25594893	2.8981
1_MACS_peak_475_lociStitched	chr1(.):25663096-25666017	4.0995
2_MACS_peak_476_lociStitched	chr1(.):25756084-25758434	2.8749
1_MACS_peak_478_lociStitched	chr1(.):25793540-25793900	0.7175
1_MACS_peak_479_lociStitched	chr1(.):25833000-25833378	0.7491
1_MACS_peak_480_lociStitched	chr1(.):25869982-25871680	2.0477
3_MACS_peak_481_lociStitched	chr1(.):25874097-25879193	3.2696
1_MACS_peak_484_lociStitched	chr1(.):25888060-25889869	1.1782
2_MACS_peak_485_lociStitched	chr1(.):25942374-25943916	1.2839
3_MACS_peak_487_lociStitched	chr1(.):25945747-25948897	0.9405
2_MACS_peak_490_lociStitched	chr1(.):25949539-25950779	0.9181
1_MACS_peak_492_lociStitched	chr1(.):25953161-25953599	0.7747
2_MACS_peak_493_lociStitched	chr1(.):25955406-25956393	0.943
3_MACS_peak_495_lociStitched	chr1(.):25967602-25970816	1.1267
1_MACS_peak_498_lociStitched	chr1(.):26145952-26147305	1.8132
1_MACS_peak_499_lociStitched	chr1(.):26185210-26185961	2.2437
1_MACS_peak_500_lociStitched	chr1(.):26230549-26232957	3.1076
1_MACS_peak_501_lociStitched	chr1(.):26323653-26324578	1.1978
1_MACS_peak_502_lociStitched	chr1(.):26361570-26363005	1.288
2_MACS_peak_503_lociStitched	chr1(.):26419975-26422080	2.7103
2_MACS_peak_505_lociStitched	chr1(.):26436676-26441522	3.2477
1_MACS_peak_507_lociStitched	chr1(.):26444441-26444743	0.6943
4_MACS_peak_508_lociStitched	chr1(.):26445374-26454388	1.9112
1_MACS_peak_512_lociStitched	chr1(.):26496348-26497341	4.5889
2_MACS_peak_513_lociStitched	chr1(.):26506070-26507444	1.2335
2_MACS_peak_515_lociStitched	chr1(.):26559911-26561748	2.9765
1_MACS_peak_517_lociStitched	chr1(.):26564125-26564611	0.7777
2_MACS_peak_518_lociStitched	chr1(.):26605889-26607215	1.2018
2_MACS_peak_520_lociStitched	chr1(.):26612790-26615294	1.401
1_MACS_peak_522_lociStitched	chr1(.):26633184-26634070	1.8287
1_MACS_peak_523_lociStitched	chr1(.):26637566-26638865	1.221
1_MACS_peak_524_lociStitched	chr1(.):26663020-26663786	1.0485
2_MACS_peak_525_lociStitched	chr1(.):26758011-26759616	2.5479
1_MACS_peak_527_lociStitched	chr1(.):26773958-26774546	0.892
