GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
NM_016406	chr1(.):161118533-161133646	0.2107
NM_004550	chr1(.):161164104-161189184	0.215
NM_000309	chr1(.):161131180-161146010	0.2187
NM_001643	chr1(.):161187082-161198418	0.2458
NM_001185094	chr1(.):161082907-161095984	0.1955
NM_003779	chr1(.):161136100-161152314	0.2436
NM_012475	chr1(.):161124253-161140516	0.2226
NM_001039712	chr1(.):161085768-161107256	0.1991
NM_005600	chr1(.):161082861-161095984	0.1948
NM_001185093	chr1(.):161082906-161095984	0.1954
NM_032174	chr1(.):161190832-161205407	0.205
NM_001166159	chr1(.):161166936-161189184	0.2093
NM_005099	chr1(.):161154537-161173845	0.2275
NM_004106	chr1(.):161180086-161194038	0.1767
NM_007240	chr1(.):161714580-161731952	0.1782
NM_002922	chr1(.):192539856-192554159	0.2616
NM_001195216	chr1(.):197698138-197749623	0.1864
NM_001031725	chr1(.):200608164-200644126	0.1622
NR_034150	chr1(.):203262885-203279453	0.2622
NM_003465	chr1(.):203180206-203203860	0.1582
NM_006763	chr1(.):203269663-203283729	0.2592
NM_002023	chr1(.):203304751-203325289	0.1705
NM_002646	chr1(.):204386757-204464474	0.1488
NM_002393	chr1(.):204480510-204532248	0.1984
NM_014858	chr1(.):205192037-205247471	0.191
NM_001007544	chr1(.):206233871-206293647	0.1787
NM_148964	chr1(.):206312458-206337104	0.1354
NM_006893	chr1(.):206759973-206790904	0.1782
NM_182665	chr1(.):206725491-206767616	0.2221
NR_026817	chr1(.):207986723-208000941	0.2386
NR_029832	chr1(.):207970196-207980284	0.1945
NR_029518	chr1(.):207970787-207980868	0.1952
NM_021194	chr1(.):211743380-211757099	0.2497
NM_001748	chr1(.):223895118-223968720	0.1787
NM_001146068	chr1(.):223884294-223968720	0.1786
NM_001136018	chr1(.):225992796-226038262	0.1611
NM_000120	chr1(.):226008001-226038262	0.1552
NM_020997	chr1(.):226068981-226081836	0.1505
NM_014698	chr1(.):226028232-226075420	0.1944
NM_013328	chr1(.):226102579-226116965	0.19
NM_181441	chr1(.):228289379-228302013	0.1846
NR_037415	chr1(.):228279963-228290042	0.1888
NM_001024227	chr1(.):228265850-228291913	0.2228
NM_001024226	chr1(.):228265360-228291913	0.2201
NM_024319	chr1(.):228283427-228296022	0.1775
NM_001159390	chr1(.):228322928-228341655	0.1372
NM_182972	chr1(.):234735014-234750271	0.2666
NR_033927	chr1(.):234760056-234775526	0.1513
NM_014600	chr2(.):31451879-31496260	0.0996
NM_001083590	chr2(.):27250773-27269565	0.1326
NM_020458	chr2(.):47163312-47308275	0.1246
NR_033872	chr2(.):70184394-70319147	0.1152
NR_015395	chr2(.):112119590-112257692	0.139
NR_024373	chr2(.):112181885-112257692	0.1575
NM_001099289	chr2(.):109740996-110267207	0.0976
NM_015488	chr2(.):219130114-219216516	0.1168
NM_022152	chr2(.):219133916-219162280	0.1576
NM_001012514	chr2(.):231724620-231748963	0.0717
NM_145693	chr2(.):11881739-11972533	0.1328
NM_005813	chr2(.):37472645-37549222	0.1519
NM_006449	chr2(.):37865742-37904326	0.1345
NM_019063	chr2(.):42391489-42564688	0.1157
NM_012249	chr2(.):46764866-46816827	0.1479
NM_022893	chr2(.):60679328-60785633	0.1096
NM_018014	chr2(.):60673301-60785633	0.1096
NM_014755	chr2(.):64853754-64886046	0.1344
NR_036586	chr2(.):65123973-65164581	0.1523
NM_002398	chr2(.):66657531-66804891	0.0986
NR_027749	chr2(.):74705199-74726691	0.1234
NM_004836	chr2(.):88851258-88932094	0.1379
NM_144563	chr2(.):88986175-89055452	0.1268
NM_020151	chr2(.):96845602-96879573	0.1208
NM_004027	chr2(.):99056320-99212496	0.1519
NM_001566	chr2(.):99056320-99203284	0.1549
NM_001017927	chr2(.):120055019-120129258	0.1168
NM_002410	chr2(.):135006829-135211468	0.1223
NR_024415	chr2(.):192537797-192558248	0.1492
NM_001031716	chr2(.):192537860-192558248	0.1497
NM_004226	chr2(.):196993306-197041336	0.1366
NM_153697	chr2(.):197959194-198180521	0.1177
NM_001195144	chr2(.):197846385-198180521	0.1125
NM_001228	chr2(.):202093165-202157434	0.164
NM_003879	chr2(.):201975889-202034003	0.1469
NM_001127184	chr2(.):201975815-202011323	0.1629
NM_173822	chr2(.):201833440-201941392	0.1162
NM_033358	chr2(.):202093165-202151638	0.1687
NM_001167608	chr2(.):227695670-227868923	0.1128
NM_022730	chr2(.):232646161-232678434	0.0621
NM_005737	chr2(.):235396685-235410693	0.0714
NM_001137551	chr2(.):238595806-238695290	0.0578
NM_001137550	chr2(.):238531223-238695290	0.054
NM_017844	chr2(.):241413838-241502405	0.0498
NM_001195381	chr2(.):241539824-241575676	0.0392
NM_001037160	chr2(.):10191925-10225538	0.0825
NM_182626	chr2(.):10276508-10356856	0.1022
NM_001165931	chr2(.):10257694-10276546	0.1652
NM_001034	chr2(.):10257862-10276546	0.1665
NM_002997	chr2(.):20395557-20429927	0.1664
NM_001006946	chr2(.):20395557-20430194	0.1654
NM_004040	chr2(.):20641834-20654201	0.1266
NM_178553	chr2(.):27354714-27367332	0.1169
NM_007046	chr2(.):27296434-27314265	0.1384
NM_001166239	chr2(.):27318461-27346773	0.1063
NM_001166240	chr2(.):27317220-27346995	0.1059
NM_013388	chr2(.):27348624-27362542	0.1292
NM_006488	chr2(.):27304610-27328619	0.1057
NM_001035507	chr2(.):27269490-27287403	0.1381
NM_021831	chr2(.):27269490-27298490	0.1351
NM_001166241	chr2(.):27317220-27338970	0.1011
NM_032604	chr2(.):27341656-27358680	0.1352
NM_175769	chr2(.):27366944-27380819	0.1266
NM_001134693	chr2(.):27288341-27299567	0.1332
NM_080592	chr2(.):27429898-27445046	0.1544
NM_001170795	chr2(.):27430218-27445046	0.1565
NM_021095	chr2(.):27417454-27440175	0.1305
NM_001145122	chr2(.):31390921-31445411	0.1147
NM_012413	chr2(.):37566752-37605465	0.185
NM_138370	chr2(.):42270160-42290668	0.0893
NM_006887	chr2(.):43444540-43458745	0.1849
NR_027251	chr2(.):43449349-43460994	0.1505
NM_080653	chr2(.):46733985-46752096	0.097
NM_173074	chr2(.):46803412-46849251	0.1194
NM_014171	chr2(.):46839324-46857881	0.1261
NM_001171507	chr2(.):47124008-47148251	0.1345
NM_001171506	chr2(.):47124008-47148007	0.1352
NM_001171508	chr2(.):47124008-47173994	0.1273
NR_033837	chr2(.):64407212-64437619	0.1407
NR_034023	chr2(.):64829445-64848616	0.1141
NM_001193493	chr2(.):65210578-65256000	0.1406
NM_003038	chr2(.):65211494-65256000	0.1399
NM_181784	chr2(.):65532984-65664656	0.1203
NM_001128210	chr2(.):65532984-65598931	0.1056
NM_014882	chr2(.):68996932-69058957	0.117
NM_001166277	chr2(.):68956912-69058957	0.1277
NM_006196	chr2(.):70309584-70321334	0.1601
NR_024444	chr2(.):70346167-70357448	0.1715
NM_053050	chr2(.):74694108-74704927	0.1385
NM_032779	chr2(.):74694958-74715357	0.1357
NM_001146158	chr2(.):74683183-74697537	0.1585
NM_001015056	chr2(.):74647987-74672710	0.112
NM_012477	chr2(.):74680576-74693010	0.1861
NM_001145054	chr2(.):74636302-74649844	0.1225
NM_001015055	chr2(.):74647987-74674060	0.1108
NM_031288	chr2(.):74677198-74690087	0.1665
NM_032118	chr2(.):74643884-74657882	0.0986
NM_016170	chr2(.):74736595-74749275	0.0844
NM_001009812	chr2(.):74719643-74735443	0.1372
NM_032673	chr2(.):74727169-74739821	0.1513
NR_024606	chr2(.):74724743-74737192	0.1555
NM_015425	chr2(.):86248450-86338278	0.1347
NM_017952	chr2(.):86328304-86374280	0.1333
NR_026984	chr2(.):86242338-86255991	0.1053
NR_015424	chr2(.):89060418-89111109	0.1352
NM_001193304	chr2(.):96910945-96936751	0.1277
NM_001037228	chr2(.):96900976-96912701	0.1591
NM_004804	chr2(.):96926883-96944900	0.1244
NR_026875	chr2(.):97158382-97178846	0.1198
NM_212481	chr2(.):97197463-97223371	0.1699
NM_002101	chr2(.):127408683-127459246	0.1088
NR_024275	chr2(.):135201959-135217192	0.1131
NM_004288	chr2(.):158266130-158305604	0.1626
NM_002610	chr2(.):173415778-173468862	0.1368
NM_002491	chr2(.):201931461-201955473	0.1296
NM_001127183	chr2(.):201978386-202033841	0.1471
NM_032974	chr2(.):202042620-202099110	0.1618
NM_001230	chr2(.):202042620-202091383	0.1534
NM_033356	chr2(.):202120222-202157434	0.1539
NM_001080125	chr2(.):202117753-202157434	0.1561
NM_006139	chr2(.):204566197-204607557	0.1587
NM_152862	chr2(.):219076873-219124071	0.1311
NM_000634	chr2(.):219022567-219036716	0.1029
NM_001077194	chr2(.):219120737-219133582	0.0989
NM_005731	chr2(.):219077119-219124071	0.1311
NM_001087	chr2(.):219123851-219139893	0.1282
NM_022572	chr2(.):219182901-219216516	0.0959
NM_017431	chr2(.):219682105-219701512	0.0861
NM_025216	chr2(.):219740254-219763651	0.1668
NM_006522	chr2(.):219719545-219743954	0.0986
NM_006000	chr2(.):220110000-220123638	0.167
NM_001042410	chr2(.):220089609-220106391	0.1351
NR_026909	chr2(.):220105200-220120059	0.1618
NM_018089	chr2(.):220089478-220106391	0.1347
NR_003063	chr2(.):220112964-220141910	0.1153
NM_005689	chr2(.):220069493-220088672	0.1296
NM_024085	chr2(.):220079101-220099361	0.1448
NM_006736	chr2(.):220139039-220156622	0.1195
NM_138802	chr2(.):220066537-220079370	0.1117
NM_024506	chr2(.):220096502-220115131	0.1357
NM_001008910	chr2(.):220105191-220120059	0.1617
NR_029688	chr2(.):220153832-220163922	0.1249
NM_005544	chr2(.):227591032-227668506	0.1098
NM_001099285	chr2(.):232568234-232583250	0.0916
NM_002601	chr2(.):232592146-232650974	0.0632
NR_036052	chr2(.):232573023-232583105	0.0922
NR_031717	chr2(.):232751951-232762008	0.0407
NM_004735	chr2(.):238595806-238679558	0.0586
NM_022817	chr2(.):239147678-239202207	0.0568
NR_026923	chr2(.):239135326-239147985	0.0729
NM_001142853	chr2(.):239141907-239153681	0.0799
NR_026926	chr2(.):239128753-239145318	0.0641
NM_023083	chr2(.):241521132-241543526	0.0586
NM_001033575	chr2(.):241494470-241508431	0.0792
NM_018226	chr2(.):241503103-241523143	0.0698
NM_014674	chr3(.):5224358-5266650	0.1355
NM_001195099	chr3(.):15703743-15803058	0.1094
NM_001195098	chr3(.):15703743-15844691	0.1171
NM_015199	chr3(.):15703743-15906053	0.1192
NM_016128	chr3(.):128963452-129001616	0.1454
NM_003571	chr3(.):133113789-133199056	0.1357
NM_207294	chr3(.):152012193-152188569	0.1238
NM_021038	chr3(.):151980828-152188568	0.1276
NM_001135095	chr3(.):171753343-172123492	0.1816
NM_022763	chr3(.):171752417-172123492	0.1816
NM_181361	chr3(.):178249223-178567217	0.1446
NM_001134382	chr3(.):12933718-13119617	0.1106
NM_024923	chr3(.):13352736-13466809	0.1093
NM_014869	chr3(.):12933718-13013960	0.0984
NM_144636	chr3(.):14148576-14171371	0.1549
NM_003884	chr3(.):20076523-20200896	0.1101
NM_182666	chr3(.):23842438-23937807	0.1262
NM_001024847	chr3(.):30642993-30740633	0.1238
NM_001123396	chr3(.):46390234-46405868	0.1468
NM_181042	chr3(.):52574367-52718739	0.1062
NM_018313	chr3(.):52574367-52724866	0.1088
NM_015541	chr3(.):66424220-66555845	0.108
NM_007114	chr3(.):69063977-69106484	0.1149
NM_001185106	chr3(.):111388522-111570294	0.1093
NM_001134437	chr3(.):111446326-111700364	0.1027
NM_001009899	chr3(.):113362232-113420493	0.1053
NM_001690	chr3(.):113460865-113535905	0.1116
NM_002213	chr3(.):124476794-124611144	0.1213
NM_001134422	chr3(.):133287433-133314118	0.1459
NM_001134423	chr3(.):133288300-133314118	0.1487
NM_006506	chr3(.):141200925-141336197	0.1208
NM_001080412	chr3(.):141038054-141173632	0.1629
NM_016275	chr3(.):150316065-150353234	0.1448
NM_005067	chr3(.):150453909-150486263	0.129
NM_001190242	chr3(.):159969773-160106554	0.1498
NM_001190241	chr3(.):159969773-160122320	0.155
NM_024665	chr3(.):176733541-176920048	0.1853
NM_005832	chr3(.):178271617-178567217	0.1425
NM_130446	chr3(.):183200318-183278499	0.2374
NM_173216	chr3(.):186643314-186801341	0.189
NM_003032	chr3(.):186734664-186801341	0.1959
NM_005524	chr3(.):193848933-193861396	0.2174
NM_003670	chr3(.):5016096-5031865	0.1399
NM_018184	chr3(.):5158929-5227601	0.1109
NM_024334	chr3(.):14161439-14190180	0.1279
NR_027694	chr3(.):20016452-20058765	0.0987
NM_001295	chr3(.):46238199-46254832	0.1816
NM_001837	chr3(.):46278871-46313197	0.1183
NM_003965	chr3(.):46443720-46456014	0.1151
NM_001100168	chr3(.):46406632-46422697	0.1431
NM_001130910	chr3(.):46444048-46456014	0.1147
NM_003212	chr3(.):46614075-46628952	0.0886
NM_001174136	chr3(.):46611044-46628952	0.0949
NM_024512	chr3(.):46551877-46613011	0.1343
NM_031440	chr3(.):46534484-46547439	0.1407
NM_199074	chr3(.):49052907-49065926	0.1704
NM_199073	chr3(.):49053617-49065926	0.1718
NM_017730	chr3(.):49062141-49136504	0.1172
NM_177939	chr3(.):49022340-49049581	0.1188
NM_018031	chr3(.):49039636-49058386	0.1369
NM_000884	chr3(.):49056761-49071875	0.1672
NM_018114	chr3(.):49047434-49063467	0.1472
NM_199070	chr3(.):49054073-49065926	0.1727
NM_001009996	chr3(.):49047434-49061017	0.1476
NR_029690	chr3(.):49053050-49063142	0.172
NR_029948	chr3(.):49052580-49062667	0.1649
NM_001010983	chr3(.):52723503-52745048	0.1594
NM_206825	chr3(.):52714935-52733510	0.1491
NR_003687	chr3(.):52719753-52729846	0.1553
NM_014041	chr3(.):52734856-52747197	0.1583
NR_003057	chr3(.):52721751-52731828	0.1484
NM_152932	chr3(.):52723503-52742622	0.1563
NR_003047	chr3(.):52718255-52728331	0.1576
NM_001193533	chr3(.):52739795-52809965	0.1109
NM_198195	chr3(.):69098880-69134524	0.1242
NM_006407	chr3(.):69129089-69160239	0.1522
NM_198271	chr3(.):69151038-69176746	0.1159
NR_036087	chr3(.):69093108-69103186	0.1403
NM_006100	chr3(.):98446571-98518236	0.1503
NM_145037	chr3(.):101493028-101552075	0.135
NM_001134456	chr3(.):101493285-101552075	0.1353
NM_001005474	chr3(.):101541833-101584869	0.1292
NM_001190259	chr3(.):111834687-111857152	0.1433
NM_024616	chr3(.):111800181-111842044	0.1366
NR_030292	chr3(.):111826647-111836745	0.1311
NM_025146	chr3(.):113432840-113470096	0.1414
NR_031687	chr3(.):125504246-125514395	0.1127
NM_001127196	chr3(.):128881657-128907810	0.1339
NM_020701	chr3(.):128841258-128885073	0.1078
NM_020187	chr3(.):128992683-129029135	0.1413
NM_001006109	chr3(.):128992816-129029135	0.1408
NM_006026	chr3(.):129028613-129040120	0.1833
NR_026991	chr3(.):129030113-129048412	0.1497
NM_001184721	chr3(.):148704194-148750456	0.1212
NR_027037	chr3(.):151975404-151992415	0.1383
NR_034008	chr3(.):156802669-156823924	0.2447
NR_034007	chr3(.):156794455-156845791	0.2035
NM_173084	chr3(.):160148290-160172626	0.1869
NR_029663	chr3(.):160117375-160127473	0.2214
NM_005496	chr3(.):160113346-160157741	0.1957
NM_001002800	chr3(.):160112429-160157741	0.194
NR_029525	chr3(.):160117532-160127613	0.2156
NR_027622	chr3(.):169656771-169689522	0.2145
NM_182610	chr3(.):169624481-169661948	0.1693
NM_003262	chr3(.):169679579-169721161	0.1819
NM_198565	chr3(.):196361655-196393874	0.1841
NM_003215	chr4(.):48132799-48276814	0.1216
NM_201431	chr4(.):74433861-74491340	0.1212
NM_177532	chr4(.):74433861-74491134	0.1216
NM_020859	chr4(.):77351252-77709405	0.1165
NM_144571	chr4(.):78629540-78745544	0.1134
NM_198281	chr4(.):90160428-90234161	0.1637
NM_001034845	chr4(.):172729574-173966558	0.0916
NM_006527	chr4(.):1689526-1719030	0.1279
NM_147127	chr4(.):5559145-5715294	0.1056
NM_001166136	chr4(.):5559145-5716275	0.1056
NM_153717	chr4(.):5707923-5821031	0.1044
NM_016531	chr4(.):38660789-38708129	0.1155
NM_015173	chr4(.):37887719-38145794	0.1161
NR_026804	chr4(.):38609321-38671249	0.0983
NM_004310	chr4(.):40193526-40251281	0.1708
NM_001136570	chr4(.):77167852-77209929	0.0933
NM_001166693	chr4(.):87851153-88067206	0.1207
NM_024900	chr4(.):129725778-129790787	0.1266
NM_199320	chr4(.):129725778-129801379	0.1288
NM_002039	chr4(.):144252982-144400718	0.1309
NM_002199	chr4(.):185303875-185400726	0.1497
NM_031953	chr4(.):186126283-186290120	0.1312
NM_001013622	chr4(.):1636607-1690718	0.079
NM_001174070	chr4(.):1636607-1690988	0.0789
NM_001127266	chr4(.):1712678-1728084	0.1305
NM_006342	chr4(.):1718265-1751897	0.112
NR_031688	chr4(.):9552788-9562937	0.1216
NM_017581	chr4(.):40332468-40361973	0.0907
NM_001076	chr4(.):69398132-69439240	0.1049
NM_001077	chr4(.):69397902-69439245	0.1047
NM_001076	chr4(.):69507314-69541374	0.1043
NM_031889	chr4(.):71489460-71517536	0.1028
NM_144646	chr4(.):71516257-71537348	0.1577
NM_020368	chr4(.):71549195-71561268	0.1345
NM_014961	chr4(.):71582695-71664274	0.1041
NM_001130709	chr4(.):71565653-71660614	0.1089
NM_017426	chr4(.):77030816-77074655	0.1011
NM_005506	chr4(.):77074893-77140035	0.1393
NM_020236	chr4(.):78778804-78878944	0.1108
NM_144645	chr4(.):87792357-87818575	0.1022
NM_014395	chr4(.):100732980-100796346	0.1364
NM_003998	chr4(.):103417485-103543459	0.1279
NM_025212	chr4(.):105388342-105417467	0.1225
NM_002372	chr5(.):109020155-109208429	0.1337
NM_001131005	chr5(.):88009057-88204922	0.1401
NM_002397	chr5(.):88009057-88184283	0.143
NM_001193349	chr5(.):88009057-88124744	0.1393
NM_001131055	chr5(.):175080039-175118245	0.1156
NM_001040446	chr5(.):32222110-32318114	0.1195
NM_024669	chr5(.):55390506-55534186	0.1231
NR_015436	chr5(.):87831596-87985620	0.1029
NM_152624	chr5(.):112307432-112361667	0.1216
