FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/data/projects/MM_TRN/bam_files_jin/	MM.1S.jin	hg19	MM.1S.H3K27ac	MM.1S.Input	NA	MM.1S.H3K27ac_peaks.bed	44,240,158	NA
/data/projects/MM_TRN/bam_files_jin/	MM24.jin	hg19	MM24.H3K27ac	MM24.Input	NA	MM24.H3K27ac_peaks.bed	91,251,114	NA
/data/projects/MM_TRN/bam_files_jin/	MM25.jin	hg19	MM25.H3K27ac	MM25.Input	NA	MM25.H3K27ac_peaks.bed	142,255,73	NA
/data/projects/MM_TRN/bam_files_jin/	MM2.jin	hg19	MM2.H3K27ac	MM2.Input	NA	MM2.H3K27ac_peaks.bed	181,248,54	NA
/data/projects/MM_TRN/bam_files_jin/	MM3.jin	hg19	MM3.H3K27ac	MM3.Input	NA	MM3.H3K27ac_peaks.bed	214,230,53	NA
/data/projects/MM_TRN/bam_files_jin/	MM5.jin	hg19	MM5.H3K27ac	MM5.Input	NA	MM5.H3K27ac_peaks.bed	239,205,58	NA
/data/projects/MM_TRN/bam_files_jin/	MM8.jin	hg19	MM8.H3K27ac	MM8.Input	NA	MM8.H3K27ac_peaks.bed	252,176,54	NA
/data/projects/MM_TRN/bam_files_jin/	MOLP-2.jin	hg19	MOLP-2.H3K27ac	MOLP-2.Input	NA	MOLP-2.H3K27ac_peaks.bed	253,138,38	NA
/data/projects/MM_TRN/bam_files_jin/	MOLP-8.jin	hg19	MOLP-8.H3K27ac	MOLP-8.Input	NA	MOLP-8.H3K27ac_peaks.bed	243,98,21	NA
/data/projects/MM_TRN/bam_files_jin/	NCI-H929.jin	hg19	NCI-H929.H3K27ac	NCI-H929.Input	NA	NCI-H929.H3K27ac_peaks.bed	225,66,9	NA
/data/projects/MM_TRN/bam_files_jin/	OPM-2.jin	hg19	OPM-2.H3K27ac	OPM-2.Input	NA	OPM-2.H3K27ac_peaks.bed	200,40,3	NA
/data/projects/MM_TRN/bam_files_jin/	RPMI8226.jin	hg19	RPMI8226.H3K27ac	RPMI8226.Input	NA	RPMI8226.H3K27ac_peaks.bed	165,19,1	NA
/data/projects/MM_TRN/bam_files_jin/	U266.jin	hg19	U266.H3K27ac	U266.Input	NA	U266.H3K27ac_peaks.bed	122,4,3	NA
/data/projects/MM_TRN/bam_files/	MM1_jia	hg19	MM1_jia	MM1_bg	NA	MM1_jia_peaks.bed	48,18,59	NA
/data/projects/MM_TRN/bam_files/	MM2_jia	hg19	MM2_jia	MM2_bg	NA	MM2_jia_peaks.bed	70,98,215	NA
/data/projects/MM_TRN/bam_files/	MM3_jia	hg19	MM3_jia	MM3_bg	NA	MM3_jia_peaks.bed	54,170,249	NA
/data/projects/MM_TRN/bam_files/	MM4_jia	hg19	MM4_jia	MM4_bg	NA	MM4_jia_peaks.bed	26,228,182	NA
/data/projects/MM_TRN/bam_files/	MM5_jia	hg19	MM5_jia	MM5_bg	NA	MM5_jia_peaks.bed	114,254,94	NA
/data/projects/MM_TRN/bam_files/	MM6_jia	hg19	MM6_jia	MM6_bg	NA	MM6_jia_peaks.bed	199,239,52	NA
/data/projects/MM_TRN/bam_files/	MM7_jia	hg19	MM7_jia	MM7_bg	NA	MM7_jia_peaks.bed	250,186,57	NA
/data/projects/MM_TRN/bam_files/	MM8_jia	hg19	MM8_jia	MM8_bg	NA	MM8_jia_peaks.bed	246,107,25	NA
/data/projects/MM_TRN/bam_files/	MM9_jia	hg19	MM9_jia	MM9_bg	NA	MM9_jia_peaks.bed	203,42,4	NA
/data/projects/MM_TRN/bam_files/	MM10_jia	hg19	MM10_jia	MM10_bg	NA	MM10_jia_peaks.bed	122,4,3	NA
