GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
1_MACS_peak_81_lociStitched	chr1(.):6684300-6686669	1.8948
1_MACS_peak_82_lociStitched	chr1(.):6760876-6762209	2.3271
2_MACS_peak_83_lociStitched	chr1(.):6843692-6846592	2.3953
1_MACS_peak_85_lociStitched	chr1(.):6961362-6962275	0.4827
1_MACS_peak_86_lociStitched	chr1(.):6978144-6979790	1.8021
1_MACS_peak_87_lociStitched	chr1(.):7831006-7832394	1.4068
2_MACS_peak_88_lociStitched	chr1(.):8013993-8022661	0.5826
1_MACS_peak_90_lociStitched	chr1(.):8455180-8456184	0.629
3_MACS_peak_91_lociStitched	chr1(.):8650395-8665232	0.3335
1_MACS_peak_94_lociStitched	chr1(.):8740503-8741676	0.5992
2_MACS_peak_95_lociStitched	chr1(.):8760899-8765620	1.0268
1_MACS_peak_97_lociStitched	chr1(.):8771914-8773516	0.9132
1_MACS_peak_98_lociStitched	chr1(.):8876259-8878723	1.8749
1_MACS_peak_99_lociStitched	chr1(.):8937167-8939907	3.4509
1_MACS_peak_100_lociStitched	chr1(.):9139686-9141550	1.1881
1_MACS_peak_101_lociStitched	chr1(.):9222258-9226214	3.8814
1_MACS_peak_102_lociStitched	chr1(.):9241201-9243178	1.0228
1_MACS_peak_103_lociStitched	chr1(.):9294476-9295663	1.0519
2_MACS_peak_104_lociStitched	chr1(.):9485407-9489768	0.9005
1_MACS_peak_106_lociStitched	chr1(.):9599171-9600781	0.8219
1_MACS_peak_107_lociStitched	chr1(.):9648515-9650291	1.1064
1_MACS_peak_108_lociStitched	chr1(.):9776775-9778768	1.9771
1_MACS_peak_109_lociStitched	chr1(.):9846380-9848715	1.705
1_MACS_peak_110_lociStitched	chr1(.):9882860-9884166	1.173
2_MACS_peak_111_lociStitched	chr1(.):9969019-9971683	1.5375
2_MACS_peak_113_lociStitched	chr1(.):10002218-10011528	0.6921
1_MACS_peak_115_lociStitched	chr1(.):10050305-10051842	0.6363
1_MACS_peak_116_lociStitched	chr1(.):10078585-10079423	0.4349
1_MACS_peak_117_lociStitched	chr1(.):10092283-10094453	2.6607
1_MACS_peak_118_lociStitched	chr1(.):10228580-10231523	1.6462
1_MACS_peak_119_lociStitched	chr1(.):10249016-10250869	1.4142
1_MACS_peak_120_lociStitched	chr1(.):10260237-10261549	0.871
1_MACS_peak_121_lociStitched	chr1(.):10269530-10271714	1.4426
2_MACS_peak_122_lociStitched	chr1(.):10310603-10314776	1.263
1_MACS_peak_124_lociStitched	chr1(.):10458189-10460211	1.6653
1_MACS_peak_125_lociStitched	chr1(.):10489808-10491734	1.993
1_MACS_peak_126_lociStitched	chr1(.):10504422-10505834	1.0164
1_MACS_peak_127_lociStitched	chr1(.):10516419-10518129	0.9264
2_MACS_peak_128_lociStitched	chr1(.):10531716-10535871	0.8851
1_MACS_peak_130_lociStitched	chr1(.):10554632-10556089	0.8043
1_MACS_peak_131_lociStitched	chr1(.):11071442-11073910	7.7154
1_MACS_peak_132_lociStitched	chr1(.):11118620-11121372	2.0451
1_MACS_peak_133_lociStitched	chr1(.):11158823-11160644	3.0058
1_MACS_peak_134_lociStitched	chr1(.):11286962-11288076	0.657
1_MACS_peak_135_lociStitched	chr1(.):11321635-11323494	1.5561
1_MACS_peak_136_lociStitched	chr1(.):11332825-11334547	4.2069
1_MACS_peak_137_lociStitched	chr1(.):11538487-11539811	4.7621
2_MACS_peak_138_lociStitched	chr1(.):11623281-11631860	1.1785
1_MACS_peak_140_lociStitched	chr1(.):11723900-11725438	0.7352
1_MACS_peak_141_lociStitched	chr1(.):11740414-11742158	1.532
1_MACS_peak_142_lociStitched	chr1(.):11795811-11798187	1.4149
1_MACS_peak_143_lociStitched	chr1(.):11843144-11845862	1.1981
1_MACS_peak_144_lociStitched	chr1(.):11864700-11867412	3.1289
1_MACS_peak_145_lociStitched	chr1(.):11967482-11970674	7.3253
1_MACS_peak_146_lociStitched	chr1(.):11984293-11987391	0.9548
1_MACS_peak_147_lociStitched	chr1(.):11994033-11995433	0.9751
1_MACS_peak_148_lociStitched	chr1(.):12039542-12041415	3.0224
1_MACS_peak_149_lociStitched	chr1(.):12079117-12080589	1.3643
2_MACS_peak_150_lociStitched	chr1(.):12106966-12113079	0.6989
2_MACS_peak_152_lociStitched	chr1(.):12221200-12227781	0.7803
1_MACS_peak_154_lociStitched	chr1(.):12234087-12234437	0.6257
1_MACS_peak_155_lociStitched	chr1(.):12270037-12271401	0.5689
1_MACS_peak_156_lociStitched	chr1(.):12289728-12291554	1.1987
1_MACS_peak_157_lociStitched	chr1(.):12495301-12496622	0.5344
1_MACS_peak_158_lociStitched	chr1(.):13824529-13825956	0.5466
1_MACS_peak_159_lociStitched	chr1(.):14026057-14027411	0.826
1_MACS_peak_160_lociStitched	chr1(.):14056587-14058360	1.6938
1_MACS_peak_161_lociStitched	chr1(.):14074867-14077139	1.66
1_MACS_peak_162_lociStitched	chr1(.):14155209-14156390	0.8852
1_MACS_peak_163_lociStitched	chr1(.):14237875-14239410	0.8819
2_MACS_peak_164_lociStitched	chr1(.):14246874-14254436	0.6756
1_MACS_peak_166_lociStitched	chr1(.):14271973-14273470	0.8997
1_MACS_peak_167_lociStitched	chr1(.):14293483-14295053	0.6335
2_MACS_peak_168_lociStitched	chr1(.):14336381-14344455	0.7695
2_MACS_peak_170_lociStitched	chr1(.):14362877-14367568	1.959
2_MACS_peak_172_lociStitched	chr1(.):14500937-14508581	0.5262
1_MACS_peak_174_lociStitched	chr1(.):14687107-14688359	0.6341
1_MACS_peak_175_lociStitched	chr1(.):14695605-14697097	0.7262
1_MACS_peak_176_lociStitched	chr1(.):15059149-15059913	0.4722
1_MACS_peak_177_lociStitched	chr1(.):15160991-15164417	3.3701
2_MACS_peak_178_lociStitched	chr1(.):15202936-15209278	0.3304
3_MACS_peak_180_lociStitched	chr1(.):15500243-15506478	0.5346
1_MACS_peak_183_lociStitched	chr1(.):15735660-15737576	1.093
2_MACS_peak_184_lociStitched	chr1(.):15850123-15854395	1.2039
3_MACS_peak_186_lociStitched	chr1(.):15897306-15912165	0.8246
1_MACS_peak_189_lociStitched	chr1(.):15942654-15945729	1.8346
1_MACS_peak_190_lociStitched	chr1(.):16009973-16012057	1.6949
1_MACS_peak_191_lociStitched	chr1(.):16022671-16024944	2.0583
1_MACS_peak_192_lociStitched	chr1(.):16160004-16163450	6.2734
2_MACS_peak_193_lociStitched	chr1(.):16173097-16179031	2.2089
1_MACS_peak_195_lociStitched	chr1(.):16301553-16303023	1.2096
1_MACS_peak_196_lociStitched	chr1(.):16400112-16400982	0.524
1_MACS_peak_197_lociStitched	chr1(.):16532465-16534240	0.9324
1_MACS_peak_198_lociStitched	chr1(.):16562478-16564386	1.3518
1_MACS_peak_199_lociStitched	chr1(.):16677510-16679741	1.7641
1_MACS_peak_200_lociStitched	chr1(.):16692909-16695349	4.2045
1_MACS_peak_201_lociStitched	chr1(.):16766835-16771563	1.4693
2_MACS_peak_202_lociStitched	chr1(.):16825022-16833244	0.3035
1_MACS_peak_205_lociStitched	chr1(.):16938747-16941717	1.3899
1_MACS_peak_206_lociStitched	chr1(.):16968860-16972515	5.547
1_MACS_peak_207_lociStitched	chr1(.):16991933-16994570	32.322
2_MACS_peak_208_lociStitched	chr1(.):17065980-17075542	9.0231
2_MACS_peak_210_lociStitched	chr1(.):17221404-17233111	10.3566
1_MACS_peak_212_lociStitched	chr1(.):17239726-17241539	1.1897
1_MACS_peak_213_lociStitched	chr1(.):17286528-17288087	1.0777
1_MACS_peak_214_lociStitched	chr1(.):17379483-17381130	1.6749
2_MACS_peak_215_lociStitched	chr1(.):17763420-17768774	1.2728
1_MACS_peak_217_lociStitched	chr1(.):19228346-19230111	6.9506
1_MACS_peak_218_lociStitched	chr1(.):19252373-19255093	3.6684
2_MACS_peak_219_lociStitched	chr1(.):19276867-19283482	0.7418
1_MACS_peak_221_lociStitched	chr1(.):19535542-19538180	2.5755
1_MACS_peak_222_lociStitched	chr1(.):19577067-19579406	4.185
1_MACS_peak_223_lociStitched	chr1(.):19637546-19639756	2.2796
1_MACS_peak_224_lociStitched	chr1(.):19810601-19813351	2.241
1_MACS_peak_225_lociStitched	chr1(.):19821697-19823049	0.6186
1_MACS_peak_226_lociStitched	chr1(.):19922326-19924695	4.4902
1_MACS_peak_227_lociStitched	chr1(.):20125460-20127608	1.7537
1_MACS_peak_228_lociStitched	chr1(.):20208419-20209905	2.035
1_MACS_peak_229_lociStitched	chr1(.):20404558-20405410	0.392
1_MACS_peak_230_lociStitched	chr1(.):20415706-20416861	0.6794
1_MACS_peak_231_lociStitched	chr1(.):20833508-20835314	1.6225
1_MACS_peak_232_lociStitched	chr1(.):20959615-20960837	0.9239
2_MACS_peak_233_lociStitched	chr1(.):20984655-20988869	1.1509
1_MACS_peak_235_lociStitched	chr1(.):21022832-21023838	0.6196
1_MACS_peak_236_lociStitched	chr1(.):21111822-21114904	2.7435
1_MACS_peak_237_lociStitched	chr1(.):21290731-21291971	0.832
1_MACS_peak_238_lociStitched	chr1(.):21348316-21349729	1.4827
2_MACS_peak_239_lociStitched	chr1(.):21501968-21503890	0.9862
1_MACS_peak_241_lociStitched	chr1(.):21615704-21622605	4.2568
1_MACS_peak_242_lociStitched	chr1(.):21660192-21661759	1.2618
1_MACS_peak_243_lociStitched	chr1(.):21670893-21672924	0.9805
1_MACS_peak_244_lociStitched	chr1(.):21754716-21755440	0.3508
1_MACS_peak_245_lociStitched	chr1(.):21765928-21767582	1.1188
1_MACS_peak_246_lociStitched	chr1(.):22026452-22027649	0.5662
1_MACS_peak_247_lociStitched	chr1(.):22099774-22100877	0.4554
1_MACS_peak_248_lociStitched	chr1(.):22107351-22110668	6.451
1_MACS_peak_249_lociStitched	chr1(.):22117583-22119138	2.3723
1_MACS_peak_250_lociStitched	chr1(.):22191613-22194559	2.3428
1_MACS_peak_251_lociStitched	chr1(.):22263853-22264601	0.6203
1_MACS_peak_252_lociStitched	chr1(.):22350285-22353475	4.2636
1_MACS_peak_253_lociStitched	chr1(.):22365748-22367422	1.4476
1_MACS_peak_254_lociStitched	chr1(.):22378483-22380725	2.5229
1_MACS_peak_255_lociStitched	chr1(.):22777806-22779629	1.6757
1_MACS_peak_256_lociStitched	chr1(.):22820394-22822177	1.5644
1_MACS_peak_257_lociStitched	chr1(.):22834308-22835717	0.6101
1_MACS_peak_258_lociStitched	chr1(.):23345520-23347053	1.0015
1_MACS_peak_259_lociStitched	chr1(.):23493966-23495714	0.5897
1_MACS_peak_260_lociStitched	chr1(.):23668683-23671893	3.5484
1_MACS_peak_261_lociStitched	chr1(.):23694035-23696664	1.632
1_MACS_peak_262_lociStitched	chr1(.):23850389-23858871	5.1185
2_MACS_peak_263_lociStitched	chr1(.):23880572-23886392	0.6786
3_MACS_peak_265_lociStitched	chr1(.):23937954-23954387	0.5448
1_MACS_peak_268_lociStitched	chr1(.):24017898-24019697	2.627
1_MACS_peak_269_lociStitched	chr1(.):24069137-24071990	1.7941
1_MACS_peak_270_lociStitched	chr1(.):24103924-24105966	1.5138
1_MACS_peak_271_lociStitched	chr1(.):24116989-24118743	1.2697
1_MACS_peak_272_lociStitched	chr1(.):24125824-24128146	1.8752
1_MACS_peak_273_lociStitched	chr1(.):24151006-24152773	1.7912
1_MACS_peak_274_lociStitched	chr1(.):24181006-24182743	0.9959
1_MACS_peak_275_lociStitched	chr1(.):24193777-24194919	1.2186
1_MACS_peak_276_lociStitched	chr1(.):24246160-24247309	0.6109
2_MACS_peak_277_lociStitched	chr1(.):24284770-24292163	1.9486
1_MACS_peak_279_lociStitched	chr1(.):24305048-24307862	4.2153
1_MACS_peak_280_lociStitched	chr1(.):24357672-24358204	0.5151
1_MACS_peak_281_lociStitched	chr1(.):24468595-24470019	0.8444
1_MACS_peak_282_lociStitched	chr1(.):24476683-24478783	1.3671
1_MACS_peak_283_lociStitched	chr1(.):24500424-24501178	0.3974
4_MACS_peak_284_lociStitched	chr1(.):24512325-24533646	2.6198
1_MACS_peak_288_lociStitched	chr1(.):24645472-24650220	2.8277
1_MACS_peak_289_lociStitched	chr1(.):24677101-24678309	0.6422
3_MACS_peak_290_lociStitched	chr1(.):24710326-24720296	1.0794
2_MACS_peak_293_lociStitched	chr1(.):24739391-24743954	0.9089
1_MACS_peak_295_lociStitched	chr1(.):24807452-24808742	0.4507
1_MACS_peak_296_lociStitched	chr1(.):24827611-24830496	1.3519
1_MACS_peak_297_lociStitched	chr1(.):24861227-24862455	0.9945
1_MACS_peak_298_lociStitched	chr1(.):24967948-24971471	4.2217
2_MACS_peak_299_lociStitched	chr1(.):25048600-25054839	0.3958
2_MACS_peak_301_lociStitched	chr1(.):25069771-25076492	2.0576
1_MACS_peak_303_lociStitched	chr1(.):25174439-25175527	0.938
1_MACS_peak_304_lociStitched	chr1(.):25254405-25257780	2.4344
1_MACS_peak_305_lociStitched	chr1(.):25290939-25292783	2.2037
1_MACS_peak_306_lociStitched	chr1(.):25347854-25350638	7.2027
1_MACS_peak_307_lociStitched	chr1(.):25358169-25359189	0.607
4_MACS_peak_308_lociStitched	chr1(.):25557963-25574911	1.0673
1_MACS_peak_312_lociStitched	chr1(.):25592664-25594929	2.2288
1_MACS_peak_313_lociStitched	chr1(.):25663152-25666196	3.0415
1_MACS_peak_314_lociStitched	chr1(.):25756069-25758611	1.5429
3_MACS_peak_315_lociStitched	chr1(.):25869684-25879329	2.9003
1_MACS_peak_318_lociStitched	chr1(.):25886690-25890426	1.7907
2_MACS_peak_319_lociStitched	chr1(.):25942071-25947677	1.4962
1_MACS_peak_321_lociStitched	chr1(.):25967624-25970361	7.5966
1_MACS_peak_322_lociStitched	chr1(.):26001764-26003442	1.6984
2_MACS_peak_323_lociStitched	chr1(.):26126110-26127554	0.5107
1_MACS_peak_325_lociStitched	chr1(.):26145580-26148155	2.2754
1_MACS_peak_326_lociStitched	chr1(.):26185211-26186495	0.834
1_MACS_peak_327_lociStitched	chr1(.):26230956-26233338	1.5272
1_MACS_peak_328_lociStitched	chr1(.):26323091-26325448	1.1596
1_MACS_peak_329_lociStitched	chr1(.):26361617-26362895	0.6829
3_MACS_peak_330_lociStitched	chr1(.):26436860-26453830	0.7605
1_MACS_peak_333_lociStitched	chr1(.):26496045-26497320	1.4391
1_MACS_peak_334_lociStitched	chr1(.):26503581-26504645	0.5657
1_MACS_peak_335_lociStitched	chr1(.):26559974-26562169	2.0766
1_MACS_peak_336_lociStitched	chr1(.):26578212-26580000	0.9056
3_MACS_peak_337_lociStitched	chr1(.):26601936-26614685	0.6525
1_MACS_peak_340_lociStitched	chr1(.):26632160-26634815	1.4482
1_MACS_peak_341_lociStitched	chr1(.):26758202-26759695	1.3179
1_MACS_peak_342_lociStitched	chr1(.):26797918-26800437	3.3687
1_MACS_peak_343_lociStitched	chr1(.):26826299-26828683	5.2716
1_MACS_peak_344_lociStitched	chr1(.):26856159-26857253	0.8785
3_MACS_peak_345_lociStitched	chr1(.):26866151-26873282	1.1503
1_MACS_peak_348_lociStitched	chr1(.):26945983-26948602	6.531
1_MACS_peak_349_lociStitched	chr1(.):27003800-27004606	0.6168
1_MACS_peak_350_lociStitched	chr1(.):27018358-27030692	2.937
3_MACS_peak_351_lociStitched	chr1(.):27061634-27072418	0.9908
1_MACS_peak_354_lociStitched	chr1(.):27112612-27116176	3.6973
4_MACS_peak_355_lociStitched	chr1(.):27147234-27167217	0.9041
1_MACS_peak_359_lociStitched	chr1(.):27190218-27193129	5.2525
1_MACS_peak_360_lociStitched	chr1(.):27215743-27217617	2.624
1_MACS_peak_361_lociStitched	chr1(.):27225770-27227779	2.345
1_MACS_peak_362_lociStitched	chr1(.):27247654-27249287	1.7128
1_MACS_peak_363_lociStitched	chr1(.):27286020-27287623	1.0381
1_MACS_peak_364_lociStitched	chr1(.):27463265-27464064	0.4822
1_MACS_peak_365_lociStitched	chr1(.):27480852-27482457	1.3293
1_MACS_peak_366_lociStitched	chr1(.):27560277-27562739	0.7491
1_MACS_peak_367_lociStitched	chr1(.):27648111-27650013	2.0833
1_MACS_peak_368_lociStitched	chr1(.):27667807-27669083	0.5247
1_MACS_peak_369_lociStitched	chr1(.):27675523-27676388	0.5923
1_MACS_peak_370_lociStitched	chr1(.):27692794-27693760	0.5864
1_MACS_peak_371_lociStitched	chr1(.):27718364-27719733	0.6171
1_MACS_peak_372_lociStitched	chr1(.):27744401-27745877	0.9376
2_MACS_peak_373_lociStitched	chr1(.):27761476-27766251	1.0057
1_MACS_peak_375_lociStitched	chr1(.):27815458-27817873	8.8948
1_MACS_peak_376_lociStitched	chr1(.):27826270-27827150	0.5973
1_MACS_peak_377_lociStitched	chr1(.):27929682-27930768	0.5024
1_MACS_peak_378_lociStitched	chr1(.):27985756-27986930	0.6219
1_MACS_peak_379_lociStitched	chr1(.):27998315-27999426	0.6572
1_MACS_peak_380_lociStitched	chr1(.):28051542-28053736	1.3646
1_MACS_peak_381_lociStitched	chr1(.):28098828-28100725	1.0491
1_MACS_peak_382_lociStitched	chr1(.):28156299-28158311	2.6247
1_MACS_peak_383_lociStitched	chr1(.):28239966-28241928	2.1468
1_MACS_peak_384_lociStitched	chr1(.):28285626-28287332	1.445
2_MACS_peak_385_lociStitched	chr1(.):28352905-28362944	0.8649
1_MACS_peak_387_lociStitched	chr1(.):28396004-28397412	0.5557
1_MACS_peak_388_lociStitched	chr1(.):28413550-28416138	2.2033
1_MACS_peak_389_lociStitched	chr1(.):28474020-28475451	0.7399
1_MACS_peak_390_lociStitched	chr1(.):28498569-28499922	0.5593
2_MACS_peak_391_lociStitched	chr1(.):28558524-28563921	1.2806
1_MACS_peak_393_lociStitched	chr1(.):28570449-28577182	2.2246
1_MACS_peak_394_lociStitched	chr1(.):28585182-28587336	1.2774
1_MACS_peak_395_lociStitched	chr1(.):28654832-28656627	3.1179
1_MACS_peak_396_lociStitched	chr1(.):28695441-28697470	2.0928
1_MACS_peak_397_lociStitched	chr1(.):28764103-28765333	0.4651
3_MACS_peak_398_lociStitched	chr1(.):28827242-28846256	1.3544
1_MACS_peak_401_lociStitched	chr1(.):28878416-28881309	3.6619
2_MACS_peak_402_lociStitched	chr1(.):28903219-28914459	1.4351
1_MACS_peak_404_lociStitched	chr1(.):28924437-28929637	2.3105
2_MACS_peak_405_lociStitched	chr1(.):28968302-28976310	2.6994
1_MACS_peak_407_lociStitched	chr1(.):28994423-28996932	3.3865
1_MACS_peak_408_lociStitched	chr1(.):29062439-29064989	3.7502
1_MACS_peak_409_lociStitched	chr1(.):29101360-29102359	0.8461
2_MACS_peak_410_lociStitched	chr1(.):29210827-29214864	1.0918
1_MACS_peak_412_lociStitched	chr1(.):29240125-29242510	1.3994
1_MACS_peak_413_lociStitched	chr1(.):29252752-29255421	0.8885
1_MACS_peak_414_lociStitched	chr1(.):29506561-29509623	5.0654
1_MACS_peak_415_lociStitched	chr1(.):29556366-29558058	1.1008
1_MACS_peak_416_lociStitched	chr1(.):30349239-30350573	0.4868
1_MACS_peak_417_lociStitched	chr1(.):30901711-30903089	0.6322
1_MACS_peak_418_lociStitched	chr1(.):30995851-30996637	0.5524
1_MACS_peak_419_lociStitched	chr1(.):31190533-31192664	1.472
1_MACS_peak_420_lociStitched	chr1(.):31213663-31231492	4.4119
1_MACS_peak_421_lociStitched	chr1(.):31255264-31256151	0.9202
1_MACS_peak_422_lociStitched	chr1(.):31536290-31539296	2.6295
1_MACS_peak_423_lociStitched	chr1(.):31627937-31628818	0.6594
1_MACS_peak_424_lociStitched	chr1(.):31768414-31770825	2.5128
1_MACS_peak_425_lociStitched	chr1(.):31867099-31868308	0.5874
1_MACS_peak_426_lociStitched	chr1(.):31886027-31886894	0.5356
1_MACS_peak_427_lociStitched	chr1(.):31913905-31915561	0.9096
2_MACS_peak_428_lociStitched	chr1(.):31943911-31951229	0.7727
1_MACS_peak_430_lociStitched	chr1(.):32070881-32072253	0.6632
1_MACS_peak_431_lociStitched	chr1(.):32109340-32111463	4.5925
1_MACS_peak_432_lociStitched	chr1(.):32135198-32136356	0.4901
1_MACS_peak_433_lociStitched	chr1(.):32209636-32211788	1.8008
1_MACS_peak_434_lociStitched	chr1(.):32253268-32255293	1.7728
1_MACS_peak_435_lociStitched	chr1(.):32401997-32404846	1.3098
1_MACS_peak_436_lociStitched	chr1(.):32421176-32422421	0.6012
2_MACS_peak_437_lociStitched	chr1(.):32446034-32451949	0.8451
1_MACS_peak_439_lociStitched	chr1(.):32478410-32481191	3.0846
1_MACS_peak_440_lociStitched	chr1(.):32537512-32539492	1.9891
1_MACS_peak_441_lociStitched	chr1(.):32572850-32575366	2.1141
1_MACS_peak_442_lociStitched	chr1(.):32644622-32646732	2.3471
1_MACS_peak_443_lociStitched	chr1(.):32670887-32672103	1.5199
1_MACS_peak_444_lociStitched	chr1(.):32686991-32689101	2.0507
1_MACS_peak_445_lociStitched	chr1(.):32705755-32706811	0.6144
1_MACS_peak_446_lociStitched	chr1(.):32713391-32716735	2.0335
1_MACS_peak_447_lociStitched	chr1(.):32756739-32758859	1.3774
3_MACS_peak_448_lociStitched	chr1(.):32798415-32804084	0.5717
1_MACS_peak_451_lociStitched	chr1(.):32816483-32818155	1.0384
1_MACS_peak_452_lociStitched	chr1(.):32859091-32861210	2.3202
1_MACS_peak_453_lociStitched	chr1(.):32965596-32966817	1.183
1_MACS_peak_454_lociStitched	chr1(.):32985956-32987000	0.823
1_MACS_peak_455_lociStitched	chr1(.):33004509-33006106	0.5565
2_MACS_peak_456_lociStitched	chr1(.):33088163-33095387	2.146
1_MACS_peak_458_lociStitched	chr1(.):33114542-33118127	5.0258
1_MACS_peak_459_lociStitched	chr1(.):33206735-33208567	0.8074
1_MACS_peak_460_lociStitched	chr1(.):33281682-33285454	4.5636
2_MACS_peak_461_lociStitched	chr1(.):33428976-33430898	1.2315
1_MACS_peak_463_lociStitched	chr1(.):33445822-33448438	1.6192
1_MACS_peak_464_lociStitched	chr1(.):33457210-33459207	1.2443
1_MACS_peak_465_lociStitched	chr1(.):33501228-33503020	1.6055
1_MACS_peak_466_lociStitched	chr1(.):33546157-33547362	0.6503
1_MACS_peak_467_lociStitched	chr1(.):33564157-33566224	2.278
1_MACS_peak_468_lociStitched	chr1(.):33592086-33594446	2.3461
1_MACS_peak_469_lociStitched	chr1(.):33646301-33647985	0.6374
2_MACS_peak_470_lociStitched	chr1(.):33720827-33723330	0.8398
1_MACS_peak_472_lociStitched	chr1(.):33814327-33816469	1.1565
1_MACS_peak_473_lociStitched	chr1(.):33895803-33896640	0.5751
1_MACS_peak_474_lociStitched	chr1(.):33925239-33927677	1.6852
1_MACS_peak_475_lociStitched	chr1(.):33937296-33938974	0.6956
1_MACS_peak_476_lociStitched	chr1(.):34514514-34515603	0.8911
1_MACS_peak_477_lociStitched	chr1(.):34825823-34828136	0.6475
2_MACS_peak_478_lociStitched	chr1(.):35324206-35332758	1.197
