GENE_ID	locusLine	bin_1_RPMI8226.jin.bam
NM_006196	chr2(.):70309584-70321334	2.0687
NR_024444	chr2(.):70346167-70357448	0.6065
NM_015425	chr2(.):86248450-86338278	0.3005
NR_026984	chr2(.):86242338-86255991	0.1121
NM_001768	chr2(.):87006727-87023837	0.0703
NM_172213	chr2(.):87037459-87094047	0.8345
NM_004931	chr2(.):87063688-87094047	1.4272
NM_002371	chr2(.):95686478-95724735	0.5281
NR_026875	chr2(.):97158382-97178846	0.0933
NM_212481	chr2(.):97197463-97223371	0.7789
NM_001144013	chr2(.):107016135-107089801	0.0787
NM_006538	chr2(.):111873490-111931022	0.3012
NM_207002	chr2(.):111873490-111891423	0.75
NR_037450	chr2(.):134879695-134889763	2.1596
NM_001172712	chr2(.):174766186-174835430	0.2471
NM_001017371	chr2(.):174766186-174833947	0.251
NM_006139	chr2(.):204566197-204607557	0.4176
NM_001099285	chr2(.):232568234-232583250	1.2385
NR_036052	chr2(.):232573023-232583105	0.8536
NM_014674	chr3(.):5224358-5266650	0.5327
NM_005862	chr3(.):136050998-136476245	0.1053
NM_207294	chr3(.):152012193-152188569	0.18
NM_021038	chr3(.):151980828-152188568	0.2632
NM_024923	chr3(.):13352736-13466809	0.2701
NM_144636	chr3(.):14148576-14171371	0.8196
NM_033027	chr3(.):39178341-39200102	0.751
NM_001080412	chr3(.):141038054-141173632	0.5763
NM_005067	chr3(.):150453909-150486263	0.6808
NM_024665	chr3(.):176733541-176920048	0.2691
NM_024334	chr3(.):14161439-14190180	0.6276
NM_181472	chr3(.):32428162-32501333	0.4832
NM_031899	chr3(.):39133090-39154130	0.2893
NM_145755	chr3(.):39144151-39185394	0.2047
NM_194293	chr3(.):39219706-39239077	0.3376
NM_001198621	chr3(.):39219705-39239085	0.3375
NM_001199149	chr3(.):46472495-46510161	0.0991
NM_002343	chr3(.):46472495-46511598	0.0984
NM_031440	chr3(.):46534484-46547439	0.8792
NM_000539	chr3(.):129242481-129259187	0.1522
NM_153833	chr3(.):129257056-129275204	0.1376
NM_015103	chr3(.):129269055-129330582	0.4118
NM_001145417	chr3(.):135862759-135918310	0.301
NM_018133	chr3(.):135862759-135919688	0.2962
NM_014779	chr3(.):150121787-150182615	0.3129
NR_027037	chr3(.):151975404-151992415	0.951
NM_002886	chr3(.):152875028-152891263	1.1428
NR_034008	chr3(.):156802669-156823924	1.2022
NR_034007	chr3(.):156794455-156845791	0.637
NM_020928	chr5(.):60623099-60846999	0.1636
NM_015315	chr5(.):154087461-154202163	0.2221
NM_001113561	chr5(.):63456670-63673696	0.2661
NM_006633	chr5(.):75694148-76008957	0.1769
NM_001163315	chr5(.):107189733-107722799	0.0902
NM_001085377	chr5(.):112352795-112829527	0.1414
NM_052909	chr5(.):135372-195087	0.338
NM_145265	chr5(.):199874-223297	0.4525
NM_001080478	chr5(.):186625-200468	1.1152
NM_004168	chr5(.):213355-261814	0.2648
NM_001193376	chr5(.):1248286-1300162	0.1586
NM_030782	chr5(.):1312999-1350002	0.5255
NM_005921	chr5(.):56105899-56196978	0.3208
NM_178532	chr5(.):63456670-63518339	0.7158
NM_032028	chr5(.):112763250-112775728	0.1496
NR_036052	chr5(.):118305280-118315362	0.0853
NM_001013717	chr5(.):131741672-131803059	0.6819
NM_016480	chr5(.):138672518-138710409	0.1451
NM_194296	chr5(.):138727455-138744776	0.7627
NM_152686	chr5(.):138740891-138780214	0.2513
NM_152685	chr5(.):138697884-138724039	0.2052
NM_001033112	chr5(.):138673133-138710409	0.1465
NM_001161546	chr5(.):138722634-138735885	1.8281
NM_016459	chr5(.):138718256-138730605	2.0271
NM_004417	chr5(.):172190092-172203203	1.3805
NR_031598	chr5(.):179220277-179230346	0.2688
NM_145867	chr5(.):179215985-179228513	0.2299
NM_003900	chr5(.):179242841-179270077	0.5345
NM_016175	chr5(.):179259265-179290840	0.1218
NM_054013	chr5(.):179219597-179234875	0.5003
NM_014275	chr5(.):179219597-179238952	0.4054
NM_001142298	chr5(.):179228387-179270077	0.4815
NM_001142299	chr5(.):179229002-179270077	0.488
NR_037616	chr6(.):7876482-8069647	0.5685
NM_018988	chr6(.):13358818-13492787	0.1921
NM_001949	chr6(.):20397136-20498945	0.2641
NM_001173977	chr6(.):25274655-25625758	0.248
NM_145901	chr6(.):34199649-34219008	0.7228
NM_145903	chr6(.):34199576-34219008	0.7204
NM_145905	chr6(.):34201567-34219008	0.7919
NM_016021	chr6(.):90031343-90067619	0.5409
NM_001455	chr6(.):108877068-109010971	0.3729
NM_201559	chr6(.):108876025-109010971	0.3707
NM_002912	chr6(.):111615233-111809414	0.1097
NM_024630	chr6(.):157797556-158099977	0.1915
NM_020185	chr6(.):287100-356355	2.0731
NM_001145549	chr6(.):7876482-7915310	1.3086
NM_030810	chr6(.):7876482-7916047	1.3682
NM_032744	chr6(.):11708887-11784280	0.4357
NM_033069	chr6(.):13464508-13491415	0.3715
NM_001193267	chr6(.):13569791-13619785	0.4366
NM_012241	chr6(.):13569874-13619785	0.4372
NM_003526	chr6(.):26118694-26129132	1.0524
NM_021065	chr6(.):26194011-26204471	1.3492
NM_003530	chr6(.):26192011-26204464	1.157
NM_138720	chr6(.):26153348-26176576	0.8932
NM_003523	chr6(.):26179023-26189458	0.2267
NM_003539	chr6(.):26183937-26194304	0.2874
NM_003545	chr6(.):26199872-26210249	0.9048
NM_021063	chr6(.):26153348-26163871	1.3815
NM_005321	chr6(.):26151558-26162343	1.3025
NM_003512	chr6(.):26119372-26129918	1.0403
NM_005323	chr6(.):26102639-26113364	0.2697
NM_003522	chr6(.):26194786-26205216	1.5014
NM_003518	chr6(.):26211427-26221872	0.6406
NM_021052	chr6(.):26212147-26222711	0.632
NM_003532	chr6(.):26220382-26230844	0.0812
NM_003547	chr6(.):26241838-26252205	0.4456
NM_003540	chr6(.):26235653-26246021	0.1663
NM_005320	chr6(.):26229439-26240216	0.6214
NM_001145008	chr6(.):26397464-26420444	0.2544
NM_001197240	chr6(.):26378328-26400100	0.2291
NM_001197247	chr6(.):26360397-26383540	0.7267
NM_001197238	chr6(.):26378323-26400100	0.2291
NM_007047	chr6(.):26360397-26383548	0.7269
NM_001197237	chr6(.):26378438-26400100	0.2292
NM_001197248	chr6(.):26360469-26383540	0.7188
NM_001197246	chr6(.):26363405-26383540	0.5169
NM_021066	chr6(.):27777079-27787518	0.4707
NM_003536	chr6(.):27772841-27783314	0.8849
NM_003509	chr6(.):27770976-27781445	0.7685
NM_003519	chr6(.):27770256-27780709	0.7715
NM_003521	chr6(.):27777821-27788267	0.4413
NM_003535	chr6(.):27853092-27863570	1.2057
NM_003527	chr6(.):27856202-27866669	1.259
NM_003520	chr6(.):27801439-27811888	1.3186
NM_003511	chr6(.):27828106-27838576	0.1247
NM_003533	chr6(.):27834622-27845099	0.0855
NM_003510	chr6(.):27800657-27811117	1.3157
NM_003541	chr6(.):27793951-27804305	0.3559
NM_005322	chr6(.):27829569-27840359	0.1377
NM_033057	chr6(.):27873962-27885174	0.1067
NM_021968	chr6(.):27786902-27797258	0.2897
NM_003514	chr6(.):27855476-27865963	1.2516
NM_003546	chr6(.):27835925-27846289	0.0902
NM_006120	chr6(.):32911390-32925899	0.1242
NM_002119	chr6(.):32966959-32982389	0.0623
NM_002118	chr6(.):32897405-32913847	0.1337
NM_005104	chr6(.):32931436-32954282	1.1783
NM_001113182	chr6(.):32933664-32954282	1.2971
NM_001199455	chr6(.):32934371-32954282	1.3408
NM_001199456	chr6(.):32935860-32954282	1.4138
NM_001008703	chr6(.):34209156-34221904	0.1674
NM_003192	chr6(.):42707233-42718884	0.4669
NM_015349	chr6(.):42783793-42841296	0.0869
NM_001171629	chr6(.):43732945-43759223	0.7044
NM_001402	chr6(.):74220472-74235755	1.982
NM_002043	chr6(.):89962238-90029967	0.1455
NR_034109	chr6(.):111799674-111928497	0.1389
NR_034111	chr6(.):111799674-111829811	0.422
NR_034110	chr6(.):111799674-111904383	0.1561
NR_037463	chr6(.):157945163-157955232	0.1242
NM_004289	chr7(.):26186846-26231756	0.1713
NM_030796	chr7(.):55533305-55645200	0.9299
NM_003496	chr7(.):98471112-98615864	0.1914
NR_033766	chr7(.):113721364-114338827	0.1164
NM_001164458	chr7(.):149939300-150025758	0.1898
NM_001080495	chr7(.):5341422-5468177	0.323
NM_006547	chr7(.):23344827-23514995	0.2208
NM_003718	chr7(.):39984958-40141733	0.1481
NM_002541	chr7(.):44641120-44753669	0.3923
NM_001003941	chr7(.):44641120-44721195	0.5058
NM_017984	chr7(.):99993494-100031302	0.5218
NM_017621	chr7(.):102091666-102110321	0.447
NM_182931	chr7(.):104649636-104759532	0.3288
NM_173680	chr7(.):150071405-150100719	0.5767
NR_026676	chr7(.):23525006-23536031	0.0847
NM_031243	chr7(.):26224555-26245413	0.7243
NM_016587	chr7(.):26236323-26257976	0.7101
NM_007276	chr7(.):26236098-26257976	0.703
NM_147128	chr7(.):30318922-30412308	0.4551
NR_030319	chr7(.):30324409-30334506	1.441
NR_037513	chr7(.):30324409-30334506	1.441
NM_182547	chr7(.):44613761-44626827	0.4632
NM_001134450	chr7(.):98439110-98472673	0.123
NR_037403	chr7(.):98474272-98484352	1.4336
NM_030935	chr7(.):100059141-100081902	0.2225
NM_145030	chr7(.):100027911-100039094	0.7436
NM_019606	chr7(.):100022253-100036749	1.5058
NM_001194992	chr7(.):100021412-100036749	1.4303
NM_001004323	chr7(.):100049237-100066894	0.1141
NM_032831	chr7(.):102068995-102102268	1.0842
NM_024653	chr7(.):102031803-102072129	0.5895
NM_006234	chr7(.):102108547-102124381	0.3228
NM_152892	chr7(.):102100389-102118612	0.286
NR_024586	chr7(.):104645988-104659588	1.8044
NM_013400	chr7(.):150060878-150076133	2.7171
NM_014374	chr7(.):150063257-150076133	3.0618
NM_001142928	chr7(.):150015295-150040245	0.4172
NM_002889	chr7(.):150030406-150043763	0.1519
NM_138434	chr7(.):150021937-150034811	0.1578
NR_027237	chr7(.):150097839-150114558	0.9981
NM_001101676	chr8(.):119196694-119639184	0.1423
NM_207506	chr8(.):119385226-119639184	0.1938
NR_003367	chr8(.):128801778-129118499	0.2039
NM_001024678	chr8(.):145742760-145757416	0.7381
NM_001001795	chr8(.):145746602-145759458	0.6693
NM_001135733	chr8(.):95933199-95966615	0.6655
NM_022783	chr8(.):120880899-121068157	0.4258
NM_003033	chr8(.):134462090-134589183	0.3348
NM_015117	chr8(.):144514824-144628620	0.4066
NR_026765	chr8(.):29573775-29610625	0.3232
NM_001135699	chr8(.):101925803-101970221	0.3701
NM_001135700	chr8(.):101925803-101968560	0.3807
NM_145690	chr8(.):101925803-101969357	0.375
NM_003406	chr8(.):101925803-101970623	0.3674
NM_001135702	chr8(.):101925803-101967799	0.3865
NM_024410	chr8(.):103558847-103578245	0.1438
NM_025195	chr8(.):126437562-126455644	1.0863
NM_002467	chr8(.):128743314-128758680	1.173
NR_031609	chr8(.):128803207-128813274	3.1327
NM_001702	chr8(.):143540376-143631368	0.2622
NM_001166237	chr8(.):144630556-144650231	0.3814
NM_024736	chr8(.):144635476-144650231	0.3419
NM_001100878	chr8(.):144643362-144659928	0.3365
NM_145201	chr8(.):144651954-144665513	0.5875
NM_001129888	chr8(.):145684199-145696031	0.334
NM_032687	chr8(.):145684199-145695849	0.339
NM_003923	chr8(.):145694114-145706718	0.4251
NM_032902	chr8(.):145717108-145732504	0.1124
NM_138496	chr8(.):145670314-145695418	0.2115
NM_005309	chr8(.):145724464-145737555	0.974
NM_145754	chr8(.):145686737-145704499	0.4641
NM_138431	chr8(.):145729551-145741589	1.0767
NM_004260	chr8(.):145731666-145748210	1.1228
NM_014665	chr8(.):145738362-145755559	0.6835
NM_001135920	chr9(.):5624326-5774454	0.1539
NM_020829	chr9(.):5651582-5781556	0.0651
NM_005047	chr9(.):123573331-123610206	0.2113
NM_144653	chr9(.):138898202-138992131	0.2119
NM_006401	chr9(.):100740488-100783224	0.4069
NM_197978	chr9(.):100684072-100705526	0.1712
NM_018437	chr9(.):100684072-100712134	0.1475
NM_005658	chr9(.):123659670-123694173	0.5676
NM_015651	chr9(.):123612930-123644606	0.6848
NM_001190945	chr9(.):123659670-123696451	0.5659
NM_001190947	chr9(.):123659670-123681850	0.4896
NM_001009936	chr9(.):123626852-123644606	1.0985
NR_024408	chr9(.):123600319-123621651	0.3147
NM_000050	chr9(.):133315093-133381661	0.3367
NM_032728	chr9(.):134160080-134189649	0.1525
NM_033387	chr9(.):134128464-134156906	0.7689
NM_152833	chr9(.):139001426-139015731	1.7467
NM_017617	chr9(.):139383895-139445238	0.438
NM_001144026	chr9(.):140095118-140118813	0.5116
NM_053045	chr9(.):140093534-140105090	0.6087
NM_000832	chr9(.):140028608-140068214	0.9885
NM_001128228	chr9(.):140081068-140100163	0.628
NM_003731	chr9(.):140078053-140089822	0.6223
NM_001013653	chr9(.):140058211-140069491	3.0132
NM_013366	chr9(.):140064235-140088057	1.3511
NM_031297	chr9(.):140109706-140120775	0.7126
NR_037416	chr9(.):140058637-140068722	3.0895
NM_199001	chr9(.):140114643-140125763	0.8011
NM_001123384	chrX(.):39905498-40041582	0.3639
NM_144495	chrX(.):48750194-48765420	0.3198
NM_001167990	chrX(.):48750212-48765420	0.3201
NM_001032384	chrX(.):48750538-48765420	0.3262
NM_001167992	chrX(.):48750774-48765420	0.3309
NM_005334	chrX(.):153208007-153241819	0.6543
NM_017745	chrX(.):39905498-39961719	0.2911
NM_001167947	chrX(.):48745729-48760426	0.3606
NM_001042498	chrX(.):48755888-48774235	0.3321
NM_001136158	chrX(.):48774302-48819893	0.6467
NM_001136159	chrX(.):48774302-48820648	0.6375
NM_006875	chrX(.):48765458-48781413	0.652
NM_004979	chrX(.):48813638-48833251	0.3351
NM_005660	chrX(.):48755458-48773917	0.3456
NM_001032289	chrX(.):48755889-48773933	0.3222
NM_003491	chrX(.):153190376-153205468	0.7985
NM_001666	chrX(.):153167829-153196714	0.4221
NM_002910	chrX(.):153195721-153215232	0.1879
NM_001025243	chrX(.):153270956-153290342	0.5564
NM_003492	chrX(.):153232990-153253646	1.2263
NR_031757	chrX(.):153280370-153290440	0.7689
NR_036175	chrX(.):153241548-153251627	0.5729
NR_036174	chrX(.):153241547-153251628	0.5729
NR_027653	chr10(.):3813187-3832473	0.6835
NM_032867	chr11(.):12303446-12385691	0.0937
NM_014632	chr11(.):12127137-12290331	0.2454
NM_024092	chr11(.):60676370-60695915	0.4431
NM_001012662	chr11(.):62618483-62661355	0.5722
NM_001013251	chr11(.):62643343-62661355	0.8046
NM_001012661	chr11(.):62618517-62661353	0.5723
NM_024060	chr11(.):62196015-62319332	0.483
NR_037193	chr11(.):62644170-62661355	0.8372
NM_005438	chr11(.):65654691-65672997	0.9494
NM_001077241	chr11(.):65137662-65155142	0.9183
NR_002819	chr11(.):65260232-65278939	1.597
NM_030930	chr11(.):67753574-67776593	1.0447
NM_014824	chr11(.):72542789-72858143	0.1277
NM_012239	chr11(.):210029-241362	0.1282
NM_002817	chr11(.):231807-257984	0.1497
NM_138329	chr11(.):273569-290304	0.2181
NM_006435	chr11(.):303106-314410	0.1631
NM_025092	chr11(.):284137-300688	0.2161
NM_003641	chr11(.):308990-320272	0.209
NM_001025295	chr11(.):293202-304526	0.0928
NM_021034	chr11(.):314672-325914	0.1226
NM_138567	chr11(.):1850673-1863750	0.1823
NM_002339	chr11(.):1869199-1918493	0.3526
NM_001145829	chr11(.):1855718-1867910	0.2318
NM_001013253	chr11(.):1884902-1918493	0.0816
NM_001145841	chr11(.):1856431-1867910	0.2398
NM_001013255	chr11(.):1887153-1918493	0.0772
NM_003282	chr11(.):1855232-1867910	0.2263
NM_001013254	chr11(.):1887098-1918493	0.077
NR_036185	chr11(.):1875693-1885766	0.1129
NM_004778	chr11(.):60613397-60628444	0.1411
NM_207341	chr11(.):60630014-60648164	1.0485
NM_024098	chr11(.):60604428-60623561	1.0176
NM_014502	chr11(.):60653019-60679061	0.2787
NM_022830	chr11(.):62337516-62364109	0.412
NM_004739	chr11(.):62355674-62374303	0.6887
NM_001404	chr11(.):62322072-62346460	0.7542
NM_001620	chr11(.):62278373-62319332	0.6246
NR_002565	chr11(.):62618036-62628103	0.8095
NM_003164	chr11(.):62569368-62604560	0.4577
NM_018093	chr11(.):62595382-62612628	1.3062
NR_003098	chr11(.):62614459-62628360	0.6729
NR_002561	chr11(.):62616134-62626204	0.8666
NR_002560	chr11(.):62615797-62625865	0.861
NR_002559	chr11(.):62616375-62626440	0.8559
NR_000008	chr11(.):62615381-62625507	0.846
NR_002564	chr11(.):62617763-62627838	0.8137
NR_002563	chr11(.):62617483-62627555	0.8123
NR_002562	chr11(.):62617092-62627167	0.8219
NM_001081491	chr11(.):62554597-62577964	0.5269
NM_001080501	chr11(.):62552786-62564486	0.7739
NM_000738	chr11(.):62671150-62694012	0.1361
NM_004470	chr11(.):64003412-64016607	2.1104
NM_000932	chr11(.):64013994-64041924	0.5502
NM_005528	chr11(.):63992752-64006753	1.113
NM_001160390	chr11(.):63986270-63998726	0.6528
NM_032344	chr11(.):63988737-64002488	0.7235
NM_004322	chr11(.):64032299-64057176	0.6488
NM_178443	chr11(.):63969151-63996363	0.2556
NM_057092	chr11(.):64004587-64016607	2.2832
NM_033310	chr11(.):64053792-64072503	0.5086
NM_003377	chr11(.):63997265-64011259	1.8822
NM_020155	chr11(.):64048581-64061972	0.6184
NM_001135208	chr11(.):64003603-64016607	2.1393
NM_001170726	chr11(.):64046810-64061972	0.5555
NM_001160393	chr11(.):63986270-63998341	0.6051
NM_001170881	chr11(.):64047284-64061972	0.5694
NM_001177358	chr11(.):64047282-64061972	0.5694
NM_138689	chr11(.):64006950-64019413	1.9215
NM_000244	chr11(.):64565985-64583188	0.247
NM_130803	chr11(.):64565985-64583766	0.2447
NM_004579	chr11(.):64551608-64575713	0.1654
NM_017525	chr11(.):64586661-64617041	0.2371
NM_130800	chr11(.):64565985-64583035	0.2486
NM_130802	chr11(.):64565985-64583213	0.2474
NR_029829	chr11(.):64653826-64663911	0.1912
NM_006795	chr11(.):64615207-64651191	0.7987
NR_029578	chr11(.):64653608-64663718	0.188
NR_028272	chr11(.):65185268-65199003	5.5831
NR_030343	chr11(.):65206928-65217028	0.3138
NM_031904	chr11(.):65149040-65185995	0.7675
NM_001048218	chr11(.):65287547-65311182	0.3865
NM_198897	chr11(.):65646210-65661010	0.5879
NM_001335	chr11(.):65642283-65656212	0.2042
NM_025128	chr11(.):65622871-65638914	1.2276
NM_005507	chr11(.):65617284-65630804	1.4539
NM_152760	chr11(.):65596409-65626172	0.4182
NM_016938	chr11(.):65628911-65645340	0.2201
NM_006848	chr11(.):65652874-65664106	0.7677
NM_007103	chr11(.):67369322-67385012	0.4737
NM_000695	chr11(.):67424632-67447102	0.2023
NM_080658	chr11(.):67405025-67423130	0.7883
NM_001031615	chr11(.):67424632-67453685	0.1863
NM_005995	chr11(.):67393773-67412031	0.6928
NM_181843	chr11(.):67390408-67402401	0.8973
NR_033791	chr11(.):67375994-67388135	0.3357
NR_024249	chr11(.):67554237-67577807	0.7848
NM_001161473	chr11(.):67771047-67801743	1.0687
NM_006053	chr11(.):67805446-67823366	0.5243
NM_006019	chr11(.):67801482-67823366	0.4811
NM_002496	chr11(.):67793083-67809114	0.8077
NM_000694	chr11(.):67772789-67801743	0.9039
NR_026691	chr11(.):117852105-117877199	0.3464
NM_152641	chr12(.):46118619-46306819	0.1481
NM_020375	chr12(.):4425358-4474190	0.1686
NM_006143	chr12(.):12808994-12854121	0.164
NM_175834	chr12(.):53210230-53233077	0.1046
NM_013449	chr12(.):56984379-57035163	0.2425
NM_006400	chr12(.):57919093-57945978	0.1238
NM_001759	chr12(.):4377901-4419522	0.7526
NR_036052	chr12(.):9387065-9397147	0.0707
NR_036052	chr12(.):12259885-12269967	0.0781
NM_004064	chr12(.):12865301-12880305	2.5208
NR_030344	chr12(.):12912582-12922677	0.0837
NM_001130415	chr12(.):12873850-12949399	0.3716
NR_028408	chr12(.):46114502-46126704	1.1092
NM_002273	chr12(.):53285970-53303868	0.2565
NM_173352	chr12(.):53227745-53247778	0.089
