#30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_ROSE/30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam
#Using cutoff of 11762.613 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuper
6_MACS_peak_11816_lociStitched	chr16	1305305	1340664	6	34432	54587.2242	2963.0842	61	1
12_MACS_peak_34530_lociStitched	chr8	142359563	142405167	12	43027	55335.8936	4063.3164	62	1
6_MACS_peak_17728_lociStitched	chr19	4509894	4542549	6	31952	54455.478	4457.4075	63	1
8_MACS_peak_27943_lociStitched	chr22	46333748	46372697	8	37178	52682.4174	2765.379	64	1
8_MACS_peak_26752_lociStitched	chr22	37475133	37515048	8	38966	52671.834	3312.945	65	1
16_MACS_peak_25938_lociStitched	chr22	20197271	20238007	16	38750	52541.2928	3421.824	66	1
10_MACS_peak_17238_lociStitched	chr19	822606	856248	10	31934	52091.2728	3936.114	67	1
8_MACS_peak_31192_lociStitched	chr6	30419037	30451368	8	30915	52049.6769	4261.2258	68	1
6_MACS_peak_6319_lociStitched	chr10	102487084	102521335	6	33200	51256.6215	3781.3104	69	1
6_MACS_peak_13552_lociStitched	chr17	1041377	1075936	6	33906	50646.2145	3372.9584	70	1
7_MACS_peak_17288_lociStitched	chr19	1518019	1546754	7	28073	50625.323	3566.0135	71	1
4_MACS_peak_16837_lociStitched	chr17	79112653	79147261	4	34136	50209.2864	3273.9168	72	1
7_MACS_peak_17588_lociStitched	chr19	3398116	3435053	7	35714	51069.0962	4303.1605	73	1
12_MACS_peak_3691_lociStitched	chr1	22558235	22599418	12	39487	50103.2378	3471.7269	74	1
3_MACS_peak_31247_lociStitched	chr6	31958638	31985269	3	26502	49565.6172	3105.1746	75	1
5_MACS_peak_24711_lociStitched	chr20	61316912	61351966	5	34073	49205.2998	2818.3416	76	1
11_MACS_peak_7283_lociStitched	chr11	1821171	1858950	11	35829	49550.9364	3437.889	77	1
4_MACS_peak_36133_lociStitched	chr9	133882838	133915545	4	32423	48756.3249	2881.4867	78	1
10_MACS_peak_37472_lociStitched	chr9	139058974	139095049	10	34654	48246.705	2438.67	79	1
17_MACS_peak_13507_lociStitched	chr17	802254	845011	17	39797	49427.092	3758.3403	80	1
5_MACS_peak_37489_lociStitched	chr9	139222447	139252248	5	29363	47949.809	2291.6969	81	1
18_MACS_peak_7703_lociStitched	chr11	61272668	61311891	18	36795	48871.858	3239.8198	82	1
2_MACS_peak_31_lociStitched	chr1	845511	869350	2	23501	47577.8762	1957.1819	83	1
11_MACS_peak_13640_lociStitched	chr17	1859323	1899621	11	38817	49361.0202	3836.3696	84	1
8_MACS_peak_17749_lociStitched	chr19	4732921	4767778	8	34360	50640.2496	5169.2931	85	1
14_MACS_peak_17998_lociStitched	chr19	5992446	6030688	14	36931	49909.6342	4654.0514	86	1
4_MACS_peak_33026_lociStitched	chr7	150871965	150905640	4	33128	49707.6675	4519.185	87	1
5_MACS_peak_37483_lociStitched	chr9	139138208	139167023	5	28437	47827.137	2639.454	88	1
6_MACS_peak_29173_lociStitched	chr4	3470876	3499004	6	27824	47384.4288	2199.6096	89	1
4_MACS_peak_16868_lociStitched	chr17	79335600	79367458	4	31434	47589.4804	2784.3892	90	1
6_MACS_peak_89_lociStitched	chr1	1094054	1124107	6	29463	47360.5227	2668.7064	91	1
6_MACS_peak_10139_lociStitched	chr12	54382924	54412541	6	28848	48053.5825	3444.4571	92	1
6_MACS_peak_36578_lociStitched	chr9	136380280	136414098	6	33063	47308.0002	2715.5854	93	1
5_MACS_peak_1996_lociStitched	chr1	10722546	10753587	5	30736	46809.828	2601.2358	94	1
3_MACS_peak_32631_lociStitched	chr7	100632625	100649637	3	16590	47014.3632	2926.064	95	1
11_MACS_peak_17577_lociStitched	chr19	3360573	3397357	11	35096	47756.6672	3674.7216	96	1
4_MACS_peak_33030_lociStitched	chr7	150939730	150962987	4	22572	47476.8398	3786.2396	97	1
3_MACS_peak_24691_lociStitched	chr20	61141435	61168599	3	26903	45518.7148	1887.898	98	1
5_MACS_peak_7057_lociStitched	chr11	1031314	1063778	5	31900	46550.1296	3149.008	99	1
3_MACS_peak_32996_lociStitched	chr7	149470082	149495817	3	25693	46613.8055	3497.3865	100	1
14_MACS_peak_15149_lociStitched	chr17	47513621	47551351	14	36331	46736.151	3882.417	101	1
9_MACS_peak_25431_lociStitched	chr21	45770589	45803546	9	31618	47276.8165	4426.1251	102	1
2_MACS_peak_28959_lociStitched	chr3	184274719	184304016	2	29222	47030.4741	4209.9789	103	1
8_MACS_peak_2185_lociStitched	chr1	11487380	11525894	8	37152	46051.1898	3628.0188	104	1
3_MACS_peak_16378_lociStitched	chr17	77147965	77178673	3	30635	44412.9804	2358.3744	105	1
1_MACS_peak_5261_lociStitched	chr1	156389372	156415117	1	25746	46256.0415	4330.309	106	1
5_MACS_peak_17213_lociStitched	chr19	681472	708765	5	26563	44405.711	2873.9529	107	1
14_MACS_peak_13565_lociStitched	chr17	1108784	1145267	14	34835	45085.6914	3586.2789	108	1
8_MACS_peak_30874_lociStitched	chr5	176266074	176297675	8	30817	43906.4294	2957.8536	109	1
10_MACS_peak_36418_lociStitched	chr9	135848432	135882957	10	33486	44267.955	3379.9975	110	1
11_MACS_peak_13485_lociStitched	chr17	744878	781122	11	35341	44246.6752	3483.0484	111	1
7_MACS_peak_11787_lociStitched	chr16	1204388	1235227	7	29788	42742.854	2164.8978	112	1
6_MACS_peak_17699_lociStitched	chr19	4185853	4217673	6	30922	45604.424	5523.952	113	1
17_MACS_peak_27848_lociStitched	chr22	45908403	45945635	17	35578	42705.104	3194.5056	114	1
3_MACS_peak_25248_lociStitched	chr21	43776105	43802717	3	26584	43188.6148	3826.8056	115	1
31_MACS_peak_23638_lociStitched	chr20	48882621	48924056	31	35191	42582.7495	3343.8045	116	1
6_MACS_peak_798_lociStitched	chr1	3505298	3536087	6	29954	41552.8344	2401.542	117	1
6_MACS_peak_25232_lociStitched	chr21	43716642	43744329	6	27336	43039.4415	3981.3906	118	1
18_MACS_peak_16687_lociStitched	chr17	77998965	78036042	18	34119	42234.4107	3255.3606	119	1
7_MACS_peak_10130_lociStitched	chr12	54349132	54378422	7	28316	41272.539	2483.792	120	1
4_MACS_peak_29124_lociStitched	chr4	1769690	1794648	4	24494	40689.0274	2081.4972	121	1
2_MACS_peak_26792_lociStitched	chr22	37711652	37739699	2	28016	41111.2926	2731.7778	122	1
8_MACS_peak_10379_lociStitched	chr13	113627342	113657202	8	28953	40952.99	2717.26	123	1
19_MACS_peak_29520_lociStitched	chr4	7137337	7176443	19	35687	41460.1812	3335.7418	124	1
7_MACS_peak_21148_lociStitched	chr19	47114991	47144605	7	28324	41809.0452	3719.5184	125	1
15_MACS_peak_37412_lociStitched	chr9	138882960	138919341	15	34223	40648.4913	2703.1083	126	1
8_MACS_peak_16407_lociStitched	chr17	77241662	77272380	8	29264	40219.0774	2577.2402	127	1
16_MACS_peak_36562_lociStitched	chr9	136346473	136379217	16	30524	40514.1512	2897.844	128	1
7_MACS_peak_11890_lociStitched	chr16	2325048	2355717	7	28783	40369.6047	2861.4177	129	1
3_MACS_peak_17738_lociStitched	chr19	4557126	4580819	3	23208	40820.6697	3681.8922	130	1
9_MACS_peak_37462_lociStitched	chr9	139025396	139055561	9	28772	39612.678	2814.3945	131	1
5_MACS_peak_11975_lociStitched	chr16	3078343	3105971	5	27381	39300.83	2707.544	132	1
7_MACS_peak_21200_lociStitched	chr19	47902034	47930621	7	26989	39052.7007	2684.3193	133	1
2_MACS_peak_16875_lociStitched	chr17	79373685	79398430	2	24746	38231.025	1954.855	134	1
5_MACS_peak_37533_lociStitched	chr9	139628613	139653214	5	24190	38229.954	2024.6623	135	1
9_MACS_peak_15283_lociStitched	chr17	48675724	48707024	9	29679	39175.08	2976.63	136	1
1_MACS_peak_25645_lociStitched	chr21	46800387	46817480	1	17094	38038.7622	2126.3692	137	1
7_MACS_peak_13632_lociStitched	chr17	1828766	1855780	7	26287	38054.6218	2223.2522	138	1
9_MACS_peak_20744_lociStitched	chr19	42467445	42496811	9	28187	38337.313	2543.0956	139	1
8_MACS_peak_3624_lociStitched	chr1	21905386	21934639	8	27225	38640.2877	2939.9265	140	1
3_MACS_peak_17312_lociStitched	chr19	1754681	1775397	3	20581	38071.8648	2415.4856	141	1
7_MACS_peak_16781_lociStitched	chr17	78433100	78461876	7	27766	37736.8464	2204.2416	142	1
5_MACS_peak_16652_lociStitched	chr17	77904377	77931441	5	26730	37637.9048	2451.9984	143	1
5_MACS_peak_10207_lociStitched	chr12	57594672	57619453	5	23808	37543.215	2423.5818	144	1
8_MACS_peak_35931_lociStitched	chr9	132935067	132964462	8	28004	37584.447	2519.1515	145	1
5_MACS_peak_22795_lociStitched	chr2	219845473	219871413	5	25246	37493.676	2811.896	146	1
8_MACS_peak_9684_lociStitched	chr12	3378517	3408850	8	29709	37479.4548	2863.4352	147	1
6_MACS_peak_36553_lociStitched	chr9	136294883	136324221	6	28910	37053.894	2608.1482	148	1
11_MACS_peak_25890_lociStitched	chr22	19719461	19747905	11	26945	36783.7808	2511.6052	149	1
15_MACS_peak_16024_lociStitched	chr17	74872637	74904912	15	29672	36816.0925	2575.545	150	1
5_MACS_peak_28879_lociStitched	chr3	128195389	128217384	5	21142	36236.7625	2155.51	151	1
7_MACS_peak_37393_lociStitched	chr9	138661387	138687064	7	25243	35626.8375	1992.5352	152	1
9_MACS_peak_7798_lociStitched	chr11	61442521	61470906	9	27038	35796.3235	2355.955	153	1
7_MACS_peak_5277_lociStitched	chr1	156657674	156678953	7	20734	36987.1578	3547.2093	154	1
10_MACS_peak_36140_lociStitched	chr9	133935950	133964383	10	26937	35953.5285	2607.3061	155	1
10_MACS_peak_35880_lociStitched	chr9	132469953	132498019	10	26911	35377.193	2278.9592	156	1
8_MACS_peak_21630_lociStitched	chr19	49917881	49946118	8	27195	35620.9755	2575.2144	157	1
7_MACS_peak_16450_lociStitched	chr17	77354235	77382868	7	28089	35327.3954	2324.9996	158	1
1_MACS_peak_5300_lociStitched	chr1	156860742	156880913	1	20172	35680.4819	2715.0166	159	1
18_MACS_peak_30813_lociStitched	chr5	176140426	176172638	18	28632	35649.0204	2792.7804	160	1
9_MACS_peak_16845_lociStitched	chr17	79273967	79300723	9	25796	34632.9664	1907.7028	161	1
9_MACS_peak_15221_lociStitched	chr17	48037819	48061584	9	22975	34749.183	2091.32	162	1
16_MACS_peak_2282_lociStitched	chr1	11921923	11951028	16	27473	35030.778	2415.715	163	1
7_MACS_peak_18227_lociStitched	chr19	7718974	7744674	7	25056	36589.09	4032.33	164	1
13_MACS_peak_2039_lociStitched	chr1	10917680	10948305	13	28377	35261.625	2835.875	165	1
5_MACS_peak_1262_lociStitched	chr1	6208986	6234601	5	25025	34616.111	2197.767	166	1
5_MACS_peak_14533_lociStitched	chr17	36716297	36739314	5	21862	34375.8895	1993.2722	167	1
9_MACS_peak_31254_lociStitched	chr6	32032314	32059603	9	24690	35039.076	2753.4601	168	1
9_MACS_peak_621_lociStitched	chr1	3099253	3129792	9	29468	34118.1708	1945.3343	169	1
12_MACS_peak_16390_lociStitched	chr17	77199686	77228090	12	27324	33937.0992	2229.714	170	1
5_MACS_peak_8303_lociStitched	chr11	68758397	68783741	5	24781	34072.4736	2496.384	171	1
3_MACS_peak_25932_lociStitched	chr22	20151659	20176480	3	24433	33456.2259	1926.1096	172	1
9_MACS_peak_18736_lociStitched	chr19	13103746	13128431	9	23620	33616.033	2167.343	173	1
14_MACS_peak_769_lociStitched	chr1	3418896	3447608	14	26899	33257.1096	1989.7416	174	1
11_MACS_peak_26794_lociStitched	chr22	37740307	37768383	11	26079	33348.6728	2279.7712	175	1
5_MACS_peak_39_lociStitched	chr1	913450	935024	5	20026	32814.054	1773.3828	176	1
11_MACS_peak_11650_lociStitched	chr16	860415	887539	11	25667	32985.4964	1990.9016	177	1
8_MACS_peak_31580_lociStitched	chr6	41603629	41628856	8	24252	32974.2117	2071.1367	178	1
7_MACS_peak_7310_lociStitched	chr11	1937905	1960600	7	22002	32467.467	1570.494	179	1
5_MACS_peak_24995_lociStitched	chr20	62726813	62749019	5	21025	32813.8062	2005.2018	180	1
5_MACS_peak_18212_lociStitched	chr19	7633842	7660587	5	25856	34185.459	3407.313	181	1
16_MACS_peak_660_lociStitched	chr1	3190549	3219767	16	26924	32320.9516	1791.0634	182	1
7_MACS_peak_24872_lociStitched	chr20	62038956	62062822	7	22634	32161.8216	1641.9808	183	1
6_MACS_peak_25297_lociStitched	chr21	44034726	44056113	6	20901	33417.1875	2989.9026	184	1
2_MACS_peak_22857_lociStitched	chr2	220374351	220398749	2	24387	32725.0374	2334.8886	185	1
2_MACS_peak_35702_lociStitched	chr9	129444849	129467393	2	22380	32546.7728	2252.1456	186	1
6_MACS_peak_21564_lociStitched	chr19	49549457	49575119	6	25115	32511.1878	2219.763	187	1
9_MACS_peak_19541_lociStitched	chr19	18090394	18115335	9	24114	32281.1363	2209.7726	188	1
5_MACS_peak_2451_lociStitched	chr1	17086551	17109490	5	22510	33968.0712	4005.1494	189	1
2_MACS_peak_5439_lociStitched	chr1	201320906	201345260	2	24346	33384.4632	3426.6078	190	1
2_MACS_peak_22855_lociStitched	chr2	220341623	220362520	2	20889	31836.5795	1937.1519	191	1
1_MACS_peak_17741_lociStitched	chr19	4581762	4597974	1	16213	32031.6696	2237.256	192	1
3_MACS_peak_37448_lociStitched	chr9	138963480	138986619	3	22921	31665.7215	1874.259	193	1
7_MACS_peak_17985_lociStitched	chr19	5850701	5874326	7	22485	32113.4625	2629.4625	194	1
12_MACS_peak_26595_lociStitched	chr22	36968712	36997220	12	26273	31951.7664	2480.196	195	1
6_MACS_peak_25549_lociStitched	chr21	46114503	46135947	6	20905	31632.0444	2290.2192	196	1
10_MACS_peak_37552_lociStitched	chr9	139847311	139872553	10	23225	31322.7978	2044.602	197	1
4_MACS_peak_15171_lociStitched	chr17	47570124	47592149	4	20957	31484.7375	2270.7775	198	1
8_MACS_peak_35867_lociStitched	chr9	132429423	132453883	8	23553	31179.162	2120.682	199	1
11_MACS_peak_8618_lociStitched	chr11	69971713	69997734	11	24575	31087.2887	2042.6485	200	1
7_MACS_peak_25965_lociStitched	chr22	20257124	20281470	7	22885	30951.0698	1967.1568	201	1
8_MACS_peak_11842_lociStitched	chr16	1567453	1590529	8	22007	30760.308	1802.2356	202	1
2_MACS_peak_24892_lociStitched	chr20	62082512	62103826	2	20914	30263.7486	1323.5994	203	1
10_MACS_peak_16299_lociStitched	chr17	76551604	76577177	10	24034	30976.5749	2043.2827	204	1
4_MACS_peak_1258_lociStitched	chr1	6184776	6208453	4	23551	30619.0964	1830.2321	205	1
5_MACS_peak_14065_lociStitched	chr17	7958692	7981467	5	22171	31222.2475	2612.2925	206	1
4_MACS_peak_24728_lociStitched	chr20	61387268	61407436	4	19935	29634.8592	1415.7936	207	1
7_MACS_peak_32550_lociStitched	chr7	100312955	100338043	7	24142	30459.3408	2277.9904	208	1
15_MACS_peak_34974_lociStitched	chr8	143643191	143670823	15	25627	30080.1952	2006.0832	209	1
10_MACS_peak_15273_lociStitched	chr17	48650898	48674904	10	23199	30045.9096	2186.9466	210	1
3_MACS_peak_16345_lociStitched	chr17	77015571	77034352	3	18551	29580.075	1840.538	211	1
3_MACS_peak_17705_lociStitched	chr19	4218595	4239311	3	20161	30344.7968	2691.0084	212	1
8_MACS_peak_2342_lociStitched	chr1	16338903	16360331	8	20071	29433.5008	1962.8048	213	1
11_MACS_peak_7956_lociStitched	chr11	64285260	64312108	11	25688	29774.432	2416.32	214	1
11_MACS_peak_13463_lociStitched	chr17	700284	723646	11	21765	29316.9738	1981.0976	215	1
12_MACS_peak_20154_lociStitched	chr19	36343574	36370352	12	25480	29466.5112	2144.9178	216	1
12_MACS_peak_34024_lociStitched	chr8	1890001	1916483	12	24720	29699.563	2465.4742	217	1
12_MACS_peak_22092_lociStitched	chr19	55631038	55656809	12	23468	29626.3416	2422.474	218	1
15_MACS_peak_16473_lociStitched	chr17	77451357	77479314	15	24482	29044.5273	2021.2911	219	1
3_MACS_peak_13985_lociStitched	chr17	7607276	7628579	3	20957	28961.4285	2042.9577	220	1
6_MACS_peak_11540_lociStitched	chr15	91193928	91213620	6	19019	29890.4868	3024.6912	221	1
10_MACS_peak_2055_lociStitched	chr1	10955694	10979095	10	22592	28720.0473	1970.3642	222	1
14_MACS_peak_36485_lociStitched	chr9	136092207	136118820	14	24704	29191.7997	2477.6703	223	1
10_MACS_peak_19577_lociStitched	chr19	18319291	18342661	10	22231	28985.811	2379.066	224	1
8_MACS_peak_34492_lociStitched	chr8	141989323	142010942	8	20825	29445.078	2927.2126	225	1
4_MACS_peak_29033_lociStitched	chr3	195530451	195551315	4	20085	29017.6512	2547.4944	226	1
9_MACS_peak_25725_lociStitched	chr21	47404849	47423163	9	17363	28102.833	1657.417	227	1
4_MACS_peak_10145_lociStitched	chr12	54413856	54434081	4	20194	28100.615	1781.8225	228	1
8_MACS_peak_37579_lociStitched	chr9	139923302	139942699	8	18632	27912.283	1635.1671	229	1
9_MACS_peak_19532_lociStitched	chr19	18066965	18089861	9	21808	28395.6192	2145.3552	230	1
9_MACS_peak_15902_lociStitched	chr17	72912401	72935543	9	22186	28362.8352	2170.7196	231	1
10_MACS_peak_22248_lociStitched	chr19	56265090	56286270	10	20055	29022.954	2857.182	232	1
3_MACS_peak_5218_lociStitched	chr1	155088751	155104410	3	15374	28538.5275	2434.9745	233	1
5_MACS_peak_17710_lociStitched	chr19	4289698	4309836	5	19312	28505.339	2428.6428	234	1
2_MACS_peak_2351_lociStitched	chr1	16362189	16380442	2	18224	27739.0841	1770.541	235	1
11_MACS_peak_28676_lociStitched	chr3	50226201	50247874	11	19982	28099.0445	2141.2924	236	1
4_MACS_peak_24716_lociStitched	chr20	61352474	61371626	4	18263	27734.0112	1848.168	237	1
4_MACS_peak_25425_lociStitched	chr21	45699327	45716205	4	15864	27961.7826	2118.189	238	1
3_MACS_peak_17283_lociStitched	chr19	1491162	1506913	3	15396	27891.8708	2213.0155	239	1
2_MACS_peak_14513_lociStitched	chr17	36333560	36350439	2	16851	30890.2579	5256.1206	240	1
10_MACS_peak_804_lociStitched	chr1	3665840	3688535	10	21682	27644.7795	2044.8195	241	1
2_MACS_peak_25303_lociStitched	chr21	44056713	44073625	2	16794	27654.5024	2174.8832	242	1
5_MACS_peak_13656_lociStitched	chr17	1913781	1933374	5	18623	27624.1707	2159.1486	243	1
4_MACS_peak_7105_lociStitched	chr11	1212750	1231875	4	18847	27010.2375	1575.9	244	1
3_MACS_peak_33044_lociStitched	chr7	151077301	151094388	3	16814	27542.5353	2113.6619	245	1
10_MACS_peak_16667_lociStitched	chr17	77958659	77979895	10	19979	27623.7888	2217.0384	246	1
8_MACS_peak_3947_lociStitched	chr1	23189399	23212087	8	22065	27527.3504	2184.8544	247	1
6_MACS_peak_31455_lociStitched	chr6	34016800	34038093	6	20612	27310.4018	1988.7662	248	1
12_MACS_peak_36731_lociStitched	chr9	137105558	137127803	12	21082	26972.0625	1666.1505	249	1
12_MACS_peak_27877_lociStitched	chr22	45968311	45991404	12	21735	27316.7097	2034.4933	250	1
12_MACS_peak_26765_lociStitched	chr22	37522200	37546930	12	22959	27356.326	2102.05	251	1
6_MACS_peak_37605_lociStitched	chr9	140049642	140069197	6	18566	26755.151	1540.934	252	1
12_MACS_peak_24547_lociStitched	chr20	60372172	60396116	12	22323	26874.7456	1719.1792	253	1
16_MACS_peak_30115_lociStitched	chr4	8611632	8638613	16	24705	26967.5095	1853.5947	254	1
1_MACS_peak_16828_lociStitched	chr17	79076304	79092977	1	16674	26393.359	1287.1556	255	1
5_MACS_peak_25457_lociStitched	chr21	45851698	45873183	5	20876	27505.097	2498.7055	256	1
10_MACS_peak_11234_lociStitched	chr15	74589245	74611927	10	21146	27132.2084	2193.3494	257	1
4_MACS_peak_35890_lociStitched	chr9	132498572	132519177	4	20166	27130.6035	2219.1585	258	1
10_MACS_peak_21554_lociStitched	chr19	49524736	49548875	10	22429	26893.2599	2061.4706	259	1
6_MACS_peak_34522_lociStitched	chr8	142333204	142356669	6	21979	26867.425	2046.148	260	1
