REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
8_MACS_peak_17749_lociStitched	chr19	4732921	4767778	8	34360	50640.2496	5169.2931	76		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.8553999999999999	76	1
15_MACS_peak_37412_lociStitched	chr9	138882960	138919341	15	34223	40648.4913	2703.1083	77	NACC2	UBAC1	UBAC1	UBAC1	0.09269999999999999	77	1
4_MACS_peak_16837_lociStitched	chr17	79112653	79147261	4	34136	50209.2864	3273.9168	78	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	MIR1250	1.3493	78	1
18_MACS_peak_16687_lociStitched	chr17	77998965	78036042	18	34119	42234.4107	3255.3606	79	CCDC40,TBC1D16	GAA	CCDC40	CCDC40	0.9809999999999999	79	1
5_MACS_peak_24711_lociStitched	chr20	61316912	61351966	5	34073	49205.2998	2818.3416	80	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.2389	80	1
6_MACS_peak_13552_lociStitched	chr17	1041377	1075936	6	33906	50646.2145	3372.9584	81	ABR	ABR	ABR	ABR	0.4114	81	1
10_MACS_peak_36418_lociStitched	chr9	135848432	135882957	10	33486	44267.955	3379.9975	82	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	1.2427	82	1
3_MACS_peak_32999_lociStitched	chr7	149498246	149531666	3	33212	60670.668	4083.924	83	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.6838000000000001	83	1
4_MACS_peak_17694_lociStitched	chr19	4140381	4173842	4	33201	56247.941	4256.2392	84	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.4024	84	1
6_MACS_peak_6319_lociStitched	chr10	102487084	102521335	6	33200	51256.6215	3781.3104	85	PAX2		PAX2	PAX2	0.7917	85	1
4_MACS_peak_33026_lociStitched	chr7	150871965	150905640	4	33128	49707.6675	4519.185	86	ASB10,ABCF2	CHPF2,MIR671,GBX1,SMARCD3	ASB10	SMARCD3	1.2118	86	1
6_MACS_peak_36578_lociStitched	chr9	136380280	136414098	6	33063	47308.0002	2715.5854	87	ADAMTSL2,TMEM8C	SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.2006999999999999	87	1
4_MACS_peak_36133_lociStitched	chr9	133882838	133915545	4	32423	48756.3249	2881.4867	88	LAMC3		LAMC3	LAMC3	1.1469	88	1
6_MACS_peak_17728_lociStitched	chr19	4509894	4542549	6	31952	54455.478	4457.4075	89	PLIN4,PLIN5,LRG1	HDGFRP2,SEMA6B	PLIN4	SEMA6B	1.1229	89	1
10_MACS_peak_17238_lociStitched	chr19	822606	856248	10	31934	52091.2728	3936.114	90	AZU1,PRTN3,ELANE	PTBP1,MIR3187,CFD,LPPR3,MED16	PRTN3	PRTN3	1.5129	90	1
5_MACS_peak_7057_lociStitched	chr11	1031314	1063778	5	31900	46550.1296	3149.008	91	MUC6	MUC2	MUC6	MUC2	0.8958999999999999	91	1
9_MACS_peak_25431_lociStitched	chr21	45770589	45803546	9	31618	47276.8165	4426.1251	92	TRPM2	C21orf2	TRPM2	TRPM2	0.9271	92	1
2_MACS_peak_17218_lociStitched	chr19	709355	741388	2	31541	58613.9834	3930.4491	93	PALM	FSTL3,C19orf21,RNF126,PRSSL1	PALM	PALM	1.6058999999999999	93	1
4_MACS_peak_16868_lociStitched	chr17	79335600	79367458	4	31434	47589.4804	2784.3892	94		BAHCC1,TMEM105	BAHCC1	BAHCC1	1.3549	94	1
6_MACS_peak_17699_lociStitched	chr19	4185853	4217673	6	30922	45604.424	5523.952	95	ANKRD24	CREB3L3,EBI3,CCDC94,SIRT6	ANKRD24	CREB3L3	1.4024	95	1
8_MACS_peak_31192_lociStitched	chr6	30419037	30451368	8	30915	52049.6769	4261.2258	96		HLA-E	HLA-E	HLA-E	0.015999999999999986	96	1
8_MACS_peak_30874_lociStitched	chr5	176266074	176297675	8	30817	43906.4294	2957.8536	97	UNC5A	HK3	UNC5A	UNC5A	1.0305	97	1
5_MACS_peak_1996_lociStitched	chr1	10722546	10753587	5	30736	46809.828	2601.2358	98	CASZ1		CASZ1	CASZ1	1.2389999999999999	98	1
3_MACS_peak_16378_lociStitched	chr17	77147965	77178673	3	30635	44412.9804	2358.3744	99	RBFOX3		ENGASE	ENGASE	0.6938	99	1
16_MACS_peak_36562_lociStitched	chr9	136346473	136379217	16	30524	40514.1512	2897.844	100		C9orf7,ADAMTSL2,SLC2A6,TMEM8C	SLC2A6	TMEM8C	1.1151	100	1
3_MACS_peak_25648_lociStitched	chr21	46825805	46856448	3	30434	56683.4214	2767.0629	101	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	1.9702	101	1
6_MACS_peak_798_lociStitched	chr1	3505298	3536087	6	29954	41552.8344	2401.542	102	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MIR551A	1.2044	102	1
7_MACS_peak_11787_lociStitched	chr16	1204388	1235227	7	29788	42742.854	2164.8978	103	CACNA1H	TPSG1,TPSB2	CACNA1H	TPSG1	1.5406	103	1
8_MACS_peak_9684_lociStitched	chr12	3378517	3408850	8	29709	37479.4548	2863.4352	104	TSPAN9		PRMT8	PRMT8	NONE	104	1
9_MACS_peak_15283_lociStitched	chr17	48675724	48707024	9	29679	39175.08	2976.63	105	CACNA1G	ABCC3	ABCC3	ABCC3	0.19380000000000003	105	1
15_MACS_peak_16024_lociStitched	chr17	74872637	74904912	15	29672	36816.0925	2575.545	106	MGAT5B		MGAT5B	MGAT5B	0.944	106	1
9_MACS_peak_621_lociStitched	chr1	3099253	3129792	9	29468	34118.1708	1945.3343	107	PRDM16		MIR4251	MIR4251	0.8749	107	1
6_MACS_peak_89_lociStitched	chr1	1094054	1124107	6	29463	47360.5227	2668.7064	108	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	TTLL10	TNFRSF18	1.2634	108	1
5_MACS_peak_37489_lociStitched	chr9	139222447	139252248	5	29363	47949.809	2291.6969	109	GPSM1	LOC26102,DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	1.3189000000000002	109	1
8_MACS_peak_16407_lociStitched	chr17	77241662	77272380	8	29264	40219.0774	2577.2402	110	RBFOX3		ENGASE	ENGASE	0.6938	110	1
2_MACS_peak_28959_lociStitched	chr3	184274719	184304016	2	29222	47030.4741	4209.9789	111	EPHB3		EPHB3	EPHB3	1.4283000000000001	111	1
8_MACS_peak_10379_lociStitched	chr13	113627342	113657202	8	28953	40952.99	2717.26	112	MCF2L	LOC100289410	MCF2L	MCF2L	0.9929000000000001	112	1
6_MACS_peak_36553_lociStitched	chr9	136294883	136324221	6	28910	37053.894	2608.1482	113	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	C9orf7	0.439	113	1
6_MACS_peak_10139_lociStitched	chr12	54382924	54412541	6	28848	48053.5825	3444.4571	114	HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4	HOXC12,HOXC11,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825,HOTAIR	HOXC9	HOXC9	1.5918999999999999	114	1
7_MACS_peak_11890_lociStitched	chr16	2325048	2355717	7	28783	40369.6047	2861.4177	115	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	MIR940	0.20470000000000002	115	1
9_MACS_peak_37462_lociStitched	chr9	139025396	139055561	9	28772	39612.678	2814.3945	116		NACC2,C9orf69,LHX3	C9orf69	NACC2	0.9847	116	1
18_MACS_peak_30813_lociStitched	chr5	176140426	176172638	18	28632	35649.0204	2792.7804	117			UNC5A	UNC5A	1.0305	117	1
5_MACS_peak_37483_lociStitched	chr9	139138208	139167023	5	28437	47827.137	2639.454	118		LHX3,QSOX2	QSOX2	LHX3	0.9108	118	1
13_MACS_peak_2039_lociStitched	chr1	10917680	10948305	13	28377	35261.625	2835.875	119			CASZ1	CASZ1	1.2389999999999999	119	1
7_MACS_peak_21148_lociStitched	chr19	47114991	47144605	7	28324	41809.0452	3719.5184	120	PTGIR,GNG8	CALM3,DACT3	PTGIR	PTGIR	1.3332	120	1
7_MACS_peak_10130_lociStitched	chr12	54349132	54378422	7	28316	41272.539	2483.792	121	HOXC12,HOXC11,HOTAIR	HOXC13,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,MIR615	HOTAIR	HOXC9	1.5918999999999999	121	1
9_MACS_peak_20744_lociStitched	chr19	42467445	42496811	9	28187	38337.313	2543.0956	122	ATP1A3	RABAC1	ATP1A3	ATP1A3	1.1081	122	1
7_MACS_peak_16450_lociStitched	chr17	77354235	77382868	7	28089	35327.3954	2324.9996	123	RBFOX3		RBFOX3	RBFOX3	1.0804999999999998	123	1
7_MACS_peak_17288_lociStitched	chr19	1518019	1546754	7	28073	50625.323	3566.0135	124	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	PLK5P	1.6675	124	1
2_MACS_peak_26792_lociStitched	chr22	37711652	37739699	2	28016	41111.2926	2731.7778	125		CYTH4	CYTH4	CYTH4	0.127	125	1
8_MACS_peak_35931_lociStitched	chr9	132935067	132964462	8	28004	37584.447	2519.1515	126	NCS1		NCS1	NCS1	1.0394999999999999	126	1
6_MACS_peak_29173_lociStitched	chr4	3470876	3499004	6	27824	47384.4288	2199.6096	127	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.4154	127	1
7_MACS_peak_16781_lociStitched	chr17	78433100	78461876	7	27766	37736.8464	2204.2416	128	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.3116999999999999	128	1
16_MACS_peak_2282_lociStitched	chr1	11921923	11951028	16	27473	35030.778	2415.715	129		PLOD1,NPPA,NPPB,KIAA2013	NPPB	NPPB	0.8562	129	1
5_MACS_peak_11975_lociStitched	chr16	3078343	3105971	5	27381	39300.83	2707.544	130	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	LOC283875	1.3502999999999998	130	1
6_MACS_peak_25232_lociStitched	chr21	43716642	43744329	6	27336	43039.4415	3981.3906	131	ABCG1,TFF3	TFF2,TFF1	TFF3	TFF3	1.7031	131	1
12_MACS_peak_16390_lociStitched	chr17	77199686	77228090	12	27324	33937.0992	2229.714	132	RBFOX3		ENGASE	ENGASE	0.6938	132	1
8_MACS_peak_3624_lociStitched	chr1	21905386	21934639	8	27225	38640.2877	2939.9265	133	RAP1GAP		RAP1GAP	RAP1GAP	0.778	133	1
8_MACS_peak_21630_lociStitched	chr19	49917881	49946118	8	27195	35620.9755	2575.2144	134	CCDC155,LOC645971,PTH2,SLC17A7	ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.2541	134	1
9_MACS_peak_7798_lociStitched	chr11	61442521	61470906	9	27038	35796.3235	2355.955	135	DAGLA	C11orf9	DAGLA	DAGLA	1.1628	135	1
7_MACS_peak_21200_lociStitched	chr19	47902034	47930621	7	26989	39052.7007	2684.3193	136	MEIS3	DHX34,SLC8A2	MEIS3	MEIS3	1.2815	136	1
11_MACS_peak_25890_lociStitched	chr22	19719461	19747905	11	26945	36783.7808	2511.6052	137	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	GP1BB	1.3124	137	1
10_MACS_peak_36140_lociStitched	chr9	133935950	133964383	10	26937	35953.5285	2607.3061	138	LAMC3	AIF1L,NUP214	AIF1L	AIF1L	0.7867	138	1
16_MACS_peak_660_lociStitched	chr1	3190549	3219767	16	26924	32320.9516	1791.0634	139	PRDM16		MIR4251	MIR4251	0.8749	139	1
10_MACS_peak_35880_lociStitched	chr9	132469953	132498019	10	26911	35377.193	2278.9592	140	PRRX2	PTGES	PTGES	PTGES	1.1993	140	1
3_MACS_peak_24691_lociStitched	chr20	61141435	61168599	3	26903	45518.7148	1887.898	141	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR1-1	MIR1-1	1.7127999999999999	141	1
14_MACS_peak_769_lociStitched	chr1	3418896	3447608	14	26899	33257.1096	1989.7416	142	MEGF6	ARHGEF16,MIR551A	MIR551A	MIR551A	1.2044	142	1
5_MACS_peak_16652_lociStitched	chr17	77904377	77931441	5	26730	37637.9048	2451.9984	143	TBC1D16		TBC1D16	TBC1D16	1.0589	143	1
3_MACS_peak_25248_lociStitched	chr21	43776105	43802717	3	26584	43188.6148	3826.8056	144	TFF1,TMPRSS3	UBASH3A,TFF3,TFF2	TFF1	TFF3	1.7031	144	1
5_MACS_peak_17213_lociStitched	chr19	681472	708765	5	26563	44405.711	2873.9529	145	FSTL3,PRSSL1	FGF22,PALM,C19orf21,POLRMT,RNF126	PRSSL1	PALM	1.6058999999999999	145	1
