REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X30_0F2G_0229Kronos_MM1S.KB.24hr.2_H3K27me3_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
5_MACS_peak_17261_lociStitched	chr19	1286391	1344130	5	57241	125004.935	6894.0366	17	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.1981	17	1
4_MACS_peak_2444_lociStitched	chr1	17011464	17067220	4	55399	132721.5824	13939	18	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	2.3621999999999996	18	1
11_MACS_peak_30278_lociStitched	chr4	9324622	9371003	11	45836	146939.6461	13469.0424	19	USP17,USP17L6P		USP17L6P	USP17L6P	1.7185	19	1
3_MACS_peak_25568_lociStitched	chr21	46301023	46359160	3	57881	117116.9865	7342.7031	20	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	1.9001000000000001	20	1
10_MACS_peak_16368_lociStitched	chr17	77080991	77147198	10	64133	97198.4967	5468.6982	21	ENGASE,RBFOX3		ENGASE	ENGASE	0.6938	21	1
14_MACS_peak_16457_lociStitched	chr17	77383473	77446611	14	61949	82723.4076	5486.6922	22	RBFOX3		RBFOX3	RBFOX3	1.0804999999999998	22	1
7_MACS_peak_25305_lociStitched	chr21	44074196	44131180	7	56440	93385.3792	7254.0632	23	PDE9A		PDE9A	PDE9A	1.5390000000000001	23	1
10_MACS_peak_1300_lociStitched	chr1	6474569	6530864	10	54573	83130.8265	4751.298	24	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	1.4347999999999999	24	1
6_MACS_peak_25651_lociStitched	chr21	46858146	46909785	6	51414	86324.9163	7167.4932	25	COL18A1	NCRNA00175	COL18A1	NCRNA00175	1.9702	25	1
3_MACS_peak_21698_lociStitched	chr19	50594100	50643075	3	48960	95452.275	14041.1325	26	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	1.8483999999999998	26	1
16_MACS_peak_11800_lociStitched	chr16	1249516	1304767	16	52833	75213.1863	4265.3772	27	CACNA1H,TPSAB1,TPSG1,TPSB2	TPSD1	TPSG1	TPSG1	1.5406	27	1
9_MACS_peak_24822_lociStitched	chr20	61850862	61901058	9	49366	78320.8188	4477.4832	28	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.3144999999999998	28	1
9_MACS_peak_16877_lociStitched	chr17	79400135	79451474	9	49992	74179.7211	3835.0233	29	BAHCC1,MIR3186	FSCN2,ACTG1	MIR3186	MIR3186	1.5008000000000001	29	1
6_MACS_peak_17301_lociStitched	chr19	1672145	1718147	6	44641	87813.2178	7213.1136	30		ONECUT3,TCF3	TCF3	ONECUT3	1.6651	30	1
5_MACS_peak_25636_lociStitched	chr21	46709430	46755047	5	45241	83022.94	6231.2822	31	LOC642852	POFUT2	LOC642852	LOC642852	1.0545	31	1
8_MACS_peak_299_lociStitched	chr1	2246727	2294653	8	46413	70508.7312	3575.2796	32	MORN1,LOC100129534	RER1,PEX10	LOC100129534	LOC100129534	1.4516	32	1
14_MACS_peak_11773_lociStitched	chr16	1152934	1202118	14	46880	68665.7824	3388.7776	33		SSTR5,CACNA1H,LOC146336,C1QTNF8	CACNA1H	CACNA1H	1.2322000000000002	33	1
17_MACS_peak_2368_lociStitched	chr1	16431814	16482395	17	47645	62037.5965	4597.8129	34	EPHA2	FAM131C	EPHA2	EPHA2	1.0863	34	1
17_MACS_peak_2017_lociStitched	chr1	10853474	10903162	17	47205	62278.9392	4342.7312	35	CASZ1		CASZ1	CASZ1	1.2389999999999999	35	1
10_MACS_peak_25474_lociStitched	chr21	45908250	45953696	10	44734	70995.7412	5807.9988	36	C21orf90,C21orf29	LRRC3,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	C21orf90	1.2424	36	1
11_MACS_peak_37507_lociStitched	chr9	139477369	139524500	11	45712	64527.0521	3365.1534	37		EGFL7,MIR126,NOTCH1	EGFL7	MIR126	1.4982	37	1
13_MACS_peak_24750_lociStitched	chr20	61590406	61637584	13	45676	64336.6386	3632.706	38	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	LOC100144597	1.103	38	1
14_MACS_peak_36119_lociStitched	chr9	133835180	133881554	14	45034	60017.2308	4414.8048	39		LAMC3,FIBCD1	LAMC3	FIBCD1	1.4987000000000001	39	1
10_MACS_peak_24694_lociStitched	chr20	61169208	61213384	10	43280	63070.0752	3732.872	40		C20orf166,MIR1-1,MIR133A2,C20orf200	MIR133A2	MIR1-1	1.7127999999999999	40	1
13_MACS_peak_17220_lociStitched	chr19	741915	786261	13	42483	66425.8734	4962.3174	41	PALM,C19orf21	PTBP1,MIR3187,AZU1,PRSSL1,LPPR3	C19orf21	C19orf21	1.4659	41	1
6_MACS_peak_25555_lociStitched	chr21	46140441	46183538	6	42039	65528.9885	5456.0802	42		KRTAP10-12,KRTAP12-1,C21orf29,UBE2G2	C21orf29	KRTAP10-12	1.2970000000000002	42	1
4_MACS_peak_31250_lociStitched	chr6	31991376	32031780	4	39990	68646.396	4145.4504	43	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	1.761	43	1
11_MACS_peak_25188_lociStitched	chr21	43130569	43175381	11	43389	60684.4104	5753.8608	44	NCRNA00112,C21orf129,RIPK4	NCRNA00111	NCRNA00112	NCRNA00112	1.2502000000000002	44	1
3_MACS_peak_25641_lociStitched	chr21	46755910	46795256	3	39014	68800.4156	4878.904	45		LOC642852,COL18A1,POFUT2,NCRNA00175	COL18A1	NCRNA00175	1.9702	45	1
10_MACS_peak_25044_lociStitched	chr20	62823226	62865930	10	41318	60895.904	4031.2576	46	MYT1	PCMTD2	PCMTD2	NONE	NONE	46	1
11_MACS_peak_22416_lociStitched	chr2	26777058	26820252	11	41599	60208.1166	4276.206	47	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.3693	47	1
12_MACS_peak_34530_lociStitched	chr8	142359563	142405167	12	43027	55335.8936	4063.3164	48	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.2667	48	1
5_MACS_peak_17307_lociStitched	chr19	1718849	1753520	5	34431	74091.927	4160.52	49		ONECUT3	ONECUT3	ONECUT3	1.6651	49	1
7_MACS_peak_35685_lociStitched	chr9	129376687	129417478	7	39885	60068.8266	3561.0543	50	LMX1B		LMX1B	LMX1B	1.1902	50	1
12_MACS_peak_201_lociStitched	chr1	1939071	1981471	12	41295	55158.16	3188.48	51	GABRD	PRKCZ,KIAA1751	GABRD	GABRD	1.2343000000000002	51	1
8_MACS_peak_36108_lociStitched	chr9	133785370	133825498	8	38655	61528.2624	3579.4176	52	FIBCD1	QRFP	FIBCD1	FIBCD1	1.4987000000000001	52	1
9_MACS_peak_26817_lociStitched	chr22	37796059	37835779	9	38366	59417.148	3439.752	53	ELFN2	MFNG	ELFN2	ELFN2	1.2193	53	1
5_MACS_peak_783_lociStitched	chr1	3448409	3487901	5	39003	54684.5724	2728.8972	54	MEGF6,MIR551A		MIR551A	MIR551A	1.2044	54	1
8_MACS_peak_26752_lociStitched	chr22	37475133	37515048	8	38966	52671.834	3312.945	55	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.1908	55	1
16_MACS_peak_25938_lociStitched	chr22	20197271	20238007	16	38750	52541.2928	3421.824	56	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	0.8675999999999999	56	1
17_MACS_peak_13507_lociStitched	chr17	802254	845011	17	39797	49427.092	3758.3403	57	NXN		NXN	NXN	1.0038	57	1
12_MACS_peak_3691_lociStitched	chr1	22558235	22599418	12	39487	50103.2378	3471.7269	58			WNT4	WNT4	NONE	58	1
5_MACS_peak_17742_lociStitched	chr19	4598658	4636199	5	36837	57550.353	5045.5104	59		TNFAIP8L1,SEMA6B,C19orf10	TNFAIP8L1	SEMA6B	1.1229	59	1
11_MACS_peak_13640_lociStitched	chr17	1859323	1899621	11	38817	49361.0202	3836.3696	60	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.1311	60	1
8_MACS_peak_27943_lociStitched	chr22	46333748	46372697	8	37178	52682.4174	2765.379	61	WNT7B	LOC730668	WNT7B	WNT7B	1.1844	61	1
3_MACS_peak_32999_lociStitched	chr7	149498246	149531666	3	33212	60670.668	4083.924	62	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.6838000000000001	62	1
14_MACS_peak_17998_lociStitched	chr19	5992446	6030688	14	36931	49909.6342	4654.0514	63	RFX2	RANBP3	RANBP3	NONE	NONE	63	1
18_MACS_peak_7703_lociStitched	chr11	61272668	61311891	18	36795	48871.858	3239.8198	64	LRRC10B,SYT7	C11orf66	LRRC10B	C11orf66	0.8120999999999999	64	1
6_MACS_peak_11816_lociStitched	chr16	1305305	1340664	6	34432	54587.2242	2963.0842	65	TPSD1	TPSAB1,UBE2I,BAIAP3,TPSG1,TPSB2	TPSD1	TPSG1	1.5406	65	1
8_MACS_peak_2185_lociStitched	chr1	11487380	11525894	8	37152	46051.1898	3628.0188	66		PTCHD2	PTCHD2	PTCHD2	0.43960000000000005	66	1
7_MACS_peak_17588_lociStitched	chr19	3398116	3435053	7	35714	51069.0962	4303.1605	67	NFIC	C19orf77	NFIC	NFIC	1.1788	67	1
11_MACS_peak_7283_lociStitched	chr11	1821171	1858950	11	35829	49550.9364	3437.889	68	SYT8	TNNI2,LSP1,CTSD,MOB2,MIR4298	SYT8	SYT8	1.0543	68	1
4_MACS_peak_17694_lociStitched	chr19	4140381	4173842	4	33201	56247.941	4256.2392	69	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.4024	69	1
14_MACS_peak_15149_lociStitched	chr17	47513621	47551351	14	36331	46736.151	3882.417	70		NGFR,PHB	NGFR	NGFR	1.1654	70	1
2_MACS_peak_17218_lociStitched	chr19	709355	741388	2	31541	58613.9834	3930.4491	71	PALM	FSTL3,C19orf21,RNF126,PRSSL1	PALM	PALM	1.6058999999999999	71	1
10_MACS_peak_37472_lociStitched	chr9	139058974	139095049	10	34654	48246.705	2438.67	72	LHX3	C9orf69,QSOX2	LHX3	LHX3	0.9108	72	1
11_MACS_peak_17577_lociStitched	chr19	3360573	3397357	11	35096	47756.6672	3674.7216	73	NFIC		NFIC	NFIC	1.1788	73	1
4_MACS_peak_16837_lociStitched	chr17	79112653	79147261	4	34136	50209.2864	3273.9168	74	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	MIR1250	1.3493	74	1
6_MACS_peak_13552_lociStitched	chr17	1041377	1075936	6	33906	50646.2145	3372.9584	75	ABR	ABR	ABR	ABR	0.4114	75	1
5_MACS_peak_24711_lociStitched	chr20	61316912	61351966	5	34073	49205.2998	2818.3416	76	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.2389	76	1
8_MACS_peak_17749_lociStitched	chr19	4732921	4767778	8	34360	50640.2496	5169.2931	77		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.8553999999999999	77	1
6_MACS_peak_6319_lociStitched	chr10	102487084	102521335	6	33200	51256.6215	3781.3104	78	PAX2		PAX2	PAX2	0.7917	78	1
11_MACS_peak_13485_lociStitched	chr17	744878	781122	11	35341	44246.6752	3483.0484	79	NXN		GLOD4	NONE	NONE	79	1
3_MACS_peak_25648_lociStitched	chr21	46825805	46856448	3	30434	56683.4214	2767.0629	80	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	1.9702	80	1
17_MACS_peak_27848_lociStitched	chr22	45908403	45945635	17	35578	42705.104	3194.5056	81	FBLN1		FBLN1	FBLN1	0.9198999999999999	81	1
6_MACS_peak_17728_lociStitched	chr19	4509894	4542549	6	31952	54455.478	4457.4075	82	PLIN4,PLIN5,LRG1	HDGFRP2,SEMA6B	PLIN4	SEMA6B	1.1229	82	1
14_MACS_peak_13565_lociStitched	chr17	1108784	1145267	14	34835	45085.6914	3586.2789	83		BHLHA9,TUSC5,ABR	ABR	TUSC5	1.0291000000000001	83	1
19_MACS_peak_29520_lociStitched	chr4	7137337	7176443	19	35687	41460.1812	3335.7418	84		SORCS2,FLJ36777	SORCS2	FLJ36777	0.7035	84	1
31_MACS_peak_23638_lociStitched	chr20	48882621	48924056	31	35191	42582.7495	3343.8045	85	LOC284751		LOC284751	LOC284751	0.8835000000000001	85	1
4_MACS_peak_33026_lociStitched	chr7	150871965	150905640	4	33128	49707.6675	4519.185	86	ASB10,ABCF2	CHPF2,MIR671,GBX1,SMARCD3	ASB10	SMARCD3	1.2118	86	1
10_MACS_peak_17238_lociStitched	chr19	822606	856248	10	31934	52091.2728	3936.114	87	AZU1,PRTN3,ELANE	PTBP1,MIR3187,CFD,LPPR3,MED16	PRTN3	PRTN3	1.5129	87	1
6_MACS_peak_36578_lociStitched	chr9	136380280	136414098	6	33063	47308.0002	2715.5854	88	ADAMTSL2,TMEM8C	SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.2006999999999999	88	1
4_MACS_peak_36133_lociStitched	chr9	133882838	133915545	4	32423	48756.3249	2881.4867	89	LAMC3		LAMC3	LAMC3	1.1469	89	1
18_MACS_peak_16687_lociStitched	chr17	77998965	78036042	18	34119	42234.4107	3255.3606	90	CCDC40,TBC1D16	GAA	CCDC40	CCDC40	0.9809999999999999	90	1
10_MACS_peak_36418_lociStitched	chr9	135848432	135882957	10	33486	44267.955	3379.9975	91	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	1.2427	91	1
15_MACS_peak_37412_lociStitched	chr9	138882960	138919341	15	34223	40648.4913	2703.1083	92	NACC2	UBAC1	UBAC1	UBAC1	0.09269999999999999	92	1
8_MACS_peak_31192_lociStitched	chr6	30419037	30451368	8	30915	52049.6769	4261.2258	93		HLA-E	HLA-E	HLA-E	0.015999999999999986	93	1
4_MACS_peak_16868_lociStitched	chr17	79335600	79367458	4	31434	47589.4804	2784.3892	94		BAHCC1,TMEM105	BAHCC1	BAHCC1	1.3549	94	1
5_MACS_peak_7057_lociStitched	chr11	1031314	1063778	5	31900	46550.1296	3149.008	95	MUC6	MUC2	MUC6	MUC2	0.8958999999999999	95	1
9_MACS_peak_25431_lociStitched	chr21	45770589	45803546	9	31618	47276.8165	4426.1251	96	TRPM2	C21orf2	TRPM2	TRPM2	0.9271	96	1
5_MACS_peak_1996_lociStitched	chr1	10722546	10753587	5	30736	46809.828	2601.2358	98	CASZ1		CASZ1	CASZ1	1.2389999999999999	98	1
5_MACS_peak_37489_lociStitched	chr9	139222447	139252248	5	29363	47949.809	2291.6969	99	GPSM1	LOC26102,DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	1.3189000000000002	99	1
3_MACS_peak_16378_lociStitched	chr17	77147965	77178673	3	30635	44412.9804	2358.3744	100	RBFOX3		ENGASE	ENGASE	0.6938	100	1
8_MACS_peak_30874_lociStitched	chr5	176266074	176297675	8	30817	43906.4294	2957.8536	101	UNC5A	HK3	UNC5A	UNC5A	1.0305	101	1
6_MACS_peak_89_lociStitched	chr1	1094054	1124107	6	29463	47360.5227	2668.7064	102	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	TTLL10	TNFRSF18	1.2634	102	1
6_MACS_peak_17699_lociStitched	chr19	4185853	4217673	6	30922	45604.424	5523.952	103	ANKRD24	CREB3L3,EBI3,CCDC94,SIRT6	ANKRD24	CREB3L3	1.4024	103	1
7_MACS_peak_17288_lociStitched	chr19	1518019	1546754	7	28073	50625.323	3566.0135	104	PLK5P	REEP6,C19orf25,PCSK4,ADAMTSL5,MEX3D,MBD3	PLK5P	PLK5P	1.6675	104	1
6_MACS_peak_10139_lociStitched	chr12	54382924	54412541	6	28848	48053.5825	3444.4571	105	HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4	HOXC12,HOXC11,HOXC6,HOXC5,MIR615,HOXC4,FLJ12825,HOTAIR	HOXC9	HOXC9	1.5918999999999999	105	1
5_MACS_peak_37483_lociStitched	chr9	139138208	139167023	5	28437	47827.137	2639.454	106		LHX3,QSOX2	QSOX2	LHX3	0.9108	106	1
2_MACS_peak_28959_lociStitched	chr3	184274719	184304016	2	29222	47030.4741	4209.9789	107	EPHB3		EPHB3	EPHB3	1.4283000000000001	107	1
7_MACS_peak_11787_lociStitched	chr16	1204388	1235227	7	29788	42742.854	2164.8978	108	CACNA1H	TPSG1,TPSB2	CACNA1H	TPSG1	1.5406	108	1
6_MACS_peak_29173_lociStitched	chr4	3470876	3499004	6	27824	47384.4288	2199.6096	109	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.4154	109	1
16_MACS_peak_36562_lociStitched	chr9	136346473	136379217	16	30524	40514.1512	2897.844	110		C9orf7,ADAMTSL2,SLC2A6,TMEM8C	SLC2A6	TMEM8C	1.1151	110	1
6_MACS_peak_798_lociStitched	chr1	3505298	3536087	6	29954	41552.8344	2401.542	111	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MIR551A	1.2044	111	1
3_MACS_peak_31247_lociStitched	chr6	31958638	31985269	3	26502	49565.6172	3105.1746	112	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	CYP21A2	1.9869999999999999	112	1
8_MACS_peak_16407_lociStitched	chr17	77241662	77272380	8	29264	40219.0774	2577.2402	113	RBFOX3		ENGASE	ENGASE	0.6938	113	1
9_MACS_peak_15283_lociStitched	chr17	48675724	48707024	9	29679	39175.08	2976.63	114	CACNA1G	ABCC3	ABCC3	ABCC3	0.19380000000000003	114	1
8_MACS_peak_10379_lociStitched	chr13	113627342	113657202	8	28953	40952.99	2717.26	115	MCF2L	LOC100289410	MCF2L	MCF2L	0.9929000000000001	115	1
3_MACS_peak_24691_lociStitched	chr20	61141435	61168599	3	26903	45518.7148	1887.898	116	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR1-1	MIR1-1	1.7127999999999999	116	1
8_MACS_peak_9684_lociStitched	chr12	3378517	3408850	8	29709	37479.4548	2863.4352	117	TSPAN9		PRMT8	PRMT8	NONE	117	1
7_MACS_peak_11890_lociStitched	chr16	2325048	2355717	7	28783	40369.6047	2861.4177	118	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	MIR940	0.20470000000000002	118	1
7_MACS_peak_10130_lociStitched	chr12	54349132	54378422	7	28316	41272.539	2483.792	119	HOXC12,HOXC11,HOTAIR	HOXC13,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,MIR615	HOTAIR	HOXC9	1.5918999999999999	119	1
15_MACS_peak_16024_lociStitched	chr17	74872637	74904912	15	29672	36816.0925	2575.545	120	MGAT5B		MGAT5B	MGAT5B	0.944	120	1
9_MACS_peak_37462_lociStitched	chr9	139025396	139055561	9	28772	39612.678	2814.3945	121		NACC2,C9orf69,LHX3	C9orf69	NACC2	0.9847	121	1
7_MACS_peak_21148_lociStitched	chr19	47114991	47144605	7	28324	41809.0452	3719.5184	122	PTGIR,GNG8	CALM3,DACT3	PTGIR	PTGIR	1.3332	122	1
2_MACS_peak_26792_lociStitched	chr22	37711652	37739699	2	28016	41111.2926	2731.7778	123		CYTH4	CYTH4	CYTH4	0.127	123	1
5_MACS_peak_17213_lociStitched	chr19	681472	708765	5	26563	44405.711	2873.9529	124	FSTL3,PRSSL1	FGF22,PALM,C19orf21,POLRMT,RNF126	PRSSL1	PALM	1.6058999999999999	124	1
6_MACS_peak_36553_lociStitched	chr9	136294883	136324221	6	28910	37053.894	2608.1482	125	ADAMTS13	C9orf7,REXO4,SLC2A6	C9orf7	C9orf7	0.439	125	1
6_MACS_peak_25232_lociStitched	chr21	43716642	43744329	6	27336	43039.4415	3981.3906	126	ABCG1,TFF3	TFF2,TFF1	TFF3	TFF3	1.7031	126	1
3_MACS_peak_32996_lociStitched	chr7	149470082	149495817	3	25693	46613.8055	3497.3865	127	SSPO,ZNF467	ZNF862	SSPO	SSPO	1.4926	127	1
9_MACS_peak_621_lociStitched	chr1	3099253	3129792	9	29468	34118.1708	1945.3343	128	PRDM16		MIR4251	MIR4251	0.8749	128	1
9_MACS_peak_20744_lociStitched	chr19	42467445	42496811	9	28187	38337.313	2543.0956	129	ATP1A3	RABAC1	ATP1A3	ATP1A3	1.1081	129	1
1_MACS_peak_5261_lociStitched	chr1	156389372	156415117	1	25746	46256.0415	4330.309	130	C1orf61,MIR9-1		C1orf61	C1orf61	1.0360999999999998	130	1
3_MACS_peak_25248_lociStitched	chr21	43776105	43802717	3	26584	43188.6148	3826.8056	131	TFF1,TMPRSS3	UBASH3A,TFF3,TFF2	TFF1	TFF3	1.7031	131	1
8_MACS_peak_35931_lociStitched	chr9	132935067	132964462	8	28004	37584.447	2519.1515	132	NCS1		NCS1	NCS1	1.0394999999999999	132	1
18_MACS_peak_30813_lociStitched	chr5	176140426	176172638	18	28632	35649.0204	2792.7804	133			UNC5A	UNC5A	1.0305	133	1
7_MACS_peak_16781_lociStitched	chr17	78433100	78461876	7	27766	37736.8464	2204.2416	134	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.3116999999999999	134	1
5_MACS_peak_11975_lociStitched	chr16	3078343	3105971	5	27381	39300.83	2707.544	135	MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,THOC6,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	LOC283875	1.3502999999999998	135	1
2_MACS_peak_31_lociStitched	chr1	845511	869350	2	23501	47577.8762	1957.1819	136	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	1.9773000000000003	136	1
13_MACS_peak_2039_lociStitched	chr1	10917680	10948305	13	28377	35261.625	2835.875	137			CASZ1	CASZ1	1.2389999999999999	137	1
7_MACS_peak_16450_lociStitched	chr17	77354235	77382868	7	28089	35327.3954	2324.9996	138	RBFOX3		RBFOX3	RBFOX3	1.0804999999999998	138	1
8_MACS_peak_3624_lociStitched	chr1	21905386	21934639	8	27225	38640.2877	2939.9265	139	RAP1GAP		RAP1GAP	RAP1GAP	0.778	139	1
7_MACS_peak_21200_lociStitched	chr19	47902034	47930621	7	26989	39052.7007	2684.3193	140	MEIS3	DHX34,SLC8A2	MEIS3	MEIS3	1.2815	140	1
5_MACS_peak_16652_lociStitched	chr17	77904377	77931441	5	26730	37637.9048	2451.9984	141	TBC1D16		TBC1D16	TBC1D16	1.0589	141	1
16_MACS_peak_2282_lociStitched	chr1	11921923	11951028	16	27473	35030.778	2415.715	142		PLOD1,NPPA,NPPB,KIAA2013	NPPB	NPPB	0.8562	142	1
11_MACS_peak_25890_lociStitched	chr22	19719461	19747905	11	26945	36783.7808	2511.6052	143	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	GP1BB	1.3124	143	1
7_MACS_peak_13632_lociStitched	chr17	1828766	1855780	7	26287	38054.6218	2223.2522	144	RTN4RL1		RTN4RL1	RTN4RL1	1.1311	144	1
8_MACS_peak_21630_lociStitched	chr19	49917881	49946118	8	27195	35620.9755	2575.2144	145	CCDC155,LOC645971,PTH2,SLC17A7	ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.2541	145	1
