GENE_ID	locusLine	bin_1_OPM-2.jin.bam
NM_001113347	chr1(.):21538739-21611183	0.0671
NM_001113349	chr1(.):21538739-21621766	0.2769
NM_017707	chr1(.):23750055-23815750	0.0605
NM_002167	chr1(.):23879408-23891322	0.4001
NM_021258	chr1(.):24441260-24474611	0.044
NR_027087	chr1(.):24521729-24543180	0.3928
NM_015627	chr1(.):25865075-25900377	0.9999
NR_026685	chr1(.):26432655-26457026	1.1442
NM_152835	chr1(.):26433267-26457026	1.1729
NM_032588	chr1(.):26372797-26399121	0.0423
NM_024869	chr1(.):26480510-26494119	0.0973
NM_022778	chr1(.):26555692-26610299	0.359
NM_006015	chr1(.):27017521-27113601	0.7757
NM_014280	chr1(.):28521789-28564542	0.1733
NM_016311	chr1(.):28557610-28569611	0.4902
NM_031459	chr1(.):28581005-28614002	0.2542
NR_024127	chr1(.):28900049-28913366	0.5035
NM_152304	chr1(.):28913711-28926088	0.3111
NM_001193532	chr1(.):28914006-28926088	0.3079
NR_003035	chr1(.):28902431-28912565	0.5765
NR_002987	chr1(.):28901275-28911405	0.5601
NR_003109	chr1(.):28874528-28910057	0.2935
NM_001269	chr1(.):28839744-28870708	0.301
NR_002976	chr1(.):28901892-28912024	0.5603
NR_003077	chr1(.):28900254-28910334	0.5511
NR_004407	chr1(.):28970111-28980246	0.7183
NM_012199	chr1(.):36343809-36394899	0.0894
NM_001038633	chr1(.):38071950-38105491	0.1048
NM_017850	chr1(.):38142241-38161192	0.8071
NM_018101	chr1(.):38153158-38180391	0.4286
NR_003929	chr1(.):39982951-40030370	0.2619
NM_001195007	chr1(.):40199516-40234586	0.188
NM_022120	chr1(.):40230196-40242020	1.2631
NM_006004	chr1(.):46764379-46787447	0.5229
NM_006369	chr1(.):46739071-46774038	0.3564
NM_199044	chr1(.):46801389-46835690	0.2259
NM_002228	chr1(.):59241462-59254785	1.6704
NR_034015	chr1(.):59245822-59370384	0.3139
NM_001037339	chr1(.):66792792-66845262	0.0628
NR_026988	chr1(.):87590447-87607352	0.1726
NR_026989	chr1(.):87590447-87639886	0.3563
NR_026985	chr1(.):87592608-87607352	0.1872
NM_006769	chr1(.):87789150-87819607	1.0099
NM_001127215	chr1(.):92935317-92954356	1.5946
NM_005263	chr1(.):92935317-92957433	1.3936
NM_001127216	chr1(.):92935317-92956628	1.4429
NM_017709	chr1(.):118143603-118176011	1.0208
NM_207418	chr1(.):143891451-143918143	0.9748
NM_032305	chr1(.):145451235-145475387	1.2578
NM_202004	chr1(.):145408190-145422545	0.1607
NM_006472	chr1(.):145433461-145447628	1.3936
NM_001039888	chr1(.):145465507-145480647	0.5306
NM_001161334	chr1(.):149749244-149788928	0.3788
NM_001034077	chr1(.):149799220-149809616	2.0961
NM_001005464	chr1(.):149807258-149817765	6.1027
NM_001040874	chr1(.):149808784-149819318	6.1143
NM_001123375	chr1(.):149779779-149790236	1.0466
NM_005850	chr1(.):149890210-149904702	1.0845
NM_016074	chr1(.):149866154-149877348	0.2643
NM_003528	chr1(.):149851009-149863232	5.5761
NM_003517	chr1(.):149853524-149863961	6.4802
NM_175065	chr1(.):149854018-149864466	6.4503
NM_014849	chr1(.):149869871-149894434	0.2097
NM_181873	chr1(.):149895542-149913266	1.5547
NM_001145862	chr1(.):149895542-149913791	1.5145
NR_036461	chr1(.):149816758-149827340	5.8899
NM_001040874	chr1(.):149817627-149828161	5.8886
NM_001005464	chr1(.):149819180-149829687	5.8843
NM_001034077	chr1(.):149827329-149837725	2.2225
NM_030920	chr1(.):150185716-150213504	1.3832
NM_001136479	chr1(.):150185716-150212026	1.4426
NM_012113	chr1(.):150225217-150242480	0.7082
NM_024579	chr1(.):150240182-150258335	0.6269
NM_144697	chr1(.):150250228-150264501	0.1809
NM_016022	chr1(.):150232798-150246532	0.7943
NM_019032	chr1(.):150516897-150538412	1.8061
NR_036211	chr1(.):150519404-150529490	0.1796
NM_001197320	chr1(.):150542026-150557214	1.4161
NM_178427	chr1(.):150777180-150854244	0.4381
NM_000396	chr1(.):150763686-150785812	0.1052
NM_005620	chr1(.):151999981-152014511	1.4679
NM_002966	chr1(.):151950385-151971714	0.1397
NM_005988	chr1(.):153023595-153034988	0.3593
NM_005416	chr1(.):152969222-152981332	0.1432
NM_003125	chr1(.):152998678-153010376	0.2143
NM_006945	chr1(.):153007200-153018594	0.5665
NM_001017418	chr1(.):153037717-153049084	0.1228
NM_001024209	chr1(.):153060610-153072001	0.0948
NM_024330	chr1(.):153742767-153757633	0.9481
NM_001098616	chr1(.):154174182-154198273	2.4336
NM_001127320	chr1(.):154187654-154240980	0.8637
NM_001010979	chr1(.):154166847-154183809	0.965
NR_030600	chr1(.):154161140-154171219	0.2844
NM_014847	chr1(.):154188324-154248329	0.943
NM_020452	chr1(.):154295275-154328780	1.6255
NM_001005855	chr1(.):154293035-154315322	2.3368
NM_080429	chr1(.):154288591-154302801	3.5278
NM_001193495	chr1(.):154549533-154583776	0.9004
NM_001111	chr1(.):154549533-154585724	0.8644
NM_001025107	chr1(.):154549533-154605456	0.9903
NM_006556	chr1(.):154892207-154914484	3.5477
NM_001130041	chr1(.):154929773-154951959	2.5214
NM_001130040	chr1(.):154929773-154948223	2.8362
NM_201398	chr1(.):154950769-154970587	0.5449
NM_015872	chr1(.):154970111-154995999	1.8448
NM_207196	chr1(.):155018761-155040252	0.6086
NM_018655	chr1(.):154961061-154971791	0.5561
NM_001143687	chr1(.):155001281-155028406	0.4254
NR_024163	chr1(.):154942117-154956725	2.9334
NM_144622	chr1(.):154986002-155011257	0.1513
NM_138300	chr1(.):154924501-154939258	1.6816
NR_036212	chr1(.):154943168-154953259	3.4122
NM_032292	chr1(.):155729575-155831972	0.3632
NM_001037533	chr1(.):155714509-155831972	0.38
NM_006912	chr1(.):155862600-155886177	0.2305
NM_001162384	chr1(.):155911629-155953336	2.4335
NM_181885	chr1(.):155906479-155917625	2.4632
NM_004723	chr1(.):155911629-155952966	2.4387
NM_014949	chr1(.):155877835-155909188	0.7597
NR_002974	chr1(.):155884699-155894833	0.1136
NR_003005	chr1(.):155890748-155900877	0.1667
NM_001093725	chr1(.):156036803-156056789	0.3365
NM_003145	chr1(.):155973838-155995758	0.4883
NM_198406	chr1(.):156208208-156222792	0.4941
NM_014655	chr1(.):156158729-156187587	1.1824
NM_007221	chr1(.):156177783-156214833	2.3249
NM_022367	chr1(.):156118321-156152542	0.5198
NM_001193302	chr1(.):156118368-156152542	0.5197
NM_199173	chr1(.):156206950-156218112	0.5619
NM_024897	chr1(.):156208206-156222843	0.4933
NM_001193301	chr1(.):156114734-156152542	0.7145
NM_005920	chr1(.):156428518-156475529	2.432
NM_004494	chr1(.):156706898-156726543	2.1012
NM_001126051	chr1(.):156706898-156727024	2.0519
NM_001126050	chr1(.):156706898-156727240	2.0311
NM_030980	chr1(.):156687412-156702705	1.262
NM_001878	chr1(.):156664407-156680375	0.1653
NM_001142560	chr1(.):156693262-156711752	1.626
NM_145729	chr1(.):156702093-156715923	1.0918
NM_006617	chr1(.):156633555-156652189	0.4978
NR_001560	chr1(.):157093153-157103463	0.5052
NM_005240	chr1(.):157097975-157113177	2.1995
NM_001145312	chr1(.):157089458-157113383	1.4555
NM_001004341	chr1(.):157056834-157074600	0.1989
NM_003564	chr1(.):159882902-159900284	1.1841
NM_012337	chr1(.):159837153-159874906	0.1696
NM_001146172	chr1(.):159916281-159929044	0.087
NM_001778	chr1(.):160643535-160686585	1.1054
NM_003037	chr1(.):160574890-160622081	0.2364
NM_021181	chr1(.):160704076-160729601	0.6018
NM_001039711	chr1(.):161085768-161107478	1.1518
NM_016406	chr1(.):161118533-161133646	1.3652
NM_004550	chr1(.):161164104-161189184	0.6972
NM_000309	chr1(.):161131180-161146010	0.816
NM_001643	chr1(.):161187082-161198418	0.8045
NM_003779	chr1(.):161136100-161152314	2.1594
NM_012475	chr1(.):161124253-161140516	0.9562
NM_001039712	chr1(.):161085768-161107256	1.1621
NM_032174	chr1(.):161190832-161205407	0.6027
NM_001166159	chr1(.):161166936-161189184	0.7389
NM_005099	chr1(.):161154537-161173845	2.2612
NM_004106	chr1(.):161180086-161194038	0.2664
NM_003115	chr1(.):162526295-162574633	1.0773
NM_019026	chr1(.):165688527-165743135	1.0736
NM_198053	chr1(.):167394876-167492847	0.3048
NM_003851	chr1(.):167505250-167528056	1.3001
NR_030284	chr1(.):168339761-168349859	0.1348
NM_000450	chr1(.):169686780-169708220	0.3395
NR_029467	chr1(.):169654805-169682997	0.8406
NM_000655	chr1(.):169654805-169685843	0.7737
NM_022100	chr1(.):174977093-174997591	0.4952
NM_022371	chr1(.):179046111-179070129	1.4658
NM_021133	chr1(.):182537771-182561108	0.1771
NM_002928	chr1(.):182562757-182578548	0.4482
NR_036490	chr1(.):182579274-182590764	1.5169
NM_001195216	chr1(.):197698138-197749623	0.9143
NM_005298	chr1(.):200837165-200848251	0.2627
NM_018265	chr1(.):200855638-200889864	0.7936
NM_001142569	chr1(.):200858998-200889864	0.6969
NM_017596	chr1(.):200933519-200997828	0.8423
NM_001197131	chr1(.):202504241-202562697	0.7039
NM_021633	chr1(.):202855229-202901371	0.7697
NM_002871	chr1(.):202843085-202863263	0.34
NM_138391	chr1(.):202971533-202998197	0.3213
NM_001079809	chr1(.):202971535-202997668	0.3217
NR_036557	chr1(.):202950579-202981393	0.256
NM_016243	chr1(.):202926000-202941404	0.6387
NM_001127687	chr1(.):202904960-202932700	0.2775
NM_015999	chr1(.):202904960-202932485	0.279
NM_002479	chr1(.):203047256-203060377	0.0894
NR_034150	chr1(.):203262885-203279453	2.0902
NM_006763	chr1(.):203269663-203283729	1.5096
NM_002023	chr1(.):203304751-203325289	0.1066
NM_030952	chr1(.):205266190-205295883	0.1473
NM_001123168	chr1(.):206133910-206160074	0.8826
NM_001007544	chr1(.):206233871-206293647	0.3136
NM_148964	chr1(.):206312458-206337104	0.0647
NM_006893	chr1(.):206759973-206790904	0.1528
NM_182665	chr1(.):206725491-206767616	0.6819
NM_032960	chr1(.):206853288-206912626	1.0223
NM_000572	chr1(.):206935947-206950839	0.2615
NM_013371	chr1(.):206997221-207021325	0.1986
NM_153758	chr1(.):206967214-207021324	0.5354
NM_018724	chr1(.):207034153-207047568	0.0959
NR_026817	chr1(.):207986723-208000941	0.726
NR_029832	chr1(.):207970196-207980284	0.1092
NR_029518	chr1(.):207970787-207980868	0.1207
NM_020997	chr1(.):226068981-226081836	0.6807
NM_014698	chr1(.):226028232-226075420	0.4628
NM_001172425	chr1(.):226119297-226134083	2.9016
NM_013328	chr1(.):226102579-226116965	1.0322
NM_181441	chr1(.):228289379-228302013	1.4622
NR_037415	chr1(.):228279963-228290042	0.1104
NM_001024227	chr1(.):228265850-228291913	1.2562
NM_001024226	chr1(.):228265360-228291913	1.2347
NM_024319	chr1(.):228283427-228296022	0.77
NM_033445	chr1(.):228640064-228650560	0.0556
NM_001010858	chr1(.):228670067-228688889	1.3198
NM_175055	chr1(.):228640807-228651259	0.0562
NM_145257	chr1(.):229451751-229483688	0.6791
NM_019090	chr1(.):232935637-232951092	1.4405
NM_002245	chr1(.):233744749-233813258	0.5345
NM_182972	chr1(.):234735014-234750271	3.4455
NR_033927	chr1(.):234760056-234775526	0.0978
NM_006352	chr1(.):244211581-244225778	0.7556
NM_205768	chr1(.):244209560-244225778	0.8187
NM_173858	chr1(.):247414373-247425447	0.0469
NR_037480	chr1(.):247360268-247370362	0.0867
NM_015535	chr2(.):201165603-201351986	0.2604
NM_001100422	chr2(.):201165984-201351986	0.2608
NM_001100423	chr2(.):201166355-201351986	0.2613
NM_024080	chr2(.):234821042-234933166	0.3825
NM_020458	chr2(.):47163312-47308275	0.3973
NR_033872	chr2(.):70184394-70319147	0.3096
NR_015395	chr2(.):112119590-112257692	0.6831
NR_024373	chr2(.):112181885-112257692	1.1856
NM_001099289	chr2(.):109740996-110267207	0.0967
NM_001113397	chr2(.):180301710-180615769	0.2413
NM_152520	chr2(.):180301710-180731232	0.1891
NM_001012514	chr2(.):231724620-231748963	0.9121
NM_145693	chr2(.):11881739-11972533	0.2593
NM_170672	chr2(.):33656415-33794798	0.3549
NM_138801	chr2(.):38888051-38966909	0.4487
NM_001083953	chr2(.):43452974-43828113	0.2835
NM_022065	chr2(.):43452974-43828185	0.2835
NM_018079	chr2(.):45610818-45843433	0.2016
NM_001190274	chr2(.):48029058-48137932	0.1582
NM_025133	chr2(.):48029058-48120858	0.0464
NM_178313	chr2(.):54780530-54894445	0.4381
NM_003128	chr2(.):54678453-54903583	0.3002
NM_022893	chr2(.):60679328-60785633	0.144
NM_018014	chr2(.):60673301-60785633	0.1377
NM_015910	chr2(.):63343534-63820851	0.0746
NM_005917	chr2(.):63810742-63839330	0.4764
NM_001199111	chr2(.):63811284-63839330	0.4844
NM_003236	chr2(.):70669416-70786105	0.0919
NR_024204	chr2(.):87749973-87826030	1.2844
NM_004836	chr2(.):88851258-88932094	0.9343
NM_004027	chr2(.):99056320-99212496	1.1916
NM_001566	chr2(.):99056320-99203284	1.2627
NM_003581	chr2(.):106356519-106515730	0.3008
NM_004336	chr2(.):111390408-111440684	0.4615
NR_027020	chr2(.):132900163-133020542	0.207
NM_016836	chr2(.):161123661-161355318	0.2155
NM_001077269	chr2(.):175419301-175552627	0.2108
NM_017694	chr2(.):191268080-191372041	0.2657
NR_024415	chr2(.):192537797-192558248	0.9357
NM_001031716	chr2(.):192537860-192558248	0.9381
NM_004226	chr2(.):196993306-197041336	0.5355
NM_001228	chr2(.):202093165-202157434	0.5082
NM_003879	chr2(.):201975889-202034003	0.7465
NM_001127184	chr2(.):201975815-202011323	1.1607
NM_173822	chr2(.):201833440-201941392	0.2101
NM_033358	chr2(.):202093165-202151638	0.5556
NM_152519	chr2(.):210880434-211041051	0.153
NM_001167608	chr2(.):227695670-227868923	0.1597
NM_152383	chr2(.):232821292-233206908	0.1614
NM_001137551	chr2(.):238595806-238695290	0.3702
NM_001137550	chr2(.):238531223-238695290	0.2835
NM_017844	chr2(.):241413838-241502405	0.1287
NM_001195381	chr2(.):241539824-241575676	0.0783
NM_005301	chr2(.):241559661-241575676	0.104
NM_003108	chr2(.):5827798-5846517	1.3363
NR_026833	chr2(.):6117109-6133364	0.0911
NR_026832	chr2(.):6067818-6125350	0.4078
NM_001037160	chr2(.):10191925-10225538	0.0704
NM_182626	chr2(.):10276508-10356856	0.0545
NM_001165931	chr2(.):10257694-10276546	1.4508
NM_001034	chr2(.):10257862-10276546	1.4638
NM_198256	chr2(.):11579500-11611297	0.2622
NM_033090	chr2(.):11677850-11737272	0.0986
NM_014668	chr2(.):11669241-11787912	0.0762
NM_148903	chr2(.):11675079-11733355	0.0975
NR_026766	chr2(.):16075019-16086845	0.6592
NM_005378	chr2(.):16075682-16092129	0.4779
NM_002997	chr2(.):20395557-20429927	2.3578
NM_001006946	chr2(.):20395557-20430194	2.3401
NM_005253	chr2(.):28610778-28642516	0.4847
NM_015376	chr2(.):33733941-33794798	0.0836
NM_001139488	chr2(.):33696320-33794798	0.4345
NM_012413	chr2(.):37566752-37605465	0.6604
NM_006887	chr2(.):43444540-43458745	2.6291
NR_027251	chr2(.):43449349-43460994	2.2986
NM_001171508	chr2(.):47124008-47173994	0.3122
NM_002354	chr2(.):47591286-47619167	0.0528
NR_002229	chr2(.):54751358-54761978	1.0434
NM_207521	chr2(.):55194326-55281326	0.3027
NM_207520	chr2(.):55194326-55282734	0.3032
NM_007008	chr2(.):55194326-55242470	0.3148
NM_006196	chr2(.):70309584-70321334	2.8562
NR_024444	chr2(.):70346167-70357448	0.9611
NM_006636	chr2(.):74420689-74447424	1.0497
NM_018221	chr2(.):74378210-74410995	0.1471
NM_015425	chr2(.):86248450-86338278	0.5799
NR_026984	chr2(.):86242338-86255991	0.1418
NM_001113382	chr2(.):97303573-97375624	0.1047
NM_017991	chr2(.):97253906-97309115	0.2892
NM_002101	chr2(.):127408683-127459246	0.456
NM_001006622	chr2(.):128515059-128573761	0.2035
NM_004805	chr2(.):128598839-128620729	0.2374
NR_031608	chr2(.):133009538-133019653	0.3742
NM_004288	chr2(.):158266130-158305604	0.503
NR_033309	chr2(.):165539152-165549287	0.0626
NM_002610	chr2(.):173415778-173468862	0.5387
NM_003387	chr2(.):175419301-175504307	0.3095
NM_002491	chr2(.):201931461-201955473	0.2954
NM_001127183	chr2(.):201978386-202033841	0.7771
NM_033356	chr2(.):202120222-202157434	0.5756
NM_001080125	chr2(.):202117753-202157434	0.5745
NM_006139	chr2(.):204566197-204607557	0.6857
NM_005544	chr2(.):227591032-227668506	0.683
NM_001099285	chr2(.):232568234-232583250	3.2517
NR_036052	chr2(.):232573023-232583105	1.6654
NM_004735	chr2(.):238595806-238679558	0.4311
NM_023083	chr2(.):241521132-241543526	0.5857
NM_001033575	chr2(.):241494470-241508431	1.4969
NM_018226	chr2(.):241503103-241523143	0.965
NM_014674	chr3(.):5224358-5266650	0.4464
NR_027007	chr3(.):9425536-9444174	1.2253
NM_001195099	chr3(.):15703743-15803058	0.0579
NM_001195098	chr3(.):15703743-15844691	0.1409
NM_015199	chr3(.):15703743-15906053	0.1627
NM_001166243	chr3(.):59730035-61242133	0.0516
NM_002841	chr3(.):61542242-62285573	0.1994
NM_181780	chr3(.):112177812-112223408	0.585
NM_016128	chr3(.):128963452-129001616	0.7069
NM_003571	chr3(.):133113789-133199056	0.3324
NM_006219	chr3(.):138369230-138483185	0.2546
NM_005862	chr3(.):136050998-136476245	0.1027
NM_207294	chr3(.):152012193-152188569	0.2838
NM_021038	chr3(.):151980828-152188568	0.5046
NM_001135095	chr3(.):171753343-172123492	0.2067
NM_022763	chr3(.):171752417-172123492	0.2067
NM_181361	chr3(.):178249223-178567217	0.1341
NM_182666	chr3(.):23842438-23937807	0.2975
NM_001068	chr3(.):25634474-25710788	0.2564
NM_001024847	chr3(.):30642993-30740633	0.4154
NM_014016	chr3(.):45725753-45791900	0.1077
NM_181042	chr3(.):52574367-52718739	0.0477
NM_018313	chr3(.):52574367-52724866	0.0866
NM_015541	chr3(.):66424220-66555845	0.2766
NM_014429	chr3(.):108672086-108841993	0.133
NM_001004196	chr3(.):112046915-112086658	0.1007
NM_183061	chr3(.):111854751-112018074	0.1803
NM_199420	chr3(.):121145272-121269853	0.158
NM_001023571	chr3(.):121483609-121558926	0.5388
NM_002213	chr3(.):124476794-124611144	0.6906
NM_001134422	chr3(.):133287433-133314118	0.6943
NM_001134423	chr3(.):133288300-133314118	0.7122
NM_024491	chr3(.):138208186-138318129	0.2183
NM_001080412	chr3(.):141038054-141173632	1.4474
NM_016275	chr3(.):150316065-150353234	0.4603
NM_016625	chr3(.):157822891-158267576	0.0895
NM_002740	chr3(.):169935219-170028770	0.3153
NM_024665	chr3(.):176733541-176920048	0.1954
NM_005832	chr3(.):178271617-178567217	0.1362
NM_173216	chr3(.):186643314-186801341	0.1359
NM_003032	chr3(.):186734664-186801341	0.1982
NM_001647	chr3(.):195290572-195316076	0.1354
NM_015931	chr3(.):8656319-8698737	0.161
NM_015453	chr3(.):9399716-9433475	0.2478
NM_001080517	chr3(.):9434402-9524838	0.307
NM_000060	chr3(.):15638254-15692325	0.3942
NM_012260	chr3(.):15597239-15648130	0.1036
NM_194293	chr3(.):39219706-39239077	0.1986
NM_001198621	chr3(.):39219705-39239085	0.1987
NM_014240	chr3(.):45631322-45727755	0.5001
NR_033947	chr3(.):45714656-45735374	0.2226
NM_001295	chr3(.):46238199-46254832	1.7375
NM_001837	chr3(.):46278871-46313197	0.0663
NM_001010983	chr3(.):52723503-52745048	0.5201
NM_206825	chr3(.):52714935-52733510	0.4253
NR_003687	chr3(.):52719753-52729846	0.517
NM_014041	chr3(.):52734856-52747197	0.8363
NR_003057	chr3(.):52721751-52731828	0.1392
NM_152932	chr3(.):52723503-52742622	0.5071
NR_003047	chr3(.):52718255-52728331	0.6455
NM_052859	chr3(.):53117500-53169470	0.724
NM_006100	chr3(.):98446571-98518236	0.8683
NM_001012659	chr3(.):121281777-121314469	0.2186
NM_016298	chr3(.):121307169-121354139	0.1974
NM_004487	chr3(.):121377047-121473602	0.178
NM_018456	chr3(.):121549033-121610373	0.2035
NR_033434	chr3(.):124444212-124473119	0.2434
NM_020187	chr3(.):128992683-129029135	0.7906
NM_001006109	chr3(.):128992816-129029135	0.7935
NM_006026	chr3(.):129028613-129040120	1.4651
NR_026991	chr3(.):129030113-129048412	0.8319
NM_001033031	chr3(.):138322541-138357213	0.3182
NM_018147	chr3(.):138322918-138357213	0.3213
NM_032383	chr3(.):148842370-148896305	0.3609
NR_027037	chr3(.):151975404-151992415	1.5945
NM_001123228	chr3(.):152052486-152063779	0.3339
NR_034008	chr3(.):156802669-156823924	1.292
NR_034007	chr3(.):156794455-156845791	0.6147
NM_014373	chr3(.):169750734-169808183	0.4103
NM_001145098	chr3(.):170070472-170115950	0.4025
NM_001145097	chr3(.):170072410-170115950	0.4136
NM_006241	chr3(.):195236220-195275224	0.521
NM_014687	chr3(.):197393258-197468773	0.6033
NM_001145642	chr3(.):197393313-197481568	0.5738
NR_027840	chr3(.):197472260-197516317	0.1422
NM_032288	chr3(.):197471623-197516317	0.1407
NR_030627	chr3(.):197396366-197406447	0.0693
NM_001011537	chr3(.):197471423-197516317	0.1408
NM_001145065	chr4(.):91043683-92528370	0.0925
NM_001145853	chr4(.):6266576-6309992	0.4586
NM_003215	chr4(.):48132799-48276814	0.2995
NM_020859	chr4(.):77351252-77709405	0.3314
NM_144571	chr4(.):78629540-78745544	0.2927
NM_198281	chr4(.):90160428-90234161	1.1597
NM_001008388	chr4(.):103785134-103818963	0.4762
NM_001080477	chr4(.):183240136-183729177	0.1069
NM_152683	chr4(.):185565766-185621112	0.6485
NM_001039127	chr4(.):48276-161490	0.2962
NM_001042424	chr4(.):1868122-1988934	0.324
NM_133330	chr4(.):1889508-1988930	0.2953
NM_133335	chr4(.):1889508-1988934	0.2953
NM_144720	chr4(.):6050481-6207318	0.1983
NM_001099433	chr4(.):6022925-6207318	0.1767
NM_005112	chr4(.):10070962-10123573	0.8965
NM_052964	chr4(.):10486837-10691386	0.1089
NM_004310	chr4(.):40193526-40251281	0.7771
NM_173468	chr4(.):71763063-71858891	0.2943
NM_001136570	chr4(.):77167852-77209929	0.1105
NM_005935	chr4(.):87923152-88067191	0.2257
NM_001166693	chr4(.):87851153-88067206	0.3952
NM_000297	chr4(.):88923819-89003929	0.1771
NM_005327	chr4(.):108905869-108961331	0.7798
NM_017918	chr4(.):110476354-110613872	0.1377
NM_172129	chr4(.):114373343-114688083	0.2202
NM_172128	chr4(.):114367187-114688083	0.2171
NM_024900	chr4(.):129725778-129790787	0.5856
NM_199320	chr4(.):129725778-129801379	0.5098
NM_002039	chr4(.):144252982-144400718	0.4615
NM_000901	chr4(.):148994914-149368672	0.107
NM_033632	chr4(.):153237409-153461172	0.1905
NM_020840	chr4(.):159685181-159832954	0.4545
NM_001166109	chr4(.):169547767-169854608	0.1436
NM_016081	chr4(.):169413216-169854608	0.1255
NM_020870	chr4(.):170010406-170197249	0.2228
