GENE_ID	locusLine	bin_1_MM.1S.jin.bam
4_MACS_peak_110_lociStitched	chr1(.):6844026-6846336	1.8517
1_MACS_peak_114_lociStitched	chr1(.):6892138-6892527	0.9808
3_MACS_peak_115_lociStitched	chr1(.):6960781-6963348	0.8228
2_MACS_peak_118_lociStitched	chr1(.):6977896-6981147	1.3221
2_MACS_peak_120_lociStitched	chr1(.):6981730-6983717	0.8757
1_MACS_peak_122_lociStitched	chr1(.):7467130-7467424	0.4137
1_MACS_peak_123_lociStitched	chr1(.):7831242-7832001	0.7885
2_MACS_peak_124_lociStitched	chr1(.):8021126-8022312	1.8647
1_MACS_peak_126_lociStitched	chr1(.):8086031-8086313	0.4492
1_MACS_peak_127_lociStitched	chr1(.):8229495-8229783	0.797
2_MACS_peak_128_lociStitched	chr1(.):8655770-8656876	0.648
2_MACS_peak_130_lociStitched	chr1(.):8662760-8664631	0.9475
1_MACS_peak_132_lociStitched	chr1(.):8740853-8741164	0.4987
2_MACS_peak_133_lociStitched	chr1(.):8761142-8763650	1.2943
1_MACS_peak_135_lociStitched	chr1(.):8764687-8765232	0.8173
1_MACS_peak_136_lociStitched	chr1(.):8772316-8772994	1.2368
2_MACS_peak_137_lociStitched	chr1(.):8876877-8878343	1.3784
2_MACS_peak_139_lociStitched	chr1(.):8937811-8939683	2.4295
1_MACS_peak_141_lociStitched	chr1(.):9136795-9137111	0.5127
4_MACS_peak_142_lociStitched	chr1(.):9138383-9141441	0.9458
2_MACS_peak_146_lociStitched	chr1(.):9222429-9225704	1.1513
1_MACS_peak_148_lociStitched	chr1(.):9242095-9242741	0.7702
1_MACS_peak_149_lociStitched	chr1(.):9294803-9295592	1.598
1_MACS_peak_150_lociStitched	chr1(.):9335851-9336351	1.2534
2_MACS_peak_151_lociStitched	chr1(.):9340505-9342364	1.0601
1_MACS_peak_153_lociStitched	chr1(.):9353315-9354033	0.7694
2_MACS_peak_154_lociStitched	chr1(.):9472465-9474256	1.1174
4_MACS_peak_156_lociStitched	chr1(.):9485206-9489701	1.3674
1_MACS_peak_160_lociStitched	chr1(.):9599436-9599877	0.7842
2_MACS_peak_161_lociStitched	chr1(.):9648868-9649759	1.623
1_MACS_peak_163_lociStitched	chr1(.):9749157-9749493	0.8937
1_MACS_peak_164_lociStitched	chr1(.):9776826-9778742	1.9682
1_MACS_peak_165_lociStitched	chr1(.):9846725-9848498	1.6891
1_MACS_peak_166_lociStitched	chr1(.):9883236-9884121	1.3893
1_MACS_peak_167_lociStitched	chr1(.):9969630-9970141	1.8258
1_MACS_peak_168_lociStitched	chr1(.):9970761-9971356	1.1715
2_MACS_peak_169_lociStitched	chr1(.):10002793-10004021	1.0936
1_MACS_peak_171_lociStitched	chr1(.):10010565-10011172	1.4233
2_MACS_peak_172_lociStitched	chr1(.):10050168-10051633	1.001
1_MACS_peak_174_lociStitched	chr1(.):10092959-10093753	2.1664
1_MACS_peak_175_lociStitched	chr1(.):10229218-10230568	1.1868
2_MACS_peak_176_lociStitched	chr1(.):10249168-10250695	0.9903
1_MACS_peak_178_lociStitched	chr1(.):10251254-10251615	0.5297
4_MACS_peak_179_lociStitched	chr1(.):10259298-10261611	0.8124
2_MACS_peak_183_lociStitched	chr1(.):10269957-10271500	1.4344
5_MACS_peak_185_lociStitched	chr1(.):10310891-10314629	0.9502
1_MACS_peak_190_lociStitched	chr1(.):10459107-10459735	1.3387
1_MACS_peak_191_lociStitched	chr1(.):10490444-10491294	1.7126
1_MACS_peak_192_lociStitched	chr1(.):10517098-10517673	1.0269
2_MACS_peak_193_lociStitched	chr1(.):10532147-10533204	0.687
1_MACS_peak_195_lociStitched	chr1(.):10534863-10535514	1.0599
2_MACS_peak_196_lociStitched	chr1(.):10999347-11000878	0.945
1_MACS_peak_198_lociStitched	chr1(.):11040099-11040504	0.717
1_MACS_peak_199_lociStitched	chr1(.):11072255-11073354	3.0905
2_MACS_peak_200_lociStitched	chr1(.):11119401-11120697	0.8747
1_MACS_peak_202_lociStitched	chr1(.):11159318-11160064	1.7503
2_MACS_peak_203_lociStitched	chr1(.):11286958-11288326	1.139
1_MACS_peak_205_lociStitched	chr1(.):11321988-11322668	1.2087
1_MACS_peak_206_lociStitched	chr1(.):11333133-11334206	2.2984
1_MACS_peak_207_lociStitched	chr1(.):11538879-11539690	2.2837
6_MACS_peak_208_lociStitched	chr1(.):11623230-11631491	1.5105
1_MACS_peak_214_lociStitched	chr1(.):11632001-11632349	0.4062
1_MACS_peak_215_lociStitched	chr1(.):11715018-11715330	0.6149
1_MACS_peak_216_lociStitched	chr1(.):11724236-11725122	0.8175
1_MACS_peak_217_lociStitched	chr1(.):11740725-11741578	1.5705
2_MACS_peak_218_lociStitched	chr1(.):11796168-11798094	1.2051
1_MACS_peak_220_lociStitched	chr1(.):11843369-11845436	1.8018
2_MACS_peak_221_lociStitched	chr1(.):11865228-11866874	1.6192
1_MACS_peak_223_lociStitched	chr1(.):11967822-11968361	1.7676
2_MACS_peak_224_lociStitched	chr1(.):11968932-11970277	1.1849
2_MACS_peak_226_lociStitched	chr1(.):11985469-11987031	1.1584
1_MACS_peak_228_lociStitched	chr1(.):12040143-12040895	2.7851
1_MACS_peak_229_lociStitched	chr1(.):12079585-12080204	1.157
2_MACS_peak_230_lociStitched	chr1(.):12107002-12108262	0.8705
1_MACS_peak_232_lociStitched	chr1(.):12111440-12113146	1.4366
1_MACS_peak_233_lociStitched	chr1(.):12221076-12223109	1.528
1_MACS_peak_234_lociStitched	chr1(.):12226756-12227770	1.7352
1_MACS_peak_235_lociStitched	chr1(.):12290073-12290760	1.2395
2_MACS_peak_236_lociStitched	chr1(.):12896938-12898147	0.825
2_MACS_peak_238_lociStitched	chr1(.):13824537-13826673	1.1997
1_MACS_peak_240_lociStitched	chr1(.):14026401-14027300	1.0492
1_MACS_peak_241_lociStitched	chr1(.):14056494-14058300	1.3307
2_MACS_peak_242_lociStitched	chr1(.):14075155-14076750	1.5662
2_MACS_peak_244_lociStitched	chr1(.):14237586-14239073	0.9132
2_MACS_peak_246_lociStitched	chr1(.):14246637-14249401	1.0489
1_MACS_peak_248_lociStitched	chr1(.):14253541-14253966	0.5529
2_MACS_peak_249_lociStitched	chr1(.):14271825-14273853	0.8912
1_MACS_peak_251_lociStitched	chr1(.):14293678-14294294	0.7113
2_MACS_peak_252_lociStitched	chr1(.):14336573-14338724	1.5617
2_MACS_peak_254_lociStitched	chr1(.):14362875-14367394	1.4229
2_MACS_peak_256_lociStitched	chr1(.):14501292-14501984	0.6039
1_MACS_peak_258_lociStitched	chr1(.):14502487-14502767	0.4041
1_MACS_peak_259_lociStitched	chr1(.):14503391-14503775	0.6028
1_MACS_peak_260_lociStitched	chr1(.):14507964-14508634	0.9154
1_MACS_peak_261_lociStitched	chr1(.):14647425-14647737	0.8723
2_MACS_peak_262_lociStitched	chr1(.):14687014-14688217	1.115
1_MACS_peak_264_lociStitched	chr1(.):14695222-14697708	1.4963
1_MACS_peak_265_lociStitched	chr1(.):14924895-14925215	0.7683
2_MACS_peak_266_lociStitched	chr1(.):15150544-15151689	0.5285
1_MACS_peak_268_lociStitched	chr1(.):15161384-15164493	1.9226
1_MACS_peak_269_lociStitched	chr1(.):15208017-15208763	0.9859
1_MACS_peak_270_lociStitched	chr1(.):15251201-15251536	0.7298
1_MACS_peak_271_lociStitched	chr1(.):15479935-15480563	0.7058
2_MACS_peak_272_lociStitched	chr1(.):15482339-15484001	1.0266
1_MACS_peak_274_lociStitched	chr1(.):15487260-15487571	0.7334
1_MACS_peak_275_lociStitched	chr1(.):15500546-15501124	1.054
5_MACS_peak_276_lociStitched	chr1(.):15502052-15506783	1.1482
1_MACS_peak_281_lociStitched	chr1(.):15545735-15546609	1.2501
1_MACS_peak_282_lociStitched	chr1(.):15574975-15575634	0.8295
1_MACS_peak_283_lociStitched	chr1(.):15584896-15585296	0.4852
2_MACS_peak_284_lociStitched	chr1(.):15688346-15689672	1.0133
1_MACS_peak_286_lociStitched	chr1(.):15710517-15711036	0.5057
1_MACS_peak_287_lociStitched	chr1(.):15735851-15737162	1.2705
3_MACS_peak_288_lociStitched	chr1(.):15850246-15852065	0.7204
1_MACS_peak_291_lociStitched	chr1(.):15853254-15853861	2.0905
2_MACS_peak_292_lociStitched	chr1(.):15897355-15899345	1.7507
1_MACS_peak_294_lociStitched	chr1(.):15905100-15907348	1.6444
1_MACS_peak_295_lociStitched	chr1(.):15910763-15911894	1.5691
1_MACS_peak_296_lociStitched	chr1(.):15943942-15944857	2.2072
2_MACS_peak_297_lociStitched	chr1(.):16010139-16011766	1.5873
1_MACS_peak_299_lociStitched	chr1(.):16023347-16024324	0.7225
1_MACS_peak_300_lociStitched	chr1(.):16072927-16073275	0.7124
1_MACS_peak_301_lociStitched	chr1(.):16150413-16150733	0.5434
2_MACS_peak_302_lociStitched	chr1(.):16160849-16163108	2.7478
2_MACS_peak_304_lociStitched	chr1(.):16173384-16176786	1.8426
1_MACS_peak_306_lociStitched	chr1(.):16178143-16178572	0.6051
1_MACS_peak_307_lociStitched	chr1(.):16302068-16302617	1.7894
1_MACS_peak_308_lociStitched	chr1(.):16339367-16339731	0.5688
2_MACS_peak_309_lociStitched	chr1(.):16399708-16400601	0.8458
1_MACS_peak_311_lociStitched	chr1(.):16533189-16533662	0.8668
1_MACS_peak_312_lociStitched	chr1(.):16563136-16563715	1.1447
2_MACS_peak_313_lociStitched	chr1(.):16678300-16679480	1.6702
1_MACS_peak_315_lociStitched	chr1(.):16693558-16695090	2.04
3_MACS_peak_316_lociStitched	chr1(.):16767143-16771021	1.3107
1_MACS_peak_319_lociStitched	chr1(.):16832352-16832931	2.1332
1_MACS_peak_321_lociStitched	chr1(.):16939304-16940616	1.6856
1_MACS_peak_322_lociStitched	chr1(.):16970082-16972109	3.2987
1_MACS_peak_323_lociStitched	chr1(.):16993232-16994206	6.0044
1_MACS_peak_324_lociStitched	chr1(.):17012441-17012867	0.5628
1_MACS_peak_325_lociStitched	chr1(.):17066266-17067245	5.6395
1_MACS_peak_326_lociStitched	chr1(.):17074766-17075400	1.1302
1_MACS_peak_327_lociStitched	chr1(.):17221648-17222675	4.3347
2_MACS_peak_328_lociStitched	chr1(.):17230200-17233398	2.7099
1_MACS_peak_330_lociStitched	chr1(.):17240571-17241300	1.554
1_MACS_peak_331_lociStitched	chr1(.):17379904-17380603	1.5939
2_MACS_peak_332_lociStitched	chr1(.):17764202-17766747	1.5025
1_MACS_peak_334_lociStitched	chr1(.):17787670-17788087	0.6627
1_MACS_peak_335_lociStitched	chr1(.):17803838-17804362	0.7594
2_MACS_peak_336_lociStitched	chr1(.):17877104-17878038	0.5389
1_MACS_peak_338_lociStitched	chr1(.):19228885-19229347	1.7532
1_MACS_peak_339_lociStitched	chr1(.):19252578-19255200	1.7649
1_MACS_peak_340_lociStitched	chr1(.):19277613-19278778	1.0581
2_MACS_peak_341_lociStitched	chr1(.):19281980-19283170	0.9747
1_MACS_peak_343_lociStitched	chr1(.):19536074-19537664	1.6656
1_MACS_peak_344_lociStitched	chr1(.):19577702-19579139	2.348
2_MACS_peak_345_lociStitched	chr1(.):19638078-19639380	1.7215
2_MACS_peak_347_lociStitched	chr1(.):19811264-19812831	2.1187
2_MACS_peak_349_lociStitched	chr1(.):19922616-19924380	2.0795
1_MACS_peak_351_lociStitched	chr1(.):20125758-20126895	1.2907
1_MACS_peak_352_lociStitched	chr1(.):20208767-20209668	1.482
1_MACS_peak_353_lociStitched	chr1(.):20834179-20834727	0.7583
1_MACS_peak_354_lociStitched	chr1(.):20959879-20960589	1.0462
2_MACS_peak_355_lociStitched	chr1(.):20984448-20985730	1.5494
2_MACS_peak_357_lociStitched	chr1(.):20987253-20988625	1.5969
1_MACS_peak_359_lociStitched	chr1(.):21059834-21060257	0.8682
2_MACS_peak_360_lociStitched	chr1(.):21112533-21114353	2.3968
1_MACS_peak_362_lociStitched	chr1(.):21347914-21349687	1.2462
3_MACS_peak_363_lociStitched	chr1(.):21502444-21503492	1.2007
2_MACS_peak_366_lociStitched	chr1(.):21616260-21617953	1.1239
2_MACS_peak_368_lociStitched	chr1(.):21618704-21621934	2.1372
1_MACS_peak_370_lociStitched	chr1(.):21660890-21661405	0.8296
2_MACS_peak_371_lociStitched	chr1(.):21671388-21672553	1.1483
1_MACS_peak_373_lociStitched	chr1(.):21754817-21755347	0.5911
1_MACS_peak_374_lociStitched	chr1(.):21766221-21767066	0.9487
2_MACS_peak_375_lociStitched	chr1(.):22026997-22027929	0.7633
1_MACS_peak_377_lociStitched	chr1(.):22107573-22110346	2.3182
3_MACS_peak_378_lociStitched	chr1(.):22117389-22119877	1.0542
1_MACS_peak_381_lociStitched	chr1(.):22191427-22193605	1.6442
1_MACS_peak_382_lociStitched	chr1(.):22263992-22264319	0.4836
2_MACS_peak_383_lociStitched	chr1(.):22350541-22353246	2.0066
2_MACS_peak_385_lociStitched	chr1(.):22365928-22367333	1.0651
2_MACS_peak_387_lociStitched	chr1(.):22378582-22380105	1.8143
2_MACS_peak_389_lociStitched	chr1(.):22745065-22746308	0.7859
1_MACS_peak_391_lociStitched	chr1(.):22778242-22779023	1.3792
1_MACS_peak_392_lociStitched	chr1(.):22820260-22821986	1.092
1_MACS_peak_393_lociStitched	chr1(.):22834943-22835747	1.0999
1_MACS_peak_394_lociStitched	chr1(.):23345891-23346797	1.3132
1_MACS_peak_395_lociStitched	chr1(.):23494780-23495301	0.6766
1_MACS_peak_396_lociStitched	chr1(.):23669769-23671663	3.9143
1_MACS_peak_397_lociStitched	chr1(.):23694971-23696124	0.9163
1_MACS_peak_398_lociStitched	chr1(.):23850740-23857910	2.3761
2_MACS_peak_399_lociStitched	chr1(.):23880701-23881937	1.6977
1_MACS_peak_401_lociStitched	chr1(.):23885391-23886307	0.9714
3_MACS_peak_402_lociStitched	chr1(.):23927908-23929751	0.6482
2_MACS_peak_405_lociStitched	chr1(.):23937822-23941545	1.3898
1_MACS_peak_407_lociStitched	chr1(.):23945502-23947674	1.8759
1_MACS_peak_408_lociStitched	chr1(.):23953268-23954582	1.2622
2_MACS_peak_409_lociStitched	chr1(.):24018176-24019399	1.3235
1_MACS_peak_411_lociStitched	chr1(.):24069458-24070992	1.781
2_MACS_peak_412_lociStitched	chr1(.):24104338-24105506	1.139
1_MACS_peak_414_lociStitched	chr1(.):24117174-24117945	0.8824
2_MACS_peak_415_lociStitched	chr1(.):24126168-24127874	0.7038
1_MACS_peak_417_lociStitched	chr1(.):24151342-24152561	1.377
1_MACS_peak_418_lociStitched	chr1(.):24181275-24182656	0.9809
1_MACS_peak_419_lociStitched	chr1(.):24194161-24194911	1.3473
2_MACS_peak_420_lociStitched	chr1(.):24246187-24247180	0.997
1_MACS_peak_422_lociStitched	chr1(.):24281494-24281812	0.5677
1_MACS_peak_423_lociStitched	chr1(.):24285199-24287118	3.1935
2_MACS_peak_424_lociStitched	chr1(.):24305847-24307647	2.5785
1_MACS_peak_426_lociStitched	chr1(.):24512887-24518947	2.3695
3_MACS_peak_427_lociStitched	chr1(.):24528422-24533356	1.6814
2_MACS_peak_430_lociStitched	chr1(.):24645924-24649607	1.3678
1_MACS_peak_432_lociStitched	chr1(.):24677138-24677905	0.8734
2_MACS_peak_433_lociStitched	chr1(.):24710429-24712482	1.0578
1_MACS_peak_435_lociStitched	chr1(.):24715206-24716692	1.0462
1_MACS_peak_436_lociStitched	chr1(.):24718031-24719713	1.0233
1_MACS_peak_437_lociStitched	chr1(.):24739600-24740212	0.5813
1_MACS_peak_438_lociStitched	chr1(.):24742267-24743327	1.2774
1_MACS_peak_439_lociStitched	chr1(.):24828621-24830108	0.9414
1_MACS_peak_440_lociStitched	chr1(.):24861621-24862078	1.1067
1_MACS_peak_441_lociStitched	chr1(.):24882466-24882991	0.9215
2_MACS_peak_442_lociStitched	chr1(.):24883765-24885143	0.9196
3_MACS_peak_444_lociStitched	chr1(.):24968305-24970948	2.4085
1_MACS_peak_447_lociStitched	chr1(.):25020294-25020977	0.6758
2_MACS_peak_448_lociStitched	chr1(.):25053197-25054729	0.7984
1_MACS_peak_450_lociStitched	chr1(.):25070067-25070992	1.2502
1_MACS_peak_451_lociStitched	chr1(.):25071725-25076819	1.8112
1_MACS_peak_452_lociStitched	chr1(.):25254807-25257503	1.4385
1_MACS_peak_453_lociStitched	chr1(.):25291191-25292423	1.161
1_MACS_peak_454_lociStitched	chr1(.):25347826-25350172	1.9668
1_MACS_peak_455_lociStitched	chr1(.):25558384-25559717	1.3025
1_MACS_peak_456_lociStitched	chr1(.):25563385-25563817	0.6797
2_MACS_peak_457_lociStitched	chr1(.):25566042-25567290	1.1095
1_MACS_peak_459_lociStitched	chr1(.):25572909-25574062	1.4867
1_MACS_peak_460_lociStitched	chr1(.):25592969-25594415	1.732
2_MACS_peak_461_lociStitched	chr1(.):25663447-25665537	2.703
3_MACS_peak_463_lociStitched	chr1(.):25756346-25758308	1.2777
1_MACS_peak_466_lociStitched	chr1(.):25793394-25793827	1.1019
1_MACS_peak_467_lociStitched	chr1(.):25800323-25800714	0.5884
1_MACS_peak_468_lociStitched	chr1(.):25870041-25871560	2.0479
4_MACS_peak_469_lociStitched	chr1(.):25874058-25878474	1.7854
2_MACS_peak_473_lociStitched	chr1(.):25887818-25890437	1.5004
2_MACS_peak_475_lociStitched	chr1(.):25942609-25944586	2.2201
1_MACS_peak_477_lociStitched	chr1(.):25945572-25948363	1.7018
1_MACS_peak_478_lociStitched	chr1(.):25958924-25959230	0.6146
2_MACS_peak_479_lociStitched	chr1(.):25967653-25970074	1.9148
2_MACS_peak_481_lociStitched	chr1(.):26001938-26003393	0.8362
1_MACS_peak_483_lociStitched	chr1(.):26126772-26127247	0.6487
1_MACS_peak_484_lociStitched	chr1(.):26146113-26147707	1.5353
1_MACS_peak_485_lociStitched	chr1(.):26185435-26186049	0.8401
2_MACS_peak_486_lociStitched	chr1(.):26231503-26232930	1.9166
1_MACS_peak_488_lociStitched	chr1(.):26437172-26439605	1.9204
1_MACS_peak_489_lociStitched	chr1(.):26445615-26447386	0.8902
1_MACS_peak_490_lociStitched	chr1(.):26453161-26453587	0.5299
1_MACS_peak_491_lociStitched	chr1(.):26496324-26496981	1.6127
1_MACS_peak_492_lociStitched	chr1(.):26560687-26561583	1.51
1_MACS_peak_493_lociStitched	chr1(.):26578159-26579223	0.8879
1_MACS_peak_494_lociStitched	chr1(.):26606089-26607192	1.5149
1_MACS_peak_495_lociStitched	chr1(.):26613395-26614032	0.6714
1_MACS_peak_496_lociStitched	chr1(.):26614551-26614903	0.6776
1_MACS_peak_497_lociStitched	chr1(.):26633327-26634615	1.0596
1_MACS_peak_498_lociStitched	chr1(.):26663015-26663449	1.0194
1_MACS_peak_499_lociStitched	chr1(.):26758369-26759216	0.6879
1_MACS_peak_500_lociStitched	chr1(.):26798273-26799932	3.483
1_MACS_peak_501_lociStitched	chr1(.):26826415-26828170	1.9912
1_MACS_peak_502_lociStitched	chr1(.):26856287-26856550	0.9265
1_MACS_peak_503_lociStitched	chr1(.):26866203-26867425	0.9673
1_MACS_peak_504_lociStitched	chr1(.):26867937-26868988	0.8954
1_MACS_peak_505_lociStitched	chr1(.):26872319-26872850	1.2051
1_MACS_peak_506_lociStitched	chr1(.):26946411-26948344	3.3059
1_MACS_peak_507_lociStitched	chr1(.):27018711-27020201	1.3331
2_MACS_peak_508_lociStitched	chr1(.):27021413-27025422	3.1141
2_MACS_peak_510_lociStitched	chr1(.):27026280-27030477	1.3678
1_MACS_peak_512_lociStitched	chr1(.):27049624-27050007	0.5719
2_MACS_peak_513_lociStitched	chr1(.):27065965-27067196	0.8857
2_MACS_peak_515_lociStitched	chr1(.):27069120-27072353	1.4327
1_MACS_peak_517_lociStitched	chr1(.):27113398-27115339	2.1997
1_MACS_peak_518_lociStitched	chr1(.):27153168-27153888	0.892
1_MACS_peak_519_lociStitched	chr1(.):27159634-27160890	1.5116
2_MACS_peak_520_lociStitched	chr1(.):27164811-27166800	1.1738
2_MACS_peak_522_lociStitched	chr1(.):27190846-27192548	2.1499
1_MACS_peak_524_lociStitched	chr1(.):27216208-27216888	1.3282
1_MACS_peak_525_lociStitched	chr1(.):27226244-27227425	1.4975
1_MACS_peak_526_lociStitched	chr1(.):27248094-27248884	1.6615
1_MACS_peak_527_lociStitched	chr1(.):27286269-27286953	1.8362
1_MACS_peak_528_lociStitched	chr1(.):27397133-27397563	1.0994
1_MACS_peak_529_lociStitched	chr1(.):27463489-27463917	1.0749
1_MACS_peak_530_lociStitched	chr1(.):27561162-27561685	0.9866
1_MACS_peak_531_lociStitched	chr1(.):27648689-27649643	1.5759
1_MACS_peak_532_lociStitched	chr1(.):27719084-27719493	0.7876
1_MACS_peak_533_lociStitched	chr1(.):27744244-27745688	1.0819
2_MACS_peak_534_lociStitched	chr1(.):27761617-27766543	1.4911
2_MACS_peak_536_lociStitched	chr1(.):27815718-27817452	2.0793
1_MACS_peak_538_lociStitched	chr1(.):27818789-27819072	0.6534
1_MACS_peak_539_lociStitched	chr1(.):27826566-27827344	1.3724
1_MACS_peak_540_lociStitched	chr1(.):27883431-27883923	1.0714
1_MACS_peak_541_lociStitched	chr1(.):27902150-27902467	0.9656
2_MACS_peak_542_lociStitched	chr1(.):27929855-27930677	0.6432
1_MACS_peak_544_lociStitched	chr1(.):27986234-27986654	0.949
2_MACS_peak_545_lociStitched	chr1(.):28051843-28053065	0.9785
1_MACS_peak_547_lociStitched	chr1(.):28099662-28100227	1.2793
1_MACS_peak_548_lociStitched	chr1(.):28156773-28157975	1.8382
1_MACS_peak_549_lociStitched	chr1(.):28240553-28241237	2.5903
1_MACS_peak_550_lociStitched	chr1(.):28285887-28287090	1.0695
3_MACS_peak_551_lociStitched	chr1(.):28353446-28357064	1.5576
2_MACS_peak_554_lociStitched	chr1(.):28414404-28415558	1.1538
