REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS12_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
1_MACS_peak_6138_lociStitched	chr15	21891738	21911509	1	19772	51038.8365	52	1		LOC646214	LOC646214	52	1
5_MACS_peak_1446_lociStitched	chr1	161409244	161442855	5	19665	22697.5083	53	1		FCGR2A	FCGR2A	53	1
2_MACS_peak_16267_lociStitched	chr6	7134633	7157329	2	19365	27537.0568	54	1	RREB1		RREB1	54	1
7_MACS_peak_4060_lociStitched	chr12	7045424	7081299	7	19267	33898.2875	55	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	55	1
2_MACS_peak_7729_lociStitched	chr16	87885372	87905331	2	19202	40718.3559	56	1	SLC7A5		SLC7A5	56	1
5_MACS_peak_8600_lociStitched	chr17	56405611	56430796	5	19192	45882.033	57	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	57	1
3_MACS_peak_12394_lociStitched	chr20	43587093	43609365	3	19040	43091.8656	58	1	STK4,TOMM34	PABPC1L	STK4	58	1
3_MACS_peak_3364_lociStitched	chr11	64610721	64634176	3	19005	39911.028	59	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	59	1
2_MACS_peak_20075_lociStitched	chrX	39949358	39969973	2	18977	48389.5895	60	1	BCOR		BCOR	60	1
6_MACS_peak_17000_lociStitched	chr6	109194819	109228207	6	18965	25408.268	61	1	ARMC2		ARMC2	61	1
6_MACS_peak_17206_lociStitched	chr6	144655329	144686421	6	18938	30930.3216	62	1	UTRN		UTRN	62	1
2_MACS_peak_3406_lociStitched	chr11	65259918	65278986	2	18928	74599.7364	63	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	63	1
1_MACS_peak_853_lociStitched	chr1	80159117	80178025	1	18909	25919.0864	64	1			ELTD1	64	1
3_MACS_peak_3966_lociStitched	chr11	131502698	131532880	3	18852	34836.0644	65	1	NTM		NTM	65	1
4_MACS_peak_18268_lociStitched	chr7	150053591	150078746	4	18782	45324.279	66	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,ACTR3C,RARRES2	REPIN1	66	1
2_MACS_peak_14388_lociStitched	chr3	171804320	171827044	2	18663	31599.9944	67	1	FNDC3B		FNDC3B	67	1
21_MACS_peak_12638_lociStitched	chr21	15027866	15064820	21	18622	13417.9974	68	1		POTED	POTED	68	1
2_MACS_peak_13245_lociStitched	chr22	39456832	39475540	2	18607	40897.5588	69	1	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	69	1
3_MACS_peak_1233_lociStitched	chr1	150532400	150553227	3	18526	50717.9104	70	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	70	1
4_MACS_peak_1471_lociStitched	chr1	162530056	162558940	4	18507	26371.092	71	1	UAP1	DDR2	UAP1	71	1
2_MACS_peak_15632_lociStitched	chr5	87954189	87973734	2	18350	33255.8175	72	1	LOC645323,MIR9-2		MIR9-2	72	1
6_MACS_peak_3346_lociStitched	chr11	63992631	64019782	6	18229	39244.0554	73	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	73	1
1_MACS_peak_2855_lociStitched	chr10	133876227	133894204	1	17978	40455.4408	74	1		JAKMIP3	JAKMIP3	74	1
3_MACS_peak_4115_lociStitched	chr12	11900767	11920498	3	17795	24892.6296	75	1	ETV6		ETV6	75	1
7_MACS_peak_9736_lociStitched	chr19	12885675	12918414	7	17725	33167.8809	76	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	76	1
6_MACS_peak_11653_lociStitched	chr2	178126882	178155735	6	17716	23497.8832	77	1	NFE2L2,LOC100130691	HNRNPA3,MIR3128	NFE2L2	77	1
4_MACS_peak_15755_lociStitched	chr5	118667162	118693115	4	17671	30121.0518	78	1	TNFAIP8		TNFAIP8	78	1
3_MACS_peak_10160_lociStitched	chr19	39880549	39904627	3	17653	40150.065	79	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	79	1
4_MACS_peak_16178_lociStitched	chr5	180228965	180248962	4	17620	30551.4166	80	1	MGAT1	LOC729678,ZFP62	MGAT1	80	1
5_MACS_peak_13265_lociStitched	chr22	39823315	39845772	5	17581	29034.6553	81	1	TAB1	MGAT3	MGAT3	81	1
5_MACS_peak_1326_lociStitched	chr1	154926953	154958197	5	17579	41810.7208	82	1	CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,PMVK,DCST2	SHC1	82	1
6_MACS_peak_2920_lociStitched	chr11	795032	834138	6	17552	31472.5088	83	1	RPLP2,SNORA52,PNPLA2,EFCAB4A,CD151,SLC25A22,LRDD	TALDO1,TSPAN4,PDDC1,CEND1,POLR2L	SNORA52	83	1
5_MACS_peak_13699_lociStitched	chr3	46389552	46413473	5	17544	24483.1435	84	1	CCR2,CCR5	CCRL2	CCR2	84	1
2_MACS_peak_17636_lociStitched	chr7	44661412	44680685	2	17237	30582.3964	85	1	OGDH	DDX56,TMED4	OGDH	85	1
7_MACS_peak_6282_lociStitched	chr15	40834830	40863010	7	17163	21160.362	86	1	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	86	1
2_MACS_peak_6126_lociStitched	chr15	20671269	20690173	2	17139	11971.9032	87	1	HERC2P3		HERC2P3	87	1
3_MACS_peak_2176_lociStitched	chr10	21803617	21824625	3	16738	34589.672	88	1	MLLT10,C10orf140	MIR1915,C10orf114	C10orf140	88	1
5_MACS_peak_14376_lociStitched	chr3	170956793	170989670	5	16732	30779.4474	89	1	TNIK		MIR569	89	1
4_MACS_peak_12306_lociStitched	chr20	34677529	34703085	4	16687	24152.9756	90	1	EPB41L1	EPB41L1,LOC647979	EPB41L1	90	1
1_MACS_peak_1979_lociStitched	chr1	234734132	234750773	1	16642	55990.3086	91	1	IRF2BP2	NCRNA00184	IRF2BP2	91	1
4_MACS_peak_5868_lociStitched	chr14	77487951	77508177	4	16632	29855.5986	92	1	C14orf4		C14orf4	92	1
5_MACS_peak_3620_lociStitched	chr11	75508187	75537312	5	16516	29570.6125	93	1	DGAT2,UVRAG		UVRAG	93	1
4_MACS_peak_6372_lociStitched	chr15	45001680	45023381	4	16466	46987.0052	94	1	B2M	TRIM69,SPG11,PATL2	B2M	94	1
3_MACS_peak_16539_lociStitched	chr6	31783438	31805424	3	16443	27550.6566	95	1	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52	C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	95	1
3_MACS_peak_17646_lociStitched	chr7	45023344	45048162	3	16423	37420.5804	96	1	CCM2,C7orf40,SNORA9	CCM2,MYO1G	CCM2	96	1
3_MACS_peak_3162_lociStitched	chr11	46121027	46144989	3	16411	40850.4176	97	1	PHF21A		PHF21A	97	1
3_MACS_peak_13455_lociStitched	chr3	5223112	5241824	3	16378	43277.1136	98	1	EDEM1		EDEM1	98	1
5_MACS_peak_3017_lociStitched	chr11	10314690	10344703	5	16345	38776.796	99	1	ADM,SBF2		ADM	99	1
4_MACS_peak_16509_lociStitched	chr6	31150547	31173116	4	16203	31321.2582	100	1	HCG27	TCF19,PSORS1C2,CCHCR1,POU5F1,PSORS1C3	HCG27	100	1
1_MACS_peak_4177_lociStitched	chr12	24679661	24695803	1	16143	20974.9148	101	1	SOX5	C12orf67	SOX5	101	1
2_MACS_peak_2196_lociStitched	chr10	22666969	22683127	2	16131	20861.5938	102	1	SPAG6	LOC100499489	SPAG6	102	1
8_MACS_peak_10188_lociStitched	chr19	40909365	40951277	8	16123	24262.8568	103	1	PRX,SERTAD1,SERTAD3	SPTBN4,HIPK4,BLVRB	SERTAD1	103	1
3_MACS_peak_1312_lociStitched	chr1	154373523	154393717	3	16089	33649.2622	104	1	IL6R		IL6R	104	1
3_MACS_peak_8666_lociStitched	chr17	62150648	62171302	3	16087	25732.8186	105	1	ERN1		ERN1	105	1
6_MACS_peak_6182_lociStitched	chr15	28855908	28874108	6	16065	10341.24	106	1		HERC2P9	HERC2P9	106	1
1_MACS_peak_6660_lociStitched	chr15	75068182	75084240	1	16059	42862.0136	107	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	107	1
4_MACS_peak_3385_lociStitched	chr11	64877796	64903782	4	16055	54422.4798	108	1	C11orf2,TM7SF2,MRPL49,ZNHIT2,FAU,SYVN1	ZFPL1,SPDYC,CAPN1,CDCA5	MRPL49	108	1
3_MACS_peak_9304_lociStitched	chr18	74806230	74828362	3	15898	45089.5236	109	1	MBP		MBP	109	1
6_MACS_peak_9821_lociStitched	chr19	15391236	15413411	6	15887	14957.0375	110	1	BRD4	EPHX3	BRD4	110	1
1_MACS_peak_16210_lociStitched	chr6	387818	403694	1	15877	44808.4224	111	1	IRF4		IRF4	111	1
1_MACS_peak_17487_lociStitched	chr7	23502639	23518380	1	15742	51413.2542	112	1	IGF2BP3	RPS2P32	IGF2BP3	112	1
4_MACS_peak_13501_lociStitched	chr3	13034702	13059144	4	15690	23630.5256	113	1	IQSEC1	IQSEC1	IQSEC1	113	1
2_MACS_peak_848_lociStitched	chr1	79926391	79946437	2	15688	23728.4502	114	1			ELTD1	114	1
3_MACS_peak_12498_lociStitched	chr20	52257423	52279719	3	15637	37749.3576	115	1			ZNF217	115	1
4_MACS_peak_10599_lociStitched	chr19	56145437	56169653	4	15624	43189.236	116	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	116	1
1_MACS_peak_4199_lociStitched	chr12	26265299	26280916	1	15618	75887.6881	117	1	BHLHE41		BHLHE41	117	1
5_MACS_peak_8444_lociStitched	chr17	43372625	43395789	5	15576	33409.4372	118	1	MAP3K14	LOC100133991,C17orf46	MAP3K14	118	1
3_MACS_peak_12996_lociStitched	chr22	23269357	23285777	3	15502	37296.388	119	1		IGLL5	IGLL5	119	1
3_MACS_peak_9346_lociStitched	chr19	908617	928048	3	15439	35055.4671	120	1	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	120	1
4_MACS_peak_11070_lociStitched	chr2	64862923	64886106	4	15401	22784.2524	121	1	SERTAD2	LOC339807	SERTAD2	121	1
1_MACS_peak_3401_lociStitched	chr11	65183305	65198674	1	15370	112900.674	122	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	122	1
6_MACS_peak_6262_lociStitched	chr15	40387948	40409298	6	15363	21157.85	123	1	BMF	BUB1B	BMF	123	1
5_MACS_peak_8303_lociStitched	chr17	38251847	38281400	5	15265	27032.1291	124	1	MSL1,NR1D1	THRA,CASC3,MED24	NR1D1	124	1
7_MACS_peak_4520_lociStitched	chr12	58134982	58167422	7	15255	33513.764	125	1	TSPAN31,MARCH9,FAM119B,AGAP2,CDK4,CYP27B1,METTL1	OS9,LOC100130776,TSFM,AGAP2,AVIL	MARCH9	125	1
3_MACS_peak_6224_lociStitched	chr15	32869218	32884779	3	15242	19686.2211	126	1		ARHGAP11A,SCG5,LOC100288615	ARHGAP11A	126	1
1_MACS_peak_11754_lociStitched	chr2	201979505	201994721	1	15217	34340.9904	127	1	CFLAR	NDUFB3,FAM126B	CFLAR	127	1
4_MACS_peak_20467_lociStitched	chrX	130946162	130966805	4	15214	20692.5432	128	1	LOC286467		LOC286467	128	1
4_MACS_peak_13558_lociStitched	chr3	20079754	20099468	4	15165	22233.4492	129	1	KAT2B	C3orf48	KAT2B	129	1
2_MACS_peak_13957_lociStitched	chr3	74872874	74890559	2	15144	31387.338	130	1			CNTN3	130	1
1_MACS_peak_8514_lociStitched	chr17	46123255	46138374	1	15120	65740.4358	131	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	131	1
5_MACS_peak_19692_lociStitched	chr9	130660776	130681356	5	15074	21220.038	132	1	ST6GALNAC6,ST6GALNAC4	ENG,AK1,PIP5KL1,DPM2,FAM102A	ST6GALNAC4	132	1
4_MACS_peak_3871_lociStitched	chr11	118954860	118979795	4	15020	44895.4675	133	1	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	H2AFX	133	1
2_MACS_peak_4748_lociStitched	chr12	105716462	105732035	2	15016	44510.7486	134	1	C12orf75		C12orf75	134	1
3_MACS_peak_8493_lociStitched	chr17	45725449	45742304	3	15012	32412.165	135	1	KPNB1	TBKBP1	KPNB1	135	1
1_MACS_peak_9113_lociStitched	chr18	30338895	30353900	1	15006	47597.3605	136	1	KLHL14		KLHL14	136	1
2_MACS_peak_17558_lociStitched	chr7	32766573	32786632	2	15004	28050.5056	137	1	LOC441208,MIR550A2	LOC401321,DPY19L1P1	MIR550A2	137	1
3_MACS_peak_7324_lociStitched	chr16	29815233	29834079	3	14977	38809.5678	138	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	138	1
1_MACS_peak_13218_lociStitched	chr22	38782811	38797762	1	14952	36937.9406	139	1	LOC400927	KCNJ4	LOC400927	139	1
3_MACS_peak_10855_lociStitched	chr2	33699717	33723816	3	14942	21937.3197	140	1	RASGRP3	RASGRP3	RASGRP3	140	1
4_MACS_peak_6155_lociStitched	chr15	23339554	23357510	4	14862	10529.3984	141	1	HERC2P2	HERC2P7	HERC2P2	141	1
1_MACS_peak_6199_lociStitched	chr15	30827732	30842585	1	14854	19283.6499	142	1		FAM7A2	FAM7A2	142	1
2_MACS_peak_12270_lociStitched	chr20	32987862	33005243	2	14830	31370.9669	143	1	ITCH	MIR644	ITCH	143	1
4_MACS_peak_5237_lociStitched	chr13	46942783	46964907	4	14782	16944.7716	144	1	C13orf18		C13orf18	144	1
4_MACS_peak_2826_lociStitched	chr10	125820257	125840714	4	14725	23801.7195	145	1	CHST15		CHST15	145	1
2_MACS_peak_6221_lociStitched	chr15	32749380	32764268	2	14671	22083.3704	146	1			LOC100288615	146	1
4_MACS_peak_15028_lociStitched	chr4	113199302	113224430	4	14658	27773.9784	147	1	ALPK1,TIFA	AP1AR	TIFA	147	1
3_MACS_peak_16199_lociStitched	chr6	217195	236759	3	14569	35074.3392	148	1			DUSP22	148	1
3_MACS_peak_4881_lociStitched	chr12	120548112	120573112	3	14569	32087.5	149	1	RAB35,GCN1L1		RAB35	149	1
1_MACS_peak_4133_lociStitched	chr12	12866190	12880741	1	14552	71863.0237	150	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	150	1
2_MACS_peak_13934_lociStitched	chr3	69127889	69145203	2	14547	17677.594	151	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	151	1
3_MACS_peak_9767_lociStitched	chr19	13259573	13279413	3	14446	30123.072	152	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	152	1
2_MACS_peak_16412_lociStitched	chr6	26520312	26541139	2	14420	32415.1428	153	1	HCG11,HMGN4	BTN1A1	HMGN4	153	1
1_MACS_peak_16380_lociStitched	chr6	26020434	26034835	1	14402	37536.2065	154	1	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	154	1
3_MACS_peak_5821_lociStitched	chr14	74224055	74241914	3	14344	27458.2125	155	1	C14orf43	PNMA1	C14orf43	155	1
2_MACS_peak_6196_lociStitched	chr15	30707909	30722920	2	14312	18832.8006	156	1		CHRFAM7A	CHRFAM7A	156	1
5_MACS_peak_18910_lociStitched	chr8	126285650	126304984	5	14309	15913.8154	157	1	NSMCE2		TRIB1	157	1
3_MACS_peak_12429_lociStitched	chr20	46114276	46133676	3	14278	28473.38	158	1	NCOA3		NCOA3	158	1
2_MACS_peak_7128_lociStitched	chr16	11821510	11837869	2	14257	27146.1246	159	1	TXNDC11		TXNDC11	159	1
1_MACS_peak_15409_lociStitched	chr5	32529503	32543677	1	14175	30150.9328	160	1		SUB1	SUB1	160	1
9_MACS_peak_10540_lociStitched	chr19	54870367	54901081	9	14174	21595.0134	161	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	161	1
3_MACS_peak_1087_lociStitched	chr1	118194799	118209933	3	14100	26130.3644	162	1		FAM46C	FAM46C	162	1
2_MACS_peak_4505_lociStitched	chr12	57621360	57639399	2	14099	64945.8117	163	1	SHMT2,NDUFA4L2,STAC3	MIR1228,NXPH4	NDUFA4L2	163	1
3_MACS_peak_218_lociStitched	chr1	16159046	16179942	3	14087	48493.3472	164	1	SPEN,FLJ37453	UQCRHL	SPEN	164	1
4_MACS_peak_3250_lociStitched	chr11	60671694	60692938	4	14075	28203.5344	165	1	TMEM109,TMEM132A,PRPF19	ZP1,CD6,GPR44,SLC15A3	TMEM109	165	1
2_MACS_peak_3579_lociStitched	chr11	72848440	72867854	2	14069	54034.9862	166	1	FCHSD2		FCHSD2	166	1
3_MACS_peak_17952_lociStitched	chr7	102065201	102087181	3	14038	35869.162	167	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	167	1
3_MACS_peak_6213_lociStitched	chr15	31636039	31654642	3	14023	28691.4069	168	1	KLF13		KLF13	168	1
4_MACS_peak_16852_lociStitched	chr6	74159036	74182678	4	14015	28112.7022	169	1	MTO1,C6orf150	EEF1A1	MTO1	169	1
1_MACS_peak_6494_lociStitched	chr15	60871937	60885941	1	14005	44601.3396	170	1	RORA		RORA	170	1
5_MACS_peak_6716_lociStitched	chr15	78348419	78370584	5	13967	20657.78	171	1	TBC1D2B	SH2D7	TBC1D2B	171	1
4_MACS_peak_19016_lociStitched	chr8	145046964	145069629	4	13967	32556.006	172	1	GRINA,PLEC,PARP10	SPATC1,PLEC,MIR661,OPLAH	PARP10	172	1
3_MACS_peak_16196_lociStitched	chr6	179884	195284	3	13953	19417.86	173	1			DUSP22	173	1
1_MACS_peak_14261_lociStitched	chr3	141096658	141110590	1	13933	41862.8736	174	1	ZBTB38		ZBTB38	174	1
5_MACS_peak_13532_lociStitched	chr3	15835356	15859238	5	13911	19404.125	175	1	ANKRD28	ANKRD28	ANKRD28	175	1
3_MACS_peak_10942_lociStitched	chr2	46789124	46805190	3	13888	21027.1808	176	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	176	1
6_MACS_peak_3379_lociStitched	chr11	64845765	64865253	6	13862	21543.984	177	1	ZFPL1,C11orf2,CDCA5	SAC3D1,TM7SF2,MRPL49,NAALADL1,ZNHIT2,FAU,SYVN1	ZFPL1	177	1
2_MACS_peak_14835_lociStitched	chr4	71567070	71581430	2	13846	30234.98	178	1	RUFY3	UTP3,RUFY3,IGJ	RUFY3	178	1
5_MACS_peak_19011_lociStitched	chr8	145001903	145028618	5	13832	19133.283	179	1	PLEC,MIR661	GRINA,PARP10	PLEC	179	1
2_MACS_peak_4152_lociStitched	chr12	15101169	15118075	2	13822	25306.5914	180	1	ARHGDIB	PDE6H,ERP27	ARHGDIB	180	1
4_MACS_peak_1299_lociStitched	chr1	153928990	153951879	4	13805	35555.7726	181	1	CREB3L4,CRTC2,SLC39A1,JTB	RPS27,GATAD2B,DENND4B,RAB13	CREB3L4	181	1
6_MACS_peak_7309_lociStitched	chr16	29604118	29625632	6	13796	15959.0852	182	1	SLC7A5P1	SPN,LOC440354	SLC7A5P1	182	1
