GENE_ID	locusLine	bin_1_MM.1S.jin.bam
NM_001127215	chr1(.):92935317-92954356	0.5753
NM_005263	chr1(.):92935317-92957433	0.5042
NM_001127216	chr1(.):92935317-92956628	0.5223
NM_004974	chr1(.):111140775-111153345	0.056
NM_002232	chr1(.):111209309-111222655	0.2539
NM_017709	chr1(.):118143603-118176011	0.724
NM_001123068	chr1(.):143762143-143772881	0.0733
NR_027469	chr1(.):143713512-143749587	0.4202
NR_027468	chr1(.):143713512-143749457	0.4216
NM_207418	chr1(.):143891451-143918143	0.4033
NR_024584	chr1(.):144475745-144526969	0.2281
NR_037182	chr1(.):144671436-144685025	0.1623
NM_001002811	chr1(.):144885590-144937032	0.4605
NM_032305	chr1(.):145451235-145475387	0.6012
NM_202004	chr1(.):145408190-145422545	0.1187
NM_006472	chr1(.):145433461-145447628	0.9443
NM_001039888	chr1(.):145465507-145480647	0.2142
NR_027468	chr1(.):147901021-147936980	0.3095
NM_001161334	chr1(.):149749244-149788928	0.2086
NM_001034077	chr1(.):149799220-149809616	0.6639
NM_001005464	chr1(.):149807258-149817765	1.275
NM_001040874	chr1(.):149808784-149819318	1.2682
NM_001123375	chr1(.):149779779-149790236	0.4231
NM_005850	chr1(.):149890210-149904702	0.3711
NM_016074	chr1(.):149866154-149877348	0.2547
NM_003528	chr1(.):149851009-149863232	1.2179
NM_003517	chr1(.):149853524-149863961	1.4174
NM_175065	chr1(.):149854018-149864466	1.4068
NM_014849	chr1(.):149869871-149894434	0.179
NM_181873	chr1(.):149895542-149913266	0.5241
NM_001145862	chr1(.):149895542-149913791	0.5109
NR_036461	chr1(.):149816758-149827340	1.3003
NM_001040874	chr1(.):149817627-149828161	1.3062
NM_001005464	chr1(.):149819180-149829687	1.3174
NM_001034077	chr1(.):149827329-149837725	0.7268
NM_019032	chr1(.):150516897-150538412	1.0653
NR_036211	chr1(.):150519404-150529490	0.1732
NM_001197320	chr1(.):150542026-150557214	0.6624
NM_001163258	chr1(.):150964300-150985854	0.2943
NM_001163260	chr1(.):150964300-150984273	0.3139
NM_001040217	chr1(.):150964300-150984385	0.3129
NM_020239	chr1(.):151018446-151037125	0.41
NM_138278	chr1(.):151004028-151025076	0.1375
NM_006818	chr1(.):151027150-151045973	0.7245
NM_017860	chr1(.):151015258-151028871	0.1935
NM_144618	chr1(.):151038079-151096007	0.2052
NM_005620	chr1(.):151999981-152014511	0.7769
NM_002966	chr1(.):151950385-151971714	0.1633
NM_001008536	chr1(.):152051619-152066540	0.0937
NM_020452	chr1(.):154295275-154328780	0.5533
NM_001005855	chr1(.):154293035-154315322	0.7288
NM_080429	chr1(.):154288591-154302801	1.003
NM_006556	chr1(.):154892207-154914484	0.6871
NM_001130041	chr1(.):154929773-154951959	0.8815
NM_001130040	chr1(.):154929773-154948223	0.9588
NM_201398	chr1(.):154950769-154970587	0.3039
NM_015872	chr1(.):154970111-154995999	0.7849
NM_207196	chr1(.):155018761-155040252	0.3494
NM_018655	chr1(.):154961061-154971791	0.305
NM_001143687	chr1(.):155001281-155028406	0.3027
NR_024163	chr1(.):154942117-154956725	0.8136
NM_144622	chr1(.):154986002-155011257	0.301
NM_138300	chr1(.):154924501-154939258	1.4069
NR_036212	chr1(.):154943168-154953259	0.8739
NM_006912	chr1(.):155862600-155886177	0.1757
NM_001162384	chr1(.):155911629-155953336	0.9831
NM_181885	chr1(.):155906479-155917625	1.2854
NM_004723	chr1(.):155911629-155952966	0.9855
NM_014949	chr1(.):155877835-155909188	0.3073
NR_002974	chr1(.):155884699-155894833	0.1105
NR_003005	chr1(.):155890748-155900877	0.1568
NM_003145	chr1(.):155973838-155995758	0.4184
NM_198406	chr1(.):156208208-156222792	0.1628
NM_014655	chr1(.):156158729-156187587	0.5147
NM_007221	chr1(.):156177783-156214833	0.6835
NM_022367	chr1(.):156118321-156152542	0.9864
NM_001193302	chr1(.):156118368-156152542	0.9873
NM_199173	chr1(.):156206950-156218112	0.1482
NM_024897	chr1(.):156208206-156222843	0.1638
NM_001193301	chr1(.):156114734-156152542	0.9581
NM_005920	chr1(.):156428518-156475529	0.8171
NR_001560	chr1(.):157093153-157103463	0.1827
NM_005240	chr1(.):157097975-157113177	0.6144
NM_001145312	chr1(.):157089458-157113383	0.4344
NM_001004341	chr1(.):157056834-157074600	0.1172
NM_031281	chr1(.):157478166-157527310	0.3435
NM_001778	chr1(.):160643535-160686585	0.5687
NM_003037	chr1(.):160574890-160622081	0.2261
NM_021181	chr1(.):160704076-160729601	0.4376
NM_030916	chr1(.):161035780-161064385	0.3455
NM_007122	chr1(.):161004040-161020757	0.5788
NM_001113205	chr1(.):161002421-161013774	0.2101
NM_181720	chr1(.):161011731-161044760	0.5754
NM_016946	chr1(.):160960000-160996133	0.28
NM_001039711	chr1(.):161085768-161107478	0.3912
NM_016406	chr1(.):161118533-161133646	0.5888
NM_004550	chr1(.):161164104-161189184	0.4379
NM_000309	chr1(.):161131180-161146010	0.4362
NM_001643	chr1(.):161187082-161198418	0.5462
NM_003779	chr1(.):161136100-161152314	0.904
NM_012475	chr1(.):161124253-161140516	0.4323
NM_001039712	chr1(.):161085768-161107256	0.3948
NM_032174	chr1(.):161190832-161205407	0.3115
NM_001166159	chr1(.):161166936-161189184	0.4695
NM_005099	chr1(.):161154537-161173845	0.6805
NM_004106	chr1(.):161180086-161194038	0.4216
NM_007240	chr1(.):161714580-161731952	0.2452
NR_033186	chr1(.):178506930-178523024	0.1922
NM_022371	chr1(.):179046111-179070129	0.7416
NM_002922	chr1(.):192539856-192554159	0.6394
NM_001195216	chr1(.):197698138-197749623	0.4499
NM_005298	chr1(.):200837165-200848251	0.2062
NM_018265	chr1(.):200855638-200889864	0.7634
NM_001142569	chr1(.):200858998-200889864	0.7058
NM_017596	chr1(.):200933519-200997828	0.2704
NR_034150	chr1(.):203262885-203279453	1.7146
NM_006763	chr1(.):203269663-203283729	1.2859
NM_002023	chr1(.):203304751-203325289	0.208
NR_003019	chr1(.):203693708-203703833	0.1288
NM_001136190	chr1(.):203729283-203750480	0.7998
NM_001174108	chr1(.):203761650-203774590	0.3405
NM_014858	chr1(.):205192037-205247471	0.4684
NM_030952	chr1(.):205266190-205295883	0.447
NR_029893	chr1(.):205412429-205422526	0.2477
NM_001123168	chr1(.):206133910-206160074	0.4141
NM_001007544	chr1(.):206233871-206293647	0.3261
NM_148964	chr1(.):206312458-206337104	0.115
NM_006893	chr1(.):206759973-206790904	0.1781
NM_182665	chr1(.):206725491-206767616	0.9141
NM_032960	chr1(.):206853288-206912626	0.3789
NM_001185157	chr1(.):207065787-207082484	0.171
NM_002644	chr1(.):207096866-207124811	0.3838
NM_001170631	chr1(.):207126311-207148970	0.1398
NR_026817	chr1(.):207986723-208000941	0.7659
NR_029832	chr1(.):207970196-207980284	0.7556
NR_029518	chr1(.):207970787-207980868	0.8625
NM_025160	chr1(.):224567844-224627001	0.2118
NM_020997	chr1(.):226068981-226081836	0.7278
NM_014698	chr1(.):226028232-226075420	0.6597
NM_001172425	chr1(.):226119297-226134083	1.7729
NM_013328	chr1(.):226102579-226116965	0.5175
NR_002315	chr1(.):226245427-226264703	0.6393
NM_002107	chr1(.):226245420-226264703	0.6391
NM_001618	chr1(.):226543391-226600801	0.3638
NM_000447	chr1(.):227053272-227088804	0.4472
NM_181441	chr1(.):228289379-228302013	0.8514
NR_037415	chr1(.):228279963-228290042	0.2349
NM_001024227	chr1(.):228265850-228291913	1.0746
NM_001024226	chr1(.):228265360-228291913	1.0575
NM_024319	chr1(.):228283427-228296022	0.537
NM_001159390	chr1(.):228322928-228341655	0.325
NM_182972	chr1(.):234735014-234750271	1.8488
NR_033927	chr1(.):234760056-234775526	0.1191
NM_173858	chr1(.):247414373-247425447	0.0765
NR_037480	chr1(.):247360268-247370362	0.0996
NM_015535	chr2(.):201165603-201351986	0.2623
NM_001100422	chr2(.):201165984-201351986	0.2628
NM_001100423	chr2(.):201166355-201351986	0.2632
NM_024080	chr2(.):234821042-234933166	0.2186
NM_020458	chr2(.):47163312-47308275	0.4056
NR_033872	chr2(.):70184394-70319147	0.2255
NR_015395	chr2(.):112119590-112257692	0.3284
NR_024373	chr2(.):112181885-112257692	0.5201
NM_001099289	chr2(.):109740996-110267207	0.1762
NM_015488	chr2(.):219130114-219216516	0.2298
NM_022152	chr2(.):219133916-219162280	0.4863
NM_001012514	chr2(.):231724620-231748963	0.7969
NM_001037131	chr2(.):236397735-237039120	0.1257
NM_145693	chr2(.):11881739-11972533	0.3913
NM_183360	chr2(.):25595111-25901503	0.1864
NM_170672	chr2(.):33656415-33794798	0.2937
NM_005813	chr2(.):37472645-37549222	0.3118
NM_138801	chr2(.):38888051-38966909	0.3014
NM_022893	chr2(.):60679328-60785633	0.161
NM_018014	chr2(.):60673301-60785633	0.1636
NR_036586	chr2(.):65123973-65164581	0.481
NM_003896	chr2(.):86061270-86121157	0.3275
NR_024204	chr2(.):87749973-87826030	0.4437
NM_004836	chr2(.):88851258-88932094	0.3516
NM_144563	chr2(.):88986175-89055452	0.3777
NM_020151	chr2(.):96845602-96879573	0.2479
NM_004027	chr2(.):99056320-99212496	0.7446
NM_001566	chr2(.):99056320-99203284	0.7852
NM_003581	chr2(.):106356519-106515730	0.2798
NM_001142352	chr2(.):107424531-107508563	0.1584
NM_032528	chr2(.):107413055-107508563	0.1536
NM_001142351	chr2(.):107413055-107507610	0.1534
NM_001142807	chr2(.):111485149-111880799	0.2402
NM_004336	chr2(.):111390408-111440684	0.376
NM_022662	chr2(.):112521639-112646741	0.1148
NM_006343	chr2(.):112651190-112791945	0.3016
NM_005721	chr2(.):114642536-114721167	0.1687
NR_027020	chr2(.):132900163-133020542	0.2559
NM_002410	chr2(.):135006829-135211468	0.218
NM_001111067	chr2(.):158587957-158737374	0.0863
NM_001105	chr2(.):158587957-158736623	0.0864
NM_001077269	chr2(.):175419301-175552627	0.2682
NR_024415	chr2(.):192537797-192558248	0.5802
NM_001031716	chr2(.):192537860-192558248	0.5818
NM_004226	chr2(.):196993306-197041336	0.4077
NM_001228	chr2(.):202093165-202157434	0.4688
NM_003879	chr2(.):201975889-202034003	0.6339
NM_001127184	chr2(.):201975815-202011323	0.9543
NM_173822	chr2(.):201833440-201941392	0.1344
NM_033358	chr2(.):202093165-202151638	0.509
NM_003709	chr2(.):207940528-208035614	0.2872
NM_005687	chr2(.):223431161-223525827	0.1677
NM_001080391	chr2(.):231275870-231415317	0.1689
NM_003113	chr2(.):231275870-231386244	0.1989
NM_022730	chr2(.):232646161-232678434	0.2112
NM_001137551	chr2(.):238595806-238695290	0.2878
NM_001137550	chr2(.):238531223-238695290	0.2327
NM_017844	chr2(.):241413838-241502405	0.112
NM_001195381	chr2(.):241539824-241575676	0.0751
NM_005301	chr2(.):241559661-241575676	0.0833
NM_001037160	chr2(.):10191925-10225538	0.1264
NM_182626	chr2(.):10276508-10356856	0.0777
NM_001165931	chr2(.):10257694-10276546	0.7072
NM_001034	chr2(.):10257862-10276546	0.7131
NM_005742	chr2(.):10918516-10957960	0.3519
NM_198256	chr2(.):11579500-11611297	0.1408
NM_033090	chr2(.):11677850-11737272	0.1069
NM_014668	chr2(.):11669241-11787912	0.0904
NM_148903	chr2(.):11675079-11733355	0.1066
NM_002997	chr2(.):20395557-20429927	1.3684
NM_001006946	chr2(.):20395557-20430194	1.3578
NM_005253	chr2(.):28610778-28642516	0.3704
NM_015376	chr2(.):33733941-33794798	0.1515
NM_001139488	chr2(.):33696320-33794798	0.3828
NM_012413	chr2(.):37566752-37605465	0.9479
NM_006887	chr2(.):43444540-43458745	1.7918
NR_027251	chr2(.):43449349-43460994	1.3839
NM_001171507	chr2(.):47124008-47148251	0.1017
NM_001171506	chr2(.):47124008-47148007	0.1025
NM_001171508	chr2(.):47124008-47173994	0.2986
NM_002354	chr2(.):47591286-47619167	0.0761
NR_033837	chr2(.):64407212-64437619	0.281
NM_001193493	chr2(.):65210578-65256000	0.3722
NM_003038	chr2(.):65211494-65256000	0.3785
NM_015147	chr2(.):65278494-65319142	0.2445
NM_181784	chr2(.):65532984-65664656	0.3315
NM_001128210	chr2(.):65532984-65598931	0.1423
NM_006196	chr2(.):70309584-70321334	1.4474
NR_024444	chr2(.):70346167-70357448	0.489
NM_001042437	chr2(.):86061271-86099793	0.3001
NM_015425	chr2(.):86248450-86338278	0.3715
NR_026984	chr2(.):86242338-86255991	0.1674
NR_015424	chr2(.):89060418-89111109	0.1546
NM_001193304	chr2(.):96910945-96936751	0.4014
NM_001037228	chr2(.):96900976-96912701	0.6207
NM_004804	chr2(.):96926883-96944900	0.2274
NR_026875	chr2(.):97158382-97178846	0.1703
NM_212481	chr2(.):97197463-97223371	1.0124
NR_036224	chr2(.):109925026-109935081	0.069
NR_036225	chr2(.):110822537-110832619	0.1247
NR_027244	chr2(.):111127685-111147113	0.4265
NM_006538	chr2(.):111873490-111931022	0.3437
NM_207002	chr2(.):111873490-111891423	0.7797
NM_002101	chr2(.):127408683-127459246	0.2574
NM_001006622	chr2(.):128515059-128573761	0.1839
NM_004805	chr2(.):128598839-128620729	0.2279
NR_031608	chr2(.):133009538-133019653	0.6016
NR_024275	chr2(.):135201959-135217192	0.0856
NM_004288	chr2(.):158266130-158305604	0.3687
NM_002610	chr2(.):173415778-173468862	0.4142
NM_003387	chr2(.):175419301-175504307	0.3667
NM_002491	chr2(.):201931461-201955473	0.1756
NM_001127183	chr2(.):201978386-202033841	0.6599
NM_033356	chr2(.):202120222-202157434	0.4856
NM_001080125	chr2(.):202117753-202157434	0.5247
NM_006139	chr2(.):204566197-204607557	0.4295
NM_020923	chr2(.):207134522-207184148	0.2181
NR_036227	chr2(.):207969710-207979797	0.1459
NM_018000	chr2(.):216802313-216883346	0.1949
NM_152862	chr2(.):219076873-219124071	0.3804
NM_000634	chr2(.):219022567-219036716	0.0827
NM_001077194	chr2(.):219120737-219133582	0.2285
NM_005731	chr2(.):219077119-219124071	0.382
NM_001087	chr2(.):219123851-219139893	0.2458
NM_022572	chr2(.):219182901-219216516	0.1111
NM_017431	chr2(.):219682105-219701512	0.0763
NM_025216	chr2(.):219740254-219763651	1.1501
NM_006522	chr2(.):219719545-219743954	0.1571
NM_058165	chr2(.):223531456-223579649	0.052
NM_024795	chr2(.):228221873-228249022	0.0698
NM_001099285	chr2(.):232568234-232583250	1.4397
NM_002601	chr2(.):232592146-232650974	0.1545
NR_036052	chr2(.):232573023-232583105	1.0394
NR_031717	chr2(.):232751951-232762008	0.1227
NM_018218	chr2(.):234379164-234479236	0.1757
NM_004735	chr2(.):238595806-238679558	0.3292
NM_022817	chr2(.):239147678-239202207	0.5289
NR_026923	chr2(.):239135326-239147985	0.1482
NM_001142853	chr2(.):239141907-239153681	0.4352
NR_026926	chr2(.):239128753-239145318	0.1068
NM_023083	chr2(.):241521132-241543526	0.4211
NM_001033575	chr2(.):241494470-241508431	0.8644
NM_018226	chr2(.):241503103-241523143	0.5763
NM_001197113	chr3(.):158782040-159620155	0.1154
NM_014674	chr3(.):5224358-5266650	0.83
NM_001683	chr3(.):10360706-10552268	0.1704
NM_015576	chr3(.):55537335-56507391	0.0813
NM_032682	chr3(.):70999735-71638140	0.138
NR_031662	chr3(.):99268152-99722059	0.1115
NM_003571	chr3(.):133113789-133199056	0.4423
NM_207294	chr3(.):152012193-152188569	0.1536
NM_021038	chr3(.):151980828-152188568	0.2179
NM_207015	chr3(.):174572110-175528428	0.1402
NM_024947	chr3(.):169800367-169904537	0.4329
NM_001135095	chr3(.):171753343-172123492	0.3866
NM_022763	chr3(.):171752417-172123492	0.3868
NM_181361	chr3(.):178249223-178567217	0.1482
NM_001134382	chr3(.):12933718-13119617	0.2533
NM_024923	chr3(.):13352736-13466809	0.3262
NM_014869	chr3(.):12933718-13013960	0.08
NM_144636	chr3(.):14148576-14171371	0.6657
NM_182666	chr3(.):23842438-23937807	0.2338
NM_152653	chr3(.):23239783-23637296	0.0965
NM_001024847	chr3(.):30642993-30740633	0.2434
NM_001123396	chr3(.):46390234-46405868	0.7204
NM_181042	chr3(.):52574367-52718739	0.0838
NM_018313	chr3(.):52574367-52724866	0.107
NM_015541	chr3(.):66424220-66555845	0.2238
NM_007114	chr3(.):69063977-69106484	0.1088
NM_020351	chr3(.):99352453-99520158	0.0793
NM_014429	chr3(.):108672086-108841993	0.1375
NM_001009899	chr3(.):113362232-113420493	0.1086
NM_001690	chr3(.):113460865-113535905	0.2093
NM_002213	chr3(.):124476794-124611144	0.4234
NM_001012337	chr3(.):125683027-125707296	0.0753
NM_032343	chr3(.):126418117-126684244	0.1294
NM_001128224	chr3(.):129361634-129617419	0.1143
NM_001017395	chr3(.):129361634-129604402	0.0788
NM_001001487	chr3(.):130608433-130740555	0.1079
NM_001199181	chr3(.):130564368-130727046	0.1519
NM_001199180	chr3(.):130564368-130740555	0.1455
NM_001199179	chr3(.):130607834-130727046	0.112
NM_001001485	chr3(.):130607858-130740555	0.1075
NM_001199184	chr3(.):130607904-130727046	0.112
NM_014382	chr3(.):130608291-130727046	0.1123
NM_001080412	chr3(.):141038054-141173632	0.8294
NM_016275	chr3(.):150316065-150353234	0.424
NM_001042706	chr3(.):158782040-158986535	0.1815
NM_001042705	chr3(.):158782040-158989096	0.1801
NM_001190242	chr3(.):159969773-160106554	0.1231
NM_001190241	chr3(.):159969773-160122320	0.2326
NM_002740	chr3(.):169935219-170028770	0.2381
NM_024665	chr3(.):176733541-176920048	0.5444
NM_005832	chr3(.):178271617-178567217	0.1327
NM_130446	chr3(.):183200318-183278499	1.0482
NM_173216	chr3(.):186643314-186801341	0.5297
NM_003032	chr3(.):186734664-186801341	0.561
NM_005524	chr3(.):193848933-193861396	1.47
NM_001647	chr3(.):195290572-195316076	0.1246
NM_015931	chr3(.):8656319-8698737	0.0874
NR_030614	chr3(.):10431172-10441246	1.0915
NM_002880	chr3(.):12620099-12710700	0.3046
NM_024334	chr3(.):14161439-14190180	0.5382
NM_000060	chr3(.):15638254-15692325	0.2669
NM_012260	chr3(.):15597239-15648130	0.0879
NM_014240	chr3(.):45631322-45727755	0.3625
NM_001295	chr3(.):46238199-46254832	0.8882
NM_001837	chr3(.):46278871-46313197	0.1113
NM_001100168	chr3(.):46406632-46422697	0.4025
NM_003212	chr3(.):46614075-46628952	0.0866
NM_001174136	chr3(.):46611044-46628952	0.0803
NM_024512	chr3(.):46551877-46613011	0.3912
NM_031440	chr3(.):46534484-46547439	0.251
NM_001010983	chr3(.):52723503-52745048	0.5908
NM_206825	chr3(.):52714935-52733510	0.3885
NR_003687	chr3(.):52719753-52729846	0.3721
NM_014041	chr3(.):52734856-52747197	0.8878
NR_003057	chr3(.):52721751-52731828	0.2187
NM_152932	chr3(.):52723503-52742622	0.4956
NR_003047	chr3(.):52718255-52728331	0.4548
NM_001193533	chr3(.):52739795-52809965	0.2581
NR_024615	chr3(.):55686242-55698497	0.5474
NM_198195	chr3(.):69098880-69134524	0.2731
NM_006407	chr3(.):69129089-69160239	0.6908
NM_198271	chr3(.):69151038-69176746	0.232
NR_036087	chr3(.):69093108-69103186	0.2698
NM_001134651	chr3(.):71723439-71779526	0.2346
NM_001134650	chr3(.):71723439-71783269	0.2278
NM_001134649	chr3(.):71723439-71808532	0.1778
NM_173359	chr3(.):71723439-71808924	0.177
NM_018971	chr3(.):71798200-71809328	0.0895
NM_006100	chr3(.):98446571-98518236	0.6621
NM_145037	chr3(.):101493028-101552075	0.4101
NM_001134456	chr3(.):101493285-101552075	0.4113
NM_001005474	chr3(.):101541833-101584869	0.2442
NM_025146	chr3(.):113432840-113470096	0.3492
NM_173799	chr3(.):114007832-114034135	0.3187
NR_030293	chr3(.):114030321-114040416	0.0568
NR_033434	chr3(.):124444212-124473119	0.1347
NR_031687	chr3(.):125504246-125514395	0.0922
NR_024250	chr3(.):125630443-125653867	0.4929
NM_001015050	chr3(.):125643117-125660887	0.1942
NM_198490	chr3(.):128801417-128845619	0.5527
NM_000174	chr3(.):128774644-128786253	0.2805
NM_020701	chr3(.):128841258-128885073	0.1427
NM_020187	chr3(.):128992683-129029135	0.3924
NM_001006109	chr3(.):128992816-129029135	0.3934
NM_006026	chr3(.):129028613-129040120	1.1676
NR_026991	chr3(.):129030113-129048412	0.7155
NR_027898	chr3(.):129926662-129997649	0.0708
NM_014779	chr3(.):150121787-150182615	0.2219
NM_001123228	chr3(.):152052486-152063779	0.3089
NR_034008	chr3(.):156802669-156823924	1.1702
NR_034007	chr3(.):156794455-156845791	0.6352
NM_020307	chr3(.):156860585-156883482	0.7004
NM_000882	chr3(.):159701628-159718806	0.2488
NM_173084	chr3(.):160148290-160172626	0.3127
NR_029663	chr3(.):160117375-160127473	1.6069
NM_005496	chr3(.):160113346-160157741	0.5429
NM_001002800	chr3(.):160112429-160157741	0.5348
NR_029525	chr3(.):160117532-160127613	1.5266
NR_027622	chr3(.):169656771-169689522	0.8243
NM_182610	chr3(.):169624481-169661948	0.4043
NM_003262	chr3(.):169679579-169721161	0.2623
NM_014373	chr3(.):169750734-169808183	0.4121
NM_001145098	chr3(.):170070472-170115950	0.3229
NM_001145097	chr3(.):170072410-170115950	0.3234
NR_024480	chr3(.):194013988-194035593	0.9586
NM_001080513	chr3(.):194055493-194077057	0.1293
NM_006241	chr3(.):195236220-195275224	0.3964
NM_005781	chr3(.):195585235-195640880	0.4894
NM_001010938	chr3(.):195585235-195627432	0.2153
NM_001128148	chr3(.):195771154-195814032	0.3274
NM_003234	chr3(.):195771154-195813961	0.3279
NR_034088	chr3(.):195864506-195892761	0.1212
NM_014687	chr3(.):197393258-197468773	0.3641
NM_001145642	chr3(.):197393313-197481568	0.366
NR_027840	chr3(.):197472260-197516317	0.176
NM_032288	chr3(.):197471623-197516317	0.1742
NM_001011537	chr3(.):197471423-197516317	0.1734
NM_003215	chr4(.):48132799-48276814	0.287
NM_020859	chr4(.):77351252-77709405	0.2139
NM_144571	chr4(.):78629540-78745544	0.246
