GENE_ID	locusLine	bin_1_MOLP-8.jin.bam
NM_201398	chr1(.):154950769-154970587	0.4629
NM_015872	chr1(.):154970111-154995999	1.1273
NM_207196	chr1(.):155018761-155040252	0.4932
NM_018655	chr1(.):154961061-154971791	0.4772
NM_001143687	chr1(.):155001281-155028406	0.4715
NR_024163	chr1(.):154942117-154956725	1.6504
NM_144622	chr1(.):154986002-155011257	0.349
NM_138300	chr1(.):154924501-154939258	1.5718
NR_036212	chr1(.):154943168-154953259	1.8201
NM_006912	chr1(.):155862600-155886177	0.2223
NM_001162384	chr1(.):155911629-155953336	1.4079
NM_181885	chr1(.):155906479-155917625	1.935
NM_004723	chr1(.):155911629-155952966	1.4163
NM_014949	chr1(.):155877835-155909188	0.4637
NR_002974	chr1(.):155884699-155894833	0.1471
NR_003005	chr1(.):155890748-155900877	0.2007
NM_003145	chr1(.):155973838-155995758	0.456
NM_005920	chr1(.):156428518-156475529	1.6847
NM_198427	chr1(.):156606739-156628264	0.1785
NM_021817	chr1(.):156584085-156600517	0.1337
NM_004494	chr1(.):156706898-156726543	1.7109
NM_001126051	chr1(.):156706898-156727024	1.6763
NM_001126050	chr1(.):156706898-156727240	1.6617
NM_030980	chr1(.):156687412-156702705	0.7209
NM_001878	chr1(.):156664407-156680375	0.3055
NM_001142560	chr1(.):156693262-156711752	0.8923
NM_145729	chr1(.):156702093-156715923	0.6783
NM_006617	chr1(.):156633555-156652189	0.5665
NM_003564	chr1(.):159882902-159900284	1.8814
NM_012337	chr1(.):159837153-159874906	0.1958
NM_001146172	chr1(.):159916281-159929044	0.1411
NM_022100	chr1(.):174977093-174997591	0.3744
NR_033186	chr1(.):178506930-178523024	0.5862
NM_015602	chr1(.):179846419-179894211	0.5214
NR_034150	chr1(.):203262885-203279453	1.5106
NM_006763	chr1(.):203269663-203283729	1.3079
NM_002023	chr1(.):203304751-203325289	0.1604
NM_030952	chr1(.):205266190-205295883	0.2802
NM_001123168	chr1(.):206133910-206160074	0.7894
NM_020997	chr1(.):226068981-226081836	0.6823
NM_014698	chr1(.):226028232-226075420	0.4004
NM_001172425	chr1(.):226119297-226134083	0.9382
NM_013328	chr1(.):226102579-226116965	1.5277
NM_145257	chr1(.):229451751-229483688	0.6139
NM_006542	chr1(.):229435128-229446250	0.114
NM_182972	chr1(.):234735014-234750271	1.9405
NR_033927	chr1(.):234760056-234775526	0.1046
NM_031844	chr1(.):245008601-245032827	0.7148
NM_198076	chr1(.):244993638-245013359	0.8903
NR_026778	chr1(.):244998939-245015243	0.2913
NM_014600	chr2(.):31451879-31496260	0.4829
NR_033872	chr2(.):70184394-70319147	0.2746
NM_001012514	chr2(.):231724620-231748963	0.8719
NM_001037131	chr2(.):236397735-237039120	0.147
NM_004027	chr2(.):99056320-99212496	0.4633
NM_001566	chr2(.):99056320-99203284	0.4864
NM_005721	chr2(.):114642536-114721167	0.2365
NM_001228	chr2(.):202093165-202157434	0.4837
NM_003879	chr2(.):201975889-202034003	0.6145
NM_001127184	chr2(.):201975815-202011323	0.9009
NM_173822	chr2(.):201833440-201941392	0.1365
NM_033358	chr2(.):202093165-202151638	0.5241
NM_001037160	chr2(.):10191925-10225538	0.4099
NM_182626	chr2(.):10276508-10356856	0.1348
NM_001165931	chr2(.):10257694-10276546	0.8489
NM_001034	chr2(.):10257862-10276546	0.8544
NM_002997	chr2(.):20395557-20429927	1.0983
NM_001006946	chr2(.):20395557-20430194	1.0898
NM_001145122	chr2(.):31390921-31445411	0.1381
NM_006887	chr2(.):43444540-43458745	1.6407
NR_027251	chr2(.):43449349-43460994	1.4865
NM_001193493	chr2(.):65210578-65256000	0.4563
NM_003038	chr2(.):65211494-65256000	0.4588
NM_006196	chr2(.):70309584-70321334	1.6986
NR_024444	chr2(.):70346167-70357448	0.6636
NM_015425	chr2(.):86248450-86338278	0.3219
NR_026984	chr2(.):86242338-86255991	0.1876
NM_001006622	chr2(.):128515059-128573761	0.1976
NM_004805	chr2(.):128598839-128620729	0.2777
NM_004288	chr2(.):158266130-158305604	0.376
NM_002491	chr2(.):201931461-201955473	0.3162
NM_001127183	chr2(.):201978386-202033841	0.6369
NM_033356	chr2(.):202120222-202157434	0.4968
NM_001080125	chr2(.):202117753-202157434	0.5539
NM_182642	chr2(.):219259813-219274148	1.1591
NM_198559	chr2(.):219216578-219237817	0.1837
NM_021198	chr2(.):219259477-219275664	1.0435
NM_000578	chr2(.):219241751-219266617	0.6459
NR_029500	chr2(.):219262368-219272445	1.125
NM_007127	chr2(.):219278837-219319248	0.1335
NM_001099285	chr2(.):232568234-232583250	2.2331
NR_036052	chr2(.):232573023-232583105	1.3011
NR_027007	chr3(.):9425536-9444174	0.7616
NM_001135095	chr3(.):171753343-172123492	0.2504
NM_022763	chr3(.):171752417-172123492	0.2501
NM_001134382	chr3(.):12933718-13119617	0.305
NM_014869	chr3(.):12933718-13013960	0.1669
NM_001080412	chr3(.):141038054-141173632	0.4167
NM_001647	chr3(.):195290572-195316076	0.0835
NM_015453	chr3(.):9399716-9433475	0.1655
NM_001080517	chr3(.):9434402-9524838	0.2212
NM_003392	chr3(.):55494742-55526331	0.5614
NM_001145417	chr3(.):135862759-135918310	0.3519
NM_018133	chr3(.):135862759-135919688	0.3444
NR_003265	chr3(.):195379909-195420735	0.4673
NR_003266	chr3(.):197335897-197359752	0.3522
NM_014687	chr3(.):197393258-197468773	0.3754
NM_001145642	chr3(.):197393313-197481568	0.4106
NR_027840	chr3(.):197472260-197516317	0.2258
NM_032288	chr3(.):197471623-197516317	0.2233
NR_030627	chr3(.):197396366-197406447	0.0766
NM_001011537	chr3(.):197471423-197516317	0.2223
NM_144571	chr4(.):78629540-78745544	0.1991
NM_004310	chr4(.):40193526-40251281	0.5463
NM_024900	chr4(.):129725778-129790787	0.3135
NM_199320	chr4(.):129725778-129801379	0.2798
NM_018717	chr4(.):140632545-141080233	0.1267
NM_002199	chr4(.):185303875-185400726	0.7004
NM_031889	chr4(.):71489460-71517536	0.1319
NM_144646	chr4(.):71516257-71537348	0.8543
NM_020368	chr4(.):71549195-71561268	0.521
NM_014961	chr4(.):71582695-71664274	0.1272
NM_001130709	chr4(.):71565653-71660614	0.1722
NM_020236	chr4(.):78778804-78878944	0.087
NM_001992	chr5(.):76006867-76036595	1.1066
NM_001020825	chr5(.):142652495-142788254	0.1716
NM_001018076	chr5(.):142652495-142789045	0.1706
NM_001018075	chr5(.):142652495-142820077	0.1494
NM_001193376	chr5(.):1248286-1300162	0.3362
NM_030782	chr5(.):1312999-1350002	1.1699
NM_001145161	chr5(.):6443735-6501834	0.3686
NM_006713	chr5(.):32580604-32609185	0.6617
NR_034127	chr5(.):43060288-43072073	0.7158
NM_001014279	chr5(.):43034181-43045447	1.71
NR_034085	chr5(.):43011149-43023913	0.6152
NR_015447	chr5(.):43037235-43050370	1.341
NR_028375	chr5(.):76002762-76013686	1.7586
NR_036052	chr5(.):118305280-118315362	0.0877
NM_005573	chr5(.):126107314-126177712	0.2887
NM_001198557	chr5(.):126107844-126177712	0.2906
NM_016480	chr5(.):138672518-138710409	0.2567
NM_194296	chr5(.):138727455-138744776	0.8503
NM_152686	chr5(.):138740891-138780214	0.275
NM_152685	chr5(.):138697884-138724039	0.2775
NM_001033112	chr5(.):138673133-138710409	0.2603
NM_001161546	chr5(.):138722634-138735885	1.7219
NM_016459	chr5(.):138718256-138730605	1.8457
NM_016463	chr5(.):139023300-139067680	0.6986
NM_181356	chr6(.):44791469-45350670	0.0657
NM_003599	chr6(.):44792449-45350575	0.0654
NM_012288	chr6(.):52357199-52446862	0.7271
NM_001160134	chr6(.):73326570-73913573	0.1227
NM_005907	chr6(.):119494266-119675926	0.1911
NM_001122742	chr6(.):152006630-152429408	0.2268
NM_001195286	chr6(.):386738-416443	0.7722
NR_037616	chr6(.):7876482-8069647	0.5216
NM_000332	chr6(.):16294342-16766721	0.2102
NM_004348	chr6(.):45384913-45523819	0.2738
NM_001024630	chr6(.):45291053-45523819	0.2126
NM_153816	chr6(.):86210214-86308629	0.0945
NM_016021	chr6(.):90031343-90067619	0.6794
NM_001170794	chr6(.):90631246-91011627	0.2043
NM_021813	chr6(.):90631246-91011562	0.2044
NM_001455	chr6(.):108877068-109010971	0.3996
NM_201559	chr6(.):108876025-109010971	0.3978
NM_002912	chr6(.):111615233-111809414	0.1466
NM_006734	chr6(.):143067603-143271338	0.3134
NM_001122740	chr6(.):152123453-152429408	0.2292
NM_000125	chr6(.):152123813-152429408	0.2294
NM_001122741	chr6(.):152121807-152429408	0.2282
NM_020185	chr6(.):287100-356355	1.767
NM_001145549	chr6(.):7876482-7915310	1.3115
NM_030810	chr6(.):7876482-7916047	1.3734
NM_003526	chr6(.):26118694-26129132	1.2088
NM_139006	chr6(.):26082508-26100469	0.1524
NM_138720	chr6(.):26153348-26176576	0.7383
NM_005321	chr6(.):26151558-26162343	1.1413
NM_003512	chr6(.):26119372-26129918	1.1998
NM_003542	chr6(.):26099175-26109565	0.3262
NM_005323	chr6(.):26102639-26113364	0.3063
NM_021066	chr6(.):27777079-27787518	1.2315
NM_003536	chr6(.):27772841-27783314	1.7012
NM_003509	chr6(.):27770976-27781445	1.3297
NM_003519	chr6(.):27770256-27780709	1.2725
NM_003521	chr6(.):27777821-27788267	1.2062
NM_003520	chr6(.):27801439-27811888	1.4394
NM_003511	chr6(.):27828106-27838576	0.563
NM_003533	chr6(.):27834622-27845099	0.3786
NM_003510	chr6(.):27800657-27811117	1.4233
NM_003541	chr6(.):27793951-27804305	0.6642
NM_005322	chr6(.):27829569-27840359	0.6646
NM_021968	chr6(.):27786902-27797258	0.6093
NM_003546	chr6(.):27835925-27846289	0.2564
NM_006120	chr6(.):32911390-32925899	0.1081
NM_002119	chr6(.):32966959-32982389	0.0739
NM_002118	chr6(.):32897405-32913847	0.0723
NM_005104	chr6(.):32931436-32954282	1.2863
NM_001113182	chr6(.):32933664-32954282	1.4169
NM_001199455	chr6(.):32934371-32954282	1.4659
NM_001199456	chr6(.):32935860-32954282	1.5315
NM_015089	chr6(.):43144921-43197325	0.2216
NM_003131	chr6(.):43133919-43154244	1.1682
NM_001402	chr6(.):74220472-74235755	1.0748
NM_001159676	chr6(.):86312501-86356169	0.378
NM_001159677	chr6(.):86312501-86358043	0.3638
NM_001159674	chr6(.):86312501-86357608	0.3667
NM_006372	chr6(.):86318692-86358043	0.4017
NM_001159673	chr6(.):86312501-86357640	0.3664
NR_003044	chr6(.):86382306-86392377	0.7638
NR_003038	chr6(.):86381724-86393451	0.665
NR_002743	chr6(.):86382011-86392086	0.7586
NM_002043	chr6(.):89962238-90029967	0.3709
NR_034109	chr6(.):111799674-111928497	0.2603
NR_034111	chr6(.):111799674-111829811	0.4961
NR_034110	chr6(.):111799674-111904383	0.2629
NM_006079	chr6(.):139688396-139700785	1.0998
NM_001168389	chr6(.):139688396-139700350	1.1339
NM_001168388	chr6(.):139688396-139700499	1.1204
NM_001259	chr7(.):92229234-92468231	0.2678
NM_001145306	chr7(.):92229234-92470941	0.2652
NM_001013836	chr7(.):1850427-2277583	0.2204
NM_030796	chr7(.):55533305-55645200	0.6859
NM_022748	chr7(.):47309751-47584199	0.1857
NM_182931	chr7(.):104649636-104759532	0.3209
NM_003344	chr7(.):129467994-129597789	0.222
NM_207342	chr7(.):22454062-22544901	0.4105
NM_001164460	chr7(.):22473037-22544901	0.4931
NR_029597	chr7(.):25984538-25994606	1.4031
NM_152559	chr7(.):73243920-73261855	0.8212
NM_001305	chr7(.):73240192-73252015	1.329
NM_182504	chr7(.):73270488-73285223	0.151
NR_027374	chr7(.):104530074-104572092	0.366
NR_024586	chr7(.):104645988-104659588	1.6955
NM_001101676	chr8(.):119196694-119639184	0.1462
NM_207506	chr8(.):119385226-119639184	0.1902
NM_004745	chr8(.):1444568-1661642	0.0871
NM_178812	chr8(.):98651406-98747488	0.2674
NM_057158	chr8(.):29188616-29211322	0.7586
NM_001394	chr8(.):29188619-29213185	0.7113
NR_026765	chr8(.):29573775-29610625	0.1823
NM_001135699	chr8(.):101925803-101970221	0.3759
NM_001135700	chr8(.):101925803-101968560	0.3853
NM_145690	chr8(.):101925803-101969357	0.3801
NM_003406	chr8(.):101925803-101970623	0.3737
NM_001135702	chr8(.):101925803-101967799	0.3894
NM_025195	chr8(.):126437562-126455644	1.5464
NM_032611	chr8(.):142427006-142446620	0.8328
NM_005293	chr8(.):142361586-142382365	0.1849
NM_001206	chr9(.):72994512-73034573	0.5112
NM_080546	chr9(.):108001928-108158682	0.4118
NM_001083603	chr9(.):98200263-98284247	0.4413
NM_001083606	chr9(.):98200263-98274699	0.4535
NM_001083607	chr9(.):98200263-98274481	0.4518
NM_001083605	chr9(.):98200263-98275322	0.457
NM_000264	chr9(.):98200263-98275831	0.4539
NM_006401	chr9(.):100740488-100783224	0.3855
NM_197978	chr9(.):100684072-100705526	0.2115
NM_018437	chr9(.):100684072-100712134	0.1688
NM_030767	chr9(.):117091432-117161685	0.4068
NM_001123384	chrX(.):39905498-40041582	0.3174
NR_027653	chr10(.):3813187-3832473	0.9188
NM_178150	chr10(.):5927213-5984556	0.758
NM_032807	chr10(.):5931348-5984556	0.7735
NM_019046	chr10(.):5898688-5936860	0.4578
NM_001009941	chr10(.):5915049-5936860	0.7242
NM_004412	chr10(.):17179981-17249070	0.163
NM_003380	chr10(.):17265257-17284592	0.8613
NR_036533	chr10(.):22719353-22731858	0.1702
NM_001098517	chr11(.):115039344-115380241	0.23
NM_030962	chr11(.):9795213-10320754	0.0741
NM_001012662	chr11(.):62618483-62661355	0.572
NM_001013251	chr11(.):62643343-62661355	0.3483
NM_001012661	chr11(.):62618517-62661353	0.5722
NM_024060	chr11(.):62196015-62319332	0.2416
NR_037193	chr11(.):62644170-62661355	0.3491
NM_003273	chr11(.):64874340-64888707	1.0304
NM_005438	chr11(.):65654691-65672997	1.2386
NM_001077241	chr11(.):65137662-65155142	1.3353
NR_002819	chr11(.):65260232-65278939	2.1897
NM_053056	chr11(.):69450872-69474242	0.9373
NM_012309	chr11(.):70308960-70940808	0.1378
NM_005933	chr11(.):118302204-118402539	0.2659
NM_024556	chr11(.):126076618-126137879	0.1672
NM_012239	chr11(.):210029-241362	0.2435
NM_002817	chr11(.):231807-257984	0.2244
NM_138329	chr11(.):273569-290304	0.4048
NM_006435	chr11(.):303106-314410	0.2525
NM_025092	chr11(.):284137-300688	0.4095
NM_003641	chr11(.):308990-320272	0.3226
NM_001025295	chr11(.):293202-304526	0.104
NM_021034	chr11(.):314672-325914	0.2057
NM_001124	chr11(.):10321641-10333923	1.415
NM_022830	chr11(.):62337516-62364109	0.6706
NM_004739	chr11(.):62355674-62374303	1.0185
NM_001404	chr11(.):62322072-62346460	0.9775
NR_002565	chr11(.):62618036-62628103	1.4495
NM_003164	chr11(.):62569368-62604560	0.5334
NM_018093	chr11(.):62595382-62612628	1.7381
NR_003098	chr11(.):62614459-62628360	1.1312
NR_002561	chr11(.):62616134-62626204	1.4007
NR_002560	chr11(.):62615797-62625865	1.4045
NR_002559	chr11(.):62616375-62626440	1.4071
NR_000008	chr11(.):62615381-62625507	1.3734
NR_002564	chr11(.):62617763-62627838	1.4522
NR_002563	chr11(.):62617483-62627555	1.4394
NR_002562	chr11(.):62617092-62627167	1.4136
NM_001081491	chr11(.):62554597-62577964	0.6467
NM_001080501	chr11(.):62552786-62564486	0.9559
NM_017525	chr11(.):64586661-64617041	0.1785
NR_029829	chr11(.):64653826-64663911	0.1784
NM_006795	chr11(.):64615207-64651191	1.1207
NR_029578	chr11(.):64653608-64663718	0.1807
NM_080668	chr11(.):64839926-64856615	0.7913
NM_006782	chr11(.):64846693-64860874	0.8395
NM_013265	chr11(.):64858682-64884180	0.6371
NR_037567	chr11(.):64884654-64899841	0.9926
NM_172230	chr11(.):64889750-64907003	1.4137
NM_001997	chr11(.):64883098-64894672	1.3428
NM_004927	chr11(.):64884715-64899841	0.9725
NM_014205	chr11(.):64878874-64890170	1.714
NM_001008778	chr11(.):64932706-64945688	0.2157
NM_001198868	chr11(.):64943685-64984477	0.2885
NM_001198869	chr11(.):64944149-64984477	0.2905
NM_001198870	chr11(.):64944303-64984477	0.2905
NM_006268	chr11(.):65096345-65125451	0.3457
NM_145719	chr11(.):65117281-65130082	0.3195
NR_028272	chr11(.):65185268-65199003	4.4784
NR_030343	chr11(.):65206928-65217028	0.6533
NM_031904	chr11(.):65149040-65185995	0.947
NM_032223	chr11(.):65378782-65409910	0.6083
NM_001098785	chr11(.):65334819-65346669	1.7561
NM_021070	chr11(.):65301029-65330699	0.4893
NM_033455	chr11(.):65355325-65368467	1.4726
NM_001099409	chr11(.):65338508-65365116	1.5711
NM_002419	chr11(.):65360225-65386720	0.72
NM_001048218	chr11(.):65287547-65311182	0.538
NM_006396	chr11(.):65332942-65344239	1.5499
NM_153253	chr11(.):65402591-65423391	0.5093
NM_006747	chr11(.):65400577-65423391	0.4873
NM_198897	chr11(.):65646210-65661010	1.3501
NM_001335	chr11(.):65642283-65656212	0.5318
NM_025128	chr11(.):65622871-65638914	2.0258
NM_005507	chr11(.):65617284-65630804	2.3621
NM_152760	chr11(.):65596409-65626172	0.3874
NM_016938	chr11(.):65628911-65645340	0.3844
NM_006848	chr11(.):65652874-65664106	1.6745
NM_006442	chr11(.):65681727-65694048	0.4654
NM_001135635	chr11(.):65679282-65691531	0.484
NM_138768	chr11(.):69056621-69069754	1.2919
NM_153451	chr11(.):69475331-69495165	0.2924
NM_006235	chr11(.):111217980-111255157	0.909
NM_006476	chr11(.):118267103-118285562	0.875
NR_027288	chr11(.):122883273-122895319	0.0643
NM_006597	chr11(.):122923199-122937844	0.9937
NM_032795	chr11(.):126066988-126086587	0.226
NM_021238	chr12(.):31428519-31484121	0.3064
NM_001135812	chr12(.):31428519-31484159	0.3062
NM_007273	chr12(.):7069516-7084891	1.083
NM_001144831	chr12(.):7069514-7084916	1.0818
NM_006143	chr12(.):12808994-12854121	0.2005
NM_003299	chr12(.):104319188-104346703	0.6715
NM_001080825	chr12(.):122145657-122224974	0.327
NM_003959	chr12(.):123315038-123352507	0.4822
NM_006312	chr12(.):124803960-125057010	0.2971
NM_001975	chr12(.):7018613-7037859	0.3248
NM_002831	chr12(.):7055433-7075479	1.173
NR_029779	chr12(.):7067861-7077929	1.6021
NM_080548	chr12(.):7050739-7075479	1.2181
NM_001007026	chr12(.):7028625-7056484	0.7947
NM_001940	chr12(.):7032479-7056484	0.8926
NR_003010	chr12(.):7071499-7081769	1.0209
NM_138425	chr12(.):7048202-7060165	0.7054
NR_029682	chr12(.):7068259-7078354	1.4165
NM_006331	chr12(.):7074943-7090165	0.5756
NR_036052	chr12(.):9387065-9397147	0.0575
NR_036052	chr12(.):12259885-12269967	0.0851
NM_004064	chr12(.):12865301-12880305	2.6349
NR_030344	chr12(.):12912582-12922677	0.0697
NM_001130415	chr12(.):12873850-12949399	0.3664
NR_026806	chr12(.):31472249-31483879	1.1032
NM_001098532	chr12(.):48123452-48157181	0.2685
NM_017842	chr12(.):48161966-48181536	0.2909
NM_006105	chr12(.):48123452-48157244	0.2682
NM_001098531	chr12(.):48123452-48157889	0.267
NM_001098416	chr12(.):48171506-48218763	0.8502
NM_001946	chr12(.):89736836-89751296	1.5007
NR_027249	chr12(.):104232526-104328989	0.3078
NR_037425	chr12(.):104319202-104329333	1.6332
NM_003211	chr12(.):104354592-104387656	0.1819
NM_001135570	chr12(.):104338980-104355993	0.2472
NM_181724	chr12(.):108978621-108996894	0.2126
NM_003006	chr12(.):109010679-109032670	0.9784
NM_173855	chr12(.):122084292-122112560	0.3303
NM_019034	chr12(.):122210659-122236594	0.3935
NR_002809	chr12(.):122228172-122246390	1.5522
NM_015048	chr12(.):122237637-122275562	0.6507
NM_016638	chr12(.):123459879-123472460	1.2552
NM_024623	chr12(.):123454353-123469588	1.4285
NM_019624	chr12(.):123408538-123456056	1.1352
NM_024667	chr12(.):123344874-123385712	1.8172
NM_203444	chr12(.):123408538-123464752	1.2002
NM_021009	chr12(.):125391191-125404587	1.9437
NM_001142641	chr12(.):133062156-133166773	0.2214
NM_002015	chr13(.):41124800-41245734	0.2781
NR_002612	chr13(.):50551687-50704677	0.3021
NM_001032296	chr13(.):99097454-99234396	0.585
NM_007368	chr13(.):114742193-114903095	0.6267
NR_002605	chr13(.):50651413-50684433	0.4093
NR_002183	chr13(.):50741153-50752751	0.0685
NM_003576	chr13(.):99097454-99179341	0.6608
NM_000369	chr14(.):81416868-81617646	0.1919
NM_001018036	chr14(.):81416868-81580294	0.217
NM_152446	chr14(.):80957820-81410884	0.1351
NM_001080414	chr14(.):91732666-91889133	0.5547
NM_001123329	chr14(.):64966291-64996669	0.6536
NM_006977	chr14(.):64948554-64975554	0.6814
NM_004857	chr14(.):64927216-64946221	0.0961
NM_014950	chr14(.):64966291-65005408	0.5153
NM_021979	chr14(.):65002185-65014954	0.1666
NM_172365	chr14(.):65011619-65061096	0.0716
NM_207442	chr14(.):69256463-69268190	1.1812
NM_004926	chr14(.):69249374-69264785	0.9451
NM_152592	chr14(.):95878830-95947173	0.1519
NR_003002	chr14(.):95994691-96004966	0.7701
NR_001459	chr14(.):95994248-96006209	0.7135
NM_016417	chr14(.):95996322-96016055	0.4604
NM_025268	chr14(.):105987952-106001539	0.4337
NM_005503	chr15(.):29208839-29415516	0.2545
NR_031680	chr15(.):69111302-69494862	0.1298
NM_025201	chr15(.):65129081-65165201	0.2975
NM_006305	chr15(.):69065874-69118261	0.4387
NR_033735	chr15(.):22541564-22575831	0.749
NM_002875	chr15(.):40982326-41029356	0.4733
NM_001164269	chr15(.):40982377-41029356	0.4738
NM_182703	chr15(.):65199100-65256041	0.3476
NR_026808	chr15(.):69091159-69104440	0.1635
NR_036197	chr15(.):69089188-69099264	0.1555
NM_019006	chr15(.):80347020-80435710	0.1536
NR_033769	chr15(.):93333713-93345338	0.1593
NM_014918	chr15(.):101710927-101797137	0.4747
NM_015246	chr16(.):4669825-4745975	0.2369
NM_018052	chr16(.):70716341-70840061	0.3392
NM_030629	chr16(.):81523953-81750367	0.2783
NM_198390	chr16(.):81473774-81750367	0.2731
NM_175931	chr16(.):88936262-89012608	0.1722
NM_005187	chr16(.):88936262-89048504	0.3407
NM_145253	chr16(.):4653883-4669927	1.3973
NM_016138	chr16(.):19073916-19096417	0.2715
NM_001034841	chr16(.):19120253-19137952	0.8964
NM_001190983	chr16(.):19074238-19096417	0.2747
NM_001172643	chr16(.):66536905-66589194	0.5668
NM_001172644	chr16(.):66536905-66589315	0.566
NM_052999	chr16(.):66595349-66618038	0.0938
NM_181641	chr16(.):66581471-66604971	0.4272
NM_181271	chr16(.):66595293-66618038	0.0939
NM_001040138	chr16(.):66581465-66605154	0.4238
NR_034083	chr16(.):70783962-70812154	0.156
NM_001142864	chr16(.):88776745-88856372	0.3359
NM_030928	chr16(.):88865185-88880666	0.9925
NM_000485	chr16(.):88870876-88883342	0.8265
NR_026951	chr17(.):8118947-8132361	0.7382
NM_022827	chr17(.):48619561-48638213	0.2736
NM_181671	chr17(.):65368923-65694647	0.2373
NM_052916	chr17(.):74133533-74241390	0.4785
NM_020310	chr17(.):2282353-2309258	0.8626
