REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
3_MACS_peak_4898_lociStitched	chr11	65183309	65214535	3	25096	186322.4194	7725.3124	16	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	11.1893	16	1
5_MACS_peak_11362_lociStitched	chr17	34597814	34641453	5	36788	147578.3702	11324.3205	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	17	1
2_MACS_peak_11874_lociStitched	chr17	62149957	62187401	2	37302	120876.7208	8559.6984	18	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.7861	18	1
6_MACS_peak_16709_lociStitched	chr20	32398815	32452376	6	39509	108311.0542	10685.4195	19	CHMP4B		CHMP4B	CHMP4B	1.6648999999999998	19	1
4_MACS_peak_17689_lociStitched	chr22	23221441	23249227	4	27179	157349.3394	5034.8232	20	IGLL5		IGLL5	IGLL5	7.829400000000001	20	1
6_MACS_peak_22610_lociStitched	chr5	131789749	131837841	6	33224	135600.2032	10012.7544	21	C5orf56,IRF1	IL5	IRF1	IRF1	0.8111999999999999	21	1
4_MACS_peak_21640_lociStitched	chr5	1311690	1346142	4	28009	152570.682	7837.83	22	CLPTM1L	TERT	CLPTM1L	CLPTM1L	3.7784	22	1
7_MACS_peak_16641_lociStitched	chr20	25261475	25303001	7	28800	149298.4278	7453.917	23	PYGB,ABHD12		PYGB	PYGB	1.3812	23	1
2_MACS_peak_6342_lociStitched	chr12	53573162	53604053	2	26124	156311.5491	7296.4542	24	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	ITGB7	5.5168	24	1
4_MACS_peak_18253_lociStitched	chr3	5221989	5257148	4	32658	125728.584	7337.6833	25	ARL8B,EDEM1		EDEM1	EDEM1	2.6124	25	1
5_MACS_peak_6933_lociStitched	chr12	109009280	109036291	5	25641	149959.6698	6069.3717	26	SELPLG	TMEM119	SELPLG	SELPLG	6.1122000000000005	26	1
6_MACS_peak_11314_lociStitched	chr17	32690378	32726892	6	25630	147593.2394	8277.7238	27		CCL8,CCL13,CCL1	CCL1	CCL1	1.5746000000000002	27	1
4_MACS_peak_11358_lociStitched	chr17	34509682	34540274	4	27237	143029.8368	9263.2576	28	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	5.215999999999999	28	1
4_MACS_peak_12575_lociStitched	chr18	46440229	46480190	4	36719	92210.0075	7564.6173	29	SMAD7		SMAD7	SMAD7	2.0202	29	1
5_MACS_peak_8798_lociStitched	chr15	31616817	31660648	5	35377	101293.441	7964.0927	30	KLF13		KLF13	KLF13	1.5294	30	1
7_MACS_peak_5805_lociStitched	chr12	7045189	7085767	7	30671	123300.3108	8383.4148	31	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	3.7449	31	1
2_MACS_peak_20895_lociStitched	chr4	90204562	90230288	2	24968	142149.013	5739.4706	32	GPRIN3		GPRIN3	GPRIN3	1.8969	32	1
2_MACS_peak_8658_lociStitched	chr14	106024605	106052781	2	26497	133266.8448	5435.1504	33		TMEM121	TMEM121	TMEM121	0.0116	33	1
7_MACS_peak_10550_lociStitched	chr16	68269861	68320882	7	34281	97404.1911	9714.3984	34	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.9515	34	1
2_MACS_peak_17693_lociStitched	chr22	23268627	23286314	2	17643	151895.956	4611.0009	35		IGLL5	IGLL5	IGLL5	7.829400000000001	35	1
8_MACS_peak_19955_lociStitched	chr3	183219709	183261099	8	29415	118863.802	11953.432	36	KLHL6		KLHL6	KLHL6	1.9285999999999999	36	1
6_MACS_peak_27592_lociStitched	chr8	120912516	120947926	6	32732	89821.006	7142.197	37	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.6052	37	1
4_MACS_peak_11079_lociStitched	chr17	16863949	16895410	4	21876	136490.4024	6373.9986	38	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.7215	38	1
2_MACS_peak_12903_lociStitched	chr19	2081349	2098455	2	15679	149860.5342	6031.5756	39	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.0935999999999995	39	1
3_MACS_peak_22607_lociStitched	chr5	131744764	131774503	3	23437	130316.298	6914.3175	40	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.1971000000000003	40	1
4_MACS_peak_12122_lociStitched	chr17	76710967	76746821	4	27051	116270.9366	7034.5548	41	CYTH1		CYTH1	CYTH1	1.5259999999999998	41	1
1_MACS_peak_24364_lociStitched	chr6	106530330	106555910	1	25581	121256.874	6238.962	42	PRDM1		PRDM1	PRDM1	3.4347	42	1
5_MACS_peak_17521_lociStitched	chr21	45552528	45580728	5	19622	137384.76	7509.66	43	C21orf33	PWP2	C21orf33	C21orf33	2.1764	43	1
2_MACS_peak_26515_lociStitched	chr7	150062710	150084687	2	21720	129930.2217	6428.2725	44	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	3.7209000000000003	44	1
4_MACS_peak_26014_lociStitched	chr7	102063503	102093217	4	21197	128495.2216	5850.6866	45	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.1336	45	1
1_MACS_peak_6358_lociStitched	chr12	53845116	53876431	1	31316	81807.306	6466.5475	46	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.9442	46	1
3_MACS_peak_26608_lociStitched	chr8	2027144	2050934	3	19382	131085.279	4855.539	47	MYOM2		MYOM2	MYOM2	1.4631	47	1
1_MACS_peak_5904_lociStitched	chr12	12866102	12881965	1	15864	135508.0912	3930.8514	48	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	8.69	48	1
3_MACS_peak_1772_lociStitched	chr1	156115361	156137266	3	21422	124295.5415	7401.6995	49	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	3.1180000000000003	49	1
3_MACS_peak_1784_lociStitched	chr1	156449649	156476186	3	24817	111755.2681	7947.8315	50	MEF2D		MEF2D	MEF2D	2.1833	50	1
3_MACS_peak_11793_lociStitched	chr17	56405111	56430980	3	20563	124590.2778	6097.3233	51	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.1592	51	1
1_MACS_peak_5643_lociStitched	chr11	128584853	128610119	1	25267	106263.7428	5467.5624	52	FLI1		FLI1	FLI1	0.9905999999999999	52	1
4_MACS_peak_4145_lociStitched	chr10	125822086	125854780	4	28733	86792.7618	6100.7004	53	CHST15		CHST15	CHST15	0.8867999999999999	53	1
9_MACS_peak_10665_lociStitched	chr16	78763435	78804985	9	33542	40444.77	4375.215	54	WWOX		WWOX	WWOX	0.0196	54	1
2_MACS_peak_9310_lociStitched	chr15	68568623	68599495	2	29140	82184.3512	6180.5744	55	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.1778	55	1
3_MACS_peak_2996_lociStitched	chr10	11278740	11313223	3	27507	92545.4754	7024.1871	56	CELF2		CELF2	CELF2	0.8938	56	1
4_MACS_peak_1588_lociStitched	chr1	149802759	149834123	4	17973	127664.0256	8747.4196	57	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	6.3442	57	1
4_MACS_peak_17923_lociStitched	chr22	37610893	37642397	4	29175	76781.5488	6351.2064	58	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.5507	58	1
2_MACS_peak_14121_lociStitched	chr2	20397327	20426502	2	22918	106456.6575	5878.7625	59	SDC1		SDC1	SDC1	2.917	59	1
1_MACS_peak_25584_lociStitched	chr7	55616232	55642898	1	26667	87363.1492	5538.5282	60	VOPP1		VOPP1	VOPP1	1.8579	60	1
1_MACS_peak_476_lociStitched	chr1	31213477	31233349	1	19873	113580.4032	4962.0384	61	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	3.1028	61	1
4_MACS_peak_18323_lociStitched	chr3	13035447	13061632	4	18702	117211.9155	5462.191	62	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5921000000000001	62	1
1_MACS_peak_15894_lociStitched	chr2	201979893	201995100	1	15208	124577.2647	4028.3343	63	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	2.1416000000000004	63	1
4_MACS_peak_13272_lociStitched	chr19	16693785	16717316	4	15952	122707.1057	4830.9143	64	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.17020000000000002	64	1
2_MACS_peak_4514_lociStitched	chr11	22676851	22703824	2	22781	99654.4458	4442.4531	65	GAS2	FANCF	GAS2	FANCF	0.8819	65	1
5_MACS_peak_27297_lociStitched	chr8	81046218	81084520	5	26921	80043.5196	6545.8118	66	TPD52		TPD52	TPD52	0.7092	66	1
1_MACS_peak_16219_lociStitched	chr2	232687022	232715087	1	28066	68346.6945	3903.8415	67		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.092	67	1
5_MACS_peak_24259_lociStitched	chr6	90053791	90086350	5	23836	94896.4614	6163.4187	68	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.7689	68	1
5_MACS_peak_23087_lociStitched	chr5	173310181	173344116	5	29227	57475.7095	6104.9065	69	CPEB4		CPEB4	CPEB4	0.7092	69	1
2_MACS_peak_1615_lociStitched	chr1	150532219	150552945	2	20164	107356.5348	7191.922	70	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	ENSA	1.1114	70	1
5_MACS_peak_14959_lociStitched	chr2	97190710	97220693	5	23216	93585.9379	5999.5983	71	ARID5A	NEURL3	ARID5A	ARID5A	2.2725999999999997	71	1
1_MACS_peak_20509_lociStitched	chr4	40190878	40209855	1	18978	108092.992	4501.3444	72	RHOH		RHOH	RHOH	1.7445000000000002	72	1
3_MACS_peak_12928_lociStitched	chr19	2606906	2629085	3	13137	124373.1783	6303.2718	73	GNG7		GNG7	GNG7	0.7807000000000001	73	1
4_MACS_peak_8665_lociStitched	chr14	106145177	106173012	4	22568	93149.8275	3381.9525	74			TMEM121	TMEM121	0.0116	74	1
3_MACS_peak_7149_lociStitched	chr12	123354925	123387354	3	25084	81030.3423	3959.5809	75	VPS37B	HIP1R	VPS37B	VPS37B	1.779	75	1
3_MACS_peak_13546_lociStitched	chr19	39880622	39904107	3	17952	108850.6265	4852.001	76	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.2858	76	1
4_MACS_peak_19817_lociStitched	chr3	171801682	171826959	4	20848	100506.4074	7168.5572	77	FNDC3B		FNDC3B	FNDC3B	0.2754	77	1
1_MACS_peak_14066_lociStitched	chr2	11883543	11898291	1	14749	113502.0828	3453.9816	78	LPIN1		LPIN1	LPIN1	1.2137	78	1
2_MACS_peak_4905_lociStitched	chr11	65254260	65279032	2	18358	105325.5896	5615.8124	79	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	4.6873000000000005	79	1
2_MACS_peak_13252_lociStitched	chr19	16243672	16273301	2	24573	78504.9984	6136.1659	80	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	2.094	80	1
5_MACS_peak_9393_lociStitched	chr15	75063274	75093077	5	23834	81356.2294	5880.1319	81	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.2077	81	1
3_MACS_peak_2406_lociStitched	chr1	206727857	206754715	3	22741	87250.8988	7525.6116	82	RASSF5	LGTN	RASSF5	RASSF5	0.8751	82	1
2_MACS_peak_2363_lociStitched	chr1	204474544	204492317	2	14447	112682.5973	5474.084	83	MDM4	PIK3C2B	MDM4	MDM4	1.7202	83	1
2_MACS_peak_2767_lociStitched	chr1	234733894	234749938	2	12181	114254.1372	4761.8592	84	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	7.097099999999999	84	1
3_MACS_peak_10427_lociStitched	chr16	56963209	56986013	3	21348	86798.8652	5701	85	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	3.5410000000000004	85	1
5_MACS_peak_26844_lociStitched	chr8	27207257	27241972	5	24312	68076.115	6727.767	86	PTK2B	TRIM35	PTK2B	PTK2B	0.6912999999999999	86	1
2_MACS_peak_11450_lociStitched	chr17	38465576	38484050	2	17994	94538.8476	3942.3516	87	RARA	CDC6,RARA,GJD3	RARA	RARA	1.5669000000000002	87	1
7_MACS_peak_8561_lociStitched	chr14	95946114	95986376	7	26030	49421.605	3800.7328	88		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.3892	88	1
3_MACS_peak_1700_lociStitched	chr1	154370294	154394479	3	19551	90805.001	7267.5925	89	IL6R		IL6R	IL6R	1.1499	89	1
3_MACS_peak_4375_lociStitched	chr11	10323590	10345082	3	18728	90216.9684	4504.7232	90	ADM	SBF2	ADM	ADM	4.9004	90	1
1_MACS_peak_22275_lociStitched	chr5	88111219	88131044	1	19826	85178.1125	4305.99	91	MEF2C		MEF2C	MEF2C	0.8049000000000001	91	1
4_MACS_peak_11353_lociStitched	chr17	34408906	34432811	4	20408	83273.0675	5952.345	92	CCL4,CCL3	CCL18	CCL3	CCL3	4.3494	92	1
1_MACS_peak_23526_lociStitched	chr6	25402971	25415289	1	12319	105652.7178	3569.7564	93	LRRC16A		LRRC16A	LRRC16A	0.41669999999999996	93	1
9_MACS_peak_24716_lociStitched	chr6	138246682	138297584	9	23223	67114.287	9299.7954	94			TNFAIP3	TNFAIP3	1.3501	94	1
2_MACS_peak_17712_lociStitched	chr22	24176632	24191901	2	13313	100673.0977	3511.87	95	SMARCB1,DERL3	SLC2A11,MIF	DERL3	DERL3	1.1288	95	1
4_MACS_peak_13607_lociStitched	chr19	42037698	42070615	4	21590	71755.7683	6431.9818	96		CEACAM21	CEACAM21	NONE	NONE	96	1
5_MACS_peak_12126_lociStitched	chr17	76753831	76779876	5	20042	76658.2485	4734.981	97	CYTH1		CYTH1	CYTH1	1.5259999999999998	97	1
5_MACS_peak_2398_lociStitched	chr1	206272188	206307686	5	19712	80970.938	8565.6674	98	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	0.8863999999999999	98	1
3_MACS_peak_8904_lociStitched	chr15	40387228	40409026	3	18154	83863.4454	4874.0328	99	BMF	BUB1B	BMF	BMF	2.6753	99	1
2_MACS_peak_17047_lociStitched	chr20	52194862	52215901	2	20190	72651.8748	3664.9938	100	ZNF217		ZNF217	ZNF217	1.2648	100	1
6_MACS_peak_10524_lociStitched	chr16	67562639	67601619	6	21561	65860.608	6197.82	101	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	1.01	101	1
1_MACS_peak_17449_lociStitched	chr21	41324759	41345240	1	20482	71505.3153	6277.4265	102			PCP4	PCP4	NONE	102	1
3_MACS_peak_12080_lociStitched	chr17	75131311	75147070	3	15087	87891.0948	3411.8235	103	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.4008000000000003	103	1
2_MACS_peak_10492_lociStitched	chr16	66549281	66560454	2	10441	98416.2532	2798.8365	104	TK2	CKLF,CMTM1	TK2	TK2	2.0947	104	1
5_MACS_peak_21530_lociStitched	chr4	185317572	185350401	5	20751	66045.3822	6129.1743	105	IRF2		IRF2	IRF2	1.6162999999999998	105	1
3_MACS_peak_16084_lociStitched	chr2	219743150	219763441	3	16754	82298.2669	4052.1127	106	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	3.3498	106	1
1_MACS_peak_17771_lociStitched	chr22	29185817	29199729	1	13913	90226.276	2957.6912	107	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	5.4522	107	1
4_MACS_peak_15828_lociStitched	chr2	197023889	197048603	4	20844	62565.9624	5481.5652	108	STK17B		STK17B	STK17B	0.7247	108	1
2_MACS_peak_4020_lociStitched	chr10	112112609	112122389	2	7846	100204.902	2722.752	109		SMNDC1	SMNDC1	SMNDC1	0.19539999999999996	109	1
2_MACS_peak_28693_lociStitched	chr9	112903758	112925357	2	21003	57362.6242	4769.0592	110	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.5203	110	1
5_MACS_peak_28894_lociStitched	chr9	130531980	130566894	5	18851	71119.818	6012.1908	111	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	CDK9	0.9963000000000001	111	1
6_MACS_peak_9623_lociStitched	chr15	89646485	89676872	6	17742	76286.5635	6262.7607	112	ABHD2		ABHD2	ABHD2	0.5898	112	1
4_MACS_peak_19690_lociStitched	chr3	156804504	156824715	4	13353	90977.7954	6275.5155	113	LOC100498859,LOC339894		LOC100498859	LOC100498859	3.9566999999999997	113	1
3_MACS_peak_6930_lociStitched	chr12	108952732	108970792	3	16660	77708.568	4431.924	114	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.2315000000000005	114	1
4_MACS_peak_19085_lociStitched	chr3	98472819	98495772	4	18667	65475.7278	4395.4995	115	ST3GAL6		ST3GAL6	ST3GAL6	1.1366	115	1
3_MACS_peak_16824_lociStitched	chr20	37486869	37505830	3	11209	90421.2168	3657.5769	116	PPP1R16B	FAM83D	FAM83D	FAM83D	0.016399999999999984	116	1
2_MACS_peak_654_lociStitched	chr1	40838993	40858620	2	16205	73783.7811	3766.4213	117	SMAP2	SMAP2	SMAP2	SMAP2	1.1535	117	1
5_MACS_peak_12033_lociStitched	chr17	73850274	73875770	5	15299	77609.824	4624.9744	118	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	WBP2	0.7615000000000001	118	1
1_MACS_peak_22276_lociStitched	chr5	88170918	88187016	1	16099	72321.8748	3444.972	119	MEF2C		MEF2C	MEF2C	0.8049000000000001	119	1
3_MACS_peak_14460_lociStitched	chr2	47526767	47550725	3	12607	84339.3474	4468.167	120		EPCAM	EPCAM	NONE	NONE	120	1
3_MACS_peak_16445_lociStitched	chr20	5570609	5592550	3	20507	46639.9837	4181.9546	121	GPCPD1		GPCPD1	GPCPD1	0.5331	121	1
3_MACS_peak_5409_lociStitched	chr11	111230635	111251439	3	16776	68619.9136	4362.5988	122	POU2AF1		POU2AF1	POU2AF1	1.7217	122	1
4_MACS_peak_19476_lociStitched	chr3	133179348	133200564	4	15990	72374.1408	4788.4512	123	BFSP2		BFSP2	BFSP2	0.8729	123	1
4_MACS_peak_14635_lociStitched	chr2	65157267	65178607	4	14033	78059.586	4805.768	124	LOC400958	SLC1A4	LOC400958	LOC400958	1.2865	124	1
6_MACS_peak_14622_lociStitched	chr2	64862698	64895915	6	17469	64666.8556	5533.9522	125	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.5844	125	1
5_MACS_peak_14908_lociStitched	chr2	88898891	88928557	5	19387	53022.0418	5577.208	126	EIF2AK3		EIF2AK3	EIF2AK3	0.5764	126	1
1_MACS_peak_25793_lociStitched	chr7	78113704	78128307	1	14604	74221.2078	3170.3113	127	MAGI2		RPL13AP17	RPL13AP17	NONE	127	1
1_MACS_peak_14386_lociStitched	chr2	43444217	43457152	1	12936	79473.9335	3063.008	128	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	5.366	128	1
2_MACS_peak_21815_lociStitched	chr5	32570789	32593435	2	16677	66595.0922	3951.727	129	SUB1		SUB1	SUB1	1.7136	129	1
2_MACS_peak_23690_lociStitched	chr6	31694442	31709206	2	12810	79973.6352	3468.0636	130	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	4.7859	130	1
3_MACS_peak_12302_lociStitched	chr18	9055127	9074456	3	13128	79250.8329	4250.4471	131		NDUFV2	NDUFV2	NDUFV2	3.189	131	1
3_MACS_peak_18949_lociStitched	chr3	69128363	69155236	3	19983	45340.1256	4361.4879	132	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.2975999999999999	132	1
8_MACS_peak_27659_lociStitched	chr8	126285135	126322696	8	19665	50459.4474	7008.8826	133	NSMCE2		TRIB1	TRIB1	1.8261	133	1
4_MACS_peak_23545_lociStitched	chr6	26183521	26207422	4	14500	74551.9992	4624.8435	134	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	3.4703999999999997	134	1
3_MACS_peak_20038_lociStitched	chr3	186703181	186720470	3	13033	79908.0291	5207.4468	135	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.0233999999999999	135	1
2_MACS_peak_20043_lociStitched	chr3	186779570	186792390	2	10672	84745.328	4045.992	136	ST6GAL1		ST6GAL1	ST6GAL1	1.0233999999999999	136	1
8_MACS_peak_18664_lociStitched	chr3	46317961	46347319	8	19697	47090.232	5736.5532	137		CCR3,CCR2	CCR3	CCR2	1.455	137	1
3_MACS_peak_19429_lociStitched	chr3	129026059	129048540	3	14918	71116.3954	4689.5366	138	C3orf47,H1FX	C3orf37	H1FX	H1FX	4.8123000000000005	138	1
2_MACS_peak_15906_lociStitched	chr2	202115968	202129085	2	13030	75560.4785	2624.7117	139	CASP8		CASP8	CASP8	1.3609	139	1
5_MACS_peak_10134_lociStitched	chr16	22194947	22219241	5	17477	59374.536	5036.1462	140	EEF2K		EEF2K	EEF2K	0.0863	140	1
2_MACS_peak_25489_lociStitched	chr7	44661725	44680231	2	15356	68446.2916	4213.8162	141	OGDH	DDX56,TMED4	OGDH	TMED4	0.6902	141	1
3_MACS_peak_17686_lociStitched	chr22	23189825	23210344	3	17731	53103.172	2232.4672	143		MIR650,IGLL5	IGLL5	IGLL5	7.829400000000001	143	1
1_MACS_peak_12726_lociStitched	chr18	60821971	60831097	1	9127	83547.6174	2528.8146	144	BCL2		BCL2	BCL2	0.6466000000000001	144	1
2_MACS_peak_6025_lociStitched	chr12	26265739	26280345	2	14406	69071.774	3474.7674	146	BHLHE41		BHLHE41	BHLHE41	3.7384999999999997	146	1
4_MACS_peak_8434_lociStitched	chr14	81930655	81955940	4	18369	47953.0025	2677.6815	147	SEL1L		SEL1L	SEL1L	0.7989	147	1
3_MACS_peak_20745_lociStitched	chr4	77117594	77136602	3	15255	65938.752	4301.5104	148	SCARB2	FAM47E,NUP54	SCARB2	SCARB2	0.9122999999999999	148	1
2_MACS_peak_25287_lociStitched	chr7	26002286	26011667	2	8876	82772.3154	2571.3321	149		MIR148A	MIR148A	MIR148A	2.68	149	1
4_MACS_peak_6245_lociStitched	chr12	48196135	48218667	4	15312	64774.9936	4461.336	150	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.2854	150	1
1_MACS_peak_17961_lociStitched	chr22	38782006	38797092	1	15087	63830.3746	2612.8952	151	LOC400927	KCNJ4	LOC400927	LOC400927	1.0730000000000002	151	1
3_MACS_peak_23179_lociStitched	chr5	180228390	180249556	3	15260	64380.6222	4097.7376	152	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	1.2289	152	1
4_MACS_peak_18006_lociStitched	chr22	39822794	39845944	4	14311	67364.185	4125.33	153	TAB1	MGAT3	MGAT3	MGAT3	0.46440000000000003	153	1
1_MACS_peak_25583_lociStitched	chr7	55597567	55606054	1	8488	81385.2378	2075.0715	154	VOPP1		VOPP1	VOPP1	1.8579	154	1
3_MACS_peak_21983_lociStitched	chr5	55436981	55453725	3	15551	60397.2824	3628.4248	156	ANKRD55		ANKRD55	ANKRD55	0.39880000000000004	156	1
1_MACS_peak_2666_lociStitched	chr1	226839962	226852493	1	12532	72340.2099	4051.2723	157	ITPKB		ITPKB	ITPKB	0.7799	157	1
3_MACS_peak_231_lociStitched	chr1	17221329	17233574	3	9180	81647.211	4817.183	158		CROCC	CROCC	NONE	NONE	158	1
5_MACS_peak_23521_lociStitched	chr6	25365920	25390337	5	17481	49893.6978	4534.2369	159	LRRC16A		LRRC16A	LRRC16A	0.41669999999999996	159	1
1_MACS_peak_7844_lociStitched	chr13	114556363	114568197	1	11835	72931.7586	3023.587	160	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.373	160	1
