#11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_ROSE/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam
#Using cutoff of 24861.666 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
1_MACS_peak_2991_lociStitched	chr10	11202245	11224476	1	22232	207030.6337	5882.3226	12	1
3_MACS_peak_16664_lociStitched	chr20	30261853	30312155	3	50043	203924.308	11307.8896	13	1
3_MACS_peak_4898_lociStitched	chr11	65183309	65214535	3	25096	186322.4194	7725.3124	14	1
4_MACS_peak_12306_lociStitched	chr18	9095119	9157724	4	49299	183451.4315	11744.698	15	1
4_MACS_peak_17689_lociStitched	chr22	23221441	23249227	4	27179	157349.3394	5034.8232	16	1
2_MACS_peak_6342_lociStitched	chr12	53573162	53604053	2	26124	156311.5491	7296.4542	17	1
2_MACS_peak_17693_lociStitched	chr22	23268627	23286314	2	17643	151895.956	4611.0009	18	1
4_MACS_peak_21640_lociStitched	chr5	1311690	1346142	4	28009	152570.682	7837.83	19	1
5_MACS_peak_6933_lociStitched	chr12	109009280	109036291	5	25641	149959.6698	6069.3717	20	1
2_MACS_peak_12903_lociStitched	chr19	2081349	2098455	2	15679	149860.5342	6031.5756	21	1
7_MACS_peak_16641_lociStitched	chr20	25261475	25303001	7	28800	149298.4278	7453.917	22	1
6_MACS_peak_11314_lociStitched	chr17	32690378	32726892	6	25630	147593.2394	8277.7238	23	1
2_MACS_peak_20895_lociStitched	chr4	90204562	90230288	2	24968	142149.013	5739.4706	24	1
5_MACS_peak_11362_lociStitched	chr17	34597814	34641453	5	36788	147578.3702	11324.3205	25	1
4_MACS_peak_11358_lociStitched	chr17	34509682	34540274	4	27237	143029.8368	9263.2576	26	1
1_MACS_peak_5904_lociStitched	chr12	12866102	12881965	1	15864	135508.0912	3930.8514	27	1
4_MACS_peak_11079_lociStitched	chr17	16863949	16895410	4	21876	136490.4024	6373.9986	28	1
5_MACS_peak_17521_lociStitched	chr21	45552528	45580728	5	19622	137384.76	7509.66	29	1
2_MACS_peak_8658_lociStitched	chr14	106024605	106052781	2	26497	133266.8448	5435.1504	30	1
3_MACS_peak_26608_lociStitched	chr8	2027144	2050934	3	19382	131085.279	4855.539	31	1
6_MACS_peak_22610_lociStitched	chr5	131789749	131837841	6	33224	135600.2032	10012.7544	32	1
2_MACS_peak_26515_lociStitched	chr7	150062710	150084687	2	21720	129930.2217	6428.2725	33	1
3_MACS_peak_22607_lociStitched	chr5	131744764	131774503	3	23437	130316.298	6914.3175	34	1
6_MACS_peak_23990_lociStitched	chr6	52392742	52442993	6	40828	133612.3839	10326.5805	35	1
4_MACS_peak_26014_lociStitched	chr7	102063503	102093217	4	21197	128495.2216	5850.6866	36	1
1_MACS_peak_15894_lociStitched	chr2	201979893	201995100	1	15208	124577.2647	4028.3343	37	1
4_MACS_peak_1588_lociStitched	chr1	149802759	149834123	4	17973	127664.0256	8747.4196	38	1
3_MACS_peak_11793_lociStitched	chr17	56405111	56430980	3	20563	124590.2778	6097.3233	39	1
4_MACS_peak_18253_lociStitched	chr3	5221989	5257148	4	32658	125728.584	7337.6833	40	1
3_MACS_peak_12928_lociStitched	chr19	2606906	2629085	3	13137	124373.1783	6303.2718	41	1
4_MACS_peak_13272_lociStitched	chr19	16693785	16717316	4	15952	122707.1057	4830.9143	42	1
3_MACS_peak_1772_lociStitched	chr1	156115361	156137266	3	21422	124295.5415	7401.6995	43	1
1_MACS_peak_24364_lociStitched	chr6	106530330	106555910	1	25581	121256.874	6238.962	44	1
7_MACS_peak_5805_lociStitched	chr12	7045189	7085767	7	30671	123300.3108	8383.4148	45	1
2_MACS_peak_11874_lociStitched	chr17	62149957	62187401	2	37302	120876.7208	8559.6984	46	1
4_MACS_peak_18323_lociStitched	chr3	13035447	13061632	4	18702	117211.9155	5462.191	47	1
1_MACS_peak_14066_lociStitched	chr2	11883543	11898291	1	14749	113502.0828	3453.9816	48	1
2_MACS_peak_2767_lociStitched	chr1	234733894	234749938	2	12181	114254.1372	4761.8592	49	1
4_MACS_peak_12122_lociStitched	chr17	76710967	76746821	4	27051	116270.9366	7034.5548	50	1
1_MACS_peak_476_lociStitched	chr1	31213477	31233349	1	19873	113580.4032	4962.0384	51	1
2_MACS_peak_2363_lociStitched	chr1	204474544	204492317	2	14447	112682.5973	5474.084	52	1
8_MACS_peak_19955_lociStitched	chr3	183219709	183261099	8	29415	118863.802	11953.432	53	1
3_MACS_peak_13546_lociStitched	chr19	39880622	39904107	3	17952	108850.6265	4852.001	54	1
3_MACS_peak_1784_lociStitched	chr1	156449649	156476186	3	24817	111755.2681	7947.8315	55	1
1_MACS_peak_20509_lociStitched	chr4	40190878	40209855	1	18978	108092.992	4501.3444	56	1
1_MACS_peak_23526_lociStitched	chr6	25402971	25415289	1	12319	105652.7178	3569.7564	57	1
1_MACS_peak_5643_lociStitched	chr11	128584853	128610119	1	25267	106263.7428	5467.5624	58	1
2_MACS_peak_14121_lociStitched	chr2	20397327	20426502	2	22918	106456.6575	5878.7625	59	1
2_MACS_peak_1615_lociStitched	chr1	150532219	150552945	2	20164	107356.5348	7191.922	60	1
2_MACS_peak_4905_lociStitched	chr11	65254260	65279032	2	18358	105325.5896	5615.8124	61	1
6_MACS_peak_16709_lociStitched	chr20	32398815	32452376	6	39509	108311.0542	10685.4195	62	1
2_MACS_peak_4020_lociStitched	chr10	112112609	112122389	2	7846	100204.902	2722.752	63	1
2_MACS_peak_17712_lociStitched	chr22	24176632	24191901	2	13313	100673.0977	3511.87	64	1
2_MACS_peak_10492_lociStitched	chr16	66549281	66560454	2	10441	98416.2532	2798.8365	65	1
2_MACS_peak_4514_lociStitched	chr11	22676851	22703824	2	22781	99654.4458	4442.4531	66	1
4_MACS_peak_19817_lociStitched	chr3	171801682	171826959	4	20848	100506.4074	7168.5572	67	1
5_MACS_peak_8798_lociStitched	chr15	31616817	31660648	5	35377	101293.441	7964.0927	68	1
2_MACS_peak_11450_lociStitched	chr17	38465576	38484050	2	17994	94538.8476	3942.3516	69	1
4_MACS_peak_8665_lociStitched	chr14	106145177	106173012	4	22568	93149.8275	3381.9525	70	1
5_MACS_peak_24259_lociStitched	chr6	90053791	90086350	5	23836	94896.4614	6163.4187	71	1
7_MACS_peak_10550_lociStitched	chr16	68269861	68320882	7	34281	97404.1911	9714.3984	72	1
5_MACS_peak_14959_lociStitched	chr2	97190710	97220693	5	23216	93585.9379	5999.5983	73	1
1_MACS_peak_17771_lociStitched	chr22	29185817	29199729	1	13913	90226.276	2957.6912	74	1
3_MACS_peak_16824_lociStitched	chr20	37486869	37505830	3	11209	90421.2168	3657.5769	75	1
1_MACS_peak_7851_lociStitched	chr13	114828897	114835209	1	6313	87669.2616	1554.0144	76	1
3_MACS_peak_4375_lociStitched	chr11	10323590	10345082	3	18728	90216.9684	4504.7232	77	1
1_MACS_peak_17470_lociStitched	chr21	43480419	43486544	1	6126	88481.1375	2769.1125	78	1
3_MACS_peak_2996_lociStitched	chr10	11278740	11313223	3	27507	92545.4754	7024.1871	79	1
4_MACS_peak_19690_lociStitched	chr3	156804504	156824715	4	13353	90977.7954	6275.5155	80	1
4_MACS_peak_12575_lociStitched	chr18	46440229	46480190	4	36719	92210.0075	7564.6173	81	1
3_MACS_peak_12080_lociStitched	chr17	75131311	75147070	3	15087	87891.0948	3411.8235	82	1
3_MACS_peak_1700_lociStitched	chr1	154370294	154394479	3	19551	90805.001	7267.5925	83	1
6_MACS_peak_27592_lociStitched	chr8	120912516	120947926	6	32732	89821.006	7142.197	84	1
1_MACS_peak_25584_lociStitched	chr7	55616232	55642898	1	26667	87363.1492	5538.5282	85	1
3_MACS_peak_10427_lociStitched	chr16	56963209	56986013	3	21348	86798.8652	5701	86	1
2_MACS_peak_5751_lociStitched	chr12	4216358	4230088	2	7253	84160.781	3138.678	87	1
1_MACS_peak_12726_lociStitched	chr18	60821971	60831097	1	9127	83547.6174	2528.8146	88	1
1_MACS_peak_22275_lociStitched	chr5	88111219	88131044	1	19826	85178.1125	4305.99	89	1
2_MACS_peak_20043_lociStitched	chr3	186779570	186792390	2	10672	84745.328	4045.992	90	1
4_MACS_peak_4145_lociStitched	chr10	125822086	125854780	4	28733	86792.7618	6100.7004	91	1
2_MACS_peak_25287_lociStitched	chr7	26002286	26011667	2	8876	82772.3154	2571.3321	92	1
3_MACS_peak_14460_lociStitched	chr2	47526767	47550725	3	12607	84339.3474	4468.167	93	1
3_MACS_peak_2406_lociStitched	chr1	206727857	206754715	3	22741	87250.8988	7525.6116	94	1
1_MACS_peak_25583_lociStitched	chr7	55597567	55606054	1	8488	81385.2378	2075.0715	95	1
3_MACS_peak_8904_lociStitched	chr15	40387228	40409026	3	18154	83863.4454	4874.0328	96	1
3_MACS_peak_16084_lociStitched	chr2	219743150	219763441	3	16754	82298.2669	4052.1127	97	1
1_MACS_peak_23725_lociStitched	chr6	32934684	32942170	1	7487	79595.6436	1952.3488	98	1
4_MACS_peak_11353_lociStitched	chr17	34408906	34432811	4	20408	83273.0675	5952.345	99	1
3_MACS_peak_7149_lociStitched	chr12	123354925	123387354	3	25084	81030.3423	3959.5809	100	1
3_MACS_peak_231_lociStitched	chr1	17221329	17233574	3	9180	81647.211	4817.183	101	1
2_MACS_peak_23690_lociStitched	chr6	31694442	31709206	2	12810	79973.6352	3468.0636	102	1
1_MACS_peak_14386_lociStitched	chr2	43444217	43457152	1	12936	79473.9335	3063.008	103	1
2_MACS_peak_9310_lociStitched	chr15	68568623	68599495	2	29140	82184.3512	6180.5744	104	1
5_MACS_peak_9393_lociStitched	chr15	75063274	75093077	5	23834	81356.2294	5880.1319	105	1
1_MACS_peak_6358_lociStitched	chr12	53845116	53876431	1	31316	81807.306	6466.5475	106	1
3_MACS_peak_12302_lociStitched	chr18	9055127	9074456	3	13128	79250.8329	4250.4471	107	1
3_MACS_peak_20038_lociStitched	chr3	186703181	186720470	3	13033	79908.0291	5207.4468	108	1
2_MACS_peak_8796_lociStitched	chr15	31546648	31560846	2	10026	77120.6964	3088.065	109	1
5_MACS_peak_27297_lociStitched	chr8	81046218	81084520	5	26921	80043.5196	6545.8118	110	1
3_MACS_peak_6930_lociStitched	chr12	108952732	108970792	3	16660	77708.568	4431.924	111	1
4_MACS_peak_14635_lociStitched	chr2	65157267	65178607	4	14033	78059.586	4805.768	112	1
5_MACS_peak_12033_lociStitched	chr17	73850274	73875770	5	15299	77609.824	4624.9744	113	1
2_MACS_peak_15906_lociStitched	chr2	202115968	202129085	2	13030	75560.4785	2624.7117	114	1
3_MACS_peak_13461_lociStitched	chr19	35695282	35708233	3	9282	75694.7097	3189.8313	115	1
5_MACS_peak_2398_lociStitched	chr1	206272188	206307686	5	19712	80970.938	8565.6674	116	1
2_MACS_peak_13252_lociStitched	chr19	16243672	16273301	2	24573	78504.9984	6136.1659	117	1
2_MACS_peak_21521_lociStitched	chr4	185200921	185210837	2	9004	74613.9336	2489.9076	118	1
5_MACS_peak_12126_lociStitched	chr17	76753831	76779876	5	20042	76658.2485	4734.981	119	1
3_MACS_peak_26044_lociStitched	chr7	104576303	104586737	3	9182	74033.4036	2402.9502	120	1
2_MACS_peak_17109_lociStitched	chr20	56047512	56058450	2	10293	73648.8354	2419.4856	121	1
1_MACS_peak_25793_lociStitched	chr7	78113704	78128307	1	14604	74221.2078	3170.3113	122	1
4_MACS_peak_17923_lociStitched	chr22	37610893	37642397	4	29175	76781.5488	6351.2064	123	1
2_MACS_peak_15152_lociStitched	chr2	112455819	112465782	2	9444	72749.826	2634.2172	124	1
6_MACS_peak_9623_lociStitched	chr15	89646485	89676872	6	17742	76286.5635	6262.7607	125	1
2_MACS_peak_654_lociStitched	chr1	40838993	40858620	2	16205	73783.7811	3766.4213	126	1
4_MACS_peak_23545_lociStitched	chr6	26183521	26207422	4	14500	74551.9992	4624.8435	127	1
1_MACS_peak_7844_lociStitched	chr13	114556363	114568197	1	11835	72931.7586	3023.587	128	1
1_MACS_peak_26050_lociStitched	chr7	104650868	104658768	1	7901	71370.97	1963.94	129	1
2_MACS_peak_17047_lociStitched	chr20	52194862	52215901	2	20190	72651.8748	3664.9938	130	1
1_MACS_peak_22276_lociStitched	chr5	88170918	88187016	1	16099	72321.8748	3444.972	131	1
1_MACS_peak_11402_lociStitched	chr17	36856065	36863692	1	7628	70348.3972	1598.6192	132	1
2_MACS_peak_5456_lociStitched	chr11	115090772	115102424	2	9538	71272.9536	2692.7772	133	1
1_MACS_peak_2666_lociStitched	chr1	226839962	226852493	1	12532	72340.2099	4051.2723	134	1
4_MACS_peak_19476_lociStitched	chr3	133179348	133200564	4	15990	72374.1408	4788.4512	135	1
1_MACS_peak_23362_lociStitched	chr6	11827794	11836769	1	8976	69791.395	2372.0925	136	1
2_MACS_peak_21683_lociStitched	chr5	6475552	6487419	2	11463	69828.9881	2494.4434	137	1
1_MACS_peak_15713_lociStitched	chr2	182168337	182180041	1	11705	69252.568	2470.7144	138	1
3_MACS_peak_19429_lociStitched	chr3	129026059	129048540	3	14918	71116.3954	4689.5366	139	1
1_MACS_peak_1592_lociStitched	chr1	149855387	149861340	1	5954	69027.4162	2618.7247	140	1
1_MACS_peak_11580_lociStitched	chr17	43298143	43308769	1	10627	68607.8316	2290.9656	141	1
3_MACS_peak_10013_lociStitched	chr16	12052554	12071601	3	12660	69334.8894	3599.883	142	1
2_MACS_peak_6025_lociStitched	chr12	26265739	26280345	2	14406	69071.774	3474.7674	143	1
1_MACS_peak_9652_lociStitched	chr15	90637400	90646519	1	9120	68003.1187	2564.2628	144	1
4_MACS_peak_13607_lociStitched	chr19	42037698	42070615	4	21590	71755.7683	6431.9818	145	1
1_MACS_peak_17449_lociStitched	chr21	41324759	41345240	1	20482	71505.3153	6277.4265	146	1
5_MACS_peak_28894_lociStitched	chr9	130531980	130566894	5	18851	71119.818	6012.1908	147	1
2_MACS_peak_1866_lociStitched	chr1	161144163	161157860	2	11098	69126.0196	4083.0757	148	1
1_MACS_peak_16219_lociStitched	chr2	232687022	232715087	1	28066	68346.6945	3903.8415	149	1
3_MACS_peak_5409_lociStitched	chr11	111230635	111251439	3	16776	68619.9136	4362.5988	150	1
2_MACS_peak_25489_lociStitched	chr7	44661725	44680231	2	15356	68446.2916	4213.8162	151	1
2_MACS_peak_4490_lociStitched	chr11	19450527	19465893	2	12970	67521.2772	3418.935	152	1
3_MACS_peak_19875_lociStitched	chr3	177062632	177079917	3	10663	68153.0265	4341.992	153	1
2_MACS_peak_14709_lociStitched	chr2	70310065	70323258	2	9013	66549.4499	2845.7301	154	1
4_MACS_peak_18006_lociStitched	chr22	39822794	39845944	4	14311	67364.185	4125.33	155	1
1_MACS_peak_16883_lociStitched	chr20	42695404	42700334	1	4931	64300.511	1068.331	156	1
2_MACS_peak_21815_lociStitched	chr5	32570789	32593435	2	16677	66595.0922	3951.727	157	1
2_MACS_peak_9149_lociStitched	chr15	56648168	56667006	2	12515	65710.7116	3247.6712	158	1
2_MACS_peak_26517_lociStitched	chr7	150100714	150113972	2	7447	65902.8664	3457.6864	159	1
3_MACS_peak_5058_lociStitched	chr11	71413715	71426934	3	11492	65722.2242	3344.407	160	1
1_MACS_peak_4734_lociStitched	chr11	58339861	58348075	1	8215	64126.698	1826.7936	161	1
2_MACS_peak_16715_lociStitched	chr20	32461806	32473742	2	8611	64559.4368	2640.2432	162	1
1_MACS_peak_26325_lociStitched	chr7	129587941	129593320	1	5380	63750.2943	1940.2053	163	1
1_MACS_peak_294_lociStitched	chr1	23849572	23858918	1	9347	63925.7054	2155.1876	164	1
3_MACS_peak_20745_lociStitched	chr4	77117594	77136602	3	15255	65938.752	4301.5104	165	1
2_MACS_peak_18662_lociStitched	chr3	46245542	46257154	2	9639	64558.0752	3026.0872	166	1
5_MACS_peak_26844_lociStitched	chr8	27207257	27241972	5	24312	68076.115	6727.767	167	1
1_MACS_peak_17961_lociStitched	chr22	38782006	38797092	1	15087	63830.3746	2612.8952	168	1
4_MACS_peak_19085_lociStitched	chr3	98472819	98495772	4	18667	65475.7278	4395.4995	169	1
1_MACS_peak_3217_lociStitched	chr10	30989190	30996931	1	7742	62844.5344	1866.3551	170	1
1_MACS_peak_21529_lociStitched	chr4	185302120	185308438	1	6319	62347.9194	1584.5544	171	1
1_MACS_peak_16896_lociStitched	chr20	43270348	43282283	1	11936	62927.2875	2505.1565	172	1
1_MACS_peak_22306_lociStitched	chr5	90674317	90681104	1	6788	61955.8082	1598.3385	173	1
1_MACS_peak_11427_lociStitched	chr17	37909345	37916625	1	7281	62040.888	1712.984	174	1
4_MACS_peak_6245_lociStitched	chr12	48196135	48218667	4	15312	64774.9936	4461.336	175	1
3_MACS_peak_23179_lociStitched	chr5	180228390	180249556	3	15260	64380.6222	4097.7376	176	1
3_MACS_peak_10153_lociStitched	chr16	23343528	23362863	3	10605	63869.3055	3851.532	177	1
5_MACS_peak_21530_lociStitched	chr4	185317572	185350401	5	20751	66045.3822	6129.1743	178	1
3_MACS_peak_9249_lociStitched	chr15	65169409	65189520	3	10521	63444.1717	3648.1354	179	1
2_MACS_peak_17159_lociStitched	chr20	61273032	61291150	2	13692	62695.5272	2987.6582	180	1
6_MACS_peak_10524_lociStitched	chr16	67562639	67601619	6	21561	65860.608	6197.82	181	1
6_MACS_peak_14622_lociStitched	chr2	64862698	64895915	6	17469	64666.8556	5533.9522	182	1
2_MACS_peak_28478_lociStitched	chr9	94180338	94195996	2	14342	62466.0252	3347.6804	183	1
1_MACS_peak_6764_lociStitched	chr12	94596033	94603706	1	7674	60668.8764	1777.8341	184	1
2_MACS_peak_5613_lociStitched	chr11	126056805	126069189	2	7839	61538.5728	2658.8448	185	1
2_MACS_peak_17698_lociStitched	chr22	23477644	23488872	2	10348	61612.5272	2755.3512	186	1
2_MACS_peak_4027_lociStitched	chr10	112216320	112226016	2	8787	60993.6576	2248.5024	187	1
3_MACS_peak_26930_lociStitched	chr8	33410043	33425478	3	11083	60887.988	2642.472	188	1
2_MACS_peak_1697_lociStitched	chr1	154296720	154308021	2	8080	60829.8927	3002.6757	189	1
9_MACS_peak_24716_lociStitched	chr6	138246682	138297584	9	23223	67114.287	9299.7954	190	1
3_MACS_peak_23600_lociStitched	chr6	27790881	27808105	3	10524	60707.7104	2903.9664	191	1
5_MACS_peak_22267_lociStitched	chr5	87954416	87976686	5	11049	61921.735	4220.165	192	1
2_MACS_peak_26900_lociStitched	chr8	29622108	29634317	2	6216	60296.5883	2743.3623	193	1
2_MACS_peak_19866_lociStitched	chr3	176908465	176921066	2	11779	60980.0193	3457.7144	194	1
2_MACS_peak_6692_lociStitched	chr12	89737990	89749594	2	10998	60237.5244	2885.9148	195	1
4_MACS_peak_320_lociStitched	chr1	24512344	24533749	4	13429	61562.9205	4364.4795	196	1
2_MACS_peak_3946_lociStitched	chr10	104531306	104543346	2	11308	60109.7	2919.7	197	1
2_MACS_peak_29494_lociStitched	chrX	48790298	48805920	2	13532	59174.5738	2079.2882	198	1
4_MACS_peak_15828_lociStitched	chr2	197023889	197048603	4	20844	62565.9624	5481.5652	199	1
2_MACS_peak_17772_lociStitched	chr22	29206905	29221456	2	11601	60111.6361	3153.2017	200	1
3_MACS_peak_21983_lociStitched	chr5	55436981	55453725	3	15551	60397.2824	3628.4248	201	1
2_MACS_peak_1574_lociStitched	chr1	149213956	149225588	2	6326	60562.008	4173.5616	202	1
1_MACS_peak_4233_lociStitched	chr11	267156	271073	1	3918	57317.0693	1011.3694	203	1
1_MACS_peak_5756_lociStitched	chr12	4377742	4390544	1	12803	58402.724	2664.0962	204	1
1_MACS_peak_2381_lociStitched	chr1	205252178	205258645	1	6468	58022.5707	2716.14	205	1
4_MACS_peak_14914_lociStitched	chr2	89043107	89066593	4	10141	59417.2314	4382.4876	206	1
3_MACS_peak_2080_lociStitched	chr1	179048936	179061407	3	9852	58109.8716	3173.8695	207	1
1_MACS_peak_3444_lociStitched	chr10	63802966	63814767	1	11802	57206.5276	2423.9254	208	1
1_MACS_peak_390_lociStitched	chr1	27018318	27030805	1	12488	57462.6766	2765.8705	209	1
1_MACS_peak_1510_lociStitched	chr1	145448718	145457936	1	9219	57825.4358	3218.0038	210	1
1_MACS_peak_21268_lociStitched	chr4	144272381	144282627	1	10247	56575.3382	2129.1188	211	1
3_MACS_peak_1759_lociStitched	chr1	155937914	155954251	3	15528	58667.8007	4283.5614	212	1
3_MACS_peak_4977_lociStitched	chr11	67034019	67057860	3	13621	57919.3254	3573.7659	213	1
5_MACS_peak_10134_lociStitched	chr16	22194947	22219241	5	17477	59374.536	5036.1462	214	1
2_MACS_peak_23937_lociStitched	chr6	45386541	45402613	2	11824	57116.6736	2875.2808	215	1
1_MACS_peak_17732_lociStitched	chr22	24822652	24832535	1	9884	56029.6919	2048.7459	216	1
1_MACS_peak_22701_lociStitched	chr5	138719922	138730560	1	10639	56328.21	2494.611	217	1
3_MACS_peak_6548_lociStitched	chr12	68752121	68770340	3	9645	57459.0822	3663.8409	218	1
1_MACS_peak_6857_lociStitched	chr12	102870858	102879425	1	8568	55533.8641	1824.771	219	1
4_MACS_peak_14449_lociStitched	chr2	47193751	47215125	4	14456	57237.4346	3699.8394	220	1
2_MACS_peak_14311_lociStitched	chr2	37598510	37606577	2	7159	55149.2388	1771.5132	221	1
1_MACS_peak_17492_lociStitched	chr21	44580957	44587434	1	6478	55839.5124	2504.6559	222	1
2_MACS_peak_3288_lociStitched	chr10	43890308	43906015	2	12953	56099.1212	2857.1033	223	1
2_MACS_peak_10966_lociStitched	chr17	6915080	6926253	2	7035	55357.7458	2265.8844	224	1
3_MACS_peak_14370_lociStitched	chr2	42323549	42334583	3	10030	55342.1304	2394.378	225	1
2_MACS_peak_23561_lociStitched	chr6	26355453	26367611	2	10746	55417.3798	2600.5962	226	1
3_MACS_peak_14171_lociStitched	chr2	25624072	25645807	3	10915	56908.7505	4149.2115	227	1
2_MACS_peak_28693_lociStitched	chr9	112903758	112925357	2	21003	57362.6242	4769.0592	228	1
1_MACS_peak_29273_lociStitched	chrX	19470044	19470598	1	555	52617.3688	26.5366	229	1
2_MACS_peak_10425_lociStitched	chr16	56943772	56952834	2	7906	54819.6628	2392.368	230	1
4_MACS_peak_12909_lociStitched	chr19	2254572	2274242	4	14595	56989.891	5074.86	231	1
2_MACS_peak_10955_lociStitched	chr17	6063555	6071133	2	6859	53718.1686	1805.0796	232	1
2_MACS_peak_12161_lociStitched	chr17	78873572	78887043	2	7976	54439.0052	2597.2088	233	1
1_MACS_peak_14855_lociStitched	chr2	86220089	86228815	1	8727	53696.3136	2005.2348	234	1
1_MACS_peak_15636_lociStitched	chr2	175457121	175464461	1	7341	53394.096	1840.138	235	1
5_MACS_peak_23087_lociStitched	chr5	173310181	173344116	5	29227	57475.7095	6104.9065	236	1
1_MACS_peak_2453_lociStitched	chr1	209275728	209284583	1	8856	54133.2715	2862.8215	237	1
3_MACS_peak_4029_lociStitched	chr10	112256046	112273321	3	11975	55169.44	3905.8775	238	1
1_MACS_peak_22602_lociStitched	chr5	131435455	131441454	1	6000	53280.7184	2048.0586	239	1
4_MACS_peak_5013_lociStitched	chr11	67760499	67781501	4	15015	55327.6688	4257.1054	240	1
2_MACS_peak_28963_lociStitched	chr9	132645916	132657874	2	8663	53498.8962	2476.5018	241	1
2_MACS_peak_1712_lociStitched	chr1	154755767	154766038	2	7417	54278.1266	3276.449	242	1
4_MACS_peak_12866_lociStitched	chr19	1258121	1277461	4	10957	56018.31	5020.664	243	1
2_MACS_peak_11274_lociStitched	chr17	29635215	29650970	2	15423	54268.0975	3374.721	244	1
4_MACS_peak_5780_lociStitched	chr12	6551980	6572472	4	10310	54666.5084	3793.0692	245	1
3_MACS_peak_17686_lociStitched	chr22	23189825	23210344	3	17731	53103.172	2232.4672	246	1
1_MACS_peak_6424_lociStitched	chr12	57076510	57083762	1	7253	52239.0568	1637.5016	247	1
4_MACS_peak_23132_lociStitched	chr5	176717049	176740572	4	16006	54780.3624	4337.6412	248	1
3_MACS_peak_3669_lociStitched	chr10	81001246	81020504	3	15712	54093.7962	3660.9458	249	1
1_MACS_peak_22717_lociStitched	chr5	139046495	139052237	1	5743	51970.2678	1610.0568	250	1
1_MACS_peak_12078_lociStitched	chr17	75078776	75093084	1	14309	53561.998	3329.4716	251	1
1_MACS_peak_24368_lociStitched	chr6	106609819	106617435	1	7617	52268.608	2199.5008	252	1
1_MACS_peak_8671_lociStitched	chr14	106323793	106329585	1	5793	50821.904	891.968	253	1
5_MACS_peak_23584_lociStitched	chr6	27094322	27123511	5	14849	54974.5626	5134.3451	254	1
2_MACS_peak_2350_lociStitched	chr1	203722244	203736403	2	8046	53189.6994	3637.4471	255	1
1_MACS_peak_15465_lociStitched	chr2	158293486	158302351	1	8866	51562.386	2042.496	256	1
2_MACS_peak_26154_lociStitched	chr7	114561740	114574061	2	10532	52802.8776	3515.1813	257	1
2_MACS_peak_2972_lociStitched	chr10	6961842	6973060	2	6993	51444.6262	2214.4332	258	1
2_MACS_peak_21813_lociStitched	chr5	32530318	32543943	2	12532	51580.1625	3024.75	259	1
