REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_18323_lociStitched	chr3	13035447	13061632	4	18702	117211.9155	5462.191	47	IQSEC1	IQSEC1	IQSEC1	47	1
1_MACS_peak_14066_lociStitched	chr2	11883543	11898291	1	14749	113502.0828	3453.9816	48	LPIN1		LPIN1	48	1
2_MACS_peak_2767_lociStitched	chr1	234733894	234749938	2	12181	114254.1372	4761.8592	49	IRF2BP2	NCRNA00184	IRF2BP2	49	1
4_MACS_peak_12122_lociStitched	chr17	76710967	76746821	4	27051	116270.9366	7034.5548	50	CYTH1		CYTH1	50	1
1_MACS_peak_476_lociStitched	chr1	31213477	31233349	1	19873	113580.4032	4962.0384	51	LAPTM5	LOC100129196,MATN1	LAPTM5	51	1
2_MACS_peak_2363_lociStitched	chr1	204474544	204492317	2	14447	112682.5973	5474.084	52	MDM4	PIK3C2B	MDM4	52	1
8_MACS_peak_19955_lociStitched	chr3	183219709	183261099	8	29415	118863.802	11953.432	53	KLHL6		KLHL6	53	1
3_MACS_peak_13546_lociStitched	chr19	39880622	39904107	3	17952	108850.6265	4852.001	54	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	54	1
3_MACS_peak_1784_lociStitched	chr1	156449649	156476186	3	24817	111755.2681	7947.8315	55	MEF2D		MEF2D	55	1
1_MACS_peak_20509_lociStitched	chr4	40190878	40209855	1	18978	108092.992	4501.3444	56	RHOH		RHOH	56	1
1_MACS_peak_23526_lociStitched	chr6	25402971	25415289	1	12319	105652.7178	3569.7564	57	LRRC16A		LRRC16A	57	1
1_MACS_peak_5643_lociStitched	chr11	128584853	128610119	1	25267	106263.7428	5467.5624	58	FLI1		FLI1	58	1
2_MACS_peak_14121_lociStitched	chr2	20397327	20426502	2	22918	106456.6575	5878.7625	59	SDC1		SDC1	59	1
2_MACS_peak_1615_lociStitched	chr1	150532219	150552945	2	20164	107356.5348	7191.922	60	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	60	1
2_MACS_peak_4905_lociStitched	chr11	65254260	65279032	2	18358	105325.5896	5615.8124	61	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	61	1
6_MACS_peak_16709_lociStitched	chr20	32398815	32452376	6	39509	108311.0542	10685.4195	62	CHMP4B		CHMP4B	62	1
2_MACS_peak_4020_lociStitched	chr10	112112609	112122389	2	7846	100204.902	2722.752	63		SMNDC1	SMNDC1	63	1
2_MACS_peak_17712_lociStitched	chr22	24176632	24191901	2	13313	100673.0977	3511.87	64	SMARCB1,DERL3	SLC2A11,MIF	DERL3	64	1
2_MACS_peak_10492_lociStitched	chr16	66549281	66560454	2	10441	98416.2532	2798.8365	65	TK2	CKLF,CMTM1	TK2	65	1
2_MACS_peak_4514_lociStitched	chr11	22676851	22703824	2	22781	99654.4458	4442.4531	66	GAS2	FANCF	GAS2	66	1
4_MACS_peak_19817_lociStitched	chr3	171801682	171826959	4	20848	100506.4074	7168.5572	67	FNDC3B		FNDC3B	67	1
5_MACS_peak_8798_lociStitched	chr15	31616817	31660648	5	35377	101293.441	7964.0927	68	KLF13		KLF13	68	1
2_MACS_peak_11450_lociStitched	chr17	38465576	38484050	2	17994	94538.8476	3942.3516	69	RARA	CDC6,RARA,GJD3	RARA	69	1
4_MACS_peak_8665_lociStitched	chr14	106145177	106173012	4	22568	93149.8275	3381.9525	70			TMEM121	70	1
5_MACS_peak_24259_lociStitched	chr6	90053791	90086350	5	23836	94896.4614	6163.4187	71	UBE2J1,RRAGD	GABRR2	UBE2J1	71	1
7_MACS_peak_10550_lociStitched	chr16	68269861	68320882	7	34281	97404.1911	9714.3984	72	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	72	1
5_MACS_peak_14959_lociStitched	chr2	97190710	97220693	5	23216	93585.9379	5999.5983	73	ARID5A	NEURL3	ARID5A	73	1
1_MACS_peak_17771_lociStitched	chr22	29185817	29199729	1	13913	90226.276	2957.6912	74	XBP1	HSCB,CCDC117,CHEK2	XBP1	74	1
3_MACS_peak_16824_lociStitched	chr20	37486869	37505830	3	11209	90421.2168	3657.5769	75	PPP1R16B	FAM83D	FAM83D	75	1
1_MACS_peak_7851_lociStitched	chr13	114828897	114835209	1	6313	87669.2616	1554.0144	76	RASA3		RASA3	76	1
3_MACS_peak_4375_lociStitched	chr11	10323590	10345082	3	18728	90216.9684	4504.7232	77	ADM	SBF2	ADM	77	1
1_MACS_peak_17470_lociStitched	chr21	43480419	43486544	1	6126	88481.1375	2769.1125	78	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	78	1
3_MACS_peak_2996_lociStitched	chr10	11278740	11313223	3	27507	92545.4754	7024.1871	79	CELF2		CELF2	79	1
4_MACS_peak_19690_lociStitched	chr3	156804504	156824715	4	13353	90977.7954	6275.5155	80	LOC100498859,LOC339894		LOC100498859	80	1
4_MACS_peak_12575_lociStitched	chr18	46440229	46480190	4	36719	92210.0075	7564.6173	81	SMAD7		SMAD7	81	1
3_MACS_peak_12080_lociStitched	chr17	75131311	75147070	3	15087	87891.0948	3411.8235	82	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	82	1
3_MACS_peak_1700_lociStitched	chr1	154370294	154394479	3	19551	90805.001	7267.5925	83	IL6R		IL6R	83	1
6_MACS_peak_27592_lociStitched	chr8	120912516	120947926	6	32732	89821.006	7142.197	84	DEPDC6	DSCC1	DEPDC6	84	1
1_MACS_peak_25584_lociStitched	chr7	55616232	55642898	1	26667	87363.1492	5538.5282	85	VOPP1		VOPP1	85	1
3_MACS_peak_10427_lociStitched	chr16	56963209	56986013	3	21348	86798.8652	5701	86	HERPUD1	CETP,NLRC5	HERPUD1	86	1
2_MACS_peak_5751_lociStitched	chr12	4216358	4230088	2	7253	84160.781	3138.678	87			CCND2	87	1
1_MACS_peak_12726_lociStitched	chr18	60821971	60831097	1	9127	83547.6174	2528.8146	88	BCL2		BCL2	88	1
1_MACS_peak_22275_lociStitched	chr5	88111219	88131044	1	19826	85178.1125	4305.99	89	MEF2C		MEF2C	89	1
2_MACS_peak_20043_lociStitched	chr3	186779570	186792390	2	10672	84745.328	4045.992	90	ST6GAL1		ST6GAL1	90	1
4_MACS_peak_4145_lociStitched	chr10	125822086	125854780	4	28733	86792.7618	6100.7004	91	CHST15		CHST15	91	1
2_MACS_peak_25287_lociStitched	chr7	26002286	26011667	2	8876	82772.3154	2571.3321	92		MIR148A	MIR148A	92	1
3_MACS_peak_14460_lociStitched	chr2	47526767	47550725	3	12607	84339.3474	4468.167	93		EPCAM	EPCAM	93	1
3_MACS_peak_2406_lociStitched	chr1	206727857	206754715	3	22741	87250.8988	7525.6116	94	RASSF5	LGTN	RASSF5	94	1
1_MACS_peak_25583_lociStitched	chr7	55597567	55606054	1	8488	81385.2378	2075.0715	95	VOPP1		VOPP1	95	1
3_MACS_peak_8904_lociStitched	chr15	40387228	40409026	3	18154	83863.4454	4874.0328	96	BMF	BUB1B	BMF	96	1
3_MACS_peak_16084_lociStitched	chr2	219743150	219763441	3	16754	82298.2669	4052.1127	97	WNT10A	WNT6,PRKAG3	WNT10A	97	1
1_MACS_peak_23725_lociStitched	chr6	32934684	32942170	1	7487	79595.6436	1952.3488	98	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	98	1
4_MACS_peak_11353_lociStitched	chr17	34408906	34432811	4	20408	83273.0675	5952.345	99	CCL4,CCL3	CCL18	CCL3	99	1
3_MACS_peak_7149_lociStitched	chr12	123354925	123387354	3	25084	81030.3423	3959.5809	100	VPS37B	HIP1R	VPS37B	100	1
3_MACS_peak_231_lociStitched	chr1	17221329	17233574	3	9180	81647.211	4817.183	101		CROCC	CROCC	101	1
2_MACS_peak_23690_lociStitched	chr6	31694442	31709206	2	12810	79973.6352	3468.0636	102	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	102	1
1_MACS_peak_14386_lociStitched	chr2	43444217	43457152	1	12936	79473.9335	3063.008	103	LOC100129726,ZFP36L2		ZFP36L2	103	1
2_MACS_peak_9310_lociStitched	chr15	68568623	68599495	2	29140	82184.3512	6180.5744	104	FEM1B,ITGA11	CLN6	FEM1B	104	1
5_MACS_peak_9393_lociStitched	chr15	75063274	75093077	5	23834	81356.2294	5880.1319	105	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	105	1
1_MACS_peak_6358_lociStitched	chr12	53845116	53876431	1	31316	81807.306	6466.5475	106	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	106	1
3_MACS_peak_12302_lociStitched	chr18	9055127	9074456	3	13128	79250.8329	4250.4471	107		NDUFV2	NDUFV2	107	1
3_MACS_peak_20038_lociStitched	chr3	186703181	186720470	3	13033	79908.0291	5207.4468	108	ST6GAL1	ST6GAL1	ST6GAL1	108	1
2_MACS_peak_8796_lociStitched	chr15	31546648	31560846	2	10026	77120.6964	3088.065	109			KLF13	109	1
5_MACS_peak_27297_lociStitched	chr8	81046218	81084520	5	26921	80043.5196	6545.8118	110	TPD52		TPD52	110	1
3_MACS_peak_6930_lociStitched	chr12	108952732	108970792	3	16660	77708.568	4431.924	111	ISCU,SART3	FICD,TMEM119	ISCU	111	1
4_MACS_peak_14635_lociStitched	chr2	65157267	65178607	4	14033	78059.586	4805.768	112	LOC400958	SLC1A4	LOC400958	112	1
5_MACS_peak_12033_lociStitched	chr17	73850274	73875770	5	15299	77609.824	4624.9744	113	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	113	1
2_MACS_peak_15906_lociStitched	chr2	202115968	202129085	2	13030	75560.4785	2624.7117	114	CASP8		CASP8	114	1
3_MACS_peak_13461_lociStitched	chr19	35695282	35708233	3	9282	75694.7097	3189.8313	115		FXYD5,LSR,FAM187B	FAM187B	115	1
5_MACS_peak_2398_lociStitched	chr1	206272188	206307686	5	19712	80970.938	8565.6674	116	C1orf186	AVPR1B,CTSE	C1orf186	116	1
2_MACS_peak_13252_lociStitched	chr19	16243672	16273301	2	24573	78504.9984	6136.1659	117	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	117	1
2_MACS_peak_21521_lociStitched	chr4	185200921	185210837	2	9004	74613.9336	2489.9076	118			ENPP6	118	1
5_MACS_peak_12126_lociStitched	chr17	76753831	76779876	5	20042	76658.2485	4734.981	119	CYTH1		CYTH1	119	1
3_MACS_peak_26044_lociStitched	chr7	104576303	104586737	3	9182	74033.4036	2402.9502	120		LOC723809	LOC723809	120	1
2_MACS_peak_17109_lociStitched	chr20	56047512	56058450	2	10293	73648.8354	2419.4856	121		CTCFL	CTCFL	121	1
1_MACS_peak_25793_lociStitched	chr7	78113704	78128307	1	14604	74221.2078	3170.3113	122	MAGI2		RPL13AP17	122	1
4_MACS_peak_17923_lociStitched	chr22	37610893	37642397	4	29175	76781.5488	6351.2064	123	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	123	1
2_MACS_peak_15152_lociStitched	chr2	112455819	112465782	2	9444	72749.826	2634.2172	124			ANAPC1	124	1
6_MACS_peak_9623_lociStitched	chr15	89646485	89676872	6	17742	76286.5635	6262.7607	125	ABHD2		ABHD2	125	1
2_MACS_peak_654_lociStitched	chr1	40838993	40858620	2	16205	73783.7811	3766.4213	126	SMAP2	SMAP2	SMAP2	126	1
4_MACS_peak_23545_lociStitched	chr6	26183521	26207422	4	14500	74551.9992	4624.8435	127	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	127	1
1_MACS_peak_7844_lociStitched	chr13	114556363	114568197	1	11835	72931.7586	3023.587	128	GAS6	FLJ44054,GAS6	GAS6	128	1
1_MACS_peak_26050_lociStitched	chr7	104650868	104658768	1	7901	71370.97	1963.94	129	MLL5,LOC100216545		MLL5	129	1
2_MACS_peak_17047_lociStitched	chr20	52194862	52215901	2	20190	72651.8748	3664.9938	130	ZNF217		ZNF217	130	1
1_MACS_peak_22276_lociStitched	chr5	88170918	88187016	1	16099	72321.8748	3444.972	131	MEF2C		MEF2C	131	1
1_MACS_peak_11402_lociStitched	chr17	36856065	36863692	1	7628	70348.3972	1598.6192	132	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	132	1
2_MACS_peak_5456_lociStitched	chr11	115090772	115102424	2	9538	71272.9536	2692.7772	133	CADM1		CADM1	133	1
1_MACS_peak_2666_lociStitched	chr1	226839962	226852493	1	12532	72340.2099	4051.2723	134	ITPKB		ITPKB	134	1
4_MACS_peak_19476_lociStitched	chr3	133179348	133200564	4	15990	72374.1408	4788.4512	135	BFSP2		BFSP2	135	1
1_MACS_peak_23362_lociStitched	chr6	11827794	11836769	1	8976	69791.395	2372.0925	136		C6orf105	C6orf105	136	1
2_MACS_peak_21683_lociStitched	chr5	6475552	6487419	2	11463	69828.9881	2494.4434	137	UBE2QL1		UBE2QL1	137	1
1_MACS_peak_15713_lociStitched	chr2	182168337	182180041	1	11705	69252.568	2470.7144	138			ITGA4	138	1
3_MACS_peak_19429_lociStitched	chr3	129026059	129048540	3	14918	71116.3954	4689.5366	139	C3orf47,H1FX	C3orf37	H1FX	139	1
1_MACS_peak_1592_lociStitched	chr1	149855387	149861340	1	5954	69027.4162	2618.7247	140	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	140	1
1_MACS_peak_11580_lociStitched	chr17	43298143	43308769	1	10627	68607.8316	2290.9656	141	FMNL1	LOC100133991,C17orf46	FMNL1	141	1
3_MACS_peak_10013_lociStitched	chr16	12052554	12071601	3	12660	69334.8894	3599.883	142	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	142	1
2_MACS_peak_6025_lociStitched	chr12	26265739	26280345	2	14406	69071.774	3474.7674	143	BHLHE41		BHLHE41	143	1
1_MACS_peak_9652_lociStitched	chr15	90637400	90646519	1	9120	68003.1187	2564.2628	144	IDH2		IDH2	144	1
4_MACS_peak_13607_lociStitched	chr19	42037698	42070615	4	21590	71755.7683	6431.9818	145		CEACAM21	CEACAM21	145	1
1_MACS_peak_17449_lociStitched	chr21	41324759	41345240	1	20482	71505.3153	6277.4265	146			PCP4	146	1
5_MACS_peak_28894_lociStitched	chr9	130531980	130566894	5	18851	71119.818	6012.1908	147	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	147	1
2_MACS_peak_1866_lociStitched	chr1	161144163	161157860	2	11098	69126.0196	4083.0757	148	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	148	1
1_MACS_peak_16219_lociStitched	chr2	232687022	232715087	1	28066	68346.6945	3903.8415	149		COPS7B,PDE6D,MIR1471	COPS7B	149	1
3_MACS_peak_5409_lociStitched	chr11	111230635	111251439	3	16776	68619.9136	4362.5988	150	POU2AF1		POU2AF1	150	1
2_MACS_peak_25489_lociStitched	chr7	44661725	44680231	2	15356	68446.2916	4213.8162	151	OGDH	DDX56,TMED4	OGDH	151	1
2_MACS_peak_4490_lociStitched	chr11	19450527	19465893	2	12970	67521.2772	3418.935	152	NAV2		NAV2	152	1
3_MACS_peak_19875_lociStitched	chr3	177062632	177079917	3	10663	68153.0265	4341.992	153			TBL1XR1	153	1
2_MACS_peak_14709_lociStitched	chr2	70310065	70323258	2	9013	66549.4499	2845.7301	154	PCBP1,LOC400960	LOC100133985	PCBP1	154	1
4_MACS_peak_18006_lociStitched	chr22	39822794	39845944	4	14311	67364.185	4125.33	155	TAB1	MGAT3	MGAT3	155	1
1_MACS_peak_16883_lociStitched	chr20	42695404	42700334	1	4931	64300.511	1068.331	156	TOX2		JPH2	156	1
2_MACS_peak_21815_lociStitched	chr5	32570789	32593435	2	16677	66595.0922	3951.727	157	SUB1		SUB1	157	1
2_MACS_peak_9149_lociStitched	chr15	56648168	56667006	2	12515	65710.7116	3247.6712	158	TEX9		TEX9	158	1
2_MACS_peak_26517_lociStitched	chr7	150100714	150113972	2	7447	65902.8664	3457.6864	159	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	159	1
3_MACS_peak_5058_lociStitched	chr11	71413715	71426934	3	11492	65722.2242	3344.407	160			FAM86C	160	1
1_MACS_peak_4734_lociStitched	chr11	58339861	58348075	1	8215	64126.698	1826.7936	161	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	161	1
2_MACS_peak_16715_lociStitched	chr20	32461806	32473742	2	8611	64559.4368	2640.2432	162			CHMP4B	162	1
1_MACS_peak_26325_lociStitched	chr7	129587941	129593320	1	5380	63750.2943	1940.2053	163	UBE2H		UBE2H	163	1
1_MACS_peak_294_lociStitched	chr1	23849572	23858918	1	9347	63925.7054	2155.1876	164	E2F2	ASAP3,ID3	E2F2	164	1
3_MACS_peak_20745_lociStitched	chr4	77117594	77136602	3	15255	65938.752	4301.5104	165	SCARB2	FAM47E,NUP54	SCARB2	165	1
2_MACS_peak_18662_lociStitched	chr3	46245542	46257154	2	9639	64558.0752	3026.0872	166	CCR1	CCR3	CCR1	166	1
5_MACS_peak_26844_lociStitched	chr8	27207257	27241972	5	24312	68076.115	6727.767	167	PTK2B	TRIM35	PTK2B	167	1
1_MACS_peak_17961_lociStitched	chr22	38782006	38797092	1	15087	63830.3746	2612.8952	168	LOC400927	KCNJ4	LOC400927	168	1
4_MACS_peak_19085_lociStitched	chr3	98472819	98495772	4	18667	65475.7278	4395.4995	169	ST3GAL6		ST3GAL6	169	1
1_MACS_peak_3217_lociStitched	chr10	30989190	30996931	1	7742	62844.5344	1866.3551	170			LYZL2	170	1
1_MACS_peak_21529_lociStitched	chr4	185302120	185308438	1	6319	62347.9194	1584.5544	171			IRF2	171	1
1_MACS_peak_16896_lociStitched	chr20	43270348	43282283	1	11936	62927.2875	2505.1565	172	ADA	LOC79015	ADA	172	1
1_MACS_peak_22306_lociStitched	chr5	90674317	90681104	1	6788	61955.8082	1598.3385	173	LOC100129716,ARRDC3		ARRDC3	173	1
1_MACS_peak_11427_lociStitched	chr17	37909345	37916625	1	7281	62040.888	1712.984	174		GRB7,C17orf37	GRB7	174	1
4_MACS_peak_6245_lociStitched	chr12	48196135	48218667	4	15312	64774.9936	4461.336	175	HDAC7	SLC48A1,RAPGEF3	HDAC7	175	1
3_MACS_peak_23179_lociStitched	chr5	180228390	180249556	3	15260	64380.6222	4097.7376	176	MGAT1	LOC729678,ZFP62	MGAT1	176	1
3_MACS_peak_10153_lociStitched	chr16	23343528	23362863	3	10605	63869.3055	3851.532	177	SCNN1B		SCNN1B	177	1
5_MACS_peak_21530_lociStitched	chr4	185317572	185350401	5	20751	66045.3822	6129.1743	178	IRF2		IRF2	178	1
3_MACS_peak_9249_lociStitched	chr15	65169409	65189520	3	10521	63444.1717	3648.1354	179		PLEKHO2,ANKDD1A	ANKDD1A	179	1
2_MACS_peak_17159_lociStitched	chr20	61273032	61291150	2	13692	62695.5272	2987.6582	180	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	180	1
6_MACS_peak_10524_lociStitched	chr16	67562639	67601619	6	21561	65860.608	6197.82	181	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	181	1
6_MACS_peak_14622_lociStitched	chr2	64862698	64895915	6	17469	64666.8556	5533.9522	182	SERTAD2	LOC339807	SERTAD2	182	1
2_MACS_peak_28478_lociStitched	chr9	94180338	94195996	2	14342	62466.0252	3347.6804	183	NFIL3		NFIL3	183	1
1_MACS_peak_6764_lociStitched	chr12	94596033	94603706	1	7674	60668.8764	1777.8341	184	PLXNC1		PLXNC1	184	1
