REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
4_MACS_peak_17923_lociStitched	chr22	37610893	37642397	4	29175	76781.5488	6351.2064	29	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	29	1
2_MACS_peak_9310_lociStitched	chr15	68568623	68599495	2	29140	82184.3512	6180.5744	30	FEM1B,ITGA11	CLN6	FEM1B	30	1
7_MACS_peak_16641_lociStitched	chr20	25261475	25303001	7	28800	149298.4278	7453.917	31	PYGB,ABHD12		PYGB	31	1
4_MACS_peak_4145_lociStitched	chr10	125822086	125854780	4	28733	86792.7618	6100.7004	32	CHST15		CHST15	32	1
1_MACS_peak_16219_lociStitched	chr2	232687022	232715087	1	28066	68346.6945	3903.8415	33		COPS7B,PDE6D,MIR1471	COPS7B	33	1
4_MACS_peak_21640_lociStitched	chr5	1311690	1346142	4	28009	152570.682	7837.83	34	CLPTM1L	TERT	CLPTM1L	34	1
3_MACS_peak_2996_lociStitched	chr10	11278740	11313223	3	27507	92545.4754	7024.1871	35	CELF2		CELF2	35	1
4_MACS_peak_11358_lociStitched	chr17	34509682	34540274	4	27237	143029.8368	9263.2576	36	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	36	1
4_MACS_peak_17689_lociStitched	chr22	23221441	23249227	4	27179	157349.3394	5034.8232	37	IGLL5		IGLL5	37	1
4_MACS_peak_12122_lociStitched	chr17	76710967	76746821	4	27051	116270.9366	7034.5548	38	CYTH1		CYTH1	38	1
5_MACS_peak_27297_lociStitched	chr8	81046218	81084520	5	26921	80043.5196	6545.8118	39	TPD52		TPD52	39	1
1_MACS_peak_25584_lociStitched	chr7	55616232	55642898	1	26667	87363.1492	5538.5282	40	VOPP1		VOPP1	40	1
2_MACS_peak_8658_lociStitched	chr14	106024605	106052781	2	26497	133266.8448	5435.1504	41		TMEM121	TMEM121	41	1
2_MACS_peak_6342_lociStitched	chr12	53573162	53604053	2	26124	156311.5491	7296.4542	42	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	42	1
7_MACS_peak_8561_lociStitched	chr14	95946114	95986376	7	26030	49421.605	3800.7328	43		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	43	1
5_MACS_peak_6933_lociStitched	chr12	109009280	109036291	5	25641	149959.6698	6069.3717	44	SELPLG	TMEM119	SELPLG	44	1
6_MACS_peak_11314_lociStitched	chr17	32690378	32726892	6	25630	147593.2394	8277.7238	45		CCL8,CCL13,CCL1	CCL1	45	1
1_MACS_peak_24364_lociStitched	chr6	106530330	106555910	1	25581	121256.874	6238.962	46	PRDM1		PRDM1	46	1
1_MACS_peak_5643_lociStitched	chr11	128584853	128610119	1	25267	106263.7428	5467.5624	47	FLI1		FLI1	47	1
3_MACS_peak_4898_lociStitched	chr11	65183309	65214535	3	25096	186322.4194	7725.3124	48	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	48	1
3_MACS_peak_7149_lociStitched	chr12	123354925	123387354	3	25084	81030.3423	3959.5809	49	VPS37B	HIP1R	VPS37B	49	1
2_MACS_peak_20895_lociStitched	chr4	90204562	90230288	2	24968	142149.013	5739.4706	50	GPRIN3		GPRIN3	50	1
3_MACS_peak_1784_lociStitched	chr1	156449649	156476186	3	24817	111755.2681	7947.8315	51	MEF2D		MEF2D	51	1
2_MACS_peak_13252_lociStitched	chr19	16243672	16273301	2	24573	78504.9984	6136.1659	52	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	52	1
5_MACS_peak_26844_lociStitched	chr8	27207257	27241972	5	24312	68076.115	6727.767	53	PTK2B	TRIM35	PTK2B	53	1
5_MACS_peak_24259_lociStitched	chr6	90053791	90086350	5	23836	94896.4614	6163.4187	54	UBE2J1,RRAGD	GABRR2	UBE2J1	54	1
5_MACS_peak_9393_lociStitched	chr15	75063274	75093077	5	23834	81356.2294	5880.1319	55	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	55	1
3_MACS_peak_22607_lociStitched	chr5	131744764	131774503	3	23437	130316.298	6914.3175	56	C5orf56	SLC22A5,MIR3936	C5orf56	56	1
9_MACS_peak_24716_lociStitched	chr6	138246682	138297584	9	23223	67114.287	9299.7954	57			TNFAIP3	57	1
5_MACS_peak_14959_lociStitched	chr2	97190710	97220693	5	23216	93585.9379	5999.5983	58	ARID5A	NEURL3	ARID5A	58	1
2_MACS_peak_14121_lociStitched	chr2	20397327	20426502	2	22918	106456.6575	5878.7625	59	SDC1		SDC1	59	1
2_MACS_peak_4514_lociStitched	chr11	22676851	22703824	2	22781	99654.4458	4442.4531	60	GAS2	FANCF	GAS2	60	1
3_MACS_peak_2406_lociStitched	chr1	206727857	206754715	3	22741	87250.8988	7525.6116	61	RASSF5	LGTN	RASSF5	61	1
4_MACS_peak_8665_lociStitched	chr14	106145177	106173012	4	22568	93149.8275	3381.9525	62			TMEM121	62	1
1_MACS_peak_2991_lociStitched	chr10	11202245	11224476	1	22232	207030.6337	5882.3226	63	CELF2		CELF2	63	1
4_MACS_peak_11079_lociStitched	chr17	16863949	16895410	4	21876	136490.4024	6373.9986	64	TNFRSF13B		TNFRSF13B	64	1
2_MACS_peak_26515_lociStitched	chr7	150062710	150084687	2	21720	129930.2217	6428.2725	65	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	65	1
4_MACS_peak_13607_lociStitched	chr19	42037698	42070615	4	21590	71755.7683	6431.9818	66		CEACAM21	CEACAM21	66	1
6_MACS_peak_10524_lociStitched	chr16	67562639	67601619	6	21561	65860.608	6197.82	67	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	67	1
3_MACS_peak_1772_lociStitched	chr1	156115361	156137266	3	21422	124295.5415	7401.6995	68	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	68	1
3_MACS_peak_10427_lociStitched	chr16	56963209	56986013	3	21348	86798.8652	5701	69	HERPUD1	CETP,NLRC5	HERPUD1	69	1
4_MACS_peak_26014_lociStitched	chr7	102063503	102093217	4	21197	128495.2216	5850.6866	70	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	70	1
2_MACS_peak_28693_lociStitched	chr9	112903758	112925357	2	21003	57362.6242	4769.0592	71	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	71	1
4_MACS_peak_19817_lociStitched	chr3	171801682	171826959	4	20848	100506.4074	7168.5572	72	FNDC3B		FNDC3B	72	1
4_MACS_peak_15828_lociStitched	chr2	197023889	197048603	4	20844	62565.9624	5481.5652	73	STK17B		STK17B	73	1
5_MACS_peak_21530_lociStitched	chr4	185317572	185350401	5	20751	66045.3822	6129.1743	74	IRF2		IRF2	74	1
3_MACS_peak_11793_lociStitched	chr17	56405111	56430980	3	20563	124590.2778	6097.3233	75	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	75	1
3_MACS_peak_16445_lociStitched	chr20	5570609	5592550	3	20507	46639.9837	4181.9546	76	GPCPD1		GPCPD1	76	1
1_MACS_peak_17449_lociStitched	chr21	41324759	41345240	1	20482	71505.3153	6277.4265	77			PCP4	77	1
4_MACS_peak_11353_lociStitched	chr17	34408906	34432811	4	20408	83273.0675	5952.345	78	CCL4,CCL3	CCL18	CCL3	78	1
2_MACS_peak_17047_lociStitched	chr20	52194862	52215901	2	20190	72651.8748	3664.9938	79	ZNF217		ZNF217	79	1
2_MACS_peak_1615_lociStitched	chr1	150532219	150552945	2	20164	107356.5348	7191.922	80	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	80	1
5_MACS_peak_12126_lociStitched	chr17	76753831	76779876	5	20042	76658.2485	4734.981	81	CYTH1		CYTH1	81	1
3_MACS_peak_18949_lociStitched	chr3	69128363	69155236	3	19983	45340.1256	4361.4879	82	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	82	1
1_MACS_peak_476_lociStitched	chr1	31213477	31233349	1	19873	113580.4032	4962.0384	83	LAPTM5	LOC100129196,MATN1	LAPTM5	83	1
1_MACS_peak_22275_lociStitched	chr5	88111219	88131044	1	19826	85178.1125	4305.99	84	MEF2C		MEF2C	84	1
5_MACS_peak_2398_lociStitched	chr1	206272188	206307686	5	19712	80970.938	8565.6674	85	C1orf186	AVPR1B,CTSE	C1orf186	85	1
8_MACS_peak_18664_lociStitched	chr3	46317961	46347319	8	19697	47090.232	5736.5532	86		CCR3,CCR2	CCR3	86	1
8_MACS_peak_27659_lociStitched	chr8	126285135	126322696	8	19665	50459.4474	7008.8826	87	NSMCE2		TRIB1	87	1
5_MACS_peak_17521_lociStitched	chr21	45552528	45580728	5	19622	137384.76	7509.66	88	C21orf33	PWP2	C21orf33	88	1
3_MACS_peak_1700_lociStitched	chr1	154370294	154394479	3	19551	90805.001	7267.5925	89	IL6R		IL6R	89	1
5_MACS_peak_14908_lociStitched	chr2	88898891	88928557	5	19387	53022.0418	5577.208	90	EIF2AK3		EIF2AK3	90	1
3_MACS_peak_26608_lociStitched	chr8	2027144	2050934	3	19382	131085.279	4855.539	91	MYOM2		MYOM2	91	1
1_MACS_peak_20509_lociStitched	chr4	40190878	40209855	1	18978	108092.992	4501.3444	92	RHOH		RHOH	92	1
6_MACS_peak_15900_lociStitched	chr2	202072914	202101896	6	18873	35630.4708	5660.1846	93	CASP10,CASP8	CASP8	CASP8	93	1
5_MACS_peak_28894_lociStitched	chr9	130531980	130566894	5	18851	71119.818	6012.1908	94	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	94	1
3_MACS_peak_4375_lociStitched	chr11	10323590	10345082	3	18728	90216.9684	4504.7232	95	ADM	SBF2	ADM	95	1
4_MACS_peak_18323_lociStitched	chr3	13035447	13061632	4	18702	117211.9155	5462.191	96	IQSEC1	IQSEC1	IQSEC1	96	1
4_MACS_peak_19085_lociStitched	chr3	98472819	98495772	4	18667	65475.7278	4395.4995	97	ST3GAL6		ST3GAL6	97	1
4_MACS_peak_8434_lociStitched	chr14	81930655	81955940	4	18369	47953.0025	2677.6815	98	SEL1L		SEL1L	98	1
2_MACS_peak_4905_lociStitched	chr11	65254260	65279032	2	18358	105325.5896	5615.8124	99	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	99	1
3_MACS_peak_8904_lociStitched	chr15	40387228	40409026	3	18154	83863.4454	4874.0328	100	BMF	BUB1B	BMF	100	1
4_MACS_peak_11988_lociStitched	chr17	72733610	72757408	4	18002	44890.1674	4628.711	101	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	101	1
2_MACS_peak_11450_lociStitched	chr17	38465576	38484050	2	17994	94538.8476	3942.3516	102	RARA	CDC6,RARA,GJD3	RARA	102	1
4_MACS_peak_1588_lociStitched	chr1	149802759	149834123	4	17973	127664.0256	8747.4196	103	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	103	1
3_MACS_peak_13546_lociStitched	chr19	39880622	39904107	3	17952	108850.6265	4852.001	104	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	104	1
6_MACS_peak_9623_lociStitched	chr15	89646485	89676872	6	17742	76286.5635	6262.7607	105	ABHD2		ABHD2	105	1
3_MACS_peak_17686_lociStitched	chr22	23189825	23210344	3	17731	53103.172	2232.4672	106		MIR650,IGLL5	IGLL5	106	1
2_MACS_peak_17693_lociStitched	chr22	23268627	23286314	2	17643	151895.956	4611.0009	107		IGLL5	IGLL5	107	1
5_MACS_peak_25422_lociStitched	chr7	38383766	38408460	5	17597	32238.017	5479.5986	108			TARP	108	1
4_MACS_peak_21971_lociStitched	chr5	55272487	55291923	4	17528	41771.8512	3636.4756	109	IL6ST		IL6ST	109	1
5_MACS_peak_23521_lociStitched	chr6	25365920	25390337	5	17481	49893.6978	4534.2369	110	LRRC16A		LRRC16A	110	1
5_MACS_peak_10134_lociStitched	chr16	22194947	22219241	5	17477	59374.536	5036.1462	111	EEF2K		EEF2K	111	1
6_MACS_peak_14622_lociStitched	chr2	64862698	64895915	6	17469	64666.8556	5533.9522	112	SERTAD2	LOC339807	SERTAD2	112	1
3_MACS_peak_6425_lociStitched	chr12	57093663	57120252	3	17204	40064.3052	4727.5242	113	NACA	HSD17B6,PTGES3,PRIM1	NACA	113	1
4_MACS_peak_8916_lociStitched	chr15	40834351	40862653	4	17041	53346.4398	5663.2302	114	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	114	1
3_MACS_peak_1756_lociStitched	chr1	155900416	155922430	3	17036	42993.342	5917.3632	115	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	115	1
1_MACS_peak_25582_lociStitched	chr7	55569660	55586644	1	16985	47701.2624	3474.9264	116	VOPP1		VOPP1	116	1
4_MACS_peak_21804_lociStitched	chr5	32275898	32297084	4	16942	35906.0328	4237.2	117	MTMR12		MTMR12	117	1
3_MACS_peak_5409_lociStitched	chr11	111230635	111251439	3	16776	68619.9136	4362.5988	118	POU2AF1		POU2AF1	118	1
3_MACS_peak_16084_lociStitched	chr2	219743150	219763441	3	16754	82298.2669	4052.1127	119	WNT10A	WNT6,PRKAG3	WNT10A	119	1
3_MACS_peak_18476_lociStitched	chr3	30682685	30703662	3	16746	38232.6802	3981.4346	120	TGFBR2		TGFBR2	120	1
2_MACS_peak_21815_lociStitched	chr5	32570789	32593435	2	16677	66595.0922	3951.727	121	SUB1		SUB1	121	1
3_MACS_peak_6930_lociStitched	chr12	108952732	108970792	3	16660	77708.568	4431.924	122	ISCU,SART3	FICD,TMEM119	ISCU	122	1
4_MACS_peak_23697_lociStitched	chr6	31783101	31805824	4	16617	36679.4666	4358.2714	123	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52	C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	123	1
4_MACS_peak_22876_lociStitched	chr5	150512961	150537888	4	16481	38021.1531	4604.0169	124	ANXA6		ANXA6	124	1
5_MACS_peak_9008_lociStitched	chr15	45001846	45029353	5	16319	52659.4008	4629.4281	125	B2M,TRIM69	SPG11,PATL2	B2M	125	1
4_MACS_peak_8400_lociStitched	chr14	77487747	77508150	4	16248	49962.8664	1930.1238	126	C14orf4		C14orf4	126	1
2_MACS_peak_654_lociStitched	chr1	40838993	40858620	2	16205	73783.7811	3766.4213	127	SMAP2	SMAP2	SMAP2	127	1
1_MACS_peak_22276_lociStitched	chr5	88170918	88187016	1	16099	72321.8748	3444.972	128	MEF2C		MEF2C	128	1
4_MACS_peak_23132_lociStitched	chr5	176717049	176740572	4	16006	54780.3624	4337.6412	129	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	129	1
4_MACS_peak_19476_lociStitched	chr3	133179348	133200564	4	15990	72374.1408	4788.4512	130	BFSP2		BFSP2	130	1
4_MACS_peak_13272_lociStitched	chr19	16693785	16717316	4	15952	122707.1057	4830.9143	131	MED26	CHERP,SLC35E1	SLC35E1	131	1
4_MACS_peak_16900_lociStitched	chr20	43583375	43609470	4	15903	46762.24	5451.2455	132	STK4,TOMM34	PABPC1L	STK4	132	1
1_MACS_peak_5904_lociStitched	chr12	12866102	12881965	1	15864	135508.0912	3930.8514	133	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	133	1
2_MACS_peak_20758_lociStitched	chr4	77608445	77624866	2	15768	41796.3713	3550.2202	134	SHROOM3		ANKRD56	134	1
6_MACS_peak_8701_lociStitched	chr15	21976390	22002427	6	15726	28783.9035	4012.3017	135		LOC646214,CXADRP2	CXADRP2	135	1
5_MACS_peak_11586_lociStitched	chr17	43504836	43531669	5	15718	37077.8394	4317.4297	136	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	136	1
3_MACS_peak_3669_lociStitched	chr10	81001246	81020504	3	15712	54093.7962	3660.9458	137	ZMIZ1		PPIF	137	1
3_MACS_peak_4041_lociStitched	chr10	112611866	112633043	3	15699	49331.8215	3871.1556	138	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	138	1
2_MACS_peak_12903_lociStitched	chr19	2081349	2098455	2	15679	149860.5342	6031.5756	139	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	139	1
2_MACS_peak_1049_lociStitched	chr1	75596079	75612377	2	15650	37390.8716	2397.4358	140	LHX8		LHX8	140	1
2_MACS_peak_9611_lociStitched	chr15	89163847	89184456	2	15560	51475.0993	4515.4319	141	AEN,ISG20	MIR1179,MIR7-2	ISG20	141	1
3_MACS_peak_21983_lociStitched	chr5	55436981	55453725	3	15551	60397.2824	3628.4248	142	ANKRD55		ANKRD55	142	1
3_MACS_peak_1759_lociStitched	chr1	155937914	155954251	3	15528	58667.8007	4283.5614	143	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	143	1
5_MACS_peak_1190_lociStitched	chr1	93409395	93428722	5	15468	24054.3842	1694.9779	144	FAM69A		FAM69A	144	1
2_MACS_peak_11274_lociStitched	chr17	29635215	29650970	2	15423	54268.0975	3374.721	145	NF1,EVI2B,EVI2A	OMG	EVI2B	145	1
2_MACS_peak_25489_lociStitched	chr7	44661725	44680231	2	15356	68446.2916	4213.8162	146	OGDH	DDX56,TMED4	OGDH	146	1
4_MACS_peak_6245_lociStitched	chr12	48196135	48218667	4	15312	64774.9936	4461.336	147	HDAC7	SLC48A1,RAPGEF3	HDAC7	147	1
1_MACS_peak_5947_lociStitched	chr12	15101053	15116363	1	15311	47803.944	3388.103	148	ARHGDIB	PDE6H,ERP27	ARHGDIB	148	1
5_MACS_peak_12033_lociStitched	chr17	73850274	73875770	5	15299	77609.824	4624.9744	149	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	149	1
3_MACS_peak_23179_lociStitched	chr5	180228390	180249556	3	15260	64380.6222	4097.7376	150	MGAT1	LOC729678,ZFP62	MGAT1	150	1
3_MACS_peak_20745_lociStitched	chr4	77117594	77136602	3	15255	65938.752	4301.5104	151	SCARB2	FAM47E,NUP54	SCARB2	151	1
6_MACS_peak_4162_lociStitched	chr10	126407093	126438400	6	15212	33899.2196	4351.673	152	FAM53B	METTL10	FAM53B	152	1
1_MACS_peak_15894_lociStitched	chr2	201979893	201995100	1	15208	124577.2647	4028.3343	153	CFLAR	NDUFB3,FAM126B	CFLAR	153	1
5_MACS_peak_24902_lociStitched	chr6	157976490	158007213	5	15188	40668.0351	2783.5038	154	ZDHHC14	MIR3692	MIR3692	154	1
1_MACS_peak_17961_lociStitched	chr22	38782006	38797092	1	15087	63830.3746	2612.8952	155	LOC400927	KCNJ4	LOC400927	155	1
3_MACS_peak_12080_lociStitched	chr17	75131311	75147070	3	15087	87891.0948	3411.8235	156	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	156	1
5_MACS_peak_28981_lociStitched	chr9	134126990	134152396	5	15063	49640.7834	4522.268	157	FAM78A	PPAPDC3	FAM78A	157	1
1_MACS_peak_11876_lociStitched	chr17	62195384	62210432	1	15049	51282.0792	3059.2584	158	ERN1	SNORD104,SNORA76	ERN1	158	1
4_MACS_peak_5013_lociStitched	chr11	67760499	67781501	4	15015	55327.6688	4257.1054	159	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	159	1
2_MACS_peak_28909_lociStitched	chr9	130828732	130845784	2	14942	43828.7556	3435.978	160	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	160	1
3_MACS_peak_19429_lociStitched	chr3	129026059	129048540	3	14918	71116.3954	4689.5366	161	C3orf47,H1FX	C3orf37	H1FX	161	1
2_MACS_peak_23210_lociStitched	chr6	389106	404016	2	14873	44507.841	3318.966	162	IRF4		IRF4	162	1
4_MACS_peak_9125_lociStitched	chr15	52950405	52977250	4	14867	42224.5005	4426.7405	163	KIAA1370		KIAA1370	163	1
5_MACS_peak_23584_lociStitched	chr6	27094322	27123511	5	14849	54974.5626	5134.3451	164	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	164	1
5_MACS_peak_12918_lociStitched	chr19	2445732	2480285	5	14846	36056.0555	7055.7226	165	GADD45B,LMNB2	TIMM13	LMNB2	165	1
5_MACS_peak_10241_lociStitched	chr16	29815280	29837079	5	14836	42582.1666	3662.232	166	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	166	1
5_MACS_peak_29929_lociStitched	chrX	128902180	128921340	5	14816	39099.812	2134.424	167	XPNPEP2,SASH3		SASH3	167	1
5_MACS_peak_19636_lociStitched	chr3	151985347	152002019	5	14772	31141.6288	2874.2528	168	MBNL1,LOC401093	MBNL1	LOC401093	168	1
1_MACS_peak_14066_lociStitched	chr2	11883543	11898291	1	14749	113502.0828	3453.9816	169	LPIN1		LPIN1	169	1
4_MACS_peak_29181_lociStitched	chrX	10064991	10091072	4	14632	43325.7572	2469.8707	170	WWC3	CLCN4	CLCN4	170	1
3_MACS_peak_14442_lociStitched	chr2	46788339	46804751	3	14611	40900.3452	3059.1968	171	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	171	1
1_MACS_peak_25793_lociStitched	chr7	78113704	78128307	1	14604	74221.2078	3170.3113	172	MAGI2		RPL13AP17	172	1
5_MACS_peak_6136_lociStitched	chr12	33037616	33060589	5	14597	27981.114	4123.6535	173	PKP2		PKP2	173	1
4_MACS_peak_12909_lociStitched	chr19	2254572	2274242	4	14595	56989.891	5074.86	174	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	174	1
4_MACS_peak_23545_lociStitched	chr6	26183521	26207422	4	14500	74551.9992	4624.8435	175	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	175	1
4_MACS_peak_18014_lociStitched	chr22	39909921	39929600	4	14486	51063.0692	4051.9061	176	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	176	1
2_MACS_peak_625_lociStitched	chr1	40029498	40047928	2	14465	38269.895	3300.813	177	PABPC4,SNORA55	PPIEL	PABPC4	177	1
4_MACS_peak_14449_lociStitched	chr2	47193751	47215125	4	14456	57237.4346	3699.8394	178	TTC7A	MCFD2	MCFD2	178	1
2_MACS_peak_2363_lociStitched	chr1	204474544	204492317	2	14447	112682.5973	5474.084	179	MDM4	PIK3C2B	MDM4	179	1
1_MACS_peak_17959_lociStitched	chr22	38700498	38714936	1	14439	39742.0388	2744.6638	180	CSNK1E	TMEM184B	CSNK1E	180	1
