#11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_ROSE/11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam
#Using cutoff of 24861.666 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X11_0EWX_0229Kronos_MM1S.No.Treatment.1_H3K27Ac_hs.dm_i20.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isStretch
4_MACS_peak_2337_lociStitched	chr1	203254914	203298088	4	30782	254627.2998	13863.1714	25	1
7_MACS_peak_5805_lociStitched	chr12	7045189	7085767	7	30671	123300.3108	8383.4148	26	1
8_MACS_peak_19955_lociStitched	chr3	183219709	183261099	8	29415	118863.802	11953.432	27	1
5_MACS_peak_23087_lociStitched	chr5	173310181	173344116	5	29227	57475.7095	6104.9065	28	1
4_MACS_peak_17923_lociStitched	chr22	37610893	37642397	4	29175	76781.5488	6351.2064	29	1
2_MACS_peak_9310_lociStitched	chr15	68568623	68599495	2	29140	82184.3512	6180.5744	30	1
7_MACS_peak_16641_lociStitched	chr20	25261475	25303001	7	28800	149298.4278	7453.917	31	1
4_MACS_peak_4145_lociStitched	chr10	125822086	125854780	4	28733	86792.7618	6100.7004	32	1
1_MACS_peak_16219_lociStitched	chr2	232687022	232715087	1	28066	68346.6945	3903.8415	33	1
4_MACS_peak_21640_lociStitched	chr5	1311690	1346142	4	28009	152570.682	7837.83	34	1
3_MACS_peak_2996_lociStitched	chr10	11278740	11313223	3	27507	92545.4754	7024.1871	35	1
4_MACS_peak_11358_lociStitched	chr17	34509682	34540274	4	27237	143029.8368	9263.2576	36	1
4_MACS_peak_17689_lociStitched	chr22	23221441	23249227	4	27179	157349.3394	5034.8232	37	1
4_MACS_peak_12122_lociStitched	chr17	76710967	76746821	4	27051	116270.9366	7034.5548	38	1
5_MACS_peak_27297_lociStitched	chr8	81046218	81084520	5	26921	80043.5196	6545.8118	39	1
1_MACS_peak_25584_lociStitched	chr7	55616232	55642898	1	26667	87363.1492	5538.5282	40	1
2_MACS_peak_8658_lociStitched	chr14	106024605	106052781	2	26497	133266.8448	5435.1504	41	1
2_MACS_peak_6342_lociStitched	chr12	53573162	53604053	2	26124	156311.5491	7296.4542	42	1
7_MACS_peak_8561_lociStitched	chr14	95946114	95986376	7	26030	49421.605	3800.7328	43	1
5_MACS_peak_6933_lociStitched	chr12	109009280	109036291	5	25641	149959.6698	6069.3717	44	1
6_MACS_peak_11314_lociStitched	chr17	32690378	32726892	6	25630	147593.2394	8277.7238	45	1
1_MACS_peak_24364_lociStitched	chr6	106530330	106555910	1	25581	121256.874	6238.962	46	1
1_MACS_peak_5643_lociStitched	chr11	128584853	128610119	1	25267	106263.7428	5467.5624	47	1
3_MACS_peak_4898_lociStitched	chr11	65183309	65214535	3	25096	186322.4194	7725.3124	48	1
3_MACS_peak_7149_lociStitched	chr12	123354925	123387354	3	25084	81030.3423	3959.5809	49	1
2_MACS_peak_20895_lociStitched	chr4	90204562	90230288	2	24968	142149.013	5739.4706	50	1
3_MACS_peak_1784_lociStitched	chr1	156449649	156476186	3	24817	111755.2681	7947.8315	51	1
2_MACS_peak_13252_lociStitched	chr19	16243672	16273301	2	24573	78504.9984	6136.1659	52	1
5_MACS_peak_26844_lociStitched	chr8	27207257	27241972	5	24312	68076.115	6727.767	53	1
5_MACS_peak_24259_lociStitched	chr6	90053791	90086350	5	23836	94896.4614	6163.4187	54	1
5_MACS_peak_9393_lociStitched	chr15	75063274	75093077	5	23834	81356.2294	5880.1319	55	1
3_MACS_peak_22607_lociStitched	chr5	131744764	131774503	3	23437	130316.298	6914.3175	56	1
9_MACS_peak_24716_lociStitched	chr6	138246682	138297584	9	23223	67114.287	9299.7954	57	1
5_MACS_peak_14959_lociStitched	chr2	97190710	97220693	5	23216	93585.9379	5999.5983	58	1
2_MACS_peak_14121_lociStitched	chr2	20397327	20426502	2	22918	106456.6575	5878.7625	59	1
2_MACS_peak_4514_lociStitched	chr11	22676851	22703824	2	22781	99654.4458	4442.4531	60	1
3_MACS_peak_2406_lociStitched	chr1	206727857	206754715	3	22741	87250.8988	7525.6116	61	1
4_MACS_peak_8665_lociStitched	chr14	106145177	106173012	4	22568	93149.8275	3381.9525	62	1
1_MACS_peak_2991_lociStitched	chr10	11202245	11224476	1	22232	207030.6337	5882.3226	63	1
4_MACS_peak_11079_lociStitched	chr17	16863949	16895410	4	21876	136490.4024	6373.9986	64	1
2_MACS_peak_26515_lociStitched	chr7	150062710	150084687	2	21720	129930.2217	6428.2725	65	1
4_MACS_peak_13607_lociStitched	chr19	42037698	42070615	4	21590	71755.7683	6431.9818	66	1
6_MACS_peak_10524_lociStitched	chr16	67562639	67601619	6	21561	65860.608	6197.82	67	1
3_MACS_peak_1772_lociStitched	chr1	156115361	156137266	3	21422	124295.5415	7401.6995	68	1
3_MACS_peak_10427_lociStitched	chr16	56963209	56986013	3	21348	86798.8652	5701	69	1
4_MACS_peak_26014_lociStitched	chr7	102063503	102093217	4	21197	128495.2216	5850.6866	70	1
2_MACS_peak_28693_lociStitched	chr9	112903758	112925357	2	21003	57362.6242	4769.0592	71	1
4_MACS_peak_19817_lociStitched	chr3	171801682	171826959	4	20848	100506.4074	7168.5572	72	1
4_MACS_peak_15828_lociStitched	chr2	197023889	197048603	4	20844	62565.9624	5481.5652	73	1
5_MACS_peak_21530_lociStitched	chr4	185317572	185350401	5	20751	66045.3822	6129.1743	74	1
3_MACS_peak_11793_lociStitched	chr17	56405111	56430980	3	20563	124590.2778	6097.3233	75	1
3_MACS_peak_16445_lociStitched	chr20	5570609	5592550	3	20507	46639.9837	4181.9546	76	1
1_MACS_peak_17449_lociStitched	chr21	41324759	41345240	1	20482	71505.3153	6277.4265	77	1
4_MACS_peak_11353_lociStitched	chr17	34408906	34432811	4	20408	83273.0675	5952.345	78	1
2_MACS_peak_17047_lociStitched	chr20	52194862	52215901	2	20190	72651.8748	3664.9938	79	1
2_MACS_peak_1615_lociStitched	chr1	150532219	150552945	2	20164	107356.5348	7191.922	80	1
5_MACS_peak_12126_lociStitched	chr17	76753831	76779876	5	20042	76658.2485	4734.981	81	1
3_MACS_peak_18949_lociStitched	chr3	69128363	69155236	3	19983	45340.1256	4361.4879	82	1
1_MACS_peak_476_lociStitched	chr1	31213477	31233349	1	19873	113580.4032	4962.0384	83	1
1_MACS_peak_22275_lociStitched	chr5	88111219	88131044	1	19826	85178.1125	4305.99	84	1
5_MACS_peak_2398_lociStitched	chr1	206272188	206307686	5	19712	80970.938	8565.6674	85	1
8_MACS_peak_18664_lociStitched	chr3	46317961	46347319	8	19697	47090.232	5736.5532	86	1
8_MACS_peak_27659_lociStitched	chr8	126285135	126322696	8	19665	50459.4474	7008.8826	87	1
5_MACS_peak_17521_lociStitched	chr21	45552528	45580728	5	19622	137384.76	7509.66	88	1
3_MACS_peak_1700_lociStitched	chr1	154370294	154394479	3	19551	90805.001	7267.5925	89	1
5_MACS_peak_14908_lociStitched	chr2	88898891	88928557	5	19387	53022.0418	5577.208	90	1
3_MACS_peak_26608_lociStitched	chr8	2027144	2050934	3	19382	131085.279	4855.539	91	1
1_MACS_peak_20509_lociStitched	chr4	40190878	40209855	1	18978	108092.992	4501.3444	92	1
6_MACS_peak_15900_lociStitched	chr2	202072914	202101896	6	18873	35630.4708	5660.1846	93	1
5_MACS_peak_28894_lociStitched	chr9	130531980	130566894	5	18851	71119.818	6012.1908	94	1
3_MACS_peak_4375_lociStitched	chr11	10323590	10345082	3	18728	90216.9684	4504.7232	95	1
4_MACS_peak_18323_lociStitched	chr3	13035447	13061632	4	18702	117211.9155	5462.191	96	1
4_MACS_peak_19085_lociStitched	chr3	98472819	98495772	4	18667	65475.7278	4395.4995	97	1
4_MACS_peak_8434_lociStitched	chr14	81930655	81955940	4	18369	47953.0025	2677.6815	98	1
2_MACS_peak_4905_lociStitched	chr11	65254260	65279032	2	18358	105325.5896	5615.8124	99	1
3_MACS_peak_8904_lociStitched	chr15	40387228	40409026	3	18154	83863.4454	4874.0328	100	1
4_MACS_peak_11988_lociStitched	chr17	72733610	72757408	4	18002	44890.1674	4628.711	101	1
2_MACS_peak_11450_lociStitched	chr17	38465576	38484050	2	17994	94538.8476	3942.3516	102	1
4_MACS_peak_1588_lociStitched	chr1	149802759	149834123	4	17973	127664.0256	8747.4196	103	1
3_MACS_peak_13546_lociStitched	chr19	39880622	39904107	3	17952	108850.6265	4852.001	104	1
6_MACS_peak_9623_lociStitched	chr15	89646485	89676872	6	17742	76286.5635	6262.7607	105	1
3_MACS_peak_17686_lociStitched	chr22	23189825	23210344	3	17731	53103.172	2232.4672	106	1
2_MACS_peak_17693_lociStitched	chr22	23268627	23286314	2	17643	151895.956	4611.0009	107	1
5_MACS_peak_25422_lociStitched	chr7	38383766	38408460	5	17597	32238.017	5479.5986	108	1
4_MACS_peak_21971_lociStitched	chr5	55272487	55291923	4	17528	41771.8512	3636.4756	109	1
5_MACS_peak_23521_lociStitched	chr6	25365920	25390337	5	17481	49893.6978	4534.2369	110	1
5_MACS_peak_10134_lociStitched	chr16	22194947	22219241	5	17477	59374.536	5036.1462	111	1
6_MACS_peak_14622_lociStitched	chr2	64862698	64895915	6	17469	64666.8556	5533.9522	112	1
3_MACS_peak_6425_lociStitched	chr12	57093663	57120252	3	17204	40064.3052	4727.5242	113	1
4_MACS_peak_8916_lociStitched	chr15	40834351	40862653	4	17041	53346.4398	5663.2302	114	1
3_MACS_peak_1756_lociStitched	chr1	155900416	155922430	3	17036	42993.342	5917.3632	115	1
1_MACS_peak_25582_lociStitched	chr7	55569660	55586644	1	16985	47701.2624	3474.9264	116	1
4_MACS_peak_21804_lociStitched	chr5	32275898	32297084	4	16942	35906.0328	4237.2	117	1
3_MACS_peak_5409_lociStitched	chr11	111230635	111251439	3	16776	68619.9136	4362.5988	118	1
3_MACS_peak_16084_lociStitched	chr2	219743150	219763441	3	16754	82298.2669	4052.1127	119	1
3_MACS_peak_18476_lociStitched	chr3	30682685	30703662	3	16746	38232.6802	3981.4346	120	1
2_MACS_peak_21815_lociStitched	chr5	32570789	32593435	2	16677	66595.0922	3951.727	121	1
3_MACS_peak_6930_lociStitched	chr12	108952732	108970792	3	16660	77708.568	4431.924	122	1
4_MACS_peak_23697_lociStitched	chr6	31783101	31805824	4	16617	36679.4666	4358.2714	123	1
4_MACS_peak_22876_lociStitched	chr5	150512961	150537888	4	16481	38021.1531	4604.0169	124	1
5_MACS_peak_9008_lociStitched	chr15	45001846	45029353	5	16319	52659.4008	4629.4281	125	1
4_MACS_peak_8400_lociStitched	chr14	77487747	77508150	4	16248	49962.8664	1930.1238	126	1
2_MACS_peak_654_lociStitched	chr1	40838993	40858620	2	16205	73783.7811	3766.4213	127	1
1_MACS_peak_22276_lociStitched	chr5	88170918	88187016	1	16099	72321.8748	3444.972	128	1
4_MACS_peak_23132_lociStitched	chr5	176717049	176740572	4	16006	54780.3624	4337.6412	129	1
4_MACS_peak_19476_lociStitched	chr3	133179348	133200564	4	15990	72374.1408	4788.4512	130	1
4_MACS_peak_13272_lociStitched	chr19	16693785	16717316	4	15952	122707.1057	4830.9143	131	1
4_MACS_peak_16900_lociStitched	chr20	43583375	43609470	4	15903	46762.24	5451.2455	132	1
1_MACS_peak_5904_lociStitched	chr12	12866102	12881965	1	15864	135508.0912	3930.8514	133	1
2_MACS_peak_20758_lociStitched	chr4	77608445	77624866	2	15768	41796.3713	3550.2202	134	1
6_MACS_peak_8701_lociStitched	chr15	21976390	22002427	6	15726	28783.9035	4012.3017	135	1
5_MACS_peak_11586_lociStitched	chr17	43504836	43531669	5	15718	37077.8394	4317.4297	136	1
3_MACS_peak_3669_lociStitched	chr10	81001246	81020504	3	15712	54093.7962	3660.9458	137	1
3_MACS_peak_4041_lociStitched	chr10	112611866	112633043	3	15699	49331.8215	3871.1556	138	1
2_MACS_peak_12903_lociStitched	chr19	2081349	2098455	2	15679	149860.5342	6031.5756	139	1
2_MACS_peak_1049_lociStitched	chr1	75596079	75612377	2	15650	37390.8716	2397.4358	140	1
2_MACS_peak_9611_lociStitched	chr15	89163847	89184456	2	15560	51475.0993	4515.4319	141	1
3_MACS_peak_21983_lociStitched	chr5	55436981	55453725	3	15551	60397.2824	3628.4248	142	1
3_MACS_peak_1759_lociStitched	chr1	155937914	155954251	3	15528	58667.8007	4283.5614	143	1
5_MACS_peak_1190_lociStitched	chr1	93409395	93428722	5	15468	24054.3842	1694.9779	144	1
2_MACS_peak_11274_lociStitched	chr17	29635215	29650970	2	15423	54268.0975	3374.721	145	1
2_MACS_peak_25489_lociStitched	chr7	44661725	44680231	2	15356	68446.2916	4213.8162	146	1
4_MACS_peak_6245_lociStitched	chr12	48196135	48218667	4	15312	64774.9936	4461.336	147	1
1_MACS_peak_5947_lociStitched	chr12	15101053	15116363	1	15311	47803.944	3388.103	148	1
5_MACS_peak_12033_lociStitched	chr17	73850274	73875770	5	15299	77609.824	4624.9744	149	1
3_MACS_peak_23179_lociStitched	chr5	180228390	180249556	3	15260	64380.6222	4097.7376	150	1
3_MACS_peak_20745_lociStitched	chr4	77117594	77136602	3	15255	65938.752	4301.5104	151	1
6_MACS_peak_4162_lociStitched	chr10	126407093	126438400	6	15212	33899.2196	4351.673	152	1
1_MACS_peak_15894_lociStitched	chr2	201979893	201995100	1	15208	124577.2647	4028.3343	153	1
5_MACS_peak_24902_lociStitched	chr6	157976490	158007213	5	15188	40668.0351	2783.5038	154	1
1_MACS_peak_17961_lociStitched	chr22	38782006	38797092	1	15087	63830.3746	2612.8952	155	1
3_MACS_peak_12080_lociStitched	chr17	75131311	75147070	3	15087	87891.0948	3411.8235	156	1
5_MACS_peak_28981_lociStitched	chr9	134126990	134152396	5	15063	49640.7834	4522.268	157	1
1_MACS_peak_11876_lociStitched	chr17	62195384	62210432	1	15049	51282.0792	3059.2584	158	1
4_MACS_peak_5013_lociStitched	chr11	67760499	67781501	4	15015	55327.6688	4257.1054	159	1
2_MACS_peak_28909_lociStitched	chr9	130828732	130845784	2	14942	43828.7556	3435.978	160	1
3_MACS_peak_19429_lociStitched	chr3	129026059	129048540	3	14918	71116.3954	4689.5366	161	1
2_MACS_peak_23210_lociStitched	chr6	389106	404016	2	14873	44507.841	3318.966	162	1
4_MACS_peak_9125_lociStitched	chr15	52950405	52977250	4	14867	42224.5005	4426.7405	163	1
5_MACS_peak_23584_lociStitched	chr6	27094322	27123511	5	14849	54974.5626	5134.3451	164	1
5_MACS_peak_12918_lociStitched	chr19	2445732	2480285	5	14846	36056.0555	7055.7226	165	1
5_MACS_peak_10241_lociStitched	chr16	29815280	29837079	5	14836	42582.1666	3662.232	166	1
5_MACS_peak_29929_lociStitched	chrX	128902180	128921340	5	14816	39099.812	2134.424	167	1
5_MACS_peak_19636_lociStitched	chr3	151985347	152002019	5	14772	31141.6288	2874.2528	168	1
1_MACS_peak_14066_lociStitched	chr2	11883543	11898291	1	14749	113502.0828	3453.9816	169	1
4_MACS_peak_29181_lociStitched	chrX	10064991	10091072	4	14632	43325.7572	2469.8707	170	1
3_MACS_peak_14442_lociStitched	chr2	46788339	46804751	3	14611	40900.3452	3059.1968	171	1
1_MACS_peak_25793_lociStitched	chr7	78113704	78128307	1	14604	74221.2078	3170.3113	172	1
5_MACS_peak_6136_lociStitched	chr12	33037616	33060589	5	14597	27981.114	4123.6535	173	1
4_MACS_peak_12909_lociStitched	chr19	2254572	2274242	4	14595	56989.891	5074.86	174	1
4_MACS_peak_23545_lociStitched	chr6	26183521	26207422	4	14500	74551.9992	4624.8435	175	1
4_MACS_peak_18014_lociStitched	chr22	39909921	39929600	4	14486	51063.0692	4051.9061	176	1
2_MACS_peak_625_lociStitched	chr1	40029498	40047928	2	14465	38269.895	3300.813	177	1
4_MACS_peak_14449_lociStitched	chr2	47193751	47215125	4	14456	57237.4346	3699.8394	178	1
2_MACS_peak_2363_lociStitched	chr1	204474544	204492317	2	14447	112682.5973	5474.084	179	1
1_MACS_peak_17959_lociStitched	chr22	38700498	38714936	1	14439	39742.0388	2744.6638	180	1
4_MACS_peak_6419_lociStitched	chr12	57021762	57040953	4	14437	40414.3269	4020.5145	181	1
2_MACS_peak_6025_lociStitched	chr12	26265739	26280345	2	14406	69071.774	3474.7674	182	1
4_MACS_peak_25193_lociStitched	chr7	18533967	18561412	4	14360	26078.239	4174.3845	183	1
2_MACS_peak_28478_lociStitched	chr9	94180338	94195996	2	14342	62466.0252	3347.6804	184	1
4_MACS_peak_18006_lociStitched	chr22	39822794	39845944	4	14311	67364.185	4125.33	185	1
1_MACS_peak_12078_lociStitched	chr17	75078776	75093084	1	14309	53561.998	3329.4716	186	1
6_MACS_peak_15136_lociStitched	chr2	112186057	112213313	6	14295	20523.768	4009.3576	187	1
3_MACS_peak_5802_lociStitched	chr12	7022757	7038396	3	14271	34055.4864	3032.4021	188	1
3_MACS_peak_17236_lociStitched	chr21	19152043	19168974	3	14271	39967.3186	3435.2999	189	1
5_MACS_peak_8691_lociStitched	chr15	20969789	20995792	5	14241	30974.7736	3809.4395	190	1
4_MACS_peak_9303_lociStitched	chr15	68478670	68503663	4	14180	28562.0004	3871.4157	191	1
6_MACS_peak_17068_lociStitched	chr20	52531412	52566853	6	14161	36433.348	5794.6035	192	1
4_MACS_peak_4805_lociStitched	chr11	62308024	62328689	4	14144	45946.561	4157.798	193	1
4_MACS_peak_3685_lociStitched	chr10	81946378	81966276	4	14127	45681.8284	3619.4462	194	1
4_MACS_peak_1462_lociStitched	chr1	143442389	143469171	4	14125	53604.173	10461.0492	195	1
4_MACS_peak_26859_lociStitched	chr8	27930167	27951665	4	14058	41265.411	4162.0128	196	1
4_MACS_peak_14635_lociStitched	chr2	65157267	65178607	4	14033	78059.586	4805.768	197	1
2_MACS_peak_17105_lociStitched	chr20	55957784	55975516	2	14024	47459.698	3120.832	198	1
3_MACS_peak_22497_lociStitched	chr5	118657884	118678715	3	13970	36833.3742	3855.8181	199	1
3_MACS_peak_15142_lociStitched	chr2	112220093	112242003	3	13924	29460.186	3499.027	200	1
1_MACS_peak_17771_lociStitched	chr22	29185817	29199729	1	13913	90226.276	2957.6912	201	1
5_MACS_peak_15945_lociStitched	chr2	204548248	204574029	5	13881	48078.9869	4911.2805	202	1
6_MACS_peak_13095_lociStitched	chr19	10513300	10539650	6	13870	39290.485	4569.09	203	1
6_MACS_peak_8897_lociStitched	chr15	40329772	40358312	6	13856	37989.594	5277.046	204	1
2_MACS_peak_13183_lociStitched	chr19	13043285	13057905	2	13793	30561.648	2464.932	205	1
6_MACS_peak_566_lociStitched	chr1	36838567	36867794	6	13769	47669.237	4676.32	206	1
2_MACS_peak_17159_lociStitched	chr20	61273032	61291150	2	13692	62695.5272	2987.6582	207	1
4_MACS_peak_8495_lociStitched	chr14	91781543	91802098	4	13681	27798.582	2026.723	208	1
3_MACS_peak_4977_lociStitched	chr11	67034019	67057860	3	13621	57919.3254	3573.7659	209	1
3_MACS_peak_16875_lociStitched	chr20	42567942	42585478	3	13588	49141.1328	3426.5344	210	1
2_MACS_peak_29494_lociStitched	chrX	48790298	48805920	2	13532	59174.5738	2079.2882	211	1
3_MACS_peak_11969_lociStitched	chr17	70582371	70601681	3	13510	45617.944	3574.281	212	1
2_MACS_peak_1792_lociStitched	chr1	156709166	156722713	2	13469	38552.0526	3714.5874	213	1
1_MACS_peak_11428_lociStitched	chr17	37924829	37938280	1	13452	44807.9712	2887.9297	214	1
4_MACS_peak_320_lociStitched	chr1	24512344	24533749	4	13429	61562.9205	4364.4795	215	1
4_MACS_peak_5206_lociStitched	chr11	82764843	82790116	4	13413	52871.116	4940.8715	216	1
2_MACS_peak_16293_lociStitched	chr2	238600011	238613503	2	13370	43384.8752	1444.9932	217	1
4_MACS_peak_19690_lociStitched	chr3	156804504	156824715	4	13353	90977.7954	6275.5155	218	1
2_MACS_peak_17712_lociStitched	chr22	24176632	24191901	2	13313	100673.0977	3511.87	219	1
1_MACS_peak_24407_lociStitched	chr6	108985725	108999007	1	13283	44921.0522	2324.35	220	1
5_MACS_peak_6220_lociStitched	chr12	46776336	46798794	5	13274	37352.1456	4078.3728	221	1
2_MACS_peak_25553_lociStitched	chr7	50343493	50358006	2	13246	36373.9319	2491.8821	222	1
7_MACS_peak_10507_lociStitched	chr16	67184369	67218754	7	13198	30220.9765	5845.45	223	1
3_MACS_peak_16770_lociStitched	chr20	34673570	34690391	3	13147	29107.0584	3347.379	224	1
3_MACS_peak_12928_lociStitched	chr19	2606906	2629085	3	13137	124373.1783	6303.2718	225	1
3_MACS_peak_12302_lociStitched	chr18	9055127	9074456	3	13128	79250.8329	4250.4471	226	1
4_MACS_peak_450_lociStitched	chr1	28827090	28846221	4	13127	29852.0124	3418.7097	227	1
3_MACS_peak_20038_lociStitched	chr3	186703181	186720470	3	13033	79908.0291	5207.4468	228	1
2_MACS_peak_15906_lociStitched	chr2	202115968	202129085	2	13030	75560.4785	2624.7117	229	1
2_MACS_peak_16731_lociStitched	chr20	32988818	33005799	2	12977	40177.046	3044.6933	230	1
2_MACS_peak_4490_lociStitched	chr11	19450527	19465893	2	12970	67521.2772	3418.935	231	1
2_MACS_peak_3288_lociStitched	chr10	43890308	43906015	2	12953	56099.1212	2857.1033	232	1
4_MACS_peak_10995_lociStitched	chr17	7736917	7762346	4	12951	43613.2779	4172.8989	233	1
1_MACS_peak_14386_lociStitched	chr2	43444217	43457152	1	12936	79473.9335	3063.008	234	1
4_MACS_peak_8731_lociStitched	chr15	23660181	23682759	4	12906	46036.542	3569.5818	235	1
5_MACS_peak_3963_lociStitched	chr10	105249696	105268240	5	12862	41295.6336	3827.4816	236	1
2_MACS_peak_17751_lociStitched	chr22	26974839	26992241	2	12861	49052.7576	3128.8796	237	1
2_MACS_peak_23690_lociStitched	chr6	31694442	31709206	2	12810	79973.6352	3468.0636	238	1
1_MACS_peak_5756_lociStitched	chr12	4377742	4390544	1	12803	58402.724	2664.0962	239	1
4_MACS_peak_19124_lociStitched	chr3	101487694	101513251	4	12796	42324.9477	4505.6991	240	1
2_MACS_peak_2490_lociStitched	chr1	211743503	211756514	2	12789	24684.4692	3617.058	241	1
3_MACS_peak_10013_lociStitched	chr16	12052554	12071601	3	12660	69334.8894	3599.883	242	1
3_MACS_peak_14460_lociStitched	chr2	47526767	47550725	3	12607	84339.3474	4468.167	243	1
3_MACS_peak_30096_lociStitched	chrX	153232565	153252602	3	12603	40633.0323	1837.3929	244	1
3_MACS_peak_5574_lociStitched	chr11	122925935	122942065	3	12597	38684.579	2629.19	245	1
6_MACS_peak_5144_lociStitched	chr11	77146772	77171406	6	12571	27348.6668	4323.267	246	1
4_MACS_peak_12062_lociStitched	chr17	74476170	74498266	4	12555	49936.96	3857.9616	247	1
4_MACS_peak_4608_lociStitched	chr11	35183170	35205525	4	12551	33876.767	4115.5555	248	1
4_MACS_peak_12112_lociStitched	chr17	76163776	76184062	4	12539	34216.3962	3823.911	249	1
1_MACS_peak_2666_lociStitched	chr1	226839962	226852493	1	12532	72340.2099	4051.2723	250	1
2_MACS_peak_21813_lociStitched	chr5	32530318	32543943	2	12532	51580.1625	3024.75	251	1
2_MACS_peak_9149_lociStitched	chr15	56648168	56667006	2	12515	65710.7116	3247.6712	252	1
3_MACS_peak_14206_lociStitched	chr2	27293416	27310789	3	12511	19452.5481	2970.783	253	1
1_MACS_peak_390_lociStitched	chr1	27018318	27030805	1	12488	57462.6766	2765.8705	254	1
4_MACS_peak_13549_lociStitched	chr19	39920875	39939821	4	12445	24732.1084	3307.9716	255	1
3_MACS_peak_10973_lociStitched	chr17	7136621	7156728	3	12445	45689.1361	3583.0674	256	1
4_MACS_peak_13761_lociStitched	chr19	48880288	48902304	4	12412	39525.3248	4086.1696	257	1
3_MACS_peak_29387_lociStitched	chrX	39953253	39969355	3	12371	29207.4178	1091.7156	258	1
1_MACS_peak_23526_lociStitched	chr6	25402971	25415289	1	12319	105652.7178	3569.7564	259	1
