GENE_ID	locusLine	bin_1_RPMI8226.jin.bam
NM_003327	chr1(.):1141705-1154512	0.8093
NM_004195	chr1(.):1133887-1147089	1.2584
NR_029834	chr1(.):1098242-1108332	0.3437
NR_029957	chr1(.):1099384-1109467	0.3366
NM_001130413	chr1(.):1212488-1232409	0.1776
NM_194458	chr1(.):1184291-1214234	0.2909
NM_017871	chr1(.):1241964-1265046	0.6798
NM_004421	chr1(.):1265657-1289492	0.3889
NM_030649	chr1(.):1222763-1248269	0.6152
NM_001029885	chr1(.):1255142-1269276	0.492
NM_152228	chr1(.):1261725-1274844	0.154
NM_153339	chr1(.):1238993-1252057	1.0236
NM_002978	chr1(.):1212575-1232409	0.1777
NM_032348	chr1(.):1283070-1298915	0.5268
NM_080875	chr1(.):1545794-1570990	0.9868
NM_006983	chr1(.):1562559-1575030	0.7675
NM_014188	chr1(.):1472052-1515262	0.399
NR_002946	chr1(.):1563158-1575027	0.8022
NM_001170689	chr1(.):1546244-1570990	0.9507
NM_182838	chr1(.):1658680-1682431	0.4905
NR_002946	chr1(.):1626377-1638247	0.1347
NM_001198995	chr1(.):1677670-1695081	0.2965
NM_002074	chr1(.):1711728-1827495	0.3441
NM_138705	chr1(.):1841265-1853733	0.6121
NM_178545	chr1(.):1844028-1855740	0.6009
NM_001010926	chr1(.):2455183-2466684	0.3333
NR_026927	chr1(.):2476358-2489284	0.9445
NM_018216	chr1(.):2434974-2463035	0.1797
NM_001195741	chr1(.):2513188-2527908	0.6732
NR_036638	chr1(.):2512898-2527908	0.6602
NM_177540	chr1(.):6610337-6644817	0.3609
NM_005341	chr1(.):6635062-6654340	0.4144
NM_014851	chr1(.):6645783-6667929	0.7028
NM_153812	chr1(.):6668755-6689093	0.3372
NM_024654	chr1(.):6576406-6619658	0.1693
NM_001195752	chr1(.):6680209-6698642	0.181
NM_001195753	chr1(.):6679924-6698642	0.1798
NM_004753	chr1(.):12622938-12682820	0.2183
NM_001089591	chr1(.):16128656-16139194	0.0941
NR_024279	chr1(.):16155709-16179642	0.8908
NM_014675	chr1(.):17243444-17304474	0.1506
NM_001397	chr1(.):21538739-21621982	0.2425
NM_001113347	chr1(.):21538739-21611183	0.1172
NM_001113349	chr1(.):21538739-21621766	0.2403
NM_017707	chr1(.):23750055-23815750	0.1307
NM_002167	chr1(.):23879408-23891322	0.458
NM_001031680	chr1(.):25221001-25296501	0.2359
NM_004350	chr1(.):25221001-25261770	0.2765
NM_006015	chr1(.):27017521-27113601	0.4745
NM_014280	chr1(.):28521789-28564542	0.1735
NM_016311	chr1(.):28557610-28569611	0.4438
NM_031459	chr1(.):28581005-28614002	0.2551
NR_003109	chr1(.):28874528-28910057	0.1958
NM_001269	chr1(.):28839744-28870708	0.2729
NM_006762	chr1(.):31200314-31235683	0.5125
NM_005202	chr1(.):36555843-36570850	0.1123
NM_018067	chr1(.):36616802-36651441	0.3574
NM_014408	chr1(.):36597172-36620067	0.3137
NM_032881	chr1(.):36854030-36868493	0.2475
NM_001198979	chr1(.):40854016-40893998	0.1157
NM_001198978	chr1(.):40835304-40893998	0.3471
NM_001198980	chr1(.):40857471-40893998	0.1066
NM_022733	chr1(.):40834377-40893998	0.3422
NM_001956	chr1(.):41939445-41955344	0.7229
NM_004073	chr1(.):45261035-45276667	1.9476
NM_001013632	chr1(.):45266585-45277957	2.077
NM_001136537	chr1(.):45269153-45284801	1.5633
NR_001456	chr1(.):45238513-45248584	0.9533
NR_001457	chr1(.):45239061-45249130	0.9576
NM_153274	chr1(.):45244256-45258426	0.1812
NM_003738	chr1(.):45282937-45313616	0.2514
NM_001012	chr1(.):45236245-45249412	0.7459
NR_000024	chr1(.):45237163-45247261	0.933
NR_000015	chr1(.):45236536-45246610	0.9355
NR_026768	chr1(.):46106451-46117357	0.108
NM_016486	chr1(.):46148846-46165108	0.5872
NM_006004	chr1(.):46764379-46787447	0.4193
NM_006369	chr1(.):46739071-46774038	0.3074
NM_199044	chr1(.):46801389-46835690	0.2345
NM_014372	chr1(.):51696944-51744119	0.2319
NM_015696	chr1(.):53063042-53079723	0.6947
NM_001042693	chr1(.):53094065-53127737	0.4715
NM_004974	chr1(.):111140775-111153345	0.0628
NM_002232	chr1(.):111209309-111222655	0.267
NM_017709	chr1(.):118143603-118176011	0.8203
NM_207418	chr1(.):143891451-143918143	0.2937
NM_032305	chr1(.):145451235-145475387	0.6351
NM_202004	chr1(.):145408190-145422545	0.1414
NM_006472	chr1(.):145433461-145447628	0.8268
NM_001039888	chr1(.):145465507-145480647	0.4142
NM_001161334	chr1(.):149749244-149788928	0.2026
NM_001034077	chr1(.):149799220-149809616	0.7173
NM_001005464	chr1(.):149807258-149817765	1.437
NM_001040874	chr1(.):149808784-149819318	1.4465
NM_001123375	chr1(.):149779779-149790236	0.4107
NM_005850	chr1(.):149890210-149904702	0.2444
NM_016074	chr1(.):149866154-149877348	0.151
NM_003528	chr1(.):149851009-149863232	1.3625
NM_003517	chr1(.):149853524-149863961	1.5795
NM_175065	chr1(.):149854018-149864466	1.5706
NM_014849	chr1(.):149869871-149894434	0.1222
NM_181873	chr1(.):149895542-149913266	0.2692
NM_001145862	chr1(.):149895542-149913791	0.2626
NR_036461	chr1(.):149816758-149827340	1.5048
NM_001040874	chr1(.):149817627-149828161	1.5112
NM_001005464	chr1(.):149819180-149829687	1.5121
NM_001034077	chr1(.):149827329-149837725	0.7616
NM_004698	chr1(.):150288927-150330704	0.136
NM_019032	chr1(.):150516897-150538412	0.5611
NM_207046	chr1(.):150589598-150606609	0.367
NR_036211	chr1(.):150519404-150529490	0.2303
NM_001197320	chr1(.):150542026-150557214	0.4751
NM_001163258	chr1(.):150964300-150985854	0.3754
NM_181746	chr1(.):150932648-150952440	0.4553
NM_003568	chr1(.):150949498-150973114	0.2726
NM_001163260	chr1(.):150964300-150984273	0.3978
NM_001040217	chr1(.):150964300-150984385	0.3963
NM_138278	chr1(.):151004028-151025076	0.1234
NM_017860	chr1(.):151015258-151028871	0.1317
NM_020452	chr1(.):154295275-154328780	0.4323
NM_001005855	chr1(.):154293035-154315322	0.5801
NM_080429	chr1(.):154288591-154302801	0.8247
NM_006556	chr1(.):154892207-154914484	0.9175
NM_005227	chr1(.):155031212-155047029	0.2754
NM_001130041	chr1(.):154929773-154951959	0.8114
NM_001130040	chr1(.):154929773-154948223	0.8756
NM_201398	chr1(.):154950769-154970587	0.3275
NM_015872	chr1(.):154970111-154995999	1.8474
NM_207196	chr1(.):155018761-155040252	0.4699
NM_018655	chr1(.):154961061-154971791	0.3944
NM_001143687	chr1(.):155001281-155028406	0.4102
NR_024163	chr1(.):154942117-154956725	0.8719
NM_144622	chr1(.):154986002-155011257	0.8504
NM_138300	chr1(.):154924501-154939258	0.812
NR_036212	chr1(.):154943168-154953259	0.9642
NM_001018017	chr1(.):155153299-155167700	1.601
NM_198883	chr1(.):155173489-155188624	0.5712
NM_018973	chr1(.):155107366-155117883	0.6921
NM_153741	chr1(.):155107366-155117996	0.686
NM_173852	chr1(.):155136883-155150804	0.3439
NM_007112	chr1(.):155160378-155182690	0.8682
NM_001122837	chr1(.):155103287-155116334	0.6151
NM_025058	chr1(.):155141359-155162445	0.8696
NR_030281	chr1(.):155159967-155170063	1.094
NM_001005742	chr1(.):155199238-155219653	0.2499
NM_001171812	chr1(.):155199238-155216066	0.2658
NM_000157	chr1(.):155199238-155216069	0.2658
NM_001162384	chr1(.):155911629-155953336	0.54
NM_181885	chr1(.):155906479-155917625	0.7128
NM_004723	chr1(.):155911629-155952966	0.5431
NM_014949	chr1(.):155877835-155909188	0.2271
NM_001093725	chr1(.):156036803-156056789	0.1659
NM_003145	chr1(.):155973838-155995758	0.2561
NM_022367	chr1(.):156118321-156152542	0.276
NM_001193302	chr1(.):156118368-156152542	0.2762
NM_001193301	chr1(.):156114734-156152542	0.2817
NM_005920	chr1(.):156428518-156475529	0.6724
NM_004494	chr1(.):156706898-156726543	0.7697
NM_001126051	chr1(.):156706898-156727024	0.7527
NM_001126050	chr1(.):156706898-156727240	0.7447
NM_030980	chr1(.):156687412-156702705	0.4829
NM_001878	chr1(.):156664407-156680375	0.1647
NM_001142560	chr1(.):156693262-156711752	0.5265
NM_145729	chr1(.):156702093-156715923	0.2787
NR_001560	chr1(.):157093153-157103463	0.1401
NM_005240	chr1(.):157097975-157113177	0.3499
NM_001145312	chr1(.):157089458-157113383	0.2725
NM_198053	chr1(.):167394876-167492847	0.1812
NM_003851	chr1(.):167505250-167528056	0.6054
NM_016545	chr1(.):181052637-181064979	0.5046
NM_017596	chr1(.):200933519-200997828	0.3849
NM_198149	chr1(.):201852804-201866715	0.4882
NR_030775	chr1(.):201852796-201866715	0.4885
NR_034150	chr1(.):203262885-203279453	1.3771
NM_006763	chr1(.):203269663-203283729	1.2461
NM_002023	chr1(.):203304751-203325289	0.1419
NM_014858	chr1(.):205192037-205247471	0.5789
NM_030952	chr1(.):205266190-205295883	0.3275
NM_182665	chr1(.):206725491-206767616	0.5811
NM_001185157	chr1(.):207065787-207082484	0.136
NM_002644	chr1(.):207096866-207124811	0.1906
NM_001170631	chr1(.):207126311-207148970	0.155
NM_001136224	chr1(.):211427707-211494725	0.239
NM_018254	chr1(.):211428288-211494725	0.2402
NM_001136225	chr1(.):211427707-211491655	0.2461
NM_153606	chr1(.):212792788-212805120	0.1333
NM_001030287	chr1(.):212733696-212799116	0.3742
NM_001674	chr1(.):212776993-212799116	0.6769
NM_020997	chr1(.):226068981-226081836	0.8251
NM_014698	chr1(.):226028232-226075420	0.4849
NM_001172425	chr1(.):226119297-226134083	0.7794
NM_013328	chr1(.):226102579-226116965	0.6208
NM_182972	chr1(.):234735014-234750271	3.1382
NR_033927	chr1(.):234760056-234775526	0.119
NM_031844	chr1(.):245008601-245032827	0.7081
NM_198076	chr1(.):244993638-245013359	0.84
NR_026778	chr1(.):244998939-245015243	0.2582
NM_024080	chr2(.):234821042-234933166	0.1235
NM_134421	chr2(.):10438825-10572743	0.2522
NM_002149	chr2(.):10438039-10572743	0.2523
NM_020458	chr2(.):47163312-47308275	0.3574
NR_033872	chr2(.):70184394-70319147	0.2753
NM_001145873	chr2(.):87006727-87040519	0.1624
NM_016466	chr2(.):97508723-97528756	0.2986
NR_015395	chr2(.):112119590-112257692	0.4726
NR_024373	chr2(.):112181885-112257692	0.7668
NM_001099289	chr2(.):109740996-110267207	0.1795
NM_005270	chr2(.):121549866-121755229	0.1869
NM_001037131	chr2(.):236397735-237039120	0.0846
NM_145693	chr2(.):11881739-11972533	0.2154
NM_052920	chr2(.):23603297-23936483	0.122
NM_022893	chr2(.):60679328-60785633	0.1966
NM_018014	chr2(.):60673301-60785633	0.1896
NM_000945	chr2(.):68400988-68484651	0.2162
NM_144579	chr2(.):73164164-73303965	0.0991
NR_024204	chr2(.):87749973-87826030	0.6591
NM_020151	chr2(.):96845602-96879573	0.2528
NM_001122646	chr2(.):97536618-97657301	0.1888
NM_004027	chr2(.):99056320-99212496	0.3481
NM_001566	chr2(.):99056320-99203284	0.3655
NM_001142352	chr2(.):107424531-107508563	0.2146
NM_032528	chr2(.):107413055-107508563	0.1974
NM_001142351	chr2(.):107413055-107507610	0.1988
NM_001142807	chr2(.):111485149-111880799	0.17
NM_017694	chr2(.):191268080-191372041	0.1888
NM_001228	chr2(.):202093165-202157434	0.244
NM_003879	chr2(.):201975889-202034003	0.4251
NM_001127184	chr2(.):201975815-202011323	0.6291
NM_173822	chr2(.):201833440-201941392	0.0959
NM_033358	chr2(.):202093165-202151638	0.2621
NM_003709	chr2(.):207940528-208035614	0.299
NM_017844	chr2(.):241413838-241502405	0.1082
NM_001195381	chr2(.):241539824-241575676	0.0687
NM_005301	chr2(.):241559661-241575676	0.0933
NM_001037160	chr2(.):10191925-10225538	0.147
NM_182626	chr2(.):10276508-10356856	0.0818
NM_001165931	chr2(.):10257694-10276546	0.5915
NM_001034	chr2(.):10257862-10276546	0.5963
NM_002539	chr2(.):10575507-10593453	0.5437
NR_028374	chr2(.):10581839-10591975	0.876
NR_026766	chr2(.):16075019-16086845	0.478
NM_005378	chr2(.):16075682-16092129	0.3719
NM_002997	chr2(.):20395557-20429927	1.2639
NM_001006946	chr2(.):20395557-20430194	1.2543
NM_004040	chr2(.):20641834-20654201	0.3478
NM_178553	chr2(.):27354714-27367332	0.8651
NM_001166239	chr2(.):27318461-27346773	0.1363
NM_001166240	chr2(.):27317220-27346995	0.1433
NM_013388	chr2(.):27348624-27362542	0.8207
NM_001166241	chr2(.):27317220-27338970	0.1125
NM_032604	chr2(.):27341656-27358680	0.7175
NM_175769	chr2(.):27366944-27380819	1.0019
NM_080592	chr2(.):27429898-27445046	0.5621
NM_001170795	chr2(.):27430218-27445046	0.5717
NM_004341	chr2(.):27435257-27471654	0.1939
NM_021095	chr2(.):27417454-27440175	0.304
NM_005253	chr2(.):28610778-28642516	0.4116
NM_006887	chr2(.):43444540-43458745	1.6334
NR_027251	chr2(.):43449349-43460994	1.3743
NM_001171508	chr2(.):47124008-47173994	0.2933
NM_001111101	chr2(.):68506302-68552183	0.3303
NM_006196	chr2(.):70309584-70321334	2.0687
NR_024444	chr2(.):70346167-70357448	0.6065
NM_015470	chr2(.):73295509-73345146	0.3993
NM_015425	chr2(.):86248450-86338278	0.3005
NR_026984	chr2(.):86242338-86255991	0.1121
NM_001768	chr2(.):87006727-87023837	0.0703
NM_172213	chr2(.):87037459-87094047	0.8345
NM_004931	chr2(.):87063688-87094047	1.4272
NR_015424	chr2(.):89060418-89111109	0.1419
NM_002371	chr2(.):95686478-95724735	0.5281
NM_001193304	chr2(.):96910945-96936751	0.3608
NM_001037228	chr2(.):96900976-96912701	0.7436
NM_004804	chr2(.):96926883-96944900	0.2532
NR_026875	chr2(.):97158382-97178846	0.0933
NM_212481	chr2(.):97197463-97223371	0.7789
NM_144994	chr2(.):97498650-97514758	0.2011
NM_017789	chr2(.):97520472-97540735	0.5938
NM_001172667	chr2(.):97536618-97565899	0.4421
NM_016490	chr2(.):97536618-97568870	0.4129
NM_001144013	chr2(.):107016135-107089801	0.0787
NM_006538	chr2(.):111873490-111931022	0.3012
NM_207002	chr2(.):111873490-111891423	0.75
NM_001006622	chr2(.):128515059-128573761	0.1487
NM_004805	chr2(.):128598839-128620729	0.1426
NR_037450	chr2(.):134879695-134889763	2.1596
NM_006186	chr2(.):157175943-157194287	0.5267
NM_001172712	chr2(.):174766186-174835430	0.2471
NM_001017371	chr2(.):174766186-174833947	0.251
NM_002491	chr2(.):201931461-201955473	0.147
NM_001127183	chr2(.):201978386-202033841	0.4398
NM_033356	chr2(.):202120222-202157434	0.2906
NM_001080125	chr2(.):202117753-202157434	0.2825
NM_006139	chr2(.):204566197-204607557	0.4176
NR_036227	chr2(.):207969710-207979797	0.0967
NM_182642	chr2(.):219259813-219274148	0.6984
NM_198559	chr2(.):219216578-219237817	0.1206
NM_021198	chr2(.):219259477-219275664	0.6228
NM_000578	chr2(.):219241751-219266617	0.4315
NR_029500	chr2(.):219262368-219272445	0.7047
NM_007127	chr2(.):219278837-219319248	0.0694
NM_001099285	chr2(.):232568234-232583250	1.2385
NR_036052	chr2(.):232573023-232583105	0.8536
NM_023083	chr2(.):241521132-241543526	0.48
NM_001033575	chr2(.):241494470-241508431	0.893
NM_018226	chr2(.):241503103-241523143	0.7548
NM_001167599	chr2(.):242747029-242763739	0.0772
NM_005018	chr2(.):242787032-242806058	0.3775
NM_173821	chr2(.):242806885-242820482	0.0782
NM_001042400	chr3(.):134199896-134288870	0.1661
NM_025180	chr3(.):134200046-134288870	0.1661
NM_001042383	chr3(.):134199574-134288870	0.1659
NM_001042384	chr3(.):134199574-134298855	0.1578
NM_003549	chr3(.):50325261-50341899	0.6038
NM_014674	chr3(.):5224358-5266650	0.5327
NM_001683	chr3(.):10360706-10552268	0.2277
NR_027007	chr3(.):9425536-9444174	0.5325
NM_005862	chr3(.):136050998-136476245	0.1053
NM_207294	chr3(.):152012193-152188569	0.18
NM_021038	chr3(.):151980828-152188568	0.2632
NM_207015	chr3(.):174572110-175528428	0.1284
NM_001135095	chr3(.):171753343-172123492	0.2032
NM_022763	chr3(.):171752417-172123492	0.2034
NM_001134382	chr3(.):12933718-13119617	0.2346
NM_024923	chr3(.):13352736-13466809	0.2701
NM_014869	chr3(.):12933718-13013960	0.0786
NM_144636	chr3(.):14148576-14171371	0.8196
NM_001018009	chr3(.):15291356-15387901	0.2887
NM_004844	chr3(.):15291356-15379104	0.2628
NM_152536	chr3(.):14855468-14981072	0.3642
NM_001144382	chr3(.):16921451-17137098	0.1294
NM_033027	chr3(.):39178341-39200102	0.751
NM_001171172	chr3(.):39299984-39326930	0.5809
NM_001171171	chr3(.):39299984-39327764	0.567
NM_001171174	chr3(.):39299984-39328226	0.5591
NM_025222	chr3(.):52283437-52317659	0.3329
NM_001128840	chr3(.):53524030-53851492	0.135
NM_001128615	chr3(.):56756445-57118336	0.1422
NM_032343	chr3(.):126418117-126684244	0.1287
NM_007283	chr3(.):127402908-127546701	0.2091
NM_001003794	chr3(.):127402908-127547051	0.2086
NM_001080412	chr3(.):141038054-141173632	0.5763
NM_016275	chr3(.):150316065-150353234	0.435
NM_005067	chr3(.):150453909-150486263	0.6808
NM_001190242	chr3(.):159969773-160106554	0.1006
NM_001190241	chr3(.):159969773-160122320	0.1747
NM_024665	chr3(.):176733541-176920048	0.2691
NM_001007225	chr3(.):185356526-185547827	0.1226
NM_015453	chr3(.):9399716-9433475	0.1299
NM_001080517	chr3(.):9434402-9524838	0.186
NR_030614	chr3(.):10431172-10441246	1.0203
NM_024334	chr3(.):14161439-14190180	0.6276
NM_001134368	chr3(.):14439105-14494693	0.2609
NM_181472	chr3(.):32428162-32501333	0.4832
NM_031899	chr3(.):39133090-39154130	0.2893
NM_145755	chr3(.):39144151-39185394	0.2047
NM_194293	chr3(.):39219706-39239077	0.3376
NM_001337	chr3(.):39299984-39326527	0.5866
NM_001198621	chr3(.):39219705-39239085	0.3375
NM_005201	chr3(.):39366196-39380171	0.0592
NM_001295	chr3(.):46238199-46254832	0.7083
NM_001837	chr3(.):46278871-46313197	0.0717
NM_003965	chr3(.):46443720-46456014	0.1728
NM_001199149	chr3(.):46472495-46510161	0.0991
NM_002343	chr3(.):46472495-46511598	0.0984
NM_001100168	chr3(.):46406632-46422697	0.2182
NM_001130910	chr3(.):46444048-46456014	0.1775
NM_003212	chr3(.):46614075-46628952	0.084
NM_001174136	chr3(.):46611044-46628952	0.0816
NM_024512	chr3(.):46551877-46613011	0.3735
NM_031440	chr3(.):46534484-46547439	0.8792
NM_006764	chr3(.):50320162-50335026	0.4469
NM_153282	chr3(.):50332319-50346004	0.3226
NM_153281	chr3(.):50332319-50354812	0.2244
NM_007275	chr3(.):50357340-50370668	0.5887
NM_012191	chr3(.):50328832-50341712	0.7212
NM_003773	chr3(.):50350220-50365281	0.415
NM_006545	chr3(.):50379918-50393486	0.2697
NM_007182	chr3(.):50362216-50383367	0.6691
NM_007022	chr3(.):50383296-50396496	0.2935
NM_007024	chr3(.):50387179-50401939	0.3384
NM_015896	chr3(.):50373536-50388156	0.7847
NM_170712	chr3(.):50362216-50380664	0.7506
NM_170713	chr3(.):50362216-50379895	0.7762
NM_016173	chr3(.):50601908-50627421	0.1595
NM_001171743	chr3(.):50590455-50610223	0.1876
NM_013324	chr3(.):50638884-50654262	0.6008
NM_001171741	chr3(.):50590455-50613458	0.1718
NM_004635	chr3(.):50649600-50691719	0.1564
NM_017442	chr3(.):52250097-52265179	0.826
NM_199166	chr3(.):52227115-52253343	0.1796
NM_007284	chr3(.):52257625-52278183	0.8827
NM_144641	chr3(.):52275224-52289615	0.3148
NM_000688	chr3(.):52227143-52253343	0.1797
NR_026699	chr3(.):52316835-52334272	0.368
NR_029660	chr3(.):52297293-52307377	0.2024
NM_006100	chr3(.):98446571-98518236	0.4306
NM_000539	chr3(.):129242481-129259187	0.1522
NM_153833	chr3(.):129257056-129275204	0.1376
NM_015103	chr3(.):129269055-129330582	0.4118
NR_024401	chr3(.):134191545-134209831	0.5431
NR_024400	chr3(.):134191545-134209865	0.5421
NM_015391	chr3(.):134191545-134209863	0.5421
NM_001145417	chr3(.):135862759-135918310	0.301
NM_018133	chr3(.):135862759-135919688	0.2962
NM_014779	chr3(.):150121787-150182615	0.3129
NR_027037	chr3(.):151975404-151992415	0.951
NM_002886	chr3(.):152875028-152891263	1.1428
NR_034008	chr3(.):156802669-156823924	1.2022
NR_034007	chr3(.):156794455-156845791	0.637
NM_173084	chr3(.):160148290-160172626	0.2305
NR_029663	chr3(.):160117375-160127473	1.051
NM_005496	chr3(.):160113346-160157741	0.3782
NM_001002800	chr3(.):160112429-160157741	0.3728
NR_029525	chr3(.):160117532-160127613	0.9852
NM_014687	chr3(.):197393258-197468773	0.2428
NM_001145642	chr3(.):197393313-197481568	0.2661
NR_027840	chr3(.):197472260-197516317	0.1724
NM_032288	chr3(.):197471623-197516317	0.1704
NM_001011537	chr3(.):197471423-197516317	0.17
NM_001017405	chr4(.):1278671-1338925	0.0728
NR_033182	chr4(.):1160639-1207634	0.2421
NM_001199021	chr4(.):1155720-1207750	0.2349
NM_024900	chr4(.):129725778-129790787	0.1548
NM_199320	chr4(.):129725778-129801379	0.1373
NM_201999	chr4(.):139973870-140065606	0.0937
NM_001131034	chr4(.):1060265-1112352	0.0809
NR_033768	chr4(.):1103984-1121952	0.0619
NM_012445	chr4(.):1155720-1171657	0.2662
NM_001128325	chr4(.):1155720-1171999	0.264
NR_033339	chr4(.):1238227-1251795	0.8469
NM_001012614	chr4(.):1200227-1247908	0.3982
NR_026892	chr4(.):7750816-7785654	0.2454
NM_182485	chr4(.):14999297-15076777	0.166
NM_031889	chr4(.):71489460-71517536	0.055
NM_144646	chr4(.):71516257-71537348	0.5426
NM_020368	chr4(.):71549195-71561268	0.2226
NM_014961	chr4(.):71582695-71664274	0.0536
NM_001130709	chr4(.):71565653-71660614	0.0822
NM_015071	chr5(.):142145291-142613572	0.1854
NM_020928	chr5(.):60623099-60846999	0.1636
NM_015315	chr5(.):154087461-154202163	0.2221
NM_001044	chr5(.):1387904-1450543	0.2033
NM_007118	chr5(.):14138828-14514458	0.2605
NM_001113561	chr5(.):63456670-63673696	0.2661
NM_006633	chr5(.):75694148-76008957	0.1769
NR_027435	chr5(.):90671163-90721532	0.2954
NM_001163315	chr5(.):107189733-107722799	0.0902
NM_001085377	chr5(.):112352795-112829527	0.1414
NM_005460	chr5(.):121642819-121804794	0.1256
NM_001020825	chr5(.):142652495-142788254	0.1932
NM_001018076	chr5(.):142652495-142789045	0.1923
NM_001018075	chr5(.):142652495-142820077	0.1687
NM_003714	chr5(.):172736725-172761506	0.3044
NM_198567	chr5(.):175660369-175777990	0.0879
NM_133369	chr5(.):176232559-176312899	0.3326
NM_002406	chr5(.):180212540-180235048	0.4218
NM_001114619	chr5(.):180212540-180235902	0.4161
NM_001114618	chr5(.):180212540-180241817	0.5186
NM_001114617	chr5(.):180212540-180242137	0.5136
NM_052909	chr5(.):135372-195087	0.338
NM_145265	chr5(.):199874-223297	0.4525
NM_001080478	chr5(.):186625-200468	1.1152
NM_004168	chr5(.):213355-261814	0.2648
NM_033120	chr5(.):1004167-1043925	0.4954
NM_006598	chr5(.):1045488-1117172	0.2154
NM_001193376	chr5(.):1248286-1300162	0.1586
NM_030782	chr5(.):1312999-1350002	0.5255
NR_034127	chr5(.):43060288-43072073	0.6472
NM_001014279	chr5(.):43034181-43045447	1.1006
NR_034085	chr5(.):43011149-43023913	0.6188
NR_015447	chr5(.):43037235-43050370	0.954
NR_034086	chr5(.):43009830-43023913	0.6913
NM_005921	chr5(.):56105899-56196978	0.3208
NM_178532	chr5(.):63456670-63518339	0.7158
NM_020801	chr5(.):90659540-90684149	0.5115
NR_033175	chr5(.):109213882-109226200	0.1147
NM_032028	chr5(.):112763250-112775728	0.1496
NR_036052	chr5(.):118305280-118315362	0.0853
NM_002198	chr5(.):131812300-131831465	0.4656
NM_001013717	chr5(.):131741672-131803059	0.6819
NM_000879	chr5(.):131872135-131884214	0.0815
NM_080656	chr5(.):133732755-133752598	0.2071
NM_015288	chr5(.):133856797-133923918	0.2613
NM_016480	chr5(.):138672518-138710409	0.1451
NM_194296	chr5(.):138727455-138744776	0.7627
NM_152686	chr5(.):138740891-138780214	0.2513
NM_152685	chr5(.):138697884-138724039	0.2052
NM_001033112	chr5(.):138673133-138710409	0.1465
NM_001161546	chr5(.):138722634-138735885	1.8281
NM_016459	chr5(.):138718256-138730605	2.0271
NM_016463	chr5(.):139023300-139067680	0.4035
NM_004417	chr5(.):172190092-172203203	1.3805
NR_036494	chr5(.):175565087-175631298	0.2911
NR_031598	chr5(.):179220277-179230346	0.2688
NM_145867	chr5(.):179215985-179228513	0.2299
