GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
NM_022152	chr2(.):219133916-219162280	0.8483
NM_001012514	chr2(.):231724620-231748963	1.3658
NM_145693	chr2(.):11881739-11972533	1.027
NM_005813	chr2(.):37472645-37549222	0.9378
NM_006449	chr2(.):37865742-37904326	0.4658
NM_019063	chr2(.):42391489-42564688	0.1278
NM_012249	chr2(.):46764866-46816827	0.5829
NM_022893	chr2(.):60679328-60785633	0.161
NM_018014	chr2(.):60673301-60785633	0.1659
NM_014755	chr2(.):64853754-64886046	0.9193
NR_036586	chr2(.):65123973-65164581	1.1702
NM_002398	chr2(.):66657531-66804891	0.1852
NR_027749	chr2(.):74705199-74726691	0.5017
NM_003896	chr2(.):86061270-86121157	0.3709
NM_004836	chr2(.):88851258-88932094	0.4118
NM_020151	chr2(.):96845602-96879573	0.3619
NM_004027	chr2(.):99056320-99212496	1.1321
NM_001566	chr2(.):99056320-99203284	1.1945
NM_002410	chr2(.):135006829-135211468	0.1808
NR_024415	chr2(.):192537797-192558248	1.0661
NM_001031716	chr2(.):192537860-192558248	1.0693
NM_004226	chr2(.):196993306-197041336	0.4846
NM_153697	chr2(.):197959194-198180521	0.2221
NM_001195144	chr2(.):197846385-198180521	0.1737
NM_001228	chr2(.):202093165-202157434	0.8838
NM_003879	chr2(.):201975889-202034003	1.3801
NM_001127184	chr2(.):201975815-202011323	2.1093
NM_173822	chr2(.):201833440-201941392	0.1881
NM_033358	chr2(.):202093165-202151638	0.9624
NM_001167608	chr2(.):227695670-227868923	0.2279
NM_022730	chr2(.):232646161-232678434	0.1646
NM_005737	chr2(.):235396685-235410693	0.3555
NM_001137551	chr2(.):238595806-238695290	0.2441
NM_001137550	chr2(.):238531223-238695290	0.1772
NM_017844	chr2(.):241413838-241502405	0.1193
NM_001195381	chr2(.):241539824-241575676	0.0341
NM_002166	chr2(.):8817112-8829583	0.507
NM_002997	chr2(.):20395557-20429927	2.2345
NM_001006946	chr2(.):20395557-20430194	2.2182
NM_004040	chr2(.):20641834-20654201	0.462
NM_178553	chr2(.):27354714-27367332	0.5525
NM_007046	chr2(.):27296434-27314265	0.8555
NM_001166239	chr2(.):27318461-27346773	0.101
NM_001166240	chr2(.):27317220-27346995	0.1051
NM_013388	chr2(.):27348624-27362542	0.5283
NM_006488	chr2(.):27304610-27328619	0.407
NM_001035507	chr2(.):27269490-27287403	0.5012
NM_021831	chr2(.):27269490-27298490	0.5584
NM_001166241	chr2(.):27317220-27338970	0.0913
NM_032604	chr2(.):27341656-27358680	0.4737
NM_175769	chr2(.):27366944-27380819	0.3852
NM_001134693	chr2(.):27288341-27299567	0.6705
NM_080592	chr2(.):27429898-27445046	1.1875
NM_001170795	chr2(.):27430218-27445046	1.2113
NM_021095	chr2(.):27417454-27440175	0.5554
NM_001145122	chr2(.):31390921-31445411	0.1887
NM_012413	chr2(.):37566752-37605465	2.2756
NM_138370	chr2(.):42270160-42290668	0.0807
NM_006887	chr2(.):43444540-43458745	3.4312
NR_027251	chr2(.):43449349-43460994	2.4901
NM_080653	chr2(.):46733985-46752096	0.0452
NM_173074	chr2(.):46803412-46849251	0.1517
NM_014171	chr2(.):46839324-46857881	0.2428
NM_001171507	chr2(.):47124008-47148251	0.2238
NM_001171506	chr2(.):47124008-47148007	0.226
NM_001171508	chr2(.):47124008-47173994	0.4708
NR_034023	chr2(.):64829445-64848616	0.1435
NM_001193493	chr2(.):65210578-65256000	0.7299
NM_003038	chr2(.):65211494-65256000	0.7432
NM_181784	chr2(.):65532984-65664656	0.2608
NM_001128210	chr2(.):65532984-65598931	0.1188
NM_006196	chr2(.):70309584-70321334	6.6425
NR_024444	chr2(.):70346167-70357448	0.8891
NM_053050	chr2(.):74694108-74704927	0.6419
NM_032779	chr2(.):74694958-74715357	0.8032
NM_001146158	chr2(.):74683183-74697537	0.9079
NM_001015056	chr2(.):74647987-74672710	0.1799
NM_012477	chr2(.):74680576-74693010	1.1212
NM_001145054	chr2(.):74636302-74649844	0.2523
NM_001015055	chr2(.):74647987-74674060	0.1733
NM_031288	chr2(.):74677198-74690087	0.7348
NM_032118	chr2(.):74643884-74657882	0.2344
NM_016170	chr2(.):74736595-74749275	0.0639
NM_001009812	chr2(.):74719643-74735443	0.7569
NM_032673	chr2(.):74727169-74739821	0.9063
NR_024606	chr2(.):74724743-74737192	0.9437
NM_001042437	chr2(.):86061271-86099793	0.3146
NM_015425	chr2(.):86248450-86338278	0.8612
NM_017952	chr2(.):86328304-86374280	0.4771
NR_026984	chr2(.):86242338-86255991	0.1168
NM_001193304	chr2(.):96910945-96936751	0.6334
NM_001037228	chr2(.):96900976-96912701	0.7995
NM_004804	chr2(.):96926883-96944900	0.4023
NR_026875	chr2(.):97158382-97178846	0.1695
NM_212481	chr2(.):97197463-97223371	1.9629
NR_024275	chr2(.):135201959-135217192	0.1057
NM_006186	chr2(.):157175943-157194287	0.727
NM_004288	chr2(.):158266130-158305604	0.8483
NM_002610	chr2(.):173415778-173468862	0.5558
NM_002491	chr2(.):201931461-201955473	0.4752
NM_001127183	chr2(.):201978386-202033841	1.4424
NM_032974	chr2(.):202042620-202099110	0.5787
NM_001230	chr2(.):202042620-202091383	0.4918
NM_033356	chr2(.):202120222-202157434	1.0637
NM_001080125	chr2(.):202117753-202157434	1.0347
NM_001077194	chr2(.):219120737-219133582	0.2374
NM_001087	chr2(.):219123851-219139893	0.3854
NM_022572	chr2(.):219182901-219216516	0.0769
NM_017431	chr2(.):219682105-219701512	0.0576
NM_025216	chr2(.):219740254-219763651	1.5475
NM_006522	chr2(.):219719545-219743954	0.1062
NM_006000	chr2(.):220110000-220123638	0.9072
NM_001042410	chr2(.):220089609-220106391	0.4597
NR_026909	chr2(.):220105200-220120059	0.867
NM_018089	chr2(.):220089478-220106391	0.4582
NR_003063	chr2(.):220112964-220141910	0.3472
NM_005689	chr2(.):220069493-220088672	0.4537
NM_024085	chr2(.):220079101-220099361	0.5335
NM_006736	chr2(.):220139039-220156622	0.4336
NM_138802	chr2(.):220066537-220079370	0.3962
NM_024506	chr2(.):220096502-220115131	0.3604
NM_001008910	chr2(.):220105191-220120059	0.8665
NR_029688	chr2(.):220153832-220163922	0.1655
NM_005544	chr2(.):227591032-227668506	0.2683
NM_001099285	chr2(.):232568234-232583250	1.8253
NM_002601	chr2(.):232592146-232650974	0.0943
NR_036052	chr2(.):232573023-232583105	0.7889
NR_031717	chr2(.):232751951-232762008	0.0252
NM_004735	chr2(.):238595806-238679558	0.281
NM_022817	chr2(.):239147678-239202207	0.2154
NR_026923	chr2(.):239135326-239147985	0.072
NM_001142853	chr2(.):239141907-239153681	0.1685
NR_026926	chr2(.):239128753-239145318	0.0523
NM_023083	chr2(.):241521132-241543526	0.5355
NM_001033575	chr2(.):241494470-241508431	1.2852
NM_018226	chr2(.):241503103-241523143	0.7134
NM_003549	chr3(.):50325261-50341899	0.6091
NM_014674	chr3(.):5224358-5266650	1.2413
NM_016128	chr3(.):128963452-129001616	0.7767
NM_003571	chr3(.):133113789-133199056	0.7406
NM_207294	chr3(.):152012193-152188569	0.1329
NM_021038	chr3(.):151980828-152188568	0.2171
NM_001135095	chr3(.):171753343-172123492	0.28
NM_022763	chr3(.):171752417-172123492	0.2799
NM_181361	chr3(.):178249223-178567217	0.1023
NM_001134382	chr3(.):12933718-13119617	0.4995
NM_014869	chr3(.):12933718-13013960	0.0977
NM_144636	chr3(.):14148576-14171371	1.4393
NM_003884	chr3(.):20076523-20200896	0.2223
NM_182666	chr3(.):23842438-23937807	0.2304
NM_001024847	chr3(.):30642993-30740633	0.3049
NM_001123396	chr3(.):46390234-46405868	0.752
NM_001174051	chr3(.):50395230-50545892	0.1013
NM_181042	chr3(.):52574367-52718739	0.0979
NM_018313	chr3(.):52574367-52724866	0.1599
NM_015541	chr3(.):66424220-66555845	0.159
NM_007114	chr3(.):69063977-69106484	0.1938
NM_001009899	chr3(.):113362232-113420493	0.1339
NM_001690	chr3(.):113460865-113535905	0.3365
NM_002213	chr3(.):124476794-124611144	0.5668
NM_001134422	chr3(.):133287433-133314118	0.9961
NM_001134423	chr3(.):133288300-133314118	1.0284
NM_006506	chr3(.):141200925-141336197	0.1838
NM_001080412	chr3(.):141038054-141173632	2.7645
NM_016275	chr3(.):150316065-150353234	0.5937
NM_001190242	chr3(.):159969773-160106554	0.0956
NM_001190241	chr3(.):159969773-160122320	0.3186
NM_024665	chr3(.):176733541-176920048	0.356
NM_005832	chr3(.):178271617-178567217	0.093
NM_130446	chr3(.):183200318-183278499	1.3806
NM_173216	chr3(.):186643314-186801341	0.7781
NM_003032	chr3(.):186734664-186801341	0.9685
NM_005524	chr3(.):193848933-193861396	1.6532
NM_003670	chr3(.):5016096-5031865	1.0868
NM_024334	chr3(.):14161439-14190180	1.189
NR_027694	chr3(.):20016452-20058765	0.0612
NM_001295	chr3(.):46238199-46254832	1.9866
NM_001837	chr3(.):46278871-46313197	0.0757
NM_003965	chr3(.):46443720-46456014	0.1378
NM_001100168	chr3(.):46406632-46422697	0.1871
NM_001130910	chr3(.):46444048-46456014	0.141
NM_003212	chr3(.):46614075-46628952	0.0514
NM_001174136	chr3(.):46611044-46628952	0.0536
NM_024512	chr3(.):46551877-46613011	1.3484
NM_031440	chr3(.):46534484-46547439	0.1827
NM_199074	chr3(.):49052907-49065926	1.8721
NM_199073	chr3(.):49053617-49065926	1.9731
NM_017730	chr3(.):49062141-49136504	0.2906
NM_177939	chr3(.):49022340-49049581	0.5321
NM_018031	chr3(.):49039636-49058386	0.8923
NM_000884	chr3(.):49056761-49071875	1.5987
NM_018114	chr3(.):49047434-49063467	1.5217
NM_199070	chr3(.):49054073-49065926	2.0429
NM_001009996	chr3(.):49047434-49061017	1.7146
NR_029690	chr3(.):49053050-49063142	2.3237
NR_029948	chr3(.):49052580-49062667	2.2896
NM_153215	chr3(.):50311517-50330545	0.3579
NM_006764	chr3(.):50320162-50335026	0.4533
NM_153282	chr3(.):50332319-50346004	0.3266
NM_153281	chr3(.):50332319-50354812	0.2375
NM_007275	chr3(.):50357340-50370668	2.0086
NM_012191	chr3(.):50328832-50341712	0.7382
NM_003773	chr3(.):50350220-50365281	1.6235
NM_006545	chr3(.):50379918-50393486	0.5473
NM_007182	chr3(.):50362216-50383367	0.8646
NM_007022	chr3(.):50383296-50396496	0.6237
NM_007024	chr3(.):50387179-50401939	0.7922
NM_015896	chr3(.):50373536-50388156	1.0451
NM_170712	chr3(.):50362216-50380664	0.9617
NM_170713	chr3(.):50362216-50379895	1.0003
NM_001010983	chr3(.):52723503-52745048	1.2834
NM_206825	chr3(.):52714935-52733510	0.7398
NR_003687	chr3(.):52719753-52729846	0.8162
NM_014041	chr3(.):52734856-52747197	2.0403
NR_003057	chr3(.):52721751-52731828	0.2805
NM_152932	chr3(.):52723503-52742622	1.2457
NR_003047	chr3(.):52718255-52728331	1.0654
NM_001193533	chr3(.):52739795-52809965	0.4426
NM_198195	chr3(.):69098880-69134524	0.4663
NM_006407	chr3(.):69129089-69160239	0.9927
NM_198271	chr3(.):69151038-69176746	0.1954
NR_036087	chr3(.):69093108-69103186	0.6219
NM_006100	chr3(.):98446571-98518236	0.9139
NM_145037	chr3(.):101493028-101552075	0.5561
NM_001134456	chr3(.):101493285-101552075	0.5581
NM_001005474	chr3(.):101541833-101584869	0.3234
NM_025146	chr3(.):113432840-113470096	0.6224
NR_031687	chr3(.):125504246-125514395	0.0799
NM_001127196	chr3(.):128881657-128907810	0.8988
NM_020701	chr3(.):128841258-128885073	0.3906
NM_020187	chr3(.):128992683-129029135	0.8228
NM_001006109	chr3(.):128992816-129029135	0.8253
NM_006026	chr3(.):129028613-129040120	3.1066
NR_026991	chr3(.):129030113-129048412	1.3072
NR_027037	chr3(.):151975404-151992415	0.9523
NR_034008	chr3(.):156802669-156823924	2.1362
NR_034007	chr3(.):156794455-156845791	0.9671
NM_173084	chr3(.):160148290-160172626	0.3987
NR_029663	chr3(.):160117375-160127473	3.1569
NM_005496	chr3(.):160113346-160157741	0.9905
NM_001002800	chr3(.):160112429-160157741	0.9734
NR_029525	chr3(.):160117532-160127613	2.8692
NR_027622	chr3(.):169656771-169689522	1.0306
NM_182610	chr3(.):169624481-169661948	0.5107
NM_003262	chr3(.):169679579-169721161	0.3269
NM_198565	chr3(.):196361655-196393874	0.752
NM_014687	chr3(.):197393258-197468773	0.7146
NM_001145642	chr3(.):197393313-197481568	0.7296
NR_027840	chr3(.):197472260-197516317	0.3117
NM_032288	chr3(.):197471623-197516317	0.3078
NR_030627	chr3(.):197396366-197406447	0.1545
NM_001011537	chr3(.):197471423-197516317	0.3073
NM_003215	chr4(.):48132799-48276814	0.2869
NM_020859	chr4(.):77351252-77709405	0.1624
NM_144571	chr4(.):78629540-78745544	0.2312
NM_198281	chr4(.):90160428-90234161	1.3125
NM_006527	chr4(.):1689526-1719030	1.0241
NM_147127	chr4(.):5559145-5715294	0.1804
NM_001166136	chr4(.):5559145-5716275	0.1803
NM_153717	chr4(.):5707923-5821031	0.2092
NM_005112	chr4(.):10070962-10123573	0.612
NM_016531	chr4(.):38660789-38708129	0.404
NM_015173	chr4(.):37887719-38145794	0.2645
NR_026804	chr4(.):38609321-38671249	0.2703
NM_001098634	chr4(.):40420271-40636883	0.1919
NM_004310	chr4(.):40193526-40251281	1.1628
NM_001166693	chr4(.):87851153-88067206	0.2777
NM_024900	chr4(.):129725778-129790787	0.4578
NM_199320	chr4(.):129725778-129801379	0.4067
NM_002039	chr4(.):144252982-144400718	0.3572
NM_002199	chr4(.):185303875-185400726	1.3409
NM_031953	chr4(.):186126283-186290120	0.3568
NM_001013622	chr4(.):1636607-1690718	0.0629
NM_001174070	chr4(.):1636607-1690988	0.0629
NM_001127266	chr4(.):1712678-1728084	2.3966
NM_006342	chr4(.):1718265-1751897	0.3653
NR_031688	chr4(.):9552788-9562937	0.0913
NR_036090	chr4(.):10075234-10085316	0.1039
NM_017581	chr4(.):40332468-40361973	0.0654
NM_001076	chr4(.):69398132-69439240	0.2952
NM_001077	chr4(.):69397902-69439245	0.2946
NM_001076	chr4(.):69507314-69541374	0.1007
NM_031889	chr4(.):71489460-71517536	0.1044
NM_144646	chr4(.):71516257-71537348	0.9489
NM_020368	chr4(.):71549195-71561268	0.5036
NM_014961	chr4(.):71582695-71664274	0.0771
NM_001130709	chr4(.):71565653-71660614	0.1261
NM_020236	chr4(.):78778804-78878944	0.1523
NM_144645	chr4(.):87792357-87818575	0.0825
NM_014395	chr4(.):100732980-100796346	0.3655
NM_021970	chr4(.):100794494-100820703	0.2772
NM_003998	chr4(.):103417485-103543459	0.3152
NM_025212	chr4(.):105388342-105417467	0.8649
NM_002372	chr5(.):109020155-109208429	0.326
NM_001131005	chr5(.):88009057-88204922	0.4411
NM_002397	chr5(.):88009057-88184283	0.4419
NM_001193349	chr5(.):88009057-88124744	0.3532
