GENE_ID	locusLine	bin_1_03_0EWP_0229Kronos_MM1S-KB-1hr-1_H3K18Ac_hs-dm_i05.bam
1_MACS_peak_71_lociStitched	chr1(.):3815945-3818379	4.6602
1_MACS_peak_72_lociStitched	chr1(.):4237359-4238265	0.4534
1_MACS_peak_73_lociStitched	chr1(.):6051080-6055152	2.0108
1_MACS_peak_74_lociStitched	chr1(.):6083743-6087271	1.924
2_MACS_peak_75_lociStitched	chr1(.):6258550-6266803	0.6324
1_MACS_peak_77_lociStitched	chr1(.):6294560-6296743	1.7753
1_MACS_peak_78_lociStitched	chr1(.):6419125-6420627	0.8097
1_MACS_peak_79_lociStitched	chr1(.):6452591-6454791	1.5489
1_MACS_peak_80_lociStitched	chr1(.):6474297-6475485	0.7023
1_MACS_peak_81_lociStitched	chr1(.):6531986-6532985	0.4615
1_MACS_peak_82_lociStitched	chr1(.):6549840-6551664	1.0948
1_MACS_peak_83_lociStitched	chr1(.):6613641-6615322	1.2544
1_MACS_peak_84_lociStitched	chr1(.):6639306-6640949	1.0035
1_MACS_peak_85_lociStitched	chr1(.):6659983-6664781	1.8634
1_MACS_peak_86_lociStitched	chr1(.):6672470-6674946	1.1869
1_MACS_peak_87_lociStitched	chr1(.):6684580-6686766	1.3822
1_MACS_peak_88_lociStitched	chr1(.):6760947-6762378	1.4001
2_MACS_peak_89_lociStitched	chr1(.):6843907-6846650	1.914
1_MACS_peak_91_lociStitched	chr1(.):6978200-6979820	0.9765
1_MACS_peak_92_lociStitched	chr1(.):7830935-7832228	1.1243
2_MACS_peak_93_lociStitched	chr1(.):8013672-8022562	0.4365
1_MACS_peak_95_lociStitched	chr1(.):8085777-8086868	0.4401
3_MACS_peak_96_lociStitched	chr1(.):8650542-8665268	0.2576
1_MACS_peak_99_lociStitched	chr1(.):8760952-8764225	0.7587
1_MACS_peak_100_lociStitched	chr1(.):8771983-8773467	0.5473
1_MACS_peak_101_lociStitched	chr1(.):8876146-8878765	1.3146
1_MACS_peak_102_lociStitched	chr1(.):8937155-8939871	3.1413
1_MACS_peak_103_lociStitched	chr1(.):9137549-9141812	1.0423
1_MACS_peak_104_lociStitched	chr1(.):9170709-9173344	0.8803
1_MACS_peak_105_lociStitched	chr1(.):9188657-9189360	0.7898
1_MACS_peak_106_lociStitched	chr1(.):9222042-9226158	3.3674
1_MACS_peak_107_lociStitched	chr1(.):9241100-9243438	1.4082
1_MACS_peak_108_lociStitched	chr1(.):9294495-9295685	1.2959
1_MACS_peak_109_lociStitched	chr1(.):9353370-9354283	0.4214
1_MACS_peak_110_lociStitched	chr1(.):9473176-9474084	0.4678
2_MACS_peak_111_lociStitched	chr1(.):9485236-9489736	1.0455
1_MACS_peak_113_lociStitched	chr1(.):9599297-9600518	0.9012
1_MACS_peak_114_lociStitched	chr1(.):9614895-9615973	0.5561
1_MACS_peak_115_lociStitched	chr1(.):9648133-9650268	1.0973
1_MACS_peak_116_lociStitched	chr1(.):9748796-9749596	0.4286
2_MACS_peak_117_lociStitched	chr1(.):9776800-9782312	0.9153
1_MACS_peak_119_lociStitched	chr1(.):9846466-9848827	1.1554
1_MACS_peak_120_lociStitched	chr1(.):9882753-9884468	1.1901
2_MACS_peak_121_lociStitched	chr1(.):9968916-9971574	0.8184
2_MACS_peak_123_lociStitched	chr1(.):10002371-10011289	0.4411
1_MACS_peak_125_lociStitched	chr1(.):10049921-10051930	0.7889
1_MACS_peak_126_lociStitched	chr1(.):10078432-10079547	0.4897
1_MACS_peak_127_lociStitched	chr1(.):10092590-10094225	2.0697
1_MACS_peak_128_lociStitched	chr1(.):10228621-10231795	1.0856
1_MACS_peak_129_lociStitched	chr1(.):10249111-10250922	0.7941
1_MACS_peak_130_lociStitched	chr1(.):10260205-10261787	0.8626
1_MACS_peak_131_lociStitched	chr1(.):10269520-10271796	1.2343
1_MACS_peak_132_lociStitched	chr1(.):10310568-10314901	1.0145
1_MACS_peak_133_lociStitched	chr1(.):10458264-10460172	0.9828
1_MACS_peak_134_lociStitched	chr1(.):10489765-10491758	1.7324
1_MACS_peak_135_lociStitched	chr1(.):10516514-10518034	0.6586
2_MACS_peak_136_lociStitched	chr1(.):10531855-10535890	0.6536
1_MACS_peak_138_lociStitched	chr1(.):10999366-11001124	1.1329
1_MACS_peak_139_lociStitched	chr1(.):11071689-11073852	5.4551
1_MACS_peak_140_lociStitched	chr1(.):11118816-11121369	1.6432
1_MACS_peak_141_lociStitched	chr1(.):11159011-11160628	2.1215
1_MACS_peak_142_lociStitched	chr1(.):11321743-11323435	0.945
1_MACS_peak_143_lociStitched	chr1(.):11332816-11334535	2.46
1_MACS_peak_144_lociStitched	chr1(.):11538581-11539832	7.0954
1_MACS_peak_145_lociStitched	chr1(.):11582451-11583328	0.412
2_MACS_peak_146_lociStitched	chr1(.):11623014-11631805	1.0509
1_MACS_peak_148_lociStitched	chr1(.):11714065-11715705	0.6789
1_MACS_peak_149_lociStitched	chr1(.):11723880-11725189	0.7092
1_MACS_peak_150_lociStitched	chr1(.):11740297-11742185	1.4678
1_MACS_peak_151_lociStitched	chr1(.):11795752-11798302	0.9872
1_MACS_peak_152_lociStitched	chr1(.):11842963-11845305	0.9817
1_MACS_peak_153_lociStitched	chr1(.):11864342-11867371	1.8422
1_MACS_peak_154_lociStitched	chr1(.):11967500-11970665	5.3333
2_MACS_peak_155_lociStitched	chr1(.):11984299-11995612	0.379
1_MACS_peak_157_lociStitched	chr1(.):12039486-12041202	2.4206
1_MACS_peak_158_lociStitched	chr1(.):12078965-12080639	1.0751
3_MACS_peak_159_lociStitched	chr1(.):12099946-12113276	0.4605
2_MACS_peak_162_lociStitched	chr1(.):12220989-12227885	0.7071
1_MACS_peak_164_lociStitched	chr1(.):12289746-12291506	0.9519
1_MACS_peak_165_lociStitched	chr1(.):12495147-12496916	0.7389
1_MACS_peak_166_lociStitched	chr1(.):12896700-12898121	0.471
1_MACS_peak_167_lociStitched	chr1(.):13824576-13825965	0.6685
1_MACS_peak_168_lociStitched	chr1(.):14025827-14027522	1.1215
1_MACS_peak_169_lociStitched	chr1(.):14056552-14058400	1.1414
1_MACS_peak_170_lociStitched	chr1(.):14074844-14076899	1.3074
1_MACS_peak_171_lociStitched	chr1(.):14155225-14156475	0.8655
1_MACS_peak_172_lociStitched	chr1(.):14237487-14239642	0.6166
2_MACS_peak_173_lociStitched	chr1(.):14246663-14254959	0.6434
1_MACS_peak_175_lociStitched	chr1(.):14271805-14273443	0.6769
1_MACS_peak_176_lociStitched	chr1(.):14292332-14295194	0.7026
2_MACS_peak_177_lociStitched	chr1(.):14336070-14344788	0.7503
1_MACS_peak_179_lociStitched	chr1(.):14361724-14367674	1.3955
2_MACS_peak_180_lociStitched	chr1(.):14500843-14508693	0.4988
1_MACS_peak_182_lociStitched	chr1(.):14687198-14688375	0.5816
1_MACS_peak_183_lociStitched	chr1(.):14695848-14697331	0.9074
1_MACS_peak_184_lociStitched	chr1(.):15161105-15164444	1.9941
2_MACS_peak_185_lociStitched	chr1(.):15202804-15209340	0.3693
2_MACS_peak_187_lociStitched	chr1(.):15479916-15483486	0.3548
2_MACS_peak_189_lociStitched	chr1(.):15501934-15506562	0.5872
1_MACS_peak_191_lociStitched	chr1(.):15545763-15546806	0.4925
1_MACS_peak_192_lociStitched	chr1(.):15574832-15575888	0.6621
1_MACS_peak_193_lociStitched	chr1(.):15587314-15588631	0.6204
1_MACS_peak_194_lociStitched	chr1(.):15688309-15689866	0.5677
1_MACS_peak_195_lociStitched	chr1(.):15710404-15711373	0.5212
1_MACS_peak_196_lociStitched	chr1(.):15735441-15737637	1.2728
1_MACS_peak_197_lociStitched	chr1(.):15850686-15854252	0.9017
3_MACS_peak_198_lociStitched	chr1(.):15897265-15912211	0.6499
1_MACS_peak_201_lociStitched	chr1(.):15942860-15945401	1.3545
1_MACS_peak_202_lociStitched	chr1(.):16009832-16012140	1.5198
1_MACS_peak_203_lociStitched	chr1(.):16022959-16024804	1.1485
1_MACS_peak_204_lociStitched	chr1(.):16160226-16163524	4.3492
2_MACS_peak_205_lociStitched	chr1(.):16173166-16178941	1.4564
1_MACS_peak_207_lociStitched	chr1(.):16301770-16303263	0.8921
1_MACS_peak_208_lociStitched	chr1(.):16399804-16400995	0.6948
1_MACS_peak_209_lociStitched	chr1(.):16532381-16534281	0.7334
1_MACS_peak_210_lociStitched	chr1(.):16543257-16544708	0.5389
1_MACS_peak_211_lociStitched	chr1(.):16562470-16564432	0.9588
1_MACS_peak_212_lociStitched	chr1(.):16678059-16679913	1.6437
1_MACS_peak_213_lociStitched	chr1(.):16692670-16695248	2.387
1_MACS_peak_214_lociStitched	chr1(.):16766604-16771313	0.861
2_MACS_peak_215_lociStitched	chr1(.):16825015-16833258	0.2534
1_MACS_peak_218_lociStitched	chr1(.):16938742-16941005	1.7073
1_MACS_peak_219_lociStitched	chr1(.):16969565-16972607	4.0466
1_MACS_peak_220_lociStitched	chr1(.):16991257-16994690	18.1062
1_MACS_peak_221_lociStitched	chr1(.):17011905-17013675	0.5733
1_MACS_peak_222_lociStitched	chr1(.):17065689-17068562	21.1488
3_MACS_peak_223_lociStitched	chr1(.):17221389-17241676	4.261
1_MACS_peak_226_lociStitched	chr1(.):17286870-17288159	0.9705
1_MACS_peak_227_lociStitched	chr1(.):17379725-17380982	0.9515
1_MACS_peak_228_lociStitched	chr1(.):17763829-17769082	0.9819
1_MACS_peak_229_lociStitched	chr1(.):17786843-17788439	0.6723
1_MACS_peak_230_lociStitched	chr1(.):19228211-19230118	3.7808
1_MACS_peak_231_lociStitched	chr1(.):19252303-19254854	2.244
2_MACS_peak_232_lociStitched	chr1(.):19277011-19282786	0.6242
1_MACS_peak_234_lociStitched	chr1(.):19393619-19394397	0.5559
1_MACS_peak_235_lociStitched	chr1(.):19535598-19538174	1.488
1_MACS_peak_236_lociStitched	chr1(.):19577273-19579433	3.0158
1_MACS_peak_237_lociStitched	chr1(.):19637649-19639848	2.5041
1_MACS_peak_238_lociStitched	chr1(.):19810670-19813376	1.5093
1_MACS_peak_239_lociStitched	chr1(.):19922418-19924726	3.3298
1_MACS_peak_240_lociStitched	chr1(.):20084977-20086600	0.6439
1_MACS_peak_241_lociStitched	chr1(.):20125306-20127443	1.6314
1_MACS_peak_242_lociStitched	chr1(.):20208476-20209904	1.3901
2_MACS_peak_243_lociStitched	chr1(.):20404435-20408393	0.4888
1_MACS_peak_245_lociStitched	chr1(.):20445528-20446194	0.6714
1_MACS_peak_246_lociStitched	chr1(.):20833615-20835319	1.254
1_MACS_peak_247_lociStitched	chr1(.):20959693-20960798	0.7211
2_MACS_peak_248_lociStitched	chr1(.):20984310-20988954	0.9398
1_MACS_peak_250_lociStitched	chr1(.):21022813-21023854	0.7397
1_MACS_peak_251_lociStitched	chr1(.):21058676-21060619	0.9765
1_MACS_peak_252_lociStitched	chr1(.):21112102-21114691	2.0788
1_MACS_peak_253_lociStitched	chr1(.):21193134-21194071	0.4043
1_MACS_peak_254_lociStitched	chr1(.):21290640-21291905	0.5851
1_MACS_peak_255_lociStitched	chr1(.):21348316-21349866	1.077
2_MACS_peak_256_lociStitched	chr1(.):21501918-21503791	1.2975
1_MACS_peak_258_lociStitched	chr1(.):21615572-21622786	2.9889
1_MACS_peak_259_lociStitched	chr1(.):21660040-21661831	1.2
1_MACS_peak_260_lociStitched	chr1(.):21670986-21673050	0.9288
1_MACS_peak_261_lociStitched	chr1(.):21754703-21755737	0.471
1_MACS_peak_262_lociStitched	chr1(.):21765896-21767276	0.8111
2_MACS_peak_263_lociStitched	chr1(.):22106986-22119550	1.5831
1_MACS_peak_265_lociStitched	chr1(.):22190661-22195113	1.8129
1_MACS_peak_266_lociStitched	chr1(.):22263809-22264669	1.0752
1_MACS_peak_267_lociStitched	chr1(.):22350300-22353409	3.0423
1_MACS_peak_268_lociStitched	chr1(.):22365530-22367438	0.9534
1_MACS_peak_269_lociStitched	chr1(.):22378352-22380608	1.9531
1_MACS_peak_270_lociStitched	chr1(.):22489160-22490560	0.596
1_MACS_peak_271_lociStitched	chr1(.):22777650-22779651	1.0191
1_MACS_peak_272_lociStitched	chr1(.):22820350-22822255	1.0586
1_MACS_peak_273_lociStitched	chr1(.):22834118-22835786	0.5544
1_MACS_peak_274_lociStitched	chr1(.):23345361-23347001	0.7891
1_MACS_peak_275_lociStitched	chr1(.):23494679-23495433	0.5382
1_MACS_peak_276_lociStitched	chr1(.):23669507-23672003	3.3745
1_MACS_peak_277_lociStitched	chr1(.):23694187-23696406	0.996
1_MACS_peak_278_lociStitched	chr1(.):23850479-23858629	3.4737
2_MACS_peak_279_lociStitched	chr1(.):23880340-23886401	0.7708
1_MACS_peak_281_lociStitched	chr1(.):23919058-23920854	0.5738
3_MACS_peak_282_lociStitched	chr1(.):23937754-23954619	0.5366
1_MACS_peak_285_lociStitched	chr1(.):24017837-24019698	2.1567
1_MACS_peak_286_lociStitched	chr1(.):24069059-24071806	1.4228
1_MACS_peak_287_lociStitched	chr1(.):24104033-24105678	1.0053
1_MACS_peak_288_lociStitched	chr1(.):24116878-24118251	0.7805
1_MACS_peak_289_lociStitched	chr1(.):24125985-24128038	1.1462
1_MACS_peak_290_lociStitched	chr1(.):24151090-24152741	1.4138
1_MACS_peak_291_lociStitched	chr1(.):24181001-24182792	0.7571
1_MACS_peak_292_lociStitched	chr1(.):24193560-24195160	0.7828
1_MACS_peak_293_lociStitched	chr1(.):24246040-24247254	0.52
2_MACS_peak_294_lociStitched	chr1(.):24284955-24291990	1.1959
1_MACS_peak_296_lociStitched	chr1(.):24305481-24307756	4.5786
2_MACS_peak_297_lociStitched	chr1(.):24468893-24478611	0.384
4_MACS_peak_299_lociStitched	chr1(.):24512463-24533764	2.0052
1_MACS_peak_303_lociStitched	chr1(.):24645450-24650395	2.1224
1_MACS_peak_304_lociStitched	chr1(.):24677020-24678347	0.5686
3_MACS_peak_305_lociStitched	chr1(.):24710097-24720255	0.7719
2_MACS_peak_308_lociStitched	chr1(.):24739422-24743746	0.5944
1_MACS_peak_310_lociStitched	chr1(.):24827543-24830479	1.0749
2_MACS_peak_311_lociStitched	chr1(.):24882224-24885435	0.9255
1_MACS_peak_313_lociStitched	chr1(.):24910187-24911290	0.513
1_MACS_peak_314_lociStitched	chr1(.):24968079-24971221	3.2348
2_MACS_peak_315_lociStitched	chr1(.):25048673-25054922	0.3436
1_MACS_peak_317_lociStitched	chr1(.):25069763-25076418	1.1671
1_MACS_peak_318_lociStitched	chr1(.):25174358-25175639	0.6985
1_MACS_peak_319_lociStitched	chr1(.):25254492-25257796	1.7535
1_MACS_peak_320_lociStitched	chr1(.):25290645-25292846	1.4868
3_MACS_peak_321_lociStitched	chr1(.):25346939-25364367	1.345
3_MACS_peak_324_lociStitched	chr1(.):25558160-25574956	0.6025
1_MACS_peak_327_lociStitched	chr1(.):25592795-25594966	1.4737
1_MACS_peak_328_lociStitched	chr1(.):25663293-25665842	1.9191
1_MACS_peak_329_lociStitched	chr1(.):25755994-25758682	1.3584
1_MACS_peak_330_lociStitched	chr1(.):25798558-25799593	0.4962
2_MACS_peak_331_lociStitched	chr1(.):25869662-25879268	2.3134
1_MACS_peak_333_lociStitched	chr1(.):25887625-25890325	1.4277
2_MACS_peak_334_lociStitched	chr1(.):25941779-25948718	1.6285
1_MACS_peak_336_lociStitched	chr1(.):25958069-25959311	0.55
1_MACS_peak_337_lociStitched	chr1(.):25967533-25970966	4.7373
1_MACS_peak_338_lociStitched	chr1(.):26001127-26004294	1.2561
1_MACS_peak_339_lociStitched	chr1(.):26126720-26127563	0.5968
1_MACS_peak_340_lociStitched	chr1(.):26145578-26148191	1.3967
1_MACS_peak_341_lociStitched	chr1(.):26185180-26186401	0.6948
1_MACS_peak_342_lociStitched	chr1(.):26201474-26202482	0.405
1_MACS_peak_343_lociStitched	chr1(.):26231150-26233480	1.3851
1_MACS_peak_344_lociStitched	chr1(.):26323386-26325471	0.7556
3_MACS_peak_345_lociStitched	chr1(.):26436660-26453780	0.5365
1_MACS_peak_348_lociStitched	chr1(.):26496021-26497202	1.4399
1_MACS_peak_349_lociStitched	chr1(.):26559806-26562005	1.1744
2_MACS_peak_350_lociStitched	chr1(.):26605391-26614265	0.5424
1_MACS_peak_352_lociStitched	chr1(.):26632255-26634542	1.011
1_MACS_peak_353_lociStitched	chr1(.):26662315-26663920	0.5801
1_MACS_peak_354_lociStitched	chr1(.):26757943-26759721	0.9203
1_MACS_peak_355_lociStitched	chr1(.):26797875-26800205	3.6796
1_MACS_peak_356_lociStitched	chr1(.):26826136-26828671	3.7574
1_MACS_peak_357_lociStitched	chr1(.):26855906-26857204	0.6531
2_MACS_peak_358_lociStitched	chr1(.):26867713-26873282	0.734
1_MACS_peak_360_lociStitched	chr1(.):26946135-26948675	4.693
1_MACS_peak_361_lociStitched	chr1(.):27003532-27004764	0.4642
2_MACS_peak_362_lociStitched	chr1(.):27018397-27031257	1.8108
2_MACS_peak_364_lociStitched	chr1(.):27065604-27072115	0.8519
1_MACS_peak_366_lociStitched	chr1(.):27112817-27116052	2.8083
1_MACS_peak_367_lociStitched	chr1(.):27126038-27127245	0.6151
3_MACS_peak_368_lociStitched	chr1(.):27152465-27167000	0.6214
1_MACS_peak_371_lociStitched	chr1(.):27190419-27193286	3.7711
1_MACS_peak_372_lociStitched	chr1(.):27215782-27217514	1.2387
1_MACS_peak_373_lociStitched	chr1(.):27225969-27227757	1.2782
1_MACS_peak_374_lociStitched	chr1(.):27247767-27249083	1.4891
1_MACS_peak_375_lociStitched	chr1(.):27285958-27287563	1.1008
1_MACS_peak_376_lociStitched	chr1(.):27396615-27398091	0.5811
1_MACS_peak_377_lociStitched	chr1(.):27463135-27464581	0.6125
1_MACS_peak_378_lociStitched	chr1(.):27480813-27482633	1.0673
1_MACS_peak_379_lociStitched	chr1(.):27560221-27562435	0.6795
1_MACS_peak_380_lociStitched	chr1(.):27648276-27649891	1.4889
2_MACS_peak_381_lociStitched	chr1(.):27667646-27676708	0.2778
1_MACS_peak_383_lociStitched	chr1(.):27692688-27693763	0.8807
1_MACS_peak_384_lociStitched	chr1(.):27717971-27719772	0.731
1_MACS_peak_385_lociStitched	chr1(.):27744305-27745475	0.6403
2_MACS_peak_386_lociStitched	chr1(.):27761450-27766000	0.6286
1_MACS_peak_388_lociStitched	chr1(.):27815533-27817655	5.4918
1_MACS_peak_389_lociStitched	chr1(.):27826261-27827189	0.5475
1_MACS_peak_390_lociStitched	chr1(.):27883254-27884272	0.5063
1_MACS_peak_391_lociStitched	chr1(.):27929610-27930872	0.4557
1_MACS_peak_392_lociStitched	chr1(.):27985383-27987442	0.8953
1_MACS_peak_393_lociStitched	chr1(.):28051541-28053636	1.0924
1_MACS_peak_394_lociStitched	chr1(.):28098797-28100733	0.6335
1_MACS_peak_395_lociStitched	chr1(.):28156360-28158308	1.7515
1_MACS_peak_396_lociStitched	chr1(.):28240101-28241974	1.6831
1_MACS_peak_397_lociStitched	chr1(.):28285571-28287453	1.0583
2_MACS_peak_398_lociStitched	chr1(.):28352768-28362928	0.6687
1_MACS_peak_400_lociStitched	chr1(.):28390159-28391614	0.4662
1_MACS_peak_401_lociStitched	chr1(.):28413808-28416168	1.1345
1_MACS_peak_402_lociStitched	chr1(.):28474028-28475529	0.7833
1_MACS_peak_403_lociStitched	chr1(.):28498468-28500006	0.5418
3_MACS_peak_404_lociStitched	chr1(.):28558475-28577240	0.9026
1_MACS_peak_407_lociStitched	chr1(.):28584906-28587501	0.8823
1_MACS_peak_408_lociStitched	chr1(.):28654656-28656667	1.8251
1_MACS_peak_409_lociStitched	chr1(.):28695440-28697367	1.6046
1_MACS_peak_410_lociStitched	chr1(.):28831531-28836761	2.0142
1_MACS_peak_411_lociStitched	chr1(.):28844034-28846231	1.994
1_MACS_peak_412_lociStitched	chr1(.):28878413-28880888	2.5337
2_MACS_peak_413_lociStitched	chr1(.):28906310-28914616	1.0431
1_MACS_peak_415_lociStitched	chr1(.):28924371-28929678	1.7898
2_MACS_peak_416_lociStitched	chr1(.):28968458-28976385	1.5749
2_MACS_peak_418_lociStitched	chr1(.):28994468-28996942	2.2523
1_MACS_peak_420_lociStitched	chr1(.):29062538-29064943	2.2877
1_MACS_peak_421_lociStitched	chr1(.):29101401-29102508	0.5531
2_MACS_peak_422_lociStitched	chr1(.):29210755-29214811	1.0839
1_MACS_peak_424_lociStitched	chr1(.):29240169-29242364	0.9156
1_MACS_peak_425_lociStitched	chr1(.):29252773-29255195	0.6146
1_MACS_peak_426_lociStitched	chr1(.):29506807-29509626	4.659
1_MACS_peak_427_lociStitched	chr1(.):29556599-29558161	0.7305
1_MACS_peak_428_lociStitched	chr1(.):29675959-29677054	0.5949
1_MACS_peak_429_lociStitched	chr1(.):30349571-30350715	0.6189
1_MACS_peak_430_lociStitched	chr1(.):30901703-30903124	0.653
1_MACS_peak_431_lociStitched	chr1(.):30995717-30997304	0.6231
1_MACS_peak_432_lociStitched	chr1(.):31073018-31073991	0.4587
2_MACS_peak_433_lociStitched	chr1(.):31190413-31192692	1.2451
3_MACS_peak_435_lociStitched	chr1(.):31214236-31236476	2.2207
1_MACS_peak_438_lociStitched	chr1(.):31254945-31256209	0.8923
1_MACS_peak_439_lociStitched	chr1(.):31536775-31539393	1.7222
1_MACS_peak_440_lociStitched	chr1(.):31627978-31628793	0.594
1_MACS_peak_441_lociStitched	chr1(.):31768631-31770682	1.9422
1_MACS_peak_442_lociStitched	chr1(.):31867037-31868320	0.6391
1_MACS_peak_443_lociStitched	chr1(.):31885661-31887017	0.6341
1_MACS_peak_444_lociStitched	chr1(.):31895389-31897282	0.5742
1_MACS_peak_445_lociStitched	chr1(.):31913492-31915770	0.9864
2_MACS_peak_446_lociStitched	chr1(.):31943577-31951216	0.8434
1_MACS_peak_448_lociStitched	chr1(.):31959614-31960634	0.4711
1_MACS_peak_449_lociStitched	chr1(.):31971207-31972838	0.903
1_MACS_peak_450_lociStitched	chr1(.):32070367-32072610	0.9046
1_MACS_peak_451_lociStitched	chr1(.):32109323-32111476	3.1218
1_MACS_peak_452_lociStitched	chr1(.):32135144-32136609	0.683
1_MACS_peak_453_lociStitched	chr1(.):32209233-32211797	1.5229
1_MACS_peak_454_lociStitched	chr1(.):32253302-32255237	2.0542
1_MACS_peak_455_lociStitched	chr1(.):32402407-32404663	0.9626
1_MACS_peak_456_lociStitched	chr1(.):32420283-32422576	0.6936
2_MACS_peak_457_lociStitched	chr1(.):32445992-32452158	0.6524
2_MACS_peak_459_lociStitched	chr1(.):32470387-32481220	0.7259
1_MACS_peak_461_lociStitched	chr1(.):32537640-32539504	1.2131
1_MACS_peak_462_lociStitched	chr1(.):32572736-32575223	1.0636
1_MACS_peak_463_lociStitched	chr1(.):32644481-32646617	1.6119
1_MACS_peak_464_lociStitched	chr1(.):32670751-32672121	1.5447
1_MACS_peak_465_lociStitched	chr1(.):32687058-32689027	1.3685
2_MACS_peak_466_lociStitched	chr1(.):32705773-32716946	0.5335
1_MACS_peak_468_lociStitched	chr1(.):32756699-32758662	0.9113
2_MACS_peak_469_lociStitched	chr1(.):32800629-32804033	0.6846
1_MACS_peak_471_lociStitched	chr1(.):32816361-32818135	1.3458
1_MACS_peak_472_lociStitched	chr1(.):32859189-32861139	1.3765
1_MACS_peak_473_lociStitched	chr1(.):32878940-32880112	0.719
1_MACS_peak_474_lociStitched	chr1(.):32965645-32966846	1.1277
1_MACS_peak_475_lociStitched	chr1(.):32985882-32987265	0.7037
1_MACS_peak_476_lociStitched	chr1(.):33004539-33006281	0.9668
2_MACS_peak_477_lociStitched	chr1(.):33088353-33094896	1.4658
1_MACS_peak_479_lociStitched	chr1(.):33114820-33118149	3.8508
1_MACS_peak_480_lociStitched	chr1(.):33181734-33183153	0.6595
