REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_12165_lociStitched	chr2	201980069	201994562	4	9954	11098.7394	3859.4859	39	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.14140000000000003	39	1
5_MACS_peak_17844_lociStitched	chr5	131745876	131764069	5	11750	11929.1501	4695.6133	40	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.21589999999999998	40	1
1_MACS_peak_1113_lociStitched	chr1	149222041	149225536	1	3496	9978.5745	2758.254	41			LOC388692	LOC388692	NONE	41	1
1_MACS_peak_5651_lociStitched	chr12	109021884	109031104	1	9221	10269.236	3050.898	42	SELPLG	TMEM119	SELPLG	SELPLG	0.45430000000000004	42	1
2_MACS_peak_21010_lociStitched	chr7	136037062	136046872	2	5365	10222.02	3022.461	43			LUZP6	LUZP6	NONE	43	1
2_MACS_peak_13550_lociStitched	chr22	23270221	23278743	2	7003	10019.3154	2899.1844	44		IGLL5	IGLL5	IGLL5	0.41290000000000004	44	1
3_MACS_peak_8872_lociStitched	chr17	56405273	56422714	3	9662	12430.2007	5322.9932	45	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	0.3138	45	1
3_MACS_peak_4780_lociStitched	chr12	12866858	12880040	3	11562	10251.6414	3225.6354	46	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	0.4769	46	1
5_MACS_peak_17245_lociStitched	chr5	55437642	55453247	5	7398	10695.667	3693.7035	47	ANKRD55		ANKRD55	ANKRD55	0.0625	47	1
3_MACS_peak_10600_lociStitched	chr2	11883759	11895202	3	9733	9778.0435	2937.4181	48	LPIN1		LPIN1	LPIN1	0.10320000000000001	48	1
4_MACS_peak_2226_lociStitched	chr1	235140445	235152079	4	5018	9885.4098	3092.3172	49			SNORA14B	SNORA14B	NONE	49	1
4_MACS_peak_12096_lociStitched	chr2	197033652	197053385	4	9613	10961.6815	4207.0756	50	STK17B		STK17B	STK17B	0.1564	50	1
4_MACS_peak_8632_lociStitched	chr17	38470694	38483363	4	7404	9775.4004	3078.567	51	RARA	CDC6,RARA,GJD3	RARA	RARA	0.12039999999999998	51	1
4_MACS_peak_9275_lociStitched	chr18	9061231	9074287	4	6222	9802.4448	3176.5248	52		NDUFV2	NDUFV2	NDUFV2	0.2646	52	1
3_MACS_peak_13613_lociStitched	chr22	29185838	29197972	3	8132	9164.8102	2668.2666	53	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	0.43989999999999996	53	1
5_MACS_peak_9103_lociStitched	chr17	75131586	75144850	5	10241	9930.7568	3491.0848	54	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	0.3045	54	1
2_MACS_peak_1829_lociStitched	chr1	203289287	203297878	2	7165	9704.3936	3369.3902	55		BTG2,LOC730227,FMOD	BTG2	LOC730227	0.2981	55	1
5_MACS_peak_9280_lociStitched	chr18	9101981	9117979	5	6595	9987.5514	3673.1408	56	NDUFV2	ANKRD12	NDUFV2	NDUFV2	0.2646	56	1
1_MACS_peak_3260_lociStitched	chr10	112113037	112118793	1	5757	8267.9184	1954.7376	57		SMNDC1	SMNDC1	SMNDC1	0.028799999999999992	57	1
1_MACS_peak_1865_lociStitched	chr1	205252118	205258323	1	6206	8739.122	2426.155	58		NUAK2	NUAK2	NUAK2	0.09160000000000001	58	1
2_MACS_peak_10072_lociStitched	chr19	16694394	16706430	2	8232	9757.5852	3461.5536	59	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.0369	59	1
6_MACS_peak_13963_lociStitched	chr3	5228620	5247785	6	10340	10197.6965	3959.489	60	EDEM1		EDEM1	EDEM1	0.2111	60	1
3_MACS_peak_7612_lociStitched	chr16	12056572	12070776	3	8457	9654.4588	3426.0048	61	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	0.43490000000000006	61	1
2_MACS_peak_13315_lociStitched	chr21	36594120	36600812	2	3408	8296.7416	2091.9192	62			RUNX1	RUNX1	0.04669999999999999	62	1
4_MACS_peak_10885_lociStitched	chr2	43444646	43457341	4	11769	9200.0665	3042.9915	63	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	0.433	63	1
1_MACS_peak_21149_lociStitched	chr7	150129866	150133633	1	3768	8047.4421	1894.801	64	LOC285972	LOC728743,GIMAP8	LOC285972	LOC728743	0.32249999999999995	64	1
2_MACS_peak_9813_lociStitched	chr19	2468866	2480021	2	7072	8966.389	2903.6465	65	GADD45B	TIMM13,LMNB2	GADD45B	GADD45B	0.4474	65	1
4_MACS_peak_15008_lociStitched	chr3	141118915	141132668	4	9250	9825.1432	3830.2105	66	ZBTB38		RASA2	RASA2	0.031200000000000006	66	1
2_MACS_peak_15432_lociStitched	chr3	186711439	186719740	2	7517	9240.6732	3268.9338	67	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.07680000000000001	67	1
2_MACS_peak_7981_lociStitched	chr16	66549864	66559472	2	6028	8568.4144	2662.3768	68	TK2	CKLF,CMTM1	TK2	TK2	0.1515	68	1
5_MACS_peak_17509_lociStitched	chr5	88113950	88126623	5	10633	8781.1217	2881.8402	69	MEF2C		MEF2C	MEF2C	0.0922	69	1
5_MACS_peak_21212_lociStitched	chr8	2029486	2041079	5	7974	8739.9627	2846.0815	70	MYOM2		MYOM2	MYOM2	0.09639999999999999	70	1
2_MACS_peak_20700_lociStitched	chr7	104578913	104586469	2	4706	7941.356	2070.344	71		LOC723809	LOC723809	LOC723809	0.05829999999999999	71	1
2_MACS_peak_9818_lociStitched	chr19	2595141	2600139	2	4773	7969.311	2102.6586	72	GNG7		GNG7	GNG7	0.1038	72	1
1_MACS_peak_13398_lociStitched	chr21	43480999	43485205	1	4207	7832.4132	1979.7642	73	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.08629999999999999	73	1
1_MACS_peak_169_lociStitched	chr1	17065464	17069663	1	4200	8108.269	2330.0251	74		ESPNP,MST1P9	ESPNP	MST1P9	0.010999999999999982	74	1
3_MACS_peak_18622_lociStitched	chr6	25403885	25412584	3	6375	8428.4611	2668.8532	75	LRRC16A		LRRC16A	LRRC16A	0.03749999999999998	75	1
3_MACS_peak_19139_lociStitched	chr6	74220358	74234066	3	7263	9169.2812	3414.6628	76	EEF1A1	MTO1	EEF1A1	EEF1A1	0.37460000000000004	76	1
1_MACS_peak_167_lociStitched	chr1	16991379	16994379	1	3001	7772.1	2042.1	77		MST1P2,CROCCP2	MST1P2	MST1P2	0.06760000000000005	77	1
4_MACS_peak_8519_lociStitched	chr17	32692053	32710661	4	7181	9897.5952	4179.3568	78		CCL8,CCL13,CCL1	CCL1	CCL1	0.1288	78	1
6_MACS_peak_14142_lociStitched	chr3	30683993	30703466	6	7526	9822.1812	4134.1179	79	TGFBR2		TGFBR2	TGFBR2	0.07069999999999999	79	1
4_MACS_peak_18787_lociStitched	chr6	31694791	31708506	4	8793	8901.035	3221.6535	80	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	0.3558	80	1
2_MACS_peak_1237_lociStitched	chr1	154908292	154916980	2	5400	9340.4688	3683.712	81	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	PYGO2	0.284	81	1
2_MACS_peak_1582_lociStitched	chr1	179846094	179853269	2	4087	8434.93	2778.8775	82	TOR1AIP1,TOR1AIP2		TOR1AIP1	TOR1AIP1	0.10510000000000003	82	1
5_MACS_peak_22684_lociStitched	chr9	94181295	94196026	5	9289	8635.3122	2991.8661	83	NFIL3		NFIL3	NFIL3	0.18280000000000002	83	1
3_MACS_peak_9821_lociStitched	chr19	2620032	2632098	3	6708	9386.1414	3745.2864	84	GNG7		GNG7	GNG7	0.1038	84	1
2_MACS_peak_1571_lociStitched	chr1	179049095	179058898	2	5957	8643.3051	3011.4816	85	TOR3A		TOR3A	TOR3A	0.2351	85	1
3_MACS_peak_1378_lociStitched	chr1	161145098	161156566	3	7409	9465.6872	3880.7712	86	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	USP21	0.25880000000000003	86	1
1_MACS_peak_15497_lociStitched	chr3	193817987	193822765	1	4779	7779.5396	2235.6262	87		HES1	HES1	HES1	0.43739999999999996	87	1
4_MACS_peak_13162_lociStitched	chr21	19152441	19166768	4	6458	8455.7954	2915.5445	88	C21orf91		C21orf91	C21orf91	0.14029999999999998	88	1
3_MACS_peak_9644_lociStitched	chr18	60822285	60830476	3	7021	7901.8577	2381.9428	89	BCL2		BCL2	BCL2	0.06309999999999999	89	1
3_MACS_peak_10815_lociStitched	chr2	37570169	37584032	3	8392	8891.7282	3392.2761	90	QPCT	PRKD3	QPCT	QPCT	0.2535	90	1
1_MACS_peak_15296_lociStitched	chr3	177075060	177079224	1	4165	7078.8	1579.8216	91			TBL1XR1	TBL1XR1	0.04770000000000002	91	1
3_MACS_peak_11339_lociStitched	chr2	97191627	97205421	3	6788	8370.1992	2891.2224	92	ARID5A	NEURL3	ARID5A	ARID5A	0.2278	92	1
3_MACS_peak_17085_lociStitched	chr5	32530883	32543521	3	6732	8390.3682	2925.697	93		SUB1	SUB1	SUB1	0.20279999999999998	93	1
4_MACS_peak_18358_lociStitched	chr6	388970	401413	4	9444	8157.6308	2695.1538	94	IRF4		IRF4	IRF4	0.2729	94	1
3_MACS_peak_1628_lociStitched	chr1	183439042	183450910	3	6670	8873.7036	3426.2916	95	SMG7		SMG7	SMG7	0.04680000000000001	95	1
1_MACS_peak_4659_lociStitched	chr12	4224744	4229297	1	4554	7055.7841	1622.6892	96			CCND2	CCND2	0.16670000000000001	96	1
3_MACS_peak_17929_lociStitched	chr5	138720388	138730282	3	6989	8019.087	2606.0796	97	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	0.44760000000000005	97	1
2_MACS_peak_14014_lociStitched	chr3	13050430	13059343	2	7928	8137.569	2729.1606	98	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.04190000000000001	98	1
3_MACS_peak_7250_lociStitched	chr15	81585577	81595531	3	5592	8414.1162	3029.0022	99	IL16	STARD5	IL16	STARD5	0.11939999999999998	99	1
2_MACS_peak_1883_lociStitched	chr1	206287131	206292398	2	5175	7677.1792	2322.747	100	C1orf186	CTSE	C1orf186	C1orf186	0.11369999999999997	100	1
5_MACS_peak_13722_lociStitched	chr22	37611397	37627546	5	7193	9011.142	3662.5932	101	RAC2	C1QTNF6,SSTR3	SSTR3	SSTR3	0.06230000000000001	101	1
1_MACS_peak_16927_lociStitched	chr5	1312290	1317959	1	5670	7267.658	1939.3649	102		TERT,CLPTM1L	TERT	CLPTM1L	0.28259999999999996	102	1
5_MACS_peak_4884_lociStitched	chr12	26265984	26279826	5	8793	8857.4958	3543.552	103	BHLHE41		BHLHE41	BHLHE41	0.26990000000000003	103	1
1_MACS_peak_1030_lociStitched	chr1	143742618	143746028	1	3411	6679.849	1382.073	104	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.0708	104	1
2_MACS_peak_1888_lociStitched	chr1	206728517	206737758	2	8515	8837.1683	3575.3429	105	RASSF5	LGTN	RASSF5	RASSF5	0.0756	105	1
1_MACS_peak_1712_lociStitched	chr1	192544168	192550819	1	6652	7794.3069	2558.6397	106	RGS1		RGS1	RGS1	0.35819999999999996	106	1
4_MACS_peak_9763_lociStitched	chr19	1258829	1276883	4	8410	9727.4952	4547.8026	107	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	0.24409999999999998	107	1
2_MACS_peak_1064_lociStitched	chr1	145449868	145457820	2	5328	8448.2048	3273.8384	108	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	0.20520000000000005	108	1
2_MACS_peak_19387_lociStitched	chr6	108879359	108887775	2	8121	7060.1824	1895.2832	109	FOXO3		FOXO3	FOXO3	0.20710000000000003	109	1
3_MACS_peak_1035_lociStitched	chr1	143992211	144001163	3	4604	7380.0288	2246.952	110	SRGAP2P2		SRGAP2P2	SRGAP2P2	0.0464	110	1
5_MACS_peak_9096_lociStitched	chr17	75078937	75093099	5	7687	8407.9794	3275.6706	111	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	0.3045	111	1
2_MACS_peak_15498_lociStitched	chr3	193848410	193855786	2	5073	7238.0688	2139.04	112	HES1		HES1	HES1	0.43739999999999996	112	1
7_MACS_peak_5757_lociStitched	chr12	123371736	123386811	7	7982	7315.8975	2219.04	113	VPS37B		VPS37B	VPS37B	0.18380000000000002	113	1
1_MACS_peak_15233_lociStitched	chr3	169974208	169977273	1	3066	6378.5715	1282.0895	114	PRKCI		PRKCI	PRKCI	0.06640000000000001	114	1
3_MACS_peak_18641_lociStitched	chr6	26195426	26206912	3	7922	7838.0464	2760.0858	115	HIST1H2BF,HIST1H4E,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BF	HIST1H2BF	0.41840000000000005	115	1
3_MACS_peak_3878_lociStitched	chr11	60673341	60683614	3	6198	7544.4912	2468.6019	116	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	TMEM109	0.22349999999999998	116	1
1_MACS_peak_9820_lociStitched	chr19	2607475	2611795	1	4321	6651.936	1576.368	117	GNG7		GNG7	GNG7	0.1038	117	1
2_MACS_peak_15293_lociStitched	chr3	176912502	176920301	2	7437	7589.9868	2540.1343	118	TBL1XR1		TBL1XR1	TBL1XR1	0.04770000000000002	118	1
3_MACS_peak_1826_lociStitched	chr1	203267598	203280341	3	9815	9874.5507	4849.9858	119	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.2981	119	1
2_MACS_peak_18454_lociStitched	chr6	7959951	7964440	2	3707	6265.2973	1273.5293	120	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	0.40700000000000003	120	1
2_MACS_peak_12312_lociStitched	chr2	218082840	218088765	2	3220	6197.55	1218.18	121			TNP1	TNP1	NONE	121	1
1_MACS_peak_6218_lociStitched	chr13	114829435	114834690	1	5256	6413.7275	1436.1915	122	RASA3		RASA3	RASA3	0.07150000000000001	122	1
1_MACS_peak_1127_lociStitched	chr1	149856118	149860776	1	4659	7107.1764	2131.9666	123	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H2AC	0.48510000000000003	123	1
2_MACS_peak_20082_lociStitched	chr7	26003289	26009620	2	5022	6845.0772	1880.307	124		MIR148A	MIR148A	MIR148A	0.231	124	1
4_MACS_peak_9142_lociStitched	chr17	76712667	76726080	4	7887	8118.8889	3169.4919	125	CYTH1		CYTH1	CYTH1	0.1197	125	1
4_MACS_peak_5372_lociStitched	chr12	77453953	77464830	4	4704	7105.9441	2169.9615	126	E2F7		E2F7	E2F7	0.08280000000000001	126	1
4_MACS_peak_14903_lociStitched	chr3	129027209	129037348	4	7281	7567.7496	2656.418	127	C3orf47,H1FX	C3orf37	C3orf47	C3orf47	0.21070000000000003	127	1
2_MACS_peak_3266_lociStitched	chr10	112256898	112264915	2	7791	7170.4048	2272.0178	128	DUSP5		DUSP5	DUSP5	0.26549999999999996	128	1
3_MACS_peak_12177_lociStitched	chr2	202116874	202126902	3	6264	7392.6416	2500.9832	129	CASP8		CASP8	CASP8	0.1261	129	1
1_MACS_peak_1825_lociStitched	chr1	203255850	203260585	1	4736	7032.422	2145.902	130		BTG2,LOC730227	LOC730227	LOC730227	0.2981	130	1
2_MACS_peak_17169_lociStitched	chr5	43037215	43043710	2	6273	6415.1115	1531.521	131	LOC153684,C5orf39	LOC648987,LOC100132356	C5orf39	C5orf39	0.4292	131	1
1_MACS_peak_1061_lociStitched	chr1	145394884	145400501	1	5618	7085.8455	2209.7278	132		HFE2,TXNIP	HFE2	TXNIP	0.20520000000000005	132	1
1_MACS_peak_20344_lociStitched	chr7	55599527	55604084	1	4558	6491.4465	1616.8236	133	VOPP1		VOPP1	VOPP1	0.1439	133	1
3_MACS_peak_18240_lociStitched	chr5	172191856	172205350	3	5271	7301.6034	2431.6188	134	DUSP1		DUSP1	DUSP1	0.31479999999999997	134	1
4_MACS_peak_15214_lociStitched	chr3	169480413	169492031	4	6641	8021.0672	3164.7432	135	MYNN,TERC,ARPM1	MYNN,LRRIQ4,LRRC34	ARPM1	ARPM1	0.3677	135	1
3_MACS_peak_18655_lociStitched	chr6	26358320	26366168	3	5163	6840.3168	1987.8984	136	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.1631	136	1
5_MACS_peak_12338_lociStitched	chr2	219743947	219763485	5	7106	9518.9136	4673.4896	137	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	0.21880000000000002	137	1
3_MACS_peak_8930_lociStitched	chr17	62150515	62160271	3	5823	7374.5604	2529.7308	138	ERN1		ERN1	ERN1	0.21559999999999999	138	1
4_MACS_peak_16130_lociStitched	chr4	84132748	84143789	4	7077	7617.1859	2787.8525	139			COQ2	COQ2	NONE	139	1
2_MACS_peak_7181_lociStitched	chr15	75334832	75340426	2	3512	6409.0458	1580.305	140	PPCDC	SCAMP5	PPCDC	PPCDC	0.16649999999999998	140	1
2_MACS_peak_7339_lociStitched	chr15	90638353	90646506	2	6462	7145.2892	2321.1591	141	IDH2		IDH2	IDH2	0.19659999999999997	141	1
2_MACS_peak_5427_lociStitched	chr12	89738544	89748861	2	6105	7424.1132	2604.0108	142	DUSP6		DUSP6	DUSP6	0.3434	142	1
5_MACS_peak_20201_lociStitched	chr7	38388362	38408291	5	8450	8900.2914	4089.4308	143			TARP	TARP	NONE	143	1
3_MACS_peak_4454_lociStitched	chr11	118796473	118801515	3	4901	6140.6518	1342.1804	144		CXCR5,UPK2,FOXR1,BCL9L	BCL9L	CXCR5	0.017499999999999988	144	1
3_MACS_peak_15848_lociStitched	chr4	40303194	40312292	3	5660	7272.0314	2489.2128	145		CHRNA9	CHRNA9	NONE	NONE	145	1
4_MACS_peak_12740_lociStitched	chr20	25268919	25280970	4	6492	7145.0379	2366.8164	146	PYGB,ABHD12		PYGB	PYGB	0.1068	146	1
3_MACS_peak_20258_lociStitched	chr7	44669160	44679445	3	5207	7380.516	2610.333	147	OGDH	TMED4	OGDH	OGDH	0.055999999999999994	147	1
3_MACS_peak_20993_lociStitched	chr7	134670411	134681782	3	5389	8108.6601	3349.8966	148	AGBL3		AGBL3	AGBL3	0.013600000000000001	148	1
5_MACS_peak_9285_lociStitched	chr18	9133985	9144326	5	6741	7026.7095	2281.2246	149	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.05610000000000001	149	1
3_MACS_peak_6802_lociStitched	chr15	40835078	40843537	3	4314	6774.8131	2079.2222	150		RPUSD2,CASC5,MRPL42P5,C15orf57	MRPL42P5	C15orf57	0.1898	150	1
2_MACS_peak_2117_lociStitched	chr1	226840481	226851520	2	7332	8688.7969	3993.9102	151	ITPKB		ITPKB	ITPKB	0.07750000000000001	151	1
5_MACS_peak_23047_lociStitched	chr9	130538096	130551561	5	7135	7179.538	2493.718	152	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	MIR2861	MIR2861	0.1828	152	1
3_MACS_peak_19685_lociStitched	chr6	138259911	138274077	3	6591	7716.2202	3041.4402	153			TNFAIP3	TNFAIP3	0.14980000000000002	153	1
4_MACS_peak_3615_lociStitched	chr11	19453642	19464521	4	5479	7418.3901	2757.8265	154	NAV2		FLJ13439	FLJ13439	NONE	154	1
3_MACS_peak_8251_lociStitched	chr17	4275338	4281092	3	5374	5953.0884	1295.8008	155		UBE2G1	UBE2G1	UBE2G1	0.0039000000000000007	155	1
1_MACS_peak_8369_lociStitched	chr17	16890733	16893844	1	3112	5833.4361	1194.0018	156		TNFRSF13B	TNFRSF13B	TNFRSF13B	0.13990000000000002	156	1
