REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_13722_lociStitched	chr22	37611397	37627546	5	7193	9011.142	3662.5932	89	RAC2	C1QTNF6,SSTR3	SSTR3	SSTR3	0.06230000000000001	89	1
4_MACS_peak_8519_lociStitched	chr17	32692053	32710661	4	7181	9897.5952	4179.3568	90		CCL8,CCL13,CCL1	CCL1	CCL1	0.1288	90	1
2_MACS_peak_1829_lociStitched	chr1	203289287	203297878	2	7165	9704.3936	3369.3902	91		BTG2,LOC730227,FMOD	BTG2	LOC730227	0.2981	91	1
5_MACS_peak_23047_lociStitched	chr9	130538096	130551561	5	7135	7179.538	2493.718	92	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	MIR2861	MIR2861	0.1828	92	1
5_MACS_peak_12338_lociStitched	chr2	219743947	219763485	5	7106	9518.9136	4673.4896	93	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	0.21880000000000002	93	1
3_MACS_peak_18630_lociStitched	chr6	26020479	26034525	3	7096	7635.4056	3038.1498	94	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H4B	0.26560000000000006	94	1
4_MACS_peak_16130_lociStitched	chr4	84132748	84143789	4	7077	7617.1859	2787.8525	95			COQ2	COQ2	NONE	95	1
2_MACS_peak_9813_lociStitched	chr19	2468866	2480021	2	7072	8966.389	2903.6465	96	GADD45B	TIMM13,LMNB2	GADD45B	GADD45B	0.4474	96	1
3_MACS_peak_10062_lociStitched	chr19	16434791	16442145	3	7058	5426.5166	1484.0372	97	KLF2		KLF2	KLF2	0.3395	97	1
3_MACS_peak_9644_lociStitched	chr18	60822285	60830476	3	7021	7901.8577	2381.9428	98	BCL2		BCL2	BCL2	0.06309999999999999	98	1
2_MACS_peak_13567_lociStitched	chr22	24180718	24191371	2	7012	6605.9253	2832.6327	99	DERL3	SLC2A11,MIF	DERL3	DERL3	0.061	99	1
2_MACS_peak_13550_lociStitched	chr22	23270221	23278743	2	7003	10019.3154	2899.1844	100		IGLL5	IGLL5	IGLL5	0.41290000000000004	100	1
3_MACS_peak_17929_lociStitched	chr5	138720388	138730282	3	6989	8019.087	2606.0796	101	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	0.44760000000000005	101	1
4_MACS_peak_22006_lociStitched	chr8	126441613	126449084	4	6972	5935.7095	1687.6989	102	TRIB1		TRIB1	TRIB1	0.31930000000000003	102	1
2_MACS_peak_19251_lociStitched	chr6	90059711	90068283	2	6956	6890.1736	2287.0096	103	UBE2J1	GABRR2	UBE2J1	UBE2J1	0.1842	103	1
4_MACS_peak_18036_lociStitched	chr5	148205116	148214871	4	6912	7360.1475	2737.253	104	ADRB2		ADRB2	ADRB2	0.31820000000000004	104	1
1_MACS_peak_18817_lociStitched	chr6	32934978	32941876	1	6899	6320.6374	1992.1424	105	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	0.22940000000000002	105	1
3_MACS_peak_17645_lociStitched	chr5	109024093	109032726	3	6854	5992.1653	2383.5713	106	MAN2A1		MAN2A1	MAN2A1	0.0383	106	1
3_MACS_peak_8553_lociStitched	chr17	34409477	34420384	3	6850	11462.1663	2647.1289	107	CCL3	CCL18,CCL4	CCL3	CCL3	0.7238	107	1
2_MACS_peak_171_lociStitched	chr1	17221236	17232649	2	6802	13046.2003	4880.1988	108		CROCC	CROCC	NONE	NONE	108	1
3_MACS_peak_11339_lociStitched	chr2	97191627	97205421	3	6788	8370.1992	2891.2224	109	ARID5A	NEURL3	ARID5A	ARID5A	0.2278	109	1
1_MACS_peak_13380_lociStitched	chr21	41325349	41332120	1	6772	6949.0773	2432.1432	110			PCP4	PCP4	NONE	110	1
5_MACS_peak_9285_lociStitched	chr18	9133985	9144326	5	6741	7026.7095	2281.2246	111	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.05610000000000001	111	1
3_MACS_peak_17085_lociStitched	chr5	32530883	32543521	3	6732	8390.3682	2925.697	112		SUB1	SUB1	SUB1	0.20279999999999998	112	1
3_MACS_peak_9821_lociStitched	chr19	2620032	2632098	3	6708	9386.1414	3745.2864	113	GNG7		GNG7	GNG7	0.1038	113	1
3_MACS_peak_1628_lociStitched	chr1	183439042	183450910	3	6670	8873.7036	3426.2916	114	SMG7		SMG7	SMG7	0.04680000000000001	114	1
1_MACS_peak_1712_lociStitched	chr1	192544168	192550819	1	6652	7794.3069	2558.6397	115	RGS1		RGS1	RGS1	0.35819999999999996	115	1
4_MACS_peak_21998_lociStitched	chr8	126292521	126307804	4	6651	7898.2544	3599.1465	116	NSMCE2		TRIB1	TRIB1	0.31930000000000003	116	1
4_MACS_peak_15214_lociStitched	chr3	169480413	169492031	4	6641	8021.0672	3164.7432	117	MYNN,TERC,ARPM1	MYNN,LRRIQ4,LRRC34	ARPM1	ARPM1	0.3677	117	1
2_MACS_peak_11107_lociStitched	chr2	65158462	65167425	2	6628	6780.5095	2653.9443	118	LOC400958	SLC1A4	LOC400958	LOC400958	0.1254	118	1
2_MACS_peak_2812_lociStitched	chr10	63804757	63811425	2	6624	5124.358	1735.0136	119	ARID5B		ARID5B	ARID5B	0.0632	119	1
2_MACS_peak_5647_lociStitched	chr12	108953716	108963766	2	6617	7733.475	3262.23	120	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	0.30650000000000005	120	1
3_MACS_peak_9504_lociStitched	chr18	46458394	46470031	3	6601	6185.0655	2555.4852	121	SMAD7		SMAD7	SMAD7	0.2211	121	1
5_MACS_peak_9280_lociStitched	chr18	9101981	9117979	5	6595	9987.5514	3673.1408	122	NDUFV2	ANKRD12	NDUFV2	NDUFV2	0.2646	122	1
2_MACS_peak_20796_lociStitched	chr7	114561859	114572994	2	6592	7414.7965	3102.211	123	MDFIC		MDFIC	MDFIC	0.19909999999999997	123	1
3_MACS_peak_19685_lociStitched	chr6	138259911	138274077	3	6591	7716.2202	3041.4402	124			TNFAIP3	TNFAIP3	0.14980000000000002	124	1
3_MACS_peak_9962_lociStitched	chr19	11199543	11207639	3	6574	6427.4144	2001.3312	125	LDLR		LDLR	LDLR	0.12890000000000001	125	1
2_MACS_peak_1027_lociStitched	chr1	143462257	143469072	2	6502	7058.977	3070.1575	126			LOC100130000	LOC100130000	NONE	126	1
4_MACS_peak_12740_lociStitched	chr20	25268919	25280970	4	6492	7145.0379	2366.8164	127	PYGB,ABHD12		PYGB	PYGB	0.1068	127	1
2_MACS_peak_1879_lociStitched	chr1	206132405	206139852	2	6471	6043.2405	2447.0842	128	FAM72A		FAM72A	FAM72A	0.091	128	1
2_MACS_peak_7339_lociStitched	chr15	90638353	90646506	2	6462	7145.2892	2321.1591	129	IDH2		IDH2	IDH2	0.19659999999999997	129	1
4_MACS_peak_13162_lociStitched	chr21	19152441	19166768	4	6458	8455.7954	2915.5445	130	C21orf91		C21orf91	C21orf91	0.14029999999999998	130	1
4_MACS_peak_7702_lociStitched	chr16	22195353	22211840	4	6457	7699.429	3661.7627	131		EEF2K	EEF2K	EEF2K	0.01920000000000001	131	1
3_MACS_peak_1356_lociStitched	chr1	160641730	160654345	3	6441	7648.4745	3789.546	132	CD48	SLAMF1	SLAMF1	NONE	NONE	132	1
2_MACS_peak_2135_lociStitched	chr1	228269600	228279249	2	6416	7303.3281	3023.0317	133	ARF1	MIR3620,GUK1,C1orf35,MRPL55	ARF1	MRPL55	0.2246	133	1
4_MACS_peak_10867_lociStitched	chr2	42323933	42333828	4	6415	6703.8625	2355.9995	134		PKDCC	PKDCC	NONE	NONE	134	1
2_MACS_peak_8367_lociStitched	chr17	16871446	16880053	2	6386	5521.3905	2128.5111	135	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.13990000000000002	135	1
3_MACS_peak_18622_lociStitched	chr6	25403885	25412584	3	6375	8428.4611	2668.8532	136	LRRC16A		LRRC16A	LRRC16A	0.03749999999999998	136	1
2_MACS_peak_9840_lociStitched	chr19	3984506	3990882	2	6361	5641.4848	2243.0768	137	EEF2	PIAS4,MIR637,DAPK3,SNORD37	EEF2	EEF2	0.2403	137	1
3_MACS_peak_4084_lociStitched	chr11	71414357	71426429	3	6326	6782.0496	3060.252	138			FAM86C	FAM86C	NONE	138	1
2_MACS_peak_1219_lociStitched	chr1	154375164	154381509	2	6315	7173.657	2609.6985	139	IL6R		IL6R	IL6R	0.10040000000000002	139	1
4_MACS_peak_18970_lociStitched	chr6	45387049	45394589	4	6280	4790.916	1499.706	140	RUNX2	SUPT3H	RUNX2	RUNX2	0.0315	140	1
2_MACS_peak_17169_lociStitched	chr5	43037215	43043710	2	6273	6415.1115	1531.521	141	LOC153684,C5orf39	LOC648987,LOC100132356	C5orf39	C5orf39	0.4292	141	1
1_MACS_peak_22088_lociStitched	chr8	134579390	134585660	1	6271	5147.043	1538.031	142	ST3GAL1		ST3GAL1	ST3GAL1	0.0577	142	1
3_MACS_peak_12177_lociStitched	chr2	202116874	202126902	3	6264	7392.6416	2500.9832	143	CASP8		CASP8	CASP8	0.1261	143	1
4_MACS_peak_13704_lociStitched	chr22	36773202	36784875	4	6260	5946.2262	2459.5011	144	MYH9		MYH9	MYH9	0.08050000000000002	144	1
4_MACS_peak_11771_lociStitched	chr2	157188509	157199919	4	6242	5974.276	1989.904	145	NR4A2		NR4A2	NR4A2	0.12369999999999998	145	1
2_MACS_peak_1271_lociStitched	chr1	155940130	155950544	2	6235	6522.2882	3005.4804	146	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	0.4236	146	1
4_MACS_peak_9275_lociStitched	chr18	9061231	9074287	4	6222	9802.4448	3176.5248	147		NDUFV2	NDUFV2	NDUFV2	0.2646	147	1
2_MACS_peak_8316_lociStitched	chr17	7737834	7748427	2	6211	5975.5113	2256.309	148	KDM6B	TMEM88,CYB5D1,CHD3,LSMD1	KDM6B	KDM6B	0.20199999999999999	148	1
1_MACS_peak_1865_lociStitched	chr1	205252118	205258323	1	6206	8739.122	2426.155	149		NUAK2	NUAK2	NUAK2	0.09160000000000001	149	1
2_MACS_peak_16822_lociStitched	chr4	185201638	185210471	2	6199	5698.1683	2679.9322	150			ENPP6	NONE	NONE	150	1
3_MACS_peak_3878_lociStitched	chr11	60673341	60683614	3	6198	7544.4912	2468.6019	151	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	TMEM109	0.22349999999999998	151	1
5_MACS_peak_13040_lociStitched	chr20	52546382	52559533	5	6179	5911.3745	2413.2085	152			SUMO1P1	SUMO1P1	NONE	152	1
2_MACS_peak_4499_lociStitched	chr11	122930718	122941134	2	6162	5073.6336	2348.808	153	HSPA8	LOC341056	HSPA8	HSPA8	0.1918	153	1
4_MACS_peak_23059_lociStitched	chr9	130830386	130845042	4	6150	6683.136	2699.6352	154	SLC25A25	SLC25A25,LOC389791,NAIF1,LOC100289019,PTGES2	SLC25A25	NAIF1	0.11280000000000001	154	1
1_MACS_peak_11786_lociStitched	chr2	158295568	158301683	1	6116	5058.328	1801.479	155	CYTIP		CYTIP	CYTIP	0.11930000000000002	155	1
2_MACS_peak_5427_lociStitched	chr12	89738544	89748861	2	6105	7424.1132	2604.0108	156	DUSP6		DUSP6	DUSP6	0.3434	156	1
