REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
4_MACS_peak_9763_lociStitched	chr19	1258829	1276883	4	8410	9727.4952	4547.8026	67	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	67	1
2_MACS_peak_21010_lociStitched	chr7	136037062	136046872	2	5365	10222.02	3022.461	68			LUZP6	68	1
3_MACS_peak_8937_lociStitched	chr17	62197696	62208519	3	8975	7155.0853	2604.0138	69	ERN1	SNORD104,SNORA76	ERN1	69	1
4_MACS_peak_9275_lociStitched	chr18	9061231	9074287	4	6222	9802.4448	3176.5248	70		NDUFV2	NDUFV2	70	1
2_MACS_peak_14014_lociStitched	chr3	13050430	13059343	2	7928	8137.569	2729.1606	71	IQSEC1	IQSEC1	IQSEC1	71	1
2_MACS_peak_20005_lociStitched	chr7	20255954	20261186	2	4890	8664.7152	1416.8256	72	MACC1		MACC1	72	1
2_MACS_peak_9813_lociStitched	chr19	2468866	2480021	2	7072	8966.389	2903.6465	73	GADD45B	TIMM13,LMNB2	GADD45B	73	1
4_MACS_peak_17514_lociStitched	chr5	88175202	88185826	4	8835	6891.7888	2431.8336	74	MEF2C		MEF2C	74	1
6_MACS_peak_14142_lociStitched	chr3	30683993	30703466	6	7526	9822.1812	4134.1179	75	TGFBR2		TGFBR2	75	1
2_MACS_peak_19387_lociStitched	chr6	108879359	108887775	2	8121	7060.1824	1895.2832	76	FOXO3		FOXO3	76	1
5_MACS_peak_20201_lociStitched	chr7	38388362	38408291	5	8450	8900.2914	4089.4308	77			TARP	77	1
5_MACS_peak_9280_lociStitched	chr18	9101981	9117979	5	6595	9987.5514	3673.1408	78	NDUFV2	ANKRD12	NDUFV2	78	1
3_MACS_peak_19139_lociStitched	chr6	74220358	74234066	3	7263	9169.2812	3414.6628	79	EEF1A1	MTO1	EEF1A1	79	1
7_MACS_peak_5757_lociStitched	chr12	123371736	123386811	7	7982	7315.8975	2219.04	80	VPS37B		VPS37B	80	1
3_MACS_peak_1378_lociStitched	chr1	161145098	161156566	3	7409	9465.6872	3880.7712	81	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	81	1
4_MACS_peak_8519_lociStitched	chr17	32692053	32710661	4	7181	9897.5952	4179.3568	82		CCL8,CCL13,CCL1	CCL1	82	1
3_MACS_peak_18641_lociStitched	chr6	26195426	26206912	3	7922	7838.0464	2760.0858	83	HIST1H2BF,HIST1H4E,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BF	83	1
1_MACS_peak_1865_lociStitched	chr1	205252118	205258323	1	6206	8739.122	2426.155	84		NUAK2	NUAK2	84	1
4_MACS_peak_9142_lociStitched	chr17	76712667	76726080	4	7887	8118.8889	3169.4919	85	CYTH1		CYTH1	85	1
5_MACS_peak_9096_lociStitched	chr17	75078937	75093099	5	7687	8407.9794	3275.6706	86	C17orf86,SCARNA16	SEC14L1	SCARNA16	86	1
4_MACS_peak_2226_lociStitched	chr1	235140445	235152079	4	5018	9885.4098	3092.3172	87			SNORA14B	87	1
3_MACS_peak_6208_lociStitched	chr13	114557172	114566589	3	8576	6763.2894	2635.8183	88	GAS6	FLJ44054,GAS6	GAS6	88	1
3_MACS_peak_9061_lociStitched	chr17	73771227	73782205	3	8109	7239.991	2647.8936	89	UNK,H3F3B	GALK1	H3F3B	89	1
2_MACS_peak_3266_lociStitched	chr10	112256898	112264915	2	7791	7170.4048	2272.0178	90	DUSP5		DUSP5	90	1
3_MACS_peak_9644_lociStitched	chr18	60822285	60830476	3	7021	7901.8577	2381.9428	91	BCL2		BCL2	91	1
6_MACS_peak_20481_lociStitched	chr7	78116553	78127981	6	8065	7579.0496	3008.9924	92	MAGI2		RPL13AP17	92	1
1_MACS_peak_3260_lociStitched	chr10	112113037	112118793	1	5757	8267.9184	1954.7376	93		SMNDC1	SMNDC1	93	1
5_MACS_peak_13722_lociStitched	chr22	37611397	37627546	5	7193	9011.142	3662.5932	94	RAC2	C1QTNF6,SSTR3	SSTR3	94	1
1_MACS_peak_1113_lociStitched	chr1	149222041	149225536	1	3496	9978.5745	2758.254	95			LOC388692	95	1
3_MACS_peak_9821_lociStitched	chr19	2620032	2632098	3	6708	9386.1414	3745.2864	96	GNG7		GNG7	96	1
2_MACS_peak_15293_lociStitched	chr3	176912502	176920301	2	7437	7589.9868	2540.1343	97	TBL1XR1		TBL1XR1	97	1
3_MACS_peak_17929_lociStitched	chr5	138720388	138730282	3	6989	8019.087	2606.0796	98	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	98	1
3_MACS_peak_11339_lociStitched	chr2	97191627	97205421	3	6788	8370.1992	2891.2224	99	ARID5A	NEURL3	ARID5A	99	1
2_MACS_peak_4664_lociStitched	chr12	4378457	4388170	2	8167	6328.0195	2137.8313	100	CCND2	C12orf5	CCND2	100	1
3_MACS_peak_18622_lociStitched	chr6	25403885	25412584	3	6375	8428.4611	2668.8532	101	LRRC16A		LRRC16A	101	1
3_MACS_peak_17085_lociStitched	chr5	32530883	32543521	3	6732	8390.3682	2925.697	102		SUB1	SUB1	102	1
2_MACS_peak_7981_lociStitched	chr16	66549864	66559472	2	6028	8568.4144	2662.3768	103	TK2	CKLF,CMTM1	TK2	103	1
3_MACS_peak_1628_lociStitched	chr1	183439042	183450910	3	6670	8873.7036	3426.2916	104	SMG7		SMG7	104	1
5_MACS_peak_6792_lociStitched	chr15	40388181	40401832	5	7623	8033.6135	3423.6708	105	BMF		BMF	105	1
4_MACS_peak_14903_lociStitched	chr3	129027209	129037348	4	7281	7567.7496	2656.418	106	C3orf47,H1FX	C3orf37	C3orf47	106	1
4_MACS_peak_13162_lociStitched	chr21	19152441	19166768	4	6458	8455.7954	2915.5445	107	C21orf91		C21orf91	107	1
4_MACS_peak_18233_lociStitched	chr5	171601289	171616192	4	8299	6757.0202	2989.5418	108	STK10	EFCAB9	STK10	108	1
2_MACS_peak_2117_lociStitched	chr1	226840481	226851520	2	7332	8688.7969	3993.9102	109	ITPKB		ITPKB	109	1
1_MACS_peak_1712_lociStitched	chr1	192544168	192550819	1	6652	7794.3069	2558.6397	110	RGS1		RGS1	110	1
5_MACS_peak_12338_lociStitched	chr2	219743947	219763485	5	7106	9518.9136	4673.4896	111	WNT10A	WNT6,PRKAG3	WNT10A	111	1
4_MACS_peak_16130_lociStitched	chr4	84132748	84143789	4	7077	7617.1859	2787.8525	112			COQ2	112	1
2_MACS_peak_1571_lociStitched	chr1	179049095	179058898	2	5957	8643.3051	3011.4816	113	TOR3A		TOR3A	113	1
5_MACS_peak_23047_lociStitched	chr9	130538096	130551561	5	7135	7179.538	2493.718	114	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	MIR2861	114	1
2_MACS_peak_1239_lociStitched	chr1	154924139	154935376	2	7621	7675.9947	3580.1082	115	PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK	PBXIP1	115	1
3_MACS_peak_18630_lociStitched	chr6	26020479	26034525	3	7096	7635.4056	3038.1498	116	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	116	1
5_MACS_peak_9149_lociStitched	chr17	76767577	76779381	5	7298	6835.6964	2490.644	117	CYTH1		CYTH1	117	1
2_MACS_peak_19251_lociStitched	chr6	90059711	90068283	2	6956	6890.1736	2287.0096	118	UBE2J1	GABRR2	UBE2J1	118	1
4_MACS_peak_15214_lociStitched	chr3	169480413	169492031	4	6641	8021.0672	3164.7432	119	MYNN,TERC,ARPM1	MYNN,LRRIQ4,LRRC34	ARPM1	119	1
4_MACS_peak_18036_lociStitched	chr5	148205116	148214871	4	6912	7360.1475	2737.253	120	ADRB2		ADRB2	120	1
2_MACS_peak_3725_lociStitched	chr11	35160163	35168572	2	7870	5971.2309	2387.3151	121	CD44		CD44	121	1
5_MACS_peak_9285_lociStitched	chr18	9133985	9144326	5	6741	7026.7095	2281.2246	122	NDUFV2,ANKRD12		ANKRD12	122	1
2_MACS_peak_1237_lociStitched	chr1	154908292	154916980	2	5400	9340.4688	3683.712	123	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	123	1
3_MACS_peak_3878_lociStitched	chr11	60673341	60683614	3	6198	7544.4912	2468.6019	124	TMEM109,PRPF19	ZP1,TMEM132A,GPR44,SLC15A3	TMEM109	124	1
2_MACS_peak_7339_lociStitched	chr15	90638353	90646506	2	6462	7145.2892	2321.1591	125	IDH2		IDH2	125	1
4_MACS_peak_12740_lociStitched	chr20	25268919	25280970	4	6492	7145.0379	2366.8164	126	PYGB,ABHD12		PYGB	126	1
2_MACS_peak_9818_lociStitched	chr19	2595141	2600139	2	4773	7969.311	2102.6586	127	GNG7		GNG7	127	1
1_MACS_peak_13380_lociStitched	chr21	41325349	41332120	1	6772	6949.0773	2432.1432	128			PCP4	128	1
3_MACS_peak_19685_lociStitched	chr6	138259911	138274077	3	6591	7716.2202	3041.4402	129			TNFAIP3	129	1
3_MACS_peak_7250_lociStitched	chr15	81585577	81595531	3	5592	8414.1162	3029.0022	130	IL16	STARD5	IL16	130	1
2_MACS_peak_20700_lociStitched	chr7	104578913	104586469	2	4706	7941.356	2070.344	131		LOC723809	LOC723809	131	1
1_MACS_peak_16927_lociStitched	chr5	1312290	1317959	1	5670	7267.658	1939.3649	132		TERT,CLPTM1L	TERT	132	1
3_MACS_peak_12177_lociStitched	chr2	202116874	202126902	3	6264	7392.6416	2500.9832	133	CASP8		CASP8	133	1
2_MACS_peak_17169_lociStitched	chr5	43037215	43043710	2	6273	6415.1115	1531.521	134	LOC153684,C5orf39	LOC648987,LOC100132356	C5orf39	134	1
3_MACS_peak_1361_lociStitched	chr1	160703246	160714752	3	7642	7215.4126	3704.932	135	SLAMF7	CD48	SLAMF7	135	1
1_MACS_peak_18817_lociStitched	chr6	32934978	32941876	1	6899	6320.6374	1992.1424	136	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	136	1
4_MACS_peak_22006_lociStitched	chr8	126441613	126449084	4	6972	5935.7095	1687.6989	137	TRIB1		TRIB1	137	1
1_MACS_peak_21149_lociStitched	chr7	150129866	150133633	1	3768	8047.4421	1894.801	138	LOC285972	LOC728743,GIMAP8	LOC285972	138	1
2_MACS_peak_5647_lociStitched	chr12	108953716	108963766	2	6617	7733.475	3262.23	139	ISCU,SART3	FICD,TMEM119	ISCU	139	1
2_MACS_peak_5427_lociStitched	chr12	89738544	89748861	2	6105	7424.1132	2604.0108	140	DUSP6		DUSP6	140	1
3_MACS_peak_9962_lociStitched	chr19	11199543	11207639	3	6574	6427.4144	2001.3312	141	LDLR		LDLR	141	1
3_MACS_peak_10062_lociStitched	chr19	16434791	16442145	3	7058	5426.5166	1484.0372	142	KLF2		KLF2	142	1
2_MACS_peak_13315_lociStitched	chr21	36594120	36600812	2	3408	8296.7416	2091.9192	143			RUNX1	143	1
4_MACS_peak_21998_lociStitched	chr8	126292521	126307804	4	6651	7898.2544	3599.1465	144	NSMCE2		TRIB1	144	1
1_MACS_peak_13398_lociStitched	chr21	43480999	43485205	1	4207	7832.4132	1979.7642	145	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	145	1
2_MACS_peak_1219_lociStitched	chr1	154375164	154381509	2	6315	7173.657	2609.6985	146	IL6R		IL6R	146	1
2_MACS_peak_1883_lociStitched	chr1	206287131	206292398	2	5175	7677.1792	2322.747	147	C1orf186	CTSE	C1orf186	147	1
2_MACS_peak_20796_lociStitched	chr7	114561859	114572994	2	6592	7414.7965	3102.211	148	MDFIC		MDFIC	148	1
1_MACS_peak_15497_lociStitched	chr3	193817987	193822765	1	4779	7779.5396	2235.6262	149		HES1	HES1	149	1
1_MACS_peak_169_lociStitched	chr1	17065464	17069663	1	4200	8108.269	2330.0251	150		ESPNP,MST1P9	ESPNP	150	1
3_MACS_peak_8930_lociStitched	chr17	62150515	62160271	3	5823	7374.5604	2529.7308	151	ERN1		ERN1	151	1
2_MACS_peak_1064_lociStitched	chr1	145449868	145457820	2	5328	8448.2048	3273.8384	152	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	152	1
2_MACS_peak_13567_lociStitched	chr22	24180718	24191371	2	7012	6605.9253	2832.6327	153	DERL3	SLC2A11,MIF	DERL3	153	1
4_MACS_peak_10867_lociStitched	chr2	42323933	42333828	4	6415	6703.8625	2355.9995	154		PKDCC	PKDCC	154	1
2_MACS_peak_11107_lociStitched	chr2	65158462	65167425	2	6628	6780.5095	2653.9443	155	LOC400958	SLC1A4	LOC400958	155	1
2_MACS_peak_2135_lociStitched	chr1	228269600	228279249	2	6416	7303.3281	3023.0317	156	ARF1	MIR3620,GUK1,C1orf35,MRPL55	ARF1	156	1
1_MACS_peak_1061_lociStitched	chr1	145394884	145400501	1	5618	7085.8455	2209.7278	157		HFE2,TXNIP	HFE2	157	1
2_MACS_peak_12070_lociStitched	chr2	192539417	192545570	2	6100	5921.6472	1413.9594	158	OBFC2A		OBFC2A	158	1
2_MACS_peak_4377_lociStitched	chr11	111241410	111250782	2	5946	6962.4588	2372.0532	159	POU2AF1		POU2AF1	159	1
3_MACS_peak_15848_lociStitched	chr4	40303194	40312292	3	5660	7272.0314	2489.2128	160		CHRNA9	CHRNA9	160	1
2_MACS_peak_1582_lociStitched	chr1	179846094	179853269	2	4087	8434.93	2778.8775	161	TOR1AIP1,TOR1AIP2		TOR1AIP1	161	1
1_MACS_peak_4659_lociStitched	chr12	4224744	4229297	1	4554	7055.7841	1622.6892	162			CCND2	162	1
2_MACS_peak_15498_lociStitched	chr3	193848410	193855786	2	5073	7238.0688	2139.04	163	HES1		HES1	163	1
1_MACS_peak_6218_lociStitched	chr13	114829435	114834690	1	5256	6413.7275	1436.1915	164	RASA3		RASA3	164	1
4_MACS_peak_7702_lociStitched	chr16	22195353	22211840	4	6457	7699.429	3661.7627	165		EEF2K	EEF2K	165	1
2_MACS_peak_1027_lociStitched	chr1	143462257	143469072	2	6502	7058.977	3070.1575	166			LOC100130000	166	1
3_MACS_peak_17645_lociStitched	chr5	109024093	109032726	3	6854	5992.1653	2383.5713	167	MAN2A1		MAN2A1	167	1
1_MACS_peak_15296_lociStitched	chr3	177075060	177079224	1	4165	7078.8	1579.8216	168			TBL1XR1	168	1
3_MACS_peak_18240_lociStitched	chr5	172191856	172205350	3	5271	7301.6034	2431.6188	169	DUSP1		DUSP1	169	1
3_MACS_peak_20993_lociStitched	chr7	134670411	134681782	3	5389	8108.6601	3349.8966	170	AGBL3		AGBL3	170	1
3_MACS_peak_18490_lociStitched	chr6	11828132	11835977	3	6077	6443.883	2231.118	171		C6orf105	C6orf105	171	1
3_MACS_peak_1356_lociStitched	chr1	160641730	160654345	3	6441	7648.4745	3789.546	172	CD48	SLAMF1	SLAMF1	172	1
2_MACS_peak_20082_lociStitched	chr7	26003289	26009620	2	5022	6845.0772	1880.307	173		MIR148A	MIR148A	173	1
4_MACS_peak_3615_lociStitched	chr11	19453642	19464521	4	5479	7418.3901	2757.8265	174	NAV2		FLJ13439	174	1
3_MACS_peak_18655_lociStitched	chr6	26358320	26366168	3	5163	6840.3168	1987.8984	175	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	175	1
3_MACS_peak_12913_lociStitched	chr20	43270896	43281984	3	6080	6972.1344	2827.44	176	ADA	LOC79015	ADA	176	1
3_MACS_peak_9504_lociStitched	chr18	46458394	46470031	3	6601	6185.0655	2555.4852	177	SMAD7		SMAD7	177	1
4_MACS_peak_11771_lociStitched	chr2	157188509	157199919	4	6242	5974.276	1989.904	178	NR4A2		NR4A2	178	1
3_MACS_peak_1035_lociStitched	chr1	143992211	144001163	3	4604	7380.0288	2246.952	179	SRGAP2P2		SRGAP2P2	179	1
3_MACS_peak_20258_lociStitched	chr7	44669160	44679445	3	5207	7380.516	2610.333	180	OGDH	TMED4	OGDH	180	1
3_MACS_peak_8251_lociStitched	chr17	4275338	4281092	3	5374	5953.0884	1295.8008	181		UBE2G1	UBE2G1	181	1
2_MACS_peak_15223_lociStitched	chr3	169754929	169765393	2	5475	7705.6896	3153.8496	182	GPR160		GPR160	182	1
4_MACS_peak_23059_lociStitched	chr9	130830386	130845042	4	6150	6683.136	2699.6352	183	SLC25A25	SLC25A25,LOC389791,NAIF1,LOC100289019,PTGES2	SLC25A25	183	1
3_MACS_peak_12866_lociStitched	chr20	37499202	37505355	3	5745	6029.94	1698.228	184	PPP1R16B	FAM83D	FAM83D	184	1
2_MACS_peak_1879_lociStitched	chr1	206132405	206139852	2	6471	6043.2405	2447.0842	186	FAM72A		FAM72A	186	1
3_MACS_peak_4084_lociStitched	chr11	71414357	71426429	3	6326	6782.0496	3060.252	187			FAM86C	187	1
5_MACS_peak_7109_lociStitched	chr15	70042068	70058825	5	5909	7331.1875	3220.6954	188			C15orf50	188	1
2_MACS_peak_2812_lociStitched	chr10	63804757	63811425	2	6624	5124.358	1735.0136	189	ARID5B		ARID5B	189	1
