#32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_ROSE/32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam
#Using cutoff of 2419.1208 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X32_0EX8_0229Kronos_MM1S.No.Treatment.2_IRF4_hs_i48.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
1_MACS_peak_169_lociStitched	chr1	17065464	17069663	1	4200	8108.269	2330.0251	150	1
3_MACS_peak_8930_lociStitched	chr17	62150515	62160271	3	5823	7374.5604	2529.7308	151	1
2_MACS_peak_1064_lociStitched	chr1	145449868	145457820	2	5328	8448.2048	3273.8384	152	1
2_MACS_peak_13567_lociStitched	chr22	24180718	24191371	2	7012	6605.9253	2832.6327	153	1
4_MACS_peak_10867_lociStitched	chr2	42323933	42333828	4	6415	6703.8625	2355.9995	154	1
2_MACS_peak_11107_lociStitched	chr2	65158462	65167425	2	6628	6780.5095	2653.9443	155	1
2_MACS_peak_2135_lociStitched	chr1	228269600	228279249	2	6416	7303.3281	3023.0317	156	1
1_MACS_peak_1061_lociStitched	chr1	145394884	145400501	1	5618	7085.8455	2209.7278	157	1
2_MACS_peak_12070_lociStitched	chr2	192539417	192545570	2	6100	5921.6472	1413.9594	158	1
2_MACS_peak_4377_lociStitched	chr11	111241410	111250782	2	5946	6962.4588	2372.0532	159	1
3_MACS_peak_15848_lociStitched	chr4	40303194	40312292	3	5660	7272.0314	2489.2128	160	1
2_MACS_peak_1582_lociStitched	chr1	179846094	179853269	2	4087	8434.93	2778.8775	161	1
1_MACS_peak_4659_lociStitched	chr12	4224744	4229297	1	4554	7055.7841	1622.6892	162	1
2_MACS_peak_15498_lociStitched	chr3	193848410	193855786	2	5073	7238.0688	2139.04	163	1
1_MACS_peak_6218_lociStitched	chr13	114829435	114834690	1	5256	6413.7275	1436.1915	164	1
4_MACS_peak_7702_lociStitched	chr16	22195353	22211840	4	6457	7699.429	3661.7627	165	1
2_MACS_peak_1027_lociStitched	chr1	143462257	143469072	2	6502	7058.977	3070.1575	166	1
3_MACS_peak_17645_lociStitched	chr5	109024093	109032726	3	6854	5992.1653	2383.5713	167	1
1_MACS_peak_15296_lociStitched	chr3	177075060	177079224	1	4165	7078.8	1579.8216	168	1
3_MACS_peak_18240_lociStitched	chr5	172191856	172205350	3	5271	7301.6034	2431.6188	169	1
3_MACS_peak_20993_lociStitched	chr7	134670411	134681782	3	5389	8108.6601	3349.8966	170	1
3_MACS_peak_18490_lociStitched	chr6	11828132	11835977	3	6077	6443.883	2231.118	171	1
3_MACS_peak_1356_lociStitched	chr1	160641730	160654345	3	6441	7648.4745	3789.546	172	1
2_MACS_peak_20082_lociStitched	chr7	26003289	26009620	2	5022	6845.0772	1880.307	173	1
4_MACS_peak_3615_lociStitched	chr11	19453642	19464521	4	5479	7418.3901	2757.8265	174	1
3_MACS_peak_18655_lociStitched	chr6	26358320	26366168	3	5163	6840.3168	1987.8984	175	1
3_MACS_peak_12913_lociStitched	chr20	43270896	43281984	3	6080	6972.1344	2827.44	176	1
3_MACS_peak_9504_lociStitched	chr18	46458394	46470031	3	6601	6185.0655	2555.4852	177	1
4_MACS_peak_11771_lociStitched	chr2	157188509	157199919	4	6242	5974.276	1989.904	178	1
3_MACS_peak_1035_lociStitched	chr1	143992211	144001163	3	4604	7380.0288	2246.952	179	1
3_MACS_peak_20258_lociStitched	chr7	44669160	44679445	3	5207	7380.516	2610.333	180	1
3_MACS_peak_8251_lociStitched	chr17	4275338	4281092	3	5374	5953.0884	1295.8008	181	1
2_MACS_peak_15223_lociStitched	chr3	169754929	169765393	2	5475	7705.6896	3153.8496	182	1
4_MACS_peak_23059_lociStitched	chr9	130830386	130845042	4	6150	6683.136	2699.6352	183	1
3_MACS_peak_12866_lociStitched	chr20	37499202	37505355	3	5745	6029.94	1698.228	184	1
2_MACS_peak_1879_lociStitched	chr1	206132405	206139852	2	6471	6043.2405	2447.0842	186	1
3_MACS_peak_4084_lociStitched	chr11	71414357	71426429	3	6326	6782.0496	3060.252	187	1
5_MACS_peak_7109_lociStitched	chr15	70042068	70058825	5	5909	7331.1875	3220.6954	188	1
2_MACS_peak_2812_lociStitched	chr10	63804757	63811425	2	6624	5124.358	1735.0136	189	1
1_MACS_peak_1127_lociStitched	chr1	149856118	149860776	1	4659	7107.1764	2131.9666	190	1
4_MACS_peak_5372_lociStitched	chr12	77453953	77464830	4	4704	7105.9441	2169.9615	191	1
3_MACS_peak_4454_lociStitched	chr11	118796473	118801515	3	4901	6140.6518	1342.1804	192	1
1_MACS_peak_1825_lociStitched	chr1	203255850	203260585	1	4736	7032.422	2145.902	193	1
2_MACS_peak_8316_lociStitched	chr17	7737834	7748427	2	6211	5975.5113	2256.309	194	1
1_MACS_peak_9820_lociStitched	chr19	2607475	2611795	1	4321	6651.936	1576.368	195	1
1_MACS_peak_22088_lociStitched	chr8	134579390	134585660	1	6271	5147.043	1538.031	196	1
2_MACS_peak_1031_lociStitched	chr1	143911811	143919030	2	6045	6386.6493	2559.1355	197	1
3_MACS_peak_3222_lociStitched	chr10	105258033	105267966	3	5181	6981.9057	2458.4175	198	1
3_MACS_peak_5527_lociStitched	chr12	96792102	96802430	3	5350	6358.9496	1962.32	199	1
4_MACS_peak_671_lociStitched	chr1	66736610	66748928	4	5754	6988.0014	2910.7434	200	1
1_MACS_peak_1124_lociStitched	chr1	149810916	149815926	1	5011	6289.554	1683.861	201	1
3_MACS_peak_13280_lociStitched	chr21	34746291	34756627	3	5449	7087.3952	2793.8208	202	1
1_MACS_peak_20344_lociStitched	chr7	55599527	55604084	1	4558	6491.4465	1616.8236	203	1
3_MACS_peak_19394_lociStitched	chr6	108929550	108941539	3	5866	6050.8483	2107.6662	204	1
3_MACS_peak_8312_lociStitched	chr17	7475464	7488338	3	5837	6921.0624	2977.7562	205	1
2_MACS_peak_8367_lociStitched	chr17	16871446	16880053	2	6386	5521.3905	2128.5111	206	1
2_MACS_peak_9840_lociStitched	chr19	3984506	3990882	2	6361	5641.4848	2243.0768	207	1
2_MACS_peak_1271_lociStitched	chr1	155940130	155950544	2	6235	6522.2882	3005.4804	208	1
4_MACS_peak_13704_lociStitched	chr22	36773202	36784875	4	6260	5946.2262	2459.5011	209	1
2_MACS_peak_5581_lociStitched	chr12	102871990	102878815	2	5115	5975.97	1513.1025	210	1
2_MACS_peak_1359_lociStitched	chr1	160676774	160683313	2	5949	6327.1364	2563.9419	211	1
4_MACS_peak_991_lociStitched	chr1	118196396	118207635	4	5260	6083.6707	1775.762	212	1
5_MACS_peak_13040_lociStitched	chr20	52546382	52559533	5	6179	5911.3745	2413.2085	213	1
1_MACS_peak_1030_lociStitched	chr1	143742618	143746028	1	3411	6679.849	1382.073	214	1
2_MACS_peak_13443_lociStitched	chr21	45572783	45580122	2	4960	6725.4596	2248.6696	215	1
4_MACS_peak_18970_lociStitched	chr6	45387049	45394589	4	6280	4790.916	1499.706	216	1
3_MACS_peak_17726_lociStitched	chr5	118668137	118678145	3	5484	6454.1592	2400.9192	217	1
2_MACS_peak_1987_lociStitched	chr1	212779871	212788694	2	5287	6904.8798	2720.1309	218	1
3_MACS_peak_7937_lociStitched	chr16	57570113	57578884	3	4756	6125.6664	1584.0426	219	1
3_MACS_peak_5107_lociStitched	chr12	51713945	51721702	3	5886	5493.5074	1858.5772	220	1
2_MACS_peak_1710_lociStitched	chr1	192507110	192515873	2	6095	6235.7508	2814.6756	221	1
3_MACS_peak_15471_lociStitched	chr3	191007833	191019513	3	5773	6812.944	3075.344	222	1
3_MACS_peak_16831_lociStitched	chr4	185337834	185348937	3	5679	6772.83	2964.501	223	1
1_MACS_peak_17540_lociStitched	chr5	90675441	90681145	1	5705	5380.0128	1615.3728	224	1
2_MACS_peak_20293_lociStitched	chr7	47514364	47522175	2	5939	5758.2692	2219.1051	225	1
3_MACS_peak_20742_lociStitched	chr7	106504770	106513304	3	5954	6461.9448	2941.6698	226	1
2_MACS_peak_20958_lociStitched	chr7	130790791	130796886	2	5910	5562.297	2002.817	227	1
2_MACS_peak_13403_lociStitched	chr21	43647470	43655716	2	4804	7186.389	2758.287	228	1
4_MACS_peak_8685_lociStitched	chr17	41437509	41450558	4	5230	6840.2858	2737.6802	229	1
3_MACS_peak_6802_lociStitched	chr15	40835078	40843537	3	4314	6774.8131	2079.2222	230	1
2_MACS_peak_18454_lociStitched	chr6	7959951	7964440	2	3707	6265.2973	1273.5293	231	1
4_MACS_peak_18330_lociStitched	chr5	180229084	180238445	4	5290	5920.8325	1883.4332	232	1
1_MACS_peak_11786_lociStitched	chr2	158295568	158301683	1	6116	5058.328	1801.479	233	1
2_MACS_peak_10272_lociStitched	chr19	42040862	42047380	2	5008	5662.1866	1422.2276	234	1
2_MACS_peak_16959_lociStitched	chr5	6479968	6486630	2	5560	5383.5622	1622.8632	235	1
3_MACS_peak_21391_lociStitched	chr8	26428544	26436326	3	5086	6043.5012	1912.0374	236	1
5_MACS_peak_3274_lociStitched	chr10	112619327	112631867	5	6020	6291.318	3022.14	237	1
4_MACS_peak_20125_lociStitched	chr7	30059940	30073220	4	5762	5900.304	2366.496	238	1
4_MACS_peak_2804_lociStitched	chr10	63656530	63665210	4	5922	5285.252	1933.904	239	1
4_MACS_peak_10929_lociStitched	chr2	46789072	46802666	4	5957	6212.458	2905.0378	240	1
2_MACS_peak_19024_lociStitched	chr6	52393222	52403025	2	4931	6733.6807	2533.0952	241	1
2_MACS_peak_7916_lociStitched	chr16	56944293	56952455	2	4910	6119.0514	1905.0108	242	1
2_MACS_peak_16822_lociStitched	chr4	185201638	185210471	2	6199	5698.1683	2679.9322	243	1
3_MACS_peak_4570_lociStitched	chr11	129233807	129246994	3	5916	5895.9077	2579.3772	244	1
2_MACS_peak_18696_lociStitched	chr6	27798290	27807817	2	5303	6325.928	2449.3917	245	1
3_MACS_peak_1938_lociStitched	chr1	209920729	209930864	3	4696	7303.281	2994.8925	246	1
5_MACS_peak_5620_lociStitched	chr12	106529875	106543885	5	6049	5704.872	2608.662	248	1
2_MACS_peak_8614_lociStitched	chr17	37909849	37915316	2	4951	5687.8668	1590.3503	249	1
1_MACS_peak_10777_lociStitched	chr2	33700268	33705153	1	4886	5626.0545	1486.994	250	1
1_MACS_peak_1125_lociStitched	chr1	149820954	149825620	1	4667	6126.458	1839.8038	251	1
4_MACS_peak_15013_lociStitched	chr3	141205849	141218410	4	4735	6732.696	2493.3585	252	1
1_MACS_peak_1181_lociStitched	chr1	152006727	152011985	1	5259	5690.2076	1866.0642	253	1
3_MACS_peak_11480_lociStitched	chr2	112456070	112464639	3	4712	6754.0858	2537.2809	254	1
4_MACS_peak_16241_lociStitched	chr4	100865073	100872413	4	5403	5317.096	1632.416	255	1
3_MACS_peak_13851_lociStitched	chr22	42928764	42936076	3	4549	6380.4512	2068.5648	256	1
3_MACS_peak_6968_lociStitched	chr15	56656699	56664663	3	4614	6052.64	1783.1396	258	1
2_MACS_peak_17850_lociStitched	chr5	131799238	131804082	2	4523	5962.964	1647.4444	259	1
2_MACS_peak_15541_lociStitched	chr3	196358569	196368124	2	5593	5972.8305	2500.5435	260	1
3_MACS_peak_3204_lociStitched	chr10	104531568	104542295	3	4732	6659.3216	2499.391	261	1
2_MACS_peak_7181_lociStitched	chr15	75334832	75340426	2	3512	6409.0458	1580.305	262	1
2_MACS_peak_338_lociStitched	chr1	31216081	31221672	2	5529	4978.7855	1515.161	263	1
1_MACS_peak_23098_lociStitched	chr9	132646480	132651887	1	5408	5070.1439	1503.146	264	1
