REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
3_MACS_peak_18487_lociStitched	chr6	25403417	25413755	3	9934	25759.1946	12	1	LRRC16A		LRRC16A	LRRC16A	0.248	12	1
6_MACS_peak_12648_lociStitched	chr2	112455663	112466045	6	9636	36247.7148	13	1			ANAPC1	ANAPC1	NONE	13	1
14_MACS_peak_8253_lociStitched	chr16	79631797	79644554	14	9848	19296.2382	14	1	MAF		MAF	MAF	0.9557	14	1
2_MACS_peak_7345_lociStitched	chr15	100649855	100658852	2	8716	38492.7648	15	1	ADAMTS17		ADAMTS17	ADAMTS17	0.2587	15	1
5_MACS_peak_9263_lociStitched	chr17	56408151	56417271	5	8946	24369.552	16	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	MIR142	1.3011	16	1
4_MACS_peak_13626_lociStitched	chr20	25274126	25283368	4	8773	26892.3716	17	1	PYGB,ABHD12		PYGB	PYGB	0.7023	17	1
3_MACS_peak_8756_lociStitched	chr17	21197477	21205917	3	8234	37749.588	18	1	MAP2K3	C17orf103	MAP2K3	MAP2K3	1.32	18	1
4_MACS_peak_6549_lociStitched	chr15	21994719	22003590	4	8619	19968.621	19	1		CXADRP2	CXADRP2	CXADRP2	0.8996	19	1
2_MACS_peak_22611_lociStitched	chr9	140061419	140069842	2	8323	33522.6977	20	1	GRIN1,LRRC26,MIR3621,ANAPC2	SSNA1,NDOR1,C9orf169,TPRN,TMEM203,RNF208	LRRC26	LRRC26	3.0132	20	1
4_MACS_peak_7080_lociStitched	chr15	75074376	75083360	4	8548	18728.9448	21	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	0.8826	21	1
9_MACS_peak_6454_lociStitched	chr14	106025724	106035562	9	8346	22232.8962	22	1		TMEM121	TMEM121	TMEM121	0.0825	22	1
2_MACS_peak_1888_lociStitched	chr1	203289022	203297387	2	8224	22502.6865	23	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	1.3771	23	1
4_MACS_peak_9111_lociStitched	chr17	43298549	43306988	4	8287	16714.2834	24	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.6498	24	1
3_MACS_peak_10148_lociStitched	chr18	60822224	60830562	3	8189	22533.445	25	1	BCL2		BCL2	BCL2	0.353	25	1
6_MACS_peak_17797_lociStitched	chr5	131755764	131764460	6	8257	18134.6384	26	1	C5orf56		C5orf56	C5orf56	0.6819	26	1
3_MACS_peak_2216_lociStitched	chr1	234742293	234750136	3	7535	39587.5425	27	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.1382	27	1
6_MACS_peak_12575_lociStitched	chr2	109826691	109835872	6	8031	17810.2219	28	1	SH3RF3		MIR4265	MIR4265	NONE	28	1
4_MACS_peak_18395_lociStitched	chr6	11827888	11835980	4	7984	20799.6768	29	1		C6orf105	C6orf105	C6orf105	0.4357	29	1
2_MACS_peak_12457_lociStitched	chr2	97188182	97195914	2	7733	27984.4276	30	1		ARID5A,NEURL3	ARID5A	ARID5A	0.7789	30	1
3_MACS_peak_13653_lociStitched	chr20	30293101	30301444	3	7899	16998.0282	31	1	BCL2L1	TPX2	BCL2L1	BCL2L1	0.6304	31	1
5_MACS_peak_6479_lociStitched	chr14	106146025	106154701	5	7727	20943.864	32	1			TMEM121	TMEM121	0.0825	32	1
4_MACS_peak_12554_lociStitched	chr2	107120221	107128052	4	7536	23886.1162	33	1		RGPD3	RGPD3	RGPD3	0.0787	33	1
3_MACS_peak_3613_lociStitched	chr11	62306511	62314690	3	7622	17631.4703	34	1	AHNAK	EEF1G,TUT1	AHNAK	EEF1G	0.7542	34	1
1_MACS_peak_11308_lociStitched	chr19	47729180	47736637	1	7458	20545.5264	35	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	BBC3	1.064	35	1
6_MACS_peak_16021_lociStitched	chr3	141084664	141093378	6	7402	21255.1888	36	1	ZBTB38		ZBTB38	ZBTB38	0.5763	36	1
7_MACS_peak_13856_lociStitched	chr20	46038969	46046814	7	7512	13650.3	37	1			ZMYND8	ZMYND8	NONE	37	1
7_MACS_peak_18531_lociStitched	chr6	26358942	26367192	7	7455	16324.275	38	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	0.7267	38	1
2_MACS_peak_8876_lociStitched	chr17	32711959	32719375	2	7332	22506.0768	39	1		CCL13,CCL1	CCL1	CCL1	0.6399	39	1
3_MACS_peak_4431_lociStitched	chr12	4378085	4385433	3	7160	27118.5288	40	1	CCND2	C12orf5	CCND2	CCND2	0.7526	40	1
1_MACS_peak_17894_lociStitched	chr5	138723227	138730368	1	7142	23035.4378	41	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	2.0271	41	1
3_MACS_peak_154_lociStitched	chr1	6977335	6984637	3	7103	16896.828	42	1	CAMTA1		CAMTA1	CAMTA1	0.1465	42	1
9_MACS_peak_1272_lociStitched	chr1	145448654	145456603	9	7149	13529.9929	43	1	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	TXNIP	0.8268	43	1
3_MACS_peak_11847_lociStitched	chr2	27383792	27391140	3	6990	22465.0404	44	1		ABHD1,TCF23,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	TCF23	1.0019	44	1
2_MACS_peak_64_lociStitched	chr1	1707647	1714737	2	6799	27259.632	45	1	NADK	SLC35E2,NADK	NADK	NADK	0.9367	45	1
3_MACS_peak_19941_lociStitched	chr7	55635993	55642894	3	6868	23734.6093	46	1	VOPP1		VOPP1	VOPP1	0.9299	46	1
6_MACS_peak_7631_lociStitched	chr16	11771306	11779147	6	7001	15959.5714	47	1	SNN,TXNDC11		SNN	SNN	0.9369	47	1
3_MACS_peak_19921_lociStitched	chr7	55598885	55605906	3	6785	24903.487	48	1	VOPP1		VOPP1	VOPP1	0.9299	48	1
5_MACS_peak_7097_lociStitched	chr15	75334442	75341626	5	6755	25900.4752	49	1	PPCDC	SCAMP5	PPCDC	PPCDC	1.0178	49	1
4_MACS_peak_14573_lociStitched	chr22	23291379	23298770	4	6904	15390.2793	50	1			IGLL5	IGLL5	0.0946	50	1
3_MACS_peak_19543_lociStitched	chr7	5459326	5466458	3	6725	24010.5912	51	1	TNRC18		TNRC18	TNRC18	0.323	51	1
5_MACS_peak_11842_lociStitched	chr2	27374817	27382583	5	6880	14275.4612	52	1	TCF23	ABHD1,CGREF1,PREB,C2orf53	TCF23	TCF23	1.0019	52	1
6_MACS_peak_17443_lociStitched	chr5	63456742	63463916	6	6591	24934.6718	53	1	RNF180		RNF180	RNF180	0.2661	53	1
1_MACS_peak_1485_lociStitched	chr1	154971115	154977623	1	6509	26473.2424	54	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	ZBTB7B	1.8474	54	1
4_MACS_peak_3334_lociStitched	chr11	12260943	12268187	4	6718	13249.276	55	1	MICAL2	MICALCL	MICALCL	MICALCL	0.0937	55	1
8_MACS_peak_10964_lociStitched	chr19	28953121	28960543	8	6739	10859.8704	56	1			LOC148145	LOC148145	NONE	56	1
5_MACS_peak_3566_lociStitched	chr11	60605088	60612013	5	6648	16656.01	57	1	CCDC86	ZP1,GPR44	CCDC86	ZP1	1.0485	57	1
4_MACS_peak_18391_lociStitched	chr6	11726454	11733375	4	6591	18616.1058	58	1	C6orf105		C6orf105	C6orf105	0.4357	58	1
3_MACS_peak_3616_lociStitched	chr11	62318851	62325668	3	6546	19315.9695	59	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	EEF1G	0.7542	59	1
2_MACS_peak_17437_lociStitched	chr5	61984151	61990564	2	6395	19570.5521	60	1			LRRC70	LRRC70	NONE	60	1
1_MACS_peak_1883_lociStitched	chr1	203255118	203261293	1	6176	26307.3525	61	1		BTG2,LOC730227	LOC730227	LOC730227	1.3771	61	1
10_MACS_peak_12410_lociStitched	chr2	95678368	95687076	10	6445	12423.7036	62	1		MAL	MAL	MAL	0.5281	62	1
4_MACS_peak_6513_lociStitched	chr15	20552470	20559304	4	6410	13994.6652	63	1			HERC2P3	HERC2P3	NONE	63	1
4_MACS_peak_21499_lociStitched	chr8	126441275	126447712	4	6263	17971.4603	64	1	TRIB1		TRIB1	TRIB1	1.0863	64	1
5_MACS_peak_13738_lociStitched	chr20	34684128	34691077	5	6336	13302.4707	65	1		EPB41L1,LOC647979	EPB41L1	LOC647979	0.326	65	1
6_MACS_peak_20707_lociStitched	chr7	150070037	150077340	6	6256	16154.9663	66	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,ACTR3C,RARRES2	ZNF775	LOC728743	0.9981	66	1
4_MACS_peak_10810_lociStitched	chr19	16694553	16701167	4	6069	16310.124	67	1	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.166	67	1
2_MACS_peak_811_lociStitched	chr1	45272196	45278131	2	5919	21764.2385	68	1	BTBD19,TCTEX1D4	RPS8,SNORD55,SNORD46,SNORD38A,SNORD38B,PLK3,BEST4,PTCH2	BTBD19	PLK3	1.9476	68	1
6_MACS_peak_10183_lociStitched	chr18	67284227	67291222	6	6089	12158.0095	69	1	DOK6		DOK6	DOK6	0.2093	69	1
4_MACS_peak_12703_lociStitched	chr2	121320973	121327291	4	6040	11912.589	70	1			LOC84931	LOC84931	NONE	70	1
1_MACS_peak_9670_lociStitched	chr17	79022335	79028217	1	5883	20374.0716	71	1	BAIAP2	FLJ90757	BAIAP2	BAIAP2	0.3755	71	1
1_MACS_peak_11950_lociStitched	chr2	43357755	43363632	1	5878	19702.0548	72	1			ZFP36L2	ZFP36L2	1.6334	72	1
4_MACS_peak_3571_lociStitched	chr11	60634338	60640679	4	5923	16847.4029	73	1	ZP1	CCDC86,TMEM109,GPR44,PRPF19	ZP1	ZP1	1.0485	73	1
7_MACS_peak_17861_lociStitched	chr5	135070478	135077599	7	6013	10728.4986	74	1			LOC340074	LOC340074	NONE	74	1
3_MACS_peak_487_lociStitched	chr1	27018779	27024772	3	5734	24311.2038	75	1	ARID1A		ARID1A	ARID1A	0.4745	75	1
1_MACS_peak_5881_lociStitched	chr13	114562592	114568144	1	5553	29395.064	76	1	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.0425	76	1
2_MACS_peak_5375_lociStitched	chr12	122237517	122243628	2	5779	20451.6837	77	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	1.3394	77	1
4_MACS_peak_12732_lociStitched	chr2	122572559	122578662	4	5893	12438.5243	78	1			TSN	TSN	NONE	78	1
1_MACS_peak_14360_lociStitched	chr21	43480746	43486333	1	5588	22803.8992	79	1	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.4878	79	1
1_MACS_peak_19429_lociStitched	chr6	168579831	168585490	1	5660	19750.4759	80	1			FRMD1	FRMD1	NONE	80	1
2_MACS_peak_14648_lociStitched	chr22	29194015	29199630	2	5548	23403.8815	81	1	XBP1	CCDC117	XBP1	XBP1	1.7684	81	1
4_MACS_peak_12558_lociStitched	chr2	107136611	107142692	4	5718	14444.8074	82	1			RGPD3	RGPD3	0.0787	82	1
4_MACS_peak_4242_lociStitched	chr11	117877721	117883865	4	5635	15425.1264	83	1		IL10RA	IL10RA	IL10RA	0.3464	83	1
3_MACS_peak_12011_lociStitched	chr2	47208982	47214733	3	5628	15636.3939	84	1	TTC7A	MCFD2	MCFD2	MCFD2	0.2933	84	1
2_MACS_peak_4580_lociStitched	chr12	12867276	12873274	2	5590	16671.441	85	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	CDKN1B	2.5208	85	1
3_MACS_peak_22035_lociStitched	chr9	93923107	93929132	3	5611	14008.125	86	1			LOC100129316	LOC100129316	NONE	86	1
4_MACS_peak_7114_lociStitched	chr15	75742763	75748761	4	5502	17193.8668	87	1	SIN3A		SIN3A	SIN3A	0.3535	87	1
5_MACS_peak_21429_lociStitched	chr8	119574378	119580711	5	5533	14270.1489	88	1	SAMD12		SAMD12	SAMD12	0.1423	88	1
1_MACS_peak_13560_lociStitched	chr20	17628061	17633586	1	5526	14189.8575	89	1	RRBP1	BANF2	RRBP1	RRBP1	0.3904	89	1
3_MACS_peak_15323_lociStitched	chr3	32461451	32467455	3	5520	14177.8456	90	1	CMTM7		CMTM7	CMTM7	0.4832	90	1
2_MACS_peak_20477_lociStitched	chr7	113722985	113728266	2	5265	24297.881	91	1	FOXP2		FOXP2	FOXP2	0.1164	91	1
3_MACS_peak_12294_lociStitched	chr2	86262121	86267681	3	5463	15164.344	92	1	POLR1A	LOC90784	LOC90784	LOC90784	0.1121	92	1
5_MACS_peak_8925_lociStitched	chr17	36856755	36862386	5	5479	13621.389	93	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.5345	93	1
7_MACS_peak_12059_lociStitched	chr2	60776446	60782954	7	5512	10824.1056	94	1	BCL11A		BCL11A	BCL11A	0.1966	94	1
4_MACS_peak_7358_lociStitched	chr15	101458358	101464430	4	5439	15525.4968	95	1	LRRK1	ALDH1A3	LRRK1	ALDH1A3	0.3666	95	1
3_MACS_peak_12312_lociStitched	chr2	87064921	87070664	3	5373	18405.1664	96	1	CD8B	CD8A	CD8B	CD8B	0.8345	96	1
5_MACS_peak_7243_lociStitched	chr15	89655179	89661041	5	5453	14272.7976	97	1	ABHD2		ABHD2	ABHD2	0.3175	97	1
2_MACS_peak_8764_lociStitched	chr17	21248368	21253878	2	5260	21793.703	98	1		KCNJ12	KCNJ12	KCNJ12	0.3519	98	1
2_MACS_peak_21551_lociStitched	chr8	134579838	134585192	2	5345	18158.6264	99	1	ST3GAL1		ST3GAL1	ST3GAL1	0.3348	99	1
7_MACS_peak_13139_lociStitched	chr2	204569076	204575815	7	5417	10657.7285	102	1	CD28		CD28	CD28	0.4176	102	1
3_MACS_peak_5890_lociStitched	chr13	114829612	114835221	3	5367	11814.7976	103	1	RASA3		RASA3	RASA3	0.1812	103	1
2_MACS_peak_21507_lociStitched	chr8	128806012	128810939	2	4910	29207.7487	104	1	PVT1,MIR1204		MIR1204	MIR1204	3.1327	104	1
4_MACS_peak_11769_lociStitched	chr2	20410068	20415900	4	5313	13441.0104	105	1	SDC1		SDC1	SDC1	1.2639	105	1
4_MACS_peak_14424_lociStitched	chr21	45280953	45286521	4	5185	19289.7792	106	1	AGPAT3	LOC284837	AGPAT3	AGPAT3	0.2516	106	1
3_MACS_peak_3673_lociStitched	chr11	64004602	64010019	3	5167	18633.9383	107	1	VEGFB,FKBP2	FERMT3,NUDT22,DNAJC4,PLCB3,GPR137,KCNK4,TRPT1,PPP1R14B,BAD	FKBP2	FKBP2	2.1104	107	1
2_MACS_peak_1681_lociStitched	chr1	167531574	167536923	2	5259	13692.9051	108	1		CD247,CREG1	CREG1	CREG1	0.6054	108	1
5_MACS_peak_6277_lociStitched	chr14	91829248	91835604	5	5286	11009.8632	109	1	CCDC88C		CCDC88C	CCDC88C	0.2801	109	1
3_MACS_peak_17711_lociStitched	chr5	112785004	112790275	3	5140	18453.2439	110	1	MCC	TSSK1B	TSSK1B	TSSK1B	0.1496	110	1
4_MACS_peak_10674_lociStitched	chr19	12899444	12905259	4	5229	14036.247	111	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	1.3214	111	1
1_MACS_peak_6944_lociStitched	chr15	65183493	65188590	1	5098	18374.685	112	1		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.2376	112	1
3_MACS_peak_21356_lociStitched	chr8	103544720	103550214	3	5212	11349.5052	113	1		ODF1	ODF1	ODF1	0.1438	113	1
2_MACS_peak_18985_lociStitched	chr6	74229357	74234214	2	4790	27334.7103	114	1	EEF1A1		EEF1A1	EEF1A1	1.982	114	1
2_MACS_peak_9047_lociStitched	chr17	40827123	40832528	2	5148	13724.9165	115	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	PLEKHH3	0.8303	115	1
2_MACS_peak_8248_lociStitched	chr16	79039680	79044796	2	5013	19811.71	116	1	WWOX		MAF	MAF	0.9557	116	1
1_MACS_peak_1537_lociStitched	chr1	156092347	156097315	1	4969	20478.096	117	1	LMNA	SEMA4A,MEX3A	LMNA	LMNA	0.9994	117	1
3_MACS_peak_15468_lociStitched	chr3	46542666	46548150	3	5126	11061.7764	119	1		RTP3,LTF	RTP3	RTP3	0.8792	119	1
4_MACS_peak_6621_lociStitched	chr15	31555128	31560350	4	5059	15078.525	120	1			KLF13	KLF13	0.8529	120	1
2_MACS_peak_6915_lociStitched	chr15	62744765	62749900	2	5074	13020.306	121	1			MGC15885	MGC15885	NONE	121	1
5_MACS_peak_15189_lociStitched	chr3	14161776	14167337	5	5014	15008.0268	122	1	TMEM43,CHCHD4		CHCHD4	CHCHD4	0.8196	122	1
3_MACS_peak_8672_lociStitched	chr17	16889960	16895262	3	5012	14725.7748	123	1		TNFRSF13B	TNFRSF13B	TNFRSF13B	0.2855	123	1
2_MACS_peak_3879_lociStitched	chr11	67568962	67574076	2	4980	14876.1146	125	1	LOC645332		LOC645332	LOC645332	0.7848	125	1
1_MACS_peak_10725_lociStitched	chr19	13949526	13954463	1	4938	15273.5969	127	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	0.9409	127	1
4_MACS_peak_21596_lociStitched	chr8	143591434	143597009	4	4994	11459.4125	128	1	BAI1		BAI1	BAI1	0.2622	128	1
2_MACS_peak_7109_lociStitched	chr15	75492322	75497183	2	4799	20643.2087	129	1	C15orf39		C15orf39	C15orf39	1.2484	129	1
2_MACS_peak_10784_lociStitched	chr19	16186331	16191181	2	4816	19334.525	130	1	TPM4	FLJ25328,RAB8A	TPM4	TPM4	0.6251	130	1
4_MACS_peak_5214_lociStitched	chr12	109025907	109031418	4	4980	10614.7371	131	1	SELPLG	TMEM119	SELPLG	SELPLG	0.6334	131	1
4_MACS_peak_18110_lociStitched	chr5	173168253	173173946	4	4940	12572.4212	132	1			BOD1	BOD1	NONE	132	1
3_MACS_peak_788_lociStitched	chr1	44297343	44302304	3	4947	11983.2955	133	1	ST3GAL3		ARTN	ARTN	NONE	133	1
3_MACS_peak_14853_lociStitched	chr22	39635750	39640887	3	4929	11490.9553	134	1	PDGFB		PDGFB	PDGFB	0.6135	134	1
1_MACS_peak_1486_lociStitched	chr1	154988071	154992891	1	4821	16575.98	135	1	ZBTB7B,DCST2	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,EFNA4,SHC1	ZBTB7B	ZBTB7B	1.8474	135	1
2_MACS_peak_14436_lociStitched	chr21	45572979	45578007	2	4747	19493.0532	136	1		PWP2,C21orf33	C21orf33	C21orf33	1.4395	136	1
2_MACS_peak_9092_lociStitched	chr17	42293883	42298760	2	4855	14742.1956	137	1	UBTF	ASB16,TMUB2,C17orf65,ATXN7L3,SLC4A1	UBTF	UBTF	0.8151	137	1
1_MACS_peak_21504_lociStitched	chr8	128746516	128751361	1	4846	14393.0415	139	1	MYC		MYC	MYC	1.173	139	1
2_MACS_peak_22429_lociStitched	chr9	134148405	134153319	2	4883	10822.5936	142	1	FAM78A	PPAPDC3	FAM78A	FAM78A	0.7689	142	1
3_MACS_peak_4422_lociStitched	chr12	4224607	4229545	3	4710	19270.545	143	1			CCND2	CCND2	0.7526	143	1
2_MACS_peak_22415_lociStitched	chr9	133319797	133324694	2	4822	13803.6636	145	1	ASS1		ASS1	ASS1	0.3367	145	1
4_MACS_peak_1839_lociStitched	chr1	200987690	200992833	4	4811	14323.255	146	1	KIF21B		KIF21B	KIF21B	0.3849	146	1
5_MACS_peak_3166_lociStitched	chr11	267580	272914	5	4827	13221.9192	147	1		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	NLRP6	0.2181	147	1
1_MACS_peak_21630_lociStitched	chr8	144607800	144612608	1	4809	12308.9608	148	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	NAPRT1	0.5875	148	1
3_MACS_peak_5882_lociStitched	chr13	114581476	114586295	3	4708	16697.835	149	1		FLJ44054,GAS6	FLJ44054	GAS6	1.0425	149	1
3_MACS_peak_16032_lociStitched	chr3	141119236	141124268	3	4694	16020.3784	151	1	ZBTB38		ZBTB38	ZBTB38	0.5763	151	1
4_MACS_peak_3743_lociStitched	chr11	65263707	65268544	4	4601	18800.4516	153	1	MALAT1	SCYL1	MALAT1	MALAT1	1.597	153	1
3_MACS_peak_23191_lociStitched	chrX	153234468	153239492	3	4645	16330.512	156	1	TMEM187,HCFC1	MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718	HCFC1	NAA10	0.7985	156	1
1_MACS_peak_6994_lociStitched	chr15	69109489	69113986	1	4498	21513.1983	157	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	ANP32A	0.5401	157	1
4_MACS_peak_9639_lociStitched	chr17	77782987	77787846	4	4703	13018.7187	158	1		CBX2,CBX8,CBX4	CBX8	CBX4	0.6707	158	1
3_MACS_peak_21626_lociStitched	chr8	144594959	144599976	3	4693	13273.4769	159	1	ZC3H3	GSDMD	ZC3H3	ZC3H3	0.4066	159	1
4_MACS_peak_19351_lociStitched	chr6	157980274	157985443	4	4686	12884.2494	161	1	ZDHHC14	MIR3692	MIR3692	MIR3692	0.1242	161	1
3_MACS_peak_6625_lociStitched	chr15	31617084	31622097	3	4658	14345.2008	162	1	KLF13		KLF13	KLF13	0.8529	162	1
2_MACS_peak_21029_lociStitched	chr8	29629902	29634505	2	4593	14599.7954	167	1		C8orf75	C8orf75	C8orf75	0.3232	167	1
2_MACS_peak_6392_lociStitched	chr14	103574607	103579682	2	4627	12377.4175	168	1	C14orf73	TNFAIP2	C14orf73	C14orf73	1.533	168	1
1_MACS_peak_5880_lociStitched	chr13	114556793	114561344	1	4552	15053.3427	169	1	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.0425	169	1
2_MACS_peak_21374_lociStitched	chr8	103816671	103821433	2	4462	16582.7126	171	1			AZIN1	AZIN1	NONE	171	1
3_MACS_peak_18511_lociStitched	chr6	26195743	26200564	3	4553	11686.5861	172	1	HIST1H2BF,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H4E,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H4D,HIST1H2BG,HIST1H1D,HIST1H4G	HIST1H3D	HIST1H1E	1.3025	172	1
3_MACS_peak_37_lociStitched	chr1	1240166	1244769	3	4551	11666.7638	173	1	PUSL1,ACAP3	SCNN1D,GLTPD1,TAS1R3,UBE2J2,CPSF3L,DVL1,MXRA8	ACAP3	CPSF3L	0.6798	173	1
1_MACS_peak_14763_lociStitched	chr22	37771790	37776112	1	4323	20673.8548	175	1	ELFN2		ELFN2	ELFN2	0.7296	175	1
3_MACS_peak_19113_lociStitched	chr6	108878540	108883607	3	4540	11109.9042	177	1	FOXO3		FOXO3	FOXO3	0.3707	177	1
1_MACS_peak_17119_lociStitched	chr5	1313293	1317809	1	4517	12212.1672	178	1		TERT,CLPTM1L	TERT	CLPTM1L	0.5255	178	1
2_MACS_peak_12321_lociStitched	chr2	87085572	87090092	2	4486	11930.088	181	1	CD8B		CD8B	CD8B	0.8345	181	1
4_MACS_peak_12162_lociStitched	chr2	68514198	68519080	4	4486	10883.9308	182	1	CNRIP1	PPP3R1	CNRIP1	CNRIP1	0.3303	182	1
1_MACS_peak_12183_lociStitched	chr2	70312761	70316981	1	4221	21624.124	183	1	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	2.0687	183	1
4_MACS_peak_3874_lociStitched	chr11	67413571	67418612	4	4445	11212.6963	185	1	ACY3	NDUFV1,DOC2GP,NUDT8,TBX10,ALDH3B2	ACY3	NUDT8	0.8973	185	1
2_MACS_peak_3777_lociStitched	chr11	65624576	65628980	2	4304	17423.5452	186	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	CFL1	CFL1	1.4539	186	1
1_MACS_peak_18696_lociStitched	chr6	32935685	32939783	1	4099	23795.4468	187	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.1783	187	1
3_MACS_peak_14393_lociStitched	chr21	44730216	44734852	3	4340	15306.2176	188	1			SIK1	SIK1	NONE	188	1
2_MACS_peak_22903_lociStitched	chrX	48793913	48798333	2	4397	11820.406	189	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	PIM2	0.652	189	1
1_MACS_peak_20422_lociStitched	chr7	104652202	104656330	1	4129	22046.8224	190	1	MLL5,LOC100216545		LOC100216545	LOC100216545	1.8044	190	1
3_MACS_peak_20704_lociStitched	chr7	150064276	150068360	3	4027	24655.9248	191	1	REPIN1	LRRC61,C7orf29,ZNF775,LOC728743,ACTR3C,RARRES2	REPIN1	REPIN1	2.7171	191	1
2_MACS_peak_14441_lociStitched	chr21	45660217	45664567	2	4286	16245.51	192	1	ICOSLG	AIRE,DNMT3L	ICOSLG	ICOSLG	0.7939	192	1
3_MACS_peak_9386_lociStitched	chr17	64940292	64945202	3	4365	11525.243	195	1		CACNG4	CACNG4	CACNG4	0.1177	195	1
2_MACS_peak_7954_lociStitched	chr16	49888913	49893342	2	4349	11205.37	197	1		ZNF423	ZNF423	ZNF423	0.1403	197	1
1_MACS_peak_1762_lociStitched	chr1	181097441	181101761	1	4321	12014.352	199	1		IER5	IER5	IER5	0.5046	199	1
