#RPMI8226 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226.H3K27ac_ROSE/RPMI8226_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226.jin.bam
#Using cutoff of 10610.632 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuperStretch
4_MACS_peak_6549_lociStitched	chr15	21994719	22003590	4	8619	19968.621	19	1
2_MACS_peak_22611_lociStitched	chr9	140061419	140069842	2	8323	33522.6977	20	1
4_MACS_peak_7080_lociStitched	chr15	75074376	75083360	4	8548	18728.9448	21	1
9_MACS_peak_6454_lociStitched	chr14	106025724	106035562	9	8346	22232.8962	22	1
2_MACS_peak_1888_lociStitched	chr1	203289022	203297387	2	8224	22502.6865	23	1
4_MACS_peak_9111_lociStitched	chr17	43298549	43306988	4	8287	16714.2834	24	1
3_MACS_peak_10148_lociStitched	chr18	60822224	60830562	3	8189	22533.445	25	1
6_MACS_peak_17797_lociStitched	chr5	131755764	131764460	6	8257	18134.6384	26	1
3_MACS_peak_2216_lociStitched	chr1	234742293	234750136	3	7535	39587.5425	27	1
6_MACS_peak_12575_lociStitched	chr2	109826691	109835872	6	8031	17810.2219	28	1
4_MACS_peak_18395_lociStitched	chr6	11827888	11835980	4	7984	20799.6768	29	1
2_MACS_peak_12457_lociStitched	chr2	97188182	97195914	2	7733	27984.4276	30	1
3_MACS_peak_13653_lociStitched	chr20	30293101	30301444	3	7899	16998.0282	31	1
5_MACS_peak_6479_lociStitched	chr14	106146025	106154701	5	7727	20943.864	32	1
4_MACS_peak_12554_lociStitched	chr2	107120221	107128052	4	7536	23886.1162	33	1
3_MACS_peak_3613_lociStitched	chr11	62306511	62314690	3	7622	17631.4703	34	1
1_MACS_peak_11308_lociStitched	chr19	47729180	47736637	1	7458	20545.5264	35	1
6_MACS_peak_16021_lociStitched	chr3	141084664	141093378	6	7402	21255.1888	36	1
7_MACS_peak_13856_lociStitched	chr20	46038969	46046814	7	7512	13650.3	37	1
7_MACS_peak_18531_lociStitched	chr6	26358942	26367192	7	7455	16324.275	38	1
2_MACS_peak_8876_lociStitched	chr17	32711959	32719375	2	7332	22506.0768	39	1
3_MACS_peak_4431_lociStitched	chr12	4378085	4385433	3	7160	27118.5288	40	1
1_MACS_peak_17894_lociStitched	chr5	138723227	138730368	1	7142	23035.4378	41	1
3_MACS_peak_154_lociStitched	chr1	6977335	6984637	3	7103	16896.828	42	1
9_MACS_peak_1272_lociStitched	chr1	145448654	145456603	9	7149	13529.9929	43	1
3_MACS_peak_11847_lociStitched	chr2	27383792	27391140	3	6990	22465.0404	44	1
2_MACS_peak_64_lociStitched	chr1	1707647	1714737	2	6799	27259.632	45	1
3_MACS_peak_19941_lociStitched	chr7	55635993	55642894	3	6868	23734.6093	46	1
6_MACS_peak_7631_lociStitched	chr16	11771306	11779147	6	7001	15959.5714	47	1
3_MACS_peak_19921_lociStitched	chr7	55598885	55605906	3	6785	24903.487	48	1
5_MACS_peak_7097_lociStitched	chr15	75334442	75341626	5	6755	25900.4752	49	1
4_MACS_peak_14573_lociStitched	chr22	23291379	23298770	4	6904	15390.2793	50	1
3_MACS_peak_19543_lociStitched	chr7	5459326	5466458	3	6725	24010.5912	51	1
5_MACS_peak_11842_lociStitched	chr2	27374817	27382583	5	6880	14275.4612	52	1
6_MACS_peak_17443_lociStitched	chr5	63456742	63463916	6	6591	24934.6718	53	1
1_MACS_peak_1485_lociStitched	chr1	154971115	154977623	1	6509	26473.2424	54	1
4_MACS_peak_3334_lociStitched	chr11	12260943	12268187	4	6718	13249.276	55	1
8_MACS_peak_10964_lociStitched	chr19	28953121	28960543	8	6739	10859.8704	56	1
5_MACS_peak_3566_lociStitched	chr11	60605088	60612013	5	6648	16656.01	57	1
4_MACS_peak_18391_lociStitched	chr6	11726454	11733375	4	6591	18616.1058	58	1
3_MACS_peak_3616_lociStitched	chr11	62318851	62325668	3	6546	19315.9695	59	1
2_MACS_peak_17437_lociStitched	chr5	61984151	61990564	2	6395	19570.5521	60	1
1_MACS_peak_1883_lociStitched	chr1	203255118	203261293	1	6176	26307.3525	61	1
10_MACS_peak_12410_lociStitched	chr2	95678368	95687076	10	6445	12423.7036	62	1
4_MACS_peak_6513_lociStitched	chr15	20552470	20559304	4	6410	13994.6652	63	1
4_MACS_peak_21499_lociStitched	chr8	126441275	126447712	4	6263	17971.4603	64	1
5_MACS_peak_13738_lociStitched	chr20	34684128	34691077	5	6336	13302.4707	65	1
6_MACS_peak_20707_lociStitched	chr7	150070037	150077340	6	6256	16154.9663	66	1
4_MACS_peak_10810_lociStitched	chr19	16694553	16701167	4	6069	16310.124	67	1
2_MACS_peak_811_lociStitched	chr1	45272196	45278131	2	5919	21764.2385	68	1
6_MACS_peak_10183_lociStitched	chr18	67284227	67291222	6	6089	12158.0095	69	1
4_MACS_peak_12703_lociStitched	chr2	121320973	121327291	4	6040	11912.589	70	1
1_MACS_peak_9670_lociStitched	chr17	79022335	79028217	1	5883	20374.0716	71	1
1_MACS_peak_11950_lociStitched	chr2	43357755	43363632	1	5878	19702.0548	72	1
4_MACS_peak_3571_lociStitched	chr11	60634338	60640679	4	5923	16847.4029	73	1
7_MACS_peak_17861_lociStitched	chr5	135070478	135077599	7	6013	10728.4986	74	1
3_MACS_peak_487_lociStitched	chr1	27018779	27024772	3	5734	24311.2038	75	1
1_MACS_peak_5881_lociStitched	chr13	114562592	114568144	1	5553	29395.064	76	1
2_MACS_peak_5375_lociStitched	chr12	122237517	122243628	2	5779	20451.6837	77	1
4_MACS_peak_12732_lociStitched	chr2	122572559	122578662	4	5893	12438.5243	78	1
1_MACS_peak_14360_lociStitched	chr21	43480746	43486333	1	5588	22803.8992	79	1
1_MACS_peak_19429_lociStitched	chr6	168579831	168585490	1	5660	19750.4759	80	1
2_MACS_peak_14648_lociStitched	chr22	29194015	29199630	2	5548	23403.8815	81	1
4_MACS_peak_12558_lociStitched	chr2	107136611	107142692	4	5718	14444.8074	82	1
4_MACS_peak_4242_lociStitched	chr11	117877721	117883865	4	5635	15425.1264	83	1
3_MACS_peak_12011_lociStitched	chr2	47208982	47214733	3	5628	15636.3939	84	1
2_MACS_peak_4580_lociStitched	chr12	12867276	12873274	2	5590	16671.441	85	1
3_MACS_peak_22035_lociStitched	chr9	93923107	93929132	3	5611	14008.125	86	1
4_MACS_peak_7114_lociStitched	chr15	75742763	75748761	4	5502	17193.8668	87	1
5_MACS_peak_21429_lociStitched	chr8	119574378	119580711	5	5533	14270.1489	88	1
1_MACS_peak_13560_lociStitched	chr20	17628061	17633586	1	5526	14189.8575	89	1
3_MACS_peak_15323_lociStitched	chr3	32461451	32467455	3	5520	14177.8456	90	1
2_MACS_peak_20477_lociStitched	chr7	113722985	113728266	2	5265	24297.881	91	1
3_MACS_peak_12294_lociStitched	chr2	86262121	86267681	3	5463	15164.344	92	1
5_MACS_peak_8925_lociStitched	chr17	36856755	36862386	5	5479	13621.389	93	1
7_MACS_peak_12059_lociStitched	chr2	60776446	60782954	7	5512	10824.1056	94	1
4_MACS_peak_7358_lociStitched	chr15	101458358	101464430	4	5439	15525.4968	95	1
3_MACS_peak_12312_lociStitched	chr2	87064921	87070664	3	5373	18405.1664	96	1
5_MACS_peak_7243_lociStitched	chr15	89655179	89661041	5	5453	14272.7976	97	1
2_MACS_peak_8764_lociStitched	chr17	21248368	21253878	2	5260	21793.703	98	1
2_MACS_peak_21551_lociStitched	chr8	134579838	134585192	2	5345	18158.6264	99	1
7_MACS_peak_13139_lociStitched	chr2	204569076	204575815	7	5417	10657.7285	102	1
3_MACS_peak_5890_lociStitched	chr13	114829612	114835221	3	5367	11814.7976	103	1
2_MACS_peak_21507_lociStitched	chr8	128806012	128810939	2	4910	29207.7487	104	1
4_MACS_peak_11769_lociStitched	chr2	20410068	20415900	4	5313	13441.0104	105	1
4_MACS_peak_14424_lociStitched	chr21	45280953	45286521	4	5185	19289.7792	106	1
3_MACS_peak_3673_lociStitched	chr11	64004602	64010019	3	5167	18633.9383	107	1
2_MACS_peak_1681_lociStitched	chr1	167531574	167536923	2	5259	13692.9051	108	1
5_MACS_peak_6277_lociStitched	chr14	91829248	91835604	5	5286	11009.8632	109	1
3_MACS_peak_17711_lociStitched	chr5	112785004	112790275	3	5140	18453.2439	110	1
4_MACS_peak_10674_lociStitched	chr19	12899444	12905259	4	5229	14036.247	111	1
1_MACS_peak_6944_lociStitched	chr15	65183493	65188590	1	5098	18374.685	112	1
3_MACS_peak_21356_lociStitched	chr8	103544720	103550214	3	5212	11349.5052	113	1
2_MACS_peak_18985_lociStitched	chr6	74229357	74234214	2	4790	27334.7103	114	1
2_MACS_peak_9047_lociStitched	chr17	40827123	40832528	2	5148	13724.9165	115	1
2_MACS_peak_8248_lociStitched	chr16	79039680	79044796	2	5013	19811.71	116	1
1_MACS_peak_1537_lociStitched	chr1	156092347	156097315	1	4969	20478.096	117	1
3_MACS_peak_15468_lociStitched	chr3	46542666	46548150	3	5126	11061.7764	119	1
4_MACS_peak_6621_lociStitched	chr15	31555128	31560350	4	5059	15078.525	120	1
2_MACS_peak_6915_lociStitched	chr15	62744765	62749900	2	5074	13020.306	121	1
5_MACS_peak_15189_lociStitched	chr3	14161776	14167337	5	5014	15008.0268	122	1
3_MACS_peak_8672_lociStitched	chr17	16889960	16895262	3	5012	14725.7748	123	1
2_MACS_peak_3879_lociStitched	chr11	67568962	67574076	2	4980	14876.1146	125	1
1_MACS_peak_10725_lociStitched	chr19	13949526	13954463	1	4938	15273.5969	127	1
4_MACS_peak_21596_lociStitched	chr8	143591434	143597009	4	4994	11459.4125	128	1
2_MACS_peak_7109_lociStitched	chr15	75492322	75497183	2	4799	20643.2087	129	1
2_MACS_peak_10784_lociStitched	chr19	16186331	16191181	2	4816	19334.525	130	1
4_MACS_peak_5214_lociStitched	chr12	109025907	109031418	4	4980	10614.7371	131	1
4_MACS_peak_18110_lociStitched	chr5	173168253	173173946	4	4940	12572.4212	132	1
3_MACS_peak_788_lociStitched	chr1	44297343	44302304	3	4947	11983.2955	133	1
3_MACS_peak_14853_lociStitched	chr22	39635750	39640887	3	4929	11490.9553	134	1
1_MACS_peak_1486_lociStitched	chr1	154988071	154992891	1	4821	16575.98	135	1
2_MACS_peak_14436_lociStitched	chr21	45572979	45578007	2	4747	19493.0532	136	1
2_MACS_peak_9092_lociStitched	chr17	42293883	42298760	2	4855	14742.1956	137	1
1_MACS_peak_21504_lociStitched	chr8	128746516	128751361	1	4846	14393.0415	139	1
2_MACS_peak_22429_lociStitched	chr9	134148405	134153319	2	4883	10822.5936	142	1
3_MACS_peak_4422_lociStitched	chr12	4224607	4229545	3	4710	19270.545	143	1
2_MACS_peak_22415_lociStitched	chr9	133319797	133324694	2	4822	13803.6636	145	1
4_MACS_peak_1839_lociStitched	chr1	200987690	200992833	4	4811	14323.255	146	1
5_MACS_peak_3166_lociStitched	chr11	267580	272914	5	4827	13221.9192	147	1
1_MACS_peak_21630_lociStitched	chr8	144607800	144612608	1	4809	12308.9608	148	1
3_MACS_peak_5882_lociStitched	chr13	114581476	114586295	3	4708	16697.835	149	1
3_MACS_peak_16032_lociStitched	chr3	141119236	141124268	3	4694	16020.3784	151	1
4_MACS_peak_3743_lociStitched	chr11	65263707	65268544	4	4601	18800.4516	153	1
3_MACS_peak_23191_lociStitched	chrX	153234468	153239492	3	4645	16330.512	156	1
1_MACS_peak_6994_lociStitched	chr15	69109489	69113986	1	4498	21513.1983	157	1
4_MACS_peak_9639_lociStitched	chr17	77782987	77787846	4	4703	13018.7187	158	1
3_MACS_peak_21626_lociStitched	chr8	144594959	144599976	3	4693	13273.4769	159	1
4_MACS_peak_19351_lociStitched	chr6	157980274	157985443	4	4686	12884.2494	161	1
3_MACS_peak_6625_lociStitched	chr15	31617084	31622097	3	4658	14345.2008	162	1
2_MACS_peak_21029_lociStitched	chr8	29629902	29634505	2	4593	14599.7954	167	1
2_MACS_peak_6392_lociStitched	chr14	103574607	103579682	2	4627	12377.4175	168	1
1_MACS_peak_5880_lociStitched	chr13	114556793	114561344	1	4552	15053.3427	169	1
2_MACS_peak_21374_lociStitched	chr8	103816671	103821433	2	4462	16582.7126	171	1
3_MACS_peak_18511_lociStitched	chr6	26195743	26200564	3	4553	11686.5861	172	1
3_MACS_peak_37_lociStitched	chr1	1240166	1244769	3	4551	11666.7638	173	1
1_MACS_peak_14763_lociStitched	chr22	37771790	37776112	1	4323	20673.8548	175	1
3_MACS_peak_19113_lociStitched	chr6	108878540	108883607	3	4540	11109.9042	177	1
1_MACS_peak_17119_lociStitched	chr5	1313293	1317809	1	4517	12212.1672	178	1
2_MACS_peak_12321_lociStitched	chr2	87085572	87090092	2	4486	11930.088	181	1
4_MACS_peak_12162_lociStitched	chr2	68514198	68519080	4	4486	10883.9308	182	1
1_MACS_peak_12183_lociStitched	chr2	70312761	70316981	1	4221	21624.124	183	1
4_MACS_peak_3874_lociStitched	chr11	67413571	67418612	4	4445	11212.6963	185	1
2_MACS_peak_3777_lociStitched	chr11	65624576	65628980	2	4304	17423.5452	186	1
1_MACS_peak_18696_lociStitched	chr6	32935685	32939783	1	4099	23795.4468	187	1
3_MACS_peak_14393_lociStitched	chr21	44730216	44734852	3	4340	15306.2176	188	1
2_MACS_peak_22903_lociStitched	chrX	48793913	48798333	2	4397	11820.406	189	1
1_MACS_peak_20422_lociStitched	chr7	104652202	104656330	1	4129	22046.8224	190	1
3_MACS_peak_20704_lociStitched	chr7	150064276	150068360	3	4027	24655.9248	191	1
2_MACS_peak_14441_lociStitched	chr21	45660217	45664567	2	4286	16245.51	192	1
3_MACS_peak_9386_lociStitched	chr17	64940292	64945202	3	4365	11525.243	195	1
2_MACS_peak_7954_lociStitched	chr16	49888913	49893342	2	4349	11205.37	197	1
1_MACS_peak_1762_lociStitched	chr1	181097441	181101761	1	4321	12014.352	199	1
2_MACS_peak_3221_lociStitched	chr11	1870853	1875194	2	4286	12384.4389	204	1
4_MACS_peak_4715_lociStitched	chr12	46120602	46125598	4	4280	12291.6588	205	1
2_MACS_peak_12608_lociStitched	chr2	111876541	111880892	2	4263	11057.6314	207	1
1_MACS_peak_15062_lociStitched	chr22	50326829	50330934	1	4106	17188.456	208	1
3_MACS_peak_18410_lociStitched	chr6	13523817	13528135	3	4229	11421.11	209	1
1_MACS_peak_14433_lociStitched	chr21	45562230	45566285	1	4056	18150.18	213	1
1_MACS_peak_7842_lociStitched	chr16	30194061	30198207	1	4147	14292.9204	214	1
2_MACS_peak_74_lociStitched	chr1	1837421	1841432	2	3938	21394.2729	216	1
3_MACS_peak_2084_lociStitched	chr1	226066897	226071208	3	4182	11824.6419	217	1
5_MACS_peak_4948_lociStitched	chr12	57078373	57083004	5	4188	11073.6472	218	1
1_MACS_peak_16200_lociStitched	chr3	176913172	176917106	1	3935	20669.236	220	1
4_MACS_peak_17415_lociStitched	chr5	60625400	60629937	4	4129	13502.5657	221	1
3_MACS_peak_18581_lociStitched	chr6	27858807	27863468	3	4158	11416.6534	222	1
4_MACS_peak_4839_lociStitched	chr12	53264572	53269202	4	4150	11808.352	223	1
5_MACS_peak_8666_lociStitched	chr17	16881294	16885638	5	4136	11216.6424	225	1
3_MACS_peak_9499_lociStitched	chr17	73871264	73875478	3	4052	15168.7144	226	1
2_MACS_peak_13301_lociStitched	chr2	232570923	232575150	2	4012	16325.0967	229	1
2_MACS_peak_11773_lociStitched	chr2	20421757	20425826	2	4056	14413.6187	230	1
3_MACS_peak_16202_lociStitched	chr3	177074975	177079022	3	4005	16384.6842	231	1
2_MACS_peak_3698_lociStitched	chr11	64616476	64620670	2	4113	11195.883	232	1
2_MACS_peak_6521_lociStitched	chr15	20992548	20997073	2	4092	12237.8625	233	1
3_MACS_peak_14960_lociStitched	chr22	44419446	44423574	3	4028	14941.7088	236	1
3_MACS_peak_30_lociStitched	chr1	1140314	1144781	3	4058	13132.0866	237	1
4_MACS_peak_6815_lociStitched	chr15	52754616	52759344	4	4073	11278.644	241	1
3_MACS_peak_1334_lociStitched	chr1	149821271	149825326	3	3989	14481.216	243	1
2_MACS_peak_21754_lociStitched	chr9	5625874	5630006	2	4027	12515.828	244	1
1_MACS_peak_14616_lociStitched	chr22	24822486	24826453	1	3968	14353.3994	246	1
2_MACS_peak_8114_lociStitched	chr16	67594902	67598807	2	3879	17590.0725	249	1
3_MACS_peak_19036_lociStitched	chr6	90060706	90064991	3	3959	13605.3035	255	1
1_MACS_peak_9808_lociStitched	chr18	3447351	3451346	1	3996	11019.009	259	1
2_MACS_peak_22825_lociStitched	chrX	39955001	39959005	2	3991	10717.1064	262	1
1_MACS_peak_6160_lociStitched	chr14	69258964	69262939	1	3976	11225.7975	263	1
1_MACS_peak_20388_lociStitched	chr7	102064039	102067934	1	3896	14753.8705	265	1
2_MACS_peak_11966_lociStitched	chr2	43451197	43455117	2	3898	13534.584	270	1
2_MACS_peak_16100_lociStitched	chr3	152877508	152881365	2	3813	16569.2863	271	1
2_MACS_peak_1684_lociStitched	chr1	167596653	167600588	2	3909	10694.1495	279	1
2_MACS_peak_17380_lociStitched	chr5	55981220	55985130	2	3889	11284.26	280	1
2_MACS_peak_7369_lociStitched	chr15	101738224	101742324	2	3867	11537.4	285	1
2_MACS_peak_8281_lociStitched	chr16	79908110	79912303	2	3876	10903.4772	286	1
2_MACS_peak_3647_lociStitched	chr11	62606227	62610233	2	3797	13358.4076	289	1
1_MACS_peak_10283_lociStitched	chr19	917085	920881	1	3797	11637.0176	292	1
3_MACS_peak_18881_lociStitched	chr6	43737482	43741731	3	3696	15719.1755	293	1
1_MACS_peak_1333_lociStitched	chr1	149811708	149815434	1	3727	13971.3822	294	1
2_MACS_peak_1338_lociStitched	chr1	149856696	149860601	2	3692	15141.6375	295	1
3_MACS_peak_19840_lociStitched	chr7	46042892	46046852	3	3769	11812.284	296	1
1_MACS_peak_15003_lociStitched	chr22	46464942	46468590	1	3649	15634.9632	303	1
2_MACS_peak_13630_lociStitched	chr20	25289233	25292953	2	3709	12697.104	305	1
2_MACS_peak_16119_lociStitched	chr3	156805054	156808751	2	3694	12611.5761	308	1
1_MACS_peak_18229_lociStitched	chr5	179245170	179248865	1	3696	12262.5965	310	1
2_MACS_peak_4974_lociStitched	chr12	57913243	57917167	2	3717	11227.3488	311	1
3_MACS_peak_18504_lociStitched	chr6	26155709	26159704	3	3673	12621.803	315	1
1_MACS_peak_15182_lociStitched	chr3	13459633	13463301	1	3669	12642.8624	317	1
3_MACS_peak_6808_lociStitched	chr15	52310878	52314790	3	3690	11212.9656	320	1
1_MACS_peak_17083_lociStitched	chr5	188886	192538	1	3653	12809.39	321	1
2_MACS_peak_4582_lociStitched	chr12	12876169	12879802	2	3492	18044.3844	322	1
2_MACS_peak_7821_lociStitched	chr16	29815980	29819752	2	3628	12567.9268	326	1
3_MACS_peak_9617_lociStitched	chr17	76776054	76779962	3	3658	10654.7712	328	1
3_MACS_peak_14371_lociStitched	chr21	43651765	43655578	3	3628	12024.6768	330	1
1_MACS_peak_17390_lociStitched	chr5	56110007	56113460	1	3454	17746.0029	332	1
2_MACS_peak_7603_lociStitched	chr16	9055051	9058674	2	3554	14283.6775	333	1
2_MACS_peak_2219_lociStitched	chr1	234859077	234862725	2	3611	11238.3936	337	1
2_MACS_peak_1471_lociStitched	chr1	154830898	154834409	2	3509	15206.8432	341	1
1_MACS_peak_15356_lociStitched	chr3	39191886	39195487	1	3602	11013.2984	342	1
3_MACS_peak_10225_lociStitched	chr18	72920194	72924197	3	3599	11127.1391	344	1
3_MACS_peak_2325_lociStitched	chr10	3824655	3828438	3	3592	11041.0638	347	1
1_MACS_peak_3968_lociStitched	chr11	72851747	72855316	1	3570	11789.1208	348	1
1_MACS_peak_20389_lociStitched	chr7	102071907	102075406	1	3500	14151.7055	352	1
1_MACS_peak_22229_lociStitched	chr9	123637625	123641133	1	3509	13704.002	354	1
1_MACS_peak_16064_lociStitched	chr3	150125208	150128747	1	3540	12300.5023	356	1
2_MACS_peak_19642_lociStitched	chr7	23507706	23511572	2	3510	12755.0938	362	1
1_MACS_peak_15063_lociStitched	chr22	50353144	50356660	1	3517	11528.6124	365	1
2_MACS_peak_9682_lociStitched	chr17	79479037	79482515	2	3402	15968.5414	367	1
2_MACS_peak_22230_lociStitched	chr9	123653112	123656694	2	3499	11166.885	372	1
2_MACS_peak_9934_lociStitched	chr18	20713793	20717389	2	3448	13148.0548	374	1
2_MACS_peak_16090_lociStitched	chr3	151984467	151988304	2	3463	12416.532	376	1
2_MACS_peak_18740_lociStitched	chr6	34203302	34206810	2	3472	11017.2248	383	1
2_MACS_peak_5693_lociStitched	chr13	50697225	50700776	2	3379	13777.1698	389	1
3_MACS_peak_15119_lociStitched	chr3	5227716	5231233	3	3401	11283.2394	399	1
3_MACS_peak_19755_lociStitched	chr7	39988242	39991723	3	3393	11520.3695	400	1
2_MACS_peak_8111_lociStitched	chr16	67580687	67584067	2	3380	11066.796	411	1
1_MACS_peak_3890_lociStitched	chr11	67775226	67778504	1	3279	14647.743	415	1
4_MACS_peak_14414_lociStitched	chr21	45136237	45140251	4	3358	11520.5814	416	1
1_MACS_peak_145_lociStitched	chr1	6660605	6663953	1	3349	11485.9836	419	1
2_MACS_peak_667_lociStitched	chr1	36850543	36853891	2	3308	12022.3332	425	1
1_MACS_peak_15095_lociStitched	chr22	50967904	50971101	1	3198	15976.6878	426	1
1_MACS_peak_21300_lociStitched	chr8	95959604	95962760	1	3157	16321.8852	434	1
3_MACS_peak_13580_lociStitched	chr20	17947036	17950844	3	3207	14282.2848	437	1
1_MACS_peak_24_lociStitched	chr1	1078390	1081463	1	3074	18183.8629	438	1
2_MACS_peak_7313_lociStitched	chr15	93351240	93354537	2	3274	11508.8379	439	1
1_MACS_peak_15953_lociStitched	chr3	129294438	129297674	1	3237	12892.8712	440	1
1_MACS_peak_22128_lociStitched	chr9	100744796	100747961	1	3166	14304.2175	453	1
2_MACS_peak_7560_lociStitched	chr16	4320827	4324113	2	3233	11368.9028	456	1
2_MACS_peak_18035_lociStitched	chr5	154133747	154137046	2	3172	12874.0176	466	1
1_MACS_peak_14762_lociStitched	chr22	37765003	37768191	1	3189	11891.8776	467	1
1_MACS_peak_2012_lociStitched	chr1	212780201	212783351	1	3151	11739.42	476	1
2_MACS_peak_7872_lociStitched	chr16	30668276	30671611	2	3104	12440.5505	486	1
2_MACS_peak_22542_lociStitched	chr9	138999754	139003077	2	2975	16024.8352	494	1
1_MACS_peak_17529_lociStitched	chr5	75697673	75700766	1	3094	12007.026	496	1
2_MACS_peak_14919_lociStitched	chr22	42227277	42230394	2	3062	12935.55	501	1
2_MACS_peak_9725_lociStitched	chr17	80054642	80057763	2	3100	11441.2739	502	1
2_MACS_peak_14999_lociStitched	chr22	46447858	46450974	2	3111	10946.1964	503	1
1_MACS_peak_18094_lociStitched	chr5	172197119	172200165	1	3047	13279.037	507	1
1_MACS_peak_14572_lociStitched	chr22	23283022	23286132	1	3111	10666.989	509	1
1_MACS_peak_1323_lociStitched	chr1	149222050	149225024	1	2975	15490.9712	511	1
2_MACS_peak_19662_lociStitched	chr7	26239164	26242315	2	3058	12646.8536	512	1
1_MACS_peak_1500_lociStitched	chr1	155156488	155159576	1	3089	11193.0736	514	1
1_MACS_peak_19160_lociStitched	chr6	111803174	111806266	1	3093	10681.0048	516	1
2_MACS_peak_18579_lociStitched	chr6	27804279	27807432	2	3031	12391.29	527	1
1_MACS_peak_8007_lociStitched	chr16	56964156	56967054	1	2899	16422.6762	530	1
3_MACS_peak_7573_lociStitched	chr16	4663889	4667278	3	3028	11253.5134	540	1
1_MACS_peak_1473_lociStitched	chr1	154908456	154911389	1	2934	14175.7756	549	1
2_MACS_peak_7728_lociStitched	chr16	21529374	21532365	2	2946	13231.5858	554	1
2_MACS_peak_22559_lociStitched	chr9	139439327	139442437	2	2950	12937.289	558	1
1_MACS_peak_14287_lociStitched	chr21	38737864	38740659	1	2796	17135.586	561	1
2_MACS_peak_21452_lociStitched	chr8	120944292	120947413	2	2976	10784.9276	568	1
1_MACS_peak_22544_lociStitched	chr9	139008855	139011728	1	2874	14058.7382	577	1
2_MACS_peak_18255_lociStitched	chr6	256507	259448	2	2936	11578.717	582	1
3_MACS_peak_1554_lociStitched	chr1	156468673	156471741	3	2896	12434.2972	594	1
1_MACS_peak_12461_lociStitched	chr2	97201585	97204494	1	2910	11442.5515	599	1
2_MACS_peak_21697_lociStitched	chr8	145732348	145735259	2	2911	11037.0565	604	1
2_MACS_peak_19698_lociStitched	chr7	30323411	30326652	2	2881	11986.1903	607	1
2_MACS_peak_1885_lociStitched	chr1	203273719	203276578	2	2853	12958.7034	608	1
4_MACS_peak_16002_lociStitched	chr3	136469020	136472313	4	2883	11458.3228	612	1
3_MACS_peak_337_lociStitched	chr1	17230250	17233204	3	2759	14772.0678	627	1
1_MACS_peak_13907_lociStitched	chr20	48806946	48809814	1	2869	10989.6024	628	1
2_MACS_peak_10868_lociStitched	chr19	18390561	18393697	2	2841	12042.24	629	1
1_MACS_peak_7333_lociStitched	chr15	99190065	99192879	1	2815	12096.8232	645	1
3_MACS_peak_20286_lociStitched	chr7	98475749	98478654	3	2842	11046.553	646	1
1_MACS_peak_18465_lociStitched	chr6	20402022	20404811	1	2790	12237.8531	656	1
2_MACS_peak_21344_lociStitched	chr8	101962982	101965757	2	2774	12421.455	661	1
1_MACS_peak_16073_lociStitched	chr3	150479535	150482297	1	2763	12771.7642	663	1
2_MACS_peak_11537_lociStitched	chr19	56164868	56167646	2	2776	11757.3294	670	1
