REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_7109_lociStitched	chr15	75492322	75497183	2	4799	20643.2087	57	1	C15orf39		C15orf39	57	1
1_MACS_peak_11308_lociStitched	chr19	47729180	47736637	1	7458	20545.5264	58	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	58	1
1_MACS_peak_1537_lociStitched	chr1	156092347	156097315	1	4969	20478.096	59	1	LMNA	SEMA4A,MEX3A	LMNA	59	1
2_MACS_peak_5375_lociStitched	chr12	122237517	122243628	2	5779	20451.6837	60	1	SETD1B,LOC338799	RHOF	LOC338799	60	1
1_MACS_peak_9670_lociStitched	chr17	79022335	79028217	1	5883	20374.0716	61	1	BAIAP2	FLJ90757	BAIAP2	61	1
4_MACS_peak_6549_lociStitched	chr15	21994719	22003590	4	8619	19968.621	62	1		CXADRP2	CXADRP2	62	1
2_MACS_peak_8248_lociStitched	chr16	79039680	79044796	2	5013	19811.71	63	1	WWOX		MAF	63	1
1_MACS_peak_19429_lociStitched	chr6	168579831	168585490	1	5660	19750.4759	64	1			FRMD1	64	1
1_MACS_peak_11950_lociStitched	chr2	43357755	43363632	1	5878	19702.0548	65	1			ZFP36L2	65	1
2_MACS_peak_17437_lociStitched	chr5	61984151	61990564	2	6395	19570.5521	66	1			LRRC70	66	1
2_MACS_peak_14436_lociStitched	chr21	45572979	45578007	2	4747	19493.0532	67	1		PWP2,C21orf33	C21orf33	67	1
1_MACS_peak_14357_lociStitched	chr21	43429081	43431619	1	2539	19365.1938	68	1	ZNF295	C21orf121	ZNF295	68	1
2_MACS_peak_10784_lociStitched	chr19	16186331	16191181	2	4816	19334.525	69	1	TPM4	FLJ25328,RAB8A	TPM4	69	1
3_MACS_peak_3616_lociStitched	chr11	62318851	62325668	3	6546	19315.9695	70	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	70	1
14_MACS_peak_8253_lociStitched	chr16	79631797	79644554	14	9848	19296.2382	71	1	MAF		MAF	71	1
4_MACS_peak_14424_lociStitched	chr21	45280953	45286521	4	5185	19289.7792	72	1	AGPAT3	LOC284837	AGPAT3	72	1
3_MACS_peak_4422_lociStitched	chr12	4224607	4229545	3	4710	19270.545	73	1			CCND2	73	1
4_MACS_peak_3743_lociStitched	chr11	65263707	65268544	4	4601	18800.4516	74	1	MALAT1	SCYL1	MALAT1	74	1
4_MACS_peak_7080_lociStitched	chr15	75074376	75083360	4	8548	18728.9448	75	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	75	1
3_MACS_peak_3673_lociStitched	chr11	64004602	64010019	3	5167	18633.9383	76	1	VEGFB,FKBP2	FERMT3,NUDT22,DNAJC4,PLCB3,GPR137,KCNK4,TRPT1,PPP1R14B,BAD	FKBP2	76	1
4_MACS_peak_18391_lociStitched	chr6	11726454	11733375	4	6591	18616.1058	77	1	C6orf105		C6orf105	77	1
3_MACS_peak_17711_lociStitched	chr5	112785004	112790275	3	5140	18453.2439	78	1	MCC	TSSK1B	TSSK1B	78	1
3_MACS_peak_12312_lociStitched	chr2	87064921	87070664	3	5373	18405.1664	79	1	CD8B	CD8A	CD8B	79	1
1_MACS_peak_6944_lociStitched	chr15	65183493	65188590	1	5098	18374.685	80	1		PLEKHO2,ANKDD1A	ANKDD1A	80	1
1_MACS_peak_24_lociStitched	chr1	1078390	1081463	1	3074	18183.8629	81	1		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	MIR200B	81	1
2_MACS_peak_21551_lociStitched	chr8	134579838	134585192	2	5345	18158.6264	82	1	ST3GAL1		ST3GAL1	82	1
1_MACS_peak_14433_lociStitched	chr21	45562230	45566285	1	4056	18150.18	83	1	C21orf33	PWP2	C21orf33	83	1
6_MACS_peak_17797_lociStitched	chr5	131755764	131764460	6	8257	18134.6384	84	1	C5orf56		C5orf56	84	1
2_MACS_peak_4582_lociStitched	chr12	12876169	12879802	2	3492	18044.3844	85	1	APOLD1	CDKN1B,MIR613,GPR19	APOLD1	85	1
4_MACS_peak_21499_lociStitched	chr8	126441275	126447712	4	6263	17971.4603	86	1	TRIB1		TRIB1	86	1
6_MACS_peak_12575_lociStitched	chr2	109826691	109835872	6	8031	17810.2219	87	1	SH3RF3		MIR4265	87	1
1_MACS_peak_17390_lociStitched	chr5	56110007	56113460	1	3454	17746.0029	88	1	MAP3K1		MAP3K1	88	1
3_MACS_peak_3613_lociStitched	chr11	62306511	62314690	3	7622	17631.4703	89	1	AHNAK	EEF1G,TUT1	AHNAK	89	1
2_MACS_peak_8114_lociStitched	chr16	67594902	67598807	2	3879	17590.0725	90	1	CTCF	FAM65A	CTCF	90	1
2_MACS_peak_3777_lociStitched	chr11	65624576	65628980	2	4304	17423.5452	91	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	CFL1	91	1
4_MACS_peak_7114_lociStitched	chr15	75742763	75748761	4	5502	17193.8668	92	1	SIN3A		SIN3A	92	1
1_MACS_peak_15062_lociStitched	chr22	50326829	50330934	1	4106	17188.456	93	1		CRELD2,PIM3,ALG12	CRELD2	93	1
1_MACS_peak_14287_lociStitched	chr21	38737864	38740659	1	2796	17135.586	94	1	DYRK1A		DYRK1A	94	1
3_MACS_peak_13653_lociStitched	chr20	30293101	30301444	3	7899	16998.0282	95	1	BCL2L1	TPX2	BCL2L1	95	1
3_MACS_peak_154_lociStitched	chr1	6977335	6984637	3	7103	16896.828	96	1	CAMTA1		CAMTA1	96	1
4_MACS_peak_3571_lociStitched	chr11	60634338	60640679	4	5923	16847.4029	97	1	ZP1	CCDC86,TMEM109,GPR44,PRPF19	ZP1	97	1
1_MACS_peak_7169_lociStitched	chr15	81292214	81294800	1	2587	16780.0368	98	1	MESDC1	MESDC2	MESDC1	98	1
4_MACS_peak_9111_lociStitched	chr17	43298549	43306988	4	8287	16714.2834	99	1	FMNL1	LOC100133991,C17orf46	FMNL1	99	1
3_MACS_peak_5882_lociStitched	chr13	114581476	114586295	3	4708	16697.835	100	1		FLJ44054,GAS6	FLJ44054	100	1
2_MACS_peak_4580_lociStitched	chr12	12867276	12873274	2	5590	16671.441	101	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	101	1
5_MACS_peak_3566_lociStitched	chr11	60605088	60612013	5	6648	16656.01	102	1	CCDC86	ZP1,GPR44	CCDC86	102	1
2_MACS_peak_21374_lociStitched	chr8	103816671	103821433	2	4462	16582.7126	103	1			AZIN1	103	1
1_MACS_peak_1486_lociStitched	chr1	154988071	154992891	1	4821	16575.98	104	1	ZBTB7B,DCST2	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,EFNA4,SHC1	ZBTB7B	104	1
2_MACS_peak_16100_lociStitched	chr3	152877508	152881365	2	3813	16569.2863	105	1	RAP2B		RAP2B	105	1
1_MACS_peak_8007_lociStitched	chr16	56964156	56967054	1	2899	16422.6762	106	1	HERPUD1	CETP	HERPUD1	106	1
3_MACS_peak_16202_lociStitched	chr3	177074975	177079022	3	4005	16384.6842	107	1			TBL1XR1	107	1
3_MACS_peak_23191_lociStitched	chrX	153234468	153239492	3	4645	16330.512	108	1	TMEM187,HCFC1	MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718	HCFC1	108	1
2_MACS_peak_13301_lociStitched	chr2	232570923	232575150	2	4012	16325.0967	109	1	PTMA	MIR1244-1	PTMA	109	1
7_MACS_peak_18531_lociStitched	chr6	26358942	26367192	7	7455	16324.275	110	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	110	1
1_MACS_peak_21300_lociStitched	chr8	95959604	95962760	1	3157	16321.8852	111	1	TP53INP1		TP53INP1	111	1
4_MACS_peak_10810_lociStitched	chr19	16694553	16701167	4	6069	16310.124	112	1	MED26	CHERP,SLC35E1	SLC35E1	112	1
2_MACS_peak_14441_lociStitched	chr21	45660217	45664567	2	4286	16245.51	113	1	ICOSLG	AIRE,DNMT3L	ICOSLG	113	1
6_MACS_peak_20707_lociStitched	chr7	150070037	150077340	6	6256	16154.9663	114	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,ACTR3C,RARRES2	ZNF775	114	1
2_MACS_peak_22542_lociStitched	chr9	138999754	139003077	2	2975	16024.8352	115	1		NACC2,C9orf69	C9orf69	115	1
3_MACS_peak_16032_lociStitched	chr3	141119236	141124268	3	4694	16020.3784	116	1	ZBTB38		ZBTB38	116	1
1_MACS_peak_15095_lociStitched	chr22	50967904	50971101	1	3198	15976.6878	117	1	TYMP,ODF3B	ADM2,MIOX,NCAPH2,KLHDC7B,LMF2,SCO2,C22orf41,CPT1B	TYMP	117	1
2_MACS_peak_9682_lociStitched	chr17	79479037	79482515	2	3402	15968.5414	118	1	ACTG1	FSCN2,C17orf70	ACTG1	118	1
6_MACS_peak_7631_lociStitched	chr16	11771306	11779147	6	7001	15959.5714	119	1	SNN,TXNDC11		SNN	119	1
1_MACS_peak_18848_lociStitched	chr6	42749340	42751942	1	2603	15947.1376	120	1		KIAA0240,TBCC	TBCC	120	1
1_MACS_peak_5041_lociStitched	chr12	69200820	69203385	1	2566	15905.3085	121	1	MDM2		MDM2	121	1
1_MACS_peak_3545_lociStitched	chr11	58344992	58347497	1	2506	15743.925	122	1	ZFP91-CNTF,ZFP91,LPXN	CNTF,LPXN	ZFP91-CNTF	122	1
3_MACS_peak_18881_lociStitched	chr6	43737482	43741731	3	3696	15719.1755	123	1	VEGFA		VEGFA	123	1
3_MACS_peak_12011_lociStitched	chr2	47208982	47214733	3	5628	15636.3939	124	1	TTC7A	MCFD2	MCFD2	124	1
1_MACS_peak_15003_lociStitched	chr22	46464942	46468590	1	3649	15634.9632	125	1		LOC150381,LOC400931,MIR3619,MIRLET7A3,MIRLET7B,LOC100271722,C22orf26	LOC400931	125	1
4_MACS_peak_7358_lociStitched	chr15	101458358	101464430	4	5439	15525.4968	126	1	LRRK1	ALDH1A3	LRRK1	126	1
1_MACS_peak_1323_lociStitched	chr1	149222050	149225024	1	2975	15490.9712	127	1			LOC388692	127	1
4_MACS_peak_4242_lociStitched	chr11	117877721	117883865	4	5635	15425.1264	128	1		IL10RA	IL10RA	128	1
4_MACS_peak_14573_lociStitched	chr22	23291379	23298770	4	6904	15390.2793	129	1			IGLL5	129	1
3_MACS_peak_14393_lociStitched	chr21	44730216	44734852	3	4340	15306.2176	130	1			SIK1	130	1
1_MACS_peak_10725_lociStitched	chr19	13949526	13954463	1	4938	15273.5969	131	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	131	1
2_MACS_peak_1471_lociStitched	chr1	154830898	154834409	2	3509	15206.8432	132	1	KCNN3		KCNN3	132	1
3_MACS_peak_9499_lociStitched	chr17	73871264	73875478	3	4052	15168.7144	133	1	TRIM47	UNC13D,WBP2,TRIM65,MRPL38	TRIM47	133	1
3_MACS_peak_12294_lociStitched	chr2	86262121	86267681	3	5463	15164.344	134	1	POLR1A	LOC90784	LOC90784	134	1
2_MACS_peak_1338_lociStitched	chr1	149856696	149860601	2	3692	15141.6375	135	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	135	1
1_MACS_peak_19489_lociStitched	chr7	2393209	2395629	1	2421	15115.562	136	1	EIF3B	CHST12,SNX8	EIF3B	136	1
4_MACS_peak_6621_lociStitched	chr15	31555128	31560350	4	5059	15078.525	137	1			KLF13	137	1
1_MACS_peak_5880_lociStitched	chr13	114556793	114561344	1	4552	15053.3427	138	1	GAS6	FLJ44054,GAS6	GAS6	138	1
5_MACS_peak_15189_lociStitched	chr3	14161776	14167337	5	5014	15008.0268	139	1	TMEM43,CHCHD4		CHCHD4	139	1
1_MACS_peak_3899_lociStitched	chr11	67979942	67982067	1	2126	15004.4125	140	1	SUV420H1		SUV420H1	140	1
3_MACS_peak_14960_lociStitched	chr22	44419446	44423574	3	4028	14941.7088	141	1	PARVB		PARVB	141	1
2_MACS_peak_3879_lociStitched	chr11	67568962	67574076	2	4980	14876.1146	142	1	LOC645332		LOC645332	142	1
3_MACS_peak_337_lociStitched	chr1	17230250	17233204	3	2759	14772.0678	143	1		CROCC	CROCC	143	1
1_MACS_peak_20388_lociStitched	chr7	102064039	102067934	1	3896	14753.8705	144	1	PRKRIP1	ORAI2,LRWD1,ALKBH4	ORAI2	144	1
2_MACS_peak_9092_lociStitched	chr17	42293883	42298760	2	4855	14742.1956	145	1	UBTF	ASB16,TMUB2,C17orf65,ATXN7L3,SLC4A1	UBTF	145	1
3_MACS_peak_8672_lociStitched	chr17	16889960	16895262	3	5012	14725.7748	146	1		TNFRSF13B	TNFRSF13B	146	1
1_MACS_peak_3890_lociStitched	chr11	67775226	67778504	1	3279	14647.743	147	1	ALDH3B1	NDUFS8,TCIRG1,UNC93B1	ALDH3B1	147	1
2_MACS_peak_21029_lociStitched	chr8	29629902	29634505	2	4593	14599.7954	148	1		C8orf75	C8orf75	148	1
3_MACS_peak_1334_lociStitched	chr1	149821271	149825326	3	3989	14481.216	149	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	149	1
4_MACS_peak_12558_lociStitched	chr2	107136611	107142692	4	5718	14444.8074	150	1			RGPD3	150	1
2_MACS_peak_11773_lociStitched	chr2	20421757	20425826	2	4056	14413.6187	151	1	SDC1		SDC1	151	1
1_MACS_peak_21504_lociStitched	chr8	128746516	128751361	1	4846	14393.0415	152	1	MYC		MYC	152	1
1_MACS_peak_14616_lociStitched	chr22	24822486	24826453	1	3968	14353.3994	153	1	ADORA2A,C22orf45		ADORA2A	153	1
3_MACS_peak_6625_lociStitched	chr15	31617084	31622097	3	4658	14345.2008	154	1	KLF13		KLF13	154	1
4_MACS_peak_1839_lociStitched	chr1	200987690	200992833	4	4811	14323.255	155	1	KIF21B		KIF21B	155	1
1_MACS_peak_22128_lociStitched	chr9	100744796	100747961	1	3166	14304.2175	156	1	ANP32B	HEMGN	ANP32B	156	1
1_MACS_peak_7842_lociStitched	chr16	30194061	30198207	1	4147	14292.9204	157	1	CORO1A		CORO1A	157	1
2_MACS_peak_7603_lociStitched	chr16	9055051	9058674	2	3554	14283.6775	158	1	USP7		USP7	158	1
3_MACS_peak_13580_lociStitched	chr20	17947036	17950844	3	3207	14282.2848	159	1	C20orf72,SNX5	SNORD17	SNX5	159	1
5_MACS_peak_11842_lociStitched	chr2	27374817	27382583	5	6880	14275.4612	160	1	TCF23	ABHD1,CGREF1,PREB,C2orf53	TCF23	160	1
5_MACS_peak_7243_lociStitched	chr15	89655179	89661041	5	5453	14272.7976	161	1	ABHD2		ABHD2	161	1
5_MACS_peak_21429_lociStitched	chr8	119574378	119580711	5	5533	14270.1489	162	1	SAMD12		SAMD12	162	1
1_MACS_peak_2273_lociStitched	chr1	245025989	245028522	1	2534	14226.8478	163	1	HNRNPU	FAM36A,NCRNA00201	HNRNPU	163	1
1_MACS_peak_13560_lociStitched	chr20	17628061	17633586	1	5526	14189.8575	164	1	RRBP1	BANF2	RRBP1	164	1
3_MACS_peak_15323_lociStitched	chr3	32461451	32467455	3	5520	14177.8456	165	1	CMTM7		CMTM7	165	1
1_MACS_peak_1473_lociStitched	chr1	154908456	154911389	1	2934	14175.7756	166	1	PMVK	CKS1B,MIR4258,FLAD1,PBXIP1,PYGO2,SHC1	PMVK	166	1
1_MACS_peak_20389_lociStitched	chr7	102071907	102075406	1	3500	14151.7055	167	1	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	167	1
1_MACS_peak_14658_lociStitched	chr22	29662989	29665452	1	2464	14131.7088	168	1	EWSR1,RHBDD3	GAS2L1,RASL10A	EWSR1	168	1
1_MACS_peak_22544_lociStitched	chr9	139008855	139011728	1	2874	14058.7382	169	1	C9orf69	NACC2	C9orf69	169	1
1_MACS_peak_2139_lociStitched	chr1	228269306	228271579	1	2274	14041.0029	170	1	ARF1	MIR3620,C1orf35,MRPL55	ARF1	170	1
4_MACS_peak_10674_lociStitched	chr19	12899444	12905259	4	5229	14036.247	171	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	171	1
3_MACS_peak_22035_lociStitched	chr9	93923107	93929132	3	5611	14008.125	172	1			LOC100129316	172	1
4_MACS_peak_6513_lociStitched	chr15	20552470	20559304	4	6410	13994.6652	173	1			HERC2P3	173	1
1_MACS_peak_1333_lociStitched	chr1	149811708	149815434	1	3727	13971.3822	174	1	HIST2H3A,HIST2H2AA4	HIST2H4B,HIST2H2AC,HIST2H2BF,HIST2H3D,HIST2H2BC,HIST2H2BE,HIST2H2AB	HIST2H2AA4	174	1
2_MACS_peak_19550_lociStitched	chr7	5568986	5571285	2	2174	13952.8609	175	1	ACTB	MIR589,FBXL18	ACTB	175	1
2_MACS_peak_2271_lociStitched	chr1	244996615	244999454	2	2661	13880.7227	176	1	FAM36A	NCRNA00201,HNRNPU	FAM36A	176	1
2_MACS_peak_22415_lociStitched	chr9	133319797	133324694	2	4822	13803.6636	177	1	ASS1		ASS1	177	1
2_MACS_peak_5693_lociStitched	chr13	50697225	50700776	2	3379	13777.1698	178	1	DLEU2	DLEU1,ST13P4	DLEU2	178	1
1_MACS_peak_20328_lociStitched	chr7	100025665	100028256	1	2592	13747.5869	179	1	MEPCE,ZCWPW1	C7orf47,C7orf61,TSC22D4	MEPCE	179	1
2_MACS_peak_18961_lociStitched	chr6	64281772	64284399	2	2479	13730.2782	180	1	PTP4A1		PTP4A1	180	1
2_MACS_peak_9047_lociStitched	chr17	40827123	40832528	2	5148	13724.9165	181	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	181	1
1_MACS_peak_22229_lociStitched	chr9	123637625	123641133	1	3509	13704.002	182	1	PHF19	LOC253039,PSMD5,TRAF1	PHF19	182	1
2_MACS_peak_1681_lociStitched	chr1	167531574	167536923	2	5259	13692.9051	183	1		CD247,CREG1	CREG1	183	1
7_MACS_peak_13856_lociStitched	chr20	46038969	46046814	7	7512	13650.3	184	1			ZMYND8	184	1
5_MACS_peak_8925_lociStitched	chr17	36856755	36862386	5	5479	13621.389	185	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	185	1
3_MACS_peak_19036_lociStitched	chr6	90060706	90064991	3	3959	13605.3035	186	1	UBE2J1	GABRR2	UBE2J1	186	1
2_MACS_peak_11966_lociStitched	chr2	43451197	43455117	2	3898	13534.584	187	1	LOC100129726,ZFP36L2		ZFP36L2	187	1
9_MACS_peak_1272_lociStitched	chr1	145448654	145456603	9	7149	13529.9929	188	1	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	188	1
2_MACS_peak_3692_lociStitched	chr11	64545272	64547641	2	2368	13506.6166	189	1	SF1	RASGRP2,PYGM,SF1,MAP4K2,MEN1	SF1	189	1
4_MACS_peak_17415_lociStitched	chr5	60625400	60629937	4	4129	13502.5657	190	1	ZSWIM6		ZSWIM6	190	1
4_MACS_peak_11769_lociStitched	chr2	20410068	20415900	4	5313	13441.0104	191	1	SDC1		SDC1	191	1
1_MACS_peak_7499_lociStitched	chr16	2801409	2803749	1	2341	13426.686	192	1	SRRM2,LOC100128788	PRSS41,PRSS27,LOC100128788,TCEB2,PRSS33	LOC100128788	192	1
2_MACS_peak_12801_lociStitched	chr2	133024976	133027241	2	2195	13379.355	193	1		MIR663B,ANKRD30BL	ANKRD30BL	193	1
