GENE_ID	locusLine	bin_1_10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam
NM_006015	chr1(.):27017521-27113601	0.5839
NM_018066	chr1(.):27200872-27221869	0.2146
NM_032283	chr1(.):27148200-27187211	0.384
NM_006142	chr1(.):27184632-27195947	0.6882
NM_006762	chr1(.):31200314-31235683	3.1589
NM_005202	chr1(.):36555843-36570850	0.0966
NM_018067	chr1(.):36616802-36651441	0.6109
NM_014408	chr1(.):36597172-36620067	0.6013
NM_022756	chr1(.):37953175-37985364	0.1274
NM_025079	chr1(.):37935118-37954978	1.2374
NR_002983	chr1(.):40028045-40038182	1.2046
NR_003929	chr1(.):39982951-40030370	0.3905
NM_014571	chr1(.):40084102-40110348	0.1156
NM_001135653	chr1(.):40021484-40047521	0.8168
NM_001198979	chr1(.):40854016-40893998	0.2549
NM_001198978	chr1(.):40835304-40893998	0.7656
NM_001198980	chr1(.):40857471-40893998	0.1298
NM_022733	chr1(.):40834377-40893998	0.7545
NM_006516	chr1(.):43386045-43429847	0.4866
NR_033967	chr1(.):43419719-43454029	0.1764
NM_006004	chr1(.):46764379-46787447	0.5207
NM_006369	chr1(.):46739071-46774038	0.357
NM_199044	chr1(.):46801389-46835690	0.2297
NM_001037339	chr1(.):66792792-66845262	0.6456
NM_001001933	chr1(.):75589118-75632218	0.9604
NM_006769	chr1(.):87789150-87819607	0.85
NM_004974	chr1(.):111140775-111153345	0.0635
NM_002232	chr1(.):111209309-111222655	0.9976
NM_001025199	chr1(.):111767332-111791062	0.0417
NM_001025197	chr1(.):111765280-111791062	0.0739
NM_024901	chr1(.):111724800-111748281	0.3173
NR_034126	chr1(.):112136628-112155940	1.5172
NM_007158	chr1(.):115254536-115305624	0.2297
NM_002524	chr1(.):115242077-115264515	0.7419
NM_001172626	chr1(.):115210719-115243239	0.5217
NM_001130523	chr1(.):115254537-115305671	0.2295
NM_017709	chr1(.):118143603-118176011	2.6709
NR_037182	chr1(.):144671436-144685025	0.1376
NM_001002811	chr1(.):144885590-144937032	0.8647
NM_032305	chr1(.):145451235-145475387	2.3431
NM_202004	chr1(.):145408190-145422545	0.0915
NM_006472	chr1(.):145433461-145447628	3.9808
NM_001039888	chr1(.):145465507-145480647	0.4628
NM_005105	chr1(.):145502637-145516444	1.1209
NM_001161334	chr1(.):149749244-149788928	0.3958
NM_001034077	chr1(.):149799220-149809616	0.9978
NM_001005464	chr1(.):149807258-149817765	2.5183
NM_001040874	chr1(.):149808784-149819318	2.5293
NM_001123375	chr1(.):149779779-149790236	1.1049
NM_000566	chr1(.):149749249-149769074	0.1751
NM_016074	chr1(.):149866154-149877348	0.2747
NM_003528	chr1(.):149851009-149863232	3.1151
NM_003517	chr1(.):149853524-149863961	3.6369
NM_175065	chr1(.):149854018-149864466	3.6229
NR_036461	chr1(.):149816758-149827340	2.4902
NM_001040874	chr1(.):149817627-149828161	2.4896
NM_001005464	chr1(.):149819180-149829687	2.4814
NM_001034077	chr1(.):149827329-149837725	1.038
NM_016274	chr1(.):150117169-150136825	1.8537
NM_019032	chr1(.):150516897-150538412	3.5467
NM_207046	chr1(.):150589598-150606609	0.7664
NR_036211	chr1(.):150519404-150529490	0.1434
NM_001197320	chr1(.):150542026-150557214	1.3472
NM_053055	chr1(.):151841059-151887113	0.2186
NM_005620	chr1(.):151999981-152014511	1.6826
NM_002966	chr1(.):151950385-151971714	0.2084
NM_001008536	chr1(.):152051619-152066540	0.0658
NM_006556	chr1(.):154892207-154914484	1.9181
NM_001130041	chr1(.):154929773-154951959	1.9389
NM_001130040	chr1(.):154929773-154948223	2.0265
NM_201398	chr1(.):154950769-154970587	0.2638
NM_015872	chr1(.):154970111-154995999	1.3544
NM_001184892	chr1(.):154950769-154966488	0.2825
NM_018655	chr1(.):154961061-154971791	0.2403
NM_001143687	chr1(.):155001281-155028406	0.3094
NR_024163	chr1(.):154942117-154956725	1.8843
NM_144622	chr1(.):154986002-155011257	0.3829
NM_138300	chr1(.):154924501-154939258	3.4681
NR_036212	chr1(.):154943168-154953259	2.3559
NM_001018017	chr1(.):155153299-155167700	0.2749
NM_198883	chr1(.):155173489-155188624	1.0409
NM_007112	chr1(.):155160378-155182690	0.7912
NR_030281	chr1(.):155159967-155170063	0.224
NM_001005742	chr1(.):155199238-155219653	0.4314
NM_003993	chr1(.):155227658-155248281	0.4271
NM_181871	chr1(.):155254083-155275792	0.1521
NM_198264	chr1(.):155211995-155230274	0.5808
NM_052837	chr1(.):155220771-155237195	0.4075
NM_020897	chr1(.):155242373-155264638	0.2625
NM_001171812	chr1(.):155199238-155216066	0.5032
NM_000157	chr1(.):155199238-155216069	0.5031
NM_001135821	chr1(.):155273704-155295457	0.6083
NM_002004	chr1(.):155273538-155295457	0.6044
NM_005698	chr1(.):155220769-155237195	0.4075
NM_000298	chr1(.):155254083-155276225	0.1525
NM_006912	chr1(.):155862600-155886177	0.1782
NM_001162384	chr1(.):155911629-155953336	2.3018
NM_181885	chr1(.):155906479-155917625	2.1008
NM_004723	chr1(.):155911629-155952966	2.3113
NM_014949	chr1(.):155877835-155909188	0.3855
NR_002974	chr1(.):155884699-155894833	0.0865
NR_003005	chr1(.):155890748-155900877	0.0996
NM_003145	chr1(.):155973838-155995758	0.2601
NM_014655	chr1(.):156158729-156187587	0.5742
NM_007221	chr1(.):156177783-156214833	0.6982
NM_022367	chr1(.):156118321-156152542	2.4674
NM_001193302	chr1(.):156118368-156152542	2.4676
NM_001193301	chr1(.):156114734-156152542	2.4663
NM_005920	chr1(.):156428518-156475529	1.2671
NM_198427	chr1(.):156606739-156628264	0.1274
NM_021817	chr1(.):156584085-156600517	0.0952
NM_021948	chr1(.):156606739-156634320	0.9416
NM_004494	chr1(.):156706898-156726543	1.6823
NM_001126051	chr1(.):156706898-156727024	1.6436
NM_001126050	chr1(.):156706898-156727240	1.6271
NM_030980	chr1(.):156687412-156702705	0.3471
NM_001878	chr1(.):156664407-156680375	0.113
NM_001142560	chr1(.):156693262-156711752	0.6082
NM_145729	chr1(.):156702093-156715923	0.5632
NM_006617	chr1(.):156633555-156652189	0.4418
NM_031281	chr1(.):157478166-157527310	0.6842
NM_004833	chr1(.):159027274-159051647	1.4562
NM_001184879	chr1(.):160505883-160554306	0.2029
NM_001778	chr1(.):160643535-160686585	2.3897
NM_003037	chr1(.):160574890-160622081	0.5156
NM_021181	chr1(.):160704076-160729601	1.2657
NM_001077470	chr1(.):161194455-161213000	0.458
NM_001039711	chr1(.):161085768-161107478	0.8527
NM_016406	chr1(.):161118533-161133646	1.5625
NM_004550	chr1(.):161164104-161189184	0.812
NM_000309	chr1(.):161131180-161146010	0.8364
NM_001643	chr1(.):161187082-161198418	1.0965
NM_003779	chr1(.):161136100-161152314	1.5233
NM_012475	chr1(.):161124253-161140516	1.1395
NM_001039712	chr1(.):161085768-161107256	0.8611
NM_032174	chr1(.):161190832-161205407	0.5853
NM_001166159	chr1(.):161166936-161189184	0.8715
NM_005099	chr1(.):161154537-161173845	2.2527
NM_004106	chr1(.):161180086-161194038	0.6832
NM_007240	chr1(.):161714580-161731952	0.3534
NM_022100	chr1(.):174977093-174997591	0.2457
NR_033186	chr1(.):178506930-178523024	0.616
NM_016545	chr1(.):181052637-181064979	1.1503
NM_002927	chr1(.):192600281-192634389	0.0795
NM_002922	chr1(.):192539856-192554159	2.1552
NM_001195216	chr1(.):197698138-197749623	0.8845
NM_005298	chr1(.):200837165-200848251	0.1089
NM_018265	chr1(.):200855638-200889864	0.7392
NM_001142569	chr1(.):200858998-200889864	0.67
NM_017596	chr1(.):200933519-200997828	0.362
NR_034150	chr1(.):203262885-203279453	8.039
NM_003465	chr1(.):203180206-203203860	0.1251
NM_006763	chr1(.):203269663-203283729	5.5195
NM_002023	chr1(.):203304751-203325289	0.2774
NR_003019	chr1(.):203693708-203703833	0.1157
NM_001136190	chr1(.):203729283-203750480	1.428
NM_001174108	chr1(.):203761650-203774590	0.5527
NM_002646	chr1(.):204386757-204464474	0.2275
NM_002393	chr1(.):204480510-204532248	2.1002
NM_014858	chr1(.):205192037-205247471	0.631
NM_018203	chr1(.):205300647-205331039	0.1588
NM_030952	chr1(.):205266190-205295883	1.0239
NM_000707	chr1(.):206219282-206236482	0.2395
NM_001007544	chr1(.):206233871-206293647	2.0478
NM_148964	chr1(.):206312458-206337104	0.1599
NM_006893	chr1(.):206759973-206790904	0.1428
NM_182665	chr1(.):206725491-206767616	1.3799
NM_000572	chr1(.):206935947-206950839	0.509
NM_013371	chr1(.):206997221-207021325	0.6316
NM_001185157	chr1(.):207065787-207082484	0.1078
NM_153758	chr1(.):206967214-207021324	0.5398
NM_018724	chr1(.):207034153-207047568	0.1121
NM_002644	chr1(.):207096866-207124811	0.8649
NM_001170631	chr1(.):207126311-207148970	0.1054
NR_026817	chr1(.):207986723-208000941	1.3278
NR_029832	chr1(.):207970196-207980284	0.4272
NR_029518	chr1(.):207970787-207980868	0.6645
NM_183059	chr1(.):211644863-211671259	0.0982
NM_021194	chr1(.):211743380-211757099	1.6668
NM_001748	chr1(.):223895118-223968720	0.3294
NM_001146068	chr1(.):223884294-223968720	0.3069
NM_001136018	chr1(.):225992796-226038262	0.3015
NM_000120	chr1(.):226008001-226038262	0.3672
NM_020997	chr1(.):226068981-226081836	1.7875
NM_014698	chr1(.):226028232-226075420	1.3599
NM_013328	chr1(.):226102579-226116965	0.6211
NM_182972	chr1(.):234735014-234750271	4.1742
NR_033927	chr1(.):234760056-234775526	0.0945
NM_015535	chr2(.):201165603-201351986	0.3122
NM_001100422	chr2(.):201165984-201351986	0.3127
NM_001100423	chr2(.):201166355-201351986	0.3132
NM_014600	chr2(.):31451879-31496260	0.1189
NM_001083590	chr2(.):27250773-27269565	0.1694
NM_020458	chr2(.):47163312-47308275	0.5107
NR_033872	chr2(.):70184394-70319147	0.5899
NM_032827	chr2(.):85975908-86023506	0.0831
NR_015395	chr2(.):112119590-112257692	0.9192
NR_024373	chr2(.):112181885-112257692	1.5949
NM_001099289	chr2(.):109740996-110267207	0.1812
NM_020760	chr2(.):197058976-197462335	0.3265
NM_015488	chr2(.):219130114-219216516	0.2594
NM_022152	chr2(.):219133916-219162280	0.6735
NM_001012514	chr2(.):231724620-231748963	2.243
NM_145693	chr2(.):11881739-11972533	0.7992
NM_183360	chr2(.):25595111-25901503	0.3968
NM_170672	chr2(.):33656415-33794798	0.7234
NM_005813	chr2(.):37472645-37549222	1.0959
NM_019063	chr2(.):42391489-42564688	0.1483
NM_024766	chr2(.):44584042-45004729	0.1223
NM_012249	chr2(.):46764866-46816827	0.6026
NM_022893	chr2(.):60679328-60785633	0.2154
NM_018014	chr2(.):60673301-60785633	0.2179
NM_014755	chr2(.):64853754-64886046	1.3607
NR_036586	chr2(.):65123973-65164581	2.2689
NM_002398	chr2(.):66657531-66804891	0.257
NM_003896	chr2(.):86061270-86121157	0.6137
NR_024204	chr2(.):87749973-87826030	1.2199
NM_004836	chr2(.):88851258-88932094	0.4615
NM_144563	chr2(.):88986175-89055452	0.9862
NM_020151	chr2(.):96845602-96879573	0.306
NM_004027	chr2(.):99056320-99212496	1.6177
NM_001566	chr2(.):99056320-99203284	1.7154
NM_003581	chr2(.):106356519-106515730	0.2952
NM_001193483	chr2(.):109145856-109308702	0.2792
NM_001017927	chr2(.):120055019-120129258	0.4082
NM_002410	chr2(.):135006829-135211468	0.293
NM_001077269	chr2(.):175419301-175552627	0.5856
NR_024415	chr2(.):192537797-192558248	2.0534
NM_001031716	chr2(.):192537860-192558248	2.0597
NM_004226	chr2(.):196993306-197041336	0.9927
NM_153697	chr2(.):197959194-198180521	0.4954
NM_001195144	chr2(.):197846385-198180521	0.3492
NM_001228	chr2(.):202093165-202157434	1.4593
NM_003879	chr2(.):201975889-202034003	1.793
NM_001127184	chr2(.):201975815-202011323	2.7698
NM_173822	chr2(.):201833440-201941392	0.1205
NM_033358	chr2(.):202093165-202151638	1.5978
NM_001037631	chr2(.):204727508-204743683	0.2052
NM_003709	chr2(.):207940528-208035614	0.5333
NM_001167608	chr2(.):227695670-227868923	0.4737
NM_022730	chr2(.):232646161-232678434	0.0995
NM_001017915	chr2(.):233920035-234121549	0.1293
NM_001137551	chr2(.):238595806-238695290	0.2903
NM_001137550	chr2(.):238531223-238695290	0.214
NM_017844	chr2(.):241413838-241502405	0.0826
NM_001195381	chr2(.):241539824-241575676	0.0229
NM_002166	chr2(.):8817112-8829583	1.1105
NM_002997	chr2(.):20395557-20429927	3.0646
NM_001006946	chr2(.):20395557-20430194	3.0414
NM_004040	chr2(.):20641834-20654201	0.7246
NM_178553	chr2(.):27354714-27367332	0.6205
NM_007046	chr2(.):27296434-27314265	0.749
NM_001166239	chr2(.):27318461-27346773	0.1441
NM_001166240	chr2(.):27317220-27346995	0.1594
NM_013388	chr2(.):27348624-27362542	0.5904
NM_006488	chr2(.):27304610-27328619	0.3014
NM_001035507	chr2(.):27269490-27287403	0.3093
NM_021831	chr2(.):27269490-27298490	0.3399
NM_001166241	chr2(.):27317220-27338970	0.1059
NM_032604	chr2(.):27341656-27358680	0.6174
NM_175769	chr2(.):27366944-27380819	1.5988
NM_001134693	chr2(.):27288341-27299567	0.4266
NM_080592	chr2(.):27429898-27445046	0.7807
NM_001170795	chr2(.):27430218-27445046	0.796
NM_004341	chr2(.):27435257-27471654	0.2574
NM_021095	chr2(.):27417454-27440175	0.4554
NM_001145122	chr2(.):31390921-31445411	0.2287
NM_015376	chr2(.):33733941-33794798	0.3278
NM_001139488	chr2(.):33696320-33794798	0.9852
NM_012413	chr2(.):37566752-37605465	5.0666
NM_138370	chr2(.):42270160-42290668	0.0937
NM_006887	chr2(.):43444540-43458745	5.219
NR_027251	chr2(.):43449349-43460994	2.7177
NM_080653	chr2(.):46733985-46752096	0.0564
NM_173074	chr2(.):46803412-46849251	0.1242
NM_014171	chr2(.):46839324-46857881	0.1818
NM_001171508	chr2(.):47124008-47173994	0.4436
NM_002354	chr2(.):47591286-47619167	0.0552
NR_033837	chr2(.):64407212-64437619	0.703
NR_034023	chr2(.):64829445-64848616	0.2729
NM_001193493	chr2(.):65210578-65256000	0.4558
NM_003038	chr2(.):65211494-65256000	0.4636
NM_181784	chr2(.):65532984-65664656	0.3121
NM_001128210	chr2(.):65532984-65598931	0.1015
NM_002664	chr2(.):68587321-68629585	0.543
NM_173545	chr2(.):68689690-68812294	0.0868
NM_001024680	chr2(.):68684504-68699390	0.3153
NM_014882	chr2(.):68996932-69058957	0.2441
NM_001166277	chr2(.):68956912-69058957	0.4209
NM_006196	chr2(.):70309584-70321334	5.5577
NR_024444	chr2(.):70346167-70357448	2.0216
NM_006433	chr2(.):85916413-85930875	0.3197
NM_198843	chr2(.):85879439-85900864	0.0685
NM_001042437	chr2(.):86061271-86099793	0.3622
NM_015425	chr2(.):86248450-86338278	1.1711
NM_017952	chr2(.):86328304-86374280	0.1306
NR_026984	chr2(.):86242338-86255991	0.1791
NR_015424	chr2(.):89060418-89111109	0.1484
NM_001193304	chr2(.):96910945-96936751	0.5237
NM_001037228	chr2(.):96900976-96912701	1.4214
NM_004804	chr2(.):96926883-96944900	0.2428
NR_026875	chr2(.):97158382-97178846	0.3025
NM_212481	chr2(.):97197463-97223371	1.6605
NM_001193484	chr2(.):109232701-109308702	0.166
NM_001193485	chr2(.):109266266-109308702	0.1364
NM_001193482	chr2(.):109218616-109308702	0.2894
NM_001193488	chr2(.):109199921-109308702	0.3449
NM_004987	chr2(.):109199766-109308702	0.3446
NM_002101	chr2(.):127408683-127459246	0.3697
NR_024275	chr2(.):135201959-135217192	0.0575
NM_004288	chr2(.):158266130-158305604	1.2881
NM_000210	chr2(.):173287313-173376181	0.2091
NM_003387	chr2(.):175419301-175504307	0.8749
NM_002491	chr2(.):201931461-201955473	0.2741
NM_001127183	chr2(.):201978386-202033841	1.8743
NM_032974	chr2(.):202042620-202099110	0.9966
NM_001230	chr2(.):202042620-202091383	0.8897
NM_033356	chr2(.):202120222-202157434	1.734
NM_001080125	chr2(.):202117753-202157434	1.7512
NM_006139	chr2(.):204566197-204607557	2.1417
NR_036227	chr2(.):207969710-207979797	0.0438
NM_001077194	chr2(.):219120737-219133582	0.1509
NM_001087	chr2(.):219123851-219139893	0.2341
NM_022572	chr2(.):219182901-219216516	0.0584
NM_017431	chr2(.):219682105-219701512	0.0458
NM_025216	chr2(.):219740254-219763651	3.2725
NM_006522	chr2(.):219719545-219743954	0.2244
NM_005544	chr2(.):227591032-227668506	0.3892
NM_005683	chr2(.):231767042-231794941	0.1396
NM_002601	chr2(.):232592146-232650974	0.0914
NR_031717	chr2(.):232751951-232762008	0.0264
NM_005383	chr2(.):233892381-233904767	0.0215
NM_004735	chr2(.):238595806-238679558	0.3382
NM_022817	chr2(.):239147678-239202207	0.2331
NR_026923	chr2(.):239135326-239147985	0.0539
NM_001142853	chr2(.):239141907-239153681	0.0966
NR_026926	chr2(.):239128753-239145318	0.0509
NM_023083	chr2(.):241521132-241543526	0.1773
NM_001033575	chr2(.):241494470-241508431	0.9125
NM_018226	chr2(.):241503103-241523143	0.4804
NM_014674	chr3(.):5224358-5266650	1.49
NM_001195099	chr3(.):15703743-15803058	0.0775
NM_001195098	chr3(.):15703743-15844691	0.3382
NM_015199	chr3(.):15703743-15906053	0.3444
NM_002841	chr3(.):61542242-62285573	0.1185
NM_003571	chr3(.):133113789-133199056	2.0527
NM_207294	chr3(.):152012193-152188569	0.1854
NM_021038	chr3(.):151980828-152188568	0.2725
NM_207015	chr3(.):174572110-175528428	0.3218
NM_001135095	chr3(.):171753343-172123492	0.5699
NM_022763	chr3(.):171752417-172123492	0.5715
NM_181361	chr3(.):178249223-178567217	0.2314
NR_004053	chr3(.):181323150-181464005	0.3008
NM_001134382	chr3(.):12933718-13119617	0.594
NM_014869	chr3(.):12933718-13013960	0.0596
NM_001184958	chr3(.):14711605-14819543	1.0098
NM_001134381	chr3(.):17193653-17746512	0.0617
NM_014744	chr3(.):17193653-17787399	0.0802
NM_001134380	chr3(.):17193653-17789240	0.0815
NM_003884	chr3(.):20076523-20200896	0.1983
NM_182666	chr3(.):23842438-23937807	0.3316
NM_001145293	chr3(.):25755434-25829989	0.1351
NM_001145294	chr3(.):25755434-25836530	0.1591
NM_001024847	chr3(.):30642993-30740633	0.6339
NM_001123396	chr3(.):46390234-46405868	2.4892
NM_001123041	chr3(.):46390234-46407413	2.2942
NM_181042	chr3(.):52574367-52718739	0.0558
NM_018313	chr3(.):52574367-52724866	0.0824
NM_001128615	chr3(.):56756445-57118336	0.2272
NM_015541	chr3(.):66424220-66555845	0.2744
NM_007114	chr3(.):69063977-69106484	0.1746
NM_001009899	chr3(.):113362232-113420493	0.1484
NM_001690	chr3(.):113460865-113535905	0.3048
NM_002213	chr3(.):124476794-124611144	0.5931
NM_032343	chr3(.):126418117-126684244	0.1432
NM_001001487	chr3(.):130608433-130740555	0.1122
NM_001199181	chr3(.):130564368-130727046	0.1777
NM_001199180	chr3(.):130564368-130740555	0.1688
NM_001199179	chr3(.):130607834-130727046	0.1177
NM_001001485	chr3(.):130607858-130740555	0.112
NM_001199184	chr3(.):130607904-130727046	0.1178
NM_014382	chr3(.):130608291-130727046	0.1179
NM_001134422	chr3(.):133287433-133314118	1.0066
NM_001134423	chr3(.):133288300-133314118	1.0379
NM_006506	chr3(.):141200925-141336197	0.0996
NM_001080412	chr3(.):141038054-141173632	3.2054
NM_016275	chr3(.):150316065-150353234	0.9289
NM_001193283	chr3(.):156539147-156648045	0.1273
NM_001004316	chr3(.):156539095-156768918	0.1707
NM_001190242	chr3(.):159969773-160106554	0.1307
NM_001190241	chr3(.):159969773-160122320	0.318
NM_024665	chr3(.):176733541-176920048	0.6541
NM_005832	chr3(.):178271617-178567217	0.1551
NM_130446	chr3(.):183200318-183278499	2.4361
NM_173216	chr3(.):186643314-186801341	1.0626
NM_003032	chr3(.):186734664-186801341	1.0531
NM_005524	chr3(.):193848933-193861396	1.4142
NM_152531	chr3(.):194784012-194996895	0.2259
NM_018184	chr3(.):5158929-5227601	0.2989
NM_015931	chr3(.):8656319-8698737	0.1651
NM_016474	chr3(.):14688252-14719166	0.419
NR_027694	chr3(.):20016452-20058765	0.0531
NR_034055	chr3(.):25895022-25920186	0.1209
NR_026937	chr3(.):25826562-25841025	0.2236
NM_194293	chr3(.):39219706-39239077	0.3527
NM_001198621	chr3(.):39219705-39239085	0.3526
NM_014240	chr3(.):45631322-45727755	0.5327
NM_001295	chr3(.):46238199-46254832	5.3353
NM_001837	chr3(.):46278871-46313197	0.1252
NM_003965	chr3(.):46443720-46456014	0.2844
NM_001100168	chr3(.):46406632-46422697	1.1569
NM_001130910	chr3(.):46444048-46456014	0.2921
NM_003212	chr3(.):46614075-46628952	0.0426
NM_001174136	chr3(.):46611044-46628952	0.0445
NM_024512	chr3(.):46551877-46613011	1.4993
NM_031440	chr3(.):46534484-46547439	0.5185
NM_001010983	chr3(.):52723503-52745048	1.6147
NM_206825	chr3(.):52714935-52733510	0.4601
NR_003687	chr3(.):52719753-52729846	0.3816
NM_014041	chr3(.):52734856-52747197	2.6441
NR_003057	chr3(.):52721751-52731828	0.3377
NM_152932	chr3(.):52723503-52742622	1.5201
NR_003047	chr3(.):52718255-52728331	0.4833
NM_001193533	chr3(.):52739795-52809965	0.5763
NM_198195	chr3(.):69098880-69134524	0.7295
NM_006407	chr3(.):69129089-69160239	1.5401
NM_198271	chr3(.):69151038-69176746	0.1855
NR_036087	chr3(.):69093108-69103186	0.5089
NM_006100	chr3(.):98446571-98518236	1.5165
NM_145037	chr3(.):101493028-101552075	0.6801
NM_001134456	chr3(.):101493285-101552075	0.6828
NM_001005474	chr3(.):101541833-101584869	0.3321
NM_001190259	chr3(.):111834687-111857152	1.0404
NM_024616	chr3(.):111800181-111842044	0.4406
NR_030292	chr3(.):111826647-111836745	0.1963
NM_025146	chr3(.):113432840-113470096	0.5816
NM_022135	chr3(.):119355907-119384404	0.9857
NM_005694	chr3(.):119383371-119401243	0.4091
NM_015900	chr3(.):119311721-119353658	0.088
NM_175924	chr3(.):121701169-121746030	0.5796
NM_175862	chr3(.):121769220-121844983	0.4149
NM_006889	chr3(.):121791749-121844983	0.5412
NR_033434	chr3(.):124444212-124473119	0.1068
NR_031687	chr3(.):125504246-125514395	0.0787
NM_020187	chr3(.):128992683-129029135	0.4359
NM_001006109	chr3(.):128992816-129029135	0.4369
NM_006026	chr3(.):129028613-129040120	1.8298
NR_026991	chr3(.):129030113-129048412	0.9439
NR_027898	chr3(.):129926662-129997649	0.0613
NM_016557	chr3(.):132311093-132326382	0.0938
NM_178445	chr3(.):132313980-132326382	0.0871
NM_032169	chr3(.):132271981-132383975	0.346
NM_032025	chr3(.):150259573-150308803	0.2775
NM_014445	chr3(.):150254779-150269428	0.5612
NR_027037	chr3(.):151975404-151992415	0.9023
NR_003284	chr3(.):156522059-156534810	0.4524
NR_034008	chr3(.):156802669-156823924	2.9245
NR_034007	chr3(.):156794455-156845791	1.3792
NM_020307	chr3(.):156860585-156883482	0.8997
NM_173084	chr3(.):160148290-160172626	0.4013
NR_029663	chr3(.):160117375-160127473	2.9759
NM_005496	chr3(.):160113346-160157741	0.9126
NM_001002800	chr3(.):160112429-160157741	0.8972
NR_029525	chr3(.):160117532-160127613	2.8564
NR_027622	chr3(.):169656771-169689522	3.0796
NM_182610	chr3(.):169624481-169661948	1.3456
NM_003262	chr3(.):169679579-169721161	0.4755
NM_003106	chr3(.):181424721-181437223	1.9887
NM_198565	chr3(.):196361655-196393874	0.726
NM_003215	chr4(.):48132799-48276814	0.5714
NM_201431	chr4(.):74433861-74491340	1.2711
NM_177532	chr4(.):74433861-74491134	1.2757
NM_020859	chr4(.):77351252-77709405	0.2344
NM_144571	chr4(.):78629540-78745544	0.2083
NM_198281	chr4(.):90160428-90234161	2.577
NM_018699	chr4(.):121610928-121849013	0.4468
NM_001034845	chr4(.):172729574-173966558	0.0673
NM_016531	chr4(.):38660789-38708129	0.5237
NM_015173	chr4(.):37887719-38145794	0.5087
NR_026804	chr4(.):38609321-38671249	0.3384
