GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
NM_001142467	chr1(.):929343-940552	0.0691
NM_005101	chr1(.):943846-954919	0.1134
NM_021170	chr1(.):929341-940552	0.0691
NM_198576	chr1(.):950502-996492	0.0859
NM_001130045	chr1(.):1104285-1138313	0.0805
NR_029639	chr1(.):1097483-1107578	0.0716
NM_016547	chr1(.):1147287-1172447	0.0844
NM_080605	chr1(.):1162628-1175420	0.1002
NM_153254	chr1(.):1110076-1126243	0.0833
NM_003327	chr1(.):1141705-1154512	0.0642
NM_004195	chr1(.):1133887-1147089	0.0717
NR_029834	chr1(.):1098242-1108332	0.0734
NR_029957	chr1(.):1099384-1109467	0.0811
NM_001127230	chr1(.):1304110-1315562	0.136
NM_001127229	chr1(.):1304109-1315580	0.1358
NM_022834	chr1(.):1365902-1383262	0.0717
NM_030937	chr1(.):1316090-1339718	0.1123
NM_031921	chr1(.):1402163-1436582	0.0804
NR_015434	chr1(.):1329909-1342426	0.1267
NM_001145210	chr1(.):1348799-1361650	0.09
NM_001146685	chr1(.):1356507-1368167	0.0734
NM_017971	chr1(.):1332275-1347693	0.1342
NM_001039211	chr1(.):1380068-1410538	0.1005
NM_080875	chr1(.):1545794-1570990	0.0983
NM_006983	chr1(.):1562559-1575030	0.085
NM_014188	chr1(.):1472052-1515262	0.0998
NR_002946	chr1(.):1563158-1575027	0.0844
NM_001114748	chr1(.):1465157-1480740	0.0689
NM_001170689	chr1(.):1546244-1570990	0.0973
NR_002946	chr1(.):1626377-1638247	0.0698
NM_002074	chr1(.):1711728-1827495	0.1138
NM_138705	chr1(.):1841265-1853733	0.1055
NM_178545	chr1(.):1844028-1855740	0.1021
NM_000815	chr1(.):1945767-1967192	0.0838
NM_001080484	chr1(.):1879751-1940276	0.0857
NM_001146310	chr1(.):2110898-2144172	0.0855
NM_182533	chr1(.):2115987-2131214	0.0882
NR_024445	chr1(.):2115481-2130024	0.0825
NM_007033	chr1(.):2318213-2341885	0.0946
NM_002617	chr1(.):2331240-2349010	0.1024
NR_024489	chr1(.):2276852-2289100	0.0937
NM_024848	chr1(.):2247695-2327993	0.0883
NM_014638	chr1(.):2402753-2441964	0.0689
NM_001010926	chr1(.):2455183-2466684	0.1021
NR_026927	chr1(.):2476358-2489284	0.1398
NM_018216	chr1(.):2434974-2463035	0.0853
NM_001195741	chr1(.):2513188-2527908	0.0877
NR_036638	chr1(.):2512898-2527908	0.0878
NM_033467	chr1(.):2517080-2569481	0.0833
NR_024371	chr1(.):2975635-2989289	0.0445
NR_015440	chr1(.):2971180-2989289	0.0505
NM_080431	chr1(.):2933045-2944467	0.0626
NR_036215	chr1(.):3039538-3049599	0.0604
NM_014448	chr1(.):3366146-3402677	0.0693
NR_030277	chr1(.):3472259-3482354	0.0807
NM_182752	chr1(.):3536555-3551694	0.1186
NR_033712	chr1(.):3647547-3668335	0.096
NR_033708	chr1(.):3647547-3668937	0.0961
NM_005427	chr1(.):3564128-3655467	0.0801
NM_017818	chr1(.):3542330-3571671	0.1006
NM_020710	chr1(.):3691783-3718068	0.113
NM_001163724	chr1(.):3684351-3697546	0.1196
NM_015557	chr1(.):6156846-6245194	0.0897
NM_207396	chr1(.):6261188-6286359	0.0929
NM_000983	chr1(.):6240079-6264679	0.1086
NM_207370	chr1(.):6302405-6326035	0.1034
NM_001024598	chr1(.):6299251-6310638	0.0852
NM_020631	chr1(.):6521151-6556760	0.1061
NM_003790	chr1(.):6516213-6531255	0.0993
NM_001039664	chr1(.):6519170-6531255	0.1039
NM_019089	chr1(.):6470293-6484979	0.1122
NM_031475	chr1(.):6479847-6526004	0.1025
NM_001042665	chr1(.):6521151-6551014	0.1052
NM_001042664	chr1(.):6521151-6555640	0.1052
NR_036218	chr1(.):6484893-6494956	0.094
NM_177540	chr1(.):6610337-6644817	0.1123
NM_024654	chr1(.):6576406-6619658	0.103
NM_001010866	chr1(.):9643931-9670020	0.089
NM_005026	chr1(.):9706789-9794172	0.0979
NR_027045	chr1(.):9707667-9719644	0.0868
NM_013319	chr1(.):11328254-11353491	0.1118
NM_020780	chr1(.):11534294-11602640	0.0907
NM_001127325	chr1(.):11729536-11756678	0.1
NM_006341	chr1(.):11729536-11746271	0.1094
NM_018438	chr1(.):11719149-11739409	0.1029
NM_183412	chr1(.):11709431-11728384	0.1169
NM_012168	chr1(.):11703447-11719739	0.1241
NM_033182	chr1(.):11709913-11728384	0.1164
NM_198545	chr1(.):11746780-11785336	0.0941
NM_021736	chr1(.):11861206-11894360	0.1138
NM_005957	chr1(.):11840786-11871160	0.1195
NM_006172	chr1(.):11900766-11912840	0.0888
NM_002521	chr1(.):11912520-11923992	0.0911
NM_000302	chr1(.):11989745-12040594	0.0942
NM_138346	chr1(.):11975122-11991480	0.1149
NM_003443	chr1(.):16263363-16307627	0.0998
NM_001165945	chr1(.):16370283-16388803	0.0981
NM_001042704	chr1(.):16343485-16365545	0.0899
NM_178840	chr1(.):16325730-16338184	0.0924
NM_000085	chr1(.):16365246-16388803	0.0971
NM_014424	chr1(.):16335522-16350285	0.0953
NM_182623	chr1(.):16379263-16405127	0.1128
NM_004431	chr1(.):16445831-16487582	0.0912
NM_153213	chr1(.):16519598-16544104	0.0988
NR_027504	chr1(.):16967068-16981915	0.4322
NR_002729	chr1(.):17076400-17095975	0.2738
NM_022089	chr1(.):17307452-17343423	0.0997
NM_003000	chr1(.):17340224-17385665	0.1278
NM_012387	chr1(.):17629689-17695495	0.0995
NM_016233	chr1(.):17570592-17615727	0.0977
NM_207421	chr1(.):17693740-17733195	0.0953
NM_001136204	chr1(.):17728250-17770057	0.106
NM_018715	chr1(.):17728250-17771220	0.1041
NM_152232	chr1(.):19161092-19191155	0.0865
NM_001039500	chr1(.):20612411-20686387	0.0854
NM_001122819	chr1(.):20985506-21049317	0.1251
NM_005216	chr1(.):20973259-20993037	0.1454
NM_001103161	chr1(.):21041224-21064133	0.1085
NM_002885	chr1(.):21917707-22000856	0.0987
NM_001145658	chr1(.):21917707-21983348	0.0972
NM_020526	chr1(.):22885003-22935087	0.087
NM_001006943	chr1(.):22885003-22921112	0.0898
NM_001114101	chr1(.):22965117-22979603	0.0847
NM_015991	chr1(.):22958117-22971175	0.0975
NM_000491	chr1(.):22974681-22993029	0.097
NR_036214	chr1(.):23184651-23194719	0.0838
NM_001024732	chr1(.):29514384-29562454	0.1103
NM_006762	chr1(.):31200314-31235683	0.1626
NM_001525	chr1(.):32078300-32097919	0.1032
NR_033688	chr1(.):32090462-32115218	0.1165
NM_012392	chr1(.):32090462-32115838	0.1151
NM_001856	chr1(.):32112847-32174768	0.1008
NM_001018017	chr1(.):155153299-155167700	0.1416
NM_198883	chr1(.):155173489-155188624	0.1753
NM_018973	chr1(.):155107366-155117883	0.2057
NM_153741	chr1(.):155107366-155117996	0.2039
NM_173852	chr1(.):155136883-155150804	0.2217
NM_007112	chr1(.):155160378-155182690	0.157
NM_001122837	chr1(.):155103287-155116334	0.222
NM_025058	chr1(.):155141359-155162445	0.166
NR_030281	chr1(.):155159967-155170063	0.1414
NM_001005742	chr1(.):155199238-155219653	0.1885
NM_001171812	chr1(.):155199238-155216066	0.1985
NM_000157	chr1(.):155199238-155216069	0.1985
NR_026549	chr1(.):156334002-156360011	0.1494
NM_001008800	chr1(.):156273751-156313206	0.1854
NM_144627	chr1(.):156302104-156321785	0.1946
NM_006365	chr1(.):156369054-156404184	0.1549
NR_029691	chr1(.):156385132-156395221	0.1893
NM_198427	chr1(.):156606739-156628264	0.1737
NM_021817	chr1(.):156584085-156600517	0.1867
NM_004494	chr1(.):156706898-156726543	0.2464
NM_001126051	chr1(.):156706898-156727024	0.2421
NM_001126050	chr1(.):156706898-156727240	0.2428
NM_030980	chr1(.):156687412-156702705	0.196
NM_001878	chr1(.):156664407-156680375	0.1479
NM_001142560	chr1(.):156693262-156711752	0.2343
NM_145729	chr1(.):156702093-156715923	0.2217
NM_006617	chr1(.):156633555-156652189	0.1584
NM_001012331	chr1(.):156825670-156856642	0.1537
NM_003975	chr1(.):156771034-156791640	0.1433
NM_001080471	chr1(.):156858522-156891226	0.1539
NM_014215	chr1(.):156805664-156833666	0.1526
NM_001161443	chr1(.):156771034-156790939	0.1443
NM_001007792	chr1(.):156780541-156856642	0.1508
NR_030527	chr1(.):156900922-156911036	0.1504
NM_001766	chr1(.):158144736-158161216	0.1944
NR_033946	chr1(.):158096833-158115430	0.1556
NM_000299	chr1(.):201247579-201307121	0.136
NM_001001432	chr1(.):201323141-201351805	0.1341
NM_003281	chr1(.):201367894-201395874	0.1256
NM_005558	chr1(.):201344965-201373669	0.1349
NM_080588	chr1(.):202111142-202134119	0.1947
NR_002930	chr1(.):202132178-202163577	0.1405
NM_002832	chr1(.):202111142-202134751	0.1927
NR_002834	chr1(.):228775656-228793159	0.2437
NM_194248	chr2(.):26675070-26786566	0.0966
NM_005876	chr2(.):220294699-220363354	0.096
NM_005301	chr2(.):241559661-241575676	0.0321
NM_001029881	chr2(.):26799072-26869211	0.1076
NM_001105519	chr2(.):26780480-26807395	0.1191
NR_015390	chr2(.):219836005-219847644	0.1077
NM_002181	chr2(.):219914141-219930238	0.0869
NM_057093	chr2(.):219849911-219863127	0.0978
NR_029867	chr2(.):219861366-219871430	0.0977
NM_152389	chr2(.):219893413-219911245	0.1093
NM_194302	chr2(.):219862575-219911245	0.1057
NM_003936	chr2(.):219819397-219831877	0.1057
NM_005209	chr2(.):219849911-219863121	0.0978
NM_017521	chr2(.):219840808-219855379	0.0977
NR_036081	chr2(.):219918409-219928472	0.0812
NM_012100	chr2(.):220233179-220257662	0.1144
NM_001173476	chr2(.):220320533-220336584	0.1069
NM_001927	chr2(.):220278098-220296461	0.0805
NM_013335	chr2(.):220358586-220376718	0.1034
NM_001005209	chr2(.):220403744-220420317	0.1112
NM_018674	chr2(.):220373891-220408494	0.1117
NM_015311	chr2(.):220410449-220441268	0.0911
NM_205847	chr2(.):220358616-220376718	0.1035
NM_024536	chr2(.):220398668-220413487	0.1175
NM_002191	chr2(.):220431953-220445427	0.09
NR_036082	chr2(.):220408794-220418869	0.0908
NM_001195731	chr2(.):220398668-220412819	0.1207
NM_198998	chr2(.):241626261-241642900	0.0463
NM_001102467	chr2(.):241610834-241627317	0.0469
NM_001165035	chr3(.):13605239-13684922	0.0905
NM_001998	chr3(.):13585624-13684922	0.0891
NR_027103	chr3(.):13687220-13793132	0.089
NM_001080423	chr3(.):14525618-14588588	0.0914
NM_000094	chr3(.):48596505-48637593	0.0979
NM_004186	chr3(.):50187847-50231508	0.0952
NM_001174051	chr3(.):50395230-50545892	0.0908
NM_001134231	chr3(.):52553384-52572793	0.1216
NM_022908	chr3(.):52553384-52574093	0.1223
NM_004443	chr3(.):184274586-184305196	0.1422
NR_002582	chr3(.):12876810-12886949	0.1517
NM_001007073	chr3(.):12871443-12888081	0.1437
NM_024827	chr3(.):13516714-13552924	0.1116
NM_001136041	chr3(.):13516843-13552924	0.1119
NM_004567	chr3(.):48550116-48599227	0.1049
NR_031756	chr3(.):48611334-48621410	0.0993
NM_033199	chr3(.):48594150-48606201	0.1201
NM_001008269	chr3(.):48653274-48664189	0.0902
NM_022911	chr3(.):48658155-48677926	0.1087
NM_001040454	chr3(.):48658155-48676279	0.1103
NM_003365	chr3(.):48631431-48652098	0.1127
NM_001166425	chr3(.):50279325-50301786	0.1244
NM_006841	chr3(.):50237691-50263406	0.1012
NM_002070	chr3(.):50268646-50301786	0.1266
NM_004636	chr3(.):50300039-50319572	0.1009
NM_000172	chr3(.):50224042-50240129	0.0991
NM_007275	chr3(.):50357340-50370668	0.1443
NM_006545	chr3(.):50379918-50393486	0.1459
NM_007182	chr3(.):50362216-50383367	0.1423
NM_007022	chr3(.):50383296-50396496	0.1517
NM_007024	chr3(.):50387179-50401939	0.1484
NM_015896	chr3(.):50373536-50388156	0.1459
NM_170712	chr3(.):50362216-50380664	0.1441
NM_170713	chr3(.):50362216-50379895	0.1476
NM_016173	chr3(.):50601908-50627421	0.1298
NM_001171743	chr3(.):50590455-50610223	0.1154
NM_001171741	chr3(.):50590455-50613458	0.1181
NM_007184	chr3(.):52484523-52532088	0.1017
NM_015136	chr3(.):52524355-52563511	0.0902
NM_003280	chr3(.):52480106-52493057	0.1208
NM_001124767	chr3(.):52565620-52579586	0.1431
NM_153330	chr3(.):128176281-128191091	0.1004
NR_026954	chr3(.):128221677-128234429	0.0886
NM_032638	chr3(.):128193264-128217030	0.1015
NM_001145662	chr3(.):128193264-128211764	0.0973
NM_001145661	chr3(.):128193264-128212373	0.096
NM_004532	chr3(.):195468637-195544148	0.1521
NM_020777	chr4(.):7189373-7749564	0.0792
NM_006527	chr4(.):1689526-1719030	0.1279
NM_012318	chr4(.):1808205-1862974	0.0988
NM_020416	chr4(.):6317304-6479326	0.0862
NM_001130088	chr4(.):8003747-8165559	0.0763
NM_001130084	chr4(.):7962036-8165559	0.0789
NM_001163213	chr4(.):1790038-1815599	0.0852
NM_001127266	chr4(.):1712678-1728084	0.1305
NM_006342	chr4(.):1718265-1751897	0.112
NM_001528	chr4(.):3438725-3456213	0.0743
NM_173660	chr4(.):3460032-3501209	0.0865
NM_002337	chr4(.):3509289-3539224	0.0918
NM_000683	chr4(.):3763295-3775253	0.0658
NR_034136	chr4(.):3670319-3684582	0.0702
NM_181876	chr4(.):6317304-6388597	0.0875
NR_027441	chr4(.):7094150-7110103	0.1043
NM_001085382	chr4(.):7427020-7441700	0.0728
NR_036238	chr4(.):7456754-7466845	0.0794
NR_026892	chr4(.):7750816-7785654	0.0866
NM_018986	chr4(.):8196059-8247830	0.0817
NM_053044	chr4(.):8266488-8313838	0.0748
NM_001014448	chr4(.):8589386-8626488	0.0689
NM_080819	chr4(.):8577290-8594520	0.0892
NM_018942	chr4(.):8863772-8878543	0.0527
NM_001040071	chr4(.):8946476-8957127	0.1027
NM_001105662	chr4(.):9240604-9252197	0.3886
NM_001105662	chr4(.):9254849-9266442	0.323
NM_001105662	chr4(.):9264344-9275937	0.2889
NM_001105662	chr4(.):9212130-9223723	0.3299
NM_001105662	chr4(.):9359854-9371447	0.2899
NR_027279	chr4(.):9364599-9375796	0.2027
NM_001105662	chr4(.):9326636-9338229	0.2839
NM_001105662	chr4(.):9336128-9347721	0.2871
NM_001105662	chr4(.):9350363-9361956	0.2975
NM_001105662	chr4(.):9355108-9366701	0.2943
NM_052899	chr5(.):176017802-176042131	0.1156
NM_133369	chr5(.):176232559-176312899	0.0893
NM_001099408	chr5(.):176052682-176078642	0.1013
NM_001006616	chr5(.):176069387-176091059	0.1166
NM_001001502	chr5(.):176042209-176062557	0.0936
NR_036239	chr5(.):176051439-176061501	0.1
NM_002115	chr5(.):176302869-176331333	0.1029
NM_004197	chr6(.):31976517-31986961	0.1385
NM_000841	chr6(.):33984627-34106443	0.0907
NM_005516	chr6(.):30452182-30466982	0.1264
NR_001284	chr6(.):31971196-31985800	0.1455
NR_026717	chr6(.):31933951-31954223	0.1256
NM_005510	chr6(.):31932587-31945032	0.1407
NM_001002029	chr6(.):31944833-31975458	0.1134
NM_032470	chr6(.):31971196-31986050	0.144
NM_006929	chr6(.):31921580-31942532	0.1499
NM_000500	chr6(.):31968347-31981684	0.1453
NM_007293	chr6(.):31944833-31975457	0.1134
NM_002904	chr6(.):31914863-31931864	0.1388
NM_004197	chr6(.):31934645-31954223	0.1251
NR_031601	chr6(.):31919615-31929717	0.1404
NM_001710	chr6(.):31908720-31924861	0.1145
NM_001002029	chr6(.):31977571-32008195	0.118
NM_001136153	chr6(.):32078044-32101017	0.1266
NM_000500	chr6(.):32001081-32014419	0.1186
NM_022110	chr6(.):32091483-32103067	0.1315
NM_019105	chr6(.):32003931-32082151	0.1027
NM_032470	chr6(.):32003931-32018905	0.1069
NM_007293	chr6(.):31977571-32008194	0.118
NM_138717	chr6(.):32116300-32136452	0.0836
NM_030651	chr6(.):32111139-32124720	0.0981
NM_005155	chr6(.):32116621-32136452	0.0829
NR_037169	chr6(.):32115578-32127142	0.0976
NM_054111	chr6(.):33684442-33719762	0.088
NM_001184698	chr6(.):33757448-33776793	0.1032
NM_001143944	chr6(.):33733989-33759719	0.1116
NM_181336	chr6(.):33733989-33761906	0.1129
NR_031681	chr6(.):33962748-33972828	0.0802
NM_005586	chr6(.):41601194-41626982	0.0983
NM_001134395	chr7(.):1031622-1182893	0.0795
NM_130843	chr7(.):157326749-158385482	0.1201
NM_015949	chr7(.):911190-941071	0.0876
NM_001100390	chr7(.):2593631-2659368	0.0872
NM_133463	chr7(.):2714162-2760069	0.0992
NM_172084	chr7(.):44251748-44370230	0.0922
NM_004444	chr7(.):100395186-100430143	0.0867
NM_006076	chr7(.):100131833-100170843	0.1101
NM_001099220	chr7(.):149530508-149569568	0.1537
NM_001098834	chr7(.):150840675-150869867	0.1528
NM_001103176	chr7(.):155288952-155331539	0.1179
NM_006869	chr7(.):932536-999289	0.0808
NM_017781	chr7(.):1017834-1034276	0.0842
NM_001031617	chr7(.):999485-1020235	0.1041
NM_182491	chr7(.):1187542-1204855	0.1085
NM_001080461	chr7(.):1267653-1281613	0.0426
NM_182924	chr7(.):1468994-1504109	0.0803
NM_002304	chr7(.):2552496-2573063	0.0981
NM_152743	chr7(.):2572443-2600392	0.086
NM_001166355	chr7(.):2547162-2573063	0.1003
NM_001040168	chr7(.):2554478-2573810	0.0918
NM_001040167	chr7(.):2554478-2573063	0.0944
NM_025250	chr7(.):2666602-2709436	0.0788
NM_006555	chr7(.):44235577-44258893	0.1047
NM_000162	chr7(.):44178869-44234022	0.1046
NM_152755	chr7(.):99712264-99728128	0.148
NM_203397	chr7(.):99719319-99731121	0.1737
NM_005641	chr7(.):99699692-99721995	0.1235
NM_001190415	chr7(.):99699692-99722481	0.124
NM_139315	chr7(.):99699692-99722021	0.1234
NM_018275	chr7(.):99747042-99761302	0.1303
NM_024070	chr7(.):99811870-99824111	0.1385
NM_012447	chr7(.):99770537-99817010	0.1283
NM_152742	chr7(.):99762228-99779990	0.1048
NM_001008395	chr7(.):99741529-99756833	0.1502
NM_024637	chr7(.):99751864-99771373	0.111
NM_002319	chr7(.):100166633-100188776	0.1022
NM_016188	chr7(.):100235725-100259084	0.0864
NM_003227	chr7(.):100213038-100244173	0.0933
NM_001040097	chr7(.):100204724-100218000	0.118
NM_001040098	chr7(.):100205052-100218000	0.1174
NM_002593	chr7(.):100194881-100210798	0.122
NM_033506	chr7(.):100178955-100203740	0.1105
NM_001163499	chr7(.):100182195-100203740	0.1067
NM_001040099	chr7(.):100205113-100218000	0.1168
NM_001168682	chr7(.):100164852-100176270	0.0674
NM_005837	chr7(.):100298675-100310123	0.1216
NM_000799	chr7(.):100313422-100326323	0.1045
NM_003386	chr7(.):100326248-100400419	0.0827
NM_022574	chr7(.):100272129-100291870	0.0961
NM_005273	chr7(.):100266362-100281792	0.1097
NM_020246	chr7(.):100445357-100469634	0.0934
NM_003302	chr7(.):100459949-100476076	0.1092
NM_015908	chr7(.):100467700-100491285	0.1178
NM_001165413	chr7(.):100765378-100787547	0.1192
NM_001040105	chr7(.):100658363-100707140	0.0988
NM_030961	chr7(.):100723785-100738889	0.1102
NM_001185080	chr7(.):100870372-100887101	0.0877
NM_016068	chr7(.):100877892-100893371	0.1125
NM_014343	chr7(.):100870372-100886227	0.0844
NM_006349	chr7(.):100855984-100872471	0.1144
NM_198571	chr7(.):100808773-100828557	0.1025
NM_001084	chr7(.):100844257-100866011	0.1132
NM_003378	chr7(.):100800789-100813852	0.0834
NM_178176	chr7(.):100834012-100849302	0.1025
NM_001283	chr7(.):100792685-100809557	0.0967
NM_001130820	chr7(.):100951647-100970093	0.0999
NM_001458	chr7(.):128465482-128504328	0.1515
NM_001195150	chr7(.):128501463-128517101	0.1939
NM_001198909	chr7(.):128497856-128510903	0.2071
NM_198455	chr7(.):149468130-149536053	0.1368
NM_207336	chr7(.):149456452-149475295	0.1192
NR_027040	chr7(.):149559782-149575951	0.1688
NM_001100592	chr7(.):149565056-149582738	0.1727
NM_001142459	chr7(.):150867784-150889478	0.156
NM_080871	chr7(.):150867784-150889919	0.1567
NM_019015	chr7(.):150924584-150940905	0.1813
NM_003078	chr7(.):150931058-150979231	0.1513
NM_001003802	chr7(.):150931058-150978820	0.1522
NM_005692	chr7(.):150899922-150929317	0.1586
NM_001003801	chr7(.):150931058-150950749	0.1653
NR_030407	chr7(.):150930506-150940624	0.1683
NM_198285	chr7(.):151073206-151112124	0.127
NM_016118	chr7(.):151033857-151080532	0.1629
NR_034012	chr7(.):151101321-151115132	0.1282
NM_144727	chr7(.):151122055-151142099	0.1558
NR_037468	chr7(.):151125574-151135725	0.1721
NM_000193	chr7(.):155590557-155609967	0.107
NR_029689	chr7(.):157362027-157372114	0.1195
NM_001172357	chr8(.):22014183-22026991	0.0862
NM_014629	chr8(.):1767148-1911807	0.0889
NM_207414	chr8(.):142438928-142522330	0.0853
NM_005607	chr8(.):141663501-142016332	0.0989
NM_145003	chr8(.):143288440-143489543	0.0799
NM_015201	chr8(.):145481055-145520120	0.066
NM_014867	chr8(.):1917043-1960109	0.0903
NM_001164452	chr8(.):7132291-7145302	0.0808
NM_001164452	chr8(.):7109425-7122436	0.0729
NM_001136572	chr8(.):7416309-7445175	0.1008
NM_001136572	chr8(.):7408659-7422234	0.0726
NM_001164452	chr8(.):7567964-7580975	0.0656
NM_001164449	chr8(.):7575612-7588623	0.0626
NM_001164450	chr8(.):7590908-7603918	0.0761
NM_001164448	chr8(.):7613851-7626862	0.0863
NM_001164447	chr8(.):7621498-7634510	0.0837
NM_001164451	chr8(.):7606203-7619214	0.0686
NM_025232	chr8(.):21990532-22004448	0.127
NM_024815	chr8(.):21959382-21971932	0.1043
NM_018411	chr8(.):21966931-21993565	0.0796
NM_139278	chr8(.):21999342-22019344	0.0931
NM_006129	chr8(.):22017652-22074840	0.096
NM_014957	chr8(.):142133719-142210900	0.1145
NM_032611	chr8(.):142427006-142446620	0.0659
NM_005293	chr8(.):142361586-142382365	0.0789
NR_024441	chr8(.):142345647-142359720	0.0883
NR_024378	chr8(.):143274716-143295364	0.0749
NM_001702	chr8(.):143540376-143631368	0.0671
NM_015193	chr8(.):143687409-143700833	0.0736
NM_001077527	chr8(.):143733873-143756401	0.1083
NR_033343	chr8(.):143746725-143769145	0.0938
NM_001130478	chr8(.):144234330-144247053	0.1005
NM_002347	chr8(.):144234330-144246457	0.0966
NM_001135655	chr8(.):144234330-144246755	0.0957
NM_052963	chr8(.):144386527-144422050	0.0863
NR_026785	chr8(.):144443792-144455805	0.1014
NM_052924	chr8(.):144446024-144471390	0.0967
NM_201589	chr8(.):144505229-144517602	0.0967
NM_182706	chr8(.):144868089-144902549	0.0891
NM_031308	chr8(.):144934911-144952434	0.1066
NM_001136033	chr8(.):144893552-144916196	0.1047
NM_178564	chr8(.):144910754-144928146	0.1046
NM_078480	chr8(.):144893546-144916537	0.1051
NR_030633	chr8(.):144890126-144900212	0.1066
NM_201381	chr8(.):144984320-145023905	0.1114
NM_201382	chr8(.):144984320-145023110	0.1111
NM_201383	chr8(.):144984320-145021692	0.1113
NM_201384	chr8(.):144984320-145018758	0.1108
NR_030383	chr8(.):145014358-145024447	0.1312
NM_005526	chr8(.):145510269-145543385	0.1049
NM_012079	chr8(.):145533246-145555567	0.0942
NR_030635	chr8(.):145614363-145624445	0.0877
NM_031309	chr8(.):145549453-145564943	0.0791
NM_024531	chr8(.):145577224-145589946	0.114
NR_015428	chr8(.):145571885-145583505	0.1294
NM_012162	chr8(.):145574090-145587132	0.1179
NM_174922	chr8(.):145592730-145623453	0.1015
NM_139025	chr9(.):136282119-136329508	0.1003
NR_024514	chr9(.):136274458-136329508	0.1015
NM_007344	chr9(.):135245936-135287221	0.1207
NM_004878	chr9(.):132495614-132520344	0.09
NM_199350	chr9(.):132369503-132388055	0.1165
NM_006059	chr9(.):133879503-133973446	0.0923
NM_007313	chr9(.):133584267-133768062	0.098
NM_005085	chr9(.):133995980-134114091	0.1114
NM_004269	chr9(.):134730498-134960253	0.1073
NM_005312	chr9(.):134447156-134617925	0.1237
NM_000368	chr9(.):135761734-135825020	0.1116
NM_152572	chr9(.):135595964-135759198	0.0949
NM_012087	chr9(.):135901061-135938890	0.1049
NM_207417	chr9(.):135280610-135453675	0.0958
NM_007101	chr9(.):136523683-136610077	0.0828
NM_001134707	chr9(.):136523683-136608479	0.0833
NM_000093	chr9(.):137528651-137741688	0.0762
NM_020822	chr9(.):138589030-138689993	0.0725
NM_144653	chr9(.):138898202-138992131	0.0724
NM_017820	chr9(.):140196347-140322714	0.096
NM_001173989	chr9(.):139697373-139733794	0.0962
NM_016219	chr9(.):139976416-140008639	0.1172
NR_024369	chr9(.):34563009-34588070	0.0983
NM_147164	chr9(.):34546430-34594722	0.1045
NM_198573	chr9(.):34516039-34528037	0.1122
NM_007234	chr9(.):34608547-34625496	0.1255
NM_001017363	chr9(.):34616454-34633011	0.1146
NM_148179	chr9(.):34605491-34617101	0.1339
NM_001161808	chr9(.):127208422-127244379	0.0917
