GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
NM_001001933	chr1(.):75589118-75632218	0.1236
NM_006769	chr1(.):87789150-87819607	0.1277
NM_001127215	chr1(.):92935317-92954356	0.1074
NM_005263	chr1(.):92935317-92957433	0.1055
NM_001127216	chr1(.):92935317-92956628	0.107
NM_017709	chr1(.):118143603-118176011	0.1465
NM_032305	chr1(.):145451235-145475387	0.2382
NM_202004	chr1(.):145408190-145422545	0.1676
NM_006472	chr1(.):145433461-145447628	0.2598
NM_001039888	chr1(.):145465507-145480647	0.2272
NM_003846	chr1(.):145511164-145528732	0.2032
NM_005105	chr1(.):145502637-145516444	0.2567
NM_001184795	chr1(.):145511559-145528732	0.2027
NM_003637	chr1(.):145519989-145548868	0.1745
NM_144698	chr1(.):145544208-145573526	0.1759
NR_002328	chr1(.):145504819-145521076	0.2447
NM_015383	chr1(.):147998641-148030848	0.1981
NM_001164261	chr1(.):148196751-148207536	0.1638
NM_173638	chr1(.):148555846-148601267	0.1913
NM_001102663	chr1(.):148572356-148601267	0.1725
NM_001170755	chr1(.):148553187-148601267	0.1966
NM_001144032	chr1(.):148639010-148649795	0.167
NM_001102663	chr1(.):148734441-148763311	0.186
NM_001164261	chr1(.):148801014-148811799	0.1573
NM_001161334	chr1(.):149749244-149788928	0.1528
NM_001034077	chr1(.):149799220-149809616	0.2432
NM_001005464	chr1(.):149807258-149817765	0.2501
NM_001040874	chr1(.):149808784-149819318	0.2664
NM_001123375	chr1(.):149779779-149790236	0.2108
NM_000566	chr1(.):149749249-149769074	0.1351
NM_016074	chr1(.):149866154-149877348	0.172
NM_003528	chr1(.):149851009-149863232	0.3016
NM_003517	chr1(.):149853524-149863961	0.3259
NM_175065	chr1(.):149854018-149864466	0.3211
NR_036461	chr1(.):149816758-149827340	0.287
NM_001040874	chr1(.):149817627-149828161	0.2862
NM_001005464	chr1(.):149819180-149829687	0.2759
NM_001034077	chr1(.):149827329-149837725	0.2331
NM_019032	chr1(.):150516897-150538412	0.2241
NM_207046	chr1(.):150589598-150606609	0.2359
NR_036211	chr1(.):150519404-150529490	0.1372
NM_001197320	chr1(.):150542026-150557214	0.25
NM_001178062	chr1(.):151099162-151124140	0.1581
NM_024575	chr1(.):151124104-151137225	0.1563
NM_001136543	chr1(.):151127223-151143424	0.1999
NM_001135636	chr1(.):151166020-151227007	0.1705
NM_013353	chr1(.):151137462-151153547	0.2045
NM_212551	chr1(.):151127223-151143370	0.1997
NM_024041	chr1(.):151133516-151146614	0.2137
NM_005997	chr1(.):151143933-151167640	0.1946
NM_001083964	chr1(.):151740954-151768010	0.2005
NM_001004432	chr1(.):151767764-151782882	0.1414
NM_001136003	chr1(.):151805338-151818033	0.2426
NM_182578	chr1(.):151814576-151831173	0.1696
NR_024237	chr1(.):151805944-151821641	0.2277
NM_005620	chr1(.):151999981-152014511	0.2641
NM_002966	chr1(.):151950385-151971714	0.1919
NM_001008536	chr1(.):152051619-152066540	0.1558
NM_001024213	chr1(.):153586275-153604524	0.1627
NM_005979	chr1(.):153586275-153605715	0.1655
NM_001024211	chr1(.):153586275-153605117	0.1633
NM_001024212	chr1(.):153586275-153604744	0.1634
NM_001024210	chr1(.):153586275-153611568	0.1842
NM_006271	chr1(.):153595872-153609513	0.1922
NM_004515	chr1(.):153629513-153648479	0.2071
NM_000906	chr1(.):153646163-153671468	0.1528
NM_012437	chr1(.):153626144-153639326	0.1734
NM_023015	chr1(.):153695566-153751555	0.1838
NM_024330	chr1(.):153742767-153757633	0.1954
NM_014437	chr1(.):153926587-153945188	0.2501
NM_130898	chr1(.):153935396-153951832	0.2549
NM_181715	chr1(.):153915151-153936043	0.2182
NM_006694	chr1(.):153941744-153955451	0.1991
NM_002870	chr1(.):153949127-153963806	0.2312
NM_014856	chr1(.):153896976-153924154	0.1755
NM_001030	chr1(.):153958238-153969631	0.2323
NM_020452	chr1(.):154295275-154328780	0.2098
NM_001005855	chr1(.):154293035-154315322	0.2183
NM_080429	chr1(.):154288591-154302801	0.2254
NM_006556	chr1(.):154892207-154914484	0.2197
NM_005227	chr1(.):155031212-155047029	0.212
NM_001130041	chr1(.):154929773-154951959	0.2655
NM_001130040	chr1(.):154929773-154948223	0.2618
NM_201398	chr1(.):154950769-154970587	0.2209
NM_015872	chr1(.):154970111-154995999	0.2188
NM_207196	chr1(.):155018761-155040252	0.2276
NM_018655	chr1(.):154961061-154971791	0.2292
NM_001143687	chr1(.):155001281-155028406	0.2009
NR_024163	chr1(.):154942117-154956725	0.2941
NM_144622	chr1(.):154986002-155011257	0.1925
NM_138300	chr1(.):154924501-154939258	0.2916
NR_036212	chr1(.):154943168-154953259	0.3175
NM_001018017	chr1(.):155153299-155167700	0.2009
NM_198883	chr1(.):155173489-155188624	0.207
NM_018973	chr1(.):155107366-155117883	0.2579
NM_153741	chr1(.):155107366-155117996	0.2566
NM_173852	chr1(.):155136883-155150804	0.23
NM_004428	chr1(.):155095348-155112386	0.2252
NM_007112	chr1(.):155160378-155182690	0.2215
NM_001122837	chr1(.):155103287-155116334	0.2536
NM_025058	chr1(.):155141359-155162445	0.2174
NR_030281	chr1(.):155159967-155170063	0.1964
NM_001005742	chr1(.):155199238-155219653	0.2008
NM_003993	chr1(.):155227658-155248281	0.2289
NM_181871	chr1(.):155254083-155275792	0.1546
NM_198264	chr1(.):155211995-155230274	0.2146
NM_052837	chr1(.):155220771-155237195	0.2204
NM_020897	chr1(.):155242373-155264638	0.1806
NM_001171812	chr1(.):155199238-155216066	0.2098
NM_000157	chr1(.):155199238-155216069	0.2098
NM_001135821	chr1(.):155273704-155295457	0.2129
NM_002004	chr1(.):155273538-155295457	0.2129
NM_005698	chr1(.):155220769-155237195	0.2204
NM_000298	chr1(.):155254083-155276225	0.1541
NM_006912	chr1(.):155862600-155886177	0.1709
NM_001162384	chr1(.):155911629-155953336	0.2336
NM_181885	chr1(.):155906479-155917625	0.2825
NM_004723	chr1(.):155911629-155952966	0.2343
NM_014949	chr1(.):155877835-155909188	0.2034
NR_002974	chr1(.):155884699-155894833	0.1643
NR_003005	chr1(.):155890748-155900877	0.1703
NM_020131	chr1(.):156000091-156028516	0.2048
NM_001093725	chr1(.):156036803-156056789	0.1697
NM_020387	chr1(.):156025965-156045295	0.1764
NM_001145264	chr1(.):156019516-156033301	0.2244
NM_003145	chr1(.):155973838-155995758	0.2191
NM_198406	chr1(.):156208208-156222792	0.1687
NM_014655	chr1(.):156158729-156187587	0.2668
NM_007221	chr1(.):156177783-156214833	0.2536
NM_022367	chr1(.):156118321-156152542	0.2656
NM_001193302	chr1(.):156118368-156152542	0.2656
NM_199173	chr1(.):156206950-156218112	0.1758
NM_024897	chr1(.):156208206-156222843	0.1685
NM_001193301	chr1(.):156114734-156152542	0.268
NM_005920	chr1(.):156428518-156475529	0.2405
NM_198427	chr1(.):156606739-156628264	0.1629
NM_001105669	chr1(.):156544518-156561562	0.1828
NM_144772	chr1(.):156556557-156569091	0.2254
NM_015590	chr1(.):156559279-156576270	0.2311
NM_021817	chr1(.):156584085-156600517	0.2077
NM_021948	chr1(.):156606739-156634320	0.1925
NM_004494	chr1(.):156706898-156726543	0.2476
NM_001126051	chr1(.):156706898-156727024	0.2445
NM_001126050	chr1(.):156706898-156727240	0.2442
NM_030980	chr1(.):156687412-156702705	0.2198
NM_001878	chr1(.):156664407-156680375	0.1704
NM_001142560	chr1(.):156693262-156711752	0.2341
NM_145729	chr1(.):156702093-156715923	0.203
NM_006617	chr1(.):156633555-156652189	0.1953
NR_001560	chr1(.):157093153-157103463	0.1755
NM_005240	chr1(.):157097975-157113177	0.2354
NM_001145312	chr1(.):157089458-157113383	0.203
NM_003564	chr1(.):159882902-159900284	0.2115
NM_012337	chr1(.):159837153-159874906	0.2134
NM_001146172	chr1(.):159916281-159929044	0.1683
NM_001778	chr1(.):160643535-160686585	0.2592
NM_021181	chr1(.):160704076-160729601	0.2382
NM_030916	chr1(.):161035780-161064385	0.2053
NM_007122	chr1(.):161004040-161020757	0.2596
NM_001113205	chr1(.):161002421-161013774	0.2108
NM_181720	chr1(.):161011731-161044760	0.251
NM_016946	chr1(.):160960000-160996133	0.2089
NM_001039711	chr1(.):161085768-161107478	0.2324
NM_016406	chr1(.):161118533-161133646	0.2687
NM_004550	chr1(.):161164104-161189184	0.233
NM_000309	chr1(.):161131180-161146010	0.2326
NM_001643	chr1(.):161187082-161198418	0.2744
NM_001185094	chr1(.):161082907-161095984	0.2159
NM_003779	chr1(.):161136100-161152314	0.2524
NM_012475	chr1(.):161124253-161140516	0.2797
NM_001039712	chr1(.):161085768-161107256	0.2338
NM_005600	chr1(.):161082861-161095984	0.2153
NM_001185093	chr1(.):161082906-161095984	0.2159
NM_032174	chr1(.):161190832-161205407	0.2113
NM_001166159	chr1(.):161166936-161189184	0.233
NM_005099	chr1(.):161154537-161173845	0.2502
NM_004106	chr1(.):161180086-161194038	0.2284
NM_001127593	chr1(.):161506550-161525413	0.1794
NM_001127592	chr1(.):161506550-161524818	0.1796
NM_201563	chr1(.):161546128-161575032	0.0983
NM_002155	chr1(.):161489035-161501687	0.1952
NM_001146191	chr1(.):167686186-167766156	0.1609
NM_022371	chr1(.):179046111-179070129	0.2298
NM_016545	chr1(.):181052637-181064979	0.2668
NM_001195216	chr1(.):197698138-197749623	0.1973
NM_020204	chr1(.):197881516-197904273	0.1712
NM_001024594	chr1(.):197866681-197881497	0.1899
NM_001014434	chr1(.):197876634-197904273	0.1719
NM_005298	chr1(.):200837165-200848251	0.1666
NM_018265	chr1(.):200855638-200889864	0.1841
NM_001142569	chr1(.):200858998-200889864	0.1739
NM_017596	chr1(.):200933519-200997828	0.187
NM_080588	chr1(.):202111142-202134119	0.2152
NR_002930	chr1(.):202132178-202163577	0.1541
NM_002832	chr1(.):202111142-202134751	0.2136
NR_034150	chr1(.):203262885-203279453	0.2926
NM_003465	chr1(.):203180206-203203860	0.1733
NM_006763	chr1(.):203269663-203283729	0.2838
NM_002023	chr1(.):203304751-203325289	0.1911
NM_002646	chr1(.):204386757-204464474	0.1712
NM_002393	chr1(.):204480510-204532248	0.2216
NM_014858	chr1(.):205192037-205247471	0.2219
NM_018203	chr1(.):205300647-205331039	0.1866
NM_030952	chr1(.):205266190-205295883	0.2081
NM_001123168	chr1(.):206133910-206160074	0.183
NM_001007544	chr1(.):206233871-206293647	0.1952
NM_148964	chr1(.):206312458-206337104	0.1389
NM_006893	chr1(.):206759973-206790904	0.1844
NM_182665	chr1(.):206725491-206767616	0.2569
NR_026817	chr1(.):207986723-208000941	0.2628
NR_029832	chr1(.):207970196-207980284	0.2247
NR_029518	chr1(.):207970787-207980868	0.2455
NM_183059	chr1(.):211644863-211671259	0.1519
NM_153606	chr1(.):212792788-212805120	0.2014
NM_001030287	chr1(.):212733696-212799116	0.2098
NM_001674	chr1(.):212776993-212799116	0.2351
NM_001748	chr1(.):223895118-223968720	0.1704
NM_001146068	chr1(.):223884294-223968720	0.1716
NM_001136018	chr1(.):225992796-226038262	0.1677
NM_000120	chr1(.):226008001-226038262	0.1733
NM_020997	chr1(.):226068981-226081836	0.181
NM_014698	chr1(.):226028232-226075420	0.2227
NM_001172425	chr1(.):226119297-226134083	0.2493
NM_013328	chr1(.):226102579-226116965	0.1759
NR_024485	chr1(.):227911239-227927055	0.1828
NM_023007	chr1(.):227913889-227928112	0.1934
NR_036753	chr1(.):227879732-227890408	0.1332
NM_181441	chr1(.):228289379-228302013	0.2266
NR_037415	chr1(.):228279963-228290042	0.1656
NM_001024227	chr1(.):228265850-228291913	0.2293
NM_001024226	chr1(.):228265360-228291913	0.2293
NM_024319	chr1(.):228283427-228296022	0.193
NM_001159391	chr1(.):228327403-228341655	0.1759
NM_001159390	chr1(.):228322928-228341655	0.1776
NM_020435	chr1(.):228332552-228352527	0.1374
NM_182972	chr1(.):234735014-234750271	0.304
NR_033927	chr1(.):234760056-234775526	0.1607
NR_002956	chr1(.):235286117-235296252	0.2212
NM_030645	chr1(.):249099650-249125154	0.247
NM_024836	chr1(.):249127529-249148714	0.2268
NM_001136036	chr1(.):249139202-249158125	0.2183
NM_001193328	chr1(.):249139202-249158315	0.2184
NR_036070	chr1(.):249115575-249125642	0.2853
NM_134421	chr2(.):10438825-10572743	0.1226
NM_002149	chr2(.):10438039-10572743	0.122
NM_001083590	chr2(.):27250773-27269565	0.1124
NM_020458	chr2(.):47163312-47308275	0.1331
NR_033872	chr2(.):70184394-70319147	0.12
NM_001099289	chr2(.):109740996-110267207	0.1024
NM_015488	chr2(.):219130114-219216516	0.1191
NM_022152	chr2(.):219133916-219162280	0.155
NM_001012514	chr2(.):231724620-231748963	0.0875
NM_145693	chr2(.):11881739-11972533	0.1463
NM_005813	chr2(.):37472645-37549222	0.1673
NM_005633	chr2(.):39203689-39352604	0.1147
NM_012249	chr2(.):46764866-46816827	0.1559
NM_022893	chr2(.):60679328-60785633	0.1138
NM_018014	chr2(.):60673301-60785633	0.1146
NM_014755	chr2(.):64853754-64886046	0.1567
NR_036586	chr2(.):65123973-65164581	0.1715
NM_002398	chr2(.):66657531-66804891	0.1001
NR_027749	chr2(.):74705199-74726691	0.1222
NM_004027	chr2(.):99056320-99212496	0.1812
NM_001566	chr2(.):99056320-99203284	0.1852
NM_001142807	chr2(.):111485149-111880799	0.1232
NR_027020	chr2(.):132900163-133020542	0.1646
NM_004226	chr2(.):196993306-197041336	0.1615
NM_001228	chr2(.):202093165-202157434	0.1565
NM_003879	chr2(.):201975889-202034003	0.1592
NM_001127184	chr2(.):201975815-202011323	0.1827
NM_173822	chr2(.):201833440-201941392	0.115
NM_033358	chr2(.):202093165-202151638	0.1602
NM_001167608	chr2(.):227695670-227868923	0.1203
NM_022730	chr2(.):232646161-232678434	0.0739
NM_001137551	chr2(.):238595806-238695290	0.0686
NM_001137550	chr2(.):238531223-238695290	0.0646
NM_002166	chr2(.):8817112-8829583	0.1649
NM_002539	chr2(.):10575507-10593453	0.1722
NR_028374	chr2(.):10581839-10591975	0.1889
NM_002997	chr2(.):20395557-20429927	0.1909
NM_001006946	chr2(.):20395557-20430194	0.1905
NM_178553	chr2(.):27354714-27367332	0.1426
NM_007046	chr2(.):27296434-27314265	0.1609
NM_001166239	chr2(.):27318461-27346773	0.1205
NM_001166240	chr2(.):27317220-27346995	0.1227
NM_013388	chr2(.):27348624-27362542	0.1499
NM_006488	chr2(.):27304610-27328619	0.1329
NM_001035507	chr2(.):27269490-27287403	0.1533
NM_001166241	chr2(.):27317220-27338970	0.1143
NM_032604	chr2(.):27341656-27358680	0.1652
NM_175769	chr2(.):27366944-27380819	0.1476
NM_001134693	chr2(.):27288341-27299567	0.165
NM_080592	chr2(.):27429898-27445046	0.1504
NM_001170795	chr2(.):27430218-27445046	0.1508
NM_004341	chr2(.):27435257-27471654	0.1249
NM_021095	chr2(.):27417454-27440175	0.1357
NM_012413	chr2(.):37566752-37605465	0.1865
NM_138370	chr2(.):42270160-42290668	0.1017
NM_006887	chr2(.):43444540-43458745	0.23
NR_027251	chr2(.):43449349-43460994	0.1868
NM_080653	chr2(.):46733985-46752096	0.1079
NM_001171507	chr2(.):47124008-47148251	0.136
NM_001171506	chr2(.):47124008-47148007	0.1367
NM_001171508	chr2(.):47124008-47173994	0.131
NR_034023	chr2(.):64829445-64848616	0.1324
NM_001193493	chr2(.):65210578-65256000	0.1518
NM_003038	chr2(.):65211494-65256000	0.1525
NM_181784	chr2(.):65532984-65664656	0.1265
NM_006196	chr2(.):70309584-70321334	0.2088
NR_024444	chr2(.):70346167-70357448	0.1425
NM_053050	chr2(.):74694108-74704927	0.1175
NM_032779	chr2(.):74694958-74715357	0.1301
NM_001146158	chr2(.):74683183-74697537	0.1482
NM_001015056	chr2(.):74647987-74672710	0.1172
NM_012477	chr2(.):74680576-74693010	0.1753
NM_001145054	chr2(.):74636302-74649844	0.1254
NM_001015055	chr2(.):74647987-74674060	0.1154
NM_031288	chr2(.):74677198-74690087	0.165
NM_032118	chr2(.):74643884-74657882	0.11
NM_001197260	chr2(.):74771146-74789678	0.1378
NM_016170	chr2(.):74736595-74749275	0.1067
NM_001009812	chr2(.):74719643-74735443	0.1398
NM_032673	chr2(.):74727169-74739821	0.1563
NM_133637	chr2(.):74740257-74758408	0.1371
NM_013247	chr2(.):74751531-74765683	0.1581
NM_032603	chr2(.):74754945-74786062	0.1396
NM_181575	chr2(.):74748774-74761974	0.1681
NM_001381	chr2(.):74776511-74789678	0.1513
NR_024606	chr2(.):74724743-74737192	0.1448
NR_026984	chr2(.):86242338-86255991	0.1421
NR_027238	chr2(.):91819708-91852975	0.3084
NR_026875	chr2(.):97158382-97178846	0.1297
NM_212481	chr2(.):97197463-97223371	0.1842
NM_006538	chr2(.):111873490-111931022	0.1461
NM_207002	chr2(.):111873490-111891423	0.1709
NR_031608	chr2(.):133009538-133019653	0.4397
NM_178120	chr2(.):172945207-172959401	0.098
NM_004405	chr2(.):172959165-172972478	0.1238
NM_002491	chr2(.):201931461-201955473	0.1264
NM_001127183	chr2(.):201978386-202033841	0.1608
NM_033356	chr2(.):202120222-202157434	0.153
NM_001080125	chr2(.):202117753-202157434	0.155
NM_001077194	chr2(.):219120737-219133582	0.1199
NM_001087	chr2(.):219123851-219139893	0.1216
NM_182642	chr2(.):219259813-219274148	0.1431
NM_198559	chr2(.):219216578-219237817	0.1088
NM_022572	chr2(.):219182901-219216516	0.0993
NM_021198	chr2(.):219259477-219275664	0.1361
NM_000578	chr2(.):219241751-219266617	0.1087
NR_029500	chr2(.):219262368-219272445	0.1224
NM_007127	chr2(.):219278837-219319248	0.1051
NM_017431	chr2(.):219682105-219701512	0.1037
NM_025216	chr2(.):219740254-219763651	0.1968
NM_006522	chr2(.):219719545-219743954	0.1117
NM_001144889	chr2(.):220021180-220039817	0.1193
NM_015680	chr2(.):220031618-220046702	0.1343
NM_024293	chr2(.):220037938-220055197	0.1275
NM_024782	chr2(.):219935045-220030587	0.1046
NM_006000	chr2(.):220110000-220123638	0.1613
NM_001042410	chr2(.):220089609-220106391	0.1406
NR_026909	chr2(.):220105200-220120059	0.1494
NM_018089	chr2(.):220089478-220106391	0.1405
NR_003063	chr2(.):220112964-220141910	0.1241
NM_005689	chr2(.):220069493-220088672	0.1498
NM_024085	chr2(.):220079101-220099361	0.1563
NM_138802	chr2(.):220066537-220079370	0.1278
NM_024506	chr2(.):220096502-220115131	0.122
NM_001008910	chr2(.):220105191-220120059	0.1493
NM_005544	chr2(.):227591032-227668506	0.1268
NM_001099285	chr2(.):232568234-232583250	0.106
NM_002601	chr2(.):232592146-232650974	0.0654
NR_036052	chr2(.):232573023-232583105	0.0993
NR_031717	chr2(.):232751951-232762008	0.0452
NM_004735	chr2(.):238595806-238679558	0.0698
NM_003549	chr3(.):50325261-50341899	0.1451
NM_014674	chr3(.):5224358-5266650	0.1845
NM_002841	chr3(.):61542242-62285573	0.1048
NM_016128	chr3(.):128963452-129001616	0.1546
NM_004991	chr3(.):168796286-169386563	0.1529
NR_004053	chr3(.):181323150-181464005	0.147
NM_001134382	chr3(.):12933718-13119617	0.1202
NM_024923	chr3(.):13352736-13466809	0.1224
NM_014869	chr3(.):12933718-13013960	0.1012
NM_003884	chr3(.):20076523-20200896	0.1085
NM_033027	chr3(.):39178341-39200102	0.1367
NM_130384	chr3(.):48483217-48512054	0.1289
NM_181042	chr3(.):52574367-52718739	0.1103
NM_018313	chr3(.):52574367-52724866	0.1138
NM_007114	chr3(.):69063977-69106484	0.1205
NM_024548	chr3(.):101438493-101491181	0.1183
NM_001012337	chr3(.):125683027-125707296	0.1208
NM_001080412	chr3(.):141038054-141173632	0.1896
NM_016275	chr3(.):150316065-150353234	0.1534
NM_024665	chr3(.):176733541-176920048	0.1953
NM_130446	chr3(.):183200318-183278499	0.2618
NM_173216	chr3(.):186643314-186801341	0.2034
NM_003032	chr3(.):186734664-186801341	0.2096
NR_034062	chr3(.):187415153-187455203	0.135
NM_005524	chr3(.):193848933-193861396	0.2151
NM_152531	chr3(.):194784012-194996895	0.1569
NM_001647	chr3(.):195290572-195316076	0.1665
NM_004051	chr3(.):197231653-197287858	0.181
NM_203315	chr3(.):197231653-197305194	0.1806
NM_003670	chr3(.):5016096-5031865	0.1489
NR_027694	chr3(.):20016452-20058765	0.0957
NM_031899	chr3(.):39133090-39154130	0.1452
NM_145755	chr3(.):39144151-39185394	0.126
NM_194293	chr3(.):39219706-39239077	0.1341
NM_001198621	chr3(.):39219705-39239085	0.1341
NM_014240	chr3(.):45631322-45727755	0.1446
NM_001837	chr3(.):46278871-46313197	0.1233
NM_024661	chr3(.):48468579-48486529	0.1539
NM_015933	chr3(.):48476685-48490537	0.1649
NM_002673	chr3(.):48440260-48475872	0.1166
NM_001130082	chr3(.):48440260-48476460	0.1175
NM_016381	chr3(.):48502228-48514044	0.1661
NM_016479	chr3(.):48504196-48546661	0.1359
NM_001008269	chr3(.):48653274-48664189	0.0861
NM_022911	chr3(.):48658155-48677926	0.1155
NM_016453	chr3(.):48706277-48728334	0.1148
NM_001040454	chr3(.):48658155-48676279	0.1175
NM_001407	chr3(.):48668895-48705348	0.1238
NM_003365	chr3(.):48631431-48652098	0.1213
NM_199074	chr3(.):49052907-49065926	0.1904
NM_199073	chr3(.):49053617-49065926	0.1933
NM_017730	chr3(.):49062141-49136504	0.117
NM_177939	chr3(.):49022340-49049581	0.1421
NM_018031	chr3(.):49039636-49058386	0.1654
