GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
NM_001195741	chr1(.):2513188-2527908	0.0966
NR_036638	chr1(.):2512898-2527908	0.0965
NM_014675	chr1(.):17243444-17304474	0.1322
NM_001397	chr1(.):21538739-21621982	0.1139
NM_001113347	chr1(.):21538739-21611183	0.103
NM_001113349	chr1(.):21538739-21621766	0.114
NM_017707	chr1(.):23750055-23815750	0.1062
NM_002167	chr1(.):23879408-23891322	0.1289
NR_027042	chr1(.):23948823-23972056	0.1267
NM_021258	chr1(.):24441260-24474611	0.1287
NR_027087	chr1(.):24521729-24543180	0.1511
NM_001199013	chr1(.):24678488-24745262	0.1253
NM_001199012	chr1(.):24678488-24746587	0.1252
NM_015627	chr1(.):25865075-25900377	0.1529
NM_017837	chr1(.):27109485-27129887	0.1399
NM_006015	chr1(.):27017521-27113601	0.1372
NM_018066	chr1(.):27200872-27221869	0.1306
NM_032283	chr1(.):27148200-27187211	0.1275
NM_006142	chr1(.):27184632-27195947	0.1413
NM_014280	chr1(.):28521789-28564542	0.1265
NM_016311	chr1(.):28557610-28569611	0.163
NM_001164721	chr1(.):28468676-28525447	0.1156
NM_001164722	chr1(.):28468676-28525437	0.1156
NM_031459	chr1(.):28581005-28614002	0.1146
NM_006762	chr1(.):31200314-31235683	0.1745
NM_005202	chr1(.):36555843-36570850	0.1162
NM_018067	chr1(.):36616802-36651441	0.1218
NM_014408	chr1(.):36597172-36620067	0.132
NM_022756	chr1(.):37953175-37985364	0.1089
NM_025079	chr1(.):37935118-37954978	0.1491
NR_002983	chr1(.):40028045-40038182	0.2062
NR_003929	chr1(.):39982951-40030370	0.1219
NM_001135653	chr1(.):40021484-40047521	0.1645
NM_001198979	chr1(.):40854016-40893998	0.1173
NM_001198978	chr1(.):40835304-40893998	0.1345
NM_001198980	chr1(.):40857471-40893998	0.1122
NM_022733	chr1(.):40834377-40893998	0.1346
NM_006004	chr1(.):46764379-46787447	0.1239
NM_006369	chr1(.):46739071-46774038	0.1305
NM_199044	chr1(.):46801389-46835690	0.1134
NR_031580	chr1(.):52297015-52307074	0.1069
NM_001037339	chr1(.):66792792-66845262	0.1285
NM_001001933	chr1(.):75589118-75632218	0.1089
NM_006769	chr1(.):87789150-87819607	0.1244
NM_004974	chr1(.):111140775-111153345	0.0707
NM_002232	chr1(.):111209309-111222655	0.075
NR_034126	chr1(.):112136628-112155940	0.0708
NM_007158	chr1(.):115254536-115305624	0.0642
NM_002524	chr1(.):115242077-115264515	0.0675
NM_001172626	chr1(.):115210719-115243239	0.0665
NM_001130523	chr1(.):115254537-115305671	0.0644
NM_017709	chr1(.):118143603-118176011	0.1225
NM_207418	chr1(.):143891451-143918143	0.1949
NM_032305	chr1(.):145451235-145475387	0.2276
NM_202004	chr1(.):145408190-145422545	0.1727
NM_006472	chr1(.):145433461-145447628	0.2166
NM_001039888	chr1(.):145465507-145480647	0.2375
NM_003846	chr1(.):145511164-145528732	0.2108
NM_005105	chr1(.):145502637-145516444	0.2447
NM_001184795	chr1(.):145511559-145528732	0.2108
NM_003637	chr1(.):145519989-145548868	0.1734
NM_144698	chr1(.):145544208-145573526	0.1707
NR_002328	chr1(.):145504819-145521076	0.2493
NM_001161334	chr1(.):149749244-149788928	0.1678
NM_001034077	chr1(.):149799220-149809616	0.2108
NM_001005464	chr1(.):149807258-149817765	0.2495
NM_001040874	chr1(.):149808784-149819318	0.2535
NM_001123375	chr1(.):149779779-149790236	0.2312
NM_000566	chr1(.):149749249-149769074	0.1516
NM_016074	chr1(.):149866154-149877348	0.1749
NM_003528	chr1(.):149851009-149863232	0.2854
NM_003517	chr1(.):149853524-149863961	0.3086
NM_175065	chr1(.):149854018-149864466	0.3029
NR_036461	chr1(.):149816758-149827340	0.2729
NM_001040874	chr1(.):149817627-149828161	0.2703
NM_001005464	chr1(.):149819180-149829687	0.2583
NM_001034077	chr1(.):149827329-149837725	0.2365
NM_016274	chr1(.):150117169-150136825	0.2184
NM_019032	chr1(.):150516897-150538412	0.2047
NM_207046	chr1(.):150589598-150606609	0.2314
NR_036211	chr1(.):150519404-150529490	0.1463
NM_001197320	chr1(.):150542026-150557214	0.2364
NM_001083964	chr1(.):151740954-151768010	0.1896
NM_001004432	chr1(.):151767764-151782882	0.1644
NM_001136003	chr1(.):151805338-151818033	0.2105
NM_182578	chr1(.):151814576-151831173	0.1595
NM_053055	chr1(.):151841059-151887113	0.1651
NR_024237	chr1(.):151805944-151821641	0.2006
NM_005620	chr1(.):151999981-152014511	0.2358
NM_002966	chr1(.):151950385-151971714	0.1926
NM_001008536	chr1(.):152051619-152066540	0.1269
NM_014437	chr1(.):153926587-153945188	0.2178
NM_130898	chr1(.):153935396-153951832	0.239
NM_181715	chr1(.):153915151-153936043	0.2151
NM_006694	chr1(.):153941744-153955451	0.2199
NM_002870	chr1(.):153949127-153963806	0.2256
NM_014856	chr1(.):153896976-153924154	0.1749
NM_001030	chr1(.):153958238-153969631	0.2061
NM_006556	chr1(.):154892207-154914484	0.208
NM_001130041	chr1(.):154929773-154951959	0.2613
NM_001130040	chr1(.):154929773-154948223	0.2723
NM_201398	chr1(.):154950769-154970587	0.1791
NM_015872	chr1(.):154970111-154995999	0.1941
NM_001184892	chr1(.):154950769-154966488	0.1784
NM_018655	chr1(.):154961061-154971791	0.177
NM_001143687	chr1(.):155001281-155028406	0.1936
NR_024163	chr1(.):154942117-154956725	0.284
NM_144622	chr1(.):154986002-155011257	0.1616
NM_138300	chr1(.):154924501-154939258	0.2431
NR_036212	chr1(.):154943168-154953259	0.2989
NM_006912	chr1(.):155862600-155886177	0.1658
NM_001162384	chr1(.):155911629-155953336	0.2086
NM_181885	chr1(.):155906479-155917625	0.2182
NM_004723	chr1(.):155911629-155952966	0.2088
NM_014949	chr1(.):155877835-155909188	0.2196
NR_002974	chr1(.):155884699-155894833	0.1915
NR_003005	chr1(.):155890748-155900877	0.2064
NM_020131	chr1(.):156000091-156028516	0.1653
NM_001093725	chr1(.):156036803-156056789	0.1569
NM_020387	chr1(.):156025965-156045295	0.1632
NM_001145264	chr1(.):156019516-156033301	0.1989
NM_003145	chr1(.):155973838-155995758	0.1924
NM_014655	chr1(.):156158729-156187587	0.2315
NM_007221	chr1(.):156177783-156214833	0.2216
NM_022367	chr1(.):156118321-156152542	0.2407
NM_001193302	chr1(.):156118368-156152542	0.2406
NM_001193301	chr1(.):156114734-156152542	0.2402
NM_005920	chr1(.):156428518-156475529	0.2182
NM_198427	chr1(.):156606739-156628264	0.1651
NM_021817	chr1(.):156584085-156600517	0.1937
NM_021948	chr1(.):156606739-156634320	0.1954
NM_004494	chr1(.):156706898-156726543	0.2303
NM_001126051	chr1(.):156706898-156727024	0.2298
NM_001126050	chr1(.):156706898-156727240	0.2278
NM_030980	chr1(.):156687412-156702705	0.2339
NM_001878	chr1(.):156664407-156680375	0.1633
NM_001142560	chr1(.):156693262-156711752	0.2494
NM_145729	chr1(.):156702093-156715923	0.1873
NM_006617	chr1(.):156633555-156652189	0.1743
NR_001560	chr1(.):157093153-157103463	0.1899
NM_005240	chr1(.):157097975-157113177	0.2209
NM_001145312	chr1(.):157089458-157113383	0.21
NM_001778	chr1(.):160643535-160686585	0.2213
NM_003037	chr1(.):160574890-160622081	0.1678
NM_021181	chr1(.):160704076-160729601	0.2105
NM_001077470	chr1(.):161194455-161213000	0.1943
NM_001039711	chr1(.):161085768-161107478	0.2268
NM_016406	chr1(.):161118533-161133646	0.2304
NM_004550	chr1(.):161164104-161189184	0.2287
NM_000309	chr1(.):161131180-161146010	0.2005
NM_001643	chr1(.):161187082-161198418	0.2351
NM_003779	chr1(.):161136100-161152314	0.2207
NM_012475	chr1(.):161124253-161140516	0.2369
NM_001039712	chr1(.):161085768-161107256	0.2269
NM_032174	chr1(.):161190832-161205407	0.2008
NM_001166159	chr1(.):161166936-161189184	0.2293
NM_005099	chr1(.):161154537-161173845	0.244
NM_004106	chr1(.):161180086-161194038	0.2055
NM_016545	chr1(.):181052637-181064979	0.1922
NM_002927	chr1(.):192600281-192634389	0.1412
NM_002922	chr1(.):192539856-192554159	0.2321
NM_005298	chr1(.):200837165-200848251	0.1455
NM_018265	chr1(.):200855638-200889864	0.1599
NM_001142569	chr1(.):200858998-200889864	0.1517
NM_017596	chr1(.):200933519-200997828	0.179
NR_034150	chr1(.):203262885-203279453	0.2666
NM_003465	chr1(.):203180206-203203860	0.1532
NM_006763	chr1(.):203269663-203283729	0.2293
NM_002023	chr1(.):203304751-203325289	0.1955
NM_002646	chr1(.):204386757-204464474	0.1632
NM_002393	chr1(.):204480510-204532248	0.2012
NM_030952	chr1(.):205266190-205295883	0.1943
NM_000707	chr1(.):206219282-206236482	0.1868
NM_001007544	chr1(.):206233871-206293647	0.1919
NM_148964	chr1(.):206312458-206337104	0.1283
NM_006893	chr1(.):206759973-206790904	0.1786
NM_182665	chr1(.):206725491-206767616	0.2135
NM_000572	chr1(.):206935947-206950839	0.2139
NM_013371	chr1(.):206997221-207021325	0.1887
NM_001185157	chr1(.):207065787-207082484	0.1539
NM_153758	chr1(.):206967214-207021324	0.2023
NM_018724	chr1(.):207034153-207047568	0.1709
NM_002644	chr1(.):207096866-207124811	0.1893
NM_001170631	chr1(.):207126311-207148970	0.1788
NR_026817	chr1(.):207986723-208000941	0.2325
NR_029832	chr1(.):207970196-207980284	0.197
NR_029518	chr1(.):207970787-207980868	0.2053
NM_183059	chr1(.):211644863-211671259	0.1587
NM_021194	chr1(.):211743380-211757099	0.2367
NM_001748	chr1(.):223895118-223968720	0.1731
NM_001146068	chr1(.):223884294-223968720	0.1723
NM_001136018	chr1(.):225992796-226038262	0.1783
NM_000120	chr1(.):226008001-226038262	0.1851
NM_020997	chr1(.):226068981-226081836	0.1745
NM_014698	chr1(.):226028232-226075420	0.2015
NM_001172425	chr1(.):226119297-226134083	0.203
NM_013328	chr1(.):226102579-226116965	0.1757
NM_181441	chr1(.):228289379-228302013	0.2276
NR_037415	chr1(.):228279963-228290042	0.2106
NM_001024227	chr1(.):228265850-228291913	0.2298
NM_001024226	chr1(.):228265360-228291913	0.2277
NM_024319	chr1(.):228283427-228296022	0.2106
NM_001159390	chr1(.):228322928-228341655	0.1483
NM_001010858	chr1(.):228670067-228688889	0.1732
NR_002834	chr1(.):228775656-228793159	0.2572
NM_182972	chr1(.):234735014-234750271	0.2673
NR_033927	chr1(.):234760056-234775526	0.1506
NM_030645	chr1(.):249099650-249125154	0.2167
NM_024836	chr1(.):249127529-249148714	0.1945
NM_001136036	chr1(.):249139202-249158125	0.1973
NM_001193328	chr1(.):249139202-249158315	0.1988
NR_036070	chr1(.):249115575-249125642	0.258
NM_015535	chr2(.):201165603-201351986	0.1233
NM_001100422	chr2(.):201165984-201351986	0.1234
NM_001100423	chr2(.):201166355-201351986	0.1235
NM_134421	chr2(.):10438825-10572743	0.1189
NM_002149	chr2(.):10438039-10572743	0.1189
NM_014600	chr2(.):31451879-31496260	0.1102
NM_001083590	chr2(.):27250773-27269565	0.1235
NM_020458	chr2(.):47163312-47308275	0.13
NR_033872	chr2(.):70184394-70319147	0.1146
NR_015395	chr2(.):112119590-112257692	0.1351
NR_024373	chr2(.):112181885-112257692	0.1498
NM_001099289	chr2(.):109740996-110267207	0.0983
NM_020760	chr2(.):197058976-197462335	0.1161
NM_015488	chr2(.):219130114-219216516	0.125
NM_022152	chr2(.):219133916-219162280	0.1606
NM_001012514	chr2(.):231724620-231748963	0.0857
NM_145693	chr2(.):11881739-11972533	0.1339
NM_183360	chr2(.):25595111-25901503	0.1174
NM_170672	chr2(.):33656415-33794798	0.1214
NM_005813	chr2(.):37472645-37549222	0.1437
NM_019063	chr2(.):42391489-42564688	0.114
NM_012249	chr2(.):46764866-46816827	0.14
NM_178313	chr2(.):54780530-54894445	0.1252
NM_003128	chr2(.):54678453-54903583	0.1192
NM_014755	chr2(.):64853754-64886046	0.1422
NR_036586	chr2(.):65123973-65164581	0.1699
NM_002398	chr2(.):66657531-66804891	0.0971
NM_001080824	chr2(.):85043795-85113252	0.1165
NR_024204	chr2(.):87749973-87826030	0.1322
NM_004836	chr2(.):88851258-88932094	0.1341
NM_144563	chr2(.):88986175-89055452	0.1257
NM_004027	chr2(.):99056320-99212496	0.1571
NM_001566	chr2(.):99056320-99203284	0.1583
NM_001193483	chr2(.):109145856-109308702	0.1213
NM_022662	chr2(.):112521639-112646741	0.1069
NM_006343	chr2(.):112651190-112791945	0.1192
NM_002410	chr2(.):135006829-135211468	0.1174
NR_024415	chr2(.):192537797-192558248	0.1586
NM_001031716	chr2(.):192537860-192558248	0.159
NM_004226	chr2(.):196993306-197041336	0.1368
NM_001228	chr2(.):202093165-202157434	0.1417
NM_003879	chr2(.):201975889-202034003	0.1409
NM_001127184	chr2(.):201975815-202011323	0.157
NM_173822	chr2(.):201833440-201941392	0.1164
NM_033358	chr2(.):202093165-202151638	0.1446
NM_003709	chr2(.):207940528-208035614	0.118
NM_001167608	chr2(.):227695670-227868923	0.111
NM_022730	chr2(.):232646161-232678434	0.0715
NM_005737	chr2(.):235396685-235410693	0.078
NM_001137551	chr2(.):238595806-238695290	0.0626
NM_001137550	chr2(.):238531223-238695290	0.0599
NM_017844	chr2(.):241413838-241502405	0.0518
NM_001195381	chr2(.):241539824-241575676	0.0476
NM_002539	chr2(.):10575507-10593453	0.1514
NR_028374	chr2(.):10581839-10591975	0.1541
NM_002997	chr2(.):20395557-20429927	0.1615
NM_001006946	chr2(.):20395557-20430194	0.1616
NM_004040	chr2(.):20641834-20654201	0.133
NM_178553	chr2(.):27354714-27367332	0.1323
NM_007046	chr2(.):27296434-27314265	0.1373
NM_001166239	chr2(.):27318461-27346773	0.1328
NM_001166240	chr2(.):27317220-27346995	0.1327
NM_013388	chr2(.):27348624-27362542	0.1379
NM_006488	chr2(.):27304610-27328619	0.1279
NM_001035507	chr2(.):27269490-27287403	0.1407
NM_021831	chr2(.):27269490-27298490	0.1432
NM_001166241	chr2(.):27317220-27338970	0.1301
NM_032604	chr2(.):27341656-27358680	0.1542
NM_175769	chr2(.):27366944-27380819	0.1374
NM_001134693	chr2(.):27288341-27299567	0.1489
NM_080592	chr2(.):27429898-27445046	0.1263
NM_001170795	chr2(.):27430218-27445046	0.1253
NM_021095	chr2(.):27417454-27440175	0.122
NM_001145122	chr2(.):31390921-31445411	0.1049
NM_015376	chr2(.):33733941-33794798	0.116
NM_001139488	chr2(.):33696320-33794798	0.1307
NM_012413	chr2(.):37566752-37605465	0.1642
NM_138370	chr2(.):42270160-42290668	0.1057
NM_006887	chr2(.):43444540-43458745	0.2039
NR_027251	chr2(.):43449349-43460994	0.1694
NM_080653	chr2(.):46733985-46752096	0.1077
NM_173074	chr2(.):46803412-46849251	0.1154
NM_014171	chr2(.):46839324-46857881	0.1203
NM_001171507	chr2(.):47124008-47148251	0.1366
NM_001171506	chr2(.):47124008-47148007	0.1369
NM_001171508	chr2(.):47124008-47173994	0.1317
NM_002354	chr2(.):47591286-47619167	0.0968
NR_002229	chr2(.):54751358-54761978	0.1303
NR_033837	chr2(.):64407212-64437619	0.1194
NR_034023	chr2(.):64829445-64848616	0.107
NM_001193493	chr2(.):65210578-65256000	0.1313
NM_003038	chr2(.):65211494-65256000	0.131
NM_181784	chr2(.):65532984-65664656	0.1164
NM_001128210	chr2(.):65532984-65598931	0.1083
NM_014882	chr2(.):68996932-69058957	0.1212
NM_001166277	chr2(.):68956912-69058957	0.125
NM_006196	chr2(.):70309584-70321334	0.1735
NR_024444	chr2(.):70346167-70357448	0.1321
NM_021103	chr2(.):85127762-85138799	0.1395
NM_020122	chr2(.):85193230-85291595	0.1122
NM_015425	chr2(.):86248450-86338278	0.1394
NM_017952	chr2(.):86328304-86374280	0.131
NR_026984	chr2(.):86242338-86255991	0.1291
NR_015424	chr2(.):89060418-89111109	0.1433
NR_026875	chr2(.):97158382-97178846	0.1148
NM_212481	chr2(.):97197463-97223371	0.1634
NM_001193484	chr2(.):109232701-109308702	0.1175
NM_001193485	chr2(.):109266266-109308702	0.116
NM_001193482	chr2(.):109218616-109308702	0.1234
NM_001193488	chr2(.):109199921-109308702	0.1239
NM_004987	chr2(.):109199766-109308702	0.1238
NM_002101	chr2(.):127408683-127459246	0.1114
NR_024275	chr2(.):135201959-135217192	0.1057
NM_006186	chr2(.):157175943-157194287	0.0983
NM_004288	chr2(.):158266130-158305604	0.1482
NM_002491	chr2(.):201931461-201955473	0.129
NM_001127183	chr2(.):201978386-202033841	0.143
NM_032974	chr2(.):202042620-202099110	0.1528
NM_001230	chr2(.):202042620-202091383	0.1465
NM_033356	chr2(.):202120222-202157434	0.1306
NM_001080125	chr2(.):202117753-202157434	0.132
NM_006139	chr2(.):204566197-204607557	0.1585
NR_036227	chr2(.):207969710-207979797	0.0902
NM_001077194	chr2(.):219120737-219133582	0.1283
NM_001087	chr2(.):219123851-219139893	0.1432
NM_022572	chr2(.):219182901-219216516	0.1014
NM_017431	chr2(.):219682105-219701512	0.0996
NM_025216	chr2(.):219740254-219763651	0.1724
NM_006522	chr2(.):219719545-219743954	0.1023
NM_005544	chr2(.):227591032-227668506	0.1003
NM_002601	chr2(.):232592146-232650974	0.0636
NR_031717	chr2(.):232751951-232762008	0.0532
NM_004735	chr2(.):238595806-238679558	0.0637
NM_023083	chr2(.):241521132-241543526	0.062
NM_001033575	chr2(.):241494470-241508431	0.0753
NM_018226	chr2(.):241503103-241523143	0.0677
NM_015303	chr3(.):184524930-184775402	0.1608
NM_014674	chr3(.):5224358-5266650	0.1496
NM_001195099	chr3(.):15703743-15803058	0.1157
NM_001195098	chr3(.):15703743-15844691	0.1177
NM_015199	chr3(.):15703743-15906053	0.117
NM_016128	chr3(.):128963452-129001616	0.137
NM_003571	chr3(.):133113789-133199056	0.1304
NM_207015	chr3(.):174572110-175528428	0.1352
NM_001135095	chr3(.):171753343-172123492	0.176
NM_022763	chr3(.):171752417-172123492	0.1762
NM_181361	chr3(.):178249223-178567217	0.1454
NM_001570	chr3(.):10201562-10290427	0.1163
NM_001134382	chr3(.):12933718-13119617	0.1173
NM_024923	chr3(.):13352736-13466809	0.1155
NM_014869	chr3(.):12933718-13013960	0.1052
NM_144636	chr3(.):14148576-14171371	0.1502
NM_001184958	chr3(.):14711605-14819543	0.1132
NM_003884	chr3(.):20076523-20200896	0.1046
NM_001024847	chr3(.):30642993-30740633	0.1258
NM_001123396	chr3(.):46390234-46405868	0.1536
NM_001195442	chr3(.):46648924-46673033	0.0991
NM_181042	chr3(.):52574367-52718739	0.1061
NM_018313	chr3(.):52574367-52724866	0.1091
NM_015541	chr3(.):66424220-66555845	0.1129
NM_007114	chr3(.):69063977-69106484	0.1108
NM_002213	chr3(.):124476794-124611144	0.1215
NM_032343	chr3(.):126418117-126684244	0.0987
NM_001134422	chr3(.):133287433-133314118	0.1694
NM_001134423	chr3(.):133288300-133314118	0.1706
NM_006506	chr3(.):141200925-141336197	0.1217
NM_001080412	chr3(.):141038054-141173632	0.1553
NM_016275	chr3(.):150316065-150353234	0.1411
NM_001190242	chr3(.):159969773-160106554	0.1424
NM_001190241	chr3(.):159969773-160122320	0.1511
NM_024665	chr3(.):176733541-176920048	0.1841
NM_005832	chr3(.):178271617-178567217	0.145
NM_130446	chr3(.):183200318-183278499	0.2244
NM_173216	chr3(.):186643314-186801341	0.187
NM_003032	chr3(.):186734664-186801341	0.202
NM_005524	chr3(.):193848933-193861396	0.2107
NM_152531	chr3(.):194784012-194996895	0.1514
NM_003670	chr3(.):5016096-5031865	0.1311
NM_015931	chr3(.):8656319-8698737	0.0972
NM_014760	chr3(.):10285176-10327906	0.1193
NM_024334	chr3(.):14161439-14190180	0.1418
NM_016474	chr3(.):14688252-14719166	0.1205
NR_027694	chr3(.):20016452-20058765	0.0882
NM_194293	chr3(.):39219706-39239077	0.1275
NM_001198621	chr3(.):39219705-39239085	0.1275
NM_001295	chr3(.):46238199-46254832	0.1583
NM_001837	chr3(.):46278871-46313197	0.1148
NM_003965	chr3(.):46443720-46456014	0.1118
NM_001199149	chr3(.):46472495-46510161	0.1339
NM_002343	chr3(.):46472495-46511598	0.1319
NM_001100168	chr3(.):46406632-46422697	0.1384
NM_001130910	chr3(.):46444048-46456014	0.1111
NM_003212	chr3(.):46614075-46628952	0.0913
NM_001174136	chr3(.):46611044-46628952	0.0942
NM_024512	chr3(.):46551877-46613011	0.1295
NM_031440	chr3(.):46534484-46547439	0.1325
NM_199074	chr3(.):49052907-49065926	0.1692
NM_199073	chr3(.):49053617-49065926	0.1707
NM_017730	chr3(.):49062141-49136504	0.1182
NM_177939	chr3(.):49022340-49049581	0.1246
NM_018031	chr3(.):49039636-49058386	0.1384
NM_000884	chr3(.):49056761-49071875	0.1792
NM_018114	chr3(.):49047434-49063467	0.1554
NM_199070	chr3(.):49054073-49065926	0.1716
NM_001009996	chr3(.):49047434-49061017	0.1576
NR_029690	chr3(.):49053050-49063142	0.1689
NR_029948	chr3(.):49052580-49062667	0.1682
NM_001166425	chr3(.):50279325-50301786	0.1198
NM_006841	chr3(.):50237691-50263406	0.116
NM_153215	chr3(.):50311517-50330545	0.1299
NM_006764	chr3(.):50320162-50335026	0.1343
NM_002070	chr3(.):50268646-50301786	0.1239
NM_004636	chr3(.):50300039-50319572	0.115
NM_000172	chr3(.):50224042-50240129	0.1343
NM_001010983	chr3(.):52723503-52745048	0.1592
NM_206825	chr3(.):52714935-52733510	0.1609
NR_003687	chr3(.):52719753-52729846	0.1802
NM_014041	chr3(.):52734856-52747197	0.1721
NR_003057	chr3(.):52721751-52731828	0.1621
NM_152932	chr3(.):52723503-52742622	0.1594
NR_003047	chr3(.):52718255-52728331	0.162
NM_001193533	chr3(.):52739795-52809965	0.1208
NM_198195	chr3(.):69098880-69134524	0.1316
NM_006407	chr3(.):69129089-69160239	0.1509
NM_198271	chr3(.):69151038-69176746	0.1228
NR_036087	chr3(.):69093108-69103186	0.1402
NM_006100	chr3(.):98446571-98518236	0.1497
NM_022135	chr3(.):119355907-119384404	0.1438
NM_005694	chr3(.):119383371-119401243	0.1322
NM_015900	chr3(.):119311721-119353658	0.1124
NR_033434	chr3(.):124444212-124473119	0.1262
NR_031687	chr3(.):125504246-125514395	0.1099
NM_020187	chr3(.):128992683-129029135	0.1289
NM_001006109	chr3(.):128992816-129029135	0.1287
NM_006026	chr3(.):129028613-129040120	0.1961
NR_026991	chr3(.):129030113-129048412	0.1599
NM_173084	chr3(.):160148290-160172626	0.1655
NR_029663	chr3(.):160117375-160127473	0.2034
NM_005496	chr3(.):160113346-160157741	0.1931
NM_001002800	chr3(.):160112429-160157741	0.1944
NR_029525	chr3(.):160117532-160127613	0.2011
NR_027622	chr3(.):169656771-169689522	0.2078
NM_182610	chr3(.):169624481-169661948	0.1756
NM_003262	chr3(.):169679579-169721161	0.1758
NM_014373	chr3(.):169750734-169808183	0.175
NR_024480	chr3(.):194013988-194035593	0.1958
NM_001080513	chr3(.):194055493-194077057	0.1261
NM_005781	chr3(.):195585235-195640880	0.1571
NM_001010938	chr3(.):195585235-195627432	0.1272
NM_198565	chr3(.):196361655-196393874	0.187
NR_003266	chr3(.):197335897-197359752	0.2066
NM_014687	chr3(.):197393258-197468773	0.1941
NM_001145642	chr3(.):197393313-197481568	0.1935
NR_027840	chr3(.):197472260-197516317	0.176
NM_032288	chr3(.):197471623-197516317	0.1745
NR_030627	chr3(.):197396366-197406447	0.2131
NM_001011537	chr3(.):197471423-197516317	0.1742
NM_003215	chr4(.):48132799-48276814	0.129
NM_201431	chr4(.):74433861-74491340	0.1153
NM_177532	chr4(.):74433861-74491134	0.1155
NM_020859	chr4(.):77351252-77709405	0.1171
NM_144571	chr4(.):78629540-78745544	0.1128
NM_198281	chr4(.):90160428-90234161	0.1532
NM_006527	chr4(.):1689526-1719030	0.1267
NM_144720	chr4(.):6050481-6207318	0.1113
NM_147127	chr4(.):5559145-5715294	0.1044
NM_001166136	chr4(.):5559145-5716275	0.1044
NM_001099433	chr4(.):6022925-6207318	0.1113
NM_153717	chr4(.):5707923-5821031	0.1092
NM_016531	chr4(.):38660789-38708129	0.1225
NM_015173	chr4(.):37887719-38145794	0.1115
NR_026804	chr4(.):38609321-38671249	0.1022
NM_004310	chr4(.):40193526-40251281	0.1469
NM_024900	chr4(.):129725778-129790787	0.1187
NM_199320	chr4(.):129725778-129801379	0.1196
NM_002039	chr4(.):144252982-144400718	0.1312
NM_002199	chr4(.):185303875-185400726	0.1454
NM_031953	chr4(.):186126283-186290120	0.129
NM_001013622	chr4(.):1636607-1690718	0.0841
NM_001174070	chr4(.):1636607-1690988	0.0841
NM_001127266	chr4(.):1712678-1728084	0.1547
NM_006342	chr4(.):1718265-1751897	0.1117
NR_031688	chr4(.):9552788-9562937	0.1011
NM_001775	chr4(.):15774930-15855706	0.1135
NM_017581	chr4(.):40332468-40361973	0.1017
NM_001076	chr4(.):69398132-69439240	0.1054
NM_001077	chr4(.):69397902-69439245	0.1053
NM_001076	chr4(.):69507314-69541374	0.0909
NM_031889	chr4(.):71489460-71517536	0.1018
NM_144646	chr4(.):71516257-71537348	0.1525
NM_020368	chr4(.):71549195-71561268	0.1251
NM_014961	chr4(.):71582695-71664274	0.1038
NM_001130709	chr4(.):71565653-71660614	0.1048
NM_020236	chr4(.):78778804-78878944	0.109
