REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
2_MACS_peak_1716_lociStitched	chr1	150531364	150554334	2	21977	114707.586	17	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	3.0012	17	1
3_MACS_peak_24604_lociStitched	chr6	45383001	45405912	3	20964	112153.9272	18	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.6037	18	1
3_MACS_peak_7108_lociStitched	chr12	123355353	123387329	3	31260	107730.3416	19	1	VPS37B	HIP1R	VPS37B	VPS37B	2.5692	19	1
3_MACS_peak_1006_lociStitched	chr1	51432024	51451692	3	19254	107332.2096	20	1	CDKN2C	FAF1	CDKN2C	CDKN2C	6.0638	20	1
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	7	34462	107294.825	21	1	KCNK12		KCNK12	KCNK12	0.8837	21	1
5_MACS_peak_19287_lociStitched	chr22	50962323	50983735	5	15797	106621.054	22	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	ODF3B	6.3868	22	1
2_MACS_peak_24875_lociStitched	chr6	90054002	90072578	2	18308	105585.984	23	1	UBE2J1	GABRR2,RRAGD	UBE2J1	UBE2J1	2.6419	23	1
5_MACS_peak_2020_lociStitched	chr1	161142765	161164063	5	17151	104833.0156	24	1	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	2.8719	24	1
3_MACS_peak_11562_lociStitched	chr17	16872897	16895891	3	21671	103670.7484	25	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.6289	25	1
2_MACS_peak_13163_lociStitched	chr18	42286140	42314356	2	28048	103470.8936	26	1	SETBP1		SETBP1	SETBP1	1.0168	26	1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	4	29703	103413.1584	27	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.7397	27	1
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	3	29313	103016.99	28	1			SYK	SYK	NONE	28	1
2_MACS_peak_18077_lociStitched	chr20	55963910	55978789	2	13685	98823.3422	29	1	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	3.6917	29	1
3_MACS_peak_12301_lociStitched	chr17	56405055	56423295	3	15822	96447.648	30	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.6837	30	1
2_MACS_peak_5666_lociStitched	chr11	120365261	120385594	2	18123	94599.2825	31	1			GRIK4	GRIK4	NONE	31	1
1_MACS_peak_15274_lociStitched	chr2	20404120	20426098	1	21979	93472.434	32	1	SDC1		SDC1	SDC1	2.761	32	1
3_MACS_peak_21760_lociStitched	chr4	90210976	90230251	3	18977	92525.7825	33	1	GPRIN3		GPRIN3	GPRIN3	1.3279	33	1
1_MACS_peak_5696_lociStitched	chr11	122929149	122942613	1	13465	90972.2088	34	1	HSPA8	LOC341056	HSPA8	HSPA8	5.237	34	1
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	7	33331	90151.7442	35	1	ARMC2		ARMC2	ARMC2	0.778	35	1
2_MACS_peak_4990_lociStitched	chr11	65183722	65198781	2	14977	88577.038	36	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.9254	36	1
6_MACS_peak_30765_lociStitched	chrX	153188322	153219622	6	19494	87251.88	37	1	ARHGAP4,NAA10,RENBP,HCFC1	AVPR2,TMEM187,MIR3202-1,L1CAM,MIR3202-2	NAA10	NAA10	4.977	37	1
2_MACS_peak_24970_lociStitched	chr6	106531390	106556688	2	24895	87012.471	38	1	PRDM1		PRDM1	PRDM1	2.6224	38	1
1_MACS_peak_28085_lociStitched	chr8	103817670	103829187	1	11518	85245.3789	39	1		AZIN1	AZIN1	AZIN1	0.5977	39	1
2_MACS_peak_2287_lociStitched	chr1	184709299	184725660	2	16147	85159.005	40	1	EDEM3		EDEM3	EDEM3	1.2318	40	1
5_MACS_peak_18498_lociStitched	chr21	45552325	45580472	5	23258	84967.3489	41	1	C21orf33	PWP2	C21orf33	C21orf33	2.3593	41	1
3_MACS_peak_14464_lociStitched	chr19	39887636	39904640	3	16428	84834.6564	42	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	5.6635	42	1
1_MACS_peak_1938_lociStitched	chr1	157141959	157154577	1	12619	84707.1576	43	1		CYCSP52,ETV3	ETV3	ETV3	1.3925	43	1
1_MACS_peak_23789_lociStitched	chr5	176851833	176862541	1	10709	83412.1076	44	1	GRK6	SLC34A1,PRR7,PFN3,F12,DBN1	GRK6	GRK6	3.7839	44	1
2_MACS_peak_18020_lociStitched	chr20	52191530	52214105	2	21187	82401.0075	45	1	ZNF217		ZNF217	ZNF217	1.068	45	1
1_MACS_peak_20125_lociStitched	chr3	98448601	98465595	1	16995	81732.643	46	1	ST3GAL6		ST3GAL6	ST3GAL6	1.9146	46	1
3_MACS_peak_26602_lociStitched	chr7	102061387	102087260	3	18669	81585.3309	47	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.5041	47	1
6_MACS_peak_13501_lociStitched	chr19	1248041	1277297	6	15659	80922.096	48	1	MIDN,CIRBP,C19orf24,C19orf23	STK11,ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	3.4288	48	1
4_MACS_peak_5563_lociStitched	chr11	115086874	115101064	4	12274	79415.754	49	1	CADM1		CADM1	CADM1	0.5827	49	1
5_MACS_peak_17783_lociStitched	chr20	37498592	37523915	5	16033	79086.2613	50	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.2529	50	1
1_MACS_peak_18086_lociStitched	chr20	56045721	56058392	1	12672	78398.0112	51	1		CTCFL	CTCFL	CTCFL	0.206	51	1
3_MACS_peak_13549_lociStitched	chr19	2081418	2097743	3	14758	77912.695	52	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.2835	52	1
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	5	29761	77856.6272	53	1	CHST15		CHST15	CHST15	0.9494	53	1
3_MACS_peak_18705_lociStitched	chr22	24176780	24192101	3	14671	77367.9858	54	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.5998	54	1
4_MACS_peak_15501_lociStitched	chr2	38818401	38845140	4	21300	76438.7793	55	1	HNRPLL	GALM	HNRPLL	HNRPLL	1.3763	55	1
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	4	32458	75255.345	56	1	UAP1	DDR2	UAP1	UAP1	1.6149	56	1
1_MACS_peak_18769_lociStitched	chr22	29185991	29199761	1	13771	75233.772	57	1	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.7368	57	1
1_MACS_peak_17185_lociStitched	chr2	232569724	232577806	1	8083	74500.6842	58	1	PTMA	MIR1244-1	PTMA	PTMA	5.0731	58	1
7_MACS_peak_27989_lociStitched	chr8	98635005	98665582	7	18245	73987.1669	59	1	MTDH		MTDH	MTDH	0.5577	59	1
2_MACS_peak_27464_lociStitched	chr8	33407706	33425565	2	17414	73977.3357	60	1	RNF122	C8orf41,DUSP26	RNF122	RNF122	2.6492	60	1
8_MACS_peak_15505_lociStitched	chr2	38855283	38896112	8	27255	73459.5368	61	1	GALM	HNRPLL	GALM	HNRPLL	1.3763	61	1
3_MACS_peak_8397_lociStitched	chr14	81930703	81955729	3	21039	72590.4156	62	1	SEL1L		SEL1L	SEL1L	1.0462	62	1
5_MACS_peak_11824_lociStitched	chr17	32688722	32719405	5	28097	72240.0552	63	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.9925	63	1
8_MACS_peak_8537_lociStitched	chr14	94420205	94448314	8	25726	71967.4727	64	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	C14orf48	1.4094	64	1
4_MACS_peak_7083_lociStitched	chr12	122224781	122244549	4	13899	71943.6592	65	1	SETD1B,RHOF,LOC338799		RHOF	RHOF	0.4961	65	1
2_MACS_peak_573_lociStitched	chr1	27018591	27030908	2	12131	71574.087	66	1	ARID1A		ARID1A	ARID1A	0.9317	66	1
6_MACS_peak_7787_lociStitched	chr14	23018145	23039978	6	20830	71374.2603	67	1	DAD1	ABHD4	DAD1	DAD1	0.9735	67	1
7_MACS_peak_24180_lociStitched	chr6	26340133	26368177	7	24649	71327.1096	68	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.5671	68	1
3_MACS_peak_23255_lociStitched	chr5	131745027	131764193	3	16629	70496.3812	69	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.0697	69	1
4_MACS_peak_3646_lociStitched	chr10	74078019	74097356	4	17657	70106.2935	70	1	DNAJB12	DDIT4	DNAJB12	DNAJB12	1.5453	70	1
4_MACS_peak_13531_lociStitched	chr19	1847308	1865776	4	10031	69386.1228	71	1	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	3.2989	71	1
1_MACS_peak_1694_lociStitched	chr1	149855675	149861448	1	5774	69130.5204	72	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	HIST2H3A	9.5221	72	1
2_MACS_peak_5692_lociStitched	chr11	122612216	122627787	2	15464	68724.1656	73	1	UBASH3B		CRTAM	CRTAM	NONE	73	1
1_MACS_peak_13525_lociStitched	chr19	1646922	1654084	1	7163	68649.9186	74	1	TCF3	UQCR11	TCF3	TCF3	1.6446	74	1
4_MACS_peak_20330_lociStitched	chr3	124487120	124512803	4	24463	68463.1731	75	1	ITGB5	UMPS	UMPS	UMPS	0.1698	75	1
4_MACS_peak_2422_lociStitched	chr1	203254884	203277943	4	17533	68418.3589	76	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	1.8115	76	1
1_MACS_peak_18142_lociStitched	chr20	61272686	61285350	1	12665	68417.26	77	1	SLCO4A1	LOC100127888	SLCO4A1	SLCO4A1	1.8618	77	1
7_MACS_peak_187_lociStitched	chr1	9121702	9148161	7	21846	67335.5091	78	1	SLC2A5	SLC2A7,GPR157	SLC2A5	SLC2A5	0.8316	78	1
6_MACS_peak_29105_lociStitched	chr9	93909137	93929012	6	17327	66952.9125	79	1			LOC100129316	LOC100129316	0.2149	79	1
8_MACS_peak_29354_lociStitched	chr9	117125602	117152689	8	21213	66376.6935	80	1	AKNA	ORM1,ORM2	AKNA	AKNA	1.1044	80	1
6_MACS_peak_13990_lociStitched	chr19	13944075	13962037	6	13765	65582.8544	81	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	2.1898	81	1
3_MACS_peak_17701_lociStitched	chr20	34188900	34207978	3	16431	65546.2846	82	1	SPAG4,FER1L4	CPNE1	FER1L4	FER1L4	0.6458	82	1
5_MACS_peak_4957_lociStitched	chr11	64611711	64634491	5	18155	65369.488	83	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	MEN1	0.189	83	1
1_MACS_peak_27303_lociStitched	chr8	22296890	22307009	1	10120	64868.8614	84	1	PPP3CC		PPP3CC	PPP3CC	0.6659	84	1
5_MACS_peak_22570_lociStitched	chr5	32572710	32596655	5	18893	64562.9035	85	1	SUB1		SUB1	SUB1	2.1622	85	1
8_MACS_peak_5964_lociStitched	chr12	7045670	7081054	8	23889	64409.4952	86	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.0727	86	1
1_MACS_peak_29209_lociStitched	chr9	100744447	100748777	1	4331	64140.29	87	1	ANP32B	HEMGN	ANP32B	ANP32B	1.5606	87	1
3_MACS_peak_6364_lociStitched	chr12	53583465	53604490	3	16958	64115.7375	88	1	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	2.5079	88	1
15_MACS_peak_23235_lociStitched	chr5	131400378	131453639	15	32561	63508.4164	89	1	CSF2	IL3	CSF2	CSF2	0.9445	89	1
2_MACS_peak_1927_lociStitched	chr1	156709246	156722776	2	10170	61925.457	90	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	C1orf66	2.2177	90	1
1_MACS_peak_12604_lociStitched	chr17	74257479	74268902	1	11424	61906.9485	91	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	3.902	91	1
1_MACS_peak_30771_lociStitched	chrX	153231478	153240357	1	8880	61823.5891	92	1	TMEM187,HCFC1	MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718	HCFC1	NAA10	4.977	92	1
1_MACS_peak_24373_lociStitched	chr6	32935391	32941392	1	6002	61500.0483	93	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.7653	93	1
1_MACS_peak_2113_lociStitched	chr1	167596039	167602243	1	6205	61468.6116	94	1	RCSD1		RCSD1	RCSD1	0.9047	94	1
3_MACS_peak_10560_lociStitched	chr16	30193160	30212265	3	10754	61386.2755	95	1	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B	LOC613037	CORO1A	CORO1A	3.5922	95	1
5_MACS_peak_23259_lociStitched	chr5	131790945	131814908	5	16330	61225.465	96	1	C5orf56	IRF1	IRF1	IRF1	0.6176	96	1
3_MACS_peak_24207_lociStitched	chr6	27094404	27116078	3	18679	60524.645	97	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.6257	97	1
5_MACS_peak_634_lociStitched	chr1	28826886	28846353	5	13271	60380.7939	98	1	RCC1,SNHG3	TRNAU1AP	RCC1	RCC1	1.4181	98	1
5_MACS_peak_5773_lociStitched	chr11	128585497	128609874	5	22032	59955.2315	99	1	FLI1		FLI1	FLI1	0.8386	99	1
6_MACS_peak_8565_lociStitched	chr14	95961566	95987185	6	18249	59459.1371	100	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	SCARNA13	1.1923	100	1
2_MACS_peak_10831_lociStitched	chr16	66549088	66562405	2	12773	59447.088	101	1	TK2	CKLF,CMTM1	TK2	TK2	1.6701	101	1
3_MACS_peak_1978_lociStitched	chr1	159879039	159896207	3	12681	59380.6784	102	1	TAGLN2	VSIG8,CCDC19,IGSF9,SLAMF9	TAGLN2	TAGLN2	2.7941	102	1
2_MACS_peak_4066_lociStitched	chr10	112112741	112124916	2	8040	58968.395	103	1		SMNDC1	SMNDC1	SMNDC1	0.3354	103	1
1_MACS_peak_5794_lociStitched	chr11	129871204	129874566	1	3363	58940.903	104	1	NCRNA00167,PRDM10		PRDM10	PRDM10	0.641	104	1
3_MACS_peak_3262_lociStitched	chr10	22595451	22615458	3	19815	58868.5968	105	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	3.5755	105	1
2_MACS_peak_30012_lociStitched	chrX	39953219	39969624	2	13717	58811.925	106	1	BCOR		BCOR	BCOR	0.8977	106	1
2_MACS_peak_18182_lociStitched	chr20	62357580	62372428	2	12183	58517.4528	107	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	2.4616	107	1
2_MACS_peak_16836_lociStitched	chr2	197023240	197044444	2	20882	58378.8528	108	1	STK17B		STK17B	STK17B	1.0525	108	1
4_MACS_peak_13848_lociStitched	chr19	10521878	10539889	4	15968	58261.9828	109	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	PDE4A	0.8979	109	1
2_MACS_peak_22375_lociStitched	chr5	1311262	1323847	2	9898	58233.312	110	1	CLPTM1L	TERT	TERT	TERT	0.2126	110	1
4_MACS_peak_5688_lociStitched	chr11	122585870	122605558	4	17847	57837.4376	111	1	UBASH3B		UBASH3B	UBASH3B	0.9785	111	1
3_MACS_peak_18770_lociStitched	chr22	29206004	29226765	3	19531	56968.184	112	1		CCDC117,XBP1	XBP1	XBP1	4.7368	112	1
1_MACS_peak_8764_lociStitched	chr14	106324968	106330960	1	5993	56296.0384	113	1			KIAA0125	KIAA0125	1.1791	113	1
2_MACS_peak_25749_lociStitched	chr7	23506708	23517115	2	10222	55630.6185	114	1	IGF2BP3	RPS2P32	IGF2BP3	IGF2BP3	0.3683	114	1
5_MACS_peak_2033_lociStitched	chr1	161409491	161442470	5	22880	55408.0179	115	1		FCGR2A	FCGR2A	FCGR2A	0.2608	115	1
2_MACS_peak_12065_lociStitched	chr17	42287359	42299823	2	8155	55406.2192	116	1	UBTF	ASB16,TMUB2,C17orf65,ATXN7L3,SLC4A1	UBTF	UBTF	2.5251	116	1
5_MACS_peak_5829_lociStitched	chr11	132214200	132232521	5	17075	55067.4297	117	1			NTM	NTM	NONE	117	1
6_MACS_peak_14799_lociStitched	chr19	49953688	49978448	6	17792	54949.868	118	1	ALDH16A1,FLT3LG,PIH1D1	LOC645971,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,FCGRT,PTH2,SLC17A7,MIR150	ALDH16A1	SNORD35A	2.236	118	1
3_MACS_peak_8965_lociStitched	chr15	31546830	31562060	3	10868	54847.799	119	1			KLF13	KLF13	0.9545	119	1
4_MACS_peak_17840_lociStitched	chr20	42567927	42593376	4	18362	54432.8661	120	1	TOX2		TOX2	TOX2	0.9021	120	1
5_MACS_peak_5500_lociStitched	chr11	111230489	111251915	5	19610	54012.8034	121	1	POU2AF1		POU2AF1	POU2AF1	1.5259	121	1
4_MACS_peak_9060_lociStitched	chr15	40386952	40409014	4	16404	54009.9822	122	1	BMF	BUB1B	BMF	BMF	1.8645	122	1
3_MACS_peak_15561_lociStitched	chr2	43444508	43456612	3	11428	53862.8	123	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	3.8064	123	1
3_MACS_peak_22881_lociStitched	chr5	76005630	76018729	3	12053	53699.3505	124	1	NCRUPAR,F2R		F2R	F2R	2.8009	124	1
8_MACS_peak_13743_lociStitched	chr19	7400359	7434964	8	20939	53523.5535	125	1		ARHGEF18	ARHGEF18	ARHGEF18	0.1553	125	1
2_MACS_peak_5737_lociStitched	chr11	126173014	126189744	2	13052	53276.685	126	1	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	FLJ39051	1.1949	126	1
1_MACS_peak_30017_lociStitched	chrX	40027999	40037072	1	9074	53271.2122	127	1	BCOR		BCOR	BCOR	0.8977	127	1
7_MACS_peak_1482_lociStitched	chr1	115233002	115260030	7	22712	52812.712	128	1	AMPD1,NRAS,CSDE1	DENND2C	AMPD1	AMPD1	1.0343	128	1
6_MACS_peak_1725_lociStitched	chr1	150846742	150868544	6	15638	52261.5742	129	1	ARNT	SETDB1	ARNT	ARNT	0.4245	129	1
8_MACS_peak_28286_lociStitched	chr8	126285140	126322584	8	26176	51990.994	130	1	NSMCE2		TRIB1	TRIB1	NONE	130	1
3_MACS_peak_6030_lociStitched	chr12	12867006	12880004	3	12970	51980.3018	131	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.4933	131	1
2_MACS_peak_15832_lociStitched	chr2	70311849	70323183	2	7060	51791.8464	132	1	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	4.3532	132	1
5_MACS_peak_482_lociStitched	chr1	24512305	24533594	5	14487	51498.091	133	1	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.5365	133	1
1_MACS_peak_28012_lociStitched	chr8	100869495	100882065	1	12571	51051.798	134	1	VPS13B	COX6C	COX6C	COX6C	0.6427	134	1
1_MACS_peak_18721_lociStitched	chr22	24819486	24832411	1	12926	50876.6775	135	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	2.1317	135	1
2_MACS_peak_23358_lociStitched	chr5	138720320	138730572	2	8702	50686.9132	136	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	4.1411	136	1
3_MACS_peak_14745_lociStitched	chr19	48878780	48895676	3	15124	50426.112	137	1	SYNGR4,KDELR1	GRIN2D,TMEM143	KDELR1	KDELR1	2.5078	137	1
4_MACS_peak_11383_lociStitched	chr17	4842096	4854675	4	9665	50404.053	138	1	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	PFN1	3.4036	138	1
1_MACS_peak_1819_lociStitched	chr1	154297037	154301992	1	4956	50232.799	139	1	AQP10,ATP8B2		ATP8B2	ATP8B2	2.4019	139	1
2_MACS_peak_5664_lociStitched	chr11	120203272	120216662	2	12073	50066.549	140	1	TMEM136,ARHGEF12		ARHGEF12	ARHGEF12	0.4047	140	1
4_MACS_peak_1896_lociStitched	chr1	156082823	156100869	4	15156	49846.6612	141	1	LMNA	SEMA4A,MEX3A	LMNA	LMNA	1.5926	141	1
2_MACS_peak_8868_lociStitched	chr15	23658637	23670620	2	11070	49366.3651	142	1			MKRN3	MKRN3	NONE	142	1
8_MACS_peak_20423_lociStitched	chr3	129273570	129299706	8	17224	49342.1544	143	1	PLXND1	RHO,H1FOO	H1FOO	H1FOO	0.21	143	1
1_MACS_peak_9922_lociStitched	chr15	101735425	101745562	1	10138	49190.8062	144	1	CHSY1		CHSY1	CHSY1	1.0138	144	1
1_MACS_peak_28040_lociStitched	chr8	101962480	101966403	1	3924	49149.6978	145	1	YWHAZ		YWHAZ	YWHAZ	1.1778	145	1
3_MACS_peak_5633_lociStitched	chr11	118963629	118979554	3	9704	48943.895	146	1	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	DPAGT1	DPAGT1	2.7822	146	1
4_MACS_peak_20126_lociStitched	chr3	98477494	98497960	4	19918	48893.274	147	1	ST3GAL6		ST3GAL6	ST3GAL6	1.9146	147	1
3_MACS_peak_22541_lociStitched	chr5	27450598	27474412	3	20239	48856.8024	148	1			CDH9	CDH9	0.2232	148	1
3_MACS_peak_22534_lociStitched	chr5	26869522	26889297	3	19078	48510.0525	149	1	CDH9		CDH9	CDH9	0.2232	149	1
1_MACS_peak_16425_lociStitched	chr2	133022250	133032002	1	9753	48071.5088	150	1		MIR663B,ANKRD30BL	ANKRD30BL	MIR663B	0.7341	150	1
1_MACS_peak_1845_lociStitched	chr1	154970620	154977550	1	6931	48015.891	151	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	3.9058	151	1
1_MACS_peak_3725_lociStitched	chr10	81001491	81010882	1	9392	47888.4654	152	1	ZMIZ1		PPIF	PPIF	NONE	152	1
3_MACS_peak_14443_lociStitched	chr19	39338808	39348948	3	7234	47700.588	153	1	HNRNPL	NFKBIB,LGALS4,ECH1,RINL,SIRT2	HNRNPL	HNRNPL	1.9259	153	1
1_MACS_peak_27430_lociStitched	chr8	29628862	29634789	1	5928	47661.9705	154	1		C8orf75	C8orf75	C8orf75	0.3092	154	1
7_MACS_peak_22973_lociStitched	chr5	88163495	88186853	7	19959	47505.5004	155	1	MEF2C	MEF2C	MEF2C	MEF2C	0.3167	155	1
2_MACS_peak_16751_lociStitched	chr2	182168478	182184098	2	15439	47464.494	156	1			ITGA4	ITGA4	0.4407	156	1
4_MACS_peak_11361_lociStitched	chr17	4267821	4281790	4	13453	46878.5671	157	1	UBE2G1		UBE2G1	UBE2G1	0.2341	157	1
2_MACS_peak_16895_lociStitched	chr2	201979779	201994105	2	13513	46603.9106	158	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.8618	158	1
3_MACS_peak_1884_lociStitched	chr1	155938365	155953773	3	12254	46456.6608	159	1	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	1.9944	159	1
1_MACS_peak_5561_lociStitched	chr11	115057918	115066253	1	8336	46324.263	160	1	CADM1		CADM1	CADM1	0.5827	160	1
1_MACS_peak_26267_lociStitched	chr7	74070743	74077466	1	6724	46119.1077	161	1	GTF2I		GTF2I	GTF2I	0.4648	161	1
1_MACS_peak_5621_lociStitched	chr11	118658691	118663407	1	4717	46101.7296	162	1	DDX6		DDX6	DDX6	0.9536	162	1
1_MACS_peak_13162_lociStitched	chr18	42258023	42264444	1	6422	46089.938	163	1	SETBP1		SETBP1	SETBP1	1.0168	163	1
