REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_1916_lociStitched	chr1	156456769	156479258	2	21810	119933.837	22	1	MEF2D		MEF2D	MEF2D	2.4822	22	1
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	5	29761	77856.6272	23	1	CHST15		CHST15	CHST15	0.9494	23	1
3_MACS_peak_1923_lociStitched	chr1	156626743	156648006	3	19942	123576.3034	24	1	BCAN,NES	HAPLN2,BCAN,CRABP2,ISG20L2	NES	NES	3.2981	24	1
2_MACS_peak_1716_lociStitched	chr1	150531364	150554334	2	21977	114707.586	25	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	3.0012	25	1
3_MACS_peak_4071_lociStitched	chr10	112166733	112188218	3	20905	115808.447	26	1			DUSP5	DUSP5	1.1303	26	1
3_MACS_peak_24604_lociStitched	chr6	45383001	45405912	3	20964	112153.9272	27	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.6037	27	1
5_MACS_peak_11824_lociStitched	chr17	32688722	32719405	5	28097	72240.0552	28	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.9925	28	1
8_MACS_peak_15505_lociStitched	chr2	38855283	38896112	8	27255	73459.5368	29	1	GALM	HNRPLL	GALM	HNRPLL	1.3763	29	1
3_MACS_peak_11562_lociStitched	chr17	16872897	16895891	3	21671	103670.7484	30	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.6289	30	1
2_MACS_peak_24970_lociStitched	chr6	106531390	106556688	2	24895	87012.471	31	1	PRDM1		PRDM1	PRDM1	2.6224	31	1
3_MACS_peak_1006_lociStitched	chr1	51432024	51451692	3	19254	107332.2096	32	1	CDKN2C	FAF1	CDKN2C	CDKN2C	6.0638	32	1
8_MACS_peak_8537_lociStitched	chr14	94420205	94448314	8	25726	71967.4727	33	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	C14orf48	1.4094	33	1
1_MACS_peak_15274_lociStitched	chr2	20404120	20426098	1	21979	93472.434	34	1	SDC1		SDC1	SDC1	2.761	34	1
5_MACS_peak_18498_lociStitched	chr21	45552325	45580472	5	23258	84967.3489	35	1	C21orf33	PWP2	C21orf33	C21orf33	2.3593	35	1
2_MACS_peak_24875_lociStitched	chr6	90054002	90072578	2	18308	105585.984	36	1	UBE2J1	GABRR2,RRAGD	UBE2J1	UBE2J1	2.6419	36	1
7_MACS_peak_24180_lociStitched	chr6	26340133	26368177	7	24649	71327.1096	37	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.5671	37	1
5_MACS_peak_2020_lociStitched	chr1	161142765	161164063	5	17151	104833.0156	38	1	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	2.8719	38	1
4_MACS_peak_20330_lociStitched	chr3	124487120	124512803	4	24463	68463.1731	39	1	ITGB5	UMPS	UMPS	UMPS	0.1698	39	1
8_MACS_peak_28286_lociStitched	chr8	126285140	126322584	8	26176	51990.994	40	1	NSMCE2		TRIB1	TRIB1	NONE	40	1
5_MACS_peak_19287_lociStitched	chr22	50962323	50983735	5	15797	106621.054	41	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	ODF3B	6.3868	41	1
3_MACS_peak_21760_lociStitched	chr4	90210976	90230251	3	18977	92525.7825	42	1	GPRIN3		GPRIN3	GPRIN3	1.3279	42	1
2_MACS_peak_18020_lociStitched	chr20	52191530	52214105	2	21187	82401.0075	43	1	ZNF217		ZNF217	ZNF217	1.068	43	1
8_MACS_peak_5964_lociStitched	chr12	7045670	7081054	8	23889	64409.4952	44	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.0727	44	1
2_MACS_peak_5666_lociStitched	chr11	120365261	120385594	2	18123	94599.2825	45	1			GRIK4	GRIK4	NONE	45	1
6_MACS_peak_30765_lociStitched	chrX	153188322	153219622	6	19494	87251.88	46	1	ARHGAP4,NAA10,RENBP,HCFC1	AVPR2,TMEM187,MIR3202-1,L1CAM,MIR3202-2	NAA10	NAA10	4.977	46	1
4_MACS_peak_15501_lociStitched	chr2	38818401	38845140	4	21300	76438.7793	47	1	HNRPLL	GALM	HNRPLL	HNRPLL	1.3763	47	1
3_MACS_peak_12301_lociStitched	chr17	56405055	56423295	3	15822	96447.648	48	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.6837	48	1
3_MACS_peak_8397_lociStitched	chr14	81930703	81955729	3	21039	72590.4156	49	1	SEL1L		SEL1L	SEL1L	1.0462	49	1
7_MACS_peak_187_lociStitched	chr1	9121702	9148161	7	21846	67335.5091	50	1	SLC2A5	SLC2A7,GPR157	SLC2A5	SLC2A5	0.8316	50	1
6_MACS_peak_7787_lociStitched	chr14	23018145	23039978	6	20830	71374.2603	51	1	DAD1	ABHD4	DAD1	DAD1	0.9735	51	1
3_MACS_peak_26602_lociStitched	chr7	102061387	102087260	3	18669	81585.3309	52	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.5041	52	1
5_MACS_peak_2033_lociStitched	chr1	161409491	161442470	5	22880	55408.0179	53	1		FCGR2A	FCGR2A	FCGR2A	0.2608	53	1
2_MACS_peak_18077_lociStitched	chr20	55963910	55978789	2	13685	98823.3422	54	1	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	3.6917	54	1
8_MACS_peak_29354_lociStitched	chr9	117125602	117152689	8	21213	66376.6935	55	1	AKNA	ORM1,ORM2	AKNA	AKNA	1.1044	55	1
5_MACS_peak_5773_lociStitched	chr11	128585497	128609874	5	22032	59955.2315	56	1	FLI1		FLI1	FLI1	0.8386	56	1
7_MACS_peak_1482_lociStitched	chr1	115233002	115260030	7	22712	52812.712	57	1	AMPD1,NRAS,CSDE1	DENND2C	AMPD1	AMPD1	1.0343	57	1
3_MACS_peak_14464_lociStitched	chr19	39887636	39904640	3	16428	84834.6564	58	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	5.6635	58	1
2_MACS_peak_2287_lociStitched	chr1	184709299	184725660	2	16147	85159.005	59	1	EDEM3		EDEM3	EDEM3	1.2318	59	1
1_MACS_peak_20125_lociStitched	chr3	98448601	98465595	1	16995	81732.643	60	1	ST3GAL6		ST3GAL6	ST3GAL6	1.9146	60	1
2_MACS_peak_4990_lociStitched	chr11	65183722	65198781	2	14977	88577.038	61	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.9254	61	1
9_MACS_peak_16040_lociStitched	chr2	88899129	88928492	9	23395	36342.5851	62	1	EIF2AK3		EIF2AK3	EIF2AK3	0.4949	62	1
7_MACS_peak_27989_lociStitched	chr8	98635005	98665582	7	18245	73987.1669	63	1	MTDH		MTDH	MTDH	0.5577	63	1
2_MACS_peak_16836_lociStitched	chr2	197023240	197044444	2	20882	58378.8528	64	1	STK17B		STK17B	STK17B	1.0525	64	1
1_MACS_peak_5696_lociStitched	chr11	122929149	122942613	1	13465	90972.2088	65	1	HSPA8	LOC341056	HSPA8	HSPA8	5.237	65	1
8_MACS_peak_25133_lociStitched	chr6	119761870	119799087	8	22375	42423.6583	66	1			MAN1A1	MAN1A1	0.3096	66	1
8_MACS_peak_13743_lociStitched	chr19	7400359	7434964	8	20939	53523.5535	67	1		ARHGEF18	ARHGEF18	ARHGEF18	0.1553	67	1
2_MACS_peak_27464_lociStitched	chr8	33407706	33425565	2	17414	73977.3357	68	1	RNF122	C8orf41,DUSP26	RNF122	RNF122	2.6492	68	1
6_MACS_peak_13501_lociStitched	chr19	1248041	1277297	6	15659	80922.096	69	1	MIDN,CIRBP,C19orf24,C19orf23	STK11,ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	3.4288	69	1
5_MACS_peak_17783_lociStitched	chr20	37498592	37523915	5	16033	79086.2613	70	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.2529	70	1
3_MACS_peak_3262_lociStitched	chr10	22595451	22615458	3	19815	58868.5968	71	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	3.5755	71	1
5_MACS_peak_22570_lociStitched	chr5	32572710	32596655	5	18893	64562.9035	72	1	SUB1		SUB1	SUB1	2.1622	72	1
4_MACS_peak_3646_lociStitched	chr10	74078019	74097356	4	17657	70106.2935	73	1	DNAJB12	DDIT4	DNAJB12	DNAJB12	1.5453	73	1
3_MACS_peak_18770_lociStitched	chr22	29206004	29226765	3	19531	56968.184	74	1		CCDC117,XBP1	XBP1	XBP1	4.7368	74	1
5_MACS_peak_4957_lociStitched	chr11	64611711	64634491	5	18155	65369.488	75	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	MEN1	0.189	75	1
4_MACS_peak_2422_lociStitched	chr1	203254884	203277943	4	17533	68418.3589	76	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	1.8115	76	1
3_MACS_peak_24207_lociStitched	chr6	27094404	27116078	3	18679	60524.645	77	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.6257	77	1
5_MACS_peak_5500_lociStitched	chr11	111230489	111251915	5	19610	54012.8034	78	1	POU2AF1		POU2AF1	POU2AF1	1.5259	78	1
3_MACS_peak_22541_lociStitched	chr5	27450598	27474412	3	20239	48856.8024	79	1			CDH9	CDH9	0.2232	79	1
3_MACS_peak_23255_lociStitched	chr5	131745027	131764193	3	16629	70496.3812	80	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.0697	80	1
6_MACS_peak_29105_lociStitched	chr9	93909137	93929012	6	17327	66952.9125	81	1			LOC100129316	LOC100129316	0.2149	81	1
3_MACS_peak_13549_lociStitched	chr19	2081418	2097743	3	14758	77912.695	82	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.2835	82	1
1_MACS_peak_1938_lociStitched	chr1	157141959	157154577	1	12619	84707.1576	83	1		CYCSP52,ETV3	ETV3	ETV3	1.3925	83	1
4_MACS_peak_20126_lociStitched	chr3	98477494	98497960	4	19918	48893.274	84	1	ST3GAL6		ST3GAL6	ST3GAL6	1.9146	84	1
3_MACS_peak_18705_lociStitched	chr22	24176780	24192101	3	14671	77367.9858	85	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.5998	85	1
7_MACS_peak_22973_lociStitched	chr5	88163495	88186853	7	19959	47505.5004	86	1	MEF2C	MEF2C	MEF2C	MEF2C	0.3167	86	1
6_MACS_peak_8565_lociStitched	chr14	95961566	95987185	6	18249	59459.1371	87	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	SCARNA13	1.1923	87	1
4_MACS_peak_12532_lociStitched	chr17	72732340	72756900	4	20401	42260.392	88	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	MIR3615	MIR3615	1.8551	88	1
1_MACS_peak_28085_lociStitched	chr8	103817670	103829187	1	11518	85245.3789	89	1		AZIN1	AZIN1	AZIN1	0.5977	89	1
6_MACS_peak_23876_lociStitched	chr6	304025	331343	6	19987	43498.4514	90	1	DUSP22		DUSP22	DUSP22	1.2046	90	1
3_MACS_peak_6364_lociStitched	chr12	53583465	53604490	3	16958	64115.7375	91	1	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	2.5079	91	1
7_MACS_peak_19720_lociStitched	chr3	46129717	46154479	7	19995	42459.4014	92	1			XCR1	XCR1	NONE	92	1
4_MACS_peak_5688_lociStitched	chr11	122585870	122605558	4	17847	57837.4376	93	1	UBASH3B		UBASH3B	UBASH3B	0.9785	93	1
4_MACS_peak_17840_lociStitched	chr20	42567927	42593376	4	18362	54432.8661	94	1	TOX2		TOX2	TOX2	0.9021	94	1
3_MACS_peak_17701_lociStitched	chr20	34188900	34207978	3	16431	65546.2846	95	1	SPAG4,FER1L4	CPNE1	FER1L4	FER1L4	0.6458	95	1
3_MACS_peak_22534_lociStitched	chr5	26869522	26889297	3	19078	48510.0525	96	1	CDH9		CDH9	CDH9	0.2232	96	1
4_MACS_peak_6003_lociStitched	chr12	9873909	9896679	4	20616	32570.208	97	1	CLECL1	CD69	CLECL1	CLECL1	1.204	97	1
2_MACS_peak_5692_lociStitched	chr11	122612216	122627787	2	15464	68724.1656	98	1	UBASH3B		CRTAM	CRTAM	NONE	98	1
1_MACS_peak_18769_lociStitched	chr22	29185991	29199761	1	13771	75233.772	99	1	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.7368	99	1
1_MACS_peak_18086_lociStitched	chr20	56045721	56058392	1	12672	78398.0112	100	1		CTCFL	CTCFL	CTCFL	0.206	100	1
6_MACS_peak_14799_lociStitched	chr19	49953688	49978448	6	17792	54949.868	101	1	ALDH16A1,FLT3LG,PIH1D1	LOC645971,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,FCGRT,PTH2,SLC17A7,MIR150	ALDH16A1	SNORD35A	2.236	101	1
4_MACS_peak_5563_lociStitched	chr11	115086874	115101064	4	12274	79415.754	102	1	CADM1		CADM1	CADM1	0.5827	102	1
1_MACS_peak_23789_lociStitched	chr5	176851833	176862541	1	10709	83412.1076	103	1	GRK6	SLC34A1,PRR7,PFN3,F12,DBN1	GRK6	GRK6	3.7839	103	1
5_MACS_peak_23259_lociStitched	chr5	131790945	131814908	5	16330	61225.465	104	1	C5orf56	IRF1	IRF1	IRF1	0.6176	104	1
4_MACS_peak_7083_lociStitched	chr12	122224781	122244549	4	13899	71943.6592	105	1	SETD1B,RHOF,LOC338799		RHOF	RHOF	0.4961	105	1
9_MACS_peak_25422_lociStitched	chr6	157976578	158000065	9	18918	43204.3365	106	1	ZDHHC14	MIR3692	MIR3692	MIR3692	0.2456	106	1
17_MACS_peak_2771_lociStitched	chr1	228745842	228783233	17	20622	21548.4333	107	1	DUSP5P		DUSP5P	DUSP5P	0.2689	107	1
5_MACS_peak_5829_lociStitched	chr11	132214200	132232521	5	17075	55067.4297	108	1			NTM	NTM	NONE	108	1
4_MACS_peak_10242_lociStitched	chr16	11816956	11837832	4	18670	41720.686	109	1	TXNDC11		TXNDC11	TXNDC11	0.853	109	1
4_MACS_peak_13848_lociStitched	chr19	10521878	10539889	4	15968	58261.9828	110	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	PDE4A	0.8979	110	1
8_MACS_peak_20423_lociStitched	chr3	129273570	129299706	8	17224	49342.1544	111	1	PLXND1	RHO,H1FOO	H1FOO	H1FOO	0.21	111	1
4_MACS_peak_9060_lociStitched	chr15	40386952	40409014	4	16404	54009.9822	112	1	BMF	BUB1B	BMF	BMF	1.8645	112	1
8_MACS_peak_19469_lociStitched	chr3	15831447	15854089	8	18920	31370.491	113	1	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.1934	113	1
6_MACS_peak_13990_lociStitched	chr19	13944075	13962037	6	13765	65582.8544	114	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	2.1898	114	1
2_MACS_peak_573_lociStitched	chr1	27018591	27030908	2	12131	71574.087	115	1	ARID1A		ARID1A	ARID1A	0.9317	115	1
1_MACS_peak_18142_lociStitched	chr20	61272686	61285350	1	12665	68417.26	116	1	SLCO4A1	LOC100127888	SLCO4A1	SLCO4A1	1.8618	116	1
6_MACS_peak_1725_lociStitched	chr1	150846742	150868544	6	15638	52261.5742	117	1	ARNT	SETDB1	ARNT	ARNT	0.4245	117	1
8_MACS_peak_12610_lociStitched	chr17	74475312	74503367	8	16704	43698.468	118	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.1115	118	1
2_MACS_peak_21427_lociStitched	chr4	40191702	40209086	2	17199	37045.304	119	1	RHOH		RHOH	RHOH	0.7007	119	1
5_MACS_peak_3056_lociStitched	chr10	5930551	5949162	5	16634	41422.5027	120	1	FBXO18,ANKRD16		FBXO18	FBXO18	0.7845	120	1
2_MACS_peak_30012_lociStitched	chrX	39953219	39969624	2	13717	58811.925	121	1	BCOR		BCOR	BCOR	0.8977	121	1
5_MACS_peak_634_lociStitched	chr1	28826886	28846353	5	13271	60380.7939	122	1	RCC1,SNHG3	TRNAU1AP	RCC1	RCC1	1.4181	122	1
3_MACS_peak_14745_lociStitched	chr19	48878780	48895676	3	15124	50426.112	123	1	SYNGR4,KDELR1	GRIN2D,TMEM143	KDELR1	KDELR1	2.5078	123	1
3_MACS_peak_11170_lociStitched	chr16	87886696	87905370	3	17687	29247.2188	124	1	SLC7A5		SLC7A5	SLC7A5	0.6705	124	1
7_MACS_peak_12390_lociStitched	chr17	62151033	62171573	7	17838	27020.37	125	1	ERN1		ERN1	ERN1	0.7209	125	1
4_MACS_peak_1896_lociStitched	chr1	156082823	156100869	4	15156	49846.6612	126	1	LMNA	SEMA4A,MEX3A	LMNA	LMNA	1.5926	126	1
4_MACS_peak_13226_lociStitched	chr18	46439602	46462648	4	17240	33730.1256	127	1	SMAD7		SMAD7	SMAD7	1.4427	127	1
2_MACS_peak_16751_lociStitched	chr2	182168478	182184098	2	15439	47464.494	128	1			ITGA4	ITGA4	0.4407	128	1
1_MACS_peak_17185_lociStitched	chr2	232569724	232577806	1	8083	74500.6842	129	1	PTMA	MIR1244-1	PTMA	PTMA	5.0731	129	1
1_MACS_peak_22569_lociStitched	chr5	32530101	32545982	1	15882	42611.8992	130	1		SUB1	SUB1	SUB1	2.1622	130	1
5_MACS_peak_482_lociStitched	chr1	24512305	24533594	5	14487	51498.091	131	1	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.5365	131	1
4_MACS_peak_13531_lociStitched	chr19	1847308	1865776	4	10031	69386.1228	132	1	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	KLF16	3.2989	132	1
7_MACS_peak_27777_lociStitched	chr8	71502964	71521315	7	16253	39304.1718	133	1	TRAM1		TRAM1	TRAM1	0.9285	133	1
3_MACS_peak_18247_lociStitched	chr21	19152304	19171109	3	16912	33205.869	134	1	C21orf91		C21orf91	C21orf91	1.3437	134	1
2_MACS_peak_10831_lociStitched	chr16	66549088	66562405	2	12773	59447.088	135	1	TK2	CKLF,CMTM1	TK2	TK2	1.6701	135	1
3_MACS_peak_1978_lociStitched	chr1	159879039	159896207	3	12681	59380.6784	136	1	TAGLN2	VSIG8,CCDC19,IGSF9,SLAMF9	TAGLN2	TAGLN2	2.7941	136	1
4_MACS_peak_27370_lociStitched	chr8	27218761	27238665	4	16518	35658.016	137	1	PTK2B	TRIM35	PTK2B	PTK2B	0.4167	137	1
6_MACS_peak_30574_lociStitched	chrX	128901257	128921766	6	15806	39506.4867	138	1	XPNPEP2,SASH3		SASH3	SASH3	1.0364	138	1
6_MACS_peak_19330_lociStitched	chr3	5222965	5242111	6	16006	36457.8132	139	1	EDEM1		EDEM1	EDEM1	0.8984	139	1
1_MACS_peak_12604_lociStitched	chr17	74257479	74268902	1	11424	61906.9485	140	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	3.902	140	1
5_MACS_peak_17549_lociStitched	chr20	25261601	25282713	5	15809	37725.0328	141	1	PYGB,ABHD12		PYGB	PYGB	0.7034	141	1
2_MACS_peak_18182_lociStitched	chr20	62357580	62372428	2	12183	58517.4528	142	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	2.4616	142	1
6_MACS_peak_26085_lociStitched	chr7	55574578	55593227	6	15802	35988.8402	143	1	VOPP1		VOPP1	VOPP1	0.8111	143	1
1_MACS_peak_27303_lociStitched	chr8	22296890	22307009	1	10120	64868.8614	144	1	PPP3CC		PPP3CC	PPP3CC	0.6659	144	1
4_MACS_peak_22278_lociStitched	chr4	185328738	185349980	4	16306	30696.8142	145	1	IRF2		IRF2	IRF2	1.1919	145	1
2_MACS_peak_5737_lociStitched	chr11	126173014	126189744	2	13052	53276.685	146	1	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	FLJ39051	1.1949	146	1
4_MACS_peak_29297_lociStitched	chr9	112904204	112924279	4	16030	31840.9575	147	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.4514	147	1
3_MACS_peak_10560_lociStitched	chr16	30193160	30212265	3	10754	61386.2755	148	1	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B	LOC613037	CORO1A	CORO1A	3.5922	148	1
3_MACS_peak_6030_lociStitched	chr12	12867006	12880004	3	12970	51980.3018	149	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.4933	149	1
6_MACS_peak_14433_lociStitched	chr19	39159616	39178092	6	14976	39616.2392	150	1	ACTN4	EIF3K	ACTN4	ACTN4	0.8712	150	1
2_MACS_peak_20761_lociStitched	chr3	171811309	171827003	2	15686	32474.0248	151	1	FNDC3B		FNDC3B	FNDC3B	0.238	151	1
1_MACS_peak_18721_lociStitched	chr22	24819486	24832411	1	12926	50876.6775	152	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	2.1317	152	1
2_MACS_peak_1927_lociStitched	chr1	156709246	156722776	2	10170	61925.457	153	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	C1orf66	2.2177	153	1
6_MACS_peak_1945_lociStitched	chr1	157474928	157494811	6	15033	37119.5727	154	1	FCRL5		FCRL5	FCRL5	0.8253	154	1
3_MACS_peak_11961_lociStitched	chr17	38467212	38483606	3	15127	35614.3256	155	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.6857	155	1
2_MACS_peak_16895_lociStitched	chr2	201979779	201994105	2	13513	46603.9106	156	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.8618	156	1
4_MACS_peak_11361_lociStitched	chr17	4267821	4281790	4	13453	46878.5671	157	1	UBE2G1		UBE2G1	UBE2G1	0.2341	157	1
3_MACS_peak_22881_lociStitched	chr5	76005630	76018729	3	12053	53699.3505	158	1	NCRUPAR,F2R		F2R	F2R	2.8009	158	1
1_MACS_peak_28012_lociStitched	chr8	100869495	100882065	1	12571	51051.798	159	1	VPS13B	COX6C	COX6C	COX6C	0.6427	159	1
5_MACS_peak_24788_lociStitched	chr6	79777570	79792549	5	14094	42357.6162	160	1	PHIP		PHIP	PHIP	0.3069	160	1
1_MACS_peak_13525_lociStitched	chr19	1646922	1654084	1	7163	68649.9186	161	1	TCF3	UQCR11	TCF3	TCF3	1.6446	161	1
6_MACS_peak_8783_lociStitched	chr15	20545287	20563897	6	15028	35081.711	162	1			HERC2P3	HERC2P3	NONE	162	1
6_MACS_peak_4938_lociStitched	chr11	63992834	64019461	6	14710	36271.2994	163	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	1.9455	163	1
6_MACS_peak_27852_lociStitched	chr8	81046393	81065184	6	15288	29830.7125	164	1	TPD52		TPD52	TPD52	0.6	164	1
2_MACS_peak_24619_lociStitched	chr6	45672735	45687421	2	14648	35168.5642	165	1			RUNX2	RUNX2	0.6037	165	1
3_MACS_peak_15561_lociStitched	chr2	43444508	43456612	3	11428	53862.8	166	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	3.8064	166	1
