#NCI-H929 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/NCI-H929.H3K27ac_ROSE/NCI-H929_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by NCI.H929.jin.bam
#Using cutoff of 21130.3898 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuper
7_MACS_peak_15628_lociStitched	chr2	47713305	47755798	7	34462	107294.825	21	1
5_MACS_peak_19287_lociStitched	chr22	50962323	50983735	5	15797	106621.054	22	1
2_MACS_peak_24875_lociStitched	chr6	90054002	90072578	2	18308	105585.984	23	1
5_MACS_peak_2020_lociStitched	chr1	161142765	161164063	5	17151	104833.0156	24	1
3_MACS_peak_11562_lociStitched	chr17	16872897	16895891	3	21671	103670.7484	25	1
2_MACS_peak_13163_lociStitched	chr18	42286140	42314356	2	28048	103470.8936	26	1
4_MACS_peak_21579_lociStitched	chr4	71522861	71557037	4	29703	103413.1584	27	1
3_MACS_peak_29090_lociStitched	chr9	93676146	93708736	3	29313	103016.99	28	1
2_MACS_peak_18077_lociStitched	chr20	55963910	55978789	2	13685	98823.3422	29	1
3_MACS_peak_12301_lociStitched	chr17	56405055	56423295	3	15822	96447.648	30	1
2_MACS_peak_5666_lociStitched	chr11	120365261	120385594	2	18123	94599.2825	31	1
1_MACS_peak_15274_lociStitched	chr2	20404120	20426098	1	21979	93472.434	32	1
3_MACS_peak_21760_lociStitched	chr4	90210976	90230251	3	18977	92525.7825	33	1
1_MACS_peak_5696_lociStitched	chr11	122929149	122942613	1	13465	90972.2088	34	1
7_MACS_peak_25023_lociStitched	chr6	109186720	109228038	7	33331	90151.7442	35	1
2_MACS_peak_4990_lociStitched	chr11	65183722	65198781	2	14977	88577.038	36	1
6_MACS_peak_30765_lociStitched	chrX	153188322	153219622	6	19494	87251.88	37	1
2_MACS_peak_24970_lociStitched	chr6	106531390	106556688	2	24895	87012.471	38	1
1_MACS_peak_28085_lociStitched	chr8	103817670	103829187	1	11518	85245.3789	39	1
2_MACS_peak_2287_lociStitched	chr1	184709299	184725660	2	16147	85159.005	40	1
5_MACS_peak_18498_lociStitched	chr21	45552325	45580472	5	23258	84967.3489	41	1
3_MACS_peak_14464_lociStitched	chr19	39887636	39904640	3	16428	84834.6564	42	1
1_MACS_peak_1938_lociStitched	chr1	157141959	157154577	1	12619	84707.1576	43	1
1_MACS_peak_23789_lociStitched	chr5	176851833	176862541	1	10709	83412.1076	44	1
2_MACS_peak_18020_lociStitched	chr20	52191530	52214105	2	21187	82401.0075	45	1
1_MACS_peak_20125_lociStitched	chr3	98448601	98465595	1	16995	81732.643	46	1
3_MACS_peak_26602_lociStitched	chr7	102061387	102087260	3	18669	81585.3309	47	1
6_MACS_peak_13501_lociStitched	chr19	1248041	1277297	6	15659	80922.096	48	1
4_MACS_peak_5563_lociStitched	chr11	115086874	115101064	4	12274	79415.754	49	1
5_MACS_peak_17783_lociStitched	chr20	37498592	37523915	5	16033	79086.2613	50	1
1_MACS_peak_18086_lociStitched	chr20	56045721	56058392	1	12672	78398.0112	51	1
3_MACS_peak_13549_lociStitched	chr19	2081418	2097743	3	14758	77912.695	52	1
5_MACS_peak_4213_lociStitched	chr10	125821859	125854771	5	29761	77856.6272	53	1
3_MACS_peak_18705_lociStitched	chr22	24176780	24192101	3	14671	77367.9858	54	1
4_MACS_peak_15501_lociStitched	chr2	38818401	38845140	4	21300	76438.7793	55	1
4_MACS_peak_2064_lociStitched	chr1	162530281	162562951	4	32458	75255.345	56	1
1_MACS_peak_18769_lociStitched	chr22	29185991	29199761	1	13771	75233.772	57	1
1_MACS_peak_17185_lociStitched	chr2	232569724	232577806	1	8083	74500.6842	58	1
7_MACS_peak_27989_lociStitched	chr8	98635005	98665582	7	18245	73987.1669	59	1
2_MACS_peak_27464_lociStitched	chr8	33407706	33425565	2	17414	73977.3357	60	1
8_MACS_peak_15505_lociStitched	chr2	38855283	38896112	8	27255	73459.5368	61	1
3_MACS_peak_8397_lociStitched	chr14	81930703	81955729	3	21039	72590.4156	62	1
5_MACS_peak_11824_lociStitched	chr17	32688722	32719405	5	28097	72240.0552	63	1
8_MACS_peak_8537_lociStitched	chr14	94420205	94448314	8	25726	71967.4727	64	1
4_MACS_peak_7083_lociStitched	chr12	122224781	122244549	4	13899	71943.6592	65	1
2_MACS_peak_573_lociStitched	chr1	27018591	27030908	2	12131	71574.087	66	1
6_MACS_peak_7787_lociStitched	chr14	23018145	23039978	6	20830	71374.2603	67	1
7_MACS_peak_24180_lociStitched	chr6	26340133	26368177	7	24649	71327.1096	68	1
3_MACS_peak_23255_lociStitched	chr5	131745027	131764193	3	16629	70496.3812	69	1
4_MACS_peak_3646_lociStitched	chr10	74078019	74097356	4	17657	70106.2935	70	1
4_MACS_peak_13531_lociStitched	chr19	1847308	1865776	4	10031	69386.1228	71	1
1_MACS_peak_1694_lociStitched	chr1	149855675	149861448	1	5774	69130.5204	72	1
2_MACS_peak_5692_lociStitched	chr11	122612216	122627787	2	15464	68724.1656	73	1
1_MACS_peak_13525_lociStitched	chr19	1646922	1654084	1	7163	68649.9186	74	1
4_MACS_peak_20330_lociStitched	chr3	124487120	124512803	4	24463	68463.1731	75	1
4_MACS_peak_2422_lociStitched	chr1	203254884	203277943	4	17533	68418.3589	76	1
1_MACS_peak_18142_lociStitched	chr20	61272686	61285350	1	12665	68417.26	77	1
7_MACS_peak_187_lociStitched	chr1	9121702	9148161	7	21846	67335.5091	78	1
6_MACS_peak_29105_lociStitched	chr9	93909137	93929012	6	17327	66952.9125	79	1
8_MACS_peak_29354_lociStitched	chr9	117125602	117152689	8	21213	66376.6935	80	1
6_MACS_peak_13990_lociStitched	chr19	13944075	13962037	6	13765	65582.8544	81	1
3_MACS_peak_17701_lociStitched	chr20	34188900	34207978	3	16431	65546.2846	82	1
5_MACS_peak_4957_lociStitched	chr11	64611711	64634491	5	18155	65369.488	83	1
1_MACS_peak_27303_lociStitched	chr8	22296890	22307009	1	10120	64868.8614	84	1
5_MACS_peak_22570_lociStitched	chr5	32572710	32596655	5	18893	64562.9035	85	1
8_MACS_peak_5964_lociStitched	chr12	7045670	7081054	8	23889	64409.4952	86	1
1_MACS_peak_29209_lociStitched	chr9	100744447	100748777	1	4331	64140.29	87	1
3_MACS_peak_6364_lociStitched	chr12	53583465	53604490	3	16958	64115.7375	88	1
15_MACS_peak_23235_lociStitched	chr5	131400378	131453639	15	32561	63508.4164	89	1
2_MACS_peak_1927_lociStitched	chr1	156709246	156722776	2	10170	61925.457	90	1
1_MACS_peak_12604_lociStitched	chr17	74257479	74268902	1	11424	61906.9485	91	1
1_MACS_peak_30771_lociStitched	chrX	153231478	153240357	1	8880	61823.5891	92	1
1_MACS_peak_24373_lociStitched	chr6	32935391	32941392	1	6002	61500.0483	93	1
1_MACS_peak_2113_lociStitched	chr1	167596039	167602243	1	6205	61468.6116	94	1
3_MACS_peak_10560_lociStitched	chr16	30193160	30212265	3	10754	61386.2755	95	1
5_MACS_peak_23259_lociStitched	chr5	131790945	131814908	5	16330	61225.465	96	1
3_MACS_peak_24207_lociStitched	chr6	27094404	27116078	3	18679	60524.645	97	1
5_MACS_peak_634_lociStitched	chr1	28826886	28846353	5	13271	60380.7939	98	1
5_MACS_peak_5773_lociStitched	chr11	128585497	128609874	5	22032	59955.2315	99	1
6_MACS_peak_8565_lociStitched	chr14	95961566	95987185	6	18249	59459.1371	100	1
2_MACS_peak_10831_lociStitched	chr16	66549088	66562405	2	12773	59447.088	101	1
3_MACS_peak_1978_lociStitched	chr1	159879039	159896207	3	12681	59380.6784	102	1
2_MACS_peak_4066_lociStitched	chr10	112112741	112124916	2	8040	58968.395	103	1
1_MACS_peak_5794_lociStitched	chr11	129871204	129874566	1	3363	58940.903	104	1
3_MACS_peak_3262_lociStitched	chr10	22595451	22615458	3	19815	58868.5968	105	1
2_MACS_peak_30012_lociStitched	chrX	39953219	39969624	2	13717	58811.925	106	1
2_MACS_peak_18182_lociStitched	chr20	62357580	62372428	2	12183	58517.4528	107	1
2_MACS_peak_16836_lociStitched	chr2	197023240	197044444	2	20882	58378.8528	108	1
4_MACS_peak_13848_lociStitched	chr19	10521878	10539889	4	15968	58261.9828	109	1
2_MACS_peak_22375_lociStitched	chr5	1311262	1323847	2	9898	58233.312	110	1
4_MACS_peak_5688_lociStitched	chr11	122585870	122605558	4	17847	57837.4376	111	1
3_MACS_peak_18770_lociStitched	chr22	29206004	29226765	3	19531	56968.184	112	1
1_MACS_peak_8764_lociStitched	chr14	106324968	106330960	1	5993	56296.0384	113	1
2_MACS_peak_25749_lociStitched	chr7	23506708	23517115	2	10222	55630.6185	114	1
5_MACS_peak_2033_lociStitched	chr1	161409491	161442470	5	22880	55408.0179	115	1
2_MACS_peak_12065_lociStitched	chr17	42287359	42299823	2	8155	55406.2192	116	1
5_MACS_peak_5829_lociStitched	chr11	132214200	132232521	5	17075	55067.4297	117	1
6_MACS_peak_14799_lociStitched	chr19	49953688	49978448	6	17792	54949.868	118	1
3_MACS_peak_8965_lociStitched	chr15	31546830	31562060	3	10868	54847.799	119	1
4_MACS_peak_17840_lociStitched	chr20	42567927	42593376	4	18362	54432.8661	120	1
5_MACS_peak_5500_lociStitched	chr11	111230489	111251915	5	19610	54012.8034	121	1
4_MACS_peak_9060_lociStitched	chr15	40386952	40409014	4	16404	54009.9822	122	1
3_MACS_peak_15561_lociStitched	chr2	43444508	43456612	3	11428	53862.8	123	1
3_MACS_peak_22881_lociStitched	chr5	76005630	76018729	3	12053	53699.3505	124	1
8_MACS_peak_13743_lociStitched	chr19	7400359	7434964	8	20939	53523.5535	125	1
2_MACS_peak_5737_lociStitched	chr11	126173014	126189744	2	13052	53276.685	126	1
1_MACS_peak_30017_lociStitched	chrX	40027999	40037072	1	9074	53271.2122	127	1
7_MACS_peak_1482_lociStitched	chr1	115233002	115260030	7	22712	52812.712	128	1
6_MACS_peak_1725_lociStitched	chr1	150846742	150868544	6	15638	52261.5742	129	1
8_MACS_peak_28286_lociStitched	chr8	126285140	126322584	8	26176	51990.994	130	1
3_MACS_peak_6030_lociStitched	chr12	12867006	12880004	3	12970	51980.3018	131	1
2_MACS_peak_15832_lociStitched	chr2	70311849	70323183	2	7060	51791.8464	132	1
5_MACS_peak_482_lociStitched	chr1	24512305	24533594	5	14487	51498.091	133	1
1_MACS_peak_28012_lociStitched	chr8	100869495	100882065	1	12571	51051.798	134	1
1_MACS_peak_18721_lociStitched	chr22	24819486	24832411	1	12926	50876.6775	135	1
2_MACS_peak_23358_lociStitched	chr5	138720320	138730572	2	8702	50686.9132	136	1
3_MACS_peak_14745_lociStitched	chr19	48878780	48895676	3	15124	50426.112	137	1
4_MACS_peak_11383_lociStitched	chr17	4842096	4854675	4	9665	50404.053	138	1
1_MACS_peak_1819_lociStitched	chr1	154297037	154301992	1	4956	50232.799	139	1
2_MACS_peak_5664_lociStitched	chr11	120203272	120216662	2	12073	50066.549	140	1
4_MACS_peak_1896_lociStitched	chr1	156082823	156100869	4	15156	49846.6612	141	1
2_MACS_peak_8868_lociStitched	chr15	23658637	23670620	2	11070	49366.3651	142	1
8_MACS_peak_20423_lociStitched	chr3	129273570	129299706	8	17224	49342.1544	143	1
1_MACS_peak_9922_lociStitched	chr15	101735425	101745562	1	10138	49190.8062	144	1
1_MACS_peak_28040_lociStitched	chr8	101962480	101966403	1	3924	49149.6978	145	1
3_MACS_peak_5633_lociStitched	chr11	118963629	118979554	3	9704	48943.895	146	1
4_MACS_peak_20126_lociStitched	chr3	98477494	98497960	4	19918	48893.274	147	1
3_MACS_peak_22541_lociStitched	chr5	27450598	27474412	3	20239	48856.8024	148	1
3_MACS_peak_22534_lociStitched	chr5	26869522	26889297	3	19078	48510.0525	149	1
1_MACS_peak_16425_lociStitched	chr2	133022250	133032002	1	9753	48071.5088	150	1
1_MACS_peak_1845_lociStitched	chr1	154970620	154977550	1	6931	48015.891	151	1
1_MACS_peak_3725_lociStitched	chr10	81001491	81010882	1	9392	47888.4654	152	1
3_MACS_peak_14443_lociStitched	chr19	39338808	39348948	3	7234	47700.588	153	1
1_MACS_peak_27430_lociStitched	chr8	29628862	29634789	1	5928	47661.9705	154	1
7_MACS_peak_22973_lociStitched	chr5	88163495	88186853	7	19959	47505.5004	155	1
2_MACS_peak_16751_lociStitched	chr2	182168478	182184098	2	15439	47464.494	156	1
4_MACS_peak_11361_lociStitched	chr17	4267821	4281790	4	13453	46878.5671	157	1
2_MACS_peak_16895_lociStitched	chr2	201979779	201994105	2	13513	46603.9106	158	1
3_MACS_peak_1884_lociStitched	chr1	155938365	155953773	3	12254	46456.6608	159	1
1_MACS_peak_5561_lociStitched	chr11	115057918	115066253	1	8336	46324.263	160	1
1_MACS_peak_26267_lociStitched	chr7	74070743	74077466	1	6724	46119.1077	161	1
1_MACS_peak_5621_lociStitched	chr11	118658691	118663407	1	4717	46101.7296	162	1
1_MACS_peak_13162_lociStitched	chr18	42258023	42264444	1	6422	46089.938	163	1
2_MACS_peak_12783_lociStitched	chr17	79477511	79487491	2	9045	45930.954	164	1
1_MACS_peak_6653_lociStitched	chr12	89738122	89749044	1	10923	45686.726	165	1
1_MACS_peak_1718_lociStitched	chr1	150580009	150588051	1	8043	45454.1882	166	1
2_MACS_peak_13855_lociStitched	chr19	10609028	10615105	2	4161	45205.5876	167	1
1_MACS_peak_2863_lociStitched	chr1	234741636	234748776	1	7141	45022.698	168	1
1_MACS_peak_11689_lociStitched	chr17	21245465	21254397	1	8933	44926.1736	169	1
1_MACS_peak_30543_lociStitched	chrX	123093025	123097743	1	4719	44766.2712	170	1
1_MACS_peak_7163_lociStitched	chr12	125398282	125406607	1	8326	44547.9075	171	1
1_MACS_peak_24548_lociStitched	chr6	42748691	42752192	1	3502	44507.8629	172	1
1_MACS_peak_17846_lociStitched	chr20	42694967	42700822	1	5856	44424.227	173	1
1_MACS_peak_22283_lociStitched	chr4	185392297	185398166	1	5870	44374.9221	174	1
5_MACS_peak_5746_lociStitched	chr11	126332922	126352970	5	11597	44269.9936	175	1
4_MACS_peak_944_lociStitched	chr1	45264736	45286658	4	11780	44221.0584	176	1
2_MACS_peak_13584_lociStitched	chr19	2617239	2628466	2	8420	44198.4536	177	1
3_MACS_peak_9538_lociStitched	chr15	75329341	75341727	3	9146	44028.5142	178	1
1_MACS_peak_6455_lociStitched	chr12	57075326	57084287	1	8962	43936.6791	179	1
2_MACS_peak_7724_lociStitched	chr13	114827957	114835855	2	7734	43826.002	180	1
1_MACS_peak_2093_lociStitched	chr1	165796312	165799683	1	3372	43699.2843	181	1
8_MACS_peak_12610_lociStitched	chr17	74475312	74503367	8	16704	43698.468	182	1
6_MACS_peak_23876_lociStitched	chr6	304025	331343	6	19987	43498.4514	183	1
3_MACS_peak_23442_lociStitched	chr5	142778083	142785766	3	7292	43249.9119	184	1
9_MACS_peak_25422_lociStitched	chr6	157976578	158000065	9	18918	43204.3365	185	1
2_MACS_peak_17307_lociStitched	chr2	241498465	241509469	2	9713	43015.7364	186	1
2_MACS_peak_14054_lociStitched	chr19	16180752	16191673	2	6493	43010.1743	187	1
2_MACS_peak_17856_lociStitched	chr20	43269941	43282280	2	12273	43001.415	188	1
1_MACS_peak_22569_lociStitched	chr5	32530101	32545982	1	15882	42611.8992	189	1
2_MACS_peak_24167_lociStitched	chr6	26194843	26207281	2	10100	42571.5426	190	1
7_MACS_peak_19720_lociStitched	chr3	46129717	46154479	7	19995	42459.4014	191	1
8_MACS_peak_25133_lociStitched	chr6	119761870	119799087	8	22375	42423.6583	192	1
5_MACS_peak_24788_lociStitched	chr6	79777570	79792549	5	14094	42357.6162	193	1
4_MACS_peak_12532_lociStitched	chr17	72732340	72756900	4	20401	42260.392	194	1
3_MACS_peak_14548_lociStitched	chr19	42438644	42452117	3	9633	42041.1492	195	1
1_MACS_peak_13864_lociStitched	chr19	10762024	10767090	1	5067	41847.1864	196	1
1_MACS_peak_25399_lociStitched	chr6	157097674	157104234	1	6561	41761.616	197	1
4_MACS_peak_10242_lociStitched	chr16	11816956	11837832	4	18670	41720.686	198	1
2_MACS_peak_16264_lociStitched	chr2	112455535	112465827	2	9662	41719.6512	199	1
5_MACS_peak_27559_lociStitched	chr8	42741579	42754098	5	11820	41633.1864	200	1
1_MACS_peak_5378_lociStitched	chr11	95521895	95525292	1	3398	41440.6824	201	1
5_MACS_peak_3056_lociStitched	chr10	5930551	5949162	5	16634	41422.5027	202	1
1_MACS_peak_1874_lociStitched	chr1	155531198	155535097	1	3900	41343.0465	203	1
2_MACS_peak_6244_lociStitched	chr12	48200687	48214840	2	12803	41298.454	204	1
2_MACS_peak_13778_lociStitched	chr19	7980427	7991355	2	7285	41277.2416	205	1
3_MACS_peak_10273_lociStitched	chr16	14486532	14503278	3	11641	41273.8662	206	1
1_MACS_peak_1817_lociStitched	chr1	154191153	154194801	1	3649	41012.64	207	1
1_MACS_peak_18057_lociStitched	chr20	55125699	55132495	1	6797	40931.6284	208	1
3_MACS_peak_24234_lociStitched	chr6	27791013	27808178	3	9766	40914.494	209	1
1_MACS_peak_26645_lociStitched	chr7	104650488	104656628	1	6141	40702.06	210	1
1_MACS_peak_459_lociStitched	chr1	23850621	23858962	1	8342	40664.0432	211	1
4_MACS_peak_19045_lociStitched	chr22	39910942	39929084	4	9707	40587.2824	212	1
3_MACS_peak_24152_lociStitched	chr6	26020597	26035008	3	9684	40321.978	213	1
1_MACS_peak_18176_lociStitched	chr20	62256675	62260604	1	3930	40306.0394	214	1
1_MACS_peak_16750_lociStitched	chr2	182128575	182141377	1	12803	40301.9762	215	1
2_MACS_peak_8476_lociStitched	chr14	91872825	91885864	2	13038	40281.3827	216	1
1_MACS_peak_14703_lociStitched	chr19	47613743	47617792	1	4050	40077.4069	217	1
4_MACS_peak_10350_lociStitched	chr16	19115943	19131044	4	12708	39957.246	218	1
5_MACS_peak_19984_lociStitched	chr3	61545586	61562516	5	13663	39800.737	219	1
1_MACS_peak_12098_lociStitched	chr17	43298298	43307888	1	9591	39764.935	220	1
6_MACS_peak_14433_lociStitched	chr19	39159616	39178092	6	14976	39616.2392	221	1
1_MACS_peak_10270_lociStitched	chr16	14394799	14405314	1	10516	39582.666	222	1
1_MACS_peak_3265_lociStitched	chr10	22624566	22635241	1	10676	39557.28	223	1
6_MACS_peak_30574_lociStitched	chrX	128901257	128921766	6	15806	39506.4867	224	1
3_MACS_peak_29593_lociStitched	chr9	132244317	132260191	3	9915	39497.6868	225	1
5_MACS_peak_24758_lociStitched	chr6	74220720	74234166	5	11111	39429.0504	226	1
1_MACS_peak_1876_lociStitched	chr1	155657116	155660109	1	2994	39381.894	227	1
1_MACS_peak_5714_lociStitched	chr11	124939085	124945623	1	6539	39371.1822	228	1
5_MACS_peak_7111_lociStitched	chr12	123408631	123423786	5	13848	39333.287	229	1
7_MACS_peak_27777_lociStitched	chr8	71502964	71521315	7	16253	39304.1718	230	1
2_MACS_peak_26640_lociStitched	chr7	104576791	104587368	2	9846	39278.7472	231	1
2_MACS_peak_17911_lociStitched	chr20	45980247	45989912	2	8078	39188.6755	232	1
2_MACS_peak_25131_lociStitched	chr6	119666651	119674757	2	7566	39142.2528	233	1
2_MACS_peak_612_lociStitched	chr1	28195100	28205170	2	8030	39126.985	234	1
2_MACS_peak_1900_lociStitched	chr1	156115751	156129609	2	13810	39098.9612	235	1
2_MACS_peak_5628_lociStitched	chr11	118886755	118901807	2	11487	39007.258	236	1
5_MACS_peak_22673_lociStitched	chr5	53813352	53828340	5	11463	38986.7856	237	1
3_MACS_peak_1806_lociStitched	chr1	153929678	153941425	3	7813	38976.546	238	1
2_MACS_peak_14199_lociStitched	chr19	19771454	19780675	2	6796	38775.2271	239	1
1_MACS_peak_1968_lociStitched	chr1	158978138	158986205	1	8068	38720.7933	240	1
1_MACS_peak_4387_lociStitched	chr11	1870542	1878165	1	7624	38720.2662	241	1
2_MACS_peak_7208_lociStitched	chr12	131354827	131366014	2	9248	38656.6785	242	1
3_MACS_peak_12628_lociStitched	chr17	74775332	74788941	3	13233	38635.951	243	1
4_MACS_peak_11069_lociStitched	chr16	81841348	81857501	4	14003	38447.3706	244	1
2_MACS_peak_7024_lociStitched	chr12	120628246	120640337	2	12061	38436.0799	245	1
1_MACS_peak_13403_lociStitched	chr18	72919608	72924431	1	4824	38394.4561	246	1
1_MACS_peak_18025_lociStitched	chr20	52267670	52278704	1	11035	38387.286	247	1
3_MACS_peak_512_lociStitched	chr1	25346954	25364599	3	12787	38155.548	248	1
2_MACS_peak_1842_lociStitched	chr1	154940895	154949188	2	7612	38150.2879	249	1
5_MACS_peak_30774_lociStitched	chrX	153266797	153287204	5	13543	37997.834	250	1
1_MACS_peak_14523_lociStitched	chr19	41768055	41772825	1	4771	37939.626	251	1
5_MACS_peak_17180_lociStitched	chr2	232534993	232552892	5	10428	37904.7123	252	1
5_MACS_peak_17549_lociStitched	chr20	25261601	25282713	5	15809	37725.0328	253	1
1_MACS_peak_20375_lociStitched	chr3	126626539	126637128	1	10590	37702.1345	254	1
1_MACS_peak_13946_lociStitched	chr19	12899091	12905737	1	6647	37676.174	255	1
3_MACS_peak_11443_lociStitched	chr17	7475068	7488435	3	7619	37509.1387	256	1
1_MACS_peak_21076_lociStitched	chr4	1239795	1244619	1	4825	37464.6312	257	1
1_MACS_peak_1677_lociStitched	chr1	149222140	149225795	1	3656	37461.1915	258	1
2_MACS_peak_22556_lociStitched	chr5	32168742	32175859	2	6341	37377.0606	259	1
2_MACS_peak_13480_lociStitched	chr19	919601	928044	2	6325	37261.4919	260	1
2_MACS_peak_1822_lociStitched	chr1	154370452	154381673	2	9092	37235.7664	261	1
3_MACS_peak_2017_lociStitched	chr1	161121411	161137602	3	8644	37159.9641	262	1
1_MACS_peak_8159_lociStitched	chr14	64968957	64973937	1	4981	37138.35	263	1
6_MACS_peak_1945_lociStitched	chr1	157474928	157494811	6	15033	37119.5727	264	1
1_MACS_peak_28868_lociStitched	chr9	66454547	66458956	1	4410	37115.8438	265	1
1_MACS_peak_9425_lociStitched	chr15	69109323	69114199	1	4877	37078.5668	266	1
2_MACS_peak_28194_lociStitched	chr8	119573715	119582300	2	8432	37070.03	267	1
1_MACS_peak_14832_lociStitched	chr19	50423657	50434346	1	10690	37045.9362	268	1
2_MACS_peak_21427_lociStitched	chr4	40191702	40209086	2	17199	37045.304	269	1
3_MACS_peak_14177_lociStitched	chr19	19050467	19061783	3	10372	37037.268	270	1
2_MACS_peak_13486_lociStitched	chr19	1019410	1030590	2	7836	37030.396	271	1
3_MACS_peak_11203_lociStitched	chr16	89032407	89046309	3	10461	36925.1022	272	1
2_MACS_peak_24338_lociStitched	chr6	31755914	31764549	2	7608	36886.993	273	1
2_MACS_peak_18975_lociStitched	chr22	38636818	38649041	2	12062	36846.2335	274	1
1_MACS_peak_6216_lociStitched	chr12	46119471	46126212	1	6742	36826.083	275	1
1_MACS_peak_1805_lociStitched	chr1	153916526	153919968	1	3443	36755.0528	276	1
1_MACS_peak_27775_lociStitched	chr8	71313395	71317213	1	3819	36597.8208	277	1
5_MACS_peak_4996_lociStitched	chr11	65261652	65278381	5	11075	36586.323	278	1
2_MACS_peak_24335_lociStitched	chr6	31694685	31709230	2	11339	36576.3115	279	1
1_MACS_peak_18000_lociStitched	chr20	50027158	50034782	1	7625	36576.14	280	1
1_MACS_peak_16672_lociStitched	chr2	174827744	174831128	1	3385	36521.1432	281	1
2_MACS_peak_12659_lociStitched	chr17	75432447	75442906	2	8851	36506.0936	282	1
2_MACS_peak_26104_lociStitched	chr7	56163907	56179590	2	12309	36499.0459	283	1
6_MACS_peak_19330_lociStitched	chr3	5222965	5242111	6	16006	36457.8132	284	1
9_MACS_peak_16040_lociStitched	chr2	88899129	88928492	9	23395	36342.5851	285	1
1_MACS_peak_1711_lociStitched	chr1	150335446	150338898	1	3453	36326.4316	286	1
6_MACS_peak_4938_lociStitched	chr11	63992834	64019461	6	14710	36271.2994	287	1
1_MACS_peak_2101_lociStitched	chr1	167188281	167192305	1	4025	36114.5952	288	1
6_MACS_peak_9054_lociStitched	chr15	40336768	40362956	6	13843	36108.0144	289	1
2_MACS_peak_17797_lociStitched	chr20	39630559	39643101	2	12543	36095.876	290	1
1_MACS_peak_18106_lociStitched	chr20	57463233	57468620	1	5388	36088.5904	291	1
6_MACS_peak_26085_lociStitched	chr7	55574578	55593227	6	15802	35988.8402	292	1
2_MACS_peak_13217_lociStitched	chr18	46300019	46314584	2	12407	35920.203	293	1
1_MACS_peak_16753_lociStitched	chr2	182320552	182326424	1	5873	35878.5072	294	1
4_MACS_peak_7211_lociStitched	chr12	131576499	131589949	4	12187	35747.41	295	1
2_MACS_peak_11324_lociStitched	chr17	2294912	2306046	2	7170	35743.4802	296	1
2_MACS_peak_13883_lociStitched	chr19	11198997	11208442	2	9437	35739.88	297	1
3_MACS_peak_11727_lociStitched	chr17	27043873	27056319	3	10400	35697.6172	298	1
4_MACS_peak_27370_lociStitched	chr8	27218761	27238665	4	16518	35658.016	299	1
3_MACS_peak_11961_lociStitched	chr17	38467212	38483606	3	15127	35614.3256	300	1
1_MACS_peak_11944_lociStitched	chr17	38016539	38025041	1	8503	35563.866	301	1
3_MACS_peak_29405_lociStitched	chr9	123630429	123641243	3	7283	35479.6526	302	1
1_MACS_peak_18394_lociStitched	chr21	38737677	38741373	1	3697	35435.0304	303	1
