REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_1006_lociStitched	chr1	51432024	51451692	3	19254	107332.2096	64	1	CDKN2C	FAF1	CDKN2C	64	1
3_MACS_peak_22534_lociStitched	chr5	26869522	26889297	3	19078	48510.0525	65	1	CDH9		CDH9	65	1
3_MACS_peak_21760_lociStitched	chr4	90210976	90230251	3	18977	92525.7825	66	1	GPRIN3		GPRIN3	66	1
8_MACS_peak_19469_lociStitched	chr3	15831447	15854089	8	18920	31370.491	67	1	ANKRD28	ANKRD28	ANKRD28	67	1
9_MACS_peak_25422_lociStitched	chr6	157976578	158000065	9	18918	43204.3365	68	1	ZDHHC14	MIR3692	MIR3692	68	1
5_MACS_peak_22570_lociStitched	chr5	32572710	32596655	5	18893	64562.9035	69	1	SUB1		SUB1	69	1
3_MACS_peak_24207_lociStitched	chr6	27094404	27116078	3	18679	60524.645	70	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	70	1
4_MACS_peak_10242_lociStitched	chr16	11816956	11837832	4	18670	41720.686	71	1	TXNDC11		TXNDC11	71	1
3_MACS_peak_26602_lociStitched	chr7	102061387	102087260	3	18669	81585.3309	72	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	72	1
4_MACS_peak_17840_lociStitched	chr20	42567927	42593376	4	18362	54432.8661	73	1	TOX2		TOX2	73	1
2_MACS_peak_24875_lociStitched	chr6	90054002	90072578	2	18308	105585.984	74	1	UBE2J1	GABRR2,RRAGD	UBE2J1	74	1
6_MACS_peak_8565_lociStitched	chr14	95961566	95987185	6	18249	59459.1371	75	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	75	1
7_MACS_peak_27989_lociStitched	chr8	98635005	98665582	7	18245	73987.1669	76	1	MTDH		MTDH	76	1
5_MACS_peak_4957_lociStitched	chr11	64611711	64634491	5	18155	65369.488	77	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2	CDC42BPG	77	1
2_MACS_peak_5666_lociStitched	chr11	120365261	120385594	2	18123	94599.2825	78	1			GRIK4	78	1
4_MACS_peak_5688_lociStitched	chr11	122585870	122605558	4	17847	57837.4376	79	1	UBASH3B		UBASH3B	79	1
7_MACS_peak_12390_lociStitched	chr17	62151033	62171573	7	17838	27020.37	80	1	ERN1		ERN1	80	1
6_MACS_peak_14799_lociStitched	chr19	49953688	49978448	6	17792	54949.868	81	1	ALDH16A1,FLT3LG,PIH1D1	LOC645971,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,FCGRT,PTH2,SLC17A7,MIR150	ALDH16A1	81	1
3_MACS_peak_11170_lociStitched	chr16	87886696	87905370	3	17687	29247.2188	82	1	SLC7A5		SLC7A5	82	1
4_MACS_peak_3646_lociStitched	chr10	74078019	74097356	4	17657	70106.2935	83	1	DNAJB12	DDIT4	DNAJB12	83	1
4_MACS_peak_2422_lociStitched	chr1	203254884	203277943	4	17533	68418.3589	84	1	BTG2,LOC730227	FMOD	LOC730227	84	1
2_MACS_peak_27464_lociStitched	chr8	33407706	33425565	2	17414	73977.3357	85	1	RNF122	C8orf41,DUSP26	RNF122	85	1
6_MACS_peak_29105_lociStitched	chr9	93909137	93929012	6	17327	66952.9125	86	1			LOC100129316	86	1
4_MACS_peak_13226_lociStitched	chr18	46439602	46462648	4	17240	33730.1256	87	1	SMAD7		SMAD7	87	1
8_MACS_peak_20423_lociStitched	chr3	129273570	129299706	8	17224	49342.1544	88	1	PLXND1	RHO,H1FOO	H1FOO	88	1
2_MACS_peak_21427_lociStitched	chr4	40191702	40209086	2	17199	37045.304	89	1	RHOH		RHOH	89	1
5_MACS_peak_2020_lociStitched	chr1	161142765	161164063	5	17151	104833.0156	90	1	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	90	1
5_MACS_peak_5829_lociStitched	chr11	132214200	132232521	5	17075	55067.4297	91	1			NTM	91	1
1_MACS_peak_20125_lociStitched	chr3	98448601	98465595	1	16995	81732.643	92	1	ST3GAL6		ST3GAL6	92	1
3_MACS_peak_6364_lociStitched	chr12	53583465	53604490	3	16958	64115.7375	93	1	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	93	1
3_MACS_peak_18247_lociStitched	chr21	19152304	19171109	3	16912	33205.869	94	1	C21orf91		C21orf91	94	1
8_MACS_peak_12610_lociStitched	chr17	74475312	74503367	8	16704	43698.468	95	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	95	1
5_MACS_peak_3056_lociStitched	chr10	5930551	5949162	5	16634	41422.5027	96	1	FBXO18,ANKRD16		FBXO18	96	1
3_MACS_peak_23255_lociStitched	chr5	131745027	131764193	3	16629	70496.3812	97	1	C5orf56	SLC22A5,MIR3936	C5orf56	97	1
4_MACS_peak_27370_lociStitched	chr8	27218761	27238665	4	16518	35658.016	98	1	PTK2B	TRIM35	PTK2B	98	1
3_MACS_peak_17701_lociStitched	chr20	34188900	34207978	3	16431	65546.2846	99	1	SPAG4,FER1L4	CPNE1	FER1L4	99	1
3_MACS_peak_14464_lociStitched	chr19	39887636	39904640	3	16428	84834.6564	100	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	100	1
4_MACS_peak_9060_lociStitched	chr15	40386952	40409014	4	16404	54009.9822	101	1	BMF	BUB1B	BMF	101	1
5_MACS_peak_23259_lociStitched	chr5	131790945	131814908	5	16330	61225.465	102	1	C5orf56	IRF1	IRF1	102	1
4_MACS_peak_22278_lociStitched	chr4	185328738	185349980	4	16306	30696.8142	103	1	IRF2		IRF2	103	1
7_MACS_peak_27777_lociStitched	chr8	71502964	71521315	7	16253	39304.1718	104	1	TRAM1		TRAM1	104	1
2_MACS_peak_2287_lociStitched	chr1	184709299	184725660	2	16147	85159.005	105	1	EDEM3		EDEM3	105	1
5_MACS_peak_17783_lociStitched	chr20	37498592	37523915	5	16033	79086.2613	106	1	PPP1R16B	FAM83D	FAM83D	106	1
4_MACS_peak_29297_lociStitched	chr9	112904204	112924279	4	16030	31840.9575	107	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	107	1
6_MACS_peak_19330_lociStitched	chr3	5222965	5242111	6	16006	36457.8132	108	1	EDEM1		EDEM1	108	1
4_MACS_peak_13848_lociStitched	chr19	10521878	10539889	4	15968	58261.9828	109	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	109	1
1_MACS_peak_22569_lociStitched	chr5	32530101	32545982	1	15882	42611.8992	110	1		SUB1	SUB1	110	1
3_MACS_peak_12301_lociStitched	chr17	56405055	56423295	3	15822	96447.648	111	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	111	1
5_MACS_peak_17549_lociStitched	chr20	25261601	25282713	5	15809	37725.0328	112	1	PYGB,ABHD12		PYGB	112	1
6_MACS_peak_30574_lociStitched	chrX	128901257	128921766	6	15806	39506.4867	113	1	XPNPEP2,SASH3		SASH3	113	1
6_MACS_peak_26085_lociStitched	chr7	55574578	55593227	6	15802	35988.8402	114	1	VOPP1		VOPP1	114	1
5_MACS_peak_19287_lociStitched	chr22	50962323	50983735	5	15797	106621.054	115	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	115	1
2_MACS_peak_20761_lociStitched	chr3	171811309	171827003	2	15686	32474.0248	116	1	FNDC3B		FNDC3B	116	1
6_MACS_peak_13501_lociStitched	chr19	1248041	1277297	6	15659	80922.096	117	1	MIDN,CIRBP,C19orf24,C19orf23	STK11,ATP5D,EFNA2,C19orf26	CIRBP	117	1
6_MACS_peak_1725_lociStitched	chr1	150846742	150868544	6	15638	52261.5742	118	1	ARNT	SETDB1	ARNT	118	1
5_MACS_peak_28469_lociStitched	chr8	145009682	145030247	5	15519	22043.6235	119	1	PLEC,MIR661	GRINA,PARP10	MIR661	119	1
2_MACS_peak_5692_lociStitched	chr11	122612216	122627787	2	15464	68724.1656	120	1	UBASH3B		CRTAM	120	1
2_MACS_peak_16751_lociStitched	chr2	182168478	182184098	2	15439	47464.494	121	1			ITGA4	121	1
6_MACS_peak_27852_lociStitched	chr8	81046393	81065184	6	15288	29830.7125	122	1	TPD52		TPD52	122	1
4_MACS_peak_1896_lociStitched	chr1	156082823	156100869	4	15156	49846.6612	123	1	LMNA	SEMA4A,MEX3A	LMNA	123	1
3_MACS_peak_11961_lociStitched	chr17	38467212	38483606	3	15127	35614.3256	124	1	RARA	CDC6,RARA,GJD3	RARA	124	1
3_MACS_peak_14745_lociStitched	chr19	48878780	48895676	3	15124	50426.112	125	1	SYNGR4,KDELR1	GRIN2D,TMEM143	KDELR1	125	1
6_MACS_peak_1945_lociStitched	chr1	157474928	157494811	6	15033	37119.5727	126	1	FCRL5		FCRL5	126	1
6_MACS_peak_8783_lociStitched	chr15	20545287	20563897	6	15028	35081.711	127	1			HERC2P3	127	1
7_MACS_peak_8969_lociStitched	chr15	31636879	31660304	7	14989	27201.11	128	1	KLF13		KLF13	128	1
2_MACS_peak_4990_lociStitched	chr11	65183722	65198781	2	14977	88577.038	129	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	129	1
6_MACS_peak_14433_lociStitched	chr19	39159616	39178092	6	14976	39616.2392	130	1	ACTN4	EIF3K	ACTN4	130	1
3_MACS_peak_13549_lociStitched	chr19	2081418	2097743	3	14758	77912.695	131	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	131	1
6_MACS_peak_12675_lociStitched	chr17	76116530	76140832	6	14721	27721.2914	132	1	TMC8,TMC6	C17orf99,SYNGR2,AFMID,TK1	TMC6	132	1
6_MACS_peak_4938_lociStitched	chr11	63992834	64019461	6	14710	36271.2994	133	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	133	1
3_MACS_peak_18705_lociStitched	chr22	24176780	24192101	3	14671	77367.9858	134	1	DERL3	SMARCB1,SLC2A11,MIF	DERL3	134	1
2_MACS_peak_24619_lociStitched	chr6	45672735	45687421	2	14648	35168.5642	135	1			RUNX2	135	1
5_MACS_peak_482_lociStitched	chr1	24512305	24533594	5	14487	51498.091	136	1	LOC284632,IL28RA	IL22RA1	LOC284632	136	1
4_MACS_peak_23730_lociStitched	chr5	173311327	173327729	4	14448	27520.9158	137	1	CPEB4		CPEB4	137	1
5_MACS_peak_3045_lociStitched	chr10	5617730	5632884	5	14338	24996.523	138	1			CALML3	138	1
3_MACS_peak_5604_lociStitched	chr11	117868192	117884641	3	14304	24668.5653	139	1	IL10RA		IL10RA	139	1
6_MACS_peak_27185_lociStitched	chr8	11272972	11298369	6	14169	34197.0605	140	1	C8orf12,FAM167A		FAM167A	140	1
5_MACS_peak_24788_lociStitched	chr6	79777570	79792549	5	14094	42357.6162	141	1	PHIP		PHIP	141	1
4_MACS_peak_11069_lociStitched	chr16	81841348	81857501	4	14003	38447.3706	142	1	PLCG2		PLCG2	142	1
4_MACS_peak_16245_lociStitched	chr2	112184818	112199009	4	13901	20698.9926	143	1	LOC541471		LOC541471	143	1
4_MACS_peak_7083_lociStitched	chr12	122224781	122244549	4	13899	71943.6592	144	1	SETD1B,RHOF,LOC338799		RHOF	144	1
5_MACS_peak_7111_lociStitched	chr12	123408631	123423786	5	13848	39333.287	145	1	ABCB9	OGFOD2,ARL6IP4,VPS37B	ABCB9	145	1
6_MACS_peak_9054_lociStitched	chr15	40336768	40362956	6	13843	36108.0144	146	1		SRP14,BMF	SRP14	146	1
2_MACS_peak_1900_lociStitched	chr1	156115751	156129609	2	13810	39098.9612	147	1	SEMA4A	LMNA,SLC25A44	SEMA4A	147	1
1_MACS_peak_18769_lociStitched	chr22	29185991	29199761	1	13771	75233.772	148	1	XBP1	HSCB,CCDC117,CHEK2	XBP1	148	1
6_MACS_peak_13990_lociStitched	chr19	13944075	13962037	6	13765	65582.8544	149	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	149	1
2_MACS_peak_30012_lociStitched	chrX	39953219	39969624	2	13717	58811.925	150	1	BCOR		BCOR	150	1
2_MACS_peak_18077_lociStitched	chr20	55963910	55978789	2	13685	98823.3422	151	1	RBM38	RAE1,MTRNR2L3	RBM38	151	1
5_MACS_peak_19984_lociStitched	chr3	61545586	61562516	5	13663	39800.737	152	1	PTPRG		PTPRG	152	1
5_MACS_peak_30774_lociStitched	chrX	153266797	153287204	5	13543	37997.834	153	1	IRAK1,MIR718	TMEM187,MIR3202-1,HCFC1,MIR3202-2	IRAK1	153	1
2_MACS_peak_16895_lociStitched	chr2	201979779	201994105	2	13513	46603.9106	154	1	CFLAR	NDUFB3,FAM126B	CFLAR	154	1
7_MACS_peak_15129_lociStitched	chr2	8650555	8667603	7	13513	23381.332	155	1			ID2	155	1
2_MACS_peak_14543_lociStitched	chr19	42363536	42377135	2	13476	32322.1032	156	1	RPS19	DMRTC2,CD79A,ARHGEF1,LYPD4	RPS19	156	1
1_MACS_peak_5696_lociStitched	chr11	122929149	122942613	1	13465	90972.2088	157	1	HSPA8	LOC341056	HSPA8	157	1
4_MACS_peak_11361_lociStitched	chr17	4267821	4281790	4	13453	46878.5671	158	1	UBE2G1		UBE2G1	158	1
7_MACS_peak_28208_lociStitched	chr8	120930808	120949737	7	13396	32154.6923	159	1	DEPDC6		DEPDC6	159	1
5_MACS_peak_7615_lociStitched	chr13	99127662	99142383	5	13376	17030.7249	160	1	STK24		STK24	160	1
5_MACS_peak_634_lociStitched	chr1	28826886	28846353	5	13271	60380.7939	161	1	RCC1,SNHG3	TRNAU1AP	RCC1	161	1
4_MACS_peak_16027_lociStitched	chr2	87808945	87822782	4	13268	22723.1214	162	1	NCRNA00152		NCRNA00152	162	1
10_MACS_peak_8507_lociStitched	chr14	93225193	93252972	10	13249	20437.0103	163	1		GOLGA5,LGMN	GOLGA5	163	1
3_MACS_peak_12628_lociStitched	chr17	74775332	74788941	3	13233	38635.951	164	1	MFSD11	MIR636,SRSF2	MFSD11	164	1
3_MACS_peak_8468_lociStitched	chr14	91781658	91802332	3	13179	28122.8422	165	1	CCDC88C		GPR68	165	1
4_MACS_peak_13145_lociStitched	chr18	35010346	35025684	4	13092	17397.8934	166	1	CELF4		CELF4	166	1
2_MACS_peak_5737_lociStitched	chr11	126173014	126189744	2	13052	53276.685	167	1	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	167	1
2_MACS_peak_8476_lociStitched	chr14	91872825	91885864	2	13038	40281.3827	168	1	CCDC88C		CCDC88C	168	1
3_MACS_peak_16206_lociStitched	chr2	109826940	109844372	3	12988	32780.876	169	1	SH3RF3		MIR4265	169	1
3_MACS_peak_6030_lociStitched	chr12	12867006	12880004	3	12970	51980.3018	170	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	170	1
1_MACS_peak_18721_lociStitched	chr22	24819486	24832411	1	12926	50876.6775	171	1	ADORA2A,C22orf45		ADORA2A	171	1
7_MACS_peak_25927_lociStitched	chr7	38388392	38408293	7	12807	14095.8783	172	1			TARP	172	1
1_MACS_peak_16750_lociStitched	chr2	182128575	182141377	1	12803	40301.9762	173	1			ITGA4	173	1
2_MACS_peak_6244_lociStitched	chr12	48200687	48214840	2	12803	41298.454	174	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	174	1
3_MACS_peak_512_lociStitched	chr1	25346954	25364599	3	12787	38155.548	175	1			RUNX3	175	1
2_MACS_peak_10831_lociStitched	chr16	66549088	66562405	2	12773	59447.088	176	1	TK2	CKLF,CMTM1	TK2	176	1
4_MACS_peak_10350_lociStitched	chr16	19115943	19131044	4	12708	39957.246	177	1	ITPRIPL2	COQ7,SYT17	ITPRIPL2	177	1
1_MACS_peak_14432_lociStitched	chr19	39138258	39150963	1	12706	20841.282	178	1	ACTN4	EIF3K,MAP4K1	ACTN4	178	1
3_MACS_peak_1978_lociStitched	chr1	159879039	159896207	3	12681	59380.6784	179	1	TAGLN2	VSIG8,CCDC19,IGSF9,SLAMF9	TAGLN2	179	1
1_MACS_peak_18086_lociStitched	chr20	56045721	56058392	1	12672	78398.0112	180	1		CTCFL	CTCFL	180	1
1_MACS_peak_18142_lociStitched	chr20	61272686	61285350	1	12665	68417.26	181	1	SLCO4A1	LOC100127888	SLCO4A1	181	1
5_MACS_peak_5304_lociStitched	chr11	82764660	82784509	5	12665	30426.5321	182	1	RAB30	SNORA70E	RAB30	182	1
1_MACS_peak_1938_lociStitched	chr1	157141959	157154577	1	12619	84707.1576	183	1		CYCSP52,ETV3	ETV3	183	1
1_MACS_peak_28012_lociStitched	chr8	100869495	100882065	1	12571	51051.798	184	1	VPS13B	COX6C	COX6C	184	1
2_MACS_peak_17797_lociStitched	chr20	39630559	39643101	2	12543	36095.876	185	1		TOP1	TOP1	185	1
5_MACS_peak_9913_lociStitched	chr15	101661248	101682012	5	12526	33255.6224	186	1			CHSY1	186	1
6_MACS_peak_8136_lociStitched	chr14	63934330	63951611	6	12409	19805.7541	187	1	PPP2R5E		PPP2R5E	187	1
2_MACS_peak_13217_lociStitched	chr18	46300019	46314584	2	12407	35920.203	188	1	KIAA0427		SMAD7	188	1
3_MACS_peak_9516_lociStitched	chr15	75068811	75083212	3	12327	23493.7914	189	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	189	1
3_MACS_peak_12640_lociStitched	chr17	75130861	75143707	3	12315	34703.469	190	1	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	190	1
2_MACS_peak_26104_lociStitched	chr7	56163907	56179590	2	12309	36499.0459	191	1	CHCHD2	CCT6A,SNORA15,SUMF2,PSPH,PHKG1,LOC389493	CHCHD2	191	1
4_MACS_peak_12398_lociStitched	chr17	62197206	62209986	4	12307	25488.432	192	1	ERN1	SNORD104,SNORA76	ERN1	192	1
4_MACS_peak_5563_lociStitched	chr11	115086874	115101064	4	12274	79415.754	193	1	CADM1		CADM1	193	1
2_MACS_peak_17856_lociStitched	chr20	43269941	43282280	2	12273	43001.415	194	1	ADA	LOC79015	ADA	194	1
3_MACS_peak_23687_lociStitched	chr5	171600601	171615955	3	12268	34948.7748	195	1	STK10	EFCAB9	STK10	195	1
2_MACS_peak_11782_lociStitched	chr17	29636581	29648906	2	12262	24202.6025	196	1	NF1,EVI2B,EVI2A	OMG	EVI2B	196	1
