#NCI-H929 Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/NCI-H929.H3K27ac_ROSE/NCI-H929_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by NCI.H929.jin.bam
#Using cutoff of 21130.3898 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	NCI.H929.jin.bam	enhancerRank	isSuperStretch
1_MACS_peak_5696_lociStitched	chr11	122929149	122942613	1	13465	90972.2088	65	1
8_MACS_peak_25133_lociStitched	chr6	119761870	119799087	8	22375	42423.6583	66	1
8_MACS_peak_13743_lociStitched	chr19	7400359	7434964	8	20939	53523.5535	67	1
2_MACS_peak_27464_lociStitched	chr8	33407706	33425565	2	17414	73977.3357	68	1
6_MACS_peak_13501_lociStitched	chr19	1248041	1277297	6	15659	80922.096	69	1
5_MACS_peak_17783_lociStitched	chr20	37498592	37523915	5	16033	79086.2613	70	1
3_MACS_peak_3262_lociStitched	chr10	22595451	22615458	3	19815	58868.5968	71	1
5_MACS_peak_22570_lociStitched	chr5	32572710	32596655	5	18893	64562.9035	72	1
4_MACS_peak_3646_lociStitched	chr10	74078019	74097356	4	17657	70106.2935	73	1
3_MACS_peak_18770_lociStitched	chr22	29206004	29226765	3	19531	56968.184	74	1
5_MACS_peak_4957_lociStitched	chr11	64611711	64634491	5	18155	65369.488	75	1
4_MACS_peak_2422_lociStitched	chr1	203254884	203277943	4	17533	68418.3589	76	1
3_MACS_peak_24207_lociStitched	chr6	27094404	27116078	3	18679	60524.645	77	1
5_MACS_peak_5500_lociStitched	chr11	111230489	111251915	5	19610	54012.8034	78	1
3_MACS_peak_22541_lociStitched	chr5	27450598	27474412	3	20239	48856.8024	79	1
3_MACS_peak_23255_lociStitched	chr5	131745027	131764193	3	16629	70496.3812	80	1
6_MACS_peak_29105_lociStitched	chr9	93909137	93929012	6	17327	66952.9125	81	1
3_MACS_peak_13549_lociStitched	chr19	2081418	2097743	3	14758	77912.695	82	1
1_MACS_peak_1938_lociStitched	chr1	157141959	157154577	1	12619	84707.1576	83	1
4_MACS_peak_20126_lociStitched	chr3	98477494	98497960	4	19918	48893.274	84	1
3_MACS_peak_18705_lociStitched	chr22	24176780	24192101	3	14671	77367.9858	85	1
7_MACS_peak_22973_lociStitched	chr5	88163495	88186853	7	19959	47505.5004	86	1
6_MACS_peak_8565_lociStitched	chr14	95961566	95987185	6	18249	59459.1371	87	1
4_MACS_peak_12532_lociStitched	chr17	72732340	72756900	4	20401	42260.392	88	1
1_MACS_peak_28085_lociStitched	chr8	103817670	103829187	1	11518	85245.3789	89	1
6_MACS_peak_23876_lociStitched	chr6	304025	331343	6	19987	43498.4514	90	1
3_MACS_peak_6364_lociStitched	chr12	53583465	53604490	3	16958	64115.7375	91	1
7_MACS_peak_19720_lociStitched	chr3	46129717	46154479	7	19995	42459.4014	92	1
4_MACS_peak_5688_lociStitched	chr11	122585870	122605558	4	17847	57837.4376	93	1
4_MACS_peak_17840_lociStitched	chr20	42567927	42593376	4	18362	54432.8661	94	1
3_MACS_peak_17701_lociStitched	chr20	34188900	34207978	3	16431	65546.2846	95	1
3_MACS_peak_22534_lociStitched	chr5	26869522	26889297	3	19078	48510.0525	96	1
4_MACS_peak_6003_lociStitched	chr12	9873909	9896679	4	20616	32570.208	97	1
2_MACS_peak_5692_lociStitched	chr11	122612216	122627787	2	15464	68724.1656	98	1
1_MACS_peak_18769_lociStitched	chr22	29185991	29199761	1	13771	75233.772	99	1
1_MACS_peak_18086_lociStitched	chr20	56045721	56058392	1	12672	78398.0112	100	1
6_MACS_peak_14799_lociStitched	chr19	49953688	49978448	6	17792	54949.868	101	1
4_MACS_peak_5563_lociStitched	chr11	115086874	115101064	4	12274	79415.754	102	1
1_MACS_peak_23789_lociStitched	chr5	176851833	176862541	1	10709	83412.1076	103	1
5_MACS_peak_23259_lociStitched	chr5	131790945	131814908	5	16330	61225.465	104	1
4_MACS_peak_7083_lociStitched	chr12	122224781	122244549	4	13899	71943.6592	105	1
9_MACS_peak_25422_lociStitched	chr6	157976578	158000065	9	18918	43204.3365	106	1
17_MACS_peak_2771_lociStitched	chr1	228745842	228783233	17	20622	21548.4333	107	1
5_MACS_peak_5829_lociStitched	chr11	132214200	132232521	5	17075	55067.4297	108	1
4_MACS_peak_10242_lociStitched	chr16	11816956	11837832	4	18670	41720.686	109	1
4_MACS_peak_13848_lociStitched	chr19	10521878	10539889	4	15968	58261.9828	110	1
8_MACS_peak_20423_lociStitched	chr3	129273570	129299706	8	17224	49342.1544	111	1
4_MACS_peak_9060_lociStitched	chr15	40386952	40409014	4	16404	54009.9822	112	1
8_MACS_peak_19469_lociStitched	chr3	15831447	15854089	8	18920	31370.491	113	1
6_MACS_peak_13990_lociStitched	chr19	13944075	13962037	6	13765	65582.8544	114	1
2_MACS_peak_573_lociStitched	chr1	27018591	27030908	2	12131	71574.087	115	1
1_MACS_peak_18142_lociStitched	chr20	61272686	61285350	1	12665	68417.26	116	1
6_MACS_peak_1725_lociStitched	chr1	150846742	150868544	6	15638	52261.5742	117	1
8_MACS_peak_12610_lociStitched	chr17	74475312	74503367	8	16704	43698.468	118	1
2_MACS_peak_21427_lociStitched	chr4	40191702	40209086	2	17199	37045.304	119	1
5_MACS_peak_3056_lociStitched	chr10	5930551	5949162	5	16634	41422.5027	120	1
2_MACS_peak_30012_lociStitched	chrX	39953219	39969624	2	13717	58811.925	121	1
5_MACS_peak_634_lociStitched	chr1	28826886	28846353	5	13271	60380.7939	122	1
3_MACS_peak_14745_lociStitched	chr19	48878780	48895676	3	15124	50426.112	123	1
3_MACS_peak_11170_lociStitched	chr16	87886696	87905370	3	17687	29247.2188	124	1
7_MACS_peak_12390_lociStitched	chr17	62151033	62171573	7	17838	27020.37	125	1
4_MACS_peak_1896_lociStitched	chr1	156082823	156100869	4	15156	49846.6612	126	1
4_MACS_peak_13226_lociStitched	chr18	46439602	46462648	4	17240	33730.1256	127	1
2_MACS_peak_16751_lociStitched	chr2	182168478	182184098	2	15439	47464.494	128	1
1_MACS_peak_17185_lociStitched	chr2	232569724	232577806	1	8083	74500.6842	129	1
1_MACS_peak_22569_lociStitched	chr5	32530101	32545982	1	15882	42611.8992	130	1
5_MACS_peak_482_lociStitched	chr1	24512305	24533594	5	14487	51498.091	131	1
4_MACS_peak_13531_lociStitched	chr19	1847308	1865776	4	10031	69386.1228	132	1
7_MACS_peak_27777_lociStitched	chr8	71502964	71521315	7	16253	39304.1718	133	1
3_MACS_peak_18247_lociStitched	chr21	19152304	19171109	3	16912	33205.869	134	1
2_MACS_peak_10831_lociStitched	chr16	66549088	66562405	2	12773	59447.088	135	1
3_MACS_peak_1978_lociStitched	chr1	159879039	159896207	3	12681	59380.6784	136	1
4_MACS_peak_27370_lociStitched	chr8	27218761	27238665	4	16518	35658.016	137	1
6_MACS_peak_30574_lociStitched	chrX	128901257	128921766	6	15806	39506.4867	138	1
6_MACS_peak_19330_lociStitched	chr3	5222965	5242111	6	16006	36457.8132	139	1
1_MACS_peak_12604_lociStitched	chr17	74257479	74268902	1	11424	61906.9485	140	1
5_MACS_peak_17549_lociStitched	chr20	25261601	25282713	5	15809	37725.0328	141	1
2_MACS_peak_18182_lociStitched	chr20	62357580	62372428	2	12183	58517.4528	142	1
6_MACS_peak_26085_lociStitched	chr7	55574578	55593227	6	15802	35988.8402	143	1
1_MACS_peak_27303_lociStitched	chr8	22296890	22307009	1	10120	64868.8614	144	1
4_MACS_peak_22278_lociStitched	chr4	185328738	185349980	4	16306	30696.8142	145	1
2_MACS_peak_5737_lociStitched	chr11	126173014	126189744	2	13052	53276.685	146	1
4_MACS_peak_29297_lociStitched	chr9	112904204	112924279	4	16030	31840.9575	147	1
3_MACS_peak_10560_lociStitched	chr16	30193160	30212265	3	10754	61386.2755	148	1
3_MACS_peak_6030_lociStitched	chr12	12867006	12880004	3	12970	51980.3018	149	1
6_MACS_peak_14433_lociStitched	chr19	39159616	39178092	6	14976	39616.2392	150	1
2_MACS_peak_20761_lociStitched	chr3	171811309	171827003	2	15686	32474.0248	151	1
1_MACS_peak_18721_lociStitched	chr22	24819486	24832411	1	12926	50876.6775	152	1
2_MACS_peak_1927_lociStitched	chr1	156709246	156722776	2	10170	61925.457	153	1
6_MACS_peak_1945_lociStitched	chr1	157474928	157494811	6	15033	37119.5727	154	1
3_MACS_peak_11961_lociStitched	chr17	38467212	38483606	3	15127	35614.3256	155	1
2_MACS_peak_16895_lociStitched	chr2	201979779	201994105	2	13513	46603.9106	156	1
4_MACS_peak_11361_lociStitched	chr17	4267821	4281790	4	13453	46878.5671	157	1
3_MACS_peak_22881_lociStitched	chr5	76005630	76018729	3	12053	53699.3505	158	1
1_MACS_peak_28012_lociStitched	chr8	100869495	100882065	1	12571	51051.798	159	1
5_MACS_peak_24788_lociStitched	chr6	79777570	79792549	5	14094	42357.6162	160	1
1_MACS_peak_13525_lociStitched	chr19	1646922	1654084	1	7163	68649.9186	161	1
6_MACS_peak_8783_lociStitched	chr15	20545287	20563897	6	15028	35081.711	162	1
6_MACS_peak_4938_lociStitched	chr11	63992834	64019461	6	14710	36271.2994	163	1
6_MACS_peak_27852_lociStitched	chr8	81046393	81065184	6	15288	29830.7125	164	1
2_MACS_peak_24619_lociStitched	chr6	45672735	45687421	2	14648	35168.5642	165	1
3_MACS_peak_15561_lociStitched	chr2	43444508	43456612	3	11428	53862.8	166	1
1_MACS_peak_1694_lociStitched	chr1	149855675	149861448	1	5774	69130.5204	167	1
2_MACS_peak_5664_lociStitched	chr11	120203272	120216662	2	12073	50066.549	168	1
1_MACS_peak_30771_lociStitched	chrX	153231478	153240357	1	8880	61823.5891	169	1
4_MACS_peak_11069_lociStitched	chr16	81841348	81857501	4	14003	38447.3706	170	1
5_MACS_peak_7111_lociStitched	chr12	123408631	123423786	5	13848	39333.287	171	1
3_MACS_peak_8965_lociStitched	chr15	31546830	31562060	3	10868	54847.799	172	1
2_MACS_peak_22375_lociStitched	chr5	1311262	1323847	2	9898	58233.312	173	1
2_MACS_peak_1900_lociStitched	chr1	156115751	156129609	2	13810	39098.9612	174	1
5_MACS_peak_19984_lociStitched	chr3	61545586	61562516	5	13663	39800.737	175	1
5_MACS_peak_28469_lociStitched	chr8	145009682	145030247	5	15519	22043.6235	176	1
7_MACS_peak_8969_lociStitched	chr15	31636879	31660304	7	14989	27201.11	177	1
2_MACS_peak_25749_lociStitched	chr7	23506708	23517115	2	10222	55630.6185	178	1
6_MACS_peak_27185_lociStitched	chr8	11272972	11298369	6	14169	34197.0605	179	1
3_MACS_peak_1884_lociStitched	chr1	155938365	155953773	3	12254	46456.6608	180	1
6_MACS_peak_9054_lociStitched	chr15	40336768	40362956	6	13843	36108.0144	181	1
5_MACS_peak_30774_lociStitched	chrX	153266797	153287204	5	13543	37997.834	182	1
6_MACS_peak_12675_lociStitched	chr17	76116530	76140832	6	14721	27721.2914	183	1
2_MACS_peak_8476_lociStitched	chr14	91872825	91885864	2	13038	40281.3827	184	1
3_MACS_peak_12628_lociStitched	chr17	74775332	74788941	3	13233	38635.951	185	1
2_MACS_peak_6244_lociStitched	chr12	48200687	48214840	2	12803	41298.454	186	1
4_MACS_peak_23730_lociStitched	chr5	173311327	173327729	4	14448	27520.9158	187	1
1_MACS_peak_16750_lociStitched	chr2	182128575	182141377	1	12803	40301.9762	188	1
2_MACS_peak_8868_lociStitched	chr15	23658637	23670620	2	11070	49366.3651	189	1
2_MACS_peak_17856_lociStitched	chr20	43269941	43282280	2	12273	43001.415	190	1
4_MACS_peak_10350_lociStitched	chr16	19115943	19131044	4	12708	39957.246	191	1
2_MACS_peak_4066_lociStitched	chr10	112112741	112124916	2	8040	58968.395	192	1
5_MACS_peak_3045_lociStitched	chr10	5617730	5632884	5	14338	24996.523	193	1
4_MACS_peak_944_lociStitched	chr1	45264736	45286658	4	11780	44221.0584	194	1
3_MACS_peak_512_lociStitched	chr1	25346954	25364599	3	12787	38155.548	195	1
3_MACS_peak_5604_lociStitched	chr11	117868192	117884641	3	14304	24668.5653	196	1
2_MACS_peak_14543_lociStitched	chr19	42363536	42377135	2	13476	32322.1032	197	1
5_MACS_peak_5746_lociStitched	chr11	126332922	126352970	5	11597	44269.9936	198	1
7_MACS_peak_28208_lociStitched	chr8	120930808	120949737	7	13396	32154.6923	199	1
1_MACS_peak_2113_lociStitched	chr1	167596039	167602243	1	6205	61468.6116	200	1
5_MACS_peak_27559_lociStitched	chr8	42741579	42754098	5	11820	41633.1864	201	1
1_MACS_peak_24373_lociStitched	chr6	32935391	32941392	1	6002	61500.0483	202	1
1_MACS_peak_30017_lociStitched	chrX	40027999	40037072	1	9074	53271.2122	204	1
1_MACS_peak_9922_lociStitched	chr15	101735425	101745562	1	10138	49190.8062	205	1
1_MACS_peak_6653_lociStitched	chr12	89738122	89749044	1	10923	45686.726	206	1
2_MACS_peak_17797_lociStitched	chr20	39630559	39643101	2	12543	36095.876	207	1
3_MACS_peak_16206_lociStitched	chr2	109826940	109844372	3	12988	32780.876	208	1
3_MACS_peak_10273_lociStitched	chr16	14486532	14503278	3	11641	41273.8662	209	1
4_MACS_peak_11383_lociStitched	chr17	4842096	4854675	4	9665	50404.053	210	1
2_MACS_peak_12065_lociStitched	chr17	42287359	42299823	2	8155	55406.2192	211	1
2_MACS_peak_7024_lociStitched	chr12	120628246	120640337	2	12061	38436.0799	212	1
2_MACS_peak_13217_lociStitched	chr18	46300019	46314584	2	12407	35920.203	213	1
2_MACS_peak_26104_lociStitched	chr7	56163907	56179590	2	12309	36499.0459	214	1
3_MACS_peak_5633_lociStitched	chr11	118963629	118979554	3	9704	48943.895	216	1
2_MACS_peak_18975_lociStitched	chr22	38636818	38649041	2	12062	36846.2335	217	1
3_MACS_peak_8468_lociStitched	chr14	91781658	91802332	3	13179	28122.8422	218	1
4_MACS_peak_7211_lociStitched	chr12	131576499	131589949	4	12187	35747.41	219	1
5_MACS_peak_9913_lociStitched	chr15	101661248	101682012	5	12526	33255.6224	220	1
3_MACS_peak_12640_lociStitched	chr17	75130861	75143707	3	12315	34703.469	221	1
3_MACS_peak_23687_lociStitched	chr5	171600601	171615955	3	12268	34948.7748	222	1
1_MACS_peak_16425_lociStitched	chr2	133022250	133032002	1	9753	48071.5088	223	1
7_MACS_peak_15129_lociStitched	chr2	8650555	8667603	7	13513	23381.332	224	1
2_MACS_peak_5628_lociStitched	chr11	118886755	118901807	2	11487	39007.258	225	1
5_MACS_peak_22673_lociStitched	chr5	53813352	53828340	5	11463	38986.7856	226	1
5_MACS_peak_5304_lociStitched	chr11	82764660	82784509	5	12665	30426.5321	227	1
2_MACS_peak_23358_lociStitched	chr5	138720320	138730572	2	8702	50686.9132	228	1
1_MACS_peak_3725_lociStitched	chr10	81001491	81010882	1	9392	47888.4654	229	1
4_MACS_peak_16027_lociStitched	chr2	87808945	87822782	4	13268	22723.1214	230	1
5_MACS_peak_24758_lociStitched	chr6	74220720	74234166	5	11111	39429.0504	231	1
3_MACS_peak_17652_lociStitched	chr20	32439889	32453663	3	11833	34962.5442	232	1
4_MACS_peak_11590_lociStitched	chr17	17726150	17744487	4	11802	34466.2252	233	1
2_MACS_peak_26881_lociStitched	chr7	139466481	139478924	2	11831	34225.7158	234	1
3_MACS_peak_21121_lociStitched	chr4	2787564	2804165	3	12163	31274.6239	235	1
1_MACS_peak_18025_lociStitched	chr20	52267670	52278704	1	11035	38387.286	237	1
2_MACS_peak_24335_lociStitched	chr6	31694685	31709230	2	11339	36576.3115	238	1
1_MACS_peak_8764_lociStitched	chr14	106324968	106330960	1	5993	56296.0384	239	1
2_MACS_peak_24167_lociStitched	chr6	26194843	26207281	2	10100	42571.5426	241	1
4_MACS_peak_17608_lociStitched	chr20	31252334	31270145	4	11938	31667.958	242	1
1_MACS_peak_3265_lociStitched	chr10	22624566	22635241	1	10676	39557.28	243	1
5_MACS_peak_4996_lociStitched	chr11	65261652	65278381	5	11075	36586.323	244	1
1_MACS_peak_10270_lociStitched	chr16	14394799	14405314	1	10516	39582.666	245	1
2_MACS_peak_12783_lociStitched	chr17	79477511	79487491	2	9045	45930.954	246	1
2_MACS_peak_17307_lociStitched	chr2	241498465	241509469	2	9713	43015.7364	247	1
2_MACS_peak_1736_lociStitched	chr1	150967903	150982000	2	11833	30639.8295	248	1
4_MACS_peak_15199_lociStitched	chr2	11883411	11895869	4	11705	31293.2502	250	1
7_MACS_peak_5296_lociStitched	chr11	82666347	82683836	7	12134	27819.7523	251	1
1_MACS_peak_6845_lociStitched	chr12	109020345	109031641	1	11297	34128.6048	252	1
2_MACS_peak_15832_lociStitched	chr2	70311849	70323183	2	7060	51791.8464	254	1
4_MACS_peak_12398_lociStitched	chr17	62197206	62209986	4	12307	25488.432	255	1
1_MACS_peak_20375_lociStitched	chr3	126626539	126637128	1	10590	37702.1345	256	1
1_MACS_peak_14832_lociStitched	chr19	50423657	50434346	1	10690	37045.9362	258	1
2_MACS_peak_8863_lociStitched	chr15	23608056	23619435	2	11005	34919.8752	259	1
3_MACS_peak_14548_lociStitched	chr19	42438644	42452117	3	9633	42041.1492	260	1
1_MACS_peak_11689_lociStitched	chr17	21245465	21254397	1	8933	44926.1736	261	1
3_MACS_peak_9538_lociStitched	chr15	75329341	75341727	3	9146	44028.5142	262	1
5_MACS_peak_17180_lociStitched	chr2	232534993	232552892	5	10428	37904.7123	263	1
2_MACS_peak_16264_lociStitched	chr2	112455535	112465827	2	9662	41719.6512	264	1
5_MACS_peak_25835_lociStitched	chr7	29713120	29726370	5	11607	30159.65	265	1
2_MACS_peak_11782_lociStitched	chr17	29636581	29648906	2	12262	24202.6025	266	1
3_MACS_peak_9516_lociStitched	chr15	75068811	75083212	3	12327	23493.7914	267	1
3_MACS_peak_24234_lociStitched	chr6	27791013	27808178	3	9766	40914.494	268	1
3_MACS_peak_11203_lociStitched	chr16	89032407	89046309	3	10461	36925.1022	269	1
1_MACS_peak_6455_lociStitched	chr12	57075326	57084287	1	8962	43936.6791	270	1
1_MACS_peak_5561_lociStitched	chr11	115057918	115066253	1	8336	46324.263	271	1
4_MACS_peak_19045_lociStitched	chr22	39910942	39929084	4	9707	40587.2824	272	1
3_MACS_peak_29593_lociStitched	chr9	132244317	132260191	3	9915	39497.6868	273	1
3_MACS_peak_14177_lociStitched	chr19	19050467	19061783	3	10372	37037.268	274	1
3_MACS_peak_24152_lociStitched	chr6	26020597	26035008	3	9684	40321.978	275	1
5_MACS_peak_17921_lociStitched	chr20	46114740	46132169	5	11977	25021.0724	276	1
2_MACS_peak_26640_lociStitched	chr7	104576791	104587368	2	9846	39278.7472	277	1
3_MACS_peak_11727_lociStitched	chr17	27043873	27056319	3	10400	35697.6172	280	1
2_MACS_peak_10250_lociStitched	chr16	12056013	12071273	2	11025	31682.812	281	1
6_MACS_peak_18930_lociStitched	chr22	37608261	37627844	6	12012	23427.1429	282	1
2_MACS_peak_16910_lociStitched	chr2	202115840	202126801	2	10732	33481.4706	283	1
1_MACS_peak_12098_lociStitched	chr17	43298298	43307888	1	9591	39764.935	284	1
2_MACS_peak_13584_lociStitched	chr19	2617239	2628466	2	8420	44198.4536	285	1
1_MACS_peak_7163_lociStitched	chr12	125398282	125406607	1	8326	44547.9075	286	1
1_MACS_peak_1718_lociStitched	chr1	150580009	150588051	1	8043	45454.1882	287	1
5_MACS_peak_30124_lociStitched	chrX	48768128	48782059	5	11707	24362.5328	288	1
4_MACS_peak_14805_lociStitched	chr19	49989961	50005203	4	10598	32968.446	289	1
3_MACS_peak_14443_lociStitched	chr19	39338808	39348948	3	7234	47700.588	290	1
2_MACS_peak_17441_lociStitched	chr20	9486547	9497500	2	10653	32337.6372	291	1
3_MACS_peak_18320_lociStitched	chr21	34600895	34612595	3	11319	27198.99	292	1
5_MACS_peak_12496_lociStitched	chr17	70582722	70602642	5	11928	21145.08	293	1
5_MACS_peak_9841_lociStitched	chr15	93340603	93354706	5	10356	33622.9623	294	1
1_MACS_peak_1845_lociStitched	chr1	154970620	154977550	1	6931	48015.891	295	1
4_MACS_peak_24615_lociStitched	chr6	45643278	45658036	4	11758	22303.7654	296	1
5_MACS_peak_29441_lociStitched	chr9	126079249	126091855	5	11812	21708.7926	297	1
6_MACS_peak_22602_lociStitched	chr5	37797006	37813467	6	10951	28484.1144	298	1
2_MACS_peak_7208_lociStitched	chr12	131354827	131366014	2	9248	38656.6785	299	1
3_MACS_peak_23781_lociStitched	chr5	176726465	176740684	3	10832	28703.8953	301	1
3_MACS_peak_23058_lociStitched	chr5	100224893	100240681	3	11533	22388.9628	302	1
2_MACS_peak_7724_lociStitched	chr13	114827957	114835855	2	7734	43826.002	305	1
1_MACS_peak_19418_lociStitched	chr3	13050365	13061540	1	11176	24918.015	306	1
2_MACS_peak_12937_lociStitched	chr18	9060468	9074464	2	11224	24171.092	307	1
4_MACS_peak_1407_lociStitched	chr1	110331735	110350175	4	10373	30496.072	308	1
4_MACS_peak_5654_lociStitched	chr11	119551257	119566635	4	10549	29198.2086	309	1
2_MACS_peak_13883_lociStitched	chr19	11198997	11208442	2	9437	35739.88	310	1
1_MACS_peak_2863_lociStitched	chr1	234741636	234748776	1	7141	45022.698	311	1
1_MACS_peak_459_lociStitched	chr1	23850621	23858962	1	8342	40664.0432	312	1
3_MACS_peak_26594_lociStitched	chr7	101921170	101935590	3	11062	24485.16	313	1
2_MACS_peak_23154_lociStitched	chr5	118668321	118680338	2	11377	21345.7971	314	1
2_MACS_peak_1822_lociStitched	chr1	154370452	154381673	2	9092	37235.7664	315	1
