GENE_ID	locusLine	bin_1_LP-1.jin.bam
NM_173074	chr2(.):46803412-46849251	0.1539
NM_014171	chr2(.):46839324-46857881	0.1767
NM_001171507	chr2(.):47124008-47148251	0.1644
NM_001171506	chr2(.):47124008-47148007	0.1661
NM_001171508	chr2(.):47124008-47173994	0.3544
NR_002229	chr2(.):54751358-54761978	0.5493
NM_002908	chr2(.):61103751-61155178	0.2197
NR_033837	chr2(.):64407212-64437619	0.3797
NM_006196	chr2(.):70309584-70321334	1.2384
NR_024444	chr2(.):70346167-70357448	0.621
NM_015425	chr2(.):86248450-86338278	0.2794
NR_026984	chr2(.):86242338-86255991	0.2096
NM_002491	chr2(.):201931461-201955473	0.2045
NM_001127183	chr2(.):201978386-202033841	0.6618
NM_032974	chr2(.):202042620-202099110	0.4653
NM_001230	chr2(.):202042620-202091383	0.4084
NM_033356	chr2(.):202120222-202157434	0.5228
NM_001080125	chr2(.):202117753-202157434	0.58
NM_018000	chr2(.):216802313-216883346	0.2647
NM_001142310	chr2(.):216941588-216972506	0.6136
NM_025216	chr2(.):219740254-219763651	0.7185
NM_006522	chr2(.):219719545-219743954	0.127
NM_005683	chr2(.):231767042-231794941	0.16
NM_152614	chr2(.):232452574-232463994	0.0907
NM_001099285	chr2(.):232568234-232583250	1.5408
NR_036052	chr2(.):232573023-232583105	1.1837
NM_004735	chr2(.):238595806-238679558	0.2648
NM_022817	chr2(.):239147678-239202207	0.3609
NR_026923	chr2(.):239135326-239147985	0.2668
NM_001142853	chr2(.):239141907-239153681	0.6484
NR_026926	chr2(.):239128753-239145318	0.1708
NR_036229	chr2(.):240222156-240232240	0.1294
NM_023083	chr2(.):241521132-241543526	0.3845
NM_001033575	chr2(.):241494470-241508431	1.015
NM_018226	chr2(.):241503103-241523143	0.7076
NM_001166243	chr3(.):59730035-61242133	0.0645
NM_002841	chr3(.):61542242-62285573	0.1021
NM_016128	chr3(.):128963452-129001616	0.4668
NM_003571	chr3(.):133113789-133199056	0.286
NM_005862	chr3(.):136050998-136476245	0.1288
NM_207294	chr3(.):152012193-152188569	0.1772
NM_021038	chr3(.):151980828-152188568	0.263
NM_001135095	chr3(.):171753343-172123492	0.2952
NM_022763	chr3(.):171752417-172123492	0.2953
NM_181361	chr3(.):178249223-178567217	0.1555
NM_001134382	chr3(.):12933718-13119617	0.1577
NM_014869	chr3(.):12933718-13013960	0.0825
NM_181042	chr3(.):52574367-52718739	0.0822
NM_018313	chr3(.):52574367-52724866	0.1078
NM_007114	chr3(.):69063977-69106484	0.0949
NM_015123	chr3(.):69214145-69440430	0.1323
NM_199420	chr3(.):121145272-121269853	0.1354
NM_002213	chr3(.):124476794-124611144	0.4515
NM_001001487	chr3(.):130608433-130740555	0.1419
NM_001199181	chr3(.):130564368-130727046	0.1933
NM_001199180	chr3(.):130564368-130740555	0.187
NM_001199179	chr3(.):130607834-130727046	0.1451
NM_001001485	chr3(.):130607858-130740555	0.1417
NM_001199184	chr3(.):130607904-130727046	0.1451
NM_014382	chr3(.):130608291-130727046	0.1453
NM_001134422	chr3(.):133287433-133314118	0.4827
NM_001134423	chr3(.):133288300-133314118	0.4963
NM_178554	chr3(.):134313764-134374864	0.2769
NM_001080412	chr3(.):141038054-141173632	0.7494
NM_173653	chr3(.):142979063-143572373	0.1664
NM_016275	chr3(.):150316065-150353234	0.4795
NM_016625	chr3(.):157822891-158267576	0.1222
NM_024665	chr3(.):176733541-176920048	0.2896
NM_005832	chr3(.):178271617-178567217	0.1506
NM_130446	chr3(.):183200318-183278499	0.2999
NM_173216	chr3(.):186643314-186801341	0.2762
NM_003032	chr3(.):186734664-186801341	0.2717
NM_178496	chr3(.):192509604-192640950	0.301
NM_001647	chr3(.):195290572-195316076	0.1512
NM_014240	chr3(.):45631322-45727755	0.2772
NM_199074	chr3(.):49052907-49065926	0.85
NM_199073	chr3(.):49053617-49065926	0.8941
NM_177939	chr3(.):49022340-49049581	0.3381
NM_018031	chr3(.):49039636-49058386	0.5356
NM_000884	chr3(.):49056761-49071875	0.694
NM_018114	chr3(.):49047434-49063467	0.6856
NM_199070	chr3(.):49054073-49065926	0.9222
NM_001009996	chr3(.):49047434-49061017	0.7689
NR_029690	chr3(.):49053050-49063142	1.0266
NR_029948	chr3(.):49052580-49062667	1.0232
NM_001010983	chr3(.):52723503-52745048	0.5892
NM_206825	chr3(.):52714935-52733510	0.4455
NR_003687	chr3(.):52719753-52729846	0.4145
NM_014041	chr3(.):52734856-52747197	0.787
NR_003057	chr3(.):52721751-52731828	0.3022
NM_152932	chr3(.):52723503-52742622	0.5707
NR_003047	chr3(.):52718255-52728331	0.5118
NM_198195	chr3(.):69098880-69134524	0.2458
NM_006407	chr3(.):69129089-69160239	0.4465
NM_198271	chr3(.):69151038-69176746	0.0929
NR_036087	chr3(.):69093108-69103186	0.2102
NM_006100	chr3(.):98446571-98518236	0.458
NM_001012659	chr3(.):121281777-121314469	0.1209
NM_016298	chr3(.):121307169-121354139	0.1256
NR_033434	chr3(.):124444212-124473119	0.1826
NM_020187	chr3(.):128992683-129029135	0.5906
NM_001006109	chr3(.):128992816-129029135	0.5918
NM_006026	chr3(.):129028613-129040120	1.9016
NR_026991	chr3(.):129030113-129048412	1.1252
NM_001145417	chr3(.):135862759-135918310	0.3332
NM_018133	chr3(.):135862759-135919688	0.3288
NM_014779	chr3(.):150121787-150182615	0.231
NM_032025	chr3(.):150259573-150308803	0.3002
NM_014445	chr3(.):150254779-150269428	0.4913
NR_027037	chr3(.):151975404-151992415	1.0451
NR_034008	chr3(.):156802669-156823924	0.8556
NR_034007	chr3(.):156794455-156845791	0.4789
NM_020307	chr3(.):156860585-156883482	0.6011
NM_006241	chr3(.):195236220-195275224	0.4409
NM_001128148	chr3(.):195771154-195814032	0.284
NM_003234	chr3(.):195771154-195813961	0.2837
NR_034088	chr3(.):195864506-195892761	0.1447
NM_198565	chr3(.):196361655-196393874	0.4466
NM_003215	chr4(.):48132799-48276814	0.1947
NM_020859	chr4(.):77351252-77709405	0.1873
NM_144571	chr4(.):78629540-78745544	0.177
NM_178835	chr4(.):146676887-146864607	0.1585
NM_001145291	chr4(.):614362-669681	0.1621
NM_001145292	chr4(.):641965-669681	0.2672
NM_144720	chr4(.):6050481-6207318	0.1754
NM_001099433	chr4(.):6022925-6207318	0.1607
NM_001113361	chr4(.):6906170-7039845	0.2267
NM_020773	chr4(.):6906494-7039845	0.2272
NM_005112	chr4(.):10070962-10123573	0.6112
NM_004310	chr4(.):40193526-40251281	0.4764
NM_001166693	chr4(.):87851153-88067206	0.1958
NM_000297	chr4(.):88923819-89003929	0.1666
NM_005327	chr4(.):108905869-108961331	0.3252
NM_024900	chr4(.):129725778-129790787	0.2629
NM_199320	chr4(.):129725778-129801379	0.2371
NM_002039	chr4(.):144252982-144400718	0.2343
NM_153343	chr4(.):185004858-185144114	0.0813
NM_002199	chr4(.):185303875-185400726	0.5453
NM_031953	chr4(.):186126283-186290120	0.5248
NM_007100	chr4(.):661224-673127	0.8303
NM_032219	chr4(.):670617-687973	0.2824
NM_002477	chr4(.):666710-680817	0.8141
NM_006315	chr4(.):694572-769427	0.1337
NM_153376	chr4(.):7037575-7049728	0.4616
NM_001113363	chr4(.):6983888-7039845	0.2706
NM_152293	chr4(.):7040155-7064677	0.3127
NR_036090	chr4(.):10075234-10085316	0.1441
NM_182485	chr4(.):14999297-15076777	0.2335
NM_031889	chr4(.):71489460-71517536	0.0852
NM_144646	chr4(.):71516257-71537348	1.204
NM_020368	chr4(.):71549195-71561268	0.5716
NM_014961	chr4(.):71582695-71664274	0.1243
NM_001130709	chr4(.):71565653-71660614	0.1741
NM_017426	chr4(.):77030816-77074655	0.1279
NM_005506	chr4(.):77074893-77140035	0.3783
NM_001042784	chr4(.):77229191-77333458	0.0974
NM_020236	chr4(.):78778804-78878944	0.1825
NM_144645	chr4(.):87792357-87818575	0.0815
NM_025212	chr4(.):105388342-105417467	0.5777
NR_028085	chr4(.):186315693-186352139	0.3726
NM_018409	chr4(.):186280031-186305152	0.4909
NM_181726	chr4(.):186312839-186326390	0.7945
NM_001114357	chr4(.):186345544-186375821	0.1862
NM_001131005	chr5(.):88009057-88204922	0.251
NM_002397	chr5(.):88009057-88184283	0.2392
NM_001193349	chr5(.):88009057-88124744	0.0925
NM_178569	chr5(.):2747261-2760511	0.1753
NM_024091	chr5(.):7854271-7874150	0.4156
NM_016279	chr5(.):26875708-27043689	0.1731
NM_024669	chr5(.):55390506-55534186	0.4905
NM_022913	chr5(.):56464774-56565506	0.1921
NM_001127235	chr5(.):56466274-56565506	0.1929
NR_027435	chr5(.):90671163-90721532	0.3163
NM_012081	chr5(.):95215801-95302775	0.3187
NM_013983	chr5(.):139221363-139427884	0.1125
NM_001020825	chr5(.):142652495-142788254	0.1903
NM_001018076	chr5(.):142652495-142789045	0.1896
NM_001018075	chr5(.):142652495-142820077	0.1672
NM_005990	chr5(.):171464073-171620346	0.1838
NM_153607	chr5(.):172478354-172571291	0.0922
NM_052909	chr5(.):135372-195087	0.2497
NM_145265	chr5(.):199874-223297	0.2554
NM_001080478	chr5(.):186625-200468	0.7847
NM_004168	chr5(.):213355-261814	0.1767
NM_001193376	chr5(.):1248286-1300162	0.4886
NM_030782	chr5(.):1312999-1350002	0.9176
NM_024830	chr5(.):1456541-1529076	0.3586
NM_033267	chr5(.):2741278-2756769	0.1078
NM_001145161	chr5(.):6443735-6501834	0.5377
NM_001089584	chr5(.):7826510-7856264	0.0733
NM_024010	chr5(.):7864216-7906235	0.2608
NM_022130	chr5(.):32119823-32179425	0.2964
NM_006713	chr5(.):32580604-32609185	0.5201
NM_001102575	chr5(.):53808592-53847416	0.7742
NM_001145427	chr5(.):53808588-53847416	0.7741
NM_052870	chr5(.):53808592-53821834	1.56
NM_002184	chr5(.):55225924-55295821	0.2795
NM_005921	chr5(.):56105899-56196978	0.2201
NM_001127236	chr5(.):56504900-56565506	0.0922
NM_020801	chr5(.):90659540-90684149	0.5529
NM_005668	chr5(.):100137638-100243987	0.1853
NM_175052	chr5(.):100216014-100243970	0.3544
NR_036052	chr5(.):118305280-118315362	0.0648
NM_000588	chr5(.):131391346-131403896	0.1806
NM_000758	chr5(.):131404484-131416859	0.227
NM_016480	chr5(.):138672518-138710409	0.1213
NM_194296	chr5(.):138727455-138744776	0.4804
NM_152686	chr5(.):138740891-138780214	0.138
NM_152685	chr5(.):138697884-138724039	0.2491
NM_001033112	chr5(.):138673133-138710409	0.1223
NM_001161546	chr5(.):138722634-138735885	1.2989
NM_016459	chr5(.):138718256-138730605	1.5019
NM_000024	chr5(.):148201155-148213197	0.4126
NM_001012301	chr5(.):149670908-149687525	0.2234
NM_015981	chr5(.):149594053-149674403	0.102
NM_001008657	chr5(.):149732201-149769195	0.1375
NM_001025158	chr5(.):149776199-149797332	0.6368
NM_001025159	chr5(.):149776201-149797323	0.6371
NM_001025071	chr5(.):149818791-149834319	0.2562
NM_001171183	chr5(.):171616175-171635458	0.0653
NM_003945	chr5(.):172405762-172466900	0.2496
NR_002988	chr5(.):172442728-172452932	0.1104
NM_006098	chr5(.):180658927-180675906	0.4654
NM_033342	chr5(.):180625119-180637177	0.1307
NR_002591	chr5(.):180665313-180675376	0.7115
NR_002592	chr5(.):180663817-180673889	0.645
NM_032765	chr5(.):180678385-180693119	0.3825
NM_203297	chr5(.):180615923-180632930	0.1813
NM_203296	chr5(.):180615923-180636340	0.1914
NM_033549	chr5(.):180645305-180667808	0.2534
NR_027116	chr6(.):956240-1106567	0.2342
NM_004117	chr6(.):35536361-35661719	0.157
NM_001145776	chr6(.):35536361-35661692	0.157
NM_001145775	chr6(.):35536361-35701360	0.2182
NM_181356	chr6(.):44791469-45350670	0.1395
NM_003599	chr6(.):44792449-45350575	0.1395
NM_001160134	chr6(.):73326570-73913573	0.1203
NM_001195286	chr6(.):386738-416443	0.803
NM_000904	chr6(.):2995066-3024994	0.3464
NR_037616	chr6(.):7876482-8069647	0.3525
NM_002114	chr6(.):12007723-12170232	0.1986
NM_030948	chr6(.):12712832-13292528	0.1118
NM_014641	chr6(.):30662583-30690458	0.5456
NM_172166	chr6(.):31702724-31735455	0.5289
NM_019602	chr6(.):32357512-32379900	0.0772
NM_004348	chr6(.):45384913-45523819	0.2955
NM_001024630	chr6(.):45291053-45523819	0.2322
NM_016021	chr6(.):90031343-90067619	0.335
NM_017696	chr6(.):119129611-119257903	0.1656
NM_020185	chr6(.):287100-356355	1.8041
NM_001195291	chr6(.):2943392-2977399	0.099
NR_026855	chr6(.):2983200-2996405	0.3897
NM_003804	chr6(.):3072057-3120421	0.1148
NR_033884	chr6(.):3015389-3030005	0.7908
NM_001012983	chr6(.):3040617-3051034	0.0757
NM_001145549	chr6(.):7876482-7915310	0.8693
NM_030810	chr6(.):7876482-7916047	0.8939
NM_001163558	chr6(.):22282478-22308082	0.0943
NM_000948	chr6(.):22282476-22302730	0.0948
NM_005319	chr6(.):26050967-26061699	0.811
NM_003537	chr6(.):26026816-26037288	1.4311
NM_003544	chr6(.):26022123-26032480	0.954
NM_021062	chr6(.):26038454-26048885	0.4839
NM_003531	chr6(.):26040638-26051097	0.4814
NM_005325	chr6(.):26012259-26023040	0.171
NM_003538	chr6(.):26016906-26027278	0.3932
NM_003513	chr6(.):26028319-26038796	1.1649
NM_003529	chr6(.):26015717-26026186	0.2218
NM_003526	chr6(.):26118694-26129132	1.0825
NM_139006	chr6(.):26082508-26100469	0.1303
NM_021065	chr6(.):26194011-26204471	0.7013
NM_003530	chr6(.):26192011-26204464	0.606
NM_138720	chr6(.):26153348-26176576	0.6695
NM_003523	chr6(.):26179023-26189458	0.2397
NM_003539	chr6(.):26183937-26194304	0.2784
NM_003545	chr6(.):26199872-26210249	0.4902
NM_021063	chr6(.):26153348-26163871	0.9804
NM_005321	chr6(.):26151558-26162343	0.9463
NM_003512	chr6(.):26119372-26129918	1.0699
NM_003542	chr6(.):26099175-26109565	0.3509
NM_005323	chr6(.):26102639-26113364	0.3279
NM_003522	chr6(.):26194786-26205216	0.7703
NM_003518	chr6(.):26211427-26221872	0.4744
NM_021052	chr6(.):26212147-26222711	0.4774
NM_003543	chr6(.):26280353-26290727	0.8601
NM_003532	chr6(.):26220382-26230844	0.29
NM_003524	chr6(.):26246878-26257303	0.8492
NM_003534	chr6(.):26266145-26276612	1.1371
NM_003547	chr6(.):26241838-26252205	0.724
NM_003540	chr6(.):26235653-26246021	0.1823
NM_021018	chr6(.):26245369-26255835	0.8482
NM_005320	chr6(.):26229439-26240216	0.6536
NM_003525	chr6(.):26268203-26278640	1.1486
NM_021064	chr6(.):27095816-27106314	1.4176
NM_080593	chr6(.):27101071-27119637	0.7932
NM_080596	chr6(.):27109907-27120346	0.719
NR_036096	chr6(.):27110404-27120467	0.7193
NM_021058	chr6(.):27095094-27105575	1.4753
NM_003495	chr6(.):27102087-27112457	0.5602
NM_021066	chr6(.):27777079-27787518	0.4353
NM_003536	chr6(.):27772841-27783314	0.8761
NM_003509	chr6(.):27770976-27781445	0.853
NM_003519	chr6(.):27770256-27780709	0.8543
NM_003521	chr6(.):27777821-27788267	0.3987
NM_003535	chr6(.):27853092-27863570	1.3642
NM_003527	chr6(.):27856202-27866669	1.4403
NM_003520	chr6(.):27801439-27811888	1.0595
NM_003511	chr6(.):27828106-27838576	0.0652
NM_003533	chr6(.):27834622-27845099	0.0608
NM_003510	chr6(.):27800657-27811117	1.0756
NM_003541	chr6(.):27793951-27804305	0.612
NM_005322	chr6(.):27829569-27840359	0.0645
NM_033057	chr6(.):27873962-27885174	0.072
NM_021968	chr6(.):27786902-27797258	0.4972
NM_003514	chr6(.):27855476-27865963	1.4338
NM_003546	chr6(.):27835925-27846289	0.0638
NM_003587	chr6(.):30615895-30645830	0.1558
NM_001161376	chr6(.):30609815-30625987	0.2812
NM_133471	chr6(.):30639165-30660672	0.7056
NM_001134870	chr6(.):30639165-30660093	0.7183
NM_007243	chr6(.):30650825-30663769	0.8626
