GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
6_MACS_peak_1150_lociStitched	chr1(.):7023556-7028221	0.07
1_MACS_peak_1156_lociStitched	chr1(.):7034418-7035676	0.0771
3_MACS_peak_1157_lociStitched	chr1(.):7044597-7047009	0.0627
5_MACS_peak_1160_lociStitched	chr1(.):7065255-7070851	0.0938
1_MACS_peak_1165_lociStitched	chr1(.):7079266-7079552	0.0447
1_MACS_peak_1166_lociStitched	chr1(.):7080566-7081176	0.0546
3_MACS_peak_1167_lociStitched	chr1(.):7100970-7104961	0.0845
2_MACS_peak_1170_lociStitched	chr1(.):7106435-7107334	0.091
8_MACS_peak_1172_lociStitched	chr1(.):7108348-7117064	0.0657
2_MACS_peak_1180_lociStitched	chr1(.):7118613-7121415	0.0776
1_MACS_peak_1182_lociStitched	chr1(.):7122528-7123630	0.0453
4_MACS_peak_1183_lociStitched	chr1(.):7127668-7129937	0.088
1_MACS_peak_1187_lociStitched	chr1(.):7130963-7131277	0.0727
1_MACS_peak_1188_lociStitched	chr1(.):7132828-7133221	0.0775
1_MACS_peak_1189_lociStitched	chr1(.):7135355-7135782	0.1133
3_MACS_peak_1190_lociStitched	chr1(.):7144431-7146944	0.1039
1_MACS_peak_1193_lociStitched	chr1(.):7148436-7149227	0.0661
9_MACS_peak_1194_lociStitched	chr1(.):7152001-7161144	0.0652
1_MACS_peak_1203_lociStitched	chr1(.):7165260-7165616	0.0363
3_MACS_peak_1204_lociStitched	chr1(.):7173125-7175481	0.1083
5_MACS_peak_1207_lociStitched	chr1(.):7179652-7184169	0.0696
1_MACS_peak_1212_lociStitched	chr1(.):7187452-7188017	0.0953
1_MACS_peak_1213_lociStitched	chr1(.):7191937-7192254	0.1011
1_MACS_peak_1214_lociStitched	chr1(.):7203459-7203922	0.0946
6_MACS_peak_1215_lociStitched	chr1(.):7209086-7214584	0.0684
1_MACS_peak_1221_lociStitched	chr1(.):7216352-7216751	0.0552
