REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_22949_lociStitched	chr3	141079360	141112545	9	25136	69532.5305	18	1	ZBTB38		ZBTB38	18	1
7_MACS_peak_20387_lociStitched	chr21	44723347	44749063	7	22036	86992.0848	19	1			SIK1	19	1
14_MACS_peak_20657_lociStitched	chr22	23252545	23287347	14	24729	67902.1822	20	1		IGLL5	IGLL5	20	1
7_MACS_peak_17542_lociStitched	chr2	87794288	87823055	7	25266	62179.8705	21	1	NCRNA00152		NCRNA00152	21	1
15_MACS_peak_10320_lociStitched	chr15	31626906	31661186	15	25894	50964.076	22	1	KLF13		KLF13	22	1
13_MACS_peak_26395_lociStitched	chr5	139027232	139059031	13	25544	48124.6066	23	1	CXXC5		CXXC5	23	1
12_MACS_peak_23235_lociStitched	chr3	171802007	171833530	12	25563	43514.3492	24	1	FNDC3B		FNDC3B	24	1
9_MACS_peak_26261_lociStitched	chr5	131744805	131774658	9	23388	60676.2225	25	1	C5orf56	SLC22A5,MIR3936	C5orf56	25	1
4_MACS_peak_29119_lociStitched	chr7	8006493	8030847	4	22153	66493.7262	26	1	GLCCI1		GLCCI1	26	1
9_MACS_peak_30460_lociStitched	chr7	137660500	137687949	9	24192	49421.9245	27	1	CREB3L2		CREB3L2	27	1
14_MACS_peak_20943_lociStitched	chr22	37614123	37642100	14	23547	46489.3809	28	1	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	28	1
19_MACS_peak_12402_lociStitched	chr16	81837249	81876938	19	23954	39125.4162	29	1	PLCG2		PLCG2	29	1
6_MACS_peak_7104_lociStitched	chr12	48191173	48215120	6	22142	53734.6733	30	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	30	1
13_MACS_peak_17572_lociStitched	chr2	88896820	88928705	13	20393	65383.381	31	1	EIF2AK3		EIF2AK3	31	1
3_MACS_peak_16574_lociStitched	chr2	20403318	20426422	3	22975	41203.6736	32	1	SDC1		SDC1	32	1
4_MACS_peak_3955_lociStitched	chr10	22595098	22615306	4	19434	68773.8864	33	1	COMMD3,BMI1	SPAG6	COMMD3	33	1
7_MACS_peak_13117_lociStitched	chr17	37909361	37935238	7	21065	53803.4584	34	1	IKZF3	GRB7,C17orf37	GRB7	34	1
6_MACS_peak_6287_lociStitched	chr11	111227975	111251851	6	21149	51722.5788	35	1	POU2AF1		POU2AF1	35	1
7_MACS_peak_20395_lociStitched	chr21	44770614	44792650	7	18602	67646.1128	36	1			SIK1	36	1
5_MACS_peak_5738_lociStitched	chr11	65183550	65201782	5	15667	80614.6112	37	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	37	1
7_MACS_peak_22958_lociStitched	chr3	141117770	141141380	7	19910	52763.628	38	1	ZBTB38		RASA2	38	1
11_MACS_peak_20646_lociStitched	chr22	23219969	23249041	11	21338	37322.6336	39	1	IGLL5		IGLL5	39	1
11_MACS_peak_26273_lociStitched	chr5	131788825	131817237	11	19047	55906.2924	40	1	C5orf56	IRF1	IRF1	40	1
6_MACS_peak_28370_lociStitched	chr6	109183574	109208513	6	18948	55439.397	41	1	ARMC2		ARMC2	41	1
14_MACS_peak_21169_lociStitched	chr22	42310767	42343514	14	17789	61823.0613	42	1	TNFRSF13C,CENPM	MIR33A,LOC339674,SEPT3	TNFRSF13C	42	1
7_MACS_peak_2333_lociStitched	chr1	156455709	156479302	7	20515	39183.2544	43	1	MEF2D		MEF2D	43	1
5_MACS_peak_31978_lociStitched	chr8	126434473	126452439	5	14181	77338.2402	44	1	TRIB1		TRIB1	44	1
11_MACS_peak_20440_lociStitched	chr21	45552680	45581444	11	19644	45061.6824	45	1	C21orf33	PWP2	C21orf33	45	1
8_MACS_peak_1232_lociStitched	chr1	65412546	65434334	8	19064	47916.1696	46	1	JAK1		JAK1	46	1
6_MACS_peak_2104_lociStitched	chr1	150531919	150553224	6	18599	48860.887	47	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	47	1
13_MACS_peak_10945_lociStitched	chr15	75065550	75093037	13	20125	34273.5403	48	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	48	1
6_MACS_peak_1269_lociStitched	chr1	66795863	66818831	6	19226	41413.6008	49	1	PDE4B		PDE4B	49	1
10_MACS_peak_21416_lociStitched	chr3	5222936	5247281	10	18744	45208.665	50	1	EDEM1		EDEM1	50	1
6_MACS_peak_23498_lociStitched	chr3	186703255	186721997	6	15919	62605.7768	51	1	ST6GAL1	ST6GAL1	ST6GAL1	51	1
12_MACS_peak_6540_lociStitched	chr11	128585837	128611678	12	19728	32802.5654	52	1	FLI1		FLI1	52	1
3_MACS_peak_24026_lociStitched	chr4	40191037	40210465	3	19256	37573.752	53	1	RHOH		RHOH	53	1
16_MACS_peak_25448_lociStitched	chr5	56108684	56137621	16	19275	36972.8049	54	1	MAP3K1		MAP3K1	54	1
3_MACS_peak_18758_lociStitched	chr2	201979444	201996369	3	16918	55662.94	55	1	CFLAR	NDUFB3,FAM126B	CFLAR	55	1
5_MACS_peak_5751_lociStitched	chr11	65254539	65274415	5	16778	55567.3332	56	1	MALAT1	MIR612,SCYL1	MALAT1	56	1
7_MACS_peak_26746_lociStitched	chr5	176270522	176291943	7	19139	35582.4231	57	1	UNC5A	HK3	UNC5A	57	1
4_MACS_peak_23841_lociStitched	chr4	14166064	14186353	4	17527	48979.6749	58	1			LOC152742	58	1
12_MACS_peak_3806_lociStitched	chr10	11557127	11582145	12	19352	31570.2142	59	1	USP6NL		USP6NL	59	1
5_MACS_peak_4257_lociStitched	chr10	63800685	63816405	5	15425	60278.34	60	1	ARID5B		ARID5B	60	1
14_MACS_peak_29597_lociStitched	chr7	47606442	47629998	14	18102	40389.1176	61	1		TNS3	TNS3	61	1
8_MACS_peak_470_lociStitched	chr1	25870005	25891963	8	18793	32429.7702	62	1	LDLRAP1		LDLRAP1	62	1
4_MACS_peak_3508_lociStitched	chr1	234734123	234749686	4	14971	60305.0687	63	1	IRF2BP2	NCRNA00184	IRF2BP2	63	1
4_MACS_peak_18268_lociStitched	chr2	158289561	158302043	4	11923	71589.2628	64	1	CYTIP		CYTIP	64	1
6_MACS_peak_21503_lociStitched	chr3	13034675	13060747	6	17800	39619.0112	65	1	IQSEC1	IQSEC1	IQSEC1	65	1
9_MACS_peak_20405_lociStitched	chr21	44829506	44852032	9	15750	53440.6824	66	1	SIK1	C21orf125,C21orf84	SIK1	66	1
7_MACS_peak_2974_lociStitched	chr1	203236548	203261304	7	14578	57453.7248	67	1		BTG2,CHIT1,LOC730227	LOC730227	67	1
3_MACS_peak_6843_lociStitched	chr12	26266162	26280995	3	14672	56260.0857	68	1	BHLHE41		BHLHE41	68	1
8_MACS_peak_31958_lociStitched	chr8	126285265	126308598	8	17368	37444.7984	69	1	NSMCE2		TRIB1	69	1
11_MACS_peak_4120_lociStitched	chr10	45913032	45937858	11	16429	43338.7482	70	1	ALOX5		ALOX5	70	1
11_MACS_peak_1400_lociStitched	chr1	82258349	82279627	11	16895	39389.8336	71	1	LPHN2		LPHN2	71	1
11_MACS_peak_4976_lociStitched	chr10	125813323	125840437	11	17701	30958.7652	72	1	CHST15		CHST15	72	1
12_MACS_peak_17529_lociStitched	chr2	87753775	87777003	12	16638	40251.8012	73	1	NCRNA00152		NCRNA00152	73	1
6_MACS_peak_21354_lociStitched	chr22	50963341	50988088	6	16094	38855.2647	74	1	KLHDC7B,SCO2,TYMP,ODF3B	ADM2,MIOX,NCAPH2,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	74	1
2_MACS_peak_30533_lociStitched	chr7	139462624	139478623	2	14244	50985.6132	75	1	TBXAS1,HIPK2		HIPK2	75	1
6_MACS_peak_30989_lociStitched	chr8	27232403	27257138	6	16614	31000.3755	76	1	PTK2B		PTK2B	76	1
15_MACS_peak_5013_lociStitched	chr10	126373755	126398010	15	16348	32761.2285	77	1	FAM53B		FAM53B	77	1
7_MACS_peak_13954_lociStitched	chr17	75131481	75151679	7	15834	37390.5376	78	1	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	78	1
7_MACS_peak_22193_lociStitched	chr3	53194229	53215529	7	16589	29498.37	79	1	PRKCD	RFT1	PRKCD	79	1
7_MACS_peak_15788_lociStitched	chr19	39887686	39904662	7	14923	42339.8416	80	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	80	1
4_MACS_peak_29639_lociStitched	chr7	50343607	50361274	4	15556	37153.701	81	1	IKZF1		IKZF1	81	1
12_MACS_peak_2839_lociStitched	chr1	189110253	189130679	12	16699	21575.9838	82	1				82	1
2_MACS_peak_6755_lociStitched	chr12	12866258	12879721	2	13119	49524.9918	83	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	83	1
10_MACS_peak_33247_lociStitched	chr9	112904601	112924950	10	16230	24341.4738	84	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	84	1
9_MACS_peak_13973_lociStitched	chr17	75429734	75451500	9	15568	30931.6626	85	1	SEPT9	SEPT9,MIR4316	SEPT9	85	1
6_MACS_peak_15334_lociStitched	chr19	13943793	13962376	6	13581	46147.1639	86	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	86	1
5_MACS_peak_21510_lociStitched	chr3	13365446	13382912	5	14942	36358.9722	87	1	NUP210		NUP210	87	1
5_MACS_peak_14682_lociStitched	chr18	60817299	60831803	5	13085	48076.4088	88	1	BCL2		BCL2	88	1
7_MACS_peak_14790_lociStitched	chr19	905864	928497	7	13593	45107.569	89	1	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	89	1
6_MACS_peak_24241_lociStitched	chr4	77116666	77138462	6	15433	29930.2672	90	1	SCARB2	FAM47E,NUP54	SCARB2	90	1
13_MACS_peak_9816_lociStitched	chr14	81930649	81957363	13	15629	27699.7466	91	1	SEL1L		SEL1L	91	1
6_MACS_peak_15297_lociStitched	chr19	12885396	12905366	6	14259	39764.264	92	1	JUNB,HOOK2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,PRDX2,RTBDN	JUNB	92	1
5_MACS_peak_14696_lociStitched	chr18	60871174	60886061	5	14088	39956.708	93	1	BCL2		BCL2	93	1
10_MACS_peak_33487_lociStitched	chr9	130725183	130749540	10	15257	29518.2483	94	1	FAM102A	ST6GALNAC4,PIP5KL1,DPM2,FAM102A	FAM102A	94	1
8_MACS_peak_25100_lociStitched	chr4	185365818	185383642	8	15489	26511.4176	95	1	IRF2		IRF2	95	1
4_MACS_peak_4842_lociStitched	chr10	112167294	112185118	4	15029	30600.2432	96	1			DUSP5	96	1
17_MACS_peak_27660_lociStitched	chr6	36702157	36727718	17	15739	20505.0342	97	1	CPNE5		CDKN1A	97	1
6_MACS_peak_3786_lociStitched	chr10	11204712	11222907	6	15072	27561.786	98	1	CELF2		CELF2	98	1
5_MACS_peak_24385_lociStitched	chr4	90210732	90229701	5	15117	26915.1141	99	1	GPRIN3		GPRIN3	99	1
8_MACS_peak_18783_lociStitched	chr2	202082894	202102018	8	15084	26310.7992	100	1	CASP10,CASP8	CASP8	CASP8	100	1
4_MACS_peak_8008_lociStitched	chr12	109020460	109036369	4	13889	36929.5617	101	1	SELPLG	TMEM119	SELPLG	101	1
3_MACS_peak_15901_lociStitched	chr19	42438367	42456022	3	12756	43803.8205	102	1		ARHGEF1,RABAC1,ATP1A3	RABAC1	102	1
7_MACS_peak_5028_lociStitched	chr10	126402342	126423684	7	13640	37480.8204	103	1	FAM53B		FAM53B	103	1
4_MACS_peak_19951_lociStitched	chr20	56038837	56058258	4	13805	36156.0757	104	1		CTCFL	CTCFL	104	1
9_MACS_peak_28180_lociStitched	chr6	90054910	90074216	9	13308	39318.5996	105	1	UBE2J1	GABRR2,RRAGD	UBE2J1	105	1
9_MACS_peak_25632_lociStitched	chr5	71586192	71604441	9	14838	25716.4908	106	1	MRPS27	PTCD2	MRPS27	106	1
9_MACS_peak_26697_lociStitched	chr5	173205631	173223197	9	14243	30561.3268	107	1			CPEB4	107	1
8_MACS_peak_13919_lociStitched	chr17	74475392	74498648	8	14501	27842.0832	108	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	108	1
10_MACS_peak_13156_lociStitched	chr17	38247775	38270176	10	14088	31027.6251	109	1	THRA,NR1D1	MSL1,CASC3,MED24	NR1D1	109	1
6_MACS_peak_25786_lociStitched	chr5	88170592	88186289	6	14433	27234.295	110	1	MEF2C		MEF2C	110	1
7_MACS_peak_5228_lociStitched	chr11	7531714	7550380	7	14374	27442.7532	111	1	OLFML1,PPFIBP2		PPFIBP2	111	1
3_MACS_peak_5088_lociStitched	chr11	307044	321366	3	12502	42136.7562	112	1	IFITM2,IFITM1,IFITM3	NLRP6,ATHL1,B4GALNT4,IFITM5	IFITM1	112	1
11_MACS_peak_21700_lociStitched	chr3	31792893	31815076	11	14225	28460.789	113	1	OSBPL10		ZNF860	113	1
2_MACS_peak_32883_lociStitched	chr9	73025814	73037050	2	8793	57359.78	114	1	KLF9		KLF9	114	1
8_MACS_peak_652_lociStitched	chr1	31214192	31231588	8	14659	22115.5348	115	1	LAPTM5	LOC100129196,MATN1	LAPTM5	115	1
5_MACS_peak_26884_lociStitched	chr6	388992	404766	5	13599	32819.3844	116	1	IRF4		IRF4	116	1
2_MACS_peak_19789_lociStitched	chr20	45976307	45990265	2	13194	35563.5882	117	1	ZMYND8	LOC100131496	ZMYND8	117	1
11_MACS_peak_21916_lociStitched	chr3	45592662	45613808	11	14055	27445.3934	118	1		LIMD1	LIMD1	118	1
4_MACS_peak_26742_lociStitched	chr5	176236770	176252076	4	13927	28637.526	119	1	UNC5A		UNC5A	119	1
7_MACS_peak_29575_lociStitched	chr7	47511909	47529043	7	13686	30438.551	120	1	TNS3		TNS3	120	1
12_MACS_peak_17211_lociStitched	chr2	64863063	64886028	12	13928	27688.9005	121	1	SERTAD2	LOC339807	SERTAD2	121	1
8_MACS_peak_13535_lociStitched	chr17	55429889	55447970	8	13468	31168.0278	122	1	MSI2		MSI2	122	1
4_MACS_peak_28376_lociStitched	chr6	109213054	109228255	4	13956	25668.4086	123	1	ARMC2		ARMC2	123	1
7_MACS_peak_11646_lociStitched	chr16	11821659	11837622	7	14083	23902.9962	124	1	TXNDC11		TXNDC11	124	1
9_MACS_peak_15392_lociStitched	chr19	15391879	15413154	9	14170	20313.37	125	1		EPHX3,BRD4	BRD4	125	1
5_MACS_peak_26284_lociStitched	chr5	131820848	131837058	5	12942	32862.533	126	1	IRF1	IL5	IRF1	126	1
5_MACS_peak_2869_lociStitched	chr1	192595594	192609619	5	13374	28647.465	127	1	RGS13		RGS13	127	1
5_MACS_peak_4849_lociStitched	chr10	112255771	112273247	5	13052	30881.8396	128	1	DUSP5		DUSP5	128	1
4_MACS_peak_7969_lociStitched	chr12	106694321	106710380	4	10944	44401.5291	129	1	TCP11L2	POLR3B	TCP11L2	129	1
1_MACS_peak_8371_lociStitched	chr12	125397829	125407132	1	9304	51012.0702	130	1	UBC	SCARB1	UBC	130	1
9_MACS_peak_9619_lociStitched	chr14	70102015	70125152	9	13522	25001.8422	131	1	KIAA0247		KIAA0247	131	1
5_MACS_peak_16498_lociStitched	chr2	11883220	11898173	5	13058	29451.4288	132	1	LPIN1		LPIN1	132	1
9_MACS_peak_21670_lociStitched	chr3	30670042	30692183	9	13677	23024.4259	133	1	TGFBR2		TGFBR2	133	1
4_MACS_peak_20010_lociStitched	chr20	61272999	61291241	4	13484	25097.3436	134	1	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	134	1
8_MACS_peak_18405_lociStitched	chr2	172170186	172192096	8	13242	27087.333	135	1	METTL8		TLK1	135	1
11_MACS_peak_13171_lociStitched	chr17	38463627	38487239	11	13757	20875.3692	136	1	RARA	CDC6,RARA,GJD3	RARA	136	1
7_MACS_peak_8238_lociStitched	chr12	122227111	122245098	7	11275	41096.6976	137	1	SETD1B,RHOF,LOC338799		RHOF	137	1
9_MACS_peak_4404_lociStitched	chr10	74076513	74096837	9	12979	28140.6104	138	1	DNAJB12	DDIT4	DNAJB12	138	1
15_MACS_peak_28331_lociStitched	chr6	108970840	108999436	15	13366	24057.8148	139	1	FOXO3		NCRNA00222	139	1
8_MACS_peak_14028_lociStitched	chr17	76710678	76726789	8	13683	19333.2	140	1	CYTH1		CYTH1	140	1
7_MACS_peak_22731_lociStitched	chr3	121709992	121725104	7	13015	27132.0848	141	1	ILDR1	CD86	ILDR1	141	1
4_MACS_peak_14459_lociStitched	chr18	42300613	42317339	4	12756	29130.0016	142	1	SETBP1		SETBP1	142	1
10_MACS_peak_30520_lociStitched	chr7	139421262	139439389	10	12731	29150.0287	143	1	HIPK2	TBXAS1	HIPK2	143	1
8_MACS_peak_25777_lociStitched	chr5	88114616	88132833	8	13521	20568.8147	144	1	MEF2C		MEF2C	144	1
1_MACS_peak_16893_lociStitched	chr2	43444736	43456576	1	11841	35901.248	145	1	LOC100129726,ZFP36L2		ZFP36L2	145	1
3_MACS_peak_26711_lociStitched	chr5	173309617	173323352	3	13043	25310.858	146	1	CPEB4		CPEB4	146	1
6_MACS_peak_14513_lociStitched	chr18	46443658	46462401	6	13520	19335.2788	147	1	SMAD7		SMAD7	147	1
5_MACS_peak_3063_lociStitched	chr1	205275666	205291366	5	12501	29976.01	148	1	NUAK2	KLHDC8A	NUAK2	148	1
13_MACS_peak_25872_lociStitched	chr5	95243859	95268122	13	13254	21943.4572	149	1	ELL2		ELL2	149	1
5_MACS_peak_12973_lociStitched	chr17	29635231	29649387	5	12777	26531.1752	150	1	NF1,EVI2B,EVI2A	OMG	EVI2B	150	1
6_MACS_peak_23989_lociStitched	chr4	38664287	38678073	6	12567	28477.7402	151	1	KLF3,FLJ13197		FLJ13197	151	1
5_MACS_peak_18243_lociStitched	chr2	157185499	157200249	5	10452	42370.85	152	1	NR4A2		NR4A2	152	1
7_MACS_peak_24805_lociStitched	chr4	144267378	144285048	7	13122	22622.901	153	1	GAB1		GAB1	153	1
2_MACS_peak_32114_lociStitched	chr8	134575179	134588964	2	12553	27557.5935	154	1	ST3GAL1		ST3GAL1	154	1
14_MACS_peak_21928_lociStitched	chr3	45634403	45656026	14	13010	22799.2912	155	1	LIMD1		LIMD1	155	1
5_MACS_peak_30423_lociStitched	chr7	134842073	134858279	5	11937	32039.262	156	1	TMEM140,C7orf49	WDR91	C7orf49	156	1
6_MACS_peak_21381_lociStitched	chr3	3137175	3153646	6	11491	34905.3432	157	1	IL5RA	TRNT1	IL5RA	157	1
5_MACS_peak_27130_lociStitched	chr6	13295420	13308727	5	12571	25596.0145	158	1	TBC1D7		TBC1D7	158	1
5_MACS_peak_33475_lociStitched	chr9	130660832	130680206	5	11830	31647.429	159	1	ST6GALNAC6,ST6GALNAC4	ENG,AK1,PIP5KL1,DPM2,FAM102A	ST6GALNAC6	159	1
4_MACS_peak_29306_lociStitched	chr7	25998581	26011629	4	10626	39316.2336	160	1		MIR148A	MIR148A	160	1
6_MACS_peak_733_lociStitched	chr1	36614281	36633489	6	11807	31685.5168	161	1	MAP7D1,TRAPPC3	COL8A2	MAP7D1	161	1
3_MACS_peak_28306_lociStitched	chr6	108878237	108888946	3	9859	42960.2244	162	1	FOXO3		FOXO3	162	1
8_MACS_peak_3442_lociStitched	chr1	230255287	230270685	8	12104	28954.3992	163	1	GALNT2		GALNT2	163	1
9_MACS_peak_16329_lociStitched	chr19	57779767	57795520	9	12036	28747.6497	164	1	ZNF460	AURKC,ZNF805,ZNF543	ZNF460	164	1
6_MACS_peak_26099_lociStitched	chr5	118668013	118684953	6	12322	25184.698	165	1	TNFAIP8	TNFAIP8	TNFAIP8	165	1
10_MACS_peak_11807_lociStitched	chr16	21512265	21532215	10	12593	21404.355	166	1	LOC100271836,SLC7A5P2		LOC100271836	166	1
4_MACS_peak_17031_lociStitched	chr2	54795120	54809532	4	12613	20861.37	167	1	SPTBN1	RPL23AP32	SPTBN1	167	1
10_MACS_peak_31084_lociStitched	chr8	33407925	33425434	10	11871	28185.9882	168	1	RNF122	C8orf41,DUSP26	RNF122	168	1
5_MACS_peak_26113_lociStitched	chr5	119428646	119445129	5	12024	26732.1294	169	1			PRR16	169	1
4_MACS_peak_20741_lociStitched	chr22	24819778	24833761	4	11652	29754.4257	170	1	ADORA2A,C22orf45		ADORA2A	170	1
16_MACS_peak_6660_lociStitched	chr12	7052169	7074343	16	12784	17858.9396	171	1	C12orf57,PTPN6,MIR200C,MIR141	LRRC23,ENO2,ATN1,EMG1,SCARNA12,PHB2	PTPN6	171	1
8_MACS_peak_9919_lociStitched	chr14	91781445	91800785	8	12489	21591.176	172	1	CCDC88C		GPR68	172	1
5_MACS_peak_16454_lociStitched	chr2	9679223	9697075	5	11574	30139.5316	173	1	ADAM17		ADAM17	173	1
3_MACS_peak_4131_lociStitched	chr10	45948346	45961294	3	12505	21089.7024	174	1	MARCH8		MARCH8	174	1
3_MACS_peak_7663_lociStitched	chr12	92528317	92541180	3	10560	36831.9142	175	1	BTG1		BTG1	175	1
5_MACS_peak_9705_lociStitched	chr14	74225085	74242370	5	12501	19452.539	176	1	C14orf43	PNMA1	C14orf43	176	1
4_MACS_peak_25859_lociStitched	chr5	95193219	95207296	4	11674	27792.2211	177	1	C5orf27	GLRX	C5orf27	177	1
6_MACS_peak_20730_lociStitched	chr22	24551509	24565566	6	11780	26133.3687	178	1	CABIN1	SUSD2	SUSD2	178	1
3_MACS_peak_18146_lociStitched	chr2	137132476	137143456	3	10806	33588.918	179	1			CXCR4	179	1
6_MACS_peak_14938_lociStitched	chr19	2616387	2632218	6	11463	28747.5129	180	1	GNG7		GNG7	180	1
8_MACS_peak_21077_lociStitched	chr22	39897202	39917505	8	12103	22396.2393	181	1	SMCR7L,ATF4	MGAT3,CACNA1I,RPS19BP1	SMCR7L	181	1
2_MACS_peak_7799_lociStitched	chr12	96791804	96803047	2	10717	33410.8231	182	1	CDK17		CDK17	182	1
3_MACS_peak_15442_lociStitched	chr19	16471681	16484567	3	11056	30999.8502	183	1	EPS15L1	KLF2	KLF2	183	1
4_MACS_peak_29582_lociStitched	chr7	47533399	47545180	4	11562	26821.8027	184	1	TNS3		TNS3	184	1
6_MACS_peak_21158_lociStitched	chr22	42141490	42154533	6	11902	22962.2015	185	1	MEI1	CCDC134	CCDC134	185	1
2_MACS_peak_14680_lociStitched	chr18	60798456	60811259	2	10981	30656.7835	186	1	BCL2		BCL2	186	1
4_MACS_peak_27252_lociStitched	chr6	25403490	25416036	4	12090	20462.526	187	1	LRRC16A		LRRC16A	187	1
4_MACS_peak_3058_lociStitched	chr1	205242740	205258569	4	11105	28859.4328	188	1		TMCC2,NUAK2	NUAK2	188	1
6_MACS_peak_18016_lociStitched	chr2	127413231	127428304	6	11645	24045.9569	189	1	GYPC		GYPC	189	1
6_MACS_peak_4864_lociStitched	chr10	112618010	112634234	6	10874	30488.1408	190	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	190	1
6_MACS_peak_147_lociStitched	chr1	8478942	8491374	6	11142	28295.232	191	1	RERE		RERE	191	1
11_MACS_peak_3985_lociStitched	chr10	24737810	24756635	11	12164	17573.1375	192	1	KIAA1217		MIR603	192	1
6_MACS_peak_9783_lociStitched	chr14	77490020	77508755	6	10981	29200.371	193	1	C14orf4		C14orf4	193	1
5_MACS_peak_13714_lociStitched	chr17	62192546	62210181	5	11050	28371.188	194	1	ERN1	SNORD104,SNORA76	ERN1	194	1
4_MACS_peak_1263_lociStitched	chr1	66736956	66750405	4	11376	25185.9423	195	1	PDE4B	PDE4B	PDE4B	195	1
4_MACS_peak_27932_lociStitched	chr6	52355390	52370232	4	10683	30636.8564	196	1	EFHC1,TRAM2		EFHC1	196	1
1_MACS_peak_1388_lociStitched	chr1	81769272	81780783	1	11512	23209.6293	197	1			LPHN2	197	1
6_MACS_peak_21463_lociStitched	chr3	10227487	10242073	6	11334	24591.996	198	1	IRAK2	VHL,TATDN2	IRAK2	198	1
7_MACS_peak_13555_lociStitched	chr17	55675029	55690385	7	11243	25027.2088	199	1	MSI2		MRPS23	199	1
7_MACS_peak_24928_lociStitched	chr4	153470995	153484523	7	11615	21184.848	200	1		DKFZP434I0714,FBXW7	DKFZP434I0714	200	1
8_MACS_peak_27918_lociStitched	chr6	50244700	50261337	8	11877	17751.679	201	1			DEFB112	201	1
3_MACS_peak_5943_lociStitched	chr11	69054389	69067185	3	10886	27821.0632	202	1	MYEOV		MYEOV	202	1
4_MACS_peak_31990_lociStitched	chr8	126648007	126661918	4	11063	26219.4528	203	1			TRIB1	203	1
3_MACS_peak_8831_lociStitched	chr13	50695542	50705494	3	9118	38446.5664	204	1	DLEU2	DLEU1,ST13P4	DLEU2	204	1
5_MACS_peak_14907_lociStitched	chr19	2255556	2271790	5	10517	30265.0462	205	1	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	205	1
2_MACS_peak_6354_lociStitched	chr11	115089091	115101080	2	8576	40411.3223	206	1	CADM1		CADM1	206	1
