GENE_ID	locusLine	bin_1_EJM.jin.bam
NM_022120	chr1(.):40230196-40242020	0.9803
NM_001198979	chr1(.):40854016-40893998	0.1211
NM_001198978	chr1(.):40835304-40893998	0.5843
NM_001198980	chr1(.):40857471-40893998	0.101
NM_022733	chr1(.):40834377-40893998	0.5757
NM_004073	chr1(.):45261035-45276667	0.9521
NM_001013632	chr1(.):45266585-45277957	1.0625
NM_001136537	chr1(.):45269153-45284801	0.9282
NR_001456	chr1(.):45238513-45248584	0.9621
NR_001457	chr1(.):45239061-45249130	0.9566
NM_153274	chr1(.):45244256-45258426	0.3414
NM_003738	chr1(.):45282937-45313616	0.3321
NM_001012	chr1(.):45236245-45249412	0.7633
NR_000024	chr1(.):45237163-45247261	0.9658
NR_000015	chr1(.):45236536-45246610	0.9416
NM_001262	chr1(.):51429366-51445306	3.096
NM_078626	chr1(.):51430641-51445309	3.3568
NM_001001933	chr1(.):75589118-75632218	0.6075
NM_006769	chr1(.):87789150-87819607	0.5266
NM_001127215	chr1(.):92935317-92954356	0.7745
NM_005263	chr1(.):92935317-92957433	0.6864
NM_001127216	chr1(.):92935317-92956628	0.7083
NM_004974	chr1(.):111140775-111153345	0.1318
NM_002232	chr1(.):111209309-111222655	1.4476
NR_034126	chr1(.):112136628-112155940	0.5743
NM_017709	chr1(.):118143603-118176011	2.134
NM_207418	chr1(.):143891451-143918143	0.731
NM_001002811	chr1(.):144885590-144937032	0.5918
NM_032305	chr1(.):145451235-145475387	1.3252
NM_202004	chr1(.):145408190-145422545	0.1234
NM_006472	chr1(.):145433461-145447628	1.745
NM_001039888	chr1(.):145465507-145480647	0.7562
NM_001161334	chr1(.):149749244-149788928	0.2341
NM_001034077	chr1(.):149799220-149809616	1.1584
NM_001005464	chr1(.):149807258-149817765	2.5578
NM_001040874	chr1(.):149808784-149819318	2.6075
NM_001123375	chr1(.):149779779-149790236	0.6531
NM_005850	chr1(.):149890210-149904702	0.4003
NM_016074	chr1(.):149866154-149877348	0.4729
NM_003528	chr1(.):149851009-149863232	1.9311
NM_003517	chr1(.):149853524-149863961	2.2444
NM_175065	chr1(.):149854018-149864466	2.2256
NM_014849	chr1(.):149869871-149894434	0.3086
NM_181873	chr1(.):149895542-149913266	0.4548
NM_001145862	chr1(.):149895542-149913791	0.4446
NR_036461	chr1(.):149816758-149827340	2.501
NM_001040874	chr1(.):149817627-149828161	2.4882
NM_001005464	chr1(.):149819180-149829687	2.4531
NM_001034077	chr1(.):149827329-149837725	1.2815
NM_019032	chr1(.):150516897-150538412	1.3807
NM_207046	chr1(.):150589598-150606609	0.6127
NR_036211	chr1(.):150519404-150529490	0.2735
NM_001197320	chr1(.):150542026-150557214	1.3166
NM_001163258	chr1(.):150964300-150985854	0.57
NM_181746	chr1(.):150932648-150952440	0.4489
NM_003568	chr1(.):150949498-150973114	0.2528
NM_001163260	chr1(.):150964300-150984273	0.6074
NM_001040217	chr1(.):150964300-150984385	0.6046
NM_138278	chr1(.):151004028-151025076	0.2811
NM_017860	chr1(.):151015258-151028871	0.4316
NM_006556	chr1(.):154892207-154914484	1.1417
NM_001130041	chr1(.):154929773-154951959	1.2062
NM_001130040	chr1(.):154929773-154948223	1.3352
NM_201398	chr1(.):154950769-154970587	0.3976
NM_015872	chr1(.):154970111-154995999	0.884
NM_018655	chr1(.):154961061-154971791	0.3189
NR_024163	chr1(.):154942117-154956725	1.321
NM_138300	chr1(.):154924501-154939258	1.7213
NR_036212	chr1(.):154943168-154953259	1.3965
NM_001162384	chr1(.):155911629-155953336	0.665
NM_181885	chr1(.):155906479-155917625	0.5637
NM_004723	chr1(.):155911629-155952966	0.6541
NM_014949	chr1(.):155877835-155909188	0.3589
NM_003145	chr1(.):155973838-155995758	0.2876
NM_005920	chr1(.):156428518-156475529	1.6519
NM_004494	chr1(.):156706898-156726543	1.3016
NM_001126051	chr1(.):156706898-156727024	1.2733
NM_001126050	chr1(.):156706898-156727240	1.2598
NM_030980	chr1(.):156687412-156702705	0.5167
NM_001878	chr1(.):156664407-156680375	0.1144
NM_001142560	chr1(.):156693262-156711752	0.7137
NM_145729	chr1(.):156702093-156715923	0.5902
NM_031281	chr1(.):157478166-157527310	0.5302
NM_001778	chr1(.):160643535-160686585	0.4917
NM_003037	chr1(.):160574890-160622081	0.2381
NM_001039711	chr1(.):161085768-161107478	0.5291
NM_016406	chr1(.):161118533-161133646	0.8703
NM_004550	chr1(.):161164104-161189184	0.4706
NM_000309	chr1(.):161131180-161146010	0.8345
NM_001643	chr1(.):161187082-161198418	0.4548
NM_003779	chr1(.):161136100-161152314	1.2766
NM_012475	chr1(.):161124253-161140516	0.8002
NM_001039712	chr1(.):161085768-161107256	0.5331
NM_032174	chr1(.):161190832-161205407	0.3565
NM_001166159	chr1(.):161166936-161189184	0.4879
NM_005099	chr1(.):161154537-161173845	1.0588
NM_004106	chr1(.):161180086-161194038	0.1198
NM_001162893	chr1(.):175121122-175167229	0.3532
NM_014656	chr1(.):175121122-175166949	0.3553
NR_033186	chr1(.):178506930-178523024	0.6343
NM_022371	chr1(.):179046111-179070129	1.0771
NM_017596	chr1(.):200933519-200997828	0.2729
NM_021633	chr1(.):202855229-202901371	0.2364
NM_138391	chr1(.):202971533-202998197	0.4545
NM_001079809	chr1(.):202971535-202997668	0.458
NR_036557	chr1(.):202950579-202981393	0.3623
NM_016243	chr1(.):202926000-202941404	1.0749
NM_001127687	chr1(.):202904960-202932700	0.2423
NM_015999	chr1(.):202904960-202932485	0.2424
NR_034150	chr1(.):203262885-203279453	2.3144
NM_006763	chr1(.):203269663-203283729	2.0523
NM_002023	chr1(.):203304751-203325289	0.1444
NR_003019	chr1(.):203693708-203703833	0.1753
NM_001136190	chr1(.):203729283-203750480	0.8693
NM_030952	chr1(.):205266190-205295883	0.3906
NM_001123168	chr1(.):206133910-206160074	0.7122
NM_006893	chr1(.):206759973-206790904	0.2207
NM_182665	chr1(.):206725491-206767616	1.119
NM_172361	chr1(.):207920382-207973861	0.336
NR_026817	chr1(.):207986723-208000941	1.6171
NR_029832	chr1(.):207970196-207980284	0.1638
NR_029518	chr1(.):207970787-207980868	0.2039
NR_002315	chr1(.):226245427-226264703	0.8438
NM_002107	chr1(.):226245420-226264703	0.8435
NM_002245	chr1(.):233744749-233813258	1.1069
NM_182972	chr1(.):234735014-234750271	2.4615
NR_033927	chr1(.):234760056-234775526	0.0582
NM_024080	chr2(.):234821042-234933166	0.2056
NM_134421	chr2(.):10438825-10572743	0.6295
NM_002149	chr2(.):10438039-10572743	0.627
NM_014600	chr2(.):31451879-31496260	0.7967
NM_020458	chr2(.):47163312-47308275	0.4622
NR_033872	chr2(.):70184394-70319147	0.4611
NM_002830	chr2(.):120512206-120740037	0.1225
NM_014900	chr2(.):165536257-165702928	0.2251
NM_015488	chr2(.):219130114-219216516	0.3427
NM_145693	chr2(.):11881739-11972533	0.7068
NM_183360	chr2(.):25595111-25901503	0.2543
NM_170672	chr2(.):33656415-33794798	0.3684
NM_005813	chr2(.):37472645-37549222	0.2767
NM_006449	chr2(.):37865742-37904326	0.5964
NM_005633	chr2(.):39203689-39352604	0.3098
NM_001083953	chr2(.):43452974-43828113	0.4029
NM_022065	chr2(.):43452974-43828185	0.4029
NM_178313	chr2(.):54780530-54894445	0.4876
NM_003128	chr2(.):54678453-54903583	0.3907
NM_022893	chr2(.):60679328-60785633	0.3366
NM_018014	chr2(.):60673301-60785633	0.3679
NR_036586	chr2(.):65123973-65164581	1.2219
NM_000945	chr2(.):68400988-68484651	0.3616
NM_004836	chr2(.):88851258-88932094	0.5391
NM_144563	chr2(.):88986175-89055452	0.7152
NM_004027	chr2(.):99056320-99212496	0.534
NM_001566	chr2(.):99056320-99203284	0.564
NM_003581	chr2(.):106356519-106515730	0.3471
NM_005721	chr2(.):114642536-114721167	0.3218
NM_183240	chr2(.):120184445-120201096	1.8507
NM_015282	chr2(.):122090351-122412052	0.1596
NM_001077269	chr2(.):175419301-175552627	0.4196
NR_024415	chr2(.):192537797-192558248	1.0645
NM_001031716	chr2(.):192537860-192558248	1.0668
NM_004226	chr2(.):196993306-197041336	0.4748
NM_001228	chr2(.):202093165-202157434	0.4905
NM_003879	chr2(.):201975889-202034003	1.5269
NM_001127184	chr2(.):201975815-202011323	2.3318
NM_173822	chr2(.):201833440-201941392	0.2503
NM_033358	chr2(.):202093165-202151638	0.5333
NM_003812	chr2(.):207303367-207487679	0.3513
NM_001167608	chr2(.):227695670-227868923	0.2126
NM_001137551	chr2(.):238595806-238695290	0.4075
NM_001137550	chr2(.):238531223-238695290	0.2919
NM_017844	chr2(.):241413838-241502405	0.1347
NM_001195381	chr2(.):241539824-241575676	0.0749
NM_005301	chr2(.):241559661-241575676	0.0949
NM_001037160	chr2(.):10191925-10225538	0.1233
NM_182626	chr2(.):10276508-10356856	0.0984
NM_001165931	chr2(.):10257694-10276546	1.5445
NM_001034	chr2(.):10257862-10276546	1.5563
NM_002997	chr2(.):20395557-20429927	2.3647
NM_001006946	chr2(.):20395557-20430194	2.3472
NM_004040	chr2(.):20641834-20654201	0.6252
NM_001145122	chr2(.):31390921-31445411	0.1923
NM_015376	chr2(.):33733941-33794798	0.201
NM_001139488	chr2(.):33696320-33794798	0.4815
NM_012413	chr2(.):37566752-37605465	1.3681
NM_006887	chr2(.):43444540-43458745	2.8519
NR_027251	chr2(.):43449349-43460994	2.3397
NM_001171507	chr2(.):47124008-47148251	0.2043
NM_001171506	chr2(.):47124008-47148007	0.2063
NM_001171508	chr2(.):47124008-47173994	0.4227
NR_002229	chr2(.):54751358-54761978	0.4726
NR_033837	chr2(.):64407212-64437619	0.3264
NM_017657	chr2(.):64746438-64825138	0.4131
NM_001193493	chr2(.):65210578-65256000	0.5422
NM_003038	chr2(.):65211494-65256000	0.5527
NM_015147	chr2(.):65278494-65319142	0.4953
NM_006196	chr2(.):70309584-70321334	3.3552
NR_024444	chr2(.):70346167-70357448	1.2276
NM_015425	chr2(.):86248450-86338278	0.5261
NR_026984	chr2(.):86242338-86255991	0.3547
NR_015424	chr2(.):89060418-89111109	0.4395
NR_026875	chr2(.):97158382-97178846	0.3466
NM_212481	chr2(.):97197463-97223371	1.4498
NM_006538	chr2(.):111873490-111931022	0.3141
NM_207002	chr2(.):111873490-111891423	0.816
NR_023343	chr2(.):122283455-122293585	1.5599
NM_003467	chr2(.):136866918-136880725	1.198
NM_001008540	chr2(.):136866918-136878813	1.3764
NM_004288	chr2(.):158266130-158305604	0.6181
NM_002610	chr2(.):173415778-173468862	0.5636
NM_001172712	chr2(.):174766186-174835430	0.3409
NM_001017371	chr2(.):174766186-174833947	0.3464
NM_003387	chr2(.):175419301-175504307	0.5539
NM_001463	chr2(.):183693004-183736498	0.3929
NM_139266	chr2(.):191835262-191883976	0.6467
NM_007315	chr2(.):191828761-191883976	0.5905
NM_002491	chr2(.):201931461-201955473	0.4229
NM_001127183	chr2(.):201978386-202033841	1.5931
NM_032974	chr2(.):202042620-202099110	0.3903
NM_033356	chr2(.):202120222-202157434	0.5152
NM_001080125	chr2(.):202117753-202157434	0.5014
NM_006139	chr2(.):204566197-204607557	0.7535
NM_152862	chr2(.):219076873-219124071	0.5508
NM_000634	chr2(.):219022567-219036716	0.0995
NM_001077194	chr2(.):219120737-219133582	0.2325
NM_005731	chr2(.):219077119-219124071	0.5535
NM_001087	chr2(.):219123851-219139893	0.4855
NM_182642	chr2(.):219259813-219274148	1.7157
NM_198559	chr2(.):219216578-219237817	0.131
NM_021198	chr2(.):219259477-219275664	1.5332
NM_000578	chr2(.):219241751-219266617	0.976
NR_029500	chr2(.):219262368-219272445	1.6799
NM_007127	chr2(.):219278837-219319248	0.1164
NM_025216	chr2(.):219740254-219763651	1.7939
NM_006522	chr2(.):219719545-219743954	0.2097
NM_005544	chr2(.):227591032-227668506	0.5373
NM_001099285	chr2(.):232568234-232583250	3.3709
NR_036052	chr2(.):232573023-232583105	2.2869
NM_004735	chr2(.):238595806-238679558	0.472
NM_023083	chr2(.):241521132-241543526	0.7596
NM_001033575	chr2(.):241494470-241508431	1.2962
NM_018226	chr2(.):241503103-241523143	1.2797
NM_053002	chr3(.):150799675-151159465	0.1619
NM_015576	chr3(.):55537335-56507391	0.1149
NM_003571	chr3(.):133113789-133199056	0.3688
NM_005862	chr3(.):136050998-136476245	0.1562
NM_001135095	chr3(.):171753343-172123492	0.287
NM_022763	chr3(.):171752417-172123492	0.287
NM_001134382	chr3(.):12933718-13119617	0.339
NM_024923	chr3(.):13352736-13466809	0.6161
NM_014869	chr3(.):12933718-13013960	0.1173
NM_144636	chr3(.):14148576-14171371	1.5422
NR_024046	chr3(.):47048031-47059957	0.432
NM_001128615	chr3(.):56756445-57118336	0.1916
NM_001185106	chr3(.):111388522-111570294	0.2104
NM_001134437	chr3(.):111446326-111700364	0.0846
NM_001009899	chr3(.):113362232-113420493	0.2086
NM_001690	chr3(.):113460865-113535905	0.3159
NM_020754	chr3(.):119008219-119143323	0.3861
NM_001001487	chr3(.):130608433-130740555	0.1714
NM_001199181	chr3(.):130564368-130727046	0.2979
NM_001199180	chr3(.):130564368-130740555	0.2828
NM_001199179	chr3(.):130607834-130727046	0.1789
NM_001001485	chr3(.):130607858-130740555	0.171
NM_001199184	chr3(.):130607904-130727046	0.179
NM_014382	chr3(.):130608291-130727046	0.1793
NM_001080412	chr3(.):141038054-141173632	1.7686
NM_173653	chr3(.):142979063-143572373	0.1407
NM_005067	chr3(.):150453909-150486263	0.6459
NM_024665	chr3(.):176733541-176920048	0.1782
NM_130446	chr3(.):183200318-183278499	0.6944
NM_173216	chr3(.):186643314-186801341	0.6033
NM_003032	chr3(.):186734664-186801341	0.67
NM_024334	chr3(.):14161439-14190180	1.0139
NM_181472	chr3(.):32428162-32501333	0.4712
NM_014240	chr3(.):45631322-45727755	0.274
NM_001295	chr3(.):46238199-46254832	1.4511
NM_001837	chr3(.):46278871-46313197	0.0812
NM_015175	chr3(.):47016172-47056193	0.753
NM_144716	chr3(.):46958219-47023270	0.3481
NM_199074	chr3(.):49052907-49065926	1.5957
NM_199073	chr3(.):49053617-49065926	1.6772
NM_177939	chr3(.):49022340-49049581	0.6161
NM_018031	chr3(.):49039636-49058386	0.9431
NM_000884	chr3(.):49056761-49071875	1.2849
NM_018114	chr3(.):49047434-49063467	1.2733
NM_199070	chr3(.):49054073-49065926	1.7337
NM_001009996	chr3(.):49047434-49061017	1.4464
NR_029690	chr3(.):49053050-49063142	1.947
NR_029948	chr3(.):49052580-49062667	1.9491
NM_003392	chr3(.):55494742-55526331	0.6944
NR_024615	chr3(.):55686242-55698497	1.4144
NM_145037	chr3(.):101493028-101552075	0.5179
NM_001134456	chr3(.):101493285-101552075	0.5197
NM_001005474	chr3(.):101541833-101584869	0.3511
NM_025146	chr3(.):113432840-113470096	0.5506
NM_175924	chr3(.):121701169-121746030	0.7657
NM_175862	chr3(.):121769220-121844983	0.3756
NM_006889	chr3(.):121791749-121844983	0.4886
NM_198490	chr3(.):128801417-128845619	1.1361
NM_000174	chr3(.):128774644-128786253	0.6388
NM_020701	chr3(.):128841258-128885073	0.4444
NM_020187	chr3(.):128992683-129029135	0.8154
NM_001006109	chr3(.):128992816-129029135	0.8168
NM_006026	chr3(.):129028613-129040120	2.6358
NR_026991	chr3(.):129030113-129048412	1.496
NR_027898	chr3(.):129926662-129997649	0.0857
NM_001145417	chr3(.):135862759-135918310	0.6779
NM_018133	chr3(.):135862759-135919688	0.664
NM_173552	chr3(.):143685639-143716210	0.7303
NM_001134470	chr3(.):143687166-143716210	0.7652
NM_014779	chr3(.):150121787-150182615	0.3729
NM_002886	chr3(.):152875028-152891263	1.8092
NR_034008	chr3(.):156802669-156823924	2.3907
NR_034007	chr3(.):156794455-156845791	1.3207
NM_020307	chr3(.):156860585-156883482	0.8421
NM_014373	chr3(.):169750734-169808183	0.6256
NM_005781	chr3(.):195585235-195640880	0.4424
NM_001010938	chr3(.):195585235-195627432	0.1911
NM_014687	chr3(.):197393258-197468773	0.2833
NM_001145642	chr3(.):197393313-197481568	0.3374
NR_027840	chr3(.):197472260-197516317	0.2364
NM_032288	chr3(.):197471623-197516317	0.2337
NM_001011537	chr3(.):197471423-197516317	0.233
NM_018401	chr4(.):5048526-5507725	0.0846
NM_201431	chr4(.):74433861-74491340	0.7832
NM_177532	chr4(.):74433861-74491134	0.7859
NM_144571	chr4(.):78629540-78745544	0.1704
NM_001101669	chr4(.):142944181-143772604	0.0645
NM_018177	chr4(.):40053523-40162019	0.2107
NM_025009	chr4(.):56810036-56904527	0.2827
NM_002703	chr4(.):57254528-57306845	0.4071
NM_001130715	chr4(.):84010306-84040911	0.4791
NM_001130716	chr4(.):84006210-84036012	0.4694
NM_016619	chr4(.):84006210-84040911	0.4315
NM_002039	chr4(.):144252982-144400718	0.2845
NM_153343	chr4(.):185004858-185144114	0.0558
NM_002199	chr4(.):185303875-185400726	0.7776
NM_018659	chr4(.):5011313-5026197	0.2925
NM_018986	chr4(.):8196059-8247830	0.5698
NM_053044	chr4(.):8266488-8313838	0.075
NM_182485	chr4(.):14999297-15076777	0.2112
NR_027277	chr4(.):40039536-40063819	0.7056
NM_181806	chr4(.):57199456-57258638	0.2109
NM_001079525	chr4(.):57297268-57332534	0.5285
NM_006947	chr4(.):57328761-57374847	0.2419
NM_006452	chr4(.):57296914-57332534	0.5245
NM_000938	chr4(.):57840108-57902334	0.3254
NM_032313	chr4(.):57824515-57848826	0.705
NM_017426	chr4(.):77030816-77074655	0.1207
NM_005506	chr4(.):77074893-77140035	0.3966
NM_020236	chr4(.):78778804-78878944	0.0895
NM_025212	chr4(.):105388342-105417467	0.6711
NM_002372	chr5(.):109020155-109208429	0.2708
NM_015071	chr5(.):142145291-142613572	0.3436
NM_015315	chr5(.):154087461-154202163	0.303
NM_004394	chr5(.):10674341-10766387	0.3453
NM_007118	chr5(.):14138828-14514458	0.1429
NM_024669	chr5(.):55390506-55534186	0.8104
NR_027435	chr5(.):90671163-90721532	0.3753
NM_002064	chr5(.):95144552-95163577	1.2535
NM_012081	chr5(.):95215801-95302775	0.61
NM_005575	chr5(.):96266345-96370115	0.2207
NM_175920	chr5(.):96289155-96370115	0.0605
NM_001038702	chr5(.):130594701-130735382	0.2505
NM_015082	chr5(.):132527151-132953223	0.1299
NM_018924	chr5(.):140744961-140897546	0.2263
NM_018922	chr5(.):140724827-140897546	0.2131
NM_018915	chr5(.):140713353-140897546	0.2086
NM_018916	chr5(.):140718600-140897546	0.2119
NM_018912	chr5(.):140705251-140897546	0.2073
NM_003736	chr5(.):140762451-140897546	0.2482
NM_018923	chr5(.):140734702-140897546	0.2225
NM_018920	chr5(.):140757466-140897546	0.2405
NM_018918	chr5(.):140738897-140897546	0.2216
NM_018917	chr5(.):140729767-140897546	0.2184
NM_018919	chr5(.):140748650-140897546	0.2315
NM_001020825	chr5(.):142652495-142788254	0.3276
NM_001018076	chr5(.):142652495-142789045	0.326
NM_001018075	chr5(.):142652495-142820077	0.2751
NM_015621	chr5(.):150555612-150608654	0.65
NM_005990	chr5(.):171464073-171620346	0.2512
NM_001031711	chr5(.):172256222-172384688	0.2205
NM_001167579	chr5(.):176806431-176822514	0.1402
NM_022455	chr5(.):176555832-176732214	0.323
NM_001190946	chr5(.):176941789-176986548	0.3196
NM_172349	chr5(.):176555079-176732214	0.3222
NM_052909	chr5(.):135372-195087	0.3728
NM_145265	chr5(.):199874-223297	0.6917
NM_001080478	chr5(.):186625-200468	1.2508
NM_004168	chr5(.):213355-261814	0.393
NM_001193376	chr5(.):1248286-1300162	0.2155
NM_030782	chr5(.):1312999-1350002	1.7377
NM_001145161	chr5(.):6443735-6501834	0.4876
NM_022130	chr5(.):32119823-32179425	0.4888
NM_006713	chr5(.):32580604-32609185	0.8849
NM_001190469	chr5(.):37807778-37840929	0.6315
NM_199231	chr5(.):37807778-37840593	0.6199
NM_000514	chr5(.):37807778-37844782	0.593
NR_034127	chr5(.):43060288-43072073	1.8708
NM_001014279	chr5(.):43034181-43045447	2.3601
NR_034085	chr5(.):43011149-43023913	1.3305
NR_015447	chr5(.):43037235-43050370	2.0233
NR_034086	chr5(.):43009830-43023913	1.285
NM_002184	chr5(.):55225924-55295821	0.701
NM_005921	chr5(.):56105899-56196978	0.2577
NM_005582	chr5(.):66473103-66497617	0.8848
NM_020801	chr5(.):90659540-90684149	0.6987
NR_026936	chr5(.):95182935-95200836	0.0866
NM_005668	chr5(.):100137638-100243987	0.3149
NM_175052	chr5(.):100216014-100243970	0.7073
NR_036052	chr5(.):118305280-118315362	0.0586
NM_005573	chr5(.):126107314-126177712	0.3404
NM_001198557	chr5(.):126107844-126177712	0.3422
NM_016480	chr5(.):138672518-138710409	0.2223
NM_194296	chr5(.):138727455-138744776	0.6981
NM_152686	chr5(.):138740891-138780214	0.1555
NM_152685	chr5(.):138697884-138724039	0.2768
NM_001033112	chr5(.):138673133-138710409	0.2251
NM_001161546	chr5(.):138722634-138735885	1.9561
NM_016459	chr5(.):138718256-138730605	2.1865
NM_016463	chr5(.):139023300-139067680	0.7225
NM_032088	chr5(.):140766482-140897546	0.254
NM_032406	chr5(.):140859740-140872356	0.0465
NM_032407	chr5(.):140863807-140876444	0.0669
NM_018925	chr5(.):140772694-140897546	0.2613
NM_032092	chr5(.):140795536-140897546	0.2999
NM_003735	chr5(.):140805157-140897546	0.3283
NM_018921	chr5(.):140777519-140897546	0.2681
NM_018929	chr5(.):140863807-140897546	0.7397
NM_018913	chr5(.):140787742-140897546	0.2855
NM_002588	chr5(.):140850568-140897546	0.602
NM_018926	chr5(.):140782769-140897546	0.2736
NM_018928	chr5(.):140859740-140897546	0.6644
NM_018927	chr5(.):140792281-140897546	0.2955
NM_000024	chr5(.):148201155-148213197	1.5
NM_000405	chr5(.):150627612-150654953	0.3246
NM_001195556	chr5(.):157207750-157291183	0.4362
NM_002187	chr5(.):158736790-158762481	0.388
NM_001142556	chr5(.):162882516-162923953	0.3563
NM_145266	chr5(.):162875585-162892143	0.8016
NM_182796	chr5(.):162925230-162951328	0.4649
NM_013283	chr5(.):162927584-162951328	0.5027
NM_001171183	chr5(.):171616175-171635458	0.0619
NM_030627	chr5(.):173310330-173392313	0.9005
NM_001031677	chr5(.):176723198-176735744	1.7081
NM_006480	chr5(.):176779843-176804599	0.5632
NM_006816	chr5(.):176753562-176783885	0.3698
NM_031300	chr5(.):176729205-176744292	2.1387
NM_001142935	chr5(.):176727500-176744292	2.1987
NM_013237	chr5(.):176725834-176738950	2.2088
NM_002082	chr5(.):176848686-176874850	1.5674
NM_203352	chr5(.):176905394-176929602	0.3878
NM_030567	chr5(.):176868795-176888287	0.7481
NM_000505	chr5(.):176824138-176841577	0.9168
NM_080881	chr5(.):176878613-176904871	0.4528
NM_024872	chr5(.):176925750-176941858	1.9335
NM_016222	chr5(.):176933577-176948967	2.3563
NM_004395	chr5(.):176878613-176905694	0.4431
NM_001004105	chr5(.):176848686-176873354	1.5287
NM_001174102	chr5(.):176870325-176888283	0.794
NM_001029886	chr5(.):176822107-176832637	0.8947
NM_001144876	chr5(.):176923905-176942427	1.8267
NM_173663	chr5(.):177145364-177212505	0.2764
NR_031598	chr5(.):179220277-179230346	0.469
NM_145867	chr5(.):179215985-179228513	0.396
NM_003900	chr5(.):179242841-179270077	1.0742
NM_016175	chr5(.):179259265-179290840	0.2318
NM_054013	chr5(.):179219597-179234875	0.661
NM_014275	chr5(.):179219597-179238952	0.5613
NM_001142298	chr5(.):179228387-179270077	0.8675
NM_001142299	chr5(.):179229002-179270077	0.8791
NM_006098	chr5(.):180658927-180675906	1.2285
