REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
4_MACS_peak_22281_lociStitched	chr7	102063734	102093114	4	20371	116277.226	4944.654	24	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.8953000000000002	24	1
4_MACS_peak_5857_lociStitched	chr12	109009616	109036287	4	20442	116477.5912	5448.8853	25	SELPLG	TMEM119	SELPLG	SELPLG	4.7722	25	1
3_MACS_peak_1505_lociStitched	chr1	156115350	156143788	3	22359	116902.9304	7308.566	26	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.9185	26	1
7_MACS_peak_7175_lociStitched	chr14	91829533	91885799	7	44071	111913.074	5744.7586	27	CCDC88C		CCDC88C	CCDC88C	0.8388	27	1
1_MACS_peak_11242_lociStitched	chr19	2606679	2612138	1	5460	106998.0377	1452.6399	28	GNG7		GNG7	GNG7	1.068	28	1
2_MACS_peak_22697_lociStitched	chr7	150063762	150084708	2	20158	106181.5578	5554.8792	29	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	2.6666000000000003	29	1
1_MACS_peak_20921_lociStitched	chr6	106531150	106555848	1	24699	105848.2186	5352.0566	30	PRDM1		PRDM1	PRDM1	2.9905999999999997	30	1
1_MACS_peak_3392_lociStitched	chr10	112112806	112119245	1	6440	100467.717	1864.7344	31		SMNDC1	SMNDC1	SMNDC1	0.1706	31	1
2_MACS_peak_11217_lociStitched	chr19	2081562	2098274	2	14673	101196.1736	4916.6704	32	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.7596000000000003	32	1
5_MACS_peak_1193_lociStitched	chr1	118195116	118219363	5	18804	95496.8095	2873.2695	33		FAM46C	FAM46C	FAM46C	3.7196	33	1
3_MACS_peak_7324_lociStitched	chr14	106145145	106169178	3	19858	92555.8896	2470.5924	34			TMEM121	TMEM121	0.08789999999999999	34	1
3_MACS_peak_11833_lociStitched	chr19	39880682	39904105	3	18276	93991.8144	4129.4749	35	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	5.473199999999999	35	1
1_MACS_peak_10029_lociStitched	chr17	43298145	43308471	1	10327	91117.6566	2379.1104	36	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.7255	36	1
6_MACS_peak_9811_lociStitched	chr17	34509445	34539758	6	25354	95270.7277	7075.0542	37	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.6202	37	1
9_MACS_peak_9818_lociStitched	chr17	34597798	34641284	9	33756	97304.2736	9666.9378	38	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	38	1
1_MACS_peak_5030_lociStitched	chr12	12866401	12880581	1	14181	88108.848	2636.062	39	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.6872	39	1
1_MACS_peak_6628_lociStitched	chr13	114556480	114568124	1	11645	87603.634	2993.6724	40	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.6633	40	1
2_MACS_peak_18076_lociStitched	chr4	90205068	90230177	2	22856	89192.1898	4956.5166	41	GPRIN3		GPRIN3	GPRIN3	1.1593	41	1
1_MACS_peak_207_lociStitched	chr1	16991933	16994570	1	2638	85233.114	1580.0904	42		MST1P2,CROCCP2	MST1P2	MST1P2	1.0992	42	1
2_MACS_peak_208_lociStitched	chr1	17065980	17075542	2	4114	86278.8822	3536.0276	43		ESPNP,MST1P9	MST1P9	NONE	NONE	43	1
7_MACS_peak_14529_lociStitched	chr20	32398716	32448793	7	35000	91500.6944	8928.7291	44	CHMP4B		CHMP4B	CHMP4B	1.3515000000000001	44	1
3_MACS_peak_2339_lociStitched	chr1	234734133	234749810	3	11734	85599.5554	4110.5094	45	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	5.2609	45	1
3_MACS_peak_8550_lociStitched	chr16	12052494	12071980	3	12377	84584.8288	3604.91	46	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	5.928599999999999	46	1
1_MACS_peak_20196_lociStitched	chr6	25402996	25415096	1	12101	83534.77	2681.36	47	LRRC16A		LRRC16A	LRRC16A	0.31070000000000003	47	1
1_MACS_peak_12525_lociStitched	chr2	37529788	37553610	1	23823	84256.0318	3711.4676	48	PRKD3	QPCT	PRKD3	QPCT	2.1113999999999997	48	1
1_MACS_peak_4888_lociStitched	chr12	4224471	4229715	1	5245	82051.2948	1572.1512	49			CCND2	CCND2	1.1109	49	1
1_MACS_peak_12323_lociStitched	chr2	11883577	11898177	1	14601	82744.04	3121.48	50	LPIN1		LPIN1	LPIN1	0.8930999999999999	50	1
2_MACS_peak_13250_lociStitched	chr2	112455763	112465461	2	9553	79705.9224	2253.8152	51			ANAPC1	ANAPC1	NONE	51	1
2_MACS_peak_12857_lociStitched	chr2	70310168	70323291	2	8161	79314.0997	2372.6384	52	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	6.469	52	1
1_MACS_peak_14680_lociStitched	chr20	42695455	42700464	1	5010	77121.0685	1120.0124	53	TOX2		JPH2	JPH2	NONE	53	1
3_MACS_peak_10220_lociStitched	chr17	56405504	56431043	3	18954	80948.4144	5202.2943	54	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	2.6732	54	1
1_MACS_peak_11057_lociStitched	chr18	60822027	60831149	1	9123	77734.9474	2219.3826	55	BCL2		BCL2	BCL2	0.5245000000000001	55	1
1_MACS_peak_420_lociStitched	chr1	31213663	31231492	1	17830	78659.7651	3745.8729	56	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.153	56	1
2_MACS_peak_18689_lociStitched	chr5	6475744	6487176	2	10115	76361.1872	2207.5192	57	UBE2QL1		UBE2QL1	UBE2QL1	1.5888	57	1
6_MACS_peak_13077_lociStitched	chr2	97190741	97220594	6	17812	79155.2295	5027.2452	58	ARID5A	NEURL3	ARID5A	ARID5A	1.7995	58	1
2_MACS_peak_16273_lociStitched	chr3	46578350	46589450	2	6971	75804.12	1941.39	59	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.2189	59	1
7_MACS_peak_4938_lociStitched	chr12	7045544	7085774	7	25773	79659.423	6991.974	60	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	2.1858	60	1
4_MACS_peak_10932_lociStitched	chr18	46440413	46479967	4	34921	79147.554	6894.2622	61	SMAD7		SMAD7	SMAD7	1.7355999999999998	61	1
8_MACS_peak_20616_lociStitched	chr6	52392870	52442985	8	33211	80018.6205	9010.677	62	TRAM2		TRAM2	TRAM2	0.9732000000000001	62	1
4_MACS_peak_11589_lociStitched	chr19	16694080	16717001	4	14255	75121.2854	4148.701	63	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.2132	63	1
2_MACS_peak_12361_lociStitched	chr2	20404830	20426251	2	21176	74716.448	4012.1533	64	SDC1		SDC1	SDC1	2.073	64	1
1_MACS_peak_15460_lociStitched	chr22	29186029	29199412	1	13384	73159.5078	2823.813	65	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.3994	65	1
1_MACS_peak_21902_lociStitched	chr7	55598839	55605960	1	7122	71808.164	1852.8842	66	VOPP1		VOPP1	VOPP1	1.3365	66	1
1_MACS_peak_14635_lociStitched	chr20	37498387	37505730	1	7344	71382.7716	1982.61	67	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0493	67	1
1_MACS_peak_13853_lociStitched	chr2	201979953	201994806	1	14854	72638.5965	3251.3217	68	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.2392	68	1
4_MACS_peak_15979_lociStitched	chr3	13035641	13061600	4	17109	74016.8967	4745.3052	69	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3822	69	1
1_MACS_peak_4175_lociStitched	chr11	65263573	65279009	1	15437	71439.3516	3544.1056	70	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.6402	70	1
1_MACS_peak_2244_lociStitched	chr1	226840074	226852632	1	12559	70652.5638	3675.7266	71	ITPKB		ITPKB	ITPKB	0.7577	71	1
2_MACS_peak_1363_lociStitched	chr1	150532142	150553040	2	16611	72394.8516	6396.8778	72	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.8975	72	1
3_MACS_peak_15156_lociStitched	chr21	41324759	41344782	3	19922	70977.5304	5912.7919	73			PCP4	PCP4	0.17930000000000001	73	1
2_MACS_peak_10723_lociStitched	chr18	9060649	9074455	2	11664	68026.3038	2969.6706	74		NDUFV2	NDUFV2	NDUFV2	1.7288	74	1
2_MACS_peak_10502_lociStitched	chr17	75131289	75145955	2	12113	67353.605	2880.4024	75	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.4766	75	1
7_MACS_peak_17309_lociStitched	chr3	183224594	183260949	7	22302	72564.58	8754.284	76	KLHL6		KLHL6	KLHL6	1.1562000000000001	76	1
2_MACS_peak_4639_lociStitched	chr11	115091018	115102238	2	7854	65061.414	1914.132	77	CADM1		CADM1	CADM1	0.2724	77	1
1_MACS_peak_8679_lociStitched	chr16	23344405	23350494	1	6090	64865.5081	1868.1052	78	SCNN1B		SCNN1B	SCNN1B	0.8987999999999999	78	1
1_MACS_peak_22314_lociStitched	chr7	104651435	104657936	1	6502	64229.2299	1377.5619	79	MLL5,LOC100216545		MLL5	MLL5	0.5706	79	1
2_MACS_peak_19429_lociStitched	chr5	131744997	131767494	2	19441	66847.5858	4337.4216	80	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.4568	80	1
1_MACS_peak_21452_lociStitched	chr7	2393081	2396222	1	3142	62984.5884	526.1175	81	EIF3B	CHST12,SNX8	EIF3B	EIF3B	1.7313	81	1
5_MACS_peak_9770_lociStitched	chr17	32690742	32719642	5	21725	67932.34	5881.15	82		CCL8,CCL13,CCL1	CCL1	CCL1	0.5571	82	1
4_MACS_peak_1339_lociStitched	chr1	149802838	149834015	4	15911	70425.7253	8424.0254	83	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	2.3358	83	1
4_MACS_peak_8945_lociStitched	chr16	56963466	56985916	4	21112	66335.26	4501.225	84	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.7355	84	1
2_MACS_peak_4767_lociStitched	chr11	126056982	126068953	2	6724	63379.2624	2164.3568	85		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.5154000000000001	85	1
1_MACS_peak_20388_lociStitched	chr6	32935066	32942746	1	7681	63032.064	1837.056	86	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.7136	86	1
5_MACS_peak_3490_lociStitched	chr10	125822131	125854594	5	25105	66571.8741	5911.5123	87	CHST15		CHST15	CHST15	0.6969	87	1
7_MACS_peak_7447_lociStitched	chr15	31616842	31660415	7	28660	67756.015	7289.7629	88	KLF13		KLF13	KLF13	0.9950000000000001	88	1
1_MACS_peak_17774_lociStitched	chr4	40191282	40209793	1	18512	63211.3628	3668.8802	89	RHOH		RHOH	RHOH	1.0159	89	1
2_MACS_peak_3820_lociStitched	chr11	22677457	22703649	2	20588	62460.0624	3881.6544	90	GAS2	FANCF	GAS2	FANCF	0.657	90	1
2_MACS_peak_11243_lociStitched	chr19	2618285	2628885	2	7665	60550.38	2812.18	91	GNG7		GNG7	GNG7	1.068	91	1
1_MACS_peak_15177_lociStitched	chr21	43480642	43486480	1	5839	59727.4104	2203.845	92	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	UMODL1	0.7859	92	1
2_MACS_peak_2011_lociStitched	chr1	206282060	206295357	2	10094	61097.0556	3595.5088	93	C1orf186	CTSE	C1orf186	C1orf186	1.0192	93	1
3_MACS_peak_1517_lociStitched	chr1	156450393	156476076	3	20456	64274.2758	6993.4809	94	MEF2D		MEF2D	MEF2D	1.2234	94	1
2_MACS_peak_8998_lociStitched	chr16	66549388	66560111	2	9847	59094.453	2406.2412	95	TK2	CKLF,CMTM1	TK2	TK2	1.3	95	1
2_MACS_peak_8943_lociStitched	chr16	56943577	56952609	2	6841	58414.46	1814.5288	96	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	2.7355	96	1
2_MACS_peak_1434_lociStitched	chr1	154374548	154394444	2	16442	61412.9832	4844.676	97	IL6R		IL6R	IL6R	0.8104	97	1
4_MACS_peak_12526_lociStitched	chr2	37559899	37586416	4	19704	60485.277	4340.8329	98	QPCT	PRKD3	QPCT	QPCT	2.1113999999999997	98	1
2_MACS_peak_7445_lociStitched	chr15	31546748	31560731	2	9552	57535.8501	2602.2363	99			KLF13	KLF13	0.9950000000000001	99	1
5_MACS_peak_11565_lociStitched	chr19	16243642	16272800	5	18506	59345.2774	4831.4806	100	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.5814	100	1
1_MACS_peak_4005_lociStitched	chr11	58340008	58348032	1	8025	56165.5928	1815.0288	101	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.9568	101	1
2_MACS_peak_5855_lociStitched	chr12	108952959	108970562	2	13863	57774.8063	3832.1731	102	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.1512	102	1
2_MACS_peak_20078_lociStitched	chr6	11827924	11836630	2	8593	55808.9424	1907.4846	103		C6orf105	C6orf105	C6orf105	0.16119999999999998	103	1
3_MACS_peak_22307_lociStitched	chr7	104576334	104586744	3	7840	56042.235	2367.234	104		LOC723809	LOC723809	LOC723809	0.175	104	1
3_MACS_peak_1955_lociStitched	chr1	203267033	203281515	3	13117	57618.0852	3994.1356	105	BTG2,LOC730227	FMOD	LOC730227	LOC730227	3.1843	105	1
1_MACS_peak_4346_lociStitched	chr11	72862098	72869561	1	7464	55150.0774	1973.2172	106		FCHSD2	FCHSD2	FCHSD2	0.07490000000000001	106	1
4_MACS_peak_18651_lociStitched	chr5	1327002	1346291	4	13273	56468.5475	3852.0133	107	CLPTM1L	TERT	CLPTM1L	CLPTM1L	5.820399999999999	107	1
3_MACS_peak_7905_lociStitched	chr15	68568863	68599445	3	25568	57570.615	5241.7548	108	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.5631	108	1
8_MACS_peak_9055_lociStitched	chr16	68269948	68320735	8	28804	60644.7567	8323.9893	109	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.5296000000000001	109	1
4_MACS_peak_284_lociStitched	chr1	24512325	24533646	4	13665	55856.7558	3933.7245	110	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.3276	110	1
3_MACS_peak_3332_lociStitched	chr10	104531400	104543105	3	10208	54327.587	2452.1975	111	C10orf26		C10orf26	C10orf26	0.8393999999999999	111	1
1_MACS_peak_14108_lociStitched	chr2	232687019	232714800	1	27782	55136.9507	3355.9448	112		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0931	112	1
2_MACS_peak_1324_lociStitched	chr1	149214120	149225616	2	5750	55375.0824	4142.0088	113			LOC388692	LOC388692	NONE	113	1
3_MACS_peak_4318_lociStitched	chr11	71413877	71426819	3	10506	53609.6466	2404.6236	114			FAM86C	FAM86C	NONE	114	1
4_MACS_peak_12793_lociStitched	chr2	65157111	65178609	4	12776	55133.7708	4230.8064	115	LOC400958	SLC1A4	LOC400958	LOC400958	1.0003	115	1
1_MACS_peak_18552_lociStitched	chr4	185302135	185307866	1	5732	52201.9597	1405.8143	116			IRF2	IRF2	1.1955	116	1
2_MACS_peak_18545_lociStitched	chr4	185201325	185210918	2	8413	52650.2212	1992.4661	117			ENPP6	ENPP6	NONE	117	1
1_MACS_peak_1958_lociStitched	chr1	203288485	203298039	1	9555	53710.6772	3077.3434	118		BTG2,LOC730227,FMOD	BTG2	LOC730227	3.1843	118	1
1_MACS_peak_9886_lociStitched	chr17	37909411	37916443	1	7033	52254.0888	1732.6848	119		GRB7,C17orf37	GRB7	C17orf37	0.2976	119	1
2_MACS_peak_10726_lociStitched	chr18	9101706	9123262	2	21466	54159.45	3843.4348	120	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.7288	120	1
2_MACS_peak_9911_lociStitched	chr17	38465698	38483984	2	17477	53612.7234	3604.1706	121	RARA	CDC6,RARA,GJD3	RARA	RARA	0.8884	121	1
6_MACS_peak_15607_lociStitched	chr22	37611201	37642124	6	23311	55407.8314	5411.525	122	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.1051	122	1
4_MACS_peak_2549_lociStitched	chr10	11278973	11304333	4	22112	54569.648	5049.176	123	CELF2		CELF2	CELF2	0.6082	123	1
4_MACS_peak_15919_lociStitched	chr3	5222657	5256288	4	24114	54388.0532	5522.2102	124	EDEM1		EDEM1	EDEM1	1.0917000000000001	124	1
4_MACS_peak_1977_lociStitched	chr1	204474826	204491869	4	11318	53114.5095	4345.965	125	MDM4	PIK3C2B	MDM4	MDM4	0.7510000000000001	125	1
3_MACS_peak_16932_lociStitched	chr3	133181752	133200455	3	13772	52302.9395	3538.6076	126	BFSP2		BFSP2	BFSP2	0.6102000000000001	126	1
2_MACS_peak_2272_lociStitched	chr1	228666159	228676411	2	4825	49903.6604	2083.2064	127	RNF187	HIST3H2BB,HIST3H2A	RNF187	RNF187	2.352	127	1
3_MACS_peak_12576_lociStitched	chr2	42323395	42334457	3	9645	49470.3702	1917.0446	128		PKDCC	PKDCC	NONE	NONE	128	1
1_MACS_peak_2731_lociStitched	chr10	30989283	30996853	1	7571	49013.479	1500.374	129			LYZL2	LYZL2	NONE	129	1
2_MACS_peak_14536_lociStitched	chr20	32462000	32473666	2	7917	49590.9994	2218.8732	130			CHMP4B	CHMP4B	1.3515000000000001	130	1
7_MACS_peak_10297_lociStitched	chr17	62150221	62186665	7	24726	53733.0336	6461.5212	131	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.7841	131	1
2_MACS_peak_17385_lociStitched	chr3	186779923	186792356	2	8467	51010.1124	3753.5227	132	ST6GAL1		ST6GAL1	ST6GAL1	0.5911	132	1
4_MACS_peak_9806_lociStitched	chr17	34409070	34432849	4	16895	51550.4941	4810.4917	133	CCL4,CCL3	CCL18	CCL3	CCL3	2.9542	133	1
5_MACS_peak_20951_lociStitched	chr6	108878190	108920963	5	36493	53145.4525	6492.9414	134	FOXO3		FOXO3	FOXO3	0.6377	134	1
5_MACS_peak_7559_lociStitched	chr15	40834310	40862585	5	15691	50906.31	4846.335	135	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.191	135	1
1_MACS_peak_21662_lociStitched	chr7	26002656	26009555	1	6900	47836.2862	1805.4683	136		MIR148A	MIR148A	MIR148A	1.9655999999999998	136	1
1_MACS_peak_12592_lociStitched	chr2	43444242	43456949	1	12708	48511.5139	2592.228	137	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	3.2273	137	1
2_MACS_peak_3398_lociStitched	chr10	112216476	112225765	2	7468	47764.9669	1885.667	138		DUSP5	DUSP5	DUSP5	1.112	138	1
2_MACS_peak_9455_lociStitched	chr17	6914974	6926133	2	6964	47133.3842	1934.9706	139	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	MIR195	2.8821000000000003	139	1
2_MACS_peak_5118_lociStitched	chr12	26265823	26280374	2	13870	47749.1065	2681.7493	140	BHLHE41		BHLHE41	BHLHE41	2.3978	140	1
3_MACS_peak_14914_lociStitched	chr20	61272865	61291141	3	11782	47565.1176	2591.5368	141	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	1.1229999999999998	141	1
2_MACS_peak_22699_lociStitched	chr7	150100828	150113628	2	7668	48021.76	3368.96	142	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	4.3119	142	1
1_MACS_peak_23031_lociStitched	chr8	29629732	29634172	1	4441	46057.896	1431.9	143		C8orf75	C8orf75	C8orf75	0.1599	143	1
1_MACS_peak_14909_lociStitched	chr20	60911216	60916939	1	5724	45614.0269	1143.4554	144	LAMA5	ADRM1,RPS21	LAMA5	RPS21	0.9146000000000001	144	1
5_MACS_peak_23549_lociStitched	chr8	120916702	120947594	5	19746	48969.9984	4568.9268	145	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.355	145	1
1_MACS_peak_1954_lociStitched	chr1	203255445	203260955	1	5511	46507.155	2143.941	146		BTG2,LOC730227	LOC730227	LOC730227	3.1843	146	1
2_MACS_peak_2058_lociStitched	chr1	209275666	209284400	2	8118	46705.9384	2511.8984	147			LOC642587	LOC642587	NONE	147	1
1_MACS_peak_4893_lociStitched	chr12	4377636	4388077	1	10442	46016.6193	1869.9831	148	CCND2	C12orf5	CCND2	CCND2	1.1109	148	1
1_MACS_peak_6633_lociStitched	chr13	114789325	114794610	1	5286	45359.5695	1286.369	149	RASA3		RASA3	RASA3	1.4604	149	1
1_MACS_peak_17429_lociStitched	chr3	193817928	193823143	1	5216	46057.3155	2006.2105	150		HES1	HES1	HES1	1.4425	150	1
4_MACS_peak_15694_lociStitched	chr22	39823045	39845736	4	12082	47451.4192	3803.0116	151	TAB1	MGAT3	MGAT3	MGAT3	0.31020000000000003	151	1
1_MACS_peak_4813_lociStitched	chr11	129871119	129874419	1	3301	44406.45	785.73	152	NCRNA00167,PRDM10		PRDM10	PRDM10	0.3607	152	1
2_MACS_peak_22397_lociStitched	chr7	114561744	114573695	2	8040	46414.0987	3021.2128	153	MDFIC		MDFIC	MDFIC	1.1593	153	1
2_MACS_peak_11760_lociStitched	chr19	35695435	35706014	2	7799	45445.2682	2135.9001	154		FXYD5,LSR,FAM187B	FAM187B	LSR	1.086	154	1
1_MACS_peak_17221_lociStitched	chr3	174866199	174870896	1	4698	44490.9234	1542.0251	155	NAALADL2		NAALADL2	NAALADL2	0.016100000000000003	155	1
1_MACS_peak_7330_lociStitched	chr14	106323790	106329587	1	5798	43440.9789	648.1046	156			KIAA0125	KIAA0125	NONE	156	1
1_MACS_peak_14254_lociStitched	chr20	2081587	2084861	1	3275	43309.4542	651.8534	157	STK35		STK35	STK35	0.7317	157	1
1_MACS_peak_7856_lociStitched	chr15	65183409	65189223	1	5815	43930.584	1305.243	158		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.13069999999999998	158	1
6_MACS_peak_21903_lociStitched	chr7	55616414	55642757	6	21565	47232.999	4860.2835	159	VOPP1		VOPP1	VOPP1	1.3365	159	1
1_MACS_peak_11241_lociStitched	chr19	2594963	2600561	1	5599	44126.235	1809.2736	160	GNG7		GNG7	GNG7	1.068	160	1
3_MACS_peak_1756_lociStitched	chr1	179049028	179062004	3	7878	45691.0912	3433.4496	161	TOR3A		TOR3A	TOR3A	1.758	161	1
