REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
2_MACS_peak_5397_lociStitched	chr12	53845345	53873423	2	28003	38393.8572	5121.4272	16	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	16	1
1_MACS_peak_14108_lociStitched	chr2	232687019	232714800	1	27782	55136.9507	3355.9448	17		COPS7B,PDE6D,MIR1471	COPS7B	17	1
3_MACS_peak_7318_lociStitched	chr14	106024705	106052823	3	25904	129556.4968	4453.8912	18		TMEM121	TMEM121	18	1
7_MACS_peak_4938_lociStitched	chr12	7045544	7085774	7	25773	79659.423	6991.974	19	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	19	1
3_MACS_peak_7905_lociStitched	chr15	68568863	68599445	3	25568	57570.615	5241.7548	20	FEM1B,ITGA11	CLN6	FEM1B	20	1
6_MACS_peak_9811_lociStitched	chr17	34509445	34539758	6	25354	95270.7277	7075.0542	21	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	21	1
2_MACS_peak_5381_lociStitched	chr12	53573073	53604011	2	25329	151085.723	5977.2216	22	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	22	1
3_MACS_peak_1449_lociStitched	chr1	154907995	154936190	3	25149	139616.001	7674.679	23	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	23	1
5_MACS_peak_3490_lociStitched	chr10	125822131	125854594	5	25105	66571.8741	5911.5123	24	CHST15		CHST15	24	1
7_MACS_peak_10297_lociStitched	chr17	62150221	62186665	7	24726	53733.0336	6461.5212	25	ERN1	SNORD104,SNORA76	ERN1	25	1
1_MACS_peak_20921_lociStitched	chr6	106531150	106555848	1	24699	105848.2186	5352.0566	26	PRDM1		PRDM1	26	1
4_MACS_peak_15919_lociStitched	chr3	5222657	5256288	4	24114	54388.0532	5522.2102	27	EDEM1		EDEM1	27	1
6_MACS_peak_14459_lociStitched	chr20	25261636	25302984	6	24031	122973.0868	7062.2384	28	PYGB,ABHD12		PYGB	28	1
1_MACS_peak_12525_lociStitched	chr2	37529788	37553610	1	23823	84256.0318	3711.4676	29	PRKD3	QPCT	PRKD3	29	1
6_MACS_peak_15607_lociStitched	chr22	37611201	37642124	6	23311	55407.8314	5411.525	30	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	30	1
2_MACS_peak_18076_lociStitched	chr4	90205068	90230177	2	22856	89192.1898	4956.5166	31	GPRIN3		GPRIN3	31	1
8_MACS_peak_10405_lociStitched	chr17	72733645	72773559	8	22806	41690.173	6027.014	32	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	32	1
3_MACS_peak_1505_lociStitched	chr1	156115350	156143788	3	22359	116902.9304	7308.566	33	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	33	1
7_MACS_peak_17309_lociStitched	chr3	183224594	183260949	7	22302	72564.58	8754.284	34	KLHL6		KLHL6	34	1
4_MACS_peak_2549_lociStitched	chr10	11278973	11304333	4	22112	54569.648	5049.176	35	CELF2		CELF2	35	1
2_MACS_peak_15378_lociStitched	chr22	23221479	23247978	2	21729	157046.3235	4104.6951	36	IGLL5		IGLL5	36	1
5_MACS_peak_9770_lociStitched	chr17	32690742	32719642	5	21725	67932.34	5881.15	37		CCL8,CCL13,CCL1	CCL1	37	1
6_MACS_peak_21903_lociStitched	chr7	55616414	55642757	6	21565	47232.999	4860.2835	38	VOPP1		VOPP1	38	1
2_MACS_peak_10726_lociStitched	chr18	9101706	9123262	2	21466	54159.45	3843.4348	39	NDUFV2	ANKRD12	NDUFV2	39	1
2_MACS_peak_12361_lociStitched	chr2	20404830	20426251	2	21176	74716.448	4012.1533	40	SDC1		SDC1	40	1
4_MACS_peak_8945_lociStitched	chr16	56963466	56985916	4	21112	66335.26	4501.225	41	HERPUD1	CETP,NLRC5	HERPUD1	41	1
1_MACS_peak_2544_lociStitched	chr10	11202740	11223721	1	20982	148973.4924	4848.7091	42	CELF2		CELF2	42	1
2_MACS_peak_3820_lociStitched	chr11	22677457	22703649	2	20588	62460.0624	3881.6544	43	GAS2	FANCF	GAS2	43	1
3_MACS_peak_1517_lociStitched	chr1	156450393	156476076	3	20456	64274.2758	6993.4809	44	MEF2D		MEF2D	44	1
4_MACS_peak_5857_lociStitched	chr12	109009616	109036287	4	20442	116477.5912	5448.8853	45	SELPLG	TMEM119	SELPLG	45	1
4_MACS_peak_22281_lociStitched	chr7	102063734	102093114	4	20371	116277.226	4944.654	46	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	46	1
2_MACS_peak_22697_lociStitched	chr7	150063762	150084708	2	20158	106181.5578	5554.8792	47	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	47	1
4_MACS_peak_9554_lociStitched	chr17	16865928	16895511	4	20133	146601.5148	5097.1509	48	TNFRSF13B		TNFRSF13B	48	1
3_MACS_peak_15156_lociStitched	chr21	41324759	41344782	3	19922	70977.5304	5912.7919	49			PCP4	49	1
3_MACS_peak_7324_lociStitched	chr14	106145145	106169178	3	19858	92555.8896	2470.5924	50			TMEM121	50	1
1_MACS_peak_10728_lociStitched	chr18	9132645	9152419	1	19775	38090.6562	3705.6476	51	NDUFV2,ANKRD12		ANKRD12	51	1
5_MACS_peak_23549_lociStitched	chr8	120916702	120947594	5	19746	48969.9984	4568.9268	52	DEPDC6	DSCC1	DEPDC6	52	1
4_MACS_peak_12526_lociStitched	chr2	37559899	37586416	4	19704	60485.277	4340.8329	53	QPCT	PRKD3	QPCT	53	1
5_MACS_peak_4794_lociStitched	chr11	128585504	128609843	5	19505	43299.081	4417.5285	54	FLI1		FLI1	54	1
2_MACS_peak_19429_lociStitched	chr5	131744997	131767494	2	19441	66847.5858	4337.4216	55	C5orf56	SLC22A5,MIR3936	C5orf56	55	1
5_MACS_peak_9164_lociStitched	chr16	78775830	78804903	5	19158	19577.7582	2945.0949	56	WWOX		WWOX	56	1
1_MACS_peak_14817_lociStitched	chr20	52194671	52213787	1	19117	30214.7496	2888.4276	57	ZNF217		ZNF217	57	1
3_MACS_peak_10220_lociStitched	chr17	56405504	56431043	3	18954	80948.4144	5202.2943	58	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	58	1
5_MACS_peak_1193_lociStitched	chr1	118195116	118219363	5	18804	95496.8095	2873.2695	59		FAM46C	FAM46C	59	1
3_MACS_peak_19163_lociStitched	chr5	88111436	88130810	3	18756	29735.2152	3508.6314	60	MEF2C		MEF2C	60	1
7_MACS_peak_7225_lociStitched	chr14	95946005	95985978	7	18606	25810.5661	3305.7671	61		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	61	1
1_MACS_peak_17774_lociStitched	chr4	40191282	40209793	1	18512	63211.3628	3668.8802	62	RHOH		RHOH	62	1
5_MACS_peak_11565_lociStitched	chr19	16243642	16272800	5	18506	59345.2774	4831.4806	63	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	63	1
3_MACS_peak_22779_lociStitched	chr8	2027419	2050929	3	18481	158203.492	4067.23	64	MYOM2		MYOM2	64	1
3_MACS_peak_10545_lociStitched	chr17	76711063	76733667	3	18418	38476.5288	3835.8988	65	CYTH1		CYTH1	65	1
5_MACS_peak_20956_lociStitched	chr6	108927079	108950509	5	18296	21044.826	2832.687	66	FOXO3		FOXO3	66	1
3_MACS_peak_11833_lociStitched	chr19	39880682	39904105	3	18276	93991.8144	4129.4749	67	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	67	1
5_MACS_peak_15225_lociStitched	chr21	45552574	45580706	5	18138	118416.0276	6450.6676	68	C21orf33	PWP2	C21orf33	68	1
6_MACS_peak_18553_lociStitched	chr4	185317566	185350027	6	18005	41903.9049	4846.4273	69	IRF2		IRF2	69	1
4_MACS_peak_2018_lociStitched	chr1	206728010	206754312	4	17951	43629.7576	5881.1272	70	RASSF5	LGTN	RASSF5	70	1
3_MACS_peak_24472_lociStitched	chr9	112904065	112925142	3	17902	25319.8001	4171.1383	71	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	71	1
1_MACS_peak_420_lociStitched	chr1	31213663	31231492	1	17830	78659.7651	3745.8729	72	LAPTM5	LOC100129196,MATN1	LAPTM5	72	1
6_MACS_peak_13077_lociStitched	chr2	97190741	97220594	6	17812	79155.2295	5027.2452	73	ARID5A	NEURL3	ARID5A	73	1
5_MACS_peak_14310_lociStitched	chr20	5570485	5592515	5	17527	25957.949	3242.816	74	GPCPD1		GPCPD1	74	1
3_MACS_peak_22981_lociStitched	chr8	27216572	27239155	3	17497	36649.9507	3834.5934	75	PTK2B	TRIM35	PTK2B	75	1
2_MACS_peak_9911_lociStitched	chr17	38465698	38483984	2	17477	53612.7234	3604.1706	76	RARA	CDC6,RARA,GJD3	RARA	76	1
4_MACS_peak_7118_lociStitched	chr14	81930709	81955830	4	17223	31833.3312	2499.5395	77	SEL1L		SEL1L	77	1
4_MACS_peak_15979_lociStitched	chr3	13035641	13061600	4	17109	74016.8967	4745.3052	78	IQSEC1	IQSEC1	IQSEC1	78	1
4_MACS_peak_11891_lociStitched	chr19	42037829	42062041	4	16957	38998.2684	3982.874	79		CEACAM21	CEACAM21	79	1
3_MACS_peak_7984_lociStitched	chr15	75065426	75083737	3	16951	41435.9619	3211.7494	80	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	80	1
4_MACS_peak_9806_lociStitched	chr17	34409070	34432849	4	16895	51550.4941	4810.4917	81	CCL4,CCL3	CCL18	CCL3	81	1
1_MACS_peak_4167_lociStitched	chr11	65183326	65200139	1	16814	136726.6786	4391.5556	82	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	82	1
2_MACS_peak_1363_lociStitched	chr1	150532142	150553040	2	16611	72394.8516	6396.8778	83	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	83	1
2_MACS_peak_1434_lociStitched	chr1	154374548	154394444	2	16442	61412.9832	4844.676	84	IL6R		IL6R	84	1
6_MACS_peak_24647_lociStitched	chr9	130532101	130566578	6	16273	34725.2344	5399.0982	85	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	85	1
2_MACS_peak_15380_lociStitched	chr22	23269476	23285986	2	16151	136265.285	3414.268	86		IGLL5	IGLL5	86	1
5_MACS_peak_17202_lociStitched	chr3	171802350	171826957	5	16045	42058.2844	5804.7913	87	FNDC3B		FNDC3B	87	1
6_MACS_peak_21767_lociStitched	chr7	38383694	38408506	6	16006	19973.66	4528.19	88			TARP	88	1
4_MACS_peak_1339_lociStitched	chr1	149802838	149834015	4	15911	70425.7253	8424.0254	89	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	89	1
4_MACS_peak_3703_lociStitched	chr11	10323653	10345072	4	15797	44594.358	3767.6021	90	ADM	SBF2	ADM	90	1
2_MACS_peak_15376_lociStitched	chr22	23190160	23209826	2	15786	32789.1218	1905.6354	91		MIR650,IGLL5	IGLL5	91	1
5_MACS_peak_7559_lociStitched	chr15	40834310	40862585	5	15691	50906.31	4846.335	92	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	92	1
7_MACS_peak_21208_lociStitched	chr6	138247042	138286568	7	15603	31344.118	5917.0422	93			TNFAIP3	93	1
1_MACS_peak_4175_lociStitched	chr11	65263573	65279009	1	15437	71439.3516	3544.1056	94	MALAT1	SCYL1,LTBP3	MALAT1	94	1
5_MACS_peak_19660_lociStitched	chr5	150513145	150538087	5	15034	24782.3712	4142.8662	95	ANXA6		ANXA6	95	1
3_MACS_peak_16504_lociStitched	chr3	69128403	69146028	3	14994	27026.175	3144.3	96	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	96	1
3_MACS_peak_1493_lociStitched	chr1	155936899	155951932	3	14876	43057.5186	3884.5272	97	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	97	1
1_MACS_peak_13853_lociStitched	chr2	201979953	201994806	1	14854	72638.5965	3251.3217	98	CFLAR	NDUFB3,FAM126B	CFLAR	98	1
5_MACS_peak_8663_lociStitched	chr16	22195063	22219356	5	14831	38232.3234	4581.6598	99	EEF2K		EEF2K	99	1
4_MACS_peak_13786_lociStitched	chr2	197024512	197048511	4	14720	32048.2646	4168.6263	100	STK17B		STK17B	100	1
2_MACS_peak_11217_lociStitched	chr19	2081562	2098274	2	14673	101196.1736	4916.6704	101	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	101	1
3_MACS_peak_7542_lociStitched	chr15	40387779	40408972	3	14654	43343.9236	4113.5613	102	BMF	BUB1B	BMF	102	1
2_MACS_peak_21826_lociStitched	chr7	44661740	44680120	2	14644	41003.942	3473.82	103	OGDH	DDX56,TMED4	OGDH	103	1
1_MACS_peak_12323_lociStitched	chr2	11883577	11898177	1	14601	82744.04	3121.48	104	LPIN1		LPIN1	104	1
3_MACS_peak_16607_lociStitched	chr3	98479753	98495822	3	14561	41613.8893	2816.8957	105	ST3GAL6		ST3GAL6	105	1
3_MACS_peak_21899_lociStitched	chr7	55569592	55585987	3	14485	37498.644	2739.6045	106	VOPP1		VOPP1	106	1
5_MACS_peak_20360_lociStitched	chr6	31783208	31805286	5	14463	28198.0216	3576.636	107	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52	C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	107	1
4_MACS_peak_19864_lociStitched	chr5	176717220	176740598	4	14313	40378.4816	4219.729	108	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	108	1
5_MACS_peak_8180_lociStitched	chr15	89646685	89674994	5	14271	46053.0812	4608.7052	109	ABHD2		ABHD2	109	1
4_MACS_peak_11589_lociStitched	chr19	16694080	16717001	4	14255	75121.2854	4148.701	110	MED26	CHERP,SLC35E1	SLC35E1	110	1
6_MACS_peak_5463_lociStitched	chr12	57093648	57120183	6	14244	22345.1235	3876.7635	111	NACA	HSD17B6,PTGES3,PRIM1	NACA	111	1
3_MACS_peak_16885_lociStitched	chr3	129026483	129048429	3	14186	43641.8156	3746.1822	112	C3orf47,H1FX	C3orf37	H1FX	112	1
1_MACS_peak_5030_lociStitched	chr12	12866401	12880581	1	14181	88108.848	2636.062	113	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	113	1
3_MACS_peak_19910_lociStitched	chr5	180228372	180249198	3	14163	38703.0384	3382.1424	114	MGAT1	LOC729678,ZFP62	MGAT1	114	1
6_MACS_peak_20190_lociStitched	chr6	25366272	25389739	6	14072	28838.5963	4353.1285	115	LRRC16A		LRRC16A	115	1
4_MACS_peak_14697_lociStitched	chr20	43583438	43609241	4	14055	22363.4601	4066.5528	116	STK4,TOMM34	PABPC1L	STK4	116	1
4_MACS_peak_8168_lociStitched	chr15	89163778	89184306	4	14042	33536.5936	3419.9648	117	AEN,ISG20	MIR1179,MIR7-2	ISG20	117	1
3_MACS_peak_900_lociStitched	chr1	75596272	75611574	3	14033	22524.544	2131.5686	118	LHX8		LHX8	118	1
5_MACS_peak_1488_lociStitched	chr1	155900760	155922736	5	14033	27241.4496	5001.7376	119	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	119	1
3_MACS_peak_5285_lociStitched	chr12	48201012	48218841	3	14008	37362.4524	3014.8839	120	HDAC7	SLC48A1,RAPGEF3	HDAC7	120	1
3_MACS_peak_5064_lociStitched	chr12	15101099	15116290	3	13976	19500.6867	2644.7531	121	ARHGDIB	PDE6H,ERP27	ARHGDIB	121	1
1_MACS_peak_22087_lociStitched	chr7	78114289	78128228	1	13940	32739.9232	2331.9947	122	MAGI2		RPL13AP17	122	1
3_MACS_peak_6066_lociStitched	chr12	123371180	123387178	3	13917	28177.2774	1361.4298	123	VPS37B		VPS37B	123	1
2_MACS_peak_20834_lociStitched	chr6	90057232	90071217	2	13908	43987.0205	2301.931	124	UBE2J1	GABRR2	UBE2J1	124	1
2_MACS_peak_5118_lociStitched	chr12	26265823	26280374	2	13870	47749.1065	2681.7493	125	BHLHE41		BHLHE41	125	1
2_MACS_peak_5855_lociStitched	chr12	108952959	108970562	2	13863	57774.8063	3832.1731	126	ISCU,SART3	FICD,TMEM119	ISCU	126	1
3_MACS_peak_17973_lociStitched	chr4	77608707	77624337	3	13860	19823.529	2622.714	127	SHROOM3		ANKRD56	127	1
4_MACS_peak_3089_lociStitched	chr10	81001235	81020435	4	13837	37895.04	3100.8	128	ZMIZ1		PPIF	128	1
3_MACS_peak_16932_lociStitched	chr3	133181752	133200455	3	13772	52302.9395	3538.6076	129	BFSP2		BFSP2	129	1
4_MACS_peak_284_lociStitched	chr1	24512325	24533646	4	13665	55856.7558	3933.7245	130	LOC284632,IL28RA	IL22RA1	LOC284632	130	1
4_MACS_peak_16099_lociStitched	chr3	30682851	30703552	4	13630	19489.9915	3351.4919	131	TGFBR2		TGFBR2	131	1
5_MACS_peak_3407_lociStitched	chr10	112611989	112633118	5	13617	24934.3329	3298.2369	132	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	132	1
3_MACS_peak_19826_lociStitched	chr5	173328297	173343905	3	13519	16883.1736	2516.0096	133	CPEB4		CPEB4	133	1
1_MACS_peak_15648_lociStitched	chr22	38782291	38795756	1	13466	28719.4985	2190.7555	134	LOC400927	KCNJ4	LOC400927	134	1
1_MACS_peak_15460_lociStitched	chr22	29186029	29199412	1	13384	73159.5078	2823.813	135	XBP1	HSCB,CCDC117,CHEK2	XBP1	135	1
4_MACS_peak_21341_lociStitched	chr6	157976669	157999819	4	13318	38301.675	1995.53	136	ZDHHC14	MIR3692	MIR3692	136	1
3_MACS_peak_14865_lociStitched	chr20	55957911	55975427	3	13298	37037.582	2890.14	137	RBM38	RAE1,MTRNR2L3	RBM38	137	1
4_MACS_peak_18651_lociStitched	chr5	1327002	1346291	4	13273	56468.5475	3852.0133	138	CLPTM1L	TERT	CLPTM1L	138	1
2_MACS_peak_15645_lociStitched	chr22	38700822	38714846	2	13229	26431.0328	2656.1456	139	CSNK1E	TMEM184B	CSNK1E	139	1
5_MACS_peak_11222_lociStitched	chr19	2254612	2274678	5	13195	33947.6588	4589.0942	140	OAZ1,JSRP1,C19orf35	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,LINGO3	OAZ1	140	1
4_MACS_peak_20210_lociStitched	chr6	26183523	26207228	4	13172	32938.0975	4219.49	141	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	141	1
3_MACS_peak_1955_lociStitched	chr1	203267033	203281515	3	13117	57618.0852	3994.1356	142	BTG2,LOC730227	FMOD	LOC730227	142	1
4_MACS_peak_15702_lociStitched	chr22	39910181	39929555	4	13027	40774.5204	3799.2414	143	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	143	1
7_MACS_peak_16251_lociStitched	chr3	46319892	46347292	7	13025	23355.76	4463.46	144		CCR3,CCR2	CCR3	144	1
4_MACS_peak_10550_lociStitched	chr17	76763470	76779695	4	13000	26928.6325	2638.185	145	CYTH1		CYTH1	145	1
5_MACS_peak_7087_lociStitched	chr14	77488062	77507709	5	12995	27317.1888	1622.8422	146	C14orf4		C14orf4	146	1
2_MACS_peak_19434_lociStitched	chr5	131821684	131837644	2	12981	25068.372	2733.948	147	IRF1	IL5	IRF1	147	1
5_MACS_peak_13999_lociStitched	chr2	219743435	219763122	5	12975	35186.5751	3388.1327	148	WNT10A	WNT6,PRKAG3	WNT10A	148	1
5_MACS_peak_24733_lociStitched	chr9	134127217	134152225	5	12973	29076.8016	4086.3072	149	FAM78A	PPAPDC3	FAM78A	149	1
6_MACS_peak_23605_lociStitched	chr8	126285472	126308289	6	12967	31113.2612	3668.9736	150	NSMCE2		TRIB1	150	1
1_MACS_peak_558_lociStitched	chr1	40029965	40042826	1	12862	22088.7675	2621.0718	151	PABPC4,SNORA55	PPIEL	SNORA55	151	1
6_MACS_peak_4123_lociStitched	chr11	63992617	64019859	6	12849	28775.7246	4437.7218	152	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	152	1
1_MACS_peak_10304_lociStitched	chr17	62197312	62210139	1	12828	23899.2664	2444.8262	153	ERN1	SNORD104,SNORA76	ERN1	153	1
4_MACS_peak_12793_lociStitched	chr2	65157111	65178609	4	12776	55133.7708	4230.8064	154	LOC400958	SLC1A4	LOC400958	154	1
5_MACS_peak_582_lociStitched	chr1	40839245	40858505	5	12747	24887.772	3443.688	155	SMAP2	SMAP2	SMAP2	155	1
1_MACS_peak_12592_lociStitched	chr2	43444242	43456949	1	12708	48511.5139	2592.228	156	LOC100129726,ZFP36L2		ZFP36L2	156	1
4_MACS_peak_9485_lociStitched	chr17	7736938	7762354	4	12703	27538.236	4008.1032	157	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	157	1
3_MACS_peak_23336_lociStitched	chr8	81046514	81061919	3	12685	16144.44	2665.065	158	TPD52		TPD52	158	1
4_MACS_peak_18921_lociStitched	chr5	55437276	55453510	4	12685	31771.5614	2896.1456	159	ANKRD55		ANKRD55	159	1
4_MACS_peak_13860_lociStitched	chr2	202083442	202101876	4	12677	19423.9058	3259.1312	160	CASP10,CASP8	CASP8	CASP8	160	1
3_MACS_peak_10387_lociStitched	chr17	70582640	70601708	3	12653	28178.6904	3733.5144	161	LOC100499467,FLJ26484		LOC100499467	161	1
2_MACS_peak_9732_lociStitched	chr17	29636413	29649173	2	12647	18398.644	2354.22	162	NF1,EVI2B,EVI2A	OMG	EVI2B	162	1
4_MACS_peak_24663_lociStitched	chr9	130828871	130845742	4	12644	25024.7543	2905.1862	163	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	163	1
4_MACS_peak_10496_lociStitched	chr17	75079033	75093072	4	12596	39282.5259	2973.4602	164	C17orf86,SCARNA16	SEC14L1	SCARNA16	164	1
1_MACS_peak_2244_lociStitched	chr1	226840074	226852632	1	12559	70652.5638	3675.7266	165	ITPKB		ITPKB	165	1
4_MACS_peak_14170_lociStitched	chr2	238599836	238613376	4	12417	19566.654	1302.548	166	LRRFIP1		LRRFIP1	166	1
3_MACS_peak_25058_lociStitched	chrX	39953168	39969420	3	12404	23326.4956	806.0992	167	BCOR		BCOR	167	1
4_MACS_peak_3105_lociStitched	chr10	81946560	81966089	4	12382	33062.597	3196.8973	168	ANXA11		ANXA11	168	1
3_MACS_peak_8550_lociStitched	chr16	12052494	12071980	3	12377	84584.8288	3604.91	169	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	169	1
1_MACS_peak_350_lociStitched	chr1	27018358	27030692	1	12335	36224.958	2276.8564	170	ARID1A		ARID1A	170	1
5_MACS_peak_8763_lociStitched	chr16	29815535	29833707	5	12249	34890.24	2809.3912	171	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	171	1
2_MACS_peak_21875_lociStitched	chr7	50343516	50357866	2	12130	17159.73	2461.025	172	IKZF1		IKZF1	172	1
2_MACS_peak_10502_lociStitched	chr17	75131289	75145955	2	12113	67353.605	2880.4024	173	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	173	1
1_MACS_peak_20196_lociStitched	chr6	25402996	25415096	1	12101	83534.77	2681.36	174	LRRC16A		LRRC16A	174	1
4_MACS_peak_15694_lociStitched	chr22	39823045	39845736	4	12082	47451.4192	3803.0116	175	TAB1	MGAT3	MGAT3	175	1
5_MACS_peak_5207_lociStitched	chr12	33037741	33060417	5	12076	16154.3824	3269.8792	176	PKP2		PKP2	176	1
5_MACS_peak_25495_lociStitched	chrX	128902491	128921183	5	12058	24473.4356	2097.2424	177	XPNPEP2,SASH3		SASH3	177	1
6_MACS_peak_7535_lociStitched	chr15	40329803	40358230	6	12039	23398.2637	4698.9831	178	SRP14	BMF	SRP14	178	1
2_MACS_peak_2787_lociStitched	chr10	43890646	43905966	2	11955	39874.896	2137.14	179	HNRNPF	FXYD4,ZNF487P	HNRNPF	179	1
3_MACS_peak_20353_lociStitched	chr6	31694529	31709328	3	11950	44826.171	3081.1518	180	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	180	1
