GENE_ID	locusLine	bin_1_JJN3_jia.bam
NM_004350	chr1(.):25221001-25261770	1.514
NM_015627	chr1(.):25865075-25900377	0.8898
NM_006015	chr1(.):27017521-27113601	1.0294
NM_003680	chr1(.):33235839-33288633	0.6654
NM_001198972	chr1(.):33226234-33245571	0.0991
NM_005202	chr1(.):36555843-36570850	0.1036
NM_018067	chr1(.):36616802-36651441	0.9583
NM_014408	chr1(.):36597172-36620067	0.8308
NM_022756	chr1(.):37953175-37985364	0.2538
NM_025079	chr1(.):37935118-37954978	2.1713
NM_001262	chr1(.):51429366-51445306	5.9863
NM_078626	chr1(.):51430641-51445309	6.498
NM_006769	chr1(.):87789150-87819607	1.1997
NM_001127215	chr1(.):92935317-92954356	2.3348
NM_005263	chr1(.):92935317-92957433	2.03
NM_001127216	chr1(.):92935317-92956628	2.1015
NM_001408	chr1(.):109787640-109823378	0.1121
NR_034072	chr1(.):109751514-109765113	2.2442
NR_034073	chr1(.):109773155-109785804	0.1097
NM_006513	chr1(.):109751514-109785804	0.952
NR_036595	chr1(.):110823998-110886793	0.5806
NM_004696	chr1(.):110900504-110938636	0.088
NM_004974	chr1(.):111140775-111153345	0.106
NM_002232	chr1(.):111209309-111222655	2.6938
NM_006135	chr1(.):113157074-113219241	0.8503
NM_017709	chr1(.):118143603-118176011	1.4215
NM_001123068	chr1(.):143762143-143772881	0.0798
NR_027469	chr1(.):143713512-143749587	1.0426
NR_027468	chr1(.):143713512-143749457	1.0461
NM_207418	chr1(.):143891451-143918143	1.0796
NM_001002811	chr1(.):144885590-144937032	0.7333
NM_032305	chr1(.):145451235-145475387	1.6448
NM_202004	chr1(.):145408190-145422545	0.1093
NM_006472	chr1(.):145433461-145447628	1.9591
NM_001039888	chr1(.):145465507-145480647	2.2409
NM_003846	chr1(.):145511164-145528732	0.7898
NM_005105	chr1(.):145502637-145516444	1.6243
NM_001184795	chr1(.):145511559-145528732	0.8057
NM_003637	chr1(.):145519989-145548868	0.1129
NR_002328	chr1(.):145504819-145521076	1.5963
NR_027468	chr1(.):147901021-147936980	0.7993
NM_001161334	chr1(.):149749244-149788928	0.4481
NM_001034077	chr1(.):149799220-149809616	2.7547
NM_001005464	chr1(.):149807258-149817765	5.6191
NM_001040874	chr1(.):149808784-149819318	5.6182
NM_001123375	chr1(.):149779779-149790236	1.3311
NM_000566	chr1(.):149749249-149769074	0.1583
NM_005850	chr1(.):149890210-149904702	0.9428
NM_016074	chr1(.):149866154-149877348	0.6794
NM_003528	chr1(.):149851009-149863232	4.7671
NM_003517	chr1(.):149853524-149863961	5.5617
NM_175065	chr1(.):149854018-149864466	5.5512
NM_014849	chr1(.):149869871-149894434	0.3755
NM_181873	chr1(.):149895542-149913266	0.9248
NM_001145862	chr1(.):149895542-149913791	0.9022
NR_036461	chr1(.):149816758-149827340	5.6221
NM_001040874	chr1(.):149817627-149828161	5.6189
NM_001005464	chr1(.):149819180-149829687	5.6141
NM_001034077	chr1(.):149827329-149837725	2.7371
NM_030920	chr1(.):150185716-150213504	1.3742
NM_001136479	chr1(.):150185716-150212026	1.4441
NM_012113	chr1(.):150225217-150242480	0.8676
NM_024579	chr1(.):150240182-150258335	0.8515
NM_144697	chr1(.):150250228-150264501	0.2326
NM_004698	chr1(.):150288927-150330704	0.3677
NM_016022	chr1(.):150232798-150246532	0.9869
NM_019032	chr1(.):150516897-150538412	4.8676
NM_207046	chr1(.):150589598-150606609	1.444
NR_036211	chr1(.):150519404-150529490	0.2797
NM_001197320	chr1(.):150542026-150557214	2.8544
NM_012432	chr1(.):150893814-150942220	0.2617
NM_001163258	chr1(.):150964300-150985854	1.0807
NM_181746	chr1(.):150932648-150952440	1.7941
NR_026977	chr1(.):150893824-150922797	0.3566
NM_003568	chr1(.):150949498-150973114	0.2099
NM_001163260	chr1(.):150964300-150984273	1.1547
NM_001040217	chr1(.):150964300-150984385	1.1496
NM_014437	chr1(.):153926587-153945188	2.1564
NM_130898	chr1(.):153935396-153951832	2.5462
NM_181715	chr1(.):153915151-153936043	2.6442
NM_006694	chr1(.):153941744-153955451	1.2828
NM_002870	chr1(.):153949127-153963806	1.6936
NM_014856	chr1(.):153896976-153924154	1.1871
NM_001030	chr1(.):153958238-153969631	0.8419
NM_001018837	chr1(.):154240038-154253355	0.6487
NM_001098616	chr1(.):154174182-154198273	1.5524
NM_001127320	chr1(.):154187654-154240980	0.7581
NM_001010979	chr1(.):154166847-154183809	0.1324
NR_030600	chr1(.):154161140-154171219	0.1141
NM_014847	chr1(.):154188324-154248329	0.8086
NM_001010846	chr1(.):154446953-154479526	0.1091
NM_001098475	chr1(.):154469694-154525623	0.1388
NM_017582	chr1(.):154516050-154536120	1.4875
NM_001193495	chr1(.):154549533-154583776	0.5796
NM_001111	chr1(.):154549533-154585724	0.5532
NM_000748	chr1(.):154535256-154557353	0.1442
NM_006556	chr1(.):154892207-154914484	3.1434
NM_001130041	chr1(.):154929773-154951959	2.9715
NM_001130040	chr1(.):154929773-154948223	3.2479
NM_201398	chr1(.):154950769-154970587	0.3647
NM_015872	chr1(.):154970111-154995999	4.5769
NM_207196	chr1(.):155018761-155040252	1.2691
NM_001184892	chr1(.):154950769-154966488	0.4075
NM_018655	chr1(.):154961061-154971791	0.5229
NM_001143687	chr1(.):155001281-155028406	0.646
NR_024163	chr1(.):154942117-154956725	2.3576
NM_144622	chr1(.):154986002-155011257	0.3773
NM_138300	chr1(.):154924501-154939258	2.9751
NR_036212	chr1(.):154943168-154953259	2.9529
NR_027023	chr1(.):155526771-155538735	3.4745
NM_001198905	chr1(.):155624232-155663568	1.0813
NM_001198899	chr1(.):155624232-155654620	0.1027
NM_139118	chr1(.):155624232-155663823	1.0754
NM_139121	chr1(.):155624232-155663764	1.0768
NM_001198901	chr1(.):155624232-155663819	1.0755
NM_139119	chr1(.):155624232-155663565	1.0813
NM_001198904	chr1(.):155624232-155663447	1.0841
NM_004632	chr1(.):155653873-155713319	0.7625
NM_001198902	chr1(.):155624232-155663515	1.0825
NM_033657	chr1(.):155653873-155713317	0.7625
NM_001162384	chr1(.):155911629-155953336	2.3201
NM_181885	chr1(.):155906479-155917625	1.9656
NM_004723	chr1(.):155911629-155952966	2.3342
NM_014949	chr1(.):155877835-155909188	0.6499
NR_003005	chr1(.):155890748-155900877	0.1326
NM_001093725	chr1(.):156036803-156056789	0.2059
NM_003145	chr1(.):155973838-155995758	0.4373
NM_022367	chr1(.):156118321-156152542	0.2653
NM_001193302	chr1(.):156118368-156152542	0.2655
NM_001193301	chr1(.):156114734-156152542	0.2892
NM_005920	chr1(.):156428518-156475529	2.022
NM_004494	chr1(.):156706898-156726543	3.5921
NM_001126051	chr1(.):156706898-156727024	3.5084
NM_001126050	chr1(.):156706898-156727240	3.4727
NM_030980	chr1(.):156687412-156702705	1.2607
NM_001878	chr1(.):156664407-156680375	0.1335
NM_001142560	chr1(.):156693262-156711752	1.6087
NM_145729	chr1(.):156702093-156715923	1.0696
NM_003975	chr1(.):156771034-156791640	0.5793
NM_001161443	chr1(.):156771034-156790939	0.5974
NM_001007792	chr1(.):156780541-156856642	0.2635
NM_001001734	chr1(.):160142200-160161767	0.0892
NM_015726	chr1(.):160180504-160237350	0.6294
NM_001193644	chr1(.):160241598-160259941	0.3223
NM_003768	chr1(.):160170124-160190162	1.9366
NR_028106	chr1(.):160204011-160237277	0.9841
NR_028105	chr1(.):160204011-160237318	0.9831
NR_028104	chr1(.):160180504-160237318	0.6297
NM_001039711	chr1(.):161085768-161107478	1.3281
NM_016406	chr1(.):161118533-161133646	1.8241
NM_004550	chr1(.):161164104-161189184	0.6815
NM_000309	chr1(.):161131180-161146010	0.631
NM_001643	chr1(.):161187082-161198418	0.9753
NM_001185094	chr1(.):161082907-161095984	0.8136
NM_003779	chr1(.):161136100-161152314	1.0551
NM_012475	chr1(.):161124253-161140516	1.4832
NM_001039712	chr1(.):161085768-161107256	1.3408
NM_005600	chr1(.):161082861-161095984	0.8111
NM_001185093	chr1(.):161082906-161095984	0.8135
NM_032174	chr1(.):161190832-161205407	0.6885
NM_001166159	chr1(.):161166936-161189184	0.7534
NM_005099	chr1(.):161154537-161173845	1.2853
NM_004106	chr1(.):161180086-161194038	0.4076
NM_198053	chr1(.):167394876-167492847	0.5458
NM_003851	chr1(.):167505250-167528056	1.8422
NM_018417	chr1(.):167773624-167888453	0.0915
NM_022100	chr1(.):174977093-174997591	0.3284
NM_022371	chr1(.):179046111-179070129	1.6756
NM_015602	chr1(.):179846419-179894211	0.8301
NM_016545	chr1(.):181052637-181064979	2.3564
NM_021133	chr1(.):182537771-182561108	0.244
NM_002928	chr1(.):182562757-182578548	1.1249
NM_001102450	chr1(.):182610791-182647067	0.104
NR_036490	chr1(.):182579274-182590764	3.1602
NM_017596	chr1(.):200933519-200997828	0.8083
NR_034150	chr1(.):203262885-203279453	3.5951
NM_006763	chr1(.):203269663-203283729	3.2931
NM_002023	chr1(.):203304751-203325289	0.0926
NM_001123168	chr1(.):206133910-206160074	1.0898
NM_006893	chr1(.):206759973-206790904	0.1929
NM_182665	chr1(.):206725491-206767616	1.2887
NM_001136224	chr1(.):211427707-211494725	0.7002
NM_018254	chr1(.):211428288-211494725	0.7058
NM_001136225	chr1(.):211427707-211491655	0.7311
NM_033445	chr1(.):228640064-228650560	0.0593
NM_001010858	chr1(.):228670067-228688889	2.578
NM_175055	chr1(.):228640807-228651259	0.0586
NR_002834	chr1(.):228775656-228793159	1.3564
NM_002245	chr1(.):233744749-233813258	1.0287
NM_182972	chr1(.):234735014-234750271	5.9204
NR_033927	chr1(.):234760056-234775526	0.052
NM_018557	chr2(.):140983995-142894270	0.0477
NM_018968	chr2(.):941553-1376384	0.0399
NR_033872	chr2(.):70184394-70319147	0.3495
NM_175722	chr2(.):1413179-1551499	0.0767
NM_175719	chr2(.):1412232-1551499	0.0765
NM_145693	chr2(.):11881739-11972533	0.5078
NM_014755	chr2(.):64853754-64886046	0.9485
NM_004027	chr2(.):99056320-99212496	0.2991
NM_001566	chr2(.):99056320-99203284	0.3151
NM_005721	chr2(.):114642536-114721167	0.3817
NM_001171653	chr2(.):145136941-145282958	0.3032
NM_006164	chr2(.):178090032-178134859	0.8689
NM_001145413	chr2(.):178090032-178133617	0.8914
NM_003879	chr2(.):201975889-202034003	1.3287
NM_001127184	chr2(.):201975815-202011323	2.0438
NM_173822	chr2(.):201833440-201941392	0.1335
NM_001167608	chr2(.):227695670-227868923	0.1213
NM_001137551	chr2(.):238595806-238695290	0.3856
NM_001137550	chr2(.):238531223-238695290	0.2534
NM_017844	chr2(.):241413838-241502405	0.203
NM_001195381	chr2(.):241539824-241575676	0.0574
NM_006887	chr2(.):43444540-43458745	4.0499
NR_027251	chr2(.):43449349-43460994	3.8488
NR_034023	chr2(.):64829445-64848616	0.1964
NM_006196	chr2(.):70309584-70321334	3.3984
NR_024444	chr2(.):70346167-70357448	0.698
NR_026875	chr2(.):97158382-97178846	0.0904
NM_212481	chr2(.):97197463-97223371	1.2601
NR_033258	chr2(.):145263951-145282958	1.6227
NM_001172712	chr2(.):174766186-174835430	0.5933
NM_001017371	chr2(.):174766186-174833947	0.6055
NR_036075	chr2(.):178115672-178125738	0.0652
NM_194247	chr2(.):178072421-178093685	0.7097
NM_139266	chr2(.):191835262-191883976	0.6452
NM_007315	chr2(.):191828761-191883976	0.5766
NM_002491	chr2(.):201931461-201955473	0.3363
NM_001127183	chr2(.):201978386-202033841	1.3899
NM_017431	chr2(.):219682105-219701512	0.0461
NM_025216	chr2(.):219740254-219763651	2.0295
NM_006522	chr2(.):219719545-219743954	0.1376
NM_005544	chr2(.):227591032-227668506	0.4433
NM_001099285	chr2(.):232568234-232583250	2.9546
NR_036052	chr2(.):232573023-232583105	1.7612
NM_004735	chr2(.):238595806-238679558	0.4492
NM_023083	chr2(.):241521132-241543526	0.5057
NM_001033575	chr2(.):241494470-241508431	2.6429
NM_018226	chr2(.):241503103-241523143	1.3517
NM_014674	chr3(.):5224358-5266650	0.7363
NR_027007	chr3(.):9425536-9444174	2.0742
NM_002841	chr3(.):61542242-62285573	0.1123
NM_005862	chr3(.):136050998-136476245	0.1273
NM_207294	chr3(.):152012193-152188569	0.1835
NM_021038	chr3(.):151980828-152188568	0.3464
NM_181361	chr3(.):178249223-178567217	0.2353
NM_001134382	chr3(.):12933718-13119617	0.5385
NM_014869	chr3(.):12933718-13013960	0.083
NM_182666	chr3(.):23842438-23937807	0.3799
NM_007114	chr3(.):69063977-69106484	0.171
NM_002093	chr3(.):119535801-119818264	0.174
NM_001080412	chr3(.):141038054-141173632	0.9899
NM_173653	chr3(.):142979063-143572373	0.1409
NM_016275	chr3(.):150316065-150353234	0.9096
NM_005067	chr3(.):150453909-150486263	0.9541
NM_001193283	chr3(.):156539147-156648045	0.196
NM_001004316	chr3(.):156539095-156768918	0.1352
NM_024665	chr3(.):176733541-176920048	0.4693
NM_005832	chr3(.):178271617-178567217	0.2056
NM_003670	chr3(.):5016096-5031865	4.4105
NM_015453	chr3(.):9399716-9433475	0.2228
NM_001080517	chr3(.):9434402-9524838	0.5388
NM_001295	chr3(.):46238199-46254832	1.485
NM_001837	chr3(.):46278871-46313197	0.0412
NM_199074	chr3(.):49052907-49065926	2.1426
NM_199073	chr3(.):49053617-49065926	2.2617
NM_177939	chr3(.):49022340-49049581	0.5536
NM_018031	chr3(.):49039636-49058386	1.0414
NM_000884	chr3(.):49056761-49071875	1.8059
NM_018114	chr3(.):49047434-49063467	1.7303
NM_199070	chr3(.):49054073-49065926	2.3446
NM_001009996	chr3(.):49047434-49061017	2.0165
NR_029690	chr3(.):49053050-49063142	2.7187
NR_029948	chr3(.):49052580-49062667	2.7141
NM_198195	chr3(.):69098880-69134524	1.1877
NM_006407	chr3(.):69129089-69160239	1.7959
NM_198271	chr3(.):69151038-69176746	0.0728
NR_036087	chr3(.):69093108-69103186	0.5154
NM_006100	chr3(.):98446571-98518236	0.7011
NM_031419	chr3(.):101563357-101584869	1.423
NM_001005474	chr3(.):101541833-101584869	0.9972
NM_020187	chr3(.):128992683-129029135	0.4685
NM_001006109	chr3(.):128992816-129029135	0.4699
NM_006026	chr3(.):129028613-129040120	2.2222
NR_026991	chr3(.):129030113-129048412	1.3131
NM_001145417	chr3(.):135862759-135918310	0.7015
NM_018133	chr3(.):135862759-135919688	0.686
NM_014779	chr3(.):150121787-150182615	0.4847
NM_032025	chr3(.):150259573-150308803	0.366
NR_027037	chr3(.):151975404-151992415	1.9828
NR_003284	chr3(.):156522059-156534810	1.7976
NR_034008	chr3(.):156802669-156823924	2.2792
NR_034007	chr3(.):156794455-156845791	1.036
NM_020307	chr3(.):156860585-156883482	1.499
NM_024524	chr3(.):194118402-194193968	0.0686
NR_033929	chr3(.):194202868-194214274	2.3704
NM_198565	chr3(.):196361655-196393874	0.4824
NM_198281	chr4(.):90160428-90234161	0.6694
NM_003728	chr4(.):96078655-96475361	0.1147
NM_001102406	chr4(.):113213498-113368764	0.0619
NM_001017405	chr4(.):1278671-1338925	0.1099
NR_033182	chr4(.):1160639-1207634	0.1583
NM_001199021	chr4(.):1155720-1207750	0.1471
NM_198892	chr4(.):79692531-79838341	0.2919
NM_002199	chr4(.):185303875-185400726	0.8414
NR_033339	chr4(.):1238227-1251795	2.6652
NM_001012614	chr4(.):1200227-1247908	0.8736
NM_182485	chr4(.):14999297-15076777	0.3913
NM_017593	chr4(.):79692531-79805594	0.3632
NM_025212	chr4(.):105388342-105417467	1.0682
NM_018569	chr4(.):113147894-113196211	0.2275
NM_052864	chr4(.):113191781-113212059	1.5091
NM_015071	chr5(.):142145291-142613572	0.1739
NM_138348	chr5(.):14659782-14704842	0.6672
NM_015315	chr5(.):154087461-154202163	0.3168
NM_020731	chr5(.):299290-443405	1.0335
NM_178569	chr5(.):2747261-2760511	0.3055
NM_005885	chr5(.):10348827-10440491	0.4289
NM_001164440	chr5(.):10559434-10662928	0.6908
NM_016279	chr5(.):26875708-27043689	0.3235
NM_016180	chr5(.):33939720-33989780	0.0853
NM_133433	chr5(.):36871860-37070921	0.2783
NM_152756	chr5(.):38933021-39079501	0.3867
NM_182977	chr5(.):43598228-43710668	0.3568
NM_012343	chr5(.):43597790-43710668	0.3561
NM_003432	chr5(.):43116641-43180823	0.547
NM_024669	chr5(.):55390506-55534186	0.4699
NM_001020825	chr5(.):142652495-142788254	0.3563
NM_001018076	chr5(.):142652495-142789045	0.3545
NM_001018075	chr5(.):142652495-142820077	0.2959
NM_003714	chr5(.):172736725-172761506	1.8458
NM_001167579	chr5(.):176806431-176822514	0.1099
NM_022455	chr5(.):176555832-176732214	0.2697
NM_172349	chr5(.):176555079-176732214	0.2691
NM_173465	chr5(.):177659616-178022556	0.1866
NM_002406	chr5(.):180212540-180235048	1.0715
NM_001114619	chr5(.):180212540-180235902	1.0901
NM_001114618	chr5(.):180212540-180241817	1.7812
NM_001114617	chr5(.):180212540-180242137	1.764
NM_052909	chr5(.):135372-195087	0.6583
NM_145265	chr5(.):199874-223297	1.178
NM_001080478	chr5(.):186625-200468	2.4694
NM_004168	chr5(.):213355-261814	0.632
NM_138464	chr5(.):436642-448258	1.2387
NM_007277	chr5(.):438333-472409	0.5433
NR_029397	chr5(.):398811-409662	1.6383
NM_033120	chr5(.):1004167-1043925	0.7602
NM_001193376	chr5(.):1248286-1300162	0.1214
NM_030782	chr5(.):1312999-1350002	2.7257
NM_032479	chr5(.):1793498-1804956	2.5766
NM_004553	chr5(.):1796495-1821167	1.2125
NM_033267	chr5(.):2741278-2756769	0.2344
NM_001145161	chr5(.):6443735-6501834	1.5784
NM_017755	chr5(.):6594351-6638473	0.6828
NR_024424	chr5(.):6578409-6593613	0.0922
NM_001047	chr5(.):6628499-6674675	0.6456
NR_024423	chr5(.):6577286-6593613	0.0933
NM_001171805	chr5(.):6709717-6762161	1.4361
NM_001171806	chr5(.):6741100-6762161	0.1139
NM_012073	chr5(.):10245281-10271501	1.2643
NM_138809	chr5(.):10272706-10313168	0.1512
NM_199133	chr5(.):10221437-10255014	0.9955
NM_022130	chr5(.):32119823-32179425	0.8684
NM_006713	chr5(.):32580604-32609185	1.7578
NM_203382	chr5(.):33982090-34013220	1.0366
NM_030945	chr5(.):34012962-34048317	0.133
NM_001167597	chr5(.):33992111-34013220	1.4836
NM_001167598	chr5(.):33992308-34013220	1.4969
NM_153013	chr5(.):36187693-36247258	0.5618
NM_001085411	chr5(.):36187693-36246900	0.5649
NM_000958	chr5(.):40675031-40698837	3.6188
NR_034127	chr5(.):43060288-43072073	3.9894
NM_001014279	chr5(.):43034181-43045447	4.5081
NR_034085	chr5(.):43011149-43023913	2.8712
NR_015447	chr5(.):43037235-43050370	3.866
NR_034086	chr5(.):43009830-43023913	2.8645
NM_198566	chr5(.):43481802-43520273	0.9072
NM_006451	chr5(.):43521369-43562195	0.8635
NM_183323	chr5(.):43521369-43562521	0.8577
NM_001102575	chr5(.):53808592-53847416	1.0336
NM_001145427	chr5(.):53808588-53847416	1.0335
NM_052870	chr5(.):53808592-53821834	2.2011
NM_002184	chr5(.):55225924-55295821	0.8059
NR_036052	chr5(.):118305280-118315362	0.0607
NM_005859	chr5(.):139488707-139501321	1.4525
NM_001007189	chr5(.):139500520-139513391	0.0668
NM_030627	chr5(.):173310330-173392313	0.4465
NM_017675	chr5(.):175971342-176027769	0.1358
NM_014901	chr5(.):175948699-175969421	1.3366
NM_001171976	chr5(.):175964511-176027769	0.3361
NM_001031677	chr5(.):176723198-176735744	1.8841
NM_006480	chr5(.):176779843-176804599	0.655
NM_006816	chr5(.):176753562-176783885	0.4178
NM_031300	chr5(.):176729205-176744292	2.2781
NM_001142935	chr5(.):176727500-176744292	2.2804
NM_013237	chr5(.):176725834-176738950	2.2978
NM_002082	chr5(.):176848686-176874850	1.5246
NM_030567	chr5(.):176868795-176888287	1.0688
NM_000505	chr5(.):176824138-176841577	0.7947
NM_080881	chr5(.):176878613-176904871	0.3976
NM_004395	chr5(.):176878613-176905694	0.3907
NM_001004105	chr5(.):176848686-176873354	1.2892
NM_001174102	chr5(.):176870325-176888283	1.1479
NM_001029886	chr5(.):176822107-176832637	1.1359
NM_153373	chr5(.):177630539-177664803	1.5324
NR_003281	chr5(.):177606510-177619433	0.0492
NM_004499	chr5(.):177626507-177643184	0.9789
NR_031598	chr5(.):179220277-179230346	0.416
NM_145867	chr5(.):179215985-179228513	0.342
NM_003900	chr5(.):179242841-179270077	2.132
NM_016175	chr5(.):179259265-179290840	0.1867
NM_054013	chr5(.):179219597-179234875	2.372
NM_014275	chr5(.):179219597-179238952	1.8973
NM_001142298	chr5(.):179228387-179270077	2.1843
NM_001142299	chr5(.):179229002-179270077	2.2159
NR_027183	chr5(.):180251958-180267726	1.422
NM_152283	chr5(.):180269610-180293286	0.3913
NR_027116	chr6(.):956240-1106567	0.2648
NM_004117	chr6(.):35536361-35661719	0.1396
NM_001145776	chr6(.):35536361-35661692	0.1397
NM_001145775	chr6(.):35536361-35701360	0.3336
NM_181356	chr6(.):44791469-45350670	0.1319
NM_003599	chr6(.):44792449-45350575	0.1321
NM_012288	chr6(.):52357199-52446862	1.0109
NM_001160134	chr6(.):73326570-73913573	0.126
NM_020732	chr6(.):157094063-157536913	0.1712
NM_001195286	chr6(.):386738-416443	1.5709
NM_000904	chr6(.):2995066-3024994	0.759
NR_037616	chr6(.):7876482-8069647	0.441
NM_002114	chr6(.):12007723-12170232	0.64
NM_014641	chr6(.):30662583-30690458	1.2901
NM_001090	chr6(.):30534169-30564309	0.3164
NM_172166	chr6(.):31702724-31735455	2.3005
NM_004197	chr6(.):31976517-31986961	1.5047
NM_152735	chr6(.):33417355-33430320	0.3266
NM_020750	chr6(.):43485067-43548812	0.2038
NM_004348	chr6(.):45384913-45523819	0.4995
NM_001024630	chr6(.):45291053-45523819	0.4179
NM_021073	chr6(.):55615237-55745375	0.2031
NM_152731	chr6(.):56814772-56897142	0.3904
NM_001704	chr6(.):69340631-70104403	0.1048
NM_016021	chr6(.):90031343-90067619	0.8596
NM_001455	chr6(.):108877068-109010971	0.6226
NM_201559	chr6(.):108876025-109010971	0.6185
NM_020185	chr6(.):287100-356355	1.4054
NM_001195291	chr6(.):2943392-2977399	0.1102
NR_026855	chr6(.):2983200-2996405	2.0134
NR_033884	chr6(.):3015389-3030005	1.5321
NM_001145549	chr6(.):7876482-7915310	1.5553
NM_030810	chr6(.):7876482-7916047	1.5319
NR_033910	chr6(.):10407550-10421402	2.0668
NM_001032280	chr6(.):10391915-10417607	1.6679
NM_001042425	chr6(.):10391915-10424797	1.3208
NR_027793	chr6(.):10423017-10440055	0.344
NM_003220	chr6(.):10391915-10420470	1.5092
NM_032744	chr6(.):11708887-11784280	0.3166
NM_030939	chr6(.):24700089-24724403	1.2047
NM_005319	chr6(.):26050967-26061699	2.2137
NM_003537	chr6(.):26026816-26037288	1.8498
NM_003544	chr6(.):26022123-26032480	1.6111
NM_021062	chr6(.):26038454-26048885	0.0575
NM_003531	chr6(.):26040638-26051097	0.0568
NM_005325	chr6(.):26012259-26023040	0.8805
NM_003538	chr6(.):26016906-26027278	1.4311
NM_003513	chr6(.):26028319-26038796	1.2866
NM_003529	chr6(.):26015717-26026186	0.9897
NM_021065	chr6(.):26194011-26204471	2.9652
